fa ms. f r.	-|---⌫-⌫-|
dis t la corneil le parma	---⌫|-|-------⌫-|--|-|
net est eutmie trauillier	-||---⌫--|--|---------|
quetu medoiuesens eingnie r	--|-|-|-----|---⌫-------⌫|
ie su iz pieca	-|--⌫-|----|
touteensig nie	----|-----⌫--|
sisui uiseuseet enuoisie	-|--|------|-|-------|
iep uisseoir	-|-⌫--|----|
et asseurpuisreman oir	-|-|---|---|-----⌫--|
pourceuosmonstre p ar r espit	---|-|--|------|-⌫-|-⌫----|
que ceest uo irsquel ihon d it	--|-|--|--⌫--|--|-⌫|--|-⌫-|
p argr a ntexemple pa rpro uesce	-⌫-|--⌫-⌫-|------|--⌫|---⌫----|
sietquib arbe	---|--|-⌫---|
biens aparcoitli uisiez	---||-------|-|-----|
lesquex il	--|---|-|
peutauoi rs urpiez	---|----⌫|-⌫-|---|
unsriche shom c heuaucha ia	--|-----⌫|--|-⌫-------|-|
parmizzchampsiesgarda	----|-|----|-|------|
queduis erf parloi en tensamble	--|--|-⌫--|------⌫--⌫|-------|
siestroitement ceme samble	-|-----------|-|-|-----|
con c ilfussente ntr e	--||-|------|-⌫---⌫|
grant gent	----|---|
uersa usto r na deliu re m ent	---|-⌫-|--⌫-⌫-|-----⌫--⌫-⌫--|
demandaauzpourquelmestier	------|--|---|---|------|
iluol o ien tsi	-|---⌫-⌫---⌫|-|
consilli e r	--------⌫-⌫|
quantnulhommepre sd axn	----|--|----|---⌫||-||
ne nuslorparolle noioit	-|--|--|------||----|
liuns respondi	-|--|-------|
ausi gnou r	-|--⌫----⌫|
qu ilnauoientn ule paour	-|-||------|-⌫--|----|
ains lor sambloitbonn emaniere	---|--|-------|----⌫|------|
qu ilparloienten telmaniere	-|-|--------|-|--|------|
cefontsouent li	-|---|-----|-|
no n sa cha n t	--⌫-⌫--⌫---⌫-⌫|
s i telchosemonstrentsambla nt	-⌫|--|----|--------|------⌫-|
gentsouent corc i er	---|-----|----⌫-⌫-|
peutau oir	---|--⌫--|
dunmi reco ntequi sei nna	|-|--⌫-|--⌫--|--|---⌫--|
zz riche homme q ue il garda	-|----|----|-⌫-|-|----|
enunegranten fermete	-|--|----|--⌫------|
pu is au oitlesanc conmande ́	--⌫-|--⌫--|-|---|--------⌫|
asa fille que le gard as t	|-|----|--|-|----⌫--⌫|
que nuleriensniades ast	--|---|----|||----⌫--|
parl esanc dist quilco nnoistroit	--|-⌫|---|---|-|-|--⌫---------|
quelle enferteso nper eauoit	-----|------|--⌫|---⌫|----|
la meschi neporta l esa nc	-|------⌫-|----|-⌫|--⌫-|
e nsa chambre	-⌫|-|------|
dessuszz ban c	-----|-|---⌫|
mesmoltli est malauenu	--|---|-|--|--|----|
que t outlesa nc	--|-⌫--|-|--⌫-|
a respandu	|-------|
osadi reneconter	--|--⌫-|-|-----|
nautreconse lnepot t rouer	|----|-----⌫|-|--|-⌫----|
ma issoimeism esfi stse i ngner	--⌫-|--|-----⌫-|--⌫-|--⌫-⌫----|
ice lsanclaissarefroidier	---⌫|---|-----|---------|
t antque limires l aueu	-⌫--|--|-|----|||--|
par lesancaaparceu	--|-|---||------|
que ciliertprainsqui lalais si é	--|--|---|-----|--|||----⌫--⌫-|
l ir ic he shon	-⌫|-⌫--⌫--⌫|--|
iert esmaié	---|------|
quilcu idoitbiena uoir enf ant	-|-|--⌫----|---|-⌫---|---⌫--|
safillefistue nirauant	-|----|---|--⌫--|----|
tant pardes troit quan p aruerte	---|--|---⌫----|---|-⌫-|----|
fistconnoistr elauerite	---|---------⌫|-|-----|
dou san cdistq uelerespandi	--|---⌫|---|-⌫|--|-------|
etquela utrese stoit de li	-|--||-⌫----|-⌫----|-|-|
autresi uadestr ic heour s	------|-|--|--⌫--⌫-----⌫|
des lar ron setdesrobeours	--|---⌫---⌫|-|--|-------|
anquilafel onniemaint	-|--|-|---⌫----|----|
parausmeismesso ntateint	--|--|------|--⌫-|-----|
quant mainssegardent	----|----|-|------|
destrepris	|----|---|
e n c ombréetocis	-⌫-⌫-⌫-----|-|---|
dunuilaindistquise gisoit	|-|-----|---|--|-|-----|
co ntre zzsoleiletsedormoit	--⌫---|-|-----|-|-|------|
a densier t	|---|---⌫|
mi sdesc ouer s	--⌫|----⌫----⌫|
ets e spertuisi ert	-|-⌫-⌫|------|-⌫--|
tou souers	---⌫|----|
zzescharbosdedense ntra	-|--------|-----|-⌫---|
etliuilainssenesueil la	-|-|------||-|------⌫-|
li fisttantq ua	-|---|---|-⌫||
lestu taler contere t dire	|----⌫|---|-----|-⌫|---|
li mir es distqu i l es toitpra ins	-|---⌫-|---|-|-⌫|--⌫---|---⌫--|
orfumoltpisquil	-|-|---|--|-|-|
carliu ilains b ienle crei	--|-|-⌫-----|-⌫--|-|---|
etlifoxpeuples	-|-|--|------|
cestsenefi a nce	|--|------⌫-⌫--|
enpao rsontet endoutan ce	-|---⌫|---|-|-|------⌫-|
nia celuiqui bie nnecroie	|||----|--|---⌫|-|----|
que gransmaxauenirl idoie	--|----|--|-----|-⌫|---|
t a nt es tli f auspeuples muables	-⌫-⌫-|--⌫|-|-⌫--|------|------|
a uainnes ch oses nonestables	|------|--⌫---|----------|
ontleurcreancee tleurespoi r	--|---|------|-⌫|---|-----⌫|
leu ilaingaitentpoursauoir	-|-⌫----|------|---|-----|
paroulienfesdeuoitneistre	--|-|-|----|-----|------|
l i escharbospar laf enestre	-⌫|--------|--|-|-⌫------|
ouilentras	-|-|----||
en e sti s sus	-|-⌫-|-⌫-⌫--|
lorslesai lto usdeceus	---|--||-⌫|--⌫-|-----|
parcestexem plei eu ous	--|---|----⌫--|-⌫|-⌫--|
des nonsachansest autresi	--|---------|--|------|
qui croien tc equestre nepeut	--|------⌫|-⌫|-|----|-|---|
ouua nitezlestra itetmeut	-|--⌫----|--|---⌫-|-|---|
d unuilaincontequi g aita	|-|-----|----|--|-⌫---|
dedenss onhuis	-----|-⌫-|---|
zz aut reh ommeuoit sorsonlit	-|---⌫-|-⌫---|---|--|--|--|
osa femmefaitsondelit	|-|----|---|--|----|
hala sd ist ilkailaueu	-|--⌫|-⌫--|-||-|-|--|
lors a l a fammerespondu	---||-⌫|----|-------|
q ue ueez uos biaxsireammis	-⌫-|---|--|---|---|----|
zzautrehom mec emestauis	-|----|---⌫-|-⌫||--|---|
seurmonlittetient enbracie	---|--|--|-|----|-------|
ce dist ladammecou rroucie	-|---|-|----|---⌫------|
bien ditele ned ou tez mie	---|--|--|-|-⌫--⌫--|--|
qu ecestuostreuiellefolie	--⌫||--|-----|-----|----|
tuueus tenir menconge a	-|---|----|-------||
celuif aitilsi	----|-⌫--|-|-|
doibi encr o ire	--|--⌫-|--⌫-⌫--|
faus iez d istele setucrois	---|--|-⌫--|--|-|-|----|
p ourueri t equantquestuuois	-⌫--|----⌫-⌫|--------|-|---|
lenpre nto li	|-|---⌫-||-|
lenma inne	|-|--⌫---|
cuuediau e plainne	---||---⌫|------|
dede ns lia ue lefistgarder	----⌫-||--⌫-|-|---|-----|
p uisl iconmence adema nder	-⌫--|-⌫|-------||----⌫---|
dedens e tillidist	-----|-⌫|-|-|---|
qu es ymmagemeismesuist	--⌫||-----|------|---|
pourcedistele n	---|-|---|--||
cuueatou ttes	---||---⌫|--|
setui uoisune samblance	-|-||---|--|--------|
tu n e dois pasauoir creance	-|-⌫|---|--|----|------|
distli uilai nsorme n	---|-|-----⌫-|-||-⌫|
chascun sdoitmiexcroireetsauo ir	-------⌫|---|---|-----|-|----⌫-|
ceques a femme distpo u ruoir	-|--|-⌫|----|---|--⌫-⌫|---|
quec equel i maluais oueluoient	--|-⌫|--|-⌫|------|---|-----|
quipara uisionl e	--|--|-⌫-----|-⌫|
parcestexemple uosdeuise	--|---|------|--|-----|
quemolt uau tmiexsens	--|---|---⌫|---|---|
que co intise	--|--⌫-----|
etplu saide amaint e	-|---⌫|---||-----⌫|
quesesauoirs e t siparent	--|--|-----|-⌫|-|-----|
d unuilainueu ilici conter	|-|-----|---⌫-|--|-----|
quiosa famm e	--||-|----⌫|
aprescourutcil s	----|-----|--||
cil cestdede nsleb oism uciez	--||--|----⌫-|-|-⌫--|-⌫----|
retornetousiriez	------|---|----|
safamme ledist et blasm a	-|----|-----|-|-----⌫|
ets a fammelidemanda	-|-⌫|----|-|------|
pourqu ilparloiteins iali	---|-|-|------|----⌫||-|
et se sbarons lires pondi	-|--⌫|-----|-|---⌫----|
qu i lotueuson	-|-⌫|-|--|--|
l ec heour	-⌫--⌫----|
quilifisthont eetdes onno ur	--|-|---|----⌫|-|---⌫----⌫-|
alero li uersla	---||-|---|-|
poramm or d e udite suosuoir	--|---⌫-|-⌫-⌫|----⌫|--|---|
cuidastesuos hom me ueoir	--------|--|---⌫-|----|
aler om oi ne lme celer	---||-⌫-|-||-|----|
ieluidistilel bois entr er	-||-|---|-|-|---|----⌫-|
lasse distel emortesui	----|---|--⌫|----|--|
dem ainmorraiou	---⌫--|-----|-|
am auileauintautresi	|-⌫|---|----|------|
am amerec ar iel es ui	|-⌫|---|-⌫-|-|-⌫-|-|
zzpoudeu antlor finement	-|--|---⌫--|--|-------|
c e f useua pe rtement	-⌫|-⌫|--|-⌫--⌫------|
cunsbosquillie rs	|--|----------⌫-|
les con duissoi t	--|---⌫-------⌫|
noserai iamaisremanoir	|-----|-----|-------|
demainpartirons	-----|--------|
nostre auoir	-----|----|
atoutel amoiepartie	|----|-⌫|---|-----|
mem etraien	-|-⌫----|-|
l i uilainsl	-⌫|------||
oitmerci licrie	--|----|-|---|
laissiez ester	-------|----|
distilammie	---|-|----|
nedepartez	-|-------|
de m o iensi	-|-⌫-⌫|---|
menc on ge fuq u a nque ie	----⌫--⌫-|-|-⌫-⌫-⌫---|-|
dist elemai sest er	---|--|---⌫|---⌫-|
demarmem est eut penser	-||---||---⌫--|-----|
enseurquetout por	------------|--|
lagr anthonte	-|--⌫--|----|
dontuosauezfaitsig rant cont e	---|--|---|---|-|-⌫---|----⌫|
toustens mese roit	---|---|-|--⌫---|
repro uué	-----⌫---|
quemalementauraiouuré	--|-------|----|-----|
seuosne iurez	-|--|-|----|
si q ueuo ientnos tre parent	-|-⌫-|--⌫---|---⌫--|-----|
que neuei steshomm e omoi	--|-|---⌫---|----⌫||--|
puizaffiezla uostre	---|-----|-|-----|
neuosneme mesquerrez	-|--|-|-|---------|
n e ianel merepr ouuerez	-⌫|-|-||-|----⌫------|
uo lent iersd amme il lirespont	--⌫----⌫---|-⌫---|-|-|------|
az zmo ustier	|-⌫|--⌫-----|
ensambleenuon t	-------|-|---⌫|
laliiuracequelequist	-|-|---|-|-|--|----|
etplusass ezc e leuoussist	-|---|---⌫-||-⌫-|-------|
p orce dis tonenrepro uier	-⌫-|-|---⌫|-|-|-----⌫---|
quefamme se ttout	--|----|--⌫|---|
en gignier	--⌫------|
lesbiencreusfaitdescre ables	--|--------|---|------⌫----|
pl usazzar tque	--⌫-||-|--⌫|--|
li dyaubles	-|-------|
des oisiaxd iq u is assamb le rent	--|-----|-⌫|-⌫-⌫||------⌫--⌫---|
lorpa rleme ntsi e garderent	--|--⌫-----⌫-|-|-⌫--------|
quentrausde uss en t	-|---|--|--⌫---⌫--⌫|
ques gouuernastend r oite f oi	--||---------|-|-⌫-⌫---|-⌫-|
c hascu nsdouta demesprison	-⌫-----⌫-|----|-|--------|
afaireceleelection	|----|---|-------|
tuit enestoient esbahi	---|-|-------|-----|
quant douc ucuoi ent	----|--|-⌫--|--⌫--|
neseuentquexoisia xcefu	-|-----|---|-----⌫|-|-|
maisquetottensdisoi tc ucu	---|--|--|---|-----⌫|-⌫--|
molt lepeu tle n de	---|-|---⌫|--⌫|-|
c a r tout le b ois faitretentir	-⌫-⌫|---|-|-⌫--|---|-------|
tuit disoient en loriarg on	---|-------|-|--|----⌫-|
e t affermerent parraison	-⌫|----------|--|-----|
queciloisiaxqu ei ns ischantoit	--|--|-----|-|--⌫--⌫-|-------|
etsig rant ioiedemenoit	-|-|-⌫---|---|-------|
deuroitbienestrero is et	------|---|----|--⌫-|-|
degouuernerzzgra nt empire	-|--------|-|---⌫-|-----|
s iles tsi bo ns et siuailans	|-|--⌫|-|--⌫-|-|-|------|
en s esoeurescon enses	-|-⌫-|-----|--|-|--|
le ueulentauoir	-|------|----|
maisilue ulen t	---|-|--⌫----⌫|
prim es sauoir	----⌫-|-----|
sonestreets on	--|----|-|-⌫-|
contenement	----------|
porceg ard e ntconmunalment	--|-|-⌫---⌫-⌫-|-----------|
alerenle u r message	---|-|--⌫-⌫|------|
lamasangequi	-|------|--|
moltest sage	---|--|---|
aperceuansetauiso u se	---------|-|-----⌫-⌫-|
a luilont enuo ié	|--||--|----⌫--|
lamasange uolat outdroi t	-|------|---|-⌫--|----⌫|
desial arbreouilest oit	---|||----|-|-|---⌫--|
molte stoit pres deluiassise	---|-⌫----|---|-|--|-----|
siles gardapargrantcoi ntise	-||--⌫----|--|----|---⌫----|
n eprisaguer es sameniere	-⌫|----|----⌫-|-|------|
car ilfais oitmalu aisechi ere	--|-|----⌫--|----⌫---|---⌫--|
encor uourraplush a utmonter	----|-----|---|-⌫-⌫-|-----|
son cou rageu eut	--|---⌫---|-⌫--|
desusla bran che amont sail li	----|-|----⌫--|----|----⌫-|
onques li cuc u s mot n e	-----|-|---⌫-⌫|--|-⌫|
ne millorsa m blant neli fist	-|-----|--⌫-⌫----|-|-|---|
arr ieres enuala	---⌫---||-|-|-|
le cuculaits ile blastenge	-|---|---|-⌫|-|--------|
nef erontsig nou r	-|-⌫----|---⌫---⌫|
asautres distla	-|-----|---|-|
deshonnour	---------|
etlahontequelifis tgran t	-|-|----|--|-|---⌫|----⌫|
ain c nemonstrapieursam blant	---⌫|-|------|----|---⌫----|
sunsgransoisiaxli	|--|----|-----|-|
me sfa issoi t	--⌫---⌫-----⌫|
mauua is emen tsen	-----⌫--⌫----⌫||-|
q uantenuerli	-⌫---|----|-|
osaprendre	--|------|
to usoisiaxest li	--⌫-|-----|--|-|
esl is enttelquisoit ua illan t	---⌫--⌫--|--|--|---|--⌫-----⌫|
preusetsages et ent reprenant	----|-|----|-|---⌫--------|
roisdoitestremolt	---|---|----|---|
dr oituri ers	--⌫------⌫--|
en iustice iustesetfiers	-|------|-----|-|----|
a sel conseilsesonttenu	|--|------|-|---|---|
esgardéetueu	-------|-|--|
que de laigleferont lorroi	--|-||----|-----|--|--|
siu oussai bie ndire porcoi	-|-⌫--|--|---⌫|---|--|--|
bel egrandeur	---⌫|-------|
siestassezd egrant	-|--|----|-⌫|----|
molt estsim ples	---|--|---⌫---|
etatempr ez	-|------⌫-|
su nefois es t bien sao ulez	|-⌫-|---|--⌫|---|---⌫---|
moltbi enrepeutieun er apre s	---|--⌫-|-----|----⌫-|----⌫|
nestpasdeproietropeng res	|--|--|-|----|---|---⌫--|
princesced oitbien r eposer	------|-|-⌫--|---|-⌫-----|
nedoitmi e tou iors	-|---|--⌫|--|---|
pouregentessillier	----|---|--------|
on tfait conie	--⌫|---|--|-|
parcestex empl emo ns trec i	--|---|--⌫----⌫|--⌫--⌫--|-⌫|
doitmaisfairesi gnor	---|---|----|--⌫---|
demalu aisho mme trai to ur	-|----⌫--|--⌫--|----⌫--⌫-|
ou iln a separol e	-|-|||-|-----⌫|
ensoienbrace	-|--|------|
par tencon	--|-----|
et ueut manacier etparler	-|---|-------|-|-----|
qui moltfai tpet it adout er	--|---|---⌫|---⌫-||----⌫-|
unsfeuresfist zzcong nie	--|-----|---|-|----⌫--|
tranchantet bienforgie	--------|-|---|-----|
ma isne sen	--⌫-|-||-|
poitnoientaidier	---|-----|-----|
nene lipouoit	-|-|-|-----|
riens t ranchi er	----|-⌫------⌫-|
desique lefu	---|-|-⌫-|-|
enmenchi e	--------⌫|
etquele fuapareillie	-|-|--|-|---------|
oubois ala	-|---|--|
p ourdemander	-⌫--|-------|
fustquepot	---|--|--|
au quel illilo en tentendre	-|---|-|-|--⌫--⌫|-------|
de coii l puissemenchep rendre	-|--|-⌫|-----|-----|-⌫-----|
quantensambleourent parlé	----|-------|-----|-----|
con munalment liontloé	---⌫--------|-|--|---|
quilpraingne dela noi reespine	-|-|-------|-|-|---⌫-|-----|
etlescorseetla racine	-||------|-|-|-----|
e leestplusdureadepeci e r	-⌫-|--|---|---||------⌫-⌫|
de celuipeutb ie nenm enchier	-|----|---|-⌫--⌫|---⌫------|
l efeure alorconseilcreu	-⌫|----||--|------|---|
car nelunt	--|-||--|
espineal e	-----||-⌫|
manche pris	-----|---|
sil aasacoingnie	-||||-|-------|
a cele me ismes coingni e	|---|--⌫----|-------⌫|
lespinedetra n chie	|-----|-----⌫-⌫---|
malguered onlen arandu	--|------⌫-||-||----|
quedeliason mench eeu	--|-|-||--|-----⌫|-|
touteinsisest ildoumalues	---|-----|--|-|--|-----|
doutr esfelonetde l engres	--|--⌫------|-|-||-----|
prod onsle metauant	----⌫--|-|--|----|
e t parlu iso nt	-⌫|--|--⌫|--⌫-|
richeetmanant	----|-|-----|
seilsorpeu entmiexde	-|-|------⌫--|---|-|
lors li fontil	---|-|---|-|
honteet anui	----|-|---|
ace luifontil	|--⌫--|---|-|
tou t le pis	---⌫|-|--|
qu iplusles aau	--⌫|---|--||-|
desseurmi s	------|--⌫|
du nuilai n nousraco nteici	|-⌫|-----⌫|---|----⌫--|--|
quizzc heualauoit norri	--|-|-⌫----|----|----|
tantl eutgardéquill euoltuend re	---||--|-----|-|-|-⌫|---|----⌫-|
senusleueutauoire tpren dre	-|--|-|---|----|-⌫|----⌫--|
por yy ce distl e d onra	--|-|-|---|-⌫|-⌫---|
unss iensuoisinslo bargin gna	--|-⌫---|------|-|------⌫--|
maisnenuoutmie	---||-|---|--|
tan tdonner	---⌫|-----|
aumarchie le conuintal er	-|------|-|------|--⌫-|
icilcuilicheuaus estoit	---|--|-|------|-----|
l i otroie q u ili	-⌫|-----|-⌫||-|
quelihon simetroit	--|-|---⌫||------|
quiencontreau spremiersu enroit	--|-------|--⌫|-------|-⌫-----|
desquiu en roie ntau	--|-||-⌫--⌫----⌫-|-|
detoutes par s lont otroié	-|-----|---⌫||--|------|
q uanto umerchieensun t	-⌫---|-⌫|------|-|---⌫|
zzhomme boirgne	-|----|------|
onte nco ntré	--|-⌫---⌫----|
qui led estre oeul a uoit perd u	--|-|-⌫----|---|-⌫---|----⌫|
aueucque sausl ontretenu	--------⌫|--||--|-----|
sili demandentsonauis	-|-|--------|--|---|
cheualdiele pr is	-----|--|-|--⌫-|
illorrespontquezzuaut	-|--|------|--|-|---|
siln aenluiautredeffaut	|-|||-|--|----|------|
cil qu ilecheu alba rgigna	--|--⌫|-|----⌫-|--⌫-----|
dela soie partleroua	-|-|---|---|-|---|
m aislia utresle	-⌫--|-|-⌫----|-|
cartr opl auoitprisiépe tit	--|--⌫-||----|------|--⌫--|
tantlen acildi stetha sté	---||-||--|--⌫-|-|--⌫---|
qua la ius ticelontmené	-||-|---⌫---||--|----|
silimonstraconmentilfu	-|-|------|------|-|-|
uilainsaresp ondu	------||----⌫---|
iasonch eual n aura po ur	-|--|--⌫---||---|--⌫-|
nenerandrale	-|-|-----|-|
c onu en ant	-⌫---⌫--⌫--|
ciluo lt monst rer	--|--⌫-|-----⌫--|
raisnablemen t	------------⌫|
q uebienlidoitteni rc onuent	-⌫-|---|-|---|----⌫|-⌫-----|
quantpourluinefu	----|---|--|-|-|
plusprisi ez	---|-----⌫-|
n eporluinefu auilli ez	-⌫|--|--|-|-|------⌫-|
ai ns nelcon nui neneuimes	--⌫-|-||---⌫--|-|-|-|--|
liuilains lia	-|------|-||
dista pres	---|-⌫---|
quilne doitten ir	-|-|-|---|---⌫-|
p o ur c elauoitdemiprisié	-⌫-⌫-|-⌫||----|---|------|
queilnenueoitquela	--|-||-|----|--|-|
d unoelueoir	|-|--|----|
que licheuaus	--|-|------|
pouoit ualoi r	-----|-----⌫|
c ilquiauplait aueucest oient	-⌫-|--|-|----|----|---⌫----|
e tleuilai nparler	-⌫|-|-----⌫|-----|
lato rneren tagab erie	|---⌫------⌫||---⌫---|
niacelui qui	|||----|--|
oson c heua lsenest ale z	|--|-⌫----⌫||-|--|---⌫|
est deli urez	--|----⌫---|
pou rce uou sueuilicim onstrer	---⌫|-|---⌫|----|--|-⌫------|
et enseingnier etdeli urer	-|----------|-|----⌫---|
qui co nqu es soit sientrepris	--||-⌫---⌫-|---|-|--------|
e tuaa ueuc sesbons	-⌫|-|-⌫---|--|---|
qui lisachentconseil donner	--|-|------|------|-----|
etbi en sedoit	-|--⌫-|-|---|
contregarde r	-----------⌫|
cilparler d oitdeuant	|-|-----|-⌫--|-----|
que sesparlers aitte lcoint is e	--|--|------|--|--⌫|-----⌫--⌫|
parmi t outesses mespr isons	----|-⌫----|--|-----⌫----|
qu il soitsamblanc ederaisons	-|-|---|--------⌫|-|------|
hon engrantde st roit	--|-|----|--⌫--⌫---|
torne souan tson to rtendroit	----|-----⌫|--|--⌫-|-|----|
dun larro n contequigisoit	|-|-----⌫|----|--|-----|
sous z zbouisson sise dormoit	---|-⌫|-------|-|-|------|
unesour siere	--|----⌫----|
l e trouua	-⌫|-----|
l e zl uisass ist	-⌫-⌫|-⌫-||---⌫--|
esu eil la	---⌫---⌫-|
si conm encaa consillier	-|----⌫---||---------|
quetouiourshantes onmestier	--|--|----|----|-⌫-|------|
ele touiours liaidera	--|--|----|-|-----|
entout l es lius	-|---|-⌫-|---|
neliesteutnoiantdouter	-|-|-----|-----|-----|
puis qu illaueille re clammer	---|-|-|-|-----|--⌫------|
l o rs f ulilerressanspaour	-⌫-⌫-|-⌫|-|-----|---|----|
einsisauintq ueperzziour	-----|----|-⌫-|--|-|---|
fuentrepris a l arre cin	-|--------||-⌫----⌫--|
itrouere nt si u oisin	|-------⌫-|-|-⌫----|
qui l iert	-|-⌫|---|
carmalementsestcontenus	--|-------||--|-------|
ilalasour sier e mand ee	-||-|----⌫----⌫|----⌫-|
silaaconseil appellee	-||||------|-------|
siliprieque li aidast	-|-|---|--|-|-----|
cell i d ist	--|-⌫|-⌫--|
quenesedoutast	--|-|-|------|
esseurfust ettoute n	-|---|---|-|---|-⌫|
qua ntdesforche s sero ies pres	---⌫-|--|------⌫|----⌫--|---|
si lapella lilerresosoi	-||-----|-|-----||--|
dammedistilde liurez moi	----|---|-|--⌫-----|--|
ua di st ele nedo ute srien	-|--⌫-|--|-|--⌫---⌫|---|
ietedeliurerai	-|-|---------|
quan tl imi strentel col	----⌫|-⌫|--⌫-----|-|--|
criade l autrepart	---|-||----|---|
lat ierce fo i s ala	-|-⌫----|--⌫-⌫||-|
sours iere	-----⌫---|
que limemb rast enquel ma niere	--|-|----⌫---|-|---|--⌫----|
las eur asouz le	|--⌫---⌫|---|-|
elep arlaparfaussermon	--|-⌫---|--|---|-----|
he u retaibienai di é	--⌫-⌫-||-|---|--⌫--⌫-|
etsoustenu	-|-------|
et con seillié	-|---⌫-------|
maisorteuoi sidemener	---|-|-|--|-|------|
quene tesai conseildonne r	--|-|-|--|------|-----⌫|
porpense to iquetuferas	-------|--⌫|--|-|----|
que ia par	--|-|--|
moico nseilnauras	--|--⌫----||----|
pour cec hastoietoute	---|-|-⌫------|----|
croientdexledef fe nt	------|--|-|---⌫--⌫-|
encharaiesne ens ourserie	-|-------|-|-|-⌫-------|
quetraises tc ilquis i	--|----|--⌫|-⌫-|--|||
licorsen estmis	-|---|-|--|--|
et l am een esten	-||--⌫|-|--|-|
g rantperil	-⌫---|----|
iadi sauintc u ns le uspromis t	----⌫|----||-⌫-|--⌫-|------⌫|
que ienemeng eroi tcedist	--|-|-|----⌫----⌫|-|---|
l esyyiours dekaresme	-⌫-|-|----|-|------|
atant iamissonaesme	|---|||--|--|----|
enzzboistrouazzmout on	-|-|---|----|-|----⌫-|
refai tsouzla toison	-----⌫|---|-|-----|
meis mesdeman da	----⌫--|-----⌫-|
q uest cedist	-⌫|--|-|---|
ilqueuoi ie l a	-|--|--|-|-⌫|
m estaui s	|--|---⌫|
ce porcen i ertquei	-|--|-||-⌫--|--||
quenulecharnemengeroie	--|---|---|-|--------|
desoncostelmereferoie	-|--|-----|-|-------|
o ri pa rlaifaitilfolie	-⌫||--⌫---|---|-|----|
iel euoitout	-|-⌫|--|---|
conpaingnie	----------|
semest mes auisse iene lgart	-||--|--|---|-|-|-||---|
tex liuenrad aucunne	--|-|----||------|
quile nmenraensambleosoi	--||-⌫|----|-------||--|
se non laira	-|--|----|
noientpormoi	-----|--|--|
iepuis bien	-|---|---|
penr e lemouton	----⌫|-|-----|
se lmengerai por z zsaumon	--⌫|-------|--|-⌫|-----|
miex uautli	---|---|-|
sau monsame ngier	---⌫---||--⌫----|
s elepeutonuendreplu schie r	-⌫|-|---|-|-----|---⌫|----⌫|
si ua itd o m m edemal uais cuer	-|--⌫-||-⌫-⌫-⌫|-|---⌫---|---|
ilnepeutlaissi era nulfeur	-|-|---|------⌫-||--|---|
sonforfai t	--|------⌫|
nesale cherie	-|-|--⌫-----|
ia e ncont resagloutenie	-|-⌫-----⌫-|-|--------|
iahomnefemm elecheresce	-|--|-|----⌫|---------|
ne gardera ueu nepromme sse	-|------|--|-|------⌫--|
une sing esseal am on s tran t	--|----⌫---|--⌫|-⌫--⌫-⌫----⌫|
a toutesbestes son enfant	|-----|-----|--|-----|
etillateno ie nt	-|-|-|----⌫--⌫-|
etp ar sa mblantetparparole	-|-⌫-|--⌫-----|-|--|-----|
tantquaulionlalamonstrer	---|-|-|---||--|-------|
sili conm ence ademander	-|-|----⌫---||-------|
s il fumol t biaxet	|-|-|---⌫|---|-|
cain cplusla idebesteneu ist	|---⌫|---|--⌫--|----|-|-⌫--|
por terlir euueensa maison	---⌫--|-|-⌫---|-|-|-----|
et si recortcester aison	-|-|-----|----|-⌫----|
chascunsotpuis prisesaq uoue	-------|-|---|----|-|-⌫---|
sisemer uoille quelle	-|-|---⌫-----|-|---|
celes enua to utedolente	---||-|-|--⌫--|------|
zzoursencontreenmisasente	-|---|-------|---|-|----|
sestut silesgarda	|----|-||------|
pa rcointise l	--⌫|-------||
uoiief istilileuc	--|-|-⌫--|-|----|
d ontlesbestespa rloient	-⌫--|--|-----|--⌫------|
qu i tant pare st biax	--⌫|---|--|-⌫-|---|
quelchosefai t eleestmesfis	---|----|---⌫|--|--|--|--|
baile lemoitantqu elebeis	----|-|--|---|--⌫|-|---|
carieleueu ilueoirde pres	--|-|-|---⌫-|----|-|---|
celelibailleet	---|-|-----|-|
illepra nt	-|-|---⌫-|
s el men iuehastiuemen t	-⌫-|---⌫--|----------⌫|
ne d euroi t	-|-⌫-----⌫|
nus monstrer	--|-------|
sapriuautene s on pense r	-|-------|-|-⌫-|-----⌫|
de t elchosepeuton	-|-⌫-|----|---|-|
quine peutpasa tousplai si r	--|-|---|--||---|----⌫--⌫|
par descouur anceu i entgrans	--|--------⌫---|-⌫-⌫--|----|
nes tpa sl isi e cl estous loiaus	|--⌫|--⌫|-⌫|--⌫-⌫--⌫-|---|-----|
racontedundragon	------||-|-----|
cu nsu ila i nsprintaconpaingnon	|-⌫-|-⌫---⌫-⌫-|----||----------|
etsis ouuant lip rom etoit	-|-|-⌫-----|-|-⌫---⌫----|
queloial ment leser uroit	--|-----⌫---|-|---⌫----|
lidragons leuout esprouer	-|------|-|---|-------|
p ourae n luifier	-⌫---|-⌫|--|---|
zzo e flicommandea	-|-⌫-⌫|-|-------||
si l idist qu il	-|-⌫|---|-|-|
uoloit esrer	-----|----|
delouefga r der	-||---|--⌫-⌫--|
molt li pria	---|-|---|
etli uilains li de manda	-|-|------|-|--⌫----|
ill iconmandeeinsi	-|-⌫|-------|----|
e t li dragons li respondi	-⌫|-|------|-|-------|
quededensluefo tenbatu	--|-----||--|-⌫|-----|
