qui ueu th enor	--|---⌫|-⌫---|
neperdreieen	-|-----|-|-|
nul eplace	---⌫|----|
que i e ma	--|-⌫|-|
naturene face	-----|-|---|
lihuem derech iefle lia	-|---|------⌫--|-|--|
t otissico milletroua	-⌫-|---|--⌫|-|-|----|
quantl ie ́l o ut sis esloigna	----|-⌫--⌫||-⌫-|-||-------|
et ligoup il	-|-|----⌫-|
sireserpentoruos	---|------|-|--|
etdesliez se uospoez	-|------|-|--|---|
ettuprod om estaenp a is	-|-|----⌫-|---|-|-⌫-⌫-|
quer deluidesl ieriamais	---|-|--|----⌫--|-----|
neprendras tu	-|-------|-|
parmonloscure	--|--|--|---|
nau eie st ulietlescriptur e	|--⌫---⌫|-⌫|---||---------⌫|
quebi endei t chaer let orme nt	--|--⌫-|---⌫|----|-|-⌫----⌫-|
q uipendudespent	-⌫-|----|------|
lifizorai apris	-|--|-|-|----|
dont meisouen dramestozdis	---|--|-----⌫--|--|--|--|
filzenco re	---|----⌫-|
te chas tige	-|----⌫-|-|
situesentrepris de rien	-|-|-|--------|-|---|
que gram ment tepuisse	--|----⌫---|-|-----|
et tu t en	-|-||-|
p uissesd eliure r	-⌫-----|-⌫------⌫|
legier ementnete	------⌫----|-|-|
datendreplu s legie reaie	|------|---⌫|-----⌫-|--|
quepa rauenturee nl atent	--|--⌫|-------|-⌫||----|
t e sordr eittost	-⌫|-----⌫--|---|
plu sbr iefent ente	---⌫|--⌫--|---⌫---|
mes tr es merecontou t	---⌫--⌫-|-|--------⌫|
d u nclercq ui bie nuersefiout	|-⌫|----|-⌫-|---⌫|---------|
qui ses uersaun reibaill a	--|--|---||-|--|-----⌫|
et q uantli reislesregarda	-|-⌫---|-|---|--|------|
moutliplourente t sili d ist	---|-|-------|-⌫|-|-|-⌫--|
queseurementrequesist	--|--------|--------|
del suen ce qu e	--|---|-|--⌫|
aueirenuoudreit	----|-|-------|
et ilmoutbonement laureit	-|-|---|-------||-----|
etillesaue it atantsage	-|-|-|----⌫-|----|---|
que ilne requereit	--|-|-|--------|
nuloutrage	--|------|
s ire dist ci lieuosrequier	-⌫--|---|--⌫|-|--|------|
soieunsol meis portier	---|-|--|---|------|
d u necite queuosa uez	|-⌫-|---|--|--|-⌫--|
etp ar apre sme consen te z	-|-⌫-|----⌫|-|------⌫--⌫|
quechasc un qu ii	--|-----⌫-|--⌫||
quibochuzou	--|-----|-|
teignossera	------|---|
oulois our ognosou c reué	-|---|-|-⌫----|-|-⌫----|
se il se met	-|-|-|--|
medoi nts olem ent	-|---⌫-|-⌫----⌫--|
ie lgre distli r e ibonement	-||--|---|-|-⌫-⌫|-------|
par sonseelli	--|--|---|-|
liclersala	-|----||-|
deiostelaportesasist	------|-|----||----|
meissonmes tierfist	---|--|---⌫---|---|
estesuosu n iorunboc uz	----|--|-⌫|--|-|---⌫-|
quisest en	--||--|-|
laporteenbatuz	-|----|------|
dunebone chap eafublez	|--|---|----⌫|------|
sitostcomilfuen entrez	-|---|--|-|-|-|-----|
cler csondenier	----⌫|--|-----|
li uo utpasba illier	-|--⌫-|--|--⌫-----|
leclerc lepristsilileua	-|----|-|----|-|-|---|
lechaperone t auisa	-|-------|-⌫|----|
queiln au eit	--|-||--⌫--|
queunsoloi l	--|-|--|--⌫|
orai distil	-|-|---|-|
lideniersn iert hu imes so us	-|------||---|--⌫---|--⌫-|
paiez dous	----|---|
porunp eussie zeschaper	--|-|-⌫------⌫|-------|
oruosencouient do usdoner	-|--|-|------|--⌫-|----|
qu er chascu nmehaingcesacheiz	--⌫-|------⌫|------|-|------|
queuosauez aquitereiz	--|--|---|---------|
cilne uout neien t otreier	--|-|---|-----⌫|------|
licle rsl e p rist si luoutlie r	-|---⌫-|-⌫|-⌫---|-||---|---⌫|
fuirmesn out paron	---|--||--|--|-|
qu e rci l	--⌫-⌫|--⌫|
c ha peron	-⌫--⌫----|
quet antli escostettira	--|-⌫--|-|-----|-|---|
quet otl echiefli esnua	--|-⌫-|-⌫|----|-|----|
quant la test e	----|-|----⌫|
fudescouerte	-|---------|
sifu lategneto teaperte	-|-|-|----|--⌫-|-----|
quantli cle rclate igneau isa	----|-|---⌫-|-|--⌫---|--⌫--|
li tierz denierlide m anda	-|----|-----|-|--⌫-⌫---|
qu a ntciluitqu al ernau reit	--⌫-⌫-|--|--|-|--⌫-||--⌫---|
nequefuirne senpor re it	-|--|---|-||-|---⌫--⌫-|
parfo rce s e n	--|--⌫--||-⌫|
cuidapartir	----|-----|
etporl eclercqu iluout	-|--|-⌫|----|-|-|---|
sesbrazdesozsachapeosta	--|---|----|-|----|---|
etquantliclerc lesesgarda	-|----|-|----|--|------|
amisd istil or delco mbatre	---|-⌫--|-|-|--|--⌫-----|
po rlesd eniersquero rs un t quatre	--⌫|--|-⌫-----|---|-⌫|-⌫--⌫|-----|
cezb ra zueiderogneporpris	--|-⌫--⌫|--|-|----|------|
liqua rtdenierert pri s	-|---⌫-|-----|--|---⌫|
de fen tme s	--⌫---⌫|--⌫|
neu aut ri en	-|-⌫--|--⌫-|
q u er li cl ercfufort sil	-⌫-⌫-|-|--⌫--|-|---|-||
lachapedelcol	-|----|--|--|
et cil uersterresaclina	-|--|---|----||-----|
nes e poutteni r s i chai	-|-⌫|---|----⌫|-⌫|---|
clercgar da	----|---⌫-|
queile rtm a lmiset c reuez	--|-|-⌫-|-⌫-⌫---|-|-⌫----|
donc acinc deni ers demandez	---||---|----⌫--|-------|
nioutnientdeschaucerrer	||--|----||-----------|
tozcincli couintadon er	--|---|-|-----||---⌫-|
moutsepout orfei redolent	---|-|---|-|---⌫-|-----|
quipeust si legierement	--|----|-|----------|
esc haperporunsol	---⌫----|--|-|--|
etp uislencou int cincpaier	-|-⌫--||-|---⌫--|---|----|
filzgardetei det elf olie	---|----|--|-|-⌫-|-⌫---|
quesagefa itqui sechastie	--|---|--⌫-|--|-|------|
etpar l a u t ruimalesgarder	-|--||-⌫-⌫-⌫--|--|-------|
sepuetl enbien delsoenga r der	-|---|-⌫-|---|--|---|--⌫-⌫--|
bealsfilz ogentdebone	----|---||---|-|---|
uo ilque tu	--⌫-|--|-|
prengescomp aignie	------|----⌫-----|
deua ntcelsnepasser	----⌫-|---|-|-----|
quiuietuorrasblasmer	--|--|-|----|------|
carpar letre s pa sser alon	--|--|-|---⌫-⌫--⌫---||--|
telehoreestau cuneacheson	---|---|--|--⌫---|------|
quelennepuet pa s trestorne r	--|--|-|---|--⌫|---------⌫|
nesestuecearester	-||------|------|
etqui siareste et	-|--|||-----|-|
merueilleert sau partir n en	--------|--||-|-----||-|
unmienm estre sol eit conter	-|---|-⌫----|---⌫--|-----|
quedeus clersp or	--|---|----|-⌫-|
euls deporter	---|-------|
unuespreduneuileeissire nt	-|-----||--|---|-------⌫-|
etd euant els un	-|-⌫----|--|-|
ostelui rent	----|--⌫---|
outuitsesteientassemblé	-|---||-------|--------|
iluecbe uoientetchantoent	----|--⌫-----|-|--------|
et lam i n ete io uent	-|-|-⌫-⌫-⌫--|--⌫---|
cedistliunnepasson	-|---|-|-|-|-----|
pa r deuant	--⌫|-----|
cest eco mpag nie	----⌫|--⌫----⌫--|
quer ilnesuntpasbonege nt	---|-|-|---|--|---|--⌫-|
e tlisaiues	-⌫|-|-----|
homsle d efe nt	---|-|-⌫---⌫-|
quersolpasser nedeit	---|--|-----|-|---|
pard euantge nt	--|-⌫----|--⌫-|
de male uie	-|---|--|
distli autres ianenperiron	---|-|-----|-||-|------|
delpa sse rsi	--|--⌫---⌫|-|
plusnifaison	---|||-----|
outre poonnosb ienpasser	----|---|--|-⌫--|-----|
mai silnifetnularester	---⌫|-|||--|--|------|
furent delamaison	-----|-|-|-----|
sioiren t une	-|-----⌫|--|
queundes le cheorschantout	--|-|--|--⌫-----|-------|
boen tonioutetmoutli p lout	---|--||--|-|---|-|-⌫---|
liu nspo roirs arresta	-|-⌫-|--⌫|--||------|
et li autresoutrep assa	-|-|-----|------⌫---|
etap elason compaignon	-|--⌫--|--|---------|
mes ta ntliplesei tla chancon	--|--⌫-|-|------⌫|-|------|
q ue n uleriennele n	-⌫-|-⌫--|---|-||-⌫|
tant co mmelachancondurast	---|--⌫--|-|------|-----|
p ormielz oirest enz entrez	-⌫-|----|--|--|--|-----|
parzquilsarestut	---|-|-||------|
et ouec e lssasist	-|---|-⌫-||----|
aueitpaslonguesesté	----|--|------|----|
quant l i pr euostdelacite	----|-⌫|--⌫----|-|-|---|
iuint moutesfreement	|---|---|---------|
etamenao seigrant gent	-|----||--|----|---|
iceus lec heorsquereit	----|---⌫----|------|
de quiaperceu sest eit	-|--|------||---⌫--|
et silier tbienendité	-|-|-|--⌫|---|------|
espioutl acit e	------|-⌫|---⌫|
parnuitlauoleitalumer	--|---|-|-----|-----|
heisede rober	----|-|----|
qu antcilen la maison e ntrerent	--⌫--|--|-|-|-----|-⌫-------|
o ueclesautresle trouerent	-⌫--|--|-----|-|--------|
getentlespoinz si	-----|--|----|-|
lonts aisi	|--|-⌫---|
etillor atotre gehi	-|-|--||--|--⌫---|
etconeulauerit e	-|----|-|-----⌫|
que ardreuol eitla cite	--|----|---⌫--|-|---|
distlipreuostdeci torna	---|-|------|-|-|----|
reuientetr eceta	------|-|-⌫----|
cis tsunt sicompaig non	---⌫|---|-|-------⌫--|
est dreit etraison	--|----|-|-----|
quetuitso iento	--|---|--⌫---||
luida mp n é	--|--⌫--⌫-⌫-|
liez lessis erontmené	---|--|-|-⌫----|----|
tuitape ndredeliurement	---||--⌫---|----------|
ia ni atendron	-|||-------|
cil f ir entson com mandement	--|-⌫--⌫--|--|---⌫--------|
liez lesonte streite ment	---|--|--|-⌫-------⌫---|
l es poinzliezlesoilzbendez	-⌫-|----|---|--|---|-----|
lesont dreitas	--|--|----|-|
forchesmenez	------|----|
liclercquiouecels	-|----|--|---|--|
quinul er ien	--|---⌫|-⌫--|
forfetnaueit	-----||----|
oianttotlepuple criou t	----|--|-|----|-----⌫|
ape ndre lemenout	|--⌫---|-|-----|
quea boendrei tlecomperout	--||---|----⌫|-|--------|
quiomal e sg enzsar estut	--||---⌫-⌫|-⌫--||--⌫----|
etpa rdr eit	-|--⌫|--⌫--|
enperde itlauie	-|-----⌫-|-|--|
quioeusperneit compaignie	--||--|------|---------|
belfilzcistnaueitrien	--|---|---||----|---|
sinequeden a morttrait	-|-------||---|----|
parlamau uese compa ignie	--|-|---⌫---|-----⌫----|
ou ilseioinstpar	-|-|-|-----|--|
uolentiers sedoitlen garder	---------|-|---|--|-----|
de t elc ompaignie a coster	-|-⌫-|-⌫--------|-⌫-----|
siteredipor ueirbel	-|-|---|--|---|--|
q uedeliurementesthon iz	-⌫-|----------|--|---⌫-|
quiafame prentcompaig nie	--||---|----|-------⌫--|
qui de maus eng ienzestgarnie	--|-|---|---⌫---|--|-----|
et ce suntil	-|-|---|-|
abi enprof totes	|--⌫-|---|----|
honizesse tu	----|-|-|-|
ne s r edotes	|-⌫|-⌫-----|
pri e adieu quede lorart	---⌫||---|--|-|--|--|
et delorm alen ging teg ar t	-|-|--|-⌫-|--⌫---|-|-⌫--⌫|
quernen pue z estre	---||-|---⌫|----|
se parluinonc esacestu	-|--|--|--|-⌫|----|-|
chierpere moutaigrantta lent	----|---|---|-|----|--⌫---|
d oir delorconten eme nt	|--|-|--|------⌫---⌫-|
delor oureset de	-|--|----|-|-|
engienzet delormors	------|-|-|--|---|
orreie uolentiersp arler	-----|---------|-⌫----|
p or saue irmeideles	-⌫-|----⌫-|--||---|
aucunfablelaucune rien	----|-----|-----|---|
m en dites	|-|----|
sefe reiz mo ut bi en	-|--⌫---|--⌫-|--⌫-|
filzplus ors	---|----⌫--|
cho sestecontasse	---⌫--|-|-------|
engi ens e ieosasse	----⌫-|-⌫|-|-----|
mesie uei bienquetu	--|-|--|---|--|-|
totquan queiete dien	--|----⌫--|-|-|-|-|
sior ratelparauenture	-|--⌫-|--|--|-------|
mes paroles en t escr ipt ure	--|------|-||----⌫---⌫--|
quitotamal	--|--||--|
at orner a	--⌫-----⌫|
cequesolementditsera	-|--|-------|--|---|
po rhome e struireet doctriner	--⌫|---|-⌫------|-|--------|
etpor saueir s eimeuz garder	-|--|-----|-⌫-|---|-----|
quertell orra	---|--||---|
lengienquel autre	|-----|--||----|
quim a uueses sample i prendra	--|-⌫-⌫---|--⌫-----||------|
et au tre tel re ssaera	-|--⌫---⌫--|--⌫-----|
pere n aiezd ecepoor	---||---|-⌫|-|---|
onttraitié	--|-------|
queonquesnenfu ren tbla smé	--|-----||-|--⌫---⌫|---⌫---|
mesp lus pre isiezet plu samé	--|-⌫--|---⌫----|-|---⌫|---|
enu npr ouerbesqueilfist	-|-⌫|--⌫------|--|-|---|
neissa lemon	---|--⌫----|
ditesmen se	----||-|-|
riene nsauez	---|-⌫|----|
i adecene sereizbla smez	-⌫|-|-|-|-----|---⌫---|
bea l fi lz quantautren epuet	---⌫|--⌫-|----|----|-⌫|---|
diraidel or estre	----|-|-⌫-|----|
c om meil d eceiuen t lor	-⌫--⌫-|-|-⌫-------⌫|--|
l or faitetparlordiz	-⌫-|---|-|--|--|--|
unsprodom eertqui au eit	--|------⌫|--|--|--⌫--|
u nedemalengienesprise	-⌫-|-|--|-----|------|
liprodomeune uigneaueit	-|------|--|----|----|
o umoutgrant ent entemeteit	-⌫|---|----|---⌫---|-----|
moutlalout souentregarder	---||----|-----|-------|
etp roogni er et ato rner	-|-⌫------⌫-|-|---⌫---|
i fua léunior	|-|-⌫--|-|--|
celemand asonlecheor	---|----⌫|--|------|
etciluint quantellout	-|--|---|----|-||--|
etfistdelesauo lente	-|---||--|-|--⌫----|
liprodons quiescha n s esteit	-|------|--|-|---⌫-⌫|-----|
qu idetot cemot nesaueit	--⌫|-|--|-|--|-|-----|
g rant aleure	-⌫---|-----|
qu erbleciél outpar	--⌫-|------||--|--|
un raimenloilqu elaue ue	-|---|-||--|--⌫|-|--⌫-|
outdiceloi ltoteperd ue	--||---|--⌫|---|----⌫-|
quant alosteluintsit roua	----|||----|---|-|-⌫---|
fer mez donc ape l a	---⌫--|---|---⌫-⌫|
comhomme qui aueitmestie r	--|----|--|----|------⌫|
cil nesesouren tconseillier	--|-|-|------⌫|----------|
querliuas al	---|-|---⌫-|
neilne sa ueit outa pir	-|-|-|--⌫---|-|--⌫--|
osaplusde morer	--|---|--⌫----|
luses talee de sfermer	|-|--⌫|---|--⌫------|
lilechier res reme st elliet	-|-------⌫--|----⌫-|-|---|
o u ila u eitfetsondeliet	-⌫|-|-⌫-⌫--|--|--|-----|
que ilpout	--|-|---|
del l it secouri	--|-⌫-|-|----|
marifuenz entrez	---|-|--|-----|
dam edi stil lusrecloez	---⌫|--⌫-|-||-|------|
etmonliettost maparelliez	-|--|---|---||---------|
q uer iesui auqu esdehaitiez	-⌫--|-|--|----⌫-|--------|
sired is t elp or dieu	---|-⌫--⌫|-|-⌫-|---|
porqueiuosha stez uoseissi	--|---|--|--⌫---|--|----|
m e sdites moi primiereme nt	-⌫-⌫|----|--|----------⌫-|
ou ceuosa uint	-|-|--|-⌫---|
damedistilge lu os	---|---|-|-||-⌫-|
oreinzquant a mauigne	-----|----||-|----|
un raimme feri	-|---|-|---|
dede nzl oil	----⌫-||--|
mou t sui blec iez etmout me ndoil	---⌫|--|----⌫--|-|---||-⌫|---|
ne npuis aue irnuleclar te	|-⌫|---|---⌫-|---|----⌫-|
s i qui bieniel ai	-⌫|--|---|-||-|
lasse d istelequefe rai	----|-⌫--|--|--|--⌫--|
chier sire u nmo utboen	----|---|-⌫|--⌫-|---|
charm es ai	-----⌫|-⌫-|
dontieuoscharmere	---|-|--|-------|
puis poe zest re bien cer tain	---|---⌫|---⌫-|---|---⌫---|
queiale malnesi fe rra	--|-|-|--|-|||--⌫--|
puisqueilch arm ezen	------|-|--⌫---⌫-|-|
q uerdelunet l	-⌫--|-||-|-||
autreseprent	----|-|----|
qui par cha rme	--|--|---⌫--|
nele ndefe nt	-||-⌫|----⌫-|
cilcuide bienque	--|----|---|--|
ue irli die	--⌫-|-|--|
quinesout pastantde	--|-|---|--|---|-|
aterre ensondeua ntsecouch e	|----|-|--|----⌫-|-|-----⌫|
etel liclotl oilola	-|-|-|---||--||-|
et fists enblantquel li charmast	-|---|-⌫------|-|-|-|-------|
me sporcequeci ls en ala st	--⌫|--|-|--|--⌫||-|---⌫-|
do nceleesteitbienentrepr ise	--⌫-|--|-----|---|-------⌫--|
lit eneitc losp argrantfe intise	-|-⌫----|-⌫--|-⌫-|----|--⌫-----|
tan tlitint close t tan tserre ́	---⌫|-|---|---|-⌫|---⌫|-----⌫|
quecil d ell its en esta l é	--|--|-⌫-|-⌫-||-|--|-⌫-⌫-|
quant elsou t qu ilfuesloi gniez	----|-|---⌫|-|-|-|-----⌫----|
si red istelo ru osdreciez	--⌫-|-⌫--|-|-⌫|-⌫-|------|
etsiso iezortotcertain	-|-|--⌫--|-|--|------|
dice stoil	|---⌫-|--|
q ueuos au ez	-⌫-|--|--⌫-|
que iadelmalniertadesez	--|-|--|--||---|-----|
quienl autre sest	--|-||----||--|
uosplest arepos er	--|----||-----⌫-|
bienpoezo rau l ie t aler	---|---|-⌫|-|-⌫--⌫|---|
cedi stlifizice s te	-|--⌫-|-|--|---⌫-⌫-|
esteitueir ementenginnose	-----|----⌫----|--------|
p ar grantengienfu	-⌫-|----|-----|-|
de cedomel ertencombree	-|-|--|-|--|--------|
agrantprofet litornereit	|----|-----|-|--------|
qui te ls fable alsauquesorreit	--|--⌫-|-----⌫--|-----|-----|
pere se dexuosbeneie	---|-|--|--|-----|
neuosata rgiezenc ormi e	-|--|---⌫----|---⌫-|--⌫|
plus uostremerci	---|-----|----|
qu eronques mesrie n	--⌫-|-----|--|---⌫|
qui plusme pleusta	--|---|-|-----||
bel filz ildeuient	--|---|-|------|
moltpla isir	---|---⌫---|
quer grantsen sipuetlenaprendre	---|----|---⌫||---|--|-------|
boncu er iueut	--|--⌫-||---|
or o iesune	-|-⌫--|--|
otre coint ise	---|-----⌫--|
unp rod omeauoetfameprise	-|-⌫---⌫--|----|---|----|
sasuegre e nsenbl eoe l smane it	-|-----|-⌫------⌫||-⌫-⌫|----⌫-|
enquis en f ioutetcree i t	-|--||-|-⌫---|-|----⌫-⌫|
uniora ga rder lib ailla	-|--||--⌫---|-|-⌫----|
et enu nsoenbesoing	-|-|-⌫|---|------|
la meschin equifu	-|-------⌫|--|-|
quanto samere fusoltiue	----||-|---|-|------|
mere dis telee ntende z	---|---⌫|--|-⌫------⌫|
porquei uitquinul biennena	------|--|--|--|---|--||
mout pa racilmalueseuie	---|--⌫||--|------|--|
qu i m ilefeiz ne s asazie	--⌫|-⌫--|---|-||-----|
de rie ndontila it desirrer	-|---⌫|---|-|-⌫-|-------|
puetsauieennuier	---|-|--|------|
p orq ueid iz tu me repormei	-⌫-|-⌫--|-⌫-|-|--⌫-|--|--|
aime sdoncoil par fei	----⌫|---|--|--|--|
etat on ami de	-||-⌫-|--|-|
oililm aime s anzmesur e	--|-||---|-⌫--|-----⌫|
commentle sei z	------|-|---⌫|
ettucom ment e sproué lai	-|-|---⌫---|-⌫------||-|
q u en estrienplus demei li	-⌫-⌫||--|---|---|-|--|-|
mande le ietef areaise	----|-|-|-|-⌫--|---|
lilechierrem and ez	-|--------|-⌫---⌫-|
etliconuizfuaprestez	-|-|-----|-|-------|
quan taumengier f urent	----⌫|-|------|-⌫----|
es les uosmal ement sopr is	-|--|--|---⌫----|----⌫-|
quer lim arize strepairie z	---|-|-⌫---|-⌫-|--------⌫|
mala de etde haiti ez	----⌫-|-|--⌫-----⌫-|
alusuintsi	||-|---|-|
co mmande ourir	--⌫-----|----|
lilec hierres sen uou t fuir	-|---⌫------||-|---⌫|---|
mesnoutparoucele s l o ntpris	--||--|--|-|----⌫||-⌫-|---|
sil ont en	-||--|-|
unechambre mis	--|------|--|
ouli lie z au	-|-|---⌫|-|
seignor este it	------|----⌫-|
carautre refui nia uei t	--|----|----|||-⌫---⌫|
q ua nt totontmucie ́et	-⌫--⌫-|--|--|-----⌫|-|
si ontau s eignorlu so uert	-|--|-|-⌫-----||-⌫|-⌫---|
damedist ilasamollier	---|---|-||-|------|
alezmonlit	---|--|--|
appareillier	-----------|
malad e suiet m out	-----⌫|--|-|-⌫--|
en m onl itreposermeuoil	-|-⌫-|-⌫-|------|-|---|
lameschinefue sf ree	-|-------|-|-⌫--⌫--|
si a sa mereregardee	-||-|---|-------|
po orouts e n l a chambre entrast	--⌫-|--||-⌫|-⌫|------|------|
queson lecheor n	--|--|------||
qua ntlamerelauitdo ter	---⌫-|-|---|-|--|--⌫--|
fi lledistel	--⌫--|---|-|
ne tehaster	-|-|-----|
pre mier ementlimostr eron	---⌫----⌫----|-|-----⌫---|
nostr e lincuel que	-----⌫|------|--|
unl incueltrait auant	-|-⌫-----|----|----|
siliontestendudeuant	-|-|--|------|-----|
lauielle lundeschie s	-|-----||-|--|----⌫|
etlautr easafillebaill a	-||----⌫||-|----|-----⌫|
semblantlifis t qu elle l euast	-------|-|---⌫|-|-|-|-⌫----|
etdeu ants o nmaris	-|---⌫--|-⌫-⌫|---||
cele lefisttota	---|-|---|--||
tant queparlombred el	---|--|--||----|-⌫-|
q u ifule u ezet estenduz	-⌫-⌫|-|--⌫-⌫-|-|-------|
sen f ulilecheoriss uz	|-|-⌫|-|------|---⌫-|
qu ant ilso rentquesloi gniezfu	--⌫--|-|--⌫---|-|-----⌫----|-|
sio nt lorlincuele stendu	-|-⌫-|--|------|-⌫-----|
fille di st lauielleora le z	----|--⌫-|-|-----|-|-⌫--⌫|
lelituo stres eignorcour ez	-|--|--⌫---|-⌫-----|----⌫-|
decellincuelquantfait sa ra	-|--|------|----|---|--⌫-|
plus soef sire p oser a	---|---|||--⌫-⌫----⌫|
por cequebl a nc	--|-|--|--⌫-⌫-|
est etdougie z	--|-|------⌫|
ale z tostsi lapa relliez	---⌫|---|-||---⌫------|
e le ua itle li taprester	-⌫-|--⌫-|-|--⌫|-------|
et cil sialarepo ser	-|--|||--|----⌫--|
par lo r se nsetparl or	--|--⌫|--⌫-|-|--|-⌫-|
ledecurent	-|-------|
en tel ballie	-|--|-----|
c edistlif iz	-⌫|---|-|-⌫-|
me rueillesoi	--⌫-------|-|
sisachiez que	-|------|--|
moutmestesioi	---||--|----|
pordieuditesoncorauant	--|---|----|----|----|
ne uosarestezpas atant	-|--|------|--|----|
etgraignor p rofitiaurai	-|-------|-⌫----||----|
belfilzletie rzfablelorras	--|---|-|---⌫-|-----|----|
eta itant me sof feras	-||----|-|---⌫----|
oiiaparler	-|-|-----|
qui ballasafameagar de r	--|----|-|---||---⌫--⌫|
a sa mere totautresi	|-|---|--|------|
comfistci st	--|---|--⌫-|
donttuasoi	---|-|-|-|
lames c hineunau tre	-|---⌫-⌫---|-|--⌫--|
e tasa merel endita	-⌫||-|---||-----|
po r dieuli pria hom blemen t	--⌫|---|-|---|---⌫------⌫|
qu el porchacast hastiueme nt	--⌫||---------|---------⌫-|
queci lpeustalieuenir	--|--⌫|----||--|----|
si non elselai ra	-|--|-|-|---⌫-|
mer eq ue meree nque lmaniere	---⌫|-⌫-|---|-⌫|---⌫|------|
mesois tele saprei ere	------⌫|--|-|----⌫--|
quifust c e qui bi en en deist	--|---|-⌫|--|--⌫-|-|----|
lafillefallist	-|----|------|
lelecheorout apelé	-|------|--|-----|
que l i chapo nfurent tué	--|-⌫|-----⌫|-----|---|
et grantapareil	-|----|------|
me s apresi outgrantdeh ait	--⌫|----||--|----|---⌫--|
quertel soruint as napestrai re	---|--|------|-|----|----⌫-|
n ie ussent que	||-⌫-----|--|
mar izqui r euint	---⌫-|--|-⌫----|
al usb otames il	||-|-⌫--|--|-|
que rcillaueientbien	---⌫|--||------|---|
quide denz	--|--⌫---|
erent ens erré	----|---⌫----|
nioutce lni eus tpoor	||--|--⌫|||---⌫|---|
quantil o i ren tleseig nor	----|-|-⌫-⌫---⌫|-|----⌫--|
carn ioutchambre nesolier	--|||--|------|-|-----|
ouliuasal speustmucier	-|-|-----⌫|----|-----|
nere duitn u lor quefer ont	-|--⌫---|-⌫-⌫|-|--|---⌫--|
enquelguise secon te ndront	-|---|----|-|---⌫--⌫-----|
cilne poutm ucierne	--|-|---|-⌫----|-|
lorcouintilouri r	--|-----|-|----⌫|
lameschineesta lus ale e	-|-------|--|||-|---⌫|
et lauielle	-|-|-----|
prent une espee	----|--|----|
delfuerrel am outtostsachee	--|-----|||-⌫--|---|-----|
puisla aupaut onnierb allee	---|||-|----⌫-----|-⌫----|
totenueelpoingliami se	---|--|-|----|-||--⌫-|
puis s e st	---||-⌫-|
a une pa rtassise	|--|--⌫-|-----|
me san ce islidistc ires ta	--⌫|--⌫--⌫-|-|---|-⌫|---⌫-|
etquiderien ta pe lera	-|--|-|---||-⌫--⌫---|
gardequemoutneliso ner	----|--|---|-|-|--⌫--|
i e p arleraiqui saipa rler	-⌫|-⌫------|--|--|--⌫---|
quantlimariz dedenzentra	----|-|----|-----|----|
arestutse i si esgarda	------|--⌫|-|------|
celui quilespeeteneit	----|--||----|-----|
meruei llaseiq u ice esteit	------⌫--|--|-⌫-⌫|-|-----|
quidaquocireleuou sis t	----|-|----|-|---⌫---⌫|
tra ist sei	---⌫--|--|
arreresi lidist	-----|-|-|---|
b el samiscequ e senefie	-⌫--⌫|---|-|--⌫|------|
ai gedonc garde	-|-|---|----|
de m a uie	-|-⌫|--|
quels huens estespor	----|----|----|--|
quel mellee	---|-----|
auezcit ra iteuostreespee	---|-|-⌫--⌫--|-----|----|
auosmafamerien	|--|-|---|---|
nemasogrec ecoment uait	-|-|----|-⌫|-----|---|
onqu esc il mot nere spondi	----⌫-|-⌫-|--|-|--⌫-----|
etla uiellesauts isaisi	-|-|-----|---|-⌫|----|
song endre puisla traita sei	--|-⌫----|---|||----||--|
soef li dist beals fiz	---|-|---|----|--|
geted i raicomiluint ci	-|-|-⌫-⌫--|--|-|---|-|
ta fameme ngion	-|---|--⌫----|
et aui o ncuitun	-|---⌫-⌫|---|-|
quisemoreitdelapep i e	--|-|-----|-|-|---⌫-⌫|
autrement neltuissonmie	--------|-||------|--|
de ce pu eztuestre toz ce r z	-|-|--⌫-|-|----|--|--⌫-⌫|
nostre us e rt remestozouerz	-----|-|-⌫-|----|--|----|
quantcisthomceien z sembati	----|---|--|-----⌫||-----|
lespeetraitetoteissi	|----|-----|--|----|
comtule u eiz ici ester	--|-|-|-⌫--|--|----|
apr es u ehi mes trespasser	---⌫-|-⌫---⌫--|---------|
treishomesp armi	----|----|-⌫---|
chescunteneitl	------|-----||
gra nt eirreapres cestuicoreent	---⌫-|----|----|-----|------|
porc equocire	--|-⌫|-|----|
leuoleient	-|-------|
mes dexnel uoutp arsa p itie	--|--|-||---|-⌫-|-|-⌫---|
p arqui si fur entdesu eié	-⌫-|--|-|---⌫--|----⌫---|
que ilnel sourent	--|-|-||------|
plusouque rr e	---|-|---⌫--⌫|
qu eseilfust mu c iez en	--⌫|-|-|---|--⌫-⌫--|-|
u icesi leuaisus	-⌫|-|-|----|--|
etparboneentente clo s	-|--|---|------|---⌫|
porcequ e ceienz	--|-|--⌫|-----|
ne gar da ssent	-|---⌫--⌫----|
parauentur e et ne ltrou assent	--|-------⌫|-|-||----⌫-----|
orquant il toi a	-|----|-||-||
effree zfut si	------⌫|--|-|
sespeetraisttot esbahiz	|----|-----|--|------|
querbienquidoutestreasai lliz	---|---|------|----|----⌫---|
ade uen rent	|--⌫|-|---|
i egrant merciz	-⌫|----|-----|
qu ece ien z la	--⌫|--⌫---⌫|||
de mortgardé	-|---|-----|
et auos ensai geboengre	-||--|-|--|-|---|--|
quer bienetaumos ne	---|---|-|-----⌫-|
