chiconmenche	--|--------|
que liautre squi paiensestoit	--|-|-----⌫|--|-----|-----|
iouo itdartenc anterresse et cene	----⌫-||--|---⌫---------|-|-|-|
loisoitil mie	------|-|--|
au c restien a fai re	-|-⌫------||---⌫-|
porcheestoitil uenusrequerre aie	--|--|-----|-|----|-------|--|
au serfnostre seigneu rm eesmem e nt	-|---|-----|-------⌫|-⌫------⌫-⌫-|
encontrechiaus delachitedegase	-------|-----|-|-|----|-|---|
quianostres eigneur estoient	--||-----|-⌫------|-------|
auersaireet anemi q an t	--------|-|----|-⌫--⌫|
hylaires ilseteut et sifrer eli	-------|-|-|---|-|-|----⌫|-|
quilfesistch ouque cil li prioit	-|-|-----|--⌫-|--|--|-|-----|
c arbienlorsanbloi tqui l eust	-⌫-|---|--|-------⌫|-|-⌫|---|
raison etdro it ured o ntconm anda	-----|-|---⌫--⌫--|-⌫-⌫-|----⌫---|
sainshyl airesqueon li	----|---⌫----|--|-|-|
apor t astsen hanap	----⌫-⌫--|--|----|
aquoiilbuuoits i l	|---|-|-----|-⌫||
emple ist on	-----⌫--|-|
d iaue si leb aillast	|---|-|-|-⌫------|
li req ueroit aieitalicusleprists i	-|---⌫-----|--|-------|-|----|-⌫|
s enrep aira ensemaisonar riere	|-|---⌫---|-|-|-----|--⌫----|
chelei aue quil au oit aportee arro usast	----|-⌫--|-|-|--⌫--|------|----⌫----|
lestableet lescheu aus etle	|------|-|--|----⌫--|-|-|
c aret toutesle scoses qui	-⌫-|-|-----|--⌫|----|--|
iapartenoient	|-----------|
dont furentatornépo rcorre	---|-----|------|--⌫|----|
ildeuoie nt grans fu li	-|------⌫-|----|-|-|
puepl es qui	-----⌫-|--|
laesto itas samb le ́spor	-|----⌫-|--⌫----⌫--⌫-|--|
ueiret p our	---|-|-⌫--|
esgarderchele cose	-------|----|---|
lipaiensqui	-|-----|--|
encontrele	-------|-|
crestienestoit	-------|-----|
lede gabo it	-|--⌫----⌫-|
dec he qu e sains	-|-⌫-|--⌫|----|
hylai resliauoitrouuéf airecar	-----⌫--|-|----|-----|-⌫---|--|
bienensauoi tle nou ele etc hil	---|-|-----⌫|-|---⌫--|-|-⌫--|
quideuerslecrestien estoientd i s oient	--|-----|-|-------|-------|-⌫-⌫-⌫----|
seurs caril	----|--|-|
ua interoitne	--⌫-------|-|
neualro ient au	-|-----⌫---|-|
paiens nule	-----|---|
rienssesencanteries	----|--|----------|
et lor sf urent uenuau leu	-|---⌫|-⌫----|---|-|--|
d onti l deuo ientmouoiretqant	-⌫--|-⌫|----⌫---|-----|-|---|
on l ordo nasignedaler cil	-|-⌫-|--⌫-|----||---|--|
fer iren t	---⌫----⌫|
desesperons	--|-------|
q ui seurl es	-⌫-|---|-⌫-|
cheuausestoi entet	------|-----⌫--|-|
conmench eren t	--------⌫----⌫|
acorresiisnelemen t	|----|-|---------⌫|
que chestoit	--|-|-----|
a ue irtropg rant me rueille li	|--⌫-|---|-⌫---|--⌫------|-|
cheual coroientsi tost que che	-----|-------|-|---|--|--|
queiluolassentetconme	--|-|--------|-|----|
coro ientsitost lesroe s	----⌫---|-|---|--|---⌫|
aupaienconmencherent	-|----|------------|
a ar d oir	|--⌫-⌫--|
eta espre ndreetlicrest ie nstrespas sa	-||-----⌫---|-|-|-----⌫--⌫-|-------⌫-|
si tost c a painnes lepooient	-|---|||------|-|------|
ueirquilesgardoientdont	---|--||----------|---|
c onmenchaa leuer	-⌫-------||----|
delpueple et	--|-----|-|
gransnoiseetgran s c riee ai nssifu	----|----|-|----⌫|-⌫---|--⌫---|-|
li paiens uaincusparnostres eigneur	-|-----|------|--|-----|-⌫------|
ihesucr istetp arsaint hylaire	----|--⌫--|-|-⌫-|----|------|
etbiensaic hiésque plusor paien	-|---|----⌫----|--|-----|----|
quiche seurentet uirents	--|--|------|-|-----||
en atornere nt	-|--------⌫-|
acreancheetcil	|-------|-|--|
quiuaincus	--|------|
f u etsi con pa ignon	-⌫|-|-|---⌫--⌫----|
quesa ins hyla iresestoit	--|--⌫--|----⌫---|-----|
encanter reset	--------⌫--|-|
ma luaishomcheleuo loient	--⌫----|--|--|-|--⌫-----|
il och irre	-|---⌫---|
etdestruiremais	-|--------|---|
siresn ele s ouffri mie	----|-⌫|-|-⌫-----|--|
quiles sie ns	--|--|---⌫-|
poruoit parsegrant	------|--|-|----|
douch ourde	-----⌫--|-|
tousbienset par segr ant	---|----|-|--|-|--⌫--|
mis ericorde	---⌫-------|
enceleci temeisme au oit	-|---|--⌫-|-----|--⌫--|
ad on t un iouench elm anant	--⌫--⌫|-|-------⌫-|-⌫----|
quisi amo itparamorsune	--|-|---⌫-|--|----|--|
pucele c re stie n neetapreses toi t	-----|-⌫--⌫----⌫-⌫-|-|----|--⌫---⌫|
seuoisinequil	-|------|-|-|
ne sauoitquil	-|-----|-|-|
p eu stfair e car	-⌫--⌫-|----⌫|--|
presal oitquil	---|--⌫--|-|-|
nemoroitetperi ssoitpor	-|-----|-|----⌫----|--|
chele nese u oloita bandonner	----|-|-|-⌫----|-⌫--------|
alamordelba c helerneas auolente	||---|--|--⌫-⌫----|-||-⌫|------|
qantcilu i tquilneleporroit	---|--|-⌫-⌫|-|-|-|-|------|
par bai s iernepar geus	--|---⌫-⌫--|-|--|---|
tousautre sengiensq ui suele nt	---|-----⌫|------|-⌫-|-----⌫-|
amorsatrair e i lsen	----|------⌫|-⌫||-|
ses deuspo ur	--|---|--⌫-|
querre co n seilquil	-----|--⌫-⌫---|-|-|
feroittantalaa inssi	-----|---|--|-⌫----|
et tantquist	-|---|----|
q ue d edenslanot aprisparles	-⌫-|-⌫----||-|-|----|--|--|
audealen esaiquelu s	-|----|-⌫|--|-----⌫|
quile n feroi t desou sle	-|-|-⌫|-----⌫|-----⌫|-|
maisonale puch ele	-----||-|----⌫--|
etauecenfoi	-|---|----|
fi gures faites et entai lliesen	--⌫----|-----|-|-----⌫----|-|
platines d arainqa nt il ot	-------||----|--⌫-|-|-|
fa it lepucele	--⌫-|-|-----|
c onme nchaaderue r	-⌫----⌫---||-----⌫|
et tantostdesrompi	-|------|-------|
legu inple	-|--⌫----|
des onchiefe tfuto uteescaue lee	-|-⌫-|----|-⌫|-|--⌫--|------⌫--|
et conmenchalesdensa estaindre	-|--------|--|---||--------|
etahuchier len onde liouen chel	-||------|-|-⌫-|--⌫|-----⌫---|
aha uteuo is plen ierementor	|--⌫--|--⌫-|----⌫-------|-|
esto it lamo r str estorneeenderuerie	----⌫-||---⌫-⌫|--⌫-------|-|-------|
carle pucele	--|-|-----|
estoitsifors enee	-----|-|----⌫---|
qu i lecoueno itloi e rette ni ra	-||-|------⌫-|---⌫-⌫|-|--⌫--⌫||
forches es pereset se	-----|-⌫-|----|-|-|
merequi grant	---|--|----|
dolorendemenoientlem ener ent	----|-|---------|-|-⌫----⌫--|
as aint h ylaire	|-⌫---|-⌫-----|
etm ainte nantqu	-|-⌫-----⌫-----|
eleuintdeuant lesaint	--|---|-----|-|----|
home lideales prist aurler eta	---|-|-----|----||----|-||
ahaute uo is	|----|--⌫-|
et a direon	-||---|-|
mefaitfo rce	-|---|--⌫--|
e tmal g re	-⌫|---⌫-⌫-|
ch i ame nés	--⌫|---⌫---|
moltsoloi ebi enleshomesgaber	---|-----⌫|--⌫-|--|----|----|
etesc arniretde c eu oir et	-|---⌫----|-|--⌫-⌫--⌫--|-|
or mestuet	-||-----|
souffr ir gra ns to rmen s et	------⌫-|---⌫-|--⌫----⌫|-|
gran s dol ors	----⌫|---⌫--|
sai nsho m tu me des train s q ue i ei sse	---⌫-|--⌫|-|-|---⌫-----⌫|-⌫-|-⌫|-⌫--|
deceste puc elemais iesuisi loiiés	-|----|---⌫--|---|-|--|-|------|
d ess ou sle lintelde lhuisqueien	-⌫---⌫--⌫|-|-----|-||---|--|-||
issiretbie n	----|-|---⌫|
que i e nenistraimieseli	--|-⌫||-|-----|--|-|-|
iouenciaus	---------|
q ui me ti entnemelai sseetli	-⌫-|-|--⌫--|-|-|---⌫--|-|-|
sai n s homli	---⌫-⌫|--|-|
di stmolt estteforce	--⌫-|---|--|-|----|
petiteqanttenus	-----|---|----|
i espar unepla tine	|-|--|--|---⌫---|
darain siquetunet epuesmouoir	|----|-|--|-|-|-⌫|---|-----|
diporq uoio sastuentrer	-|--|-⌫--|-⌫--|-|-----|
encestepucele quiadie use stoit	-|----|-----|--||---⌫||-⌫----|
d onnee lidea lesrespondipor qoi	-⌫----|-|---⌫--|-------|--|--|
ni entrasseio uiliestoitm es	||-------|--⌫|-||-----|-⌫-|
l i dea lesd amorsdontse	-⌫|---⌫--||----|---|-|
teut lisainshomneneu oust	---|-|----|--|-|-|-⌫---|
querre leiouencel	-----|-|-------|
en cantemensdus c atantqu	--⌫--------|---⌫|------|
ilotpremi ers lepucele	-|-|-----⌫--|-|-----|
e tdeliuree d el	-⌫|-------|-⌫-|
deal e porceque ch il	----⌫|--|-|--|--⌫-|
quilae sto ientas ambl éne	--|-|-⌫---⌫---|--⌫----⌫-|-|
quelefust gariepor ce	-|--|---|----|--|-|
lesencanteriesfus sentdeffaites	--|----------|---⌫---|--------|
etdesloies etneporqan t li	-|-------|-|--------⌫|-|
hom qantlepucelefusaneeet	--|---|-|-----|-|----|-|
gariefist osterles en cante mens	----|---|----|--|--⌫-----⌫---|
quide ssou sle lintelestoient	--|--⌫----⌫|-|-----|-------|
e t p ui s	-⌫|-⌫--⌫|
quelideal e sontto us	--|-|----⌫|---|--⌫-|
tan sdeceuable	---⌫|--------|
et sea de s demalmete	-|-|-⌫--⌫|-|------|
etlesfe mespo rcequilor	-|--|--⌫--|--⌫|-|-||--|
uuelenttolirles ame s qant	------|----|--|---⌫|---|
ceditsiblasmam oltle pucele	-|--|-|-----|-⌫--|-|-----|
ch ouqu ele auoit fait oeurespa r	--⌫-|-|--|----|---|-----|--⌫|
quoilidealeses toit entre ́s enl i	---|-|-----|--⌫---|-----⌫-|-|-⌫|
ainssi senrepa iraledemoisele	-----||-|----⌫--|-|--------|
etsanee et deliuree	-|----|-|-------|
lamo ral iouencel	|---⌫|-|-------|
par quoiel e	--|---|--⌫|
auoite s té m almeneebiensaich iés	----|-⌫-⌫--|-⌫------|---|-----⌫---|
uousquioé sleuiedel	---|--|---⌫|-|--|--|
homequ i l n	---|-|-⌫||
estoit mieconneu s	-----|--|------⌫|
tantseu l ement par cesmiraclesen	---|---⌫-⌫----|--|--|-------|-|
let eredepalestinees citesdesyre	-|-⌫--|-|--------|-|----|-|---|
nede gy ptemaises	-||-⌫--⌫--|---|-|
loint aines	-----⌫----|
contreesestoit	-------|-----|
aussiespandue et	----|-------|-|
s eue de luilebone renonmee	-⌫--|-|--|-|---|-------|
cascuna n au enoit que	-----|-⌫|--⌫----|--|
aloi tu isiter	----⌫|-⌫-----|
toutesles cel lesde s moinesqu i	-----|--|---⌫--|--⌫|-----|--⌫|
en s yre estoi entesiorsquiace	-|-⌫--|-----⌫--|-|---|--||-|
f air e esto ientassisetdeuiséqant	-⌫---⌫|----⌫---|----|-|------|---|
li frere sore n t etconnurent	-|----|----⌫-⌫|-|--------|
coustume iluinrrent detoutes	-------|-|-------|-|-----|
p ar ti es aluietaloientaueclui	-⌫--⌫--⌫-||--|-|------|---|--|
touteslesabbeiessi p ortoientaue c	-----|--|------|-|-⌫-------|---⌫|
iausloruian des te l e s comilles	---|--|----⌫--|--⌫-⌫-⌫|--|-|--|
au oienta coustu mees car ilenaloit	--⌫----|-⌫------⌫---|--|-|-|----|
emsamle tel eheure	------|---⌫|----|
deyymil emaisapres	-|-|---⌫|---|----|
chouquili tans	---|--|-|---|
esmielora etle lois	--------|-|-|---|
nostre seign eurcrutetef forcha cascune	-----|-----⌫--|---|-|--⌫-----|------|
desuilesquipresd elu iauoitabeie	--|----|--|---|-⌫|--⌫|----|----|
l aum oinehabi toient	-⌫||-⌫---|----⌫-----|
qant sa inshy laire si uenoit	---|--⌫--|--⌫-----⌫||-----|
etseconpaingnie	-|-|----------|
illor a portoient	-|--|-⌫--------|
am oltgrant ioieetamol tgrant	|-⌫--|----|---|-||---⌫|----|
l is ainsh omnetrespassoit	-⌫|-⌫---|-⌫-|-|----------|
o nques fre requil eustquiuie	-⌫----|---⌫-|-|-|---|--|--|
solitai remenastquil ni alast	-------⌫-|-----|-|-|||----|
hum le sne	---⌫--⌫|-|
poures tantqu	-----|-----|
ilauintune f oisquil alael	-|----|--|-⌫--|-|-|--|-|
porundes esdeciples u isiter	--|-|-|-⌫-|-------|-⌫-----|
uintatotm oltgrantconpaingnie	---|---|-⌫--|----|----------|
enune uilequiheluseest oit	-|--|---|--|-----|---⌫--|
appeleee nunio r que	------|-⌫|-|--⌫|--|
cildelcast el	--|--|----⌫-|
fai s oient grantfeste el	---⌫-⌫----|----|----|-|
templeuen us	-----|---⌫-|
lordieuessequ iaoroientet	--|-------|-||-------|-|
qan t c il	---⌫|-⌫-|
delauileoirente ts orent	-|-|---|-----|-⌫|-⌫----|
que sainsh ylaires	--|----|-⌫------|
qui maintsarr azin	--|----|----⌫---|
auoi t d eli ure ́deldealetrespa ssoit	----⌫|-⌫---⌫---⌫|--|----|------⌫----|
parilluec ilissir en ttout	--|-----|-|-----⌫--⌫|---|
hor se ncontrelu i atotes	---⌫|-⌫------|--⌫||----|
lorfemes et	--|----|-|
ato utlo r e nfans et	---⌫-|--⌫|-⌫----|-|
tantost c onme illeuire ntilbaisse rent	------|-⌫---|-|-|----⌫-|-|------⌫---|
et conmencher ent	-|----------⌫--|
uo is acr ier eta	--⌫-||--⌫--|-||
syriene lang uech est	------|----⌫-|-|--|
adirebeneich onmol t	|---|-------⌫-|---⌫|
simplem en t	-------⌫--⌫|
etmoltbenignement	-|---|----------|
si lor prista	-|--|----||
prierquilaorassentno streseignor	----|-|-|--------|--⌫---|------|
lisainshomlor fist	-|----|--|--|---|
beneicho n	--------⌫|
et donna etlaouillor	-|----|-|-|-|-|--|
demoustroit	----------|
etdisoitces	-|-----|--|
pa rolesil res garda	--⌫----|-|---⌫----|
chielt out plour ant	----|-⌫--|-----⌫--|
silor oten co uentque	-|--|-|-|--⌫---|--|
nost re seigneurihesucristcr e oient	----⌫-|-------|----|----|--⌫-⌫----|
il uenrroitaiaus m olts ouuent	-|-------||---|-⌫--|-⌫-----|
orpoésuos o ir	-|----|--|-⌫-|
merueilleusegrac e	-----------|----⌫|
seigneurquielsainthom e	-------|--|-|----|---⌫|
estoitcaronques	-----|--|-----|
nelelai sseren t	-|-|---⌫------⌫|
issirdelcastelsi	----|--|-----|-|
o tdeuisee le	-⌫|------|-|
manier ed une sainteegli se faire	------⌫||--|-----|----⌫-|----|
etprestresd euisésdeseconpaingni e	-|-------|-⌫------|-|-|----------⌫|
quiilluecdemorroientpor	--|-----|----------|--|
c hia usfaireent endreet enseign er	-⌫---⌫-|----|---⌫----|-|-------⌫-|
le loi nostreseign eurihesucr i stetsonseruige	-|--|-----|-----⌫--|----|--⌫-⌫-|-|--|------|
fa ireqant tuitorentc hefait	--⌫--|---|---|----|-⌫-|---|
etordenélisainshomsepartidela	-|------|-|----|--|-|----|-|-|
alal euoiequ ilauoitemprise	--|-⌫|---|-|-|----|------|
enun autre tansaprescheaui nt	-|-|----|---|----|--|---⌫-|
quesainshylaire sseremis ta	--|----|-------⌫|-|-----⌫||
lauoiepo r u i siterles a bei es	-|---|--⌫|-⌫-⌫----|--|-⌫---⌫-|
sicomieuos	-|--|-|--|
aid it deuantquilsoloit faire ildeuisa	-|-⌫-|-------|-|-----|----|-|-----|
mo ltententiementsesfreresa uoecl e s	--⌫-|-----------|--|-----|-⌫---|-⌫-⌫|
que us ilarresteroit plusententiuement	---⌫-|-|----------|---|------------|
et plu slong uem en tet les	-|---⌫|----⌫---⌫--⌫|-|--|
trespasseroitp lustostporlegrant	------------|-⌫--|---|--|-|----|
torbequisiuoit	----|--|-----|
se compaignieli	-|---------|-|
frerelidisent	----|-|-----|
qu ilalast herbergierauecun	-|-|----|---------|---|-|
estoi ten leuoie caril n a u oit	-----⌫|-|-|---|--|-||-⌫-⌫--|
encorees t éase	-----|--⌫-⌫-||-|
maisonsicomil	-----|-|--|-|
quidoie ntcil moinesestoitmolt	-------⌫-|--|-----|-----|---|
degrant maniereetporceprioient	-|----|------|-|--|-|-------|
li fre re a sain t	-|---⌫-||----⌫|
hyla ireq u	----⌫--|-⌫|
alastquel i sains	----|--|-⌫|----|
atemprast dec el ma luaisuice	--------|-|-⌫-|--⌫----|---|
quienlui estoitetlisains	--|-|--|-----|-|-|----|
homrespo ndi	--|-----⌫--|
ases freres qui cheli pr ioiente tsi	|--|-----|--|--|-|--⌫-----|-⌫|-|
distporqoiuolésuosf airecose quine	---|--|--|-----|--|-⌫---|---|--|-|
uosie rtpl aisan sneco n uenableet qui	--|--⌫-|--⌫-----⌫|-|--⌫-⌫------|-|--|
aufrereouuosmeuolésfaire	-|----|-|--|-|-----|----|
nuir ali fr e res	----⌫|-|--⌫-⌫--|
decuicele pa role	-|--|---|--⌫---|
iertenl ec onpaign ieqant	---|-|-⌫|-⌫-------⌫-|---|
parlerlesainthome s i	-----|-|----|---|-⌫|
hon teettoutesuoie s proiail tant par	---⌫-|-|-----|----⌫|----|-|---|--|
laiedesau tres que lisains	|--|--|--⌫---|--|-|----|
aenuisau dousimeior	|----|-|------|--|
iu inrrent tot	|-⌫------|--|
en samble li moin esescars encui	--⌫-----|-|----⌫-|-----|-|--|
maisonsain shylaires	-----|----⌫|-------|
estoitu enusod se	-----|-⌫---|-|-|
comp aig n ieauoit	----⌫---⌫-⌫-|----|
uneuig neen qo ii l	--|---⌫-|-|--⌫|-⌫|
etmists esgardesporlesfreresquilaesto ient	-|---|-⌫-|-----|--|--|-----|--|-|----⌫---|
uenucar lauigne	---|--|-|----|
t outemeuresi conmeel tansde	-⌫---|----|-|----|-|---|-|
uendenges l a n uit iut	--------|-⌫|-⌫--|--|
atoutesegrantcompaig nie et se nus	|----|-|----|-------⌫--|-|-|--|
d esfrer esuo loi taler	-⌫-|----⌫-|--⌫---⌫|---|
pordes roisins a	--|--|------||
leuignecil quile	-|----|--|--|-|
uig neg ardoientlor	---⌫-|-⌫-------|--|
deffendoi enta cailleus etapierr eseta	---------⌫--||-------|-||-----⌫-|-||
fondesdontilles	-----|---|-|--|
espo entoient la matinee	----⌫-------|-|------|
senaleren t tr estoutsans	|-|------⌫|--⌫-----|---|
o nques d esroisinseussent g ousté	-⌫----|-⌫-|------|------|-⌫-----|
neme ngié	-|--⌫----|
sa in shylaires ensorri st	--⌫--⌫|-------|-|-----⌫-|
et sifists amblant	-|-|---|-⌫------|
quildeltoutchenes eustrienapre s	-|-|--|---|--|-|-⌫---|---|----⌫|
herbergerentcel e nuit	-----------|---⌫|---|
a zzautre mo ine	|-|----|--⌫--|
qu i moltl esrec hutliem entsab bases toit	--⌫|---|-⌫-|---⌫--|----⌫--|---⌫--|--⌫---|
apelésparn onpor ce le uosnonme	------|--|-⌫-|--|-|-|--|----|
doitle nond ellargehomenomer	---|-|--|-⌫-|----|---|----|
etdire etle	-|---|-|-|
nondel esc ars doitonta ire	--|-||---⌫--|---|-|--⌫--|
c arescarshome quia auoir	-⌫-|-----|---|--||----|
ne doitnuleloenge	-|---|---|-----|
auoirdescarseteuint auarice	----||--------|---|------|
q uedeushet plus	-⌫-|---|--|---|
qu enesunuice	--⌫|----|---|
sicomtuitseuent	-|--|---|-----|
uraie mentche	-----⌫---|--|
uueltrespas serb riementcarn est	---|-------⌫--|-⌫------|--||--|
liusd ecedes c rire	---|-⌫|-|---⌫-⌫---|
i requ it ostiecui tsenairroient	-⌫-|--⌫|-⌫--|-|---⌫||-|--------|
cait iue teorroient et l es dolch o rs qui	----⌫---⌫-|-------|-|-⌫-|-----⌫-⌫-|--|
lesatentse li	--|----|-|-|
estoire nenosme nt	------|-|--|--⌫-|
d iemen chesestoitleior	-⌫-----⌫---|-----|-|--|
quesainshylaires ui ntalostelle	--|----|-------|--⌫-|||----|-|
moine quis ilargement	----|--|-⌫|--------|
et be nig nem entl e	-|--⌫---⌫---⌫--|-⌫|
he rbegapo rce dist limoin esa sf re res	--⌫----|--⌫|-|---|-|----⌫-|-⌫|-⌫--⌫--|
qui u e nuestoienten leconpaignie	--|-⌫-⌫-|-------|-|-|---------|
sa int home etporchequ il	--⌫--|---|-|--|--|-|-|
iertdiemences	---|--------|
distlimoine sasfreres	---|-|-----⌫|-|-----|
quilal assent	-|-|--⌫-----|
enseu ignequi touteestoit	-|-|-⌫---|--|----|-----|
mengassentdesroisi nset	---------|--|-----⌫-|-|
reposassent	----------|
hylaire sloi	-------⌫||-|
ain ssiparleri l	---⌫--|-----|-⌫|
maleisquip remiers quiert	-----|--|-⌫------|-----|
l er e fecti on de lcor squedelamemais	-⌫|-⌫-⌫-----⌫-|--⌫|---⌫|--|-||--|---|
nos o risons	--|-⌫-----|
et disons nos heureset	-|-----|--|-----|-|
rendon s gracesanostreseigneu r	------⌫|-----||-----|-------⌫|
nos deuonsetpuis a pres	--|-----|-|---|-⌫---|
uigneto utlifrere firentle conmandement	----|--⌫-|-|----|-----|-|-----------|
l orsaintpere et fi rentleursorisons	-⌫-|----|---|-|--⌫---|----|------|
etleursproieres etdisentleur spsalm es	-|----|-------|-|-----|----⌫|-----⌫-|
etqantil orentlor office finé	-|---|-|----|--|-----|----|
sainsylai resbeneileuignesid ist	----|----⌫--|----|-|----|-|-⌫--|
asesfreres queoripooient	|--|-----|--|-||------|
ilbienaler	-|---|---|
siluoloi entetil sifirentetbi en	|-|-----⌫--|-|-|-|-----|-|--⌫-|
saic h iés qu il estoie ntadon temsanle	----⌫-⌫---|-|-|------⌫-|----⌫|------|
presde yymilequitoutfurent e n	---|-|-|---|--|---|-----|-⌫|
le ui gne etdesr oinsinsmen gerent	-|--⌫--|-|--|-⌫------|---⌫-----|
deuant chequilent rassenten	-----|--|-|-|---⌫------|-|
uignepooit	----|----|
aesmerle ui n	-----|-|--⌫|
quiiesto itapp arans	--||----⌫-|---⌫----|
ayyme sure s	|-|--⌫----⌫|
ilauoitadonten	-|----|----|-|
lecont ree	-|----⌫--|
et aprescheyyiorsquelifre re iorent	-|----|--|-|---|--|-|---⌫-||----|
est éfueleuendengies eni recuelli	---⌫-|-|--|--------||-||-------|
mes uresn eon quesmai s	---⌫---|-⌫|--⌫---|---⌫|
a uoitt an taporté a	-⌫---|-⌫--⌫|------||
deus fois li au tres	---|---|-|--⌫---|
frer esquiescarsestoituendenga	----⌫-|--|-----|-----|-------|
se uignedo nt i lnauoit la issiégoste r	-|----|--⌫-|-⌫||----|--⌫-----|-----⌫|
lemaisnie dels ainthomesi enotmains	-|------|--|-⌫---|---|-|-|-|----|
assesquilonquesnot e uetce	----|-|-|-----||-|-⌫|-|-|
otdeu intto utaisins	-|---⌫--|--⌫-|-----|
siq onnenp ot	-||-||-|-⌫-|
onque s b oire	-----⌫|-⌫---|
cosedist sainsylaires	---|---|----|------|
asesfreresque ainssiauenrro itdeua nt	|--|-----|--|-----|-------⌫-|----⌫-|
chouqui lf ust auenu lisainshomescumenioit	---|-|-⌫|-⌫--|----|-|----|--|----------|
mo ltetbl a smo itles	--⌫-|-|--⌫-⌫---⌫-|--|
cosesg ardoien tparcouoitise	----|-⌫-------⌫|--|--------|
me toi entl ordiligenceet	--⌫---⌫--|-⌫-|--------|-|
cure e ndespenset enuesteures eten	---|-⌫|------|-|-|--------|-|-|
autrescos es uainnes	-----|---⌫-|------|
quitostsonttrespa s sees	--|---|---|------⌫-⌫---|
apre scheauint	----⌫|--|----|
quns frere s acatazzcortiselde	|--|-----⌫|----|-|-------|-|
deniers quilauoit i enes aien	------|-|-|----|-⌫|-|-⌫-|-|
manerei l e stoientuenune par quele	-----|-⌫|-⌫------|---|-|--|----|
oeure lisai nshom	----|-|---⌫-|--|
cuerne n euo loitmi eq ui l	---|-|-⌫|--⌫---|--⌫|-⌫|-⌫|
lui u enistpor chequilauoittel	--|-⌫----|--|--|-|-|----|--|
co sef aiteet simanoitlifrere s a sses	--⌫-|-⌫---|-|-|-----|-|-----⌫|-⌫---|
pr es d el	--⌫-|-⌫||
ab eie iluenoit	--⌫--|-|-----|
souuentasfreres s aint	------|-|-----|-⌫---|
h y l aire e tp arloit	-⌫-⌫-⌫---|-⌫|-⌫-----|
aiaus etahesicum ausiquiplusestoit	|---|-||------|---|--|---|-----|
famili ersdelsa intho mequenusdes	------⌫--|--|--⌫--|--⌫-|--|--|--|
autressip arloit ai aus	-----|-|-⌫-----||-⌫--|
porce q uil	--|-|-⌫|-|
leracordassentau sainthomeunior	-|-----------|-|----|---|-|--|
auin t que cilfre res a porta zzfais de	----⌫|--|--|---⌫--|-⌫----|-|---|-|
chic essi com eles erentue rdespormenger	----⌫-|-|--|---|----|--⌫---|--|-----|
q antuint a pres meng erde le matinee	-⌫--|---|-⌫---|----⌫-|-|-|------|
sipriahesi cumquillespresentast	-|---|----⌫--|-|-|--|---------|
h ome etilsi fi stsi	-⌫--|-|-|-|--⌫-|-|
au souperale tabl e deua ntsa int hylaire	-|-----||-|----⌫|----⌫-|--⌫--|------|
et deuantses frere s maintenantd ist	-|-----|--|-----⌫|---------|-⌫--|
homqu ilsentoit sigrant	--|-|-|------|-|----|
pria sinequ il nele	----⌫---|-|-|-|-|
p ooitsouffrir	-⌫---|-------|
si de manda dontceschicese s toient	-|--⌫----|---|--|-----|-⌫-⌫-----|
uenueshesici us	-----|------⌫-|
respondicun sfreres	-------||--⌫|-----|
lesauoitapo rteesas freresde laiens	--|----|---⌫----|-|-----|-|-----|
porcequecestoitdespremie ressemences	--|-|--||-----|--|------⌫--|-------|
dun sie ncampsainshylairesdi st a he sicum	|-|---⌫|---|----|-------|--⌫-||--⌫----|
frer e dont n esenstu latresgra ntpueur	----⌫|---|-⌫|---|-|-|---|---⌫-|----|
et auaricepuire n ceschic es	-|------|---|-⌫|--|----⌫-|
metd euantles b uesetdeuant	--|-⌫----|--|-⌫--|-|-----|
le sua chese nlo rcrepese tsiuoies	--⌫|--⌫---|-⌫|--⌫|-----|-⌫|-|----|
sel esmuesbes tes lesmengeroi ent	-|-⌫-|---|---⌫--|--|--------⌫--|
don tfisthes i cus c eque sains ylairesl or	---⌫|---|---⌫-⌫--|-⌫|--|----|------|-⌫-|
simist lescy c esdeuant	-|---|--|--⌫-⌫-|-----|
les bestesmuesporueir	--|-----|---|--|---|
seelesl es	-|---|-⌫-|
mengeroientmai stant ostcomli buef	----------|---⌫|----⌫--|--|-|---|
les sentirentconmencherent pa oraauoir	--|--------|------------|--⌫-||----|
etar ompre l orloiensetamui re	-||-⌫----|-⌫-|-----|-||---⌫-|
sisetrai sent arrieredo nt	-|-|----⌫---|------|--⌫-|
oster les chices dedeuant lesbestes	----|--|-----|-|-----|--|-----|
et g eterenuoiesettantost fu ren t	-|-⌫---|-|----|-|------|--⌫---⌫|
le s be stes rapaisi es s i	--⌫|--⌫---|-------⌫-|-⌫|
grantgrace	----|----|
auoitnostressi res donnéasaint	----|------|--⌫--|-----||----|
que par loudordescoses et de tout	--|--||----|--|----|-|-|---|
cho uqui l	---⌫|-|-⌫|
atouchoitets auoit quel uice	--------|-|-⌫----|---|---|
maluaistie iliauoit e tche estoit	---------|-||----|-⌫|--|-----|
biausm iracles	----|-⌫------|
qant lisai ns	---|-|---⌫-|
homotm enee s ifaite	--|-|-⌫---|-⌫|----|
comie uosa icontéet	--|-|--|-⌫|-----|-|
dit ettantfait	--|-|---|---|
debausmi racleset	-|---|--⌫-----|-|
deb auteso eures	-|-⌫----|-⌫----|
e tilfu en l aaige	-⌫|-|-|-||----|
dey yansil uit	-|-⌫|--|-|--|
l abeieou ilh abitoitmo l t	|----|-|-|-⌫------|--⌫-⌫|
