dieu n ostre	---|-⌫----|
qu i enz est	--⌫|--|--|
encloussanzfeinti se	------|---|------⌫-|
poruoirla seinte chemise	--|---|-|-----|------|
quentorssesreins auoitues tue	-|-----|--|----|----|---⌫--|
lahauteuirg e asacharnu e	-|----|----⌫||-|---|--⌫|
quantenf anta le	----|---⌫---|-|
parquisauuésunt	--|--|-----|---|
bonne entencion	----|--------|
ofoietodeuocion	|--|-||-------|
fistlecheualie rsesprieres	---|-|--------⌫|--|------|
enpre sdere tornerarri eres	-----⌫|-|--⌫-----|----⌫---|
tant outses mutet retorn a	----⌫--||--⌫--|-|------⌫|
e n late rredomertn ais	-⌫|-|--⌫--|--|--|-⌫--|
et quanti l fuensonpa i s	-|----|-⌫|-|-|--|--⌫-⌫|
esche m isesotgran t fiance	-|---⌫-⌫---|-|----⌫|-----|
chacunior paracoustu mance	-----|--|--|-------⌫----|
l unedes che mises	|--|--|---⌫----|
aseurestoit	----|-----|
comseust unhaubert uestu	--||---|-|------|----|
tantse fioiten la u ertu	---|-|----|-|-|-⌫---|
dou sein tuere precieus	--|----⌫----|-------|
nob le pois sante t uertueu s	---⌫-|----⌫---|-⌫|-------⌫|
ousachemiseestoitt ouchiee	-|-|------|-----|-⌫------|
quiesto i tsoutil etdougi ee	--|----⌫-⌫|-----|-|-----⌫-|
ent eldeffensseot	-|-⌫-|--------|-|
s on cuermis	-⌫-|---|--|
por poord esesanemis	--|---|-⌫|--|-----|
auo itlachemiseuestue	---⌫-|-|------|-----|
auisliertquar memo l ue	---|-|--|-|--⌫-|--⌫-⌫-|
n ele peustp astreper cier	-⌫|-|----|-⌫-|------⌫---|
necremoitneferneacier	-|------|-|--|-|----|
n au oitcured autr ehaub ert	|--⌫--|---||----⌫|----⌫--|
enlacheminseert	-|-|-------|--|
uniou rauintqueiluenoit	-|---⌫|----|--|-|-----|
chiesunh a ut	----|-|-⌫-⌫-|
homee tmenoit	---|-⌫|-----|
g enz quile con du ioien t	-⌫--|--|-|---⌫--⌫-----⌫|
mestretuitdesarméestoient	--|------|-------|-------|
et cil q uinelamoientpas	-|--|-⌫-|-||------|--|
leguestoient aun trespas	-|---------||-|------|
uoull oient u enchier	-----⌫----|-⌫------|
e tlui occirreetde trenchi e r	-⌫|--|------|-|--⌫-------⌫-⌫|
quil estoientassezdegent	-|-|-------|----|-|---|
chacun othau b ertbelegen t	-----|-|---⌫-⌫--|--||---⌫|
espeeo trancha nt alum ele	----||-------⌫-|----⌫--|
ettuitleglai uesouzl ess ele	-|---|-|----⌫-|---||---⌫--|
agrant ferapointed	|----|--||-----||
sans defiersanz	---|-----|---|
aucheualier corurentseure	-|--------|-------|----|
ni a nusquisurluine queu re	|||--|--|--|--|-|----⌫-|
lic heualier fuen uai	-|-⌫-------|-|--⌫--|
de celsdom	-|---|--|
illestoithai	--|-----|--|
quimoultfo rment	--|----|--⌫----|
sesi oissoi ent	|---⌫------⌫--|
de cequocirrele	-|-|-|-----|-|
et moult l asaillire nt	-|----||---------⌫-|
degla iuestranchan sleferirent	-|---⌫---|--------⌫|-|-------|
quelarobeliont pe rciee	--|-|---|-|--|--⌫----|
mesla chemisedeliee	--|-|------|-----|
nefup ercieenentamee	-|-|-⌫-----||------|
carl ado u cedameennoree	--|-⌫|--⌫-⌫-|---|------|
i auoitce ll eu e r tumise	|----|--⌫--⌫|-⌫-⌫-⌫-|---|
n e fupercieenemaumise	-⌫|-|------|-|------|
porcequ ili	--|-|-|-||
oi tsacreanc e	--⌫|-|------⌫|
de glaiue ne	-|-----|-|
aucheualie r	-|--------⌫|
riensnemeffirent	----|-|--------|
ligl aiue autresireso rtirent	-|--⌫---|------|----⌫------|
commed un mur	----||-|--|
quidareinfust	--||----|---|
nelifistmalnefer	-|-|---|--|-|--|
lamontancededeusfestus	-|-------|-|---|-----|
sileut deus	|-|--|---|
haubers uestus	------|-----|
estremortlessi é	----|---|-----⌫-|
tantfu deg ranz	---|-|-|-⌫---|
copsenpressie ́	---|---------⌫|
li a nemisu ntcorrouc ié	-|-⌫---|--⌫-|-------⌫--|
quantuoientqui l	----|-----|-|-⌫|
n elont bl ecié	-⌫||--|--⌫----|
et suntcomme gent	-|---|----|---|
e tlicheuali er leur	-⌫|-|-------⌫-|---|
ensouriantc om meseur	-|-------|-⌫--⌫-|---|
uou s n este s pasdebon e u r	---⌫||----⌫|--|-|--|-⌫-⌫|
ai nzestes fous e tmes e rre ́	--⌫-|----|---|-⌫|---⌫-⌫---⌫|
qu ilehaubertfort etserr é	--⌫|-|------|---|-|----⌫-|
a ladamedemaieste	|-|---|-|------|
parsa gracep resté	--|-|----|-⌫-----|
qui dezpercierne	---⌫--|------|-|
ala damemeuuil	|-|---|-|---|
cu ifet eauezdescouenue	--⌫|---⌫|---|---------|
car iailachemiseuestue	--||-|-|------|-----|
quitouchaa	--|-----||
laseintechasse	-|-----|-----|
dechartresdongenedout asse	-|-------|--|-|-|----⌫---|
que uousmefeissiez	--|---|-|-------|
huico ntraire	--|--⌫------|
que ltouchaa uhautseintua ir e	-|-⌫|-----|-⌫|---|-------⌫--⌫|
quimah uidemortdeffend u	--|||-⌫-|-|---|-------⌫|
le miracleo nt	-|------|-⌫-|
ci lentendu	--⌫|------|
s i ontlessiéesterleurguerre	-⌫|--|------|----|---|-----|
et gietent leu rarm es	-|------|---⌫|---⌫-|
etpardonnerentleurhaine	-|-----------|---|----|
chacunau cheualierenclin e	-----|-|--------|------⌫|
chac un enuer luisu milie	----⌫-|----|--||-⌫----|
tuitensemble et	---|-------|-|
c hacunliprie	-⌫----|-|---|
qu illeu rpardoin tparsafranchise	-|-|---⌫|-------⌫|--|-|--------|
e stoutise	-⌫-------|
dec equelorent	-|-⌫|--||----|
ouilo n tleidementf aill i	-|-|-⌫-⌫|--------|-⌫----⌫|
dom ilsontuilmentesch arni	--|-|---|------|----⌫---|
on tbientrou égarni	--⌫|---|----⌫-|----|
des armesacellera ine	--|----||----|--⌫--|
ac uitretoutlimontsacli ne	|-⌫-|------|-|---||----⌫-|
en telma niereetentelguise	-|--|--⌫----|-|-|--|----|
estpe s e t concordeentre eus mis e	--|--⌫|-⌫|-------|----|--|---⌫|
l a damedemiser icorde	-⌫|---|-|-----⌫-----|
quilesdesacco rdésacord e	--|--|-------⌫----|-----⌫|
et qu iles	-|--⌫|--|
haines dessemble	-----|--------|
ifistdeus miraclesensembl e	|---|---|-------|-------⌫|
carlecheualierregarda	--|-|--------|------|
si q u edela m ort	-|-⌫-⌫|-|-|-⌫--|
et fistqu e cilfurent	-|---|--⌫|--|-----|
qui d euanterentanemi	--|-⌫----|----|----|
un autremir aclesemblable	-|----|---⌫---|--------|
bel et cortai setmeruoillable	--|-|------⌫|-|-----------|
uui lmietrespass er	---⌫|--|--------⌫-|
carnemeporr oie lasser	--|-|-|----⌫--|-----|
defereala dame seru is e	-|---||-|---|----⌫--⌫|
iaimespe ranc e	|-||----⌫----⌫|
lefetuou sconter aibriement	-|--|---⌫|------⌫-|-------|
il au intquu ntornaiemen t	-|--⌫--|-|-⌫|----------⌫|
f us icomme leditl	-⌫|-⌫|----|-|--||
entre lauardinet	----|-------|-|
unch eualier i otd epri s	-|--⌫------||-|-⌫|---⌫|
qu i fu seurm e né	--⌫|-|-----⌫-⌫--|
etseurpris	-|-------|
quunssuensanemis l euout pren dre	-|--|----|-----|-⌫|---|----⌫--|
et se pristcil moulta	-|-|----|--|----||
li autreaupoinzlepr en oit	-|----|-|----|-|--⌫--⌫--|
siquepresquilnelretenoit	-|--|---|-|-|-||-------|
a udarreautantle	-⌫|------|---|-|
qu auc heua l	-|-|-⌫----⌫|
lefreinaracha	-|----|-----|
hors de lateste etdelabouch e	---|-|-|----|-|-|-|-----⌫|
etl i cheualier tantout touche	-|-⌫|--------|------|-----|
les espero nsau bondestrier	--|------⌫-|-|--|-------|
cheua ucheitfortet	-----⌫-----|---|-|
gr anteti nelettouts aill ant	--⌫--|-|-⌫--|-|---|-⌫----⌫--|
etci ldes susp reuset uaillant	-|--⌫|---⌫--|-⌫---|-|-------|
qu is estort des esan emis	--⌫||-----|-|-⌫-|--⌫---|
etli cheuaus	-|-|------|
to uta deuis	--⌫-||----|
quisent i quefu desf rené	--|----⌫|--|-|----⌫----|
ans intcom oiselempené	---⌫--|--|----|------|
senuintoucours	|-|---|-|----|
e ttoutho rsdoutourna iement	-⌫|---|--⌫-|--|------⌫-----|
portalecheu ali er fuian t	----|-|----⌫---⌫-|-----⌫|
ue rsuneeiuereid eetbruiant	--⌫-|--|---|----⌫|-|------|
per illeusegrant	---⌫------|----|
et p arfonde	-|-⌫------|
pri st aco rreplus toutquaron d e	---⌫-||--⌫--|---|---|-|----⌫-⌫|
nautre oiseau	|----|-----|
ne porroi tuoler	-|------⌫|----|
liche ualier aacoler	-|---⌫-----||-----|
pristso ncheualpourretenir	----|--⌫|-----|---|------|
mes ce n e pot pa s auenir	--|-|-⌫|--|--⌫|-----|
parnulengin	--|--|----|
nep a rn ulart	-|-⌫-⌫|-⌫-|--|
l ef eist autrepart	-⌫|-⌫---|----|---|
ne quere tenirlepe us t	-|--|--⌫----|-|--⌫--⌫|
oruo ussist ilmi eulz q u	-|--⌫-----|-|--⌫---|-⌫|
es tép ris	--⌫--|-⌫--|
au bientournaier	-|---|--------|
ca r iluoitqu il	--⌫|-|---|-|-|
estaunaier	--|-|----|
selecheualdedensleiu e entre	-|-|-----|-----||---⌫|----|
toutl ecuerlifremistou	---|-⌫|---|-|------|-|
de l apo ourquil ot de	-|-⌫|--⌫--|-|-|-|-|
quar lecheual	---|-|-----|
uoitfier etfo rt	---|---|-|--⌫-|
q uitous iorz uersl eiue s aproch e	-⌫-|---|---|---||---||------⌫|
sansq ue d	-----⌫-||
esporonsne li touche	-------|-|-|-----|
c ou rtansintc onfust	-⌫--⌫-|-----|-⌫-|---|
secildesusde scor agie ́	-|--|----|--⌫----⌫----⌫|
fune fetpasame rueillier	-|-|--|--||--⌫--------|
carpoo ur ade perillier	--|---⌫-||-|--------|
et uoit l e pe ri l tout present	-|---|-⌫|--⌫--⌫|---|------|
lorsliuient en	---|-|----|-|
remembrement	-----------|
de la haute	-|-|----|
dameennoree	---|------|
quiach artrese st	--||--⌫-----|-⌫-|
tou tmeint enantenhauts	---⌫|-----⌫----|-|---||
hadamedechartres aie	-|---|-|-------|--|
uost rech eualier regardés	----⌫-|--⌫------|--------|
mameetmoncors gardés	|--|-|--|---|------|
auous meueud am eetco mmant	|---|-|--|-⌫--⌫|-|--⌫----|
sec o r suo usde man t	---⌫-⌫-⌫|--⌫-|--⌫---⌫|
qu edeperil	--⌫|-|----|
so i e gité	--⌫-⌫|----|
siueu qu a chartres lacite	-|--|-||-------|-|---|
uousreque rreenuou stre iglise	---|-----⌫--|-|---⌫---|-----|
se memontreztant defranchise	-|-|------|---|-|--------|
qu e me sauuez damemauie	--⌫|-|-----|---|-|--|
parolefe nie	-----|--⌫--|
damequei lpria	---|--|-⌫|---|
a ucheualcourant enuoia	-⌫|-----|------|-----|
un freindedeuinepoi ssance	-|----|-|-----|---⌫-----|
parquoi ciluit teldemonstrance	--|---|--|--|--|-----------|
commebalaamde sa beste	----|-----|-|-|----|
ca ns intcom eus t	|-⌫--⌫--|--|---⌫|
enla teste	-|-|----|
unfort frein sestut	-|---|----||----|
q uef orce fereni estu t	-⌫-|-⌫---|---|||----⌫|
ausintcomse l abeste	-----|--|-|-⌫|----|
eustla parole	---|-|-----|
del eiue oualoitret orn a	-||---|-|----|---⌫---⌫|
neau tornei pa snetor na	-|-|-----|--⌫|-|---⌫-|
delaparta ses auer ssie rres	-|-|---||--|----⌫----⌫---|
lenportaariere s	|------|------⌫|
au lic es deuerssapartie	-|---⌫-|-----|-|-----|
ainsint la damequelenp rie	------|-|---|--|--|-⌫--|
oi es prier es	--⌫-|-----⌫-|
end e liur aendeusmanieres	-|-⌫-⌫----⌫|-|---|-------|
quenleiuene fupas naié	-|-||---|-|-|--|----|
nelaou ilotto rna ié	-|-|-|-|-|--⌫---⌫--|
pr isneretenu	--⌫-|-|-----|
ai nsili fubienauenu	--⌫--|-|-|---|----|
enenp res ieuousconterai	-|---⌫--|-|---|-------|
autrecon te belet uerai	----|---⌫-|--|-|----|
quinestp asre s o nqu ei e	-|||--|-⌫-|--⌫-⌫-⌫|--⌫|-⌫|
cest conte	---|----|
a escouteruou splese	|-------|---⌫|----|
cara ss ez i porr é saprendre	--|-⌫--⌫-||----⌫--⌫|-------|
etenseig ne m entdebie npr e n dre	-|------⌫--⌫-⌫--|-|---⌫|--⌫-⌫-⌫--|
lahauterainede gloire	-|----|----|-|-----|
en cu i ennor	-|--⌫|----|
encui memoire	-|--|------|
i aicommenciéc est eouureigne	|-|---------|-⌫---⌫|--------|
nosd octr ine cietenseigne	--|-⌫----⌫--|-|-|-------|
queschiu onstou zmaus ettozuices	-|------⌫--|---⌫|---|-|--|----|
lamo r doumonde etlesdel ices	|---⌫|--|----|-|--|---⌫---|
aq ueua nite	|-⌫-|--⌫---|
ilni ariensde uerite	-||||----|-|-----|
mesicele h aute r ain e	--|----|-⌫---|-⌫---⌫|
parces tessemplenos d octrine	--|---⌫|-------|--|-⌫------|
etnos s emo nt	-|--|-⌫---⌫-|
etam onete	-|--⌫----|
que chacun ensa mor se	--|-----|-||-⌫--|-|
quiestamoru e r aieetfi ne	--|--|---|-⌫-⌫-⌫--|-|--⌫-|
seurtoutes a morsenterin e	---|-----|-⌫---|-------⌫|
cilqui s amor	--|--||---|
ont deseruie	--|-------|
latrouuenttous iorsbonneamie	-|-------|---|---|----|---|
cilquil ei meytro ue amitie	--|--||--⌫-||---⌫-|-----|
quel e stfonteinede p itie	-|-|-⌫-|-------|-|-⌫---|
s amor nest anulluinaee	|---||--||-----|---|
ain zes t atousa ba ndo n nee	---⌫|--⌫||---|-⌫--⌫---⌫-⌫--|
a celz q uila	|---|-⌫-|-|
uolen tam er	-----⌫|--⌫-|
etcomme damereclame r	-|----|---|-------⌫|
e ncestcont e	-⌫|---|----⌫|
porroisoir	------|--|
comlen puetde sa morioir	--|--|---|-||-⌫--|---|
l iliuresici	-⌫|-----|--|
n ou sdeuise	-⌫--⌫|-----|
quant arseotest é	----|---|-|---⌫-|
dechartres dom	-|-------|--|
lichapistr eenuoiamessages	-|--------⌫|-----|-------|
parmeint paispa rmeinteter re	--|----|---|--⌫|-----|---⌫-|
porporchacieraieetq uerre	--|---------|--|-|-⌫----|
afere lig li sede	|---||--⌫--⌫-|-|
ch artre s	--⌫-----⌫|
p ardonde romelestres	-⌫----|-|---|------|
et chartres	-|-------|
portoiente tsisermonoien t	--------|-⌫|-|----------⌫|
lesgensdedoner s e mo noient	--|---|-|----|-⌫-⌫--⌫-----|
a liglisede chart res fere	||-----|-|-----⌫--|---|
siauin tenicel deteire	-|----⌫|-|---|------|
cunclercqui en	|-|----|--|-|
f rance otesté	-⌫----|-|----|
escoliersyueret este	--------|---|-|---|
né sde londres e nenglet er re	---⌫|-|------|-⌫|------⌫--⌫-|
sen raloit arriereensa terre	|-|-----|------|-|-|----|
cilc lersenglaispor	--|-⌫---|------|--|
passaparsessonsla	----|--|------|-|
sico mson chemin	-|--⌫|--|-----|
leme no it	-|--⌫--⌫-|
deuersp a risdomiluen oit	-----|-⌫-⌫--|--|-|---⌫--|
tantquilentraen une iglise	-----|-|----|-|--|-----|
quil uoloit oirleseruise	-|-|-----|--|-|------|
illectrouaun	----|----|-|
dechart res unbon	-|-----⌫--|-|--|
quidebie nfer e	--|-|---⌫|---⌫|
s emono i t	-⌫-----⌫-⌫|
dentore tsar monoit	|----|-⌫|---⌫-----|
do ufeudecha rt res	--⌫|--|-|---⌫--⌫--|
d e lar sure	-⌫||--⌫---|
e tdelag rantdesconfiture	-⌫|-|-|-⌫---|-----------|
quiauoiten liglise es té	--|----|-||-----|--⌫--|
leclercs ert illecaresté	-|----||--|----|------|
celuioi quipreschoit	----|-|--|--------|
et parsaloquen ceaechoit	-|--|-|------⌫-|------|
lep ueplede	-|-⌫----|-|
mestrealaqueste	-----||-|-----|
etrecontoit	-|--------|
la grantmoleste	-|----|------|
dou feuet de	--|--|-|-|
lembrasement	|----------|
dom chart resa rdi	--|-----⌫--|-⌫--|
so udement	--⌫------|
etl iglisefumise encendre	-||-----|-|---|-|-----|
moultconuenoitmestr eet	----|--------|-----⌫|-|
en li g liserapareiller	-||-⌫-⌫---|----------|
l ic lercse	-⌫|-⌫---|-|
pristamerueillier	----||----------|
qui lep re schem entescoutoit	--|-|-⌫--⌫-----⌫--|--------|
q uelipreschi eresrecont oit	-⌫-|-|-------⌫---|------⌫--|
et uitcelsquient orestoient	-|--|---|--|---⌫-|-------|
qui de pitiefor men tploraient	--|-|----|---⌫---⌫|--------|
chacunsaborsedesnoet	-----|-|----|------|
chacu noffreitce	-----⌫|------|-|
quil p oe t	-|-|-⌫--⌫|
et lesseintueres beisoit	-|--|---------|------|
lisarm onsmoultau	-|----⌫--|----|-|
clerc pl e soit	----|--⌫-⌫---|
sif u mou lt formentesm eu	-|-⌫|---⌫-|------|---⌫-|
quotoietueu	-|-|-|-|--|
doffri r l epristgran tu o lente	|-----⌫|-⌫|----|----⌫|-⌫-⌫----|
mesnauo itp asdar gen tplente	--||---⌫-|-⌫-||--⌫---⌫|-----|
c arsa borsee s to it dese nf lee	-⌫-|-|----|-⌫-⌫--⌫-|----⌫--⌫--|
n auoitos oichouse aportee	|----||-⌫-|-----|------|
quifustaof frirconuenable	--|---||--⌫---|---------|
f orsunfermail	-⌫--|-|------|
d oragraable	|-|-------|
c el u i por rie n	-⌫--⌫-⌫|--|---⌫|
nede sp endist	-|--⌫--⌫-----|
nened onn astneneuendist	-|-|-⌫---⌫--|-|-|------|
po rpreschier	--⌫|--------|
carpen sélauoita do ner	--|---⌫--||----||--⌫--|
aune soechiereamie	|--|--|-----|---|
lepor toit	-|---⌫---|
qui otnonmarie	--|-|--|----|
quilauoitlongu ementame e	-|-|----|-----⌫----|---⌫|
etdemoro it ensacontree	-|------⌫-|-|-|------|
nesetquilfacede loffrir	-|--|-|-|---|-||-----|
uicede charnou potsouffrir	---|-|---||-|--|-------|
ue r tulesem ont	--⌫-⌫-|-|---⌫--|
e ntre uic e etuer t u cha ncele	-⌫---|---⌫|-|---⌫-⌫|---⌫----|
lu n lepoint lautrele destorn e	|-⌫|-|----||----|-|-------⌫|
a ngoe sseus estpensis	-⌫----⌫----|--|-----|
uertulesemont	----|-|-----|
quele fermail dor	--|-|------||-|
qu itant prise	-||---|----|
do ignea leurede charite	--⌫---|||---|-|------|
uice etpensedeua nit e	---|-|----|-|--⌫---⌫|
et amor de char qui est u aine	-|---|-|---|--|--|-⌫---|
par une autr e uoi e le moine	--|--|----⌫|---⌫|-|----|
bien f ere lede suoie	---|-⌫--|-|--⌫----|
et losted elaboneuoie	-||---|-⌫|-|---|---|
bonp enseenpeesche	--|-⌫---|--------|
qu antqu eli pree schierespresche	--⌫-----⌫|-|----⌫-------|------|
lidestorne amorueineetfo le	-|-------|---|----|-|--⌫-|
qui letie nt	--|-|---⌫-|
e tliditques c e	-⌫|-|--|-|-|-⌫|
q ueuiauzfere	-⌫-|----|---|
setuuiauza	-|-|----||
tamie pl eir e	|---|--⌫---⌫|
et tuuiau zestrebo nsam is	-|-|----⌫|----|--⌫-|--⌫-|
se quent oncuer	-|-|-|-⌫-|---|
lipo rte ge lete conseil	-|--⌫--|-|-|-|------|
setuuialzcr oire m onco nseil	-|-|----|--⌫---|-⌫-|--⌫----|
lem einuuie	-|-⌫--|---|
ca r a fam eformentenn uie	--⌫||---⌫|------|---⌫--|
quantl e uramor as sez ne	----|-⌫-⌫-|---|--⌫--|-|
deuuiemeinprier e	-|---|---|-----⌫|
sansdon est priere	---|--|--|-----|
s oncuerqui eins intsere mue	-⌫-|---|--|----⌫--|-|--⌫--|
endeu spartiesse d epart	-|---⌫|------|-|-⌫----|
uersfoleamor uetlunepart	---|---|---|--||--|---|
l autreuersbon amor chemine	|----|---|--|---|------|
qui le nseign e	--||-⌫------⌫|
etquiledoctr i ne	-|--|-|-----⌫-⌫-|
quilenuo itle do nq u il tantaime	-|-|----⌫-|-|--⌫|-⌫|-|---|---|
a celeq uid a mesecla ime	|---|-⌫-|-⌫-⌫-|-|---⌫--|
dech artrespar	-|--⌫-----|--|
grantseignorie	----|--------|
touziors leal	---|---|---|
se m uenechange	-|-⌫-|-|-----|
neuersso namin	-|---|--⌫|--||
estest ra nge	--|---⌫--⌫--|
tou si orsuelt lea u men t	---⌫|-⌫--|---|---⌫-⌫---⌫|
samoradouc e ursansame r	|---||----⌫-⌫-|---|---⌫|
etporund on en	-|--|-|-⌫-|-|
d el eu ientt outbien etdes cent	-⌫|-⌫|-⌫---|-⌫--|---|-|---⌫---|
ainsints ent cilson cuer	------|-⌫--|--|--|---|
co ntreire	--⌫------|
nesetquel partildoietreire	-|--|---|---|-|---|-----|
carfo leamorformentlepouse	--|--⌫-|---|------|-|----|
am isor soi tpouse echouse	--⌫-|-|---⌫|-----⌫|-----|
quetauole nteace tende	--|-|----⌫--||-|----|
que doufermai l facesoffrend e	--|--|------⌫|----|-------⌫|
ia cildons apreu neue ndra	-|--|---||---|-|--⌫---|
carcilpre esch ierresleuendra	--|--|---⌫----⌫-----|-|-----|
por auoirdeuin	--|----|-|--|
lagorge oint e	-|----|----⌫|
ou a aucune soueacointe	-||-----|---|------|
ledo nra oule	-|--⌫--|-|-|
ouautr em e ntle	-|----⌫--⌫-⌫-|-|
qu ep reu nefe ra	--⌫|-⌫--|-|--⌫-|
a l ig lise	||--⌫---|
s i aura sperduton	-⌫|----⌫|----|--|
ue rtuda utrepartl amoneste	--⌫--||-⌫---|---||-------|
f ermai lalueure	-⌫-----⌫|||----|
decele quitou zbien s nous	-|---|--|---⌫|----⌫|---|
reso n lese mon t et sermo nne	----⌫|-|--⌫---⌫|-|-----⌫--|
eten sarmonant lechatie	-|-|--------|-|-----|
que illestamorde	--|-|---|---|-|
quarnuln i peut rie ngae i ngnier	---|--|||---|---⌫|---⌫-⌫-----|
e tsi lepr ent	-⌫|-|-|--⌫--|
aense gni er	|----⌫---⌫-|
etd i st lesse	-|-⌫-⌫-|----|
tas oupecon	-|-⌫------|
ententat a lecon	-----||-⌫|----|
que u ertuteliste ten seigne	--|-⌫---|-|---|-⌫|--⌫-----|
quelqueuoie lefer mailt iegne	------|---|-|---⌫---|-⌫----|
desquepord ieu l aurasdon ne ́	-----|--|-⌫--||----|---⌫--⌫|
neseras puis	-|----|---|
a chesonné	-⌫--------|
feice qu ea to iaparti ent	--|-|--⌫||--⌫|------⌫--|
p r eeschierres leretien t	-⌫-⌫----------|-|------⌫|
ouil ledonne ouledespent	-|-|-|----|-|-|------|
atoi dec ede rien n apent	|--|-|-⌫|-|---||----|
queq ui l deuieigne n ete	----⌫|-⌫|--------|-⌫|-|
i atun iperdras uailla nt maille	-⌫|-|||------|------⌫-|-----|
detes biens nede tesmerites	-|--|----|-|-|--|------|
sedetadebte a	-|-|-|----||
dieut aquit es	---||-----⌫-|
c a rbonneoure	-⌫-⌫|----|---|
e tbonne pense e	-⌫|----|-----⌫|
adieuetasamerea gree	|---|-||-|---|-⌫---|
einsintestlicler s trespensez	------|--|-|----⌫|---------|
carilchie t en diue rspensez	--|-|----⌫|-|----⌫-|-----|
foleamordere chiefl	---|---|----⌫----||
etliresmu et un gr antasaut	-|-|-----⌫-|-|--⌫--|----|
desonbonpense lereprent	-|--|--|----|-|------|
e tparfolco ns eilliaprent	-⌫|--|--|--⌫--⌫--|-|-----|
que do ffrirlefe rma il	--||-⌫----|-|--⌫---⌫-|
etasamiebie n le gart	-|||---|---⌫|-|---|
quipor s amo rlegarder a	--|--||---⌫|-|------⌫|
co lpendu sera	--⌫|----|---|
so uentleuerr a toute	--⌫---|-|----⌫|----|
etli ra me nteurasesi oies	-|-|--⌫--⌫-----|--|-⌫---|
me ssilo ffreian	--⌫||||-⌫---|-||
cariamesuoi rnele porra	--|----|---⌫|-|-|----|
encoiss erachose	-----|-⌫--|----|
ains imauesea morlargu e	----⌫|-----|-⌫--||----⌫|
si quilne set	-|-|-|-|--|
qui ldaiefere	-|-⌫|---|---|
caruertulifet souent	--|----|-|--|-----|
lefer maildo rho rsdesaborse	-|---⌫---||-⌫|--⌫-|-|-|----|
souentarrierele	-----|------|-|
quantdesamielir emenbr e	----|-||---|-|-⌫------⌫|
sili fremissenttuitlimenbre	-|-|---------|---|-|-----|
cui tquefolsserai e	---⌫|--|---|-----⌫|
sehu imes lefermail	-|--⌫|--|-|------|
le treitetrembo rsé	||----|-|-----⌫---|
su ienuiceacorsé	--⌫|-|---|------|
quegepens etpuisbien sau oir	--|-|---|-|---|---|---⌫--|
enporroie hu i mesa uoir	-|------|--⌫|--|-⌫---|
grene de dieu nedesamere	--|-|-|---|-|-|-|---|
car trop conuo iteuse	--|---|-----⌫-----|
enuer seus mapensee	-----⌫|--|-|-----|
domm oe uureseroit a uilee	--||--⌫---|-----|-⌫----|
einsint fugrant	------|-|----|
desputai so n	--------⌫--⌫|
entrefolpenseetraison	----|--|----|-|-----|
liunen bien	-|-|-|---|
lunenuertulautre en	|-|-|----||----|-|
si q uentre d eus	-|-⌫|----|-⌫--|
est e ntrepris	--|-⌫-------|
au darrenier a lemelz pri s	-|--------||-|---|---⌫|
carillae nsoncu e r pensé	--|--||-⌫|--|--⌫-⌫|-----|
quillesserasonfol pense	-|-|------|--|--|----|
etsipens eque	-|-|----⌫|--|
bi e nsoeffreestre	--⌫-⌫|------|----|
efforciéle r egnecelestre	--------|-|-⌫---|-------|
asoimeismesfera	|--|------|---|
lorstreitlef ermail	---|----|-|-⌫-----|
tantses force	---||--⌫----|
aicele marie	|----|----|
sois esamis marie	--|-⌫-|---|----|
l a utremarie a oublie e	|-⌫---|----||------⌫|
etlessi é safol e pens ee	-|-----⌫-|-|---⌫|----⌫-|
opleureto deuoci on	|----|-||------⌫-|
humble mentfistsoblacion	------⌫---|---||-------|
ala doucemarieennoree	|-|----|----|------|
debo ncuerde b onne pensee	-|--⌫|---|-|-⌫---|-----|
off r ilicle rssonfe rmaildor	---⌫-⌫|-|---⌫-|--|--⌫----||-|
c es ttout	|--⌫|---|
so nmueble et	--⌫|-----|-|
q uant dof frir sefuaquiteé	-⌫---||--⌫---|-|-|-------|
liclersd esessonslacite	-|----|-⌫|------|-|---|
eissietse mist	----|-|-|---|
desierr eus quesonpaisuo ie	-------⌫--|--|--|---|--⌫-|
uerslamer p rist	---|-|--|-⌫---|
a c heminer	|-⌫------|
dexl e u eustd estiner	--|-⌫|-⌫---|-⌫------|
pa rla merse ferauagier	--⌫|-|--|-|---|-----|
ia erthoredeherbe rgier	-|--|---|-|-----⌫----|
carl eioraloita2er ant	--|-⌫|--|----|----⌫--|
le cle rcalao s telquerant	-|---⌫-|--|-⌫-⌫--|------|
preuzdome en un ui lage	--------|-|-|--⌫---|
d ema ndapordie u herbergage	-⌫---⌫--|--|---⌫|---------|
cilpreuzdom auoitf illesbelles	--|-------|----|-⌫----|-----|
q uante sgenurespucellez	-⌫-----⌫|------|-------|
etuit le clerc g enur e daa ge	-|--|-|----|-⌫----⌫||--⌫-|
bienfe tde cors etdeu isa ge	---|--⌫|-|---|-|-|-⌫---⌫-|
de se sf illesotsoupecon	-|--⌫|-⌫----|-|-------|
queleclercmauu eselecon	--|-|----|----⌫--|----|
leura preistet leurleust	---|-⌫-----|-|---|----|
selan u itostelél	-|-|-⌫-⌫-|------||
si di stdansclerc ieuos uoitel	-|--⌫-|---|----|-|--|--|--|
be l etgenurequen	--⌫|-|-----|-|-|
enn uit pasne uosre ce u raie	---⌫--|--|-|--|--⌫--⌫-⌫---|
