quipetitseme petitq u eult	--|----|---|----|-⌫-⌫---|
mes deu ant m oima	--|---⌫--|-⌫-|-|
coupe prist	----|----|
etsifel ement lenleua	-|-|---⌫----||-----|
queseurla roi neuersa	--|---|-|---⌫-|----|
t outleuin dom el eestoit	-⌫--|-|--|--|--⌫|-----|
icioth ontemout	--|-|-⌫---|---|
u il ain e	-⌫--⌫---⌫|
carla roineeneste n tree	--|-|----|-|--|-⌫-⌫---|
deduel etdireen flambee	-|---|-||--|--⌫------|
en sa chambr e ou eles ocit	-|-|------⌫|-|--||---|
ie ne cuit	-|-|---|
passe diexm ait	--|-|---||--|
quel e enpuiss e	-|--⌫|-|-----⌫|
enescha perui ue	-|-----⌫--|--⌫-|
liuallez neprise	-|-----|-|----|
u ne bille	-⌫-|----|
quanqu e liroisli d it etcont e	------⌫|-|---|-|-⌫-|-|----⌫|
nede s onduelne	-|-|-⌫-|---|-|
de sahon te	-|-|---⌫-|
annuinelicha ut il	----|-|-|---⌫-|-|
fa itesmoicheualierfait	--⌫---|--|--------|---|
s i reroiscaralerm enuueil l	-⌫-⌫-|---|--|---||-|-----⌫|
cleretriantfurentliheill	---|-|----|-----|-|----|
en latesteauu allet sauuage	-|-|----|-|-⌫----|------|
nusquil oie	--|--||--|
mestrestuit	--|-------|
cilquileu eoient	--|--|-|-⌫-----|
por beletpor ge nt le ten oient	--|--|-|--|--⌫-|-|---⌫----|
liroisdescendez	-|---|--------|
e t uostre chaceeurre n dez	-⌫|-----|-------|--⌫-⌫--|
ac elua lletse lgardera	|-⌫-|--⌫---|-||------|
etuostreuo lentefera	-|-----|--⌫----|---|
fere adieuen a fe tleueu	---||---|-||--⌫|-|--|
h onor etauostre preu	-⌫---|-||-----|---|
e t l iuall ezarespondu	-⌫|-⌫|----⌫-||-------|
ianestoientpas	-||-------|--|
ceus queg etrouuee nla lande	---|--|-⌫|-----|-⌫|-|----|
e tuosuol ez	-⌫|--|---⌫-|
queg edescende	--|-⌫|-------|
i a par monchief n i des cendrai	-⌫|--|--|----|||---⌫------|
mesfetest osts im	--|----|-⌫--|-⌫||
hafetliroisbiaxamis cheualiers	-|--|-|---|---|---|---------|
geleferaim out uole ntiers	-|-|----|-⌫--|----⌫-----|
a uostrepreuetam anor	|-----|---|-|||---|
gedoilec riato r	-|--|-|-⌫-----⌫|
fetliuallezb iau sire	--|-|-----|-⌫--|---|
ne seraic h eualierd esmois	-|----|-⌫-⌫------|-⌫-|---|
seuermeil cheualiern e sui	-|------|--------|-⌫|--|
donn ezmoiles armescelu i	----⌫-|--|--|----|----⌫|
q uei encontraifors delapor te	-⌫-||--------|---|-|-|---⌫-|
q uiuostrecouped or enporte	-⌫-|-----|----||-|------|
lisenechaux qui fu	-|--------|--|-|
de cequilot	-|-|-|-|-|
s estcorrouciez	|--|---------|
etdi tamisuosauez droit	-|--⌫|---|--|---|----|
alez l it olirorendroit	---|-⌫|-⌫---|--------|
desque elesso nt	-----|---|--⌫-|
e insi u oz	-⌫---|-⌫-|
nefeistesmie que soz	-|------|--|--|--|
quant u o suenistesporceci	----|-⌫-⌫|-------|--|-|-|
k exfetlirois pordieum erci	-⌫-|--|-|---|--|---|-⌫---|
t ropdit esuolenti e rs anui	-⌫--|---⌫-|-------⌫-⌫-|---|
sene u os cha u tonquesa cui	-|-|-⌫-|---⌫-⌫|-----||--|
aprodomeest moutmauu esu ices	|------|--|---|----⌫-|-⌫---|
porc eseliu allez est nic es	--|-⌫|-|-|-⌫----|--|---⌫-|
sestilesp oirmout gentix	|--|-|---⌫--|---|-----|
etseceliuint	-|-|-|-|---|
dap ri son	|--⌫--⌫--|
aitesté amauuesme stre	--|----||-----|--⌫---|
encorpue tilsages e t pr euze stre	----|---⌫|-|----|-⌫|--⌫--|-⌫---|
uil einnieest d	---⌫-----|--||
autrui ga ber	-----|--⌫--|
etdeprometresanz	-|-|-------|---|
preudom nesedoitentremetr e	------|-|-|---|---------⌫|
de riensnulea autre prometr e	-|----|---||----|-------⌫|
quedo n nerneluipuisseou uueille	--|--⌫-⌫--|-|--|-----|-|------|
que l e m aug receluinacueille	--|-⌫|-⌫---⌫-|----||-------|
quisa nz pr ometreests esam is	--|--⌫-|--⌫-----|--|-⌫-|--⌫-|
etdesqu eil lia	-|-----⌫|-|-||
s i beeas aprom esseauoir	-⌫|--||-⌫|----⌫---|----|
et porce s ipoezsau oir	-|--|-|-⌫|---|---⌫--|
queassezuendr etmiexbaer	--|----|-----⌫-|---|---|
car quileuoird ireu o rroit	--|--|-|---|-⌫--|-⌫-⌫----|
luimeimesg ab e et decoit	--|-----|-⌫--⌫|-|-----|
qu ifetpr omesse et nela solt	--⌫|--|--⌫-----|-|-|-|---|
cuer son amili	---|--|--|-|
einsiliroisakexpa rloit	----|-|---||--|--⌫----|
etliuallez qui sen aloit	-|-|-----|--||-|----|
p uceleu eue	-⌫----|-⌫--|
beleetg entesila	---|-|-⌫---|-|-|
etele lui etsi	-|--|--|-|-|
eten r iant it antlidist	-|-|-⌫---|--⌫--|-|---|
u allet setuuizpar	-⌫----|-|-|--|--|
etpe nse nmon corag e	-|--⌫-|-⌫|--|-----⌫|
etsac hiez queilauenra	-|---⌫---|--|-|-----|
q ueen toutlemondenaura	-⌫-|-|---|-|----||---|
nulm eil lor cheualier detoi	--|-⌫---⌫--|--------|-|--|
einsilep ens	----|-|-⌫--|
einsilecr oi	----|-|--⌫-|
puce len auoit	----⌫-||----|
bienapasséa nzp l us	---||-----|-⌫-|-⌫-⌫-|
etc e diteletout	-|-⌫|--|--|---|
qu etuitloirent	--⌫|---||-----|
etkexsau t	-|--|---⌫|
cuila p aroleanuiamout	--|-|-⌫----|----|---|
silidonnazzcopestou t	-|-|----|-|--|-----⌫|
desa paumeenlaface	-|-|----|-|-|---|
fist aterre	---||----|
quant lapuc eleferueot	----|-|---⌫--|----|-|
enson retor trouua	-|--|----|-----|
chemi neees tant	-----⌫--|--⌫---|
si lebouta	-|-|----|
el feua rdant	-|--|-⌫----|
dup ieparcor r ouzetparire	-|-⌫-|--|---⌫-⌫--|-|--|--|
por ceq ue il lisoul oitdire	--|-|-⌫-|-|-|----⌫--|---|
cest e pucel ene rira	----⌫|-----⌫|-|---|
deuantcequ eele uerra	-----|-|--⌫|--|----|
c eluiquidec h eualeri e	-⌫---|--|-|-⌫-⌫-------⌫|
auratoute lasei gnorie	---|----|-|---⌫-----|
einsic ilcrie etcele	----|-⌫-|---|-|---|
etliuallezplusne de more	-|-|-----|---|-|--⌫---|
ainz s entornasanznulc onseil	---||-|----|---|--|-⌫-----|
apresl e che uali er	----|-⌫|---⌫----⌫-|
yonn ezquil es droizsen tiers	----⌫-|--|-⌫-|----|---⌫----|
sauoit toz	-----|--|
et mout uolentiers	-|---|---------|
aportoitnouuelles a	-------|--------||
at outy ycomp aingno ns sen cort	|-⌫--|-⌫|----⌫------⌫-||-|---|
par zzuergierdelez la	--|-|------|----|-|
et par unepo sterne au a le	-|--|--|--⌫-----|--⌫-⌫-|
uint a uchem in tot	---|-⌫|----⌫-|--|
oulicheualiersatendoit	-|-|---------|-------|
cheualerie etauen tu re	---------|-|----⌫--⌫-|
etl iuall ezgrant	-|-⌫|----⌫-|----|
uint uer sluipor sesarmes	---|---⌫|--|--|--|----|
etli cheualliers	-|-|----------|
poratendre	--|------|
auoitlacoupedor iusmise	----|-|----||-|--|---|
sor zzperronde	--|-|-----|-|
roche bise	----|---|
quant liuall ezaprouchié l ot	----|-|----⌫-|---------||-|
tantque li unslau treo irpot	------|-|--||--⌫--|-⌫-|--|
siliescriametezius	-|-|-----|----|--|
lesarmesnes porte rezplus	--|----||-|-----⌫--|---|
carliroisar tus	--|-|---|--⌫--|
le uosmande	-|--|----|
etlic heualliersli demande	-|-|-⌫---------|-|------|
u allezosen uscauenir	-⌫----|--|-⌫-|-|----|
porl edroitau roi mainteni r	--|-⌫|----|-|--|--------⌫|
senusi uien t nuceler p as	-|--||----⌫|||----|-⌫-|
ceordeableestc eorgas	-|-|-----|--|-⌫|-|--|
danz cheualiersqueuosmef etes	---|---------|--|--|-|-⌫---|
qua ncorn auezmes arme s	-|-⌫---||---|--|----⌫|
tostgeluoscommant	---|-||--|------|
ual lezfetil ge tedemant	---⌫--|--|-|-|-|-----|
uient c ade parleroi	----|-⌫|-|--|-|--|
qui seconbate de	--|-|------|-|
c onbatec ontremoi	-⌫-----|-⌫----|--|
danscheualiers c arosteztost	---|---------|-⌫-|----|---|
lesarmes que	--|----|--|
genesuos ost	-||-|--|--|
carplus nelesuos	--|---|-|--|--|
soffe rroie	-----⌫----|
e tsachiez bienq ue uosferroie	-⌫|------|---|-⌫-|--|------|
seplusp arlermen faisiez	-|---|-⌫----||-|------|
lors fuliche ua lliersiriez	---|-|-|---⌫--⌫-----|----|
sa lanceaa yy poinz leuee	-|----|||-|----|----|
siliu adonne rtel colee	-|-|-⌫|-----⌫|--|----|
p a r lesespaulesentrauers	-⌫-⌫|--|-------|-|------|
delao u nestoitpaslif ers	-|-|-⌫||-----|--|-|-⌫--|
qu ill efi stenbronchier aual	-|-|-⌫|--⌫-|----------|---|
i us queseur l ecol du	-⌫--⌫--|---|-⌫|--|-|
etliuallezs	-|-|-----||
estco u rro uc iez	--|--⌫-⌫---⌫--⌫--|
qua nt ilsenti	---⌫-|-|----|
quiles tbleciez	-|-|--⌫|------|
delacol e equil	-|-|---⌫-⌫|-|-|
po teluisle uise	--⌫|-|--|-|---|
et lessealer lei auel ot	-|----|---|-|-⌫----⌫-|
s elfier t si quiln entent	-⌫||----⌫|-|-|-||-----|
d r oitparmile c er uel	-⌫-⌫--|----|-|-⌫--⌫--|
quedautrepartd uha terel	--||----|---|-⌫|--⌫----|
etla c eruel e espa nt	-|-|-⌫-----⌫|----⌫-|
deladolorlecuerliment	-|-|----|-|---|-|---|
si uerse e tchiettoutestend uz	-|----|-⌫|----|---|------⌫-|
etliua llezest d esc end uz	-|-|--⌫---|--|-⌫---⌫---⌫-|
lal a nce aunepart	-|-⌫-⌫--||--|---|
et l escu ducollidepart	-||---|-|--|-|-----|
mes ilne sot u enir a chie f	--|-|-|--|-⌫---||----⌫|
duh iaumequ	-|-⌫----|-|
sorlechief	--|-|----|
quilne setcommentill epraigne	-|-|-|--|------|-|-⌫|------|
etsat alentquil li desc ei ngne	-|||-⌫----|-|-|-|----⌫--⌫---|
le speemes	|-⌫---|--|
il nese tf e re	-|-|--⌫|-⌫-⌫-|
fuerrenelapuet	-----|-|-|---|
e tprentlefuerreets a che ettire	-⌫|----|-|-----|-|-⌫-⌫--|-|---|
yone tconmenca arire	----⌫|-------||---|
quantle ualletuoitentrepr i s	----|-|-----|---|-------⌫-⌫|
que es t fetil amis	--|--⌫|--|-|---|
uosgenesai quoi	--|-|-|--|---|
ge cuido ienenostrer oi	-|-----⌫-|-|-----|-⌫-|
quilmeustcesar mes do nnees	-|-||---|--|--⌫--|--⌫----|
mesain z aureen charbonnees	--|---⌫|---|-|----------|
trest out esbraonnélemort	-----⌫--|---------|-|---|
quenule des armesenport	--|---|--|----|-----|
queles setienentsi	-|---|-|------|-|
quec ededenz etced efo rs	--|-⌫|-----|-|-|-⌫---⌫-|
esttrest o u tzz si commoisenble	--|-----⌫-⌫-⌫|-|-|--|--|-----|
qu e el esse	--⌫|--⌫-|-|
tiennentensenble	-------|-------|
or ne uosesmaiezde rien	-|-|--|------|-|---|
d epart iraimoutb ien	-⌫-----⌫---|---|-⌫--|
uolezfet yon ez	----|--|---⌫-|
faitesdont	-----|---|
tostfet liuallez	---|--|-|-----|
m e donnezsanznulares t	-⌫|-----|---|--|----⌫|
tantostyonezles deuest	------|----|--|-----|
etdesquenl o rtei llle	-|----|-||-⌫----⌫-|-|
ne liless ehaubercne chauce	-|-|----⌫|------|-|-----|
nehiaume el c hiefnearmeure	-|-----|-|-⌫---|-|------|
etliuall ez s auesteur e	-|-|----⌫-|-⌫|-------⌫|
neuostlessier nenepreis t	-|---|------|-|-|-----⌫|
p ourquen queyonet deist	-⌫--|----⌫--|----|----|
une cote mout a esie	--|---|---|-⌫---|
de dr apde soieganbesi e	-|--⌫-|-|---|-------⌫|
que desorson haubercuest oit	--|----|--|------|----⌫--|
li che ualiersquan tuisestoit	-|---⌫------|----⌫|--|-----|
nosterne li p o oi tdes	|----|-|-|-⌫-⌫--⌫|--|
l esreueli nsqui lo t chauciez	-⌫-|------⌫-|-|-⌫|-⌫|-------|
ainzditde able	---|--|--⌫---|
estceor ga s	--|-|-|--⌫|
quechang eroieme sbons	--|-----⌫----|--⌫|---|
quemamereme fis tlessier	--|-|---|-|---⌫|------|
porles drasa ce stcheualli er	--|--|---||--⌫-|--------⌫-|
m agrosse chemisede chanure	-⌫|-----|------|-|------|
porla soe qu	--|-|--|-|
estmoleet tenr e	--|---|-|----⌫|
uorr iezuos que gelessa ss e	----⌫--|--|--|-|-----⌫--⌫|
etmac oteoue ue	-|-|-⌫--|-|-⌫-|
n e p as se	-⌫|-⌫--⌫-|
porce steq ui netendroi tgoute	--|--⌫--|-⌫-|-|-------⌫|----|
ait la gorgetote	--|-|----|---|
qu ichangerane loi ng n epre s	--⌫|-------|-|---⌫-|-⌫|---⌫|
ses bonsdras porautrui mauues	--|---|---|--|-----|-----|
m out grief chose	-⌫--|----|----|
es t defol	--⌫|-|--|
riensforslesarmesne uoltprend re	----|---|--|----|-|---|-----⌫-|
pou r priereque lenliface	---⌫|-----|--|--|-|---|
yonezleschau cesli lace	----|--|----⌫--|-|---|
et sor les reuelinslichau ce	-|--|--|-------|-|----⌫-|
lesesperonsdesor lachauce	--|-------|----|-|-----|
p uisliale haubercuestu	-⌫--|-||-|------|----|
telquonques nu lmi e udr es nefu	--|-|-----|--⌫|--⌫-⌫---⌫-|-|-|
etsor l acoiffe	-|--|-⌫|-----|
liass ie t	-|---⌫--⌫|
lehiaumequimout	-|-----|--|---|
bienli si et	---|-|--⌫-|
e tdelespee lien sain gne	-⌫|-||----|-|--⌫----⌫--|
q ue l asche	-⌫-|-⌫----|
etpenda nt laceingne	-|-----⌫-|-|------|
puis lilepiee nlest rier	---|-|-|--|-⌫||---⌫---|
montez seur ledes trier	-----|---|-|---⌫----|
ainzmes est riesue unauoi t	---|--|---⌫---|--⌫||----⌫|
nedesperons	-||-------|
ri ensnes auoit	--⌫--|-|-⌫----|
fors d ecillanc e ou de	---|-⌫|-------⌫|-|-|
y on ezlesculiaporte	-⌫--⌫-||---|-|-----|
et lalancepuissili baill e	-|-|----|---|-|-|-----⌫|
ai ncoisquey on ez se n ai lle	--⌫-------|-⌫--⌫-||-⌫|--⌫--|
dit liualle za mi s prene z	--|-|-----⌫|-⌫--⌫|-----⌫|
monch aceeur sil	--|--⌫-----|-||
queest mou t bons etge l	--|--|---⌫|---|-|-||
porcequegen	--|-|--|-||
enaimessoing	-|-|--|----|
etport ezla	-|----⌫-|-|
coupele roi	----|-|--|
si lesaluezde par	-|-|-----|-|--|
que kiexf e rilezlames sele	--|---|-⌫-⌫-|--|-|---⌫---|
que segepuisain zquegemuire	--|-|-|---|---⌫|--|-|----|
quepou ruengiese tend ra	--|---⌫|-----|-|----⌫-|
etcil res pont qu illirend ra	-|--|---⌫---|-|-|-|----⌫-|
auroisa c oup eetson	-|--|-|-⌫---⌫|-|--|
fornira il	------|-|
aloidesage	|--|-|---|
atantdepar te nt	----|-----⌫--⌫-|
enlasale oulibarons ont	-|-|---|-|-|----|-⌫--|
e ntreyonetparmi la porte	-⌫---|----|----|-|----|
quiauroisa co upe	--|-|--|-|--⌫--|
silid istsire	-|-|-⌫--|---|
car uostrec oupe	--|-----|-⌫---|
uo s renuoie	--⌫|------|
uo strecheualier s	--⌫---|---------⌫|
duquelcheu alierme diz tu	-|---|----⌫----|-|--|-|
fetliroi sq uien	--|-|---⌫|-⌫-|-|
sag rantire	-|-⌫---|--|
estoit e ncoren	-----|-⌫---|-|
nondie usire	--|---⌫|---|
fety onet du uall etdi	--|-⌫---|-|----⌫-|-|
quipart i orendroit dici	--|----⌫|--------||--|
doncdu uall etga lois	---|-|----⌫-|--⌫---|
qui me dem andafetlirois	--|-|---⌫---|--|-|---|
lesarme sdesynopletaintes	--|----⌫|-|------|------|
aucheualierqui hon tesmaintes	-|--------|--|---⌫--|------|
mafete ss elon c son	||----⌫|-⌫----⌫|--|
sire de lui	---|-|--|
di gep our	-|-|-⌫--|
etmacoupe comment o ti l	-|-|----|------|-⌫|-⌫|
ta nte tprise c i l	--⌫-|-⌫|----|-⌫-⌫|
quilliade songrerendue	-|-|-||-|--|--|-----|
chieruendue	----|-----|
liuallezqueil l	-|-----|--|-||
etcommentfucebiax	-|------|-|-|---|
sirene saimesquege ui	---|-|--|-----|-|-|
que lic heua liersleferi	--|-|-⌫----⌫----|-|---|
l anceetfist gr ant	-⌫---|-|---|--⌫--|
uallezreferi lui	-----|-----|--|
duni a uelotparmi l ueilliere	|-|-⌫-⌫----|----||--------|
sique ill i	-|--|-|-⌫|
fistpar derriere	---|--|-------|
le sanc et	-|---|-|
lac er ueleesp andre	-|-⌫--⌫---|---⌫----|
etlu i parterr emor testandre	-|--⌫|--|----⌫|---⌫|-------|
lorsdis tliroisau s e necha l	---|---⌫|-|---|-|-⌫-⌫-----⌫|
hakiexmou tm aue zhuifet mal	-|---|---⌫||---⌫|--|--|--|
paruostrelangue	--|-----|-----|
la n oiseuse	|-⌫-⌫------|
mout auradite mainteois euse	---|---|---|-----|---⌫---|
te lcheualierm auez tolu	--⌫|--------||---|---|
ces tior m outualu	---⌫|--|-⌫--|---|
sirefetyonet au roi	---|--|----|-|--|
parmo n chi efilmandepar	--|--⌫|---⌫-|-|----|--|
ala pucelel aroyne	|-|-----|-⌫|----|
quek iex feripara taine	--|-⌫--|---|--|-⌫----|
po ur maldeluietpour	--⌫-|--|-|--|-|---|
quilla uenger ase il uit	-|-|-|------⌫|-|-|--|
tantqueilpu istueniren	------|-|--⌫--|----|-|
lefolq uisis tdelez lefeu	-|--|-⌫-|---⌫|----|-|--|
o t laparoleetsautenp iez	-⌫|-|-----|-|---|-|-⌫--|
e tuint deuantleroi t ozliez	-⌫|---|-----|-|--|-⌫-|---|
sa telioiese diexmes au t	||--|---|-|---|-|-⌫--⌫|
oreaprochentu o saue ntures	--|--------|-⌫-⌫|---⌫-----|
def elene sses et dedur e s	-|-⌫-----⌫---|-|-|---⌫-⌫|
e n uer rezaue nir souuent	-⌫|---⌫--|---⌫--|------|
e tsi uos metbiene nc ouuent	-⌫|-|--|--|---|-⌫|-⌫-----|
qu ekiexpuete s tretozc ertains	--⌫|---|---|-⌫-⌫--|--|-⌫------|
uitlespiezetles m ains	--|--|---|-|--|-⌫---|
etsalanguefoleetuila inne	-|-|-----|---|-|----⌫---|
quainzquepas t u ne qua rantaine	-|------|---⌫|-⌫-|---⌫-------|
auralicheualiersue ngié	---|-|---------|--⌫----|
lec opqu ilmed onnedu pie	-|-⌫-|-|-|-|-⌫---|-|--|
etlabuffe ier t mout bienren d ue	-|-|----|---⌫|---|---|---⌫-⌫-|
et conparee e tchier u endu e	-|-------|-⌫|----|-⌫----⌫|
queildonaalapucele	--|-|---||-|-----|
que entrele coute	--|----|-|----|
leb razdestreli brisera	-|-⌫--|-----|-|------|
zzdemi anleporter a	-|---|-|-|------⌫|
au colpendu etbien	-|--|----|-|---|
n ip uetfaillir nequ a	||-⌫--|------|-|-||
cele paro le	---|----⌫-|
tant greua	---|----|
kexq uep ar pouquilnec reua	--|-⌫-|-⌫-|--|-|-|-|-⌫---|
demautalent etde corrouz	-|--------|-|-|------|
qu ilne liosadeuanttou z	-|-|-|-|--|-----|---⌫|
telcopdon erque	--|--|---⌫-|--|
p orce queauroi	-⌫-|-|--|-|--|
lessa quil	----|-|-|
etl iro is	-|-⌫|--⌫-|
dita hiahi	--|-⌫-|--|
tantuos mauezhuicorrecié	---|--||---|--|--------|
quiasené et ad recié	--|-----|-|--⌫-----|
le ualletdarmes bieneus t	-|-----||----|---|---⌫|
tantquez z po uaidier s	------|-⌫|--⌫|-----||
escuet de lalance	---|-|-|-|----|
bonscheuali ersfust s anzdoutanc e	---|-------⌫--|---|-⌫--|-------⌫|
mesil n es etgueresde	--|-|-⌫|-⌫-|-----|-|
darme sne denule	|----⌫|-|-|---|
autreri e n	----|--⌫-⌫|
q uarneis trerenesauoit	-⌫--|---|----|-|-----|
lespeesebesoin g auoit	|----|-|------⌫|----|
orarmezsor soncheual	-|----|--|--|-----|
sel conqu erra	-||-----⌫---|
au cunuassal	--⌫--|-----|
qu ipour soncheualgaaingnier	--⌫|---|--|-----|---------|
ne ldo uteraamehaing nier	-||--⌫----||-------⌫---|
tost mortou	---|---|-|
mehaingn ié l aura	--------⌫--||---|
quedesfendrene	--|--------|-|
tant estnices et bestiaus	---|--|----|-|-------|
t ostenaura fets e s anu iau s	-⌫--|-|---|--|-⌫-⌫|---⌫---⌫|
eins i l irois pleinte tregr ate	----⌫|-⌫|---|-----|-⌫|----⌫--|
leualletetfist chieremat e	-|-----|-|---|-----|---⌫|
ipuetriensconquester	|---|----|---------|
sile sselaparoleester	-|--⌫--|-|-----|----|
etli ua llez	-|-|--⌫---|
sanz nul arest	---|--|----|
uetcheuaucha ntparlaforest	--|---------⌫-|--|-|-----|
tantque as plaine sterresuint	------|-|------⌫|-----|---|
soruneriuiere	--|--|------|
de le plus dunearbalestee	-|-|---||--|---------|
tote leueen tree	---||--|--⌫---|
etretrete ensondroitcon duit	-|------|-|--|----|---⌫---|
grant riuierequib ruit	----|------|--|-⌫---|
s e nu ettoute	|-⌫|-⌫-|----|
u nepraer ie	-⌫-|-----⌫-|
mesen leue ne nt railmi e	--|-||--||-⌫--⌫-|-|--⌫|
quillauoitmout parfonde etnoire	-|-|-|---|---|-------|-|----|
etpl usassezcoura nt que loire	-|--⌫-|----|-----⌫-|--|----|
sis en uetpar	-||-|--|--|
selonc lariue	-----|-|---|
l e z uneg rantroche	-⌫-⌫|--|-⌫---|----|
qui dautrep artdel	--||----|-⌫--|-||
eue es toit	--|--⌫---|
del eue batoit	-||--|-----|
sor unero cheenzz	--|--|--⌫--|-|-|
queu ersla mer u etdesce nda n t	--|-⌫--|-|--|-⌫-|-----⌫---⌫-⌫|
otzz chast eletbel et for t	-|-|-----⌫-|-|--|-|---⌫|
aloit aur egort	----|-|-⌫----|
t orna leualletasenes tre	-⌫---|-|-----||-----⌫--|
etuit la tordu	-|--|-|--|-|
chasteln estre	------|-⌫----|
caruislifu	--|--|-|-|
chas tel s enissoit	----⌫--||-|-----|
anmilecha stelen	---|-|---⌫---|-|
otunetor etfort etgrant	-|--|--|-|---|-|----|
et u nebarbaquanefort	-|-⌫-|---------|---|
auoit t ornee uers l e go rt	----|-⌫----|---|-⌫|--⌫-|
quia lamer	--||-|--|
seconbatoit	-|--------|
etlameraufront li	-|-|--|-|----|-|
par ties dumur	---⌫---|-|--|
doncliqua rrel	---|-|---⌫---|
estoientdur	-------|--|
auoityybasses	----|-|-----|
to rnele s	--⌫-----⌫|
q uimoute stoien t forzetbe les	-⌫-|---|-⌫------⌫|---|-|--⌫--|
l ec hastel	-⌫|-⌫-----|
fumoutbienseant	-|---|---|----|
etmoutaes iép ardeuant	-|---|---⌫--|-⌫-|-----|
deuantlechastelet	-----|-|--------|
ots urleue dreci ézz pon t	-|-⌫-||--|-----⌫-|-|---⌫|
d ep ierr edarain e et dechauz	-⌫|-⌫----⌫||-----⌫|-|-|----|
lip onzestoitetforzethauz	-|-⌫--|-----|-|---|-|---|
et bataille ́trestout e ntor	-|--------⌫|-------|-⌫---|
pontot unetor	---|-|--|--|
zzponttornei z	-|---|------⌫|
quiest oit fezet	--|---⌫--|--|-|
ladroitureap orte	-|-------|--⌫---|
lei ores tp ontetl anuitp orte	-|-⌫-|--⌫|-⌫--|-|-⌫|---|-⌫---|
liuallezuers le p ont	-|-----|---|-|-⌫--|
uestuz dun erobe	-----||--⌫|---|
saloitzzpreudomsesbatant	|----|-|-------|-------|
par deseurle pontsi at ant	--|-----|-|---|-|--⌫--|
celu iquiuersl epont uenoit	----⌫|--|---|-⌫|---|-----|
liprodomse nsa m ain	-|------|-⌫|-|-⌫--|
par contenancezzbas tonnet	--|---------|-|---⌫-----|
a presluifurentduiu alle t	-⌫---|--|-----|--|-⌫----⌫|
trestuit desafubl ez	-------|--------⌫-|
li u allez	-|-⌫----|
o tbi enre tenuz	-⌫|--⌫-|--⌫----|
ceque sa mere li	-|--|-|---|-|
carilles saluaet	--|-|--|----|-|
sire ce men seingnamamer e	---|-||--⌫------|-|---⌫|
beneiebia u frere	-----|---⌫|----|
preudonsquinic eetsot	-------|--|---⌫|-|--|
auparlerlententb ien	-|-----||-----|-⌫--|
et ditbiaufreredonuienstu	-|--|---|----|--|----|-|
dontde lacortle	---|-|-|---|-|
quifeisc he ualiersm	-||---|-⌫--⌫------||
lirois qui boneauentureait	-|---|--|---|-------|--|
cheualier sediexbie n	--------|-|---|---⌫|
necui doiequeen cest point	-|---⌫---|--|-|---|----|
detel ch ose li souuenist	-|--|--⌫--|-|--------|
de l tenoi equil litenist	|-⌫|-----⌫|-|-|-|-----|
oreque des cheualie rsfere	--|--|--|--------⌫-|---|
difrered ebonnere	-|----|-⌫-------|
cez armes qui lestebai lla	--|----|--|--|-|---⌫--|
li rois fet	-|---|--|
donna co mme n tet illic onte	----|--⌫---⌫-⌫|-|-|-|-⌫---|
si comme auezoielconte	-|----|---|-|-|----|
quiautresfoiz leconte roit	--|-----|---|-|-----⌫---|
annui etoiseu seseroit	----|-|-----⌫-|-----|
carnus contesdecenamande	--|--|-----|-|-||-----|
et l ipreudoms li redem ande	-|-⌫|-------|-|-----⌫---|
fe redeson cheual	--⌫-|-|--|-----|
bienamontetaua l	---|----|-|---⌫|
t otaut res icongecorroie	-⌫-|---⌫---⌫|--|-|------|
lechaceeurque geauoie	-|-------|--|-|----|
quenlamesonma	-|-|-|----|-|
etde uozarmes biax	-|-|--|----|---|
med itesque en	-|-⌫---|--|-|
sau ez fer e	---⌫-|---⌫|
gessebi enosteret	|-|-|--⌫-|----|-|
liuallezm arma	-|-----||---|
quiuoiantmoien de sarma	--|-----|--|-|--⌫----|
celuiqui gea uoie	----|--|-|-⌫---|
einsil eg ie re mentlesport	----|-⌫--⌫--⌫--⌫---|--|---|
q ueelesne me g rieue ntri e n	-⌫-|---|-|-|-⌫-----⌫-|--⌫-⌫|
pa r l a mortdie uc epris ge	--⌫|-⌫|---|---⌫|-⌫|---|-|
fetli p reud ons etm out	--|-|-⌫----⌫--|-|-⌫--|
orm editessineuosgriet	-|-⌫|----|-|-|--|----|
q ue lbesoinguosamenaca	-⌫--⌫|------|--|----|-|
si remamerem enseigna	--⌫-|-|---||-------|
lesprodomesalass e	--|-------|-----⌫|
et quaels me co ns eillasse	-|-||--|-|--⌫--⌫-------|
il diro ie nt	-|----⌫--⌫-|
iont cilquil ecroient	|--|--|--|-⌫|------|
e t liprodons	-⌫|-|------|
respont biau	------|---|
ben e o iteso ituostremere	---⌫-⌫-⌫--|--⌫-|-----|---|
queleuosens eing nemoutbien	-|--|--|---⌫----⌫-|---|---|
mesuolezmoi plusd irerien	--|----|--|---|-⌫--|---|
oil etquoit ant etno nmes	--|-|---|-⌫--|-|--⌫|--|
car meherber gi eza nuit	--|-|------⌫--⌫-|-⌫---|
moutuolen tier sfetl i	---|-----⌫----⌫|--|-⌫|
mesq ueuosmotroiezzzdon	----⌫-|--||------|-|--|
dont granz b iens uenir	---|----|-⌫---|----|
uosu erre z	--|-⌫----⌫|
etquoifet il	-|---|--|-|
queuo scroirez	--|--⌫|------|
leconse iluostremereetmoi	-|-----⌫-|-----|---|-|--|
pa rfoifet	--⌫|--|--|
il etgelotroi	-|-|-||----|
