abraham mangierlesueoit	------|------|--|----|
k ilaresurrex ion	-⌫|-|--------⌫--|
entotensauantetarrie re	-|-----|----|-|-----⌫-|
mu ltp arsuntde poureman iere	--⌫-|-⌫-|---|-|----|---⌫---|
l ichati setli mescreant	-⌫|-----⌫|-|-|--------|
biensuntme sc eant	---|---|--⌫--⌫---|
decelhuismekiuient	-|--|-----|-|----|
nontc ure ne	|--|-⌫--|-|
lor ensoui ent	--|-|----⌫--|
endoitbie n	-|---|---⌫|
lal eir e taluen ir	|--⌫--|-⌫|-|---⌫-|
etkantc is eagesuenra	-|---|-⌫-|----|----|
apainnes nosen souenr a	|------|--|-|------⌫|
n os nelsauonsmai sdeusle	-⌫-|-||-----|---⌫|---|-|
k itobiena i meettotmalheit	-⌫|-|---|-⌫-⌫-|-|--|--|---|
i luen ramultsodainne ment	-⌫|---⌫-|---|--------⌫---|
bienuososdire plain neme nt	---|--|-|---|-----⌫----⌫-|
neilneuosenpuisreci teir	|--|-|--|-|---|----⌫---|
mais lorsq ue	---|-----⌫-|
deusresusciteir	---|----------|
f era t o sles mors des s epul cres	-⌫--|-⌫-⌫|--|---|--|-⌫----⌫---|
adont sera	----|---|
lidobleslucres	-|-----|-----|
r e ndusasbuen s kibie nont	-⌫-⌫---|-|----⌫|-|---⌫|--|
cilserontg ariet	--|-----|-⌫--|-|
buenetmal re susciteron t	---|-|--|--⌫----------⌫|
dece rie ndoteront	-|-|---⌫|-------|
ne p uentuenirabon chief	-|-⌫---|----||--|----|
keneis liceuoild e l	-|---|-|-----|-⌫-⌫|
ne p uet por nule rienperir	-|-⌫--|--|---|---|----|
biennosid euonsesperir	---|--||-⌫----|------|
etaceleage	-||--|---|
porpaier nostredro it paag e	--|----|-----|---⌫-|----⌫|
a celhuisme eagesatendent	|--|-----|---||-------|
cilki leshueures	--|-|--|------|
de ue nte ndent	--⌫|-⌫---⌫----|
enceleag eue nron stuit	-|--|---⌫|--⌫----⌫|---|
e tu netautre e tplainet wit	-⌫|-⌫|-|----|-⌫|----|-|--|
desirrent s a int et	--------|-⌫-⌫--|-|
k in ontpas	-⌫||--|--|
lorlampesestaintes	--|-----|--------|
eag edemorront	---⌫|--------|
ensi queiamai snemorront	----⌫--|-----⌫|-|------|
ce neti engnenusadespi t	-|-|--⌫----|--||-----⌫|
quen cel eage	-|-|--|---|
nosue n r adamr ideus iugie r	--|--⌫-⌫-⌫|----⌫----|-----⌫|
etlebiendel mal	-|-|---|--|--|
espur gie r	-----⌫---⌫|
damr ideusco estmes sias	----⌫----|-|--|---⌫---|
nelast uenescritsias	-||-|-⌫|-|-----|-|-|
lesiuis nen	--|---||-|
puetnusaidi er	---|--|----⌫-|
por p ar leir neporsoh aidier	--|-⌫--⌫---|-|--|---⌫-----|
quemessia m	--|------⌫|
atend ent il	-----⌫--|-|
toiorsserontengrant exil	-----|-----|-|----|---|
qui dent i l	---⌫---|-⌫|
killesuiengn ee noindre	|-|--|------⌫|-⌫------|
en folliuseuuelen t	-|--|--|-|------⌫|
qu elo runxions est	--⌫|--⌫|------|--|
etp lusad e m il ans cessee	-|-⌫--||-⌫|-⌫-|--|-----|
dan yel lo rdistet	---⌫--|--⌫|---|-|
k ihautementle nospronu nce	-⌫|--------|-|--|-----⌫--|
diki muet labonneet	|--|---|-|----|-|
carc antuenra lisainsdessains	--|-⌫--|----|-|----|--|----|
qu ec e leunctio n scessera	--⌫|-⌫-⌫-|------⌫-⌫|------|
fuetest et	-|-|--|-|
lo distparlaboc hedel s aint	-|---|--|-|---⌫-|--|-⌫---|
sest biens drois	|--|----|----|
c on slenos	|--⌫|-|--|
plainnementsens desputisons	----------|---|----------|
plusnontliiui	---||--|-|--|
d okoisons	|-------|
nautrementn ele	|--------|-⌫|-|
contredient	----------|
nestpa s uenus encor cedie nt	|--|--⌫|----|----|-|---⌫-|
degrantfoliese d ementent	-|----|----|-|-⌫-------|
qu encor neso i tue nu sil mentent	-|----|-|--⌫-⌫|--⌫--⌫|-|------|
lafol e gent	-|---⌫|---|
lama lba il l ie	-|--⌫---⌫--⌫-⌫-|
p uisquelunctions est faillie	-⌫-----||-------|--|------|
et qu ilnontprophe te	-|-|-||--|------⌫-|
pue ntilp roueirparla lo i	---⌫-|-|-⌫-----|--|-|--⌫|
quemessia s ne soit	--|------⌫|-|---|
dontgransbiensn o sestauen us	---|----|----|-⌫-⌫|--|----⌫-|
iliuint et d ouset	-||---|-|-⌫--|-|
multfai tades froncierles	---|---⌫||---⌫-------|--|
a i uis sasainteuenue	|-⌫--|-|-----|----|
dont tezioien o s	---|--|---|-⌫-⌫|
il iui nt commesainsaingnias	-||--⌫-|----|----|-------|
etnesetpurset buens etbias	-|--|-|---|-|----|-|---|
iluinttosnosm azesfachi er	-|---|--|--|-⌫-|-------⌫-|
i luintlopechiedes lacier	-⌫|---|-|-----|---⌫-----|
ken ostre premiers	-|-⌫----|-------|
celeuenuenos refist	---|----|--|-----|
pa rquoi nossomesbautet lie	--⌫|---|--|----|---|-|--|
etconfo rteietconseillié	-|-----⌫---|-|----------|
cil uint ia n	--|---|-||
e nd oit n usdoteir	-⌫|-⌫--|-⌫-|-----|
kilemaufeuout iusboteir	-|-|----|---|--|-----|
k i totlito li sainsrestor	-⌫|--|-|--⌫-|----|-----|
li iui latendent	-|--||-------|
nequ identpasquecesoi t	-|--⌫----|--|--|-|---⌫|
ueezmo n silonttortu droit	---|--⌫||-|--|---||----|
nepuis raison ent en dr e	-|---|-----|---⌫--⌫--⌫|
enlorreguartn enloratendre	-|--|------||-|--|------|
uilneforce ne	|-|-|----|-|
libr etonenartu	-|--⌫---|-|---|
or lepu entatendreassez	-|-|--⌫--|------|----|
mais liter min es estpas sez	---|-|---⌫---⌫-|--|---⌫--|
quiluin teta	-|-|---⌫|-||
ten setate rme	---⌫|-||--⌫--|
gransioiefudecel saintgerme	----|---|-|-|--|----|----|
porraembrelessuens	--|------|--|----|
cestde us li bias lipi us	|--|--⌫-|-|---|-|--⌫-|
gr ansp aisf upartotes leste rres	--⌫--|-⌫--|-⌫|--|----|--|--⌫---|
notennulliu tenc hons negerres	|-|-|--|--|----⌫---|-|-----|
cant ciluintki le nospr omist	---|--|---|-|-|--|--⌫----|
par lesprophetesqu il	--|--|--------|-|-|
p ropreui nt	-⌫----|--⌫-|
send ec oiure	--|-⌫--⌫----|
maislisien sneluorentrecoiure	---|-|----⌫|-||-----|-------|
ci luint porla	--⌫|---|--|-|
laiaempl i r	--|-----⌫-⌫|
kitos biens uoloit ac omp lir	-|--|----|-----|--⌫---⌫--|
cil se u outci r cumcire	--|-|-⌫--|--⌫-⌫------|
ki se nspechie raa inst nos pertes	-|--⌫-|-----|---⌫---|--|-----|
de tosles biens li souen ra	-|--|--|----|-|-----⌫-|
ci l iug era	--⌫|---⌫--|
etmors etuif	-|---|-|--|
etbue nset	-|---⌫-|-|
mazcemestauis	--|-||--|---|
lor ssaurontliiuilauoire	---⌫|------|-|--|-|----|
dece quil neuuelentor croire	-|-|-|-|-|------|-|-----|
untfaiteteila te n due	--|----|---|-⌫--⌫-⌫--|
k i m ultchierslo rsera uendue	-⌫|-⌫--|-----|--⌫|---|-----|
asseza c idebiasexamples	----||-⌫|-|---|-------|
et trespasg ransetlezetamples	-|------|-⌫---|-|--|-|-----|
toiorsuontparamend ement	-----|---|--|-----⌫----|
as e urfond em en t	|-⌫-⌫-|----⌫--⌫--⌫|
ce ste hueuredo ntiemultmesf orz	--⌫--|-----|--⌫-|-|---||---⌫--|
mi esenuautet	--⌫-|-|---|-|
plus en estfors	---|-|--|---|
etbueneetbel leetescl atiere	-|----|-|---⌫-|-|----⌫-----|
repaira ma	-----||-|
de laio ie	-|-|--⌫-|
quabra ham fis t	-|----⌫--|---⌫|
et deso n fil	-|-|--⌫|--|
circun ci st	------⌫--⌫-|
grantioieiotetgrant co nuiue	----|---||-|-|----|--⌫----|
mult priedeuque lonctens uiue	---|---|--|--|---|---|---|
c ilenfessag ese t	-⌫-|----|---⌫-|-⌫|
maisacelehorekil	---||---|---||-|
auoit ia ses pere centa n s	----|-|--|---|---|-⌫-⌫|
cileagesfuas sez gr ans	--|----|-|--⌫--|--⌫--|
comultgrant merueille	-|---|----|--------|
onq uesfe m menot la	---⌫--|--⌫-⌫-||-|-|
qui ne n tent anulm a l	--||-⌫-⌫---||--|-⌫-⌫|
maisf ait el l ea medeusgabe e	---|-⌫--|--⌫-⌫||-|---|----⌫|
ke iesuiui el lee t decrepie	-|-|--|--⌫--⌫-|-⌫|-------|
e t kibienmoneage	-⌫|-|---|--|---|
diraildontques arealaite	---|-|---|--|-⌫--|-----|
te ilmerueil le nef u retraite	--⌫-|-------⌫-|-|-⌫|-------|
cilenfeseirtetpreusetbiau s	--|----|---|-|----|-|----⌫|
de croist reestoit	-|------⌫-|-----|
assezisn iaus	----|---⌫---|
mult crutetmul tmultepli a	---|---|-|---⌫|--------⌫|
multfu s enf ance	---|-||---⌫---|
bonee tb elle	---|-⌫|-⌫---|
maisysmael	---|-----|
cild e l ancell e	--|-⌫||------⌫|
iu oitaluicoma	--⌫--||--|--||
mult en fu dolantesa	---|-|-|------|-|
sarec uiilatoche a l	---|-⌫-|-|-----|-⌫|
nel sof re raplus anulfuer	-||---⌫--⌫-|---||--|---|
maintenant laditsonmari	---------|||--|--|---|
hesi recomsomesga ri	-|--⌫-|--|----|--⌫-|
queysmael ioe a mon fi l	--|-----|--||--|--⌫|
parde uie ne la i pa ssi uil	--|--⌫|-|-||-⌫|--⌫|-|--|
peirsnese s compains so it	----|-|--⌫|-------|--⌫-|
nestpasraisonsn estre	|--|--|------||----|
nel do i t	-||--⌫-⌫|
abrah amloisenfugries	-----⌫-||-||-|-|----|
sicom nos raconte	-|--|--|------|
d amr ideuslidist	-⌫---⌫----|-|---|
maintenant	---------|
kimulttost	-|---|---|
lenfistsouena nt	|-|---|------⌫-|
a brahamornet esmaie r	-⌫-----|-|-||------⌫|
quelem aldoitonap a ier	--|-|-⌫-|---|-|--⌫-⌫--|
or croi coquetaf em e	-|---|-|--|-|-⌫--⌫|
aitnulcontredit	--|--|--------|
enuoient onfil	----|-|-⌫-|--|
etpor tant	-|--|---|
lem onte pl ierai en	-|-⌫----⌫--⌫----|-|
maisysaacki	---|----|-|
tantestgens	---|--|---|
ierttes drois oirsqu estre	---|--|----|---|-|----|
dipa rrais one tpardroit	-|--⌫|----⌫-|-⌫|--|----|
a braham sens	-⌫-----|---|
longe demeure	----|------|
et a droi t terme	-||----⌫|----|
e ta dro iteheure	-⌫||---⌫--|----|
ensi comdeusliauoitdit	---|--|---|-|----|--|
n imistterme ne	||---|----|-|
maintenant f ist ladep artie	---------|-⌫--|-|---⌫----|
dagar kideluis	|---|-|-|--||
es t partie	--⌫|-----|
ce pesa li multlifugrief	-|---|-|---|-|-|----|
assezotikigr antme scief	----|-|--|--⌫--|--⌫----|
quantellene puetdemor e ir	----|---|-|---|-----⌫-⌫-|
elleuosist hon oreir	---|-----|---⌫----|
sada mekitanter esage	-|--⌫-|-|---|--⌫|---|
n e laitn ehontene	-⌫|---|-⌫|----|-|
n ieu stsorg ue s	||--⌫-||---⌫--⌫|
li laiss ast	-|-----⌫--|
i aporce plus n e	-⌫|--|-|---|-⌫|
sabai s sast	|----⌫-⌫---|
ab rahampor celene nuoie	--⌫----|--|-||-|-⌫----|
assezli fulon ge lauoie	----|-|-|---⌫-|-|---|
qu epourements enuait garnie	--⌫|--------||-|---|-----|
maisn e fupastropescarnie	---|-⌫|-|--|---|-------|
quantelleenmenasone nfant	----|---|-----|--|-⌫----|
ysmaelqueelleamo it tant	-----|--|---|---⌫-|---|
ma isabraha mcuifi s iliere	--⌫-|------⌫|--|--⌫|-|---|
neli uoten nule	-|-|--|-|---|
chargierplusqueie	-------|---|--|-|
que iadun motn i	--|-||-|--|||
aiguesanspluslorbaille etpain	----|---|---|--|-----|-|---|
ensileuos ditot ap lain	---|-|--|-|--||-⌫---|
quep lusdelabrahamn enportent	--|-⌫--|-||------||--------|
multses maientetdes c onforte nt	---||--⌫-----|-|---⌫-⌫-------⌫-|
quepour ementgar ni sen uont	--|----⌫----|---⌫-||-|---|
etgr an tdoteetgrantpaor	-|--⌫--⌫|---|-|----|---|
et delaigueetd elor	-|-||----|-|-⌫|--|
multd otentq uelenelor faille	---|-⌫----|-⌫|--|-|--|-----|
cheusuntengrant or fent ee	---|---|-|----|--⌫----⌫-|
n en auoir pas ateilplante	|-|----|--||---|-----|
leb ienne le ioiene la isse	-|-⌫--|-|-|---|-|--⌫---|
quesigr a ntpouerteseslaisse	--|-|--⌫-⌫-|------||-------|
entraz yyneseuentquefa ire	---|-|-|-|-----|--|--⌫--|
multo renta n ui etco n t raire	---|-⌫---|-⌫-⌫-|-|--⌫-⌫-⌫----|
de la igu e ki lorestf aillie	-||-⌫---⌫|-|--|--|-⌫-----|
orestagartrop ma lba ilie	-|--|---|---|--⌫---⌫---|
q y smael enr age de soi	|-⌫----|---⌫--|-|--|
nesei tquellefacede soi	-|---⌫|-|---|---|-|--|
la m alestruite	-|-⌫---------|
l a chaitiue	-⌫|-------|
nepuetuenirna portn	-|---|----|||---||
kel euoit sonenfantk i muert	|--⌫|---|--|-----|-⌫|----|
depart multsedet uert	-----|---|-|---⌫---|
porquenelpuet mo rir ueoir	--|--|-||---|--⌫--|----|
ens us de luise	---⌫-|-|--|-|
tantco m unsarsporoitgetteir	---|--⌫|--|--|-----|------|
q u e p lus	-⌫-⌫|-⌫--|
p resni osehabite ir	-⌫--|||--|------⌫-|
liangles deupo rapa ier	-|-----|--|--⌫|---⌫--|
lidist a gar ne tesmaier	-|---|-⌫--|-||------|
aies tot lecuerrenioi	---|--|-|---|-----|
car deusato nenfa nt oi	--|---||--⌫|----⌫-|-|
ne luu etdenule rie n	-||--⌫-|-|---|---⌫|
clerefon taine i t roueras	----|---⌫----||-⌫------|
ua to stquensilesproueras	-|--⌫-|-|---||---------|
de coueoir fumulthas t i ue	-|-|----|-|---|---⌫-⌫-⌫-|
a so nenfantc ortla chaitiue	|--⌫|-----|-⌫--|-|-------|
plus to s tq u	---|--⌫-⌫|-⌫|
eleonquesp ot	--|-----|-⌫-|
l enmainne	|-------|
alpuis alacleire	-|---||-|-----|
fontain ne	-------⌫-|
angle sli otmostree	-----⌫|-|-|------|
grans so is outree	----|--⌫-|-----|
ik if ur entilrespassé	--⌫|-⌫--⌫--|-|--------|
ikipar langleo nttr e spass é	--|--||----|-⌫-|--⌫-⌫-----⌫-|
lemalkisi lesangoissoit	-|--|-|-|--|---------|
kitot ceconissoi t	-|--|-|--------⌫|
son angleasocorslortremi st	--|----||-----|--|-----⌫-|
tot mortqu enperilgist	--|---|-|-|----|---|
etdeusle sengettamult	-|---|--⌫|-|----|---|
enap ert no npas en repo s t	-|--⌫--|--⌫|--|-|----⌫-⌫|
enterred egiptesenuint	-|----||-----||-|---|
agarcuicis gransbie nsauint	---|--|--|----|---⌫-|----|
multsenporu itetbienet bel	---||-|----⌫-|-|---|-|--|
elleuitson fil ysmael	---|--|--|--|-----|
grantetap er t etp reuet sage	----|-|--⌫--⌫|-|-⌫--|-|---|
or apassé lo gr ant p a ssage	-||-----|-|--⌫--|-⌫-⌫----|
tot en tot gari e	--|-|--|----⌫|
necistn elat arie	-|---|-⌫|||-⌫---|
estmerueill eu s	--|--------⌫--⌫|
onques tan tnefu	-----|---⌫|-|-|
li arschier s	-|--|-----⌫|
s illetint n	|-|-|---||
entras istplusdroit	-|----⌫--|---|----|
quenusho mki soitorendroit	--|--|--⌫|-|---|--------|
mult fupr eussensnuleent repri se	---|-|--⌫--|---|---|---⌫-----⌫-|
encele t erre a	-|---|-⌫---||
femmeprise	----|----|
itei l comsame re l iquist	----⌫|--|-|--⌫-|-⌫|----|
pa rque l eplusdesge nsconquist	--⌫|--|-⌫|---|--|--⌫-|-------|
aprescescho sesi	----|--|---⌫--||
q uilesai trou ee s escrites	-⌫-|--|-|----⌫--⌫|-------|
s i nem en ti en gne nus a	-⌫|-||-|--⌫--⌫--|--||
ki otn omsicol	-|-|-⌫-|----|
auec ab ymelech	---|--⌫------|
kide luiseruirsap re sto it	-|-|--|-----||--⌫--⌫---⌫-|
etabymelechestoitsire	-|--------|-----|---|
s i comioi dir e	-⌫|--||-|---⌫|
aabrahamsunt aquoi ntié	|------|---|-----⌫----|
bien ontlor	---|--|--|
afairepointie ́	-----|-------⌫|
et paramor etpar p ro iere	-|--|---|-|--|-⌫--⌫---|
k en n ulemaniere	|-|-⌫--|------|
nesepuentd elui sofrir	-|-|----|-⌫|--|-----|
ma is liuuelen t offri r	--⌫-|-|------⌫|-----⌫|
lor auoirlor	--|----|--|
terreetl or co rs	----|-|-⌫-|--⌫-|
et pa rdedens	-|--⌫|-----|
etpardef ors	-|--|---⌫--|
d ien t mult d ou cement	-⌫---⌫|---|-⌫--⌫-----|
siredeu staimmeuoirement	---|---⌫||----|--------|
enteshueuresetentesfais	-|--|------|-|-|--|---|
estade s d e l oureirentai s	--|---⌫|-⌫||-----|-----⌫|
lid istlir oisparsoi	-|-⌫--|-|-⌫--|--|--|
p riebeas sirea despo r moi	-⌫--|---|---||--|--⌫|--|
etpor m esge nset porm oneur	-|--|-⌫-|--⌫-|-|--||----|
priedamrideutonsingneur	---|-------|--|-------|
kild etesmalfait eurste	|-|-⌫|--|-------⌫---|-|
ores enuneterre	-|-|-|--|----|
demoined aut rui	-|--|-||---⌫--|
quedeu stes	--|---⌫|--|
sirebientegarde	---|---|-|----|
decui tu a sb onreconfort	-|--|-|-⌫|-⌫-|--------|
abrahamlopp osa mult fo rt	------||---⌫--|---|--⌫-|
de lpuisquese sgens litoloient	--⌫|---|--|--⌫|---|-|-------|
etcon tredire liuoloie n t	-|---⌫------|-|------⌫-⌫|
abraham et	------|-|
totes ses genz	----|--|---|
s enf urenten m ultgransbestenz	|-|-⌫----|-|-⌫--|----|------|
abymelechmul tsendescuse	--------|---⌫||-|------|
q ui nu le rienne	-⌫-|--⌫-|---|-|
lirenfus e	-|------⌫|
ne maisnes oitqu e cemontoi t	-|---|-|-⌫--|--⌫|-|------⌫|
dequeilleu	-|----|--|
racon toit	-----⌫---|
tiengneasonhues	------||--|---|
porse sberbiz etp ors esbues	--|--⌫|-----|-|-⌫-|-⌫-|---|
ab rahamu ers	--⌫----|-⌫--|
lu i loreq uist	--⌫|-|---⌫---|
kimolt grant	-|---|----|
porlep uisontfa italiance	--|-|-⌫--|--|--⌫-|------|
cil t roip arbien	--|-⌫--|-⌫-|---|
et p a rfiance	-|-⌫-⌫|-----|
abra hamotpa r sairement	----⌫--|-|--⌫|--------|
lopuis tot enterinement	-|---|--|-----------|
abrahaml ottotadeli ure	------||-|--||----⌫--|
iam ais tantcomil aita uiure	---⌫--|---|--|-|--||----|
nier t lui nesonoirescondis	|---⌫|--|-|--|--|-------|
porce qu il	--|-|-|-|
li fucon tre dis	-|-|---⌫---⌫--|
simist ses	-|---|--|
berbi ete s sus	-----⌫---⌫|--|
puisnidui tauoir nulrefus	---|||---⌫|----|--|----|
can tso r cel	---⌫|--⌫|--|
puisles a gniasuit	---|--|-⌫----|--|
ab imelechsa multtost	--⌫------|||---|---|
aabr aham po rquec estoit	|---⌫---|--⌫|--||-----|
decesyy agn iaskil	-|--|-|---⌫--||-|
entorcelpuis etpor q ueil c hose	----|--|---|-|--|-⌫---|-⌫---|
abrahamkibiendire	------|-|---|---|
li r e spontquedesamainprengne	-|-⌫-⌫----|--|-|-|---|------|
ce syyaignele tes sildeingne	--⌫|-|-------⌫--||-|------|
et seli disten co rbiassire	-|-|-|---|--⌫--⌫|---|---|
me doitnus es cond ir e	-|---|--|--⌫----⌫--⌫|
queie fac p orramenteuan ce	--|-|--|-⌫-|----------⌫-|
qu adesuuelauoiresperance	-|---|---|----|--------|
terr eetde c est puis	----⌫|-|-|-⌫--|---|
main te nraibi en se	----⌫--⌫---|--⌫-|-|
multtintbien lo puisabrahanz	---|---|---|-|---|-------|
toiorsenfu sire	-----|-|-|---|
abyme l ech dilu ecsetor ne	-----⌫-⌫--||---⌫-|-|---⌫-|
plustostqu	---|---|-|
en terre depalestiens	-|----|-|---------|
ce dist li l iures anchiens	-|---|-|-⌫----|-------|
abra hamiki sedemeur e	----⌫--|--|-|------⌫|
fi naneiornehuere	--⌫-|-|--|-|----|
otplantéu ngrant	-|------|-⌫|----|
nau r oi e racon té des mois	|--⌫-⌫--⌫|-----⌫--|--|---|
lesp roeces	--|-⌫-----|
lui murent	--|-----|
terre lonct ensfurent	----|---|-⌫--|-----|
sesgense tilk aincne	--|---|-⌫|-||---|-|
laterreestoit de ph i listex	-|----|-----|-|--⌫-⌫-----|
ma isla unu sne poist e str e	--⌫-|-||--⌫|-|----|-⌫---⌫|
s auoiti lson	|----|-⌫|--|
roi e t so nestre	--|-⌫|--⌫|----|
kil metoiten tos bien ssacu re	|-|-----|-|--|----⌫|-|--⌫-|
si l nauoit d emaluaistiecure	|-⌫||----|-⌫|---------|---|
maisd eloiateet	---|-⌫|-----|-|
re conteiruospuisciendroit	--⌫------|--|---|-|------|
que cilduile uinren t	--|--|--|-|------⌫|
en celp aise n cele	-|--|-⌫--|-⌫|---|
porle bienet porlabonte	--|-|---|-|--|-|----|
c o mauoitdeluirecont é	|-⌫|----|-|--|------⌫-|
etmaintesfoies auie nt	-|------|----|----⌫-|
unbien prodome sou ient	-|---|------|---⌫---|
kimazaesté	-|--||----|
quetostlira de us apresté	--|---|-|-|--⌫-|-------|
dedenssoncueretsen setpen se	-----|--|---|-|---⌫|-|---⌫-|
pa rque m aint es f oisser a pense	--⌫|--|-⌫----⌫-|-⌫--|-|-⌫-⌫----|
d un bonhomed	|-|--|---||
unpreu dunsage	-|---||-|---|
nipuetauoir mal ned omage	||---|----|--|-|-⌫----|
n e denulerienn	-⌫|-|---|---||
imes prent	|---⌫----|
can tila luibon con se ilprent	---⌫|-||--|--|---⌫--⌫-|----|
aabrah amuinre nt	|-----⌫-|-----⌫-|
multlipr oierents e nsanui	---|-|--⌫------|-⌫-⌫-|---|
kilpriast damr i deu	|-|-----|----⌫-⌫--|
abrahamlipreusl i loiaus	------|-|----|-⌫|-----|
abymelechchosa mult for t	--------|----|---|---⌫|
de co queses	-|-|--|--|
gens agrantto rt	---||----|--⌫-|
li toloient sonpuis parforce	-|-------|--|---|--|----|
mais abymelechmult sefforce	---|--------|---||------|
delnoier etde l escondire	--|----|-|-||--------|
cainc maisnelauoit oidir e	|---|---|-||----|-|---⌫|
etbie ns achi és certainement	-|---⌫|-⌫----⌫--|-----------|
co comfa itmescon issanment	-||-|--⌫-|------⌫--------|
pluslegierspardonsi	---|------|------||
aceluikibi enlo	|----|-|--⌫-|-|
lisergantki	-|------|-|
lopuistolir ent	-|---|-----⌫--|
s untcil kionques n epo l iren t	-⌫--|--|-|-----|-⌫|--⌫-⌫----⌫|
kitor nastaporfit	-|---⌫---||-----|
ianusenteil	-|--|-|---|
gentne sefit	---|-|-|--|
kitosle mausfontadeuis e	-|--|-|---|---||-----⌫|
cilk idestruien t	--|-⌫|---------⌫|
sainteeglise	-----|-----|
et les r entesi	-|--|-⌫----||
a menuisent	-⌫--------|
unes autres gensirenuisen t	---|-----|---||--------⌫|
kimult la deussenta id ier	-|---|-|-------|-⌫--⌫--|
autres icompa r sohaidier	------⌫|--|--⌫|--------|
loruienentli	--|------|-|
bienetl es rentes	---|-|-⌫-|-----|
multfait bo nenteir entez	---|---|--⌫|-----|-|--|
dontlifruis est etbonsetbeas	---|-|----|--|-|---|-|---|
etentotens freset noui as	-|-|-----|---|-|----⌫-|
etcil kisensdoneirlo	-|--|-|---|-----|-|
semblentceaski lopuis	-------|---|-|-|---|
etkiasprodomeslo	-|-|-|-------|-|
sachi e ́squetez	-----⌫-⌫-|--|--|
chosesmessi ent	-----|-----⌫--|
etalpreusi l le seit	-|-|---||-⌫|-|---|
ki lob ienaimeetlomalh ei t	-|-|-⌫--|---|-|-|--|-⌫--⌫|
abraham et bre bi z	------|-|---⌫--⌫|
porle pui sauoira sonhue s	--|-|---⌫|----||--|---⌫|
aabymelech en	|--------|-|
li abandona	-|-------|
lesbrebismeta	--|-----|--||
simplesgens	------|---|
kibuen suntdef ors	-|---|---|---⌫--|
etded e ns	-|---⌫-⌫-|
ausicomlesberbisco n m aine	---|--|--|-----||-⌫|-⌫---|
sen sgranttr au ailetsensgra n tpaine	---⌫|----|--⌫--⌫--|-|---|---⌫-⌫|----|
t otpartot aualet amo nt	-⌫-|--|--|---|-|---⌫-|
au tresile s sim plesgens	--⌫----|--⌫|---⌫---|---|
parcequederienn	--|-|--|-|---||
i mespra ingne nt	|------⌫-----⌫-|
s ico mlormai strelor enseing ne nt	-⌫|--⌫|--|---⌫---|--|-------⌫--⌫-|
li bues kirungesauiande	-|---|-|----|-|-----|
sicomnaturelecommande	-|--|-----|-|-------|
buensprelaslibons	----|-----|-|---|
tosbiensestseursetfers	--|----|--|----|-|---|
kilescriture	-||--------|
runge ades	----|---|
et ki ioretnuit	-|-|--|-|---|
la tientpres	-|----|---|
de bue nc uer la retrait	-|---⌫|-⌫--|-|------|
a usicomme libueski	-⌫--|----|-|---|-|
cant il est biena l	---|-|--|---|-⌫|
io u liés	--⌫|----|
trai reniertd etriés	----⌫-||---|-⌫------|
ain s eirela	---⌫|---|-|
terr eetgaaigne	----⌫|-|------|
siquede riennesemehaingne	-|--|-|---|-|-|--------|
labonemes sons	-|---|---⌫---|
exempleconisson s	------|--------⌫|
q u el ibonspr elastrait	-⌫-⌫|-⌫|---|--⌫---|----|
parcreance etparbonefoi	--|------|-|--|---|--|
deusl iaco mandez	---|-⌫||--⌫-----|
e tse leuoiren	-⌫|-|-|---|-|
enpue t on diretant	-|---⌫|-|---|---|
quesa bonesemenceespant	--|-|---|------|-----|
sibien quelle r eprentetgerme	-|---|-|---|-⌫-----|-|----|
et adroitpoi ntet	-||----|---⌫-|-|
adr oitterme	|--⌫--|----|
d irepui s d es setaingneletes	-⌫--|---⌫|-⌫-|--|----------|
ki tan tfu r e nt bonnes etbelle s	-|---⌫|--⌫-⌫-⌫-|-----|-|-----⌫|
kisorle puis f uren t donees	-|--|-|---|-⌫----⌫|-----|
quabraham iot	-|------||-|
kilesmist iki	-|--|---|--|
que ces untp o ruoirlisetdon	--|-|-⌫--|-⌫-⌫|---|-|--|--|
delsaint espiretdes agrasce	--|----|----|-|-|-⌫|-----|
kitos bien smaintientet	-|--|----⌫|--------|-|
etkigrantioie nospromet	-|-|----|---|--|-----|
cilkidece sdonssentremet	--|-|-|--⌫|---||-------|
buenslesdone	----|--|---|
bien endoitretenir sapart	---|-|---|------|-|---|
siqueia de sgarnis	-|--|-|--⌫------|
li bo nsprelas	-|--⌫-|-----|
kis eporuo it	-|-⌫|-----⌫-|
etki belement	-|-|-------|
semaintient	-|--------|
depart multen retie nt	-----|---|-|-----⌫-|
de ces d onsque deuslicommand e	-|--|-⌫--|--|---|-|-------⌫|
cilkide b uencuer	--|-|-|-⌫--|---|
l idema n de	-⌫|----⌫-⌫-|
nidoitfaillir	||---|------|
cilki les departentsibien	--|-|--|--------|-|---|
seuentl e xe mpl e totaplain	-----||-⌫--⌫---⌫|--||----|
sicom abrahamdesamain	-|--|------|-|-|---|
uoutqu eles	---|--⌫|--|
set aigneaspr ei st	--|------|--⌫--⌫-|
abymelech kikel ueist	--------|---||----|
aus idoiu ent de simp le cuer	---⌫|----⌫--|-|----⌫-|---|
tuitli boneu esque	---|-|--|--⌫----|
lessim ples gensamon esteir	--|---⌫---|---|----⌫-----|
si quedeuslor pu iss ea presteir	-|--|---|--|--⌫---⌫|-⌫-------|
delsaintesperislesse tdons	--|----|------|--|--⌫|---|
