ennonde dieule creat our	-|--|-|---|-|-----⌫--|
au cheo irsi fort	-|----⌫-|-|---|
kains puisce iourco upne	|---|---|-|---|--⌫-|-|
maissagen tl	---|-|---⌫||
orentreleu é	----|-----⌫-|
cheualremonté	-----|-------|
a cel ui po int	|---⌫-|--⌫--|
tout droit auint	---|----|----|
quegal dasdesmonslasor uint	--|---⌫--|--|---|-|---⌫---|
entreluietbondartl e gri s	----|--|-|------|-⌫|---⌫|
souzcleomad esfuoc is	---|-------⌫-|-|--⌫-|
sesche uausa celeuenu e	--|---⌫---||---|----⌫|
maisiecroico n ques	---|-|---||-⌫-⌫---|
fus t nule m eruei lle sigrant	---⌫|---|-⌫-----⌫--|-|----|
ueoirdesfend ant	----|-------⌫--|
quant apie fu en mia usto us	----||--|-|--⌫-|-⌫-|--⌫-|
m ustiau set	-⌫------⌫|-|
cuisses etgenous	------|-|-----|
mout chier co mparer couuenoi t	---|----|--⌫-----|--------⌫|
c e que sesc h euausmors	-⌫|--|--|-⌫-⌫----|---|
dou bran qui ertsoi l liez	--|---|--|--|---⌫-⌫---|
saidoit comcheualier s certa ins	|-----|--|---------⌫|-----⌫--|
deproueceetde	-|------|-|-|
et de hard e ment apensé	-|-|----⌫-⌫---|------|
e ntour luisi grantparc	-⌫----|--|-|----|---|
quenusassaillirnelosoit	--|--|--------|-||----|
cedeq uoiplus illass ailloient	-|-|-⌫--|---|-||---⌫--------|
c es toitdedars quil	|--⌫---|-|---|-|-|
li lan coient	-|---⌫-----|
presdelui n o soient	---|-|--||-⌫-----|
tantsefais oit a	---|-|----⌫--||
aus dou ter	--|---⌫--|
sauoi rpoezquillocesi s sent	-----⌫|---|-|-||-----⌫-⌫---|
mout u olentier s seilpoui ssent	---|-⌫--------⌫|-|-|----⌫----|
do ure scourrem o utsepenoient	--⌫|--⌫------|-⌫-⌫-|-|-------|
sagente t grantpai ne	-|---|-⌫|----|---⌫-|
maist an t	---|-⌫--⌫|
erentafeblo ié	----|------⌫--|
deluiquiestoit mis	-|--|--|-----|--|
que mouten	--|---|-|
erentesbahi	----|-----|
leurcu er e tleur coupamen ri	---|--⌫-|-⌫|---|---|----⌫-|
etauoit chascu ns	-|----|------⌫-|
tantafaire	---||----|
quilnesa uoita uqu el	-|-|-|--⌫---|-⌫|--⌫-|
bo ndarsli grises toitmontés	--⌫----|-|---|--⌫---|------|
seur uncheualqui	---|-|-----|--|
est oit tes	---⌫--|--|
queonn e peustso uhaidie r	--|-|-⌫|----|--⌫-------⌫|
a finsouhai t meilleurde s trier	|--|------⌫|-------|--⌫-⌫----|
etcleom ades	-|-----⌫---|
l e choisi	-⌫|-----|
haut etgrantet	---|-|----|-|
fortetfourni	---|-|-----|
uersluisen	---|--||-|
uintmou tf ie rem ent	---|---⌫|-⌫--⌫---⌫--|
le cheu alparlare sneprent	-|----⌫-|--|-|--⌫--|----|
le br antintqui	-|--⌫-|---|--|
estoi tsoilliez	-----⌫|-------|
de cou perbras	-|---⌫--|---|
etp oins etpi ez	-|-⌫---|-|--⌫-|
etd espandre sancet	-||-------|---|-|
main teentrailleetmai ntebouele	----⌫-|--------|-|---⌫--|-----|
en fistespandre aualles	-|---|-------|---|--|
c arfors ertet li brans trenchans	-⌫-|---|--|-|-|----|--------|
si en feribon dartlegr is	-|-|---|---⌫---|-|--⌫-|
que dou c oupfu sies tordis	--|--|-⌫--|-|-|--⌫-----|
lat errec heipa sm és	-|-⌫---|-⌫--|--⌫--⌫--|
et cleomadeses t	-|--------|--⌫|
destrierforte tis nel	-------|---|-⌫|--⌫--|
cu i que il s oi tlai tnecui bel	--⌫-⌫--|-|-⌫--⌫|---⌫|-|--|--|
lorsmue taaus	---|---⌫||--|
comhomirés	--|--|----|
cuiilatain tcilest	--|-|-----⌫|--|--|
siane mise desconfirent	-|---⌫-|-|-----------|
forme ntquant remontéleuirent	-----⌫-|----|-------|-|-----|
et lisiensontrasseuré	-|-|---|---|--------|
leuirent remonté	-|-----|-------|
marca digastoutentelpoint	-----⌫----|---|-|--|----|
a uoite sté	-⌫---|-⌫---|
droitacepoint	----||-|----|
sorman sli ro usli otocis	------⌫|-|--⌫-|-|-|---|
soncheualetgarsianis	--|-----|-|--------|
n euouspuis pas	-⌫|---|---|--|
toutdeuiser	---|------|
gra nt pain e	---⌫-|----⌫|
ot alui remonter	-||--|-------|
lasesch euaus de moramors	-|--|--⌫----|--⌫---|---|
fu unpetitnaure ́s	-|-|----|-----⌫-|
maisnestoitpas plaiemortes	---||-----|--|----|-----|
tantotfait quil fu	---|-|---|-|-|-|
remonté s	--------⌫|
etuenoitresc orre son fill	-|-----|----⌫---|--|---|
c onliotdi t	|-|-|-|--⌫|
enquel perill	-|---|-----|
ilauoitlonguementes té	-|----|---------|--⌫--|
quan t illa	----⌫|-|||
il n ecuidoit	-|-⌫|------|
ensoncue r dieu	-|--|---⌫|---|
en gr acioit	-|--⌫-----|
ca steleescriehautement	--⌫----|-----|--------|
estourrentrafiereme nt	-----|-----|-------⌫-|
lors li uint r oisgald as	---|-|---|-⌫--|----⌫-|
desbransentraco intie r s euont	--|----|-------⌫-----⌫|-⌫|---|
moutyauoi tfiereme llee	---||----⌫|----|--⌫---|
souuent fu cast ele esc ri ee	------|-|----⌫--|---⌫--⌫-|
maistantu ousdi quelaendr oit	---|---|-⌫--|-|--|-|----⌫--|
marc a digastrop pou auoit	----⌫-⌫----|---|--|----|
c arsi chargie ́estoient	-⌫-|-|-------⌫|-------|
q uetouslesb rasplai ns	-⌫-|---|--|-⌫--|----⌫-|
detoutespa rs etdetous lez	-|-----|--⌫-|-|-|---|--|
licheuaus sorquoire montez	-|------|--|---|--⌫-----|
fum arcadigas	-|-⌫--------|
li genti s	-|-----⌫|
fu laendroitsouzlui	-|-|------|---|--|
nestmerueilles	|--|--------||
etmeschiefd ecuer qua nt s ouz	-|-------|-⌫|---|---⌫-|-⌫--|
fumorsses cheuau sace le	-|---|--|------⌫||--⌫-|
g aldasde smonslicorut	-⌫----|--⌫|---|-|----|
lespee oupoing c armout	|----|-|----|-⌫-|---|
i llepeustocire	-⌫|-|----|----|
quantma rcadi ga sse uitmis	----|--⌫-----⌫--⌫|-|--|--|
a pieentresesan emis	|--|----|--|--⌫---|
bie nuit que il	---⌫|--|--|-|
mestier auo it	------|---⌫-|
ded esfe nd reetil enfai soit	-|-⌫----⌫--⌫-|-|-|-|---⌫---|
son pouoiralo ide	--|-----||--⌫|-|
lespe eoupoingrendo it e stal	|----⌫|-|----|-----⌫-|-⌫---|
aguisede har di se ngler	|----|-|---⌫-|--⌫----|
qu iliueist	--⌫|-|----|
esbouel er	-------⌫-|
cheuauset ento ur lui fer ir	------|-|----⌫-|--|---⌫-|
bien lede usta preu	---|-|--⌫--||---|
sag entdurementsepenoient	-|-⌫--|-------|-|-------|
dour e scorreetabandonno ien t	--|-⌫-⌫-----|-|---------⌫---⌫|
mouttres h ardie men tl escors	---|---|-⌫-----⌫---⌫|-⌫-|---|
m aistant i ertgrans lief f ors	-⌫--|---||--|----|-|--⌫-⌫--|
de leur a nemislaendr oi t	-|---|-⌫----|-|----⌫--⌫|
q uetro is	-⌫-|---⌫-|
contreuny auoi t	-----|-||----⌫|
ce n estoitpascom par oison	-||-----|--|---⌫---⌫----|
a cleom ad es	|-----⌫--⌫-|
ledi s ton	-|--⌫-⌫|-|
que s esperesert en tel	--|-⌫-|----|--|-|--|
tan tostle cheualpoint	---⌫---|-|-----|----|
desesper o nslorss	--|-----⌫-⌫-|---||
oucillien saigna	-|--|-|--⌫-----|
quiditelen otla nouuele	--|---||-|-|-|------|
l espee ou poing	|----|-|----|
crian tcast ele	-----⌫|----⌫--|
s enui ntdroitacele mellee	|-|--⌫-|----||---|-----|
fiereetdrue et lee	----|-|---|-|--|
elplus granttas	-|---|----|--|
m ou taigremen t	-⌫--⌫|--------⌫|
s embatpl ain s	|----|--⌫---⌫|
dire e t detalent	|--|-⌫|-|-----|
desesanemi sdamagi er	-|--|-----⌫|------⌫-|
fistmaint tr ebuchier	---|----|--⌫-------|
ainsquea sonpereue nist	------||--|---|--⌫---|
droi t deuantson	----⌫|-----|--|
peresemist	---|-|---|
quibienmestie rdayde	--|---|------⌫||---|
carsespee bris ie estoit	--||----|----⌫-|-----|
ets es esc u stousdeco upés	-|-⌫-|---⌫-⌫|---|----⌫----|
etses hiau mes to usdescer clés	-|--|----⌫--|--⌫-|------⌫----|
sachiezquetostfu conneu s	------|--|---|-|------⌫|
cleomades quantfuuenus	--------|----|-|----|
ace l esto urqu e i euousdi	|--⌫|----⌫-|--⌫|-⌫|---|-|
tost furent l irenc aclari	---|-----|-⌫|---|-----|
faisoientpaspri ie r	--------|--|---⌫--⌫|
sian emid e trairearri er	-|--⌫--|-⌫|-----|----⌫-|
liunssorlautresentassoit	-|--|--||----||--------|
ouil setraioit	-|-|-|------|
car sitresperilleus	--|-|---|--------|
sicou p katend renesosoient	-|---⌫||-----⌫-||-|------|
karmeurenauoit	|------||----|
tantfustfortenebien	---|---|----|-|---|
c ontreles	-⌫----|--|
coups queil feroit	----|--|-|-----|
chascuns leredoutoit	-------|-|--------|
uersleroigaldassad reca	---|-|--|-----||--⌫---|
etg aldas uerslui seto rn a	-|-⌫----|---|--|-|--⌫--⌫|
car mout ertcheualiershardis	--|---|--|---------|-----|
l irois galdas	-⌫|---|-----|
etdegrant pris	-|-|----|---|
chasc unste noit lebran	-----⌫--|--⌫---|-|---|
li unslautreaprochié	-|--||----|--------|
unlautre encontre rent	-||----|--------⌫---|
queles espee s sassenerent	--|--|-----⌫||---------|
carlescoupsgeterentensa mble	--|--|----|-------|----⌫---|
maisains ia uintcem esamble	---|----⌫|-⌫---|-|-⌫|-----|
quel espee galdas	--||----|-----|
sique l autreparm i	-|--||----|----⌫|
enla moi enne t outparmi	-|-|---⌫---|-⌫--|----|
la pieceala te rre enchei	-|----||-|--⌫--|-|---|
quant cleom ad esuits espee	----|-----⌫--⌫-|--||----|
qui esto ite nmileucoupee	--|----⌫-|-⌫|----|-----|
lespee formentcouuoi ta	|----|------|------⌫-|
quilaseueainsi	--|-|---|----|
sach iezquil	----⌫--|-|-|
fer asonpouoir	---⌫|--|-----|
sil pue tde	|-|---⌫|-|
celeesp e eau o ir	---|---⌫-⌫|--⌫-⌫-|
unpet itle che ualbro cha	-|---⌫-|-|---⌫--|---⌫--|
auroi galdasles bras ge ta	-|--|-----|--|---|--⌫-|
chaie nnelesa isi	-----⌫--|-|--⌫--|
a quoili bransd	|---|-|----||
aci erpendi	---⌫-|----|
queil couuoitoit	--|-|---------|
mo ut f or ment	--⌫-|-⌫--⌫---|
a luileti retelem ent	|--|-|--⌫-|-----⌫--|
que le roigal da sre uersa	--|-|--|---⌫--⌫|--⌫----|
cheualetrompuea	-----|-|-----||
la chaienne toute rranment	-|-------|---|-⌫-------|
lunetlautre	|-|-||----|
s icomi entent	-⌫|--||-----|
lespee etla chaienn ea ussi	|----|-|-|-------⌫|-⌫---|
enportapour uoir l euou sdi	------|---|---|-⌫|---⌫|-|
nesot pouoirde reten ir	-||-|-----|-|-----⌫-|
galdas ai nc oi s	-----|--⌫--⌫--⌫|
co u uintcheir	--⌫-⌫---|----|
luietlecheua len un mont	--|-|-|-----⌫|-|-|---|
lie zfucleomadesadont	---⌫|-|--------|----|
qua nt ilot	---⌫-|-|-|
lespeecon quise	|----|---⌫----|
dontilauoitg rantcouuoitise	---|-|----|-⌫---|---------|
ressoignieot l	---------|-||
es peeanon	--⌫--||--|
necroik a insmieudr eueist on	-|---||-⌫--|------⌫|----|-|
quantcleoma desses ent i	----|------⌫--|-|-⌫---⌫|
dou branler o igaldas	--|---|-|-⌫-⌫|-----|
sauoirpouezmout enful iez	-----|----|---|-|-|-⌫--|
et liro is	-|-|--⌫-|
g alda smoutiriez	-⌫----⌫|---|----|
quant releuezfu	----|------|-|
celui queil d emorthaoit	----|--|-|-⌫|---|----|
quidesespeeestoitsaisis	--|-||----|-----|-----|
moutenfude cuerabaubis	---|-|-|-|---|------|
sachiezque	------|--|
ma integrantcolee	--⌫---|----|----|
f uparcle omade sd onnee	-⌫|--|---⌫-----⌫|-⌫----|
puisce diases	---|-|-||--|
delespeequeuous deuis	-||----|--|---|----|
gal dasdes mons fu	---⌫--|--|---|-|
maisains puisle	---|---|---|-|
iournefutes	---|-|-|--|
quil tornast uers cleo mades	-|-|------|---|----⌫----|
ainc o iseschiuoitto utades	----⌫-⌫-|--------|--⌫-|---|
leslieuslaouil	--|----|-|-|-|
carmoutare dou t erfais oit	--|---||--⌫---⌫-⌫-|----⌫--|
cle omades lebran	---⌫-----|-|---|
ti ntenson	--⌫-|-|--|
poingq uemo u totchier	----|-⌫-|--⌫-⌫|-|----|
le premer ai n quilen	-|------⌫--⌫|-|-|-|
iusquesenses dens	------|--|-|---|
ta nt ferideca et dela	--⌫-|---|-|-|-|-|-|
quelesrens	--|--|---|
sia claroia	-|-⌫------|
q ueses peres otrecou uré	-⌫-|--|----|-|-----⌫---|
cheu ale tl	----⌫-|-⌫||
orentremonte ́	----|-------⌫|
s a gent quimo utgrantioi e	-⌫|---|--|--⌫-|----|---⌫|
decequeremontéleuoie nt	-|-|--|-------|-|----⌫-|
uneau tr e	--|--⌫--⌫|
espeeli baillierent	----|-|----------|
asachaie n nela lie rent	|-|-----⌫-⌫-|-|---⌫---|
cars espeeauoit	--||----|----|
en desfendan t	-|---------⌫|
ho nnour et	--⌫----|-|
bien le cuid ierenttelfois fu	---|-|----⌫-----|--|---|-|
sa gent dou toutauo ir pe rdu	-|---|--|---|---⌫-|--⌫--|
si e u ssent	-|-⌫-⌫----|
ilce stpa ssé	-||-⌫-|--⌫---|
bonsf ieus n eust	---|-⌫---||---|
quileresc oust	--|-|----⌫---|
si comu ousdi	-|--|-⌫--|-|
au besoingconn oist	-|------|----⌫---|
quant marcadigas	----|---------|
u itsonfill	-⌫-|--|---|
quilotrescous	--||-|------|
de telpe rill	-|--|--⌫---|
nestmeru eill e silen fu liez	|--|----⌫----⌫||-|-|-|---|
liroi s n e s tgairesdetriie z	-|---⌫||-⌫-⌫|-----|-------⌫|
aprescequ ilfu remontez	----|-|-|-|-|-------|
tantostest enles tour	------|--|-||--⌫---|
touten combata ntdieup ri o it	---|-|-------⌫-|---|-⌫--⌫-⌫-|
q ue ildes on	-⌫-|-|-|-⌫-|
fillgarde soit	---|----|---|
car bienuoitse	--|---|---|-|
ill eper doient	-|-⌫|---⌫-----|
et aléseroient	-|---|-------|
mou tsema i ntenoit nobl ement	---⌫|-|--⌫-⌫------|----⌫----|
m arcadigas et fierement	-⌫--------|-|--------|
sagent sauoitbelrassamb ler	-|---|-----|--|-------⌫--|
e t de bienfaire am onester	-⌫|-|---|----|--⌫------|
mains coupsfuiluecd ep artis	----|----|-|----|-⌫--⌫----|
encor gis o it	----|---⌫-⌫-|
bondar sligris	------⌫|-|---|
droitenz oulieu o uil che i	----|--|-|---|-⌫|-|---⌫|
quantcleomadeslabat i	----|--------||----⌫|
r escorrese	-⌫------|-|
pe n erent	--⌫-⌫----|
sa genttantquil leremo nterent	-|---|-----|-|-|----⌫------|
moutotest éenpasmoison	---|-|---⌫-|-|--------|
k en luin auoit se nsne raison	|-|--||----|--⌫-|-|-----|
lui fureuenus	--|-|------|
sachiez toutu rai ementqu en u s	------|---|-⌫---⌫----|--⌫|-⌫-⌫|
ne leustmenéde	-||---|----|-|
la ous eust	-|-|-⌫---|
caressaiéotmale ment	--|------|-|----⌫---|
sagrantforceet son hardement	-|----|----|-|--|--------|
sou uentcele	---⌫---|---|
part regardoit	---|--------|
laouc leomadessauoit	-|-|-⌫-------|-----|
mais deplus p res nelapr ocha st	---|-|---|-⌫--|-||---⌫----⌫-|
p ourtantescorch ierselai ssast	-⌫--|---|-------⌫--|-|---⌫----|
carqu iu eistlesren s	--|--⌫|-⌫---|--|---⌫|
an emisdamagier	--⌫---|-------|
c leomadesen pluse urslieus	-⌫-------|-|-----⌫--|----|
biende s istc est	---|--⌫-⌫--||--|
darm e s li dieus	|---⌫-⌫|-|----|
onpou oi t bien	-|---⌫--⌫|---|
pouruoi r iurer	---|---⌫|----|
homfais oitado uter	--|----⌫--||--⌫---|
puis cedique r emontezfu	---|-|-|--|-⌫------|-|
cleomadeset qu ot t olu	--------|-|-|-|-⌫--|
ab ondart leg ris	|-⌫-----|-|-⌫--|
sond estrier	--|-⌫------|
fir entpouplusque	---⌫--|--|---|--|
t ra irearrie r	-⌫--⌫--|-----⌫|
cilq uileurauersa ire estoie nt	--|-⌫-|---|------⌫--|------⌫-|
peureusement setenoien t	-----------|-|-------⌫|
car cleomadessimenés	--|--------|-|-----|
les otp u isqu ilfu	--|-|-⌫-⌫---|-|-|
e s toientde tou tespars	-⌫-⌫-----|-|---⌫--|---|
derroutetes p ars	------|-|--⌫-⌫--|
cleomad estan tredoutoient	-------⌫-|---⌫|----------|
quedeuants espe efuioient	--|-----||----⌫|-------|
comfaitanede uant faucon	--|---|--|--⌫---|-----|
etgrue pourl alerion	-|---|---||------|
mor irou cheoir couuenoit	---⌫-|-|-----|--------|
cel u i qu il aplaincoupferoi t	---⌫-⌫|-|-||----|---|-----⌫|
ce ioura bien	-|---||---|
assiens par u	-|----|---⌫|
ken luiauoitforc eetuertu	|-|--|----|----⌫|-|----|
cariecroi mal leur	--|-|---|--|---|
fu stal é	--⌫-|--⌫-|
s ilneust la	|-||---|-|
ce iour es t é	-|---|--⌫-⌫-|
espaignolapertementuoie n t	--------|---------|----⌫-⌫|
q uecil delase	-⌫-|--|-|-|-|
retraioient	----------|
aussicomen	----|--|-|
desconfisant	-----------|
tantost percoitleurcouuenant	------|------|---|--------|
marcadigaslorsescria	---------|---|-----|
assiensseignoror iparra	-|----|------|-||----|
s eai nsi no us esc haperon t	-⌫|--⌫--|--⌫-|---⌫-------⌫|
ueoir pouezde scon f its ont	----|----|--⌫----⌫-⌫-|-⌫--|
droi tapres ceunseu l	----⌫|----|-|-|---⌫|
quemarcadigasot cedit	--|---------|-|-|--|
orentleuranem itorné	----|---|----⌫|-----|
les dosconme	--|--|----|
desb areté	----⌫-----|
etsenaloien t quia insains	-||-|------⌫|--|-⌫--|---|
l orsueis siez parmicespl ai ns	-⌫--|----⌫---|----|--|--⌫--⌫-|
monsetparm iuaus	---|-|----⌫|---|
g ra ns pour rieres etgrans enchaus	-⌫--⌫-|----⌫-----|-|----|------|
tr estous li	--⌫-----|-|
chans estoit ionchiez	----|-----|-------|
demors de naur ezdebleciez	-|---|-|----⌫-|-|------|
de n escoupezd echies demai ns	-|-⌫-|-----|-⌫|----|-|---⌫-|
iambespiezbra s niot pasmains	-----|---|---⌫|||-|--|----|
tant en gisoit	---|-|-----|
detou scostes	-|---⌫|-----|
que ce fus t a ueoi rpites	--|-|---⌫||----⌫|----|
tanti o t demorset de p ris	---||-⌫|-|---|-|-|-⌫--|
queni saroieme tre	--|||-----|--⌫--|
ne so nmetantenyauoit	-|--⌫--|---|-||----|
quec hascuns senesmerue illoit	--|-⌫------||-|-------⌫-----|
tanta uoit li enchaus	---|-⌫---|-|------|
queilestoitpres	--|-|-----|---|
lors fist marc adigassonn er	---|---|----⌫-----|----⌫-|
ses corspour	--|---|---|
sa gentrassamb ler	-|---|-------⌫--|
acelui tanscoust ume estoit	|----|---|-----⌫--|-----|
qu esi tos tc	--⌫|-|---⌫||
oml esc o rsoo it	-|-⌫-|-⌫-⌫-|--⌫-|
de u e rs leur chief seretra i oient	--⌫-⌫-⌫-|---|----|-|-----⌫-⌫----|
cilqui lesco rsoysauoie n t	--|--|--|--⌫-|--|-----⌫-⌫|
et cilaussiains ilefirent	-|--|----|----⌫|-|-----|
leurge nsparmiles	---|--⌫-|----|--|
chansrequirent	----|--------|
dontassezmorseny auoi t	---|----|---|-||----⌫|
chascunsson ami re queroit	-------|--|--|--⌫------|
etestoit cous tum e aceiou r	-|-----|----⌫---⌫||-|---⌫|
que c ilquieren tuainqueour	--|-⌫-|--|----⌫|---------|
tou tdro iten	---⌫|---⌫-|-|
celieudemoroi ent	-|---|-------⌫--|
oulauictoir eeu	-|-|-------⌫|-|
li uainqueourlademorer ent	-|---------|-|-------⌫--|
etlides confitsen	-|-|---⌫-----||-|
si dolentet si i rascu	-|-----|-|-|-⌫----|
q uiestoientuaincu	-⌫-|-------|-----|
tout droitaul ieusontretorné	---|----|-|-⌫--|---|-------|
m atinerents e uré	-⌫---|----|-⌫-⌫---|
tenteset aucubesettres	-----|-|------|-|---|
yotne plusnemain skasses	|-|-|---|-|----⌫||----|
ka to u tleu r pouoiriesto ient	||--⌫-⌫|---⌫|-----||----⌫---|
uen u pour	---⌫|---|
ce q u e il cuidoie nt	-|-⌫-⌫|-|-------⌫-|
d espai gnecon querre	|-----⌫--|---⌫-----|
orent emprisla guerre	----|-----|-|-----|
mais entresa uo ir et cui dance	---|----|--⌫--⌫-|-|---⌫----|
sachiez a mout	------||---|
grant differ an ce	----|------⌫--⌫-|
cuidiersa maint home	-------||----|---|
mainthomea leué	----|---|-⌫----|
puisq u e sauoirs fait	-----⌫-⌫|------|---|
fols es t q ui se	---|--⌫|-⌫-|-|
pou uoit on	--|---|-|
u enirahonneur	-⌫---||------|
degentqui tro psoient	-|---|--|---⌫|-----|
grantseigneur p etit	----|-------|-⌫---|
tantaen cui dier fortloien	---||-|---⌫---|---|----|
quenus desloi erne sen puet	--|--|------⌫-|-||-|---|
seil conseilcroire neuuet	-|-|------|-----|-|---|
plu s eurslieu s	---⌫-⌫---|----⌫|
quece es t damage s etdie us	--|-|--⌫|------⌫|-|---⌫-|
sachiez kains ie rt	------||----⌫|-⌫-|
quetou tc incerentre uenu	--|---⌫|-⌫--|----|--⌫---|
etarrierreto rné	-|-----|----⌫---|
moutdolentet mou t tormente ́	---|-----|-|---⌫|--------⌫|
nestmerueillese	|--|--------|-|
dolen ter en t	-----⌫|--⌫--⌫|
car let iers	--|-|-⌫---|
pasneramenerent	--|-|---------|
de ceaus qu	-|----|-|
ilenoren t menez	-|-|----⌫|----|
tant enotenlestourr emez	---|-|-|-||-----|-⌫---|
quantcil quif ur en tes chapé	----|--|--|-⌫--⌫--⌫|--⌫-----|
fur entlaendroitras sa mblé	---⌫--|-|------|---⌫--⌫----|
co nseilprirentqu	--⌫----|------|-|
ils enfu iroient	-||----⌫------|
lip lu sdau saces	-|-⌫--⌫||--⌫||-||
acordoient	---------|
carsil atenden t	--||-|-------⌫|
len demain	|--⌫-----|
il ser onttoutpris alam ain	-|---⌫--|---|---||-|-⌫--|
et honnietdestruitet mort	-|----|-|-------|-|---|
au fuir ontprisleur acort	-|---|--|---|---|----|
cardeffe nse	--|-----⌫--|
iua urroit	|--⌫-----|
roisi son t	--|||---⌫|
tout ont guerp i	---|--|-----⌫|
tenteset t res	-----|-|-⌫--|
ch ascunsdausses tdela	--⌫-----||--||--⌫|-|-|
endema in t antredoutoient	------⌫-|-⌫--|----------|
quelapl us de m orer n oso ient	--|-|--⌫-|--⌫-⌫---||---⌫---|
sachiezque m out pou ate nd irent	------|--|-⌫--|--|---⌫--⌫----|
l un l autre	|-||----|
q uant delapartirent	-⌫---|-|-|--------|
tous c eausqui nenporent aler	---|-⌫---|--||-|-----|---|
couu intlaendroitdemorer	----⌫--|-|------|------|
et e ncore de mainferoit	-|-⌫----|--⌫---|-----|
laoutel besoigne	-|-|--|-------|
grant chose aenfair e lestue t	----|----||-|----⌫||-----⌫|
bien sauezqu i nepuetne puet	---|----|--⌫|-|---|-|---|
chascuns desrois tantesploita	-------|--|---|---|-------|
que d el aen droi t eschapa	--|-⌫|-⌫|--⌫----⌫|------|
que u ousdi roie ieloncc onte	--|-⌫--|--⌫---|-|---|-⌫---|
fust a honneuro ufustahont e	---||------|-⌫|---||----⌫|
ne co nmentqu	-|--⌫------|
il fust xx x	-|---|--⌫|
en leu rpa ys	-|---⌫|--⌫-|
sont reuenu	---|-----|
dele urmeschiefs ontconfo rté	-|--⌫-|-------|-⌫--|-----⌫---|
q ueilsontescha pé	-⌫-|-|---|-----⌫--|
carbien seuenttouten apert	--|---|-----|---|-|----|
cil q u ipert lauie toutpert	--|-⌫-⌫|---|-|--|---|---|
troplon cparlemen t uous	---|---⌫|--------⌫|---|
chas c unuous	----⌫-⌫-|---|
conmentalane conm en t uint	------|--|-|----⌫--⌫|---|
asonraler liauint	|--|----|-|----|
chascunsne fistpas cequi luot	-------|-|---|--|-|-|-⌫|--|
ainsf istc hascunsa u	---|-⌫--|-⌫------|-⌫|
mi eu s qu ilpot	--⌫--⌫|-|-|--|
l ab a taille que ie uousdi	-⌫|-⌫-⌫-----|--|-|---|-|
chascun scele n uit trespassa	-------⌫|---|-⌫--|--------|
siconmeli tanslaporta	-|----|-|---||-----|
en lostmarcadigas d i soient	-||--|---------|-⌫-⌫-----|
q ueparc leomades au oient	-⌫-|--|-⌫-------|--⌫----|
sauué trestoutenti erement	-----|-------|----⌫------|
ui e et honnou ret	--⌫|-|------⌫|-|
a merue il lefure gard é s	|-----⌫--⌫-|-|--⌫----⌫--⌫|
lanuit quelestoursfufinés	-|---|--||------|-|-----|
de sat resgr antpoissant u alour	-|-|-⌫--|--⌫--|-------|-⌫----|
sesm eruei lloientl i	|---⌫-----⌫------|-⌫|
sachiezuolentiers le baisast	------|---------|-|------|
sesp eres sefairelosast	--|-⌫---|-|----||----|
cuerlamoit t ant	---||----|-⌫--|
maisn ertpaschose aferissa nt	---||--|--|----|--------⌫-|
n ertmer ue ill e se ill amo it	|--|---⌫--⌫---⌫|-|-||---⌫-|
pour labonteken lui	---|-|----||-|--|
laplaie lero i	-|----|-|--⌫|
f u tentee	-⌫|-----|
et apoint remiseetbendee	-||----|-----|-|-----|
liesontde ceque iln	--|---|-|-|--|-||
perille t que tresbiengarra	-----|-⌫|--|---|---|----|
carlimaist reainsi	--|-|-----⌫-|----|
dit leuront	--|---|--|
nestmerueilleselieen	|--|--------|-|--|-|
celenuitf ubele etplaisa n s	---|---|-⌫|---|-|------⌫-⌫|
ca r ilfa isoit sitresdouztans	--⌫|-|--⌫----|-|---|---|---|
qu e se o n leustsouh ai dié	--⌫|-|-⌫||---|----⌫--⌫---|
moutl anuitaidié	---|-⌫|---|-----|
l endemaindroitalaiornee	|-------|----|||------|
furentl eurgent toutearreee	-----|-⌫--|---|----|-----|
p our alerau lieuo u	-⌫--|---|-|---|-⌫|
cuidoi ent	------⌫--|
lesroi s quifuis	--|---⌫|--|---|
se nes toien t	|-⌫|--⌫-----⌫|
ainsi comu ousoy au és	----|--|-⌫--|-|--⌫--|
i tro uu erentforsnaurés	|---⌫--⌫----|---|------|
et gentqui fuirnes	-|---|--|---|-||
de ceausfirent ce queiluorrent	-|----|-----|-|--|-|------|
i apar tint	|----⌫---|
pa ska nqui li auin t	--⌫|--⌫--|-⌫||----⌫|
maintetentemaint	-----|----|----|
p auei llon	-⌫----⌫---|
etm ain t tr e derich e	-|-⌫---⌫|--⌫|-|----⌫|
trouuer ent et moutd autres b iens	-------⌫--|-|---||-----|-⌫---|
carnen auoientporté riens	--||-|------|-----|----|
cilquisenf uioient	--|--||---⌫------|
a l e schaper	||-⌫------|
plusentendoi en t	---|--------⌫--⌫|
departi fu	------|-|
enplu seursmai ns	-|---⌫----|---⌫-|
celeiorn eeligaa ins	---|----⌫-|-|---⌫--|
s achiezquemaintc o ffreeffo ndré	-⌫-----|--|----|-⌫-⌫---|----⌫----|
y o tetmaint sac	|-⌫|-|----|--|
des cire ́	---⌫----⌫|
etm ain t ebougedecoupee	-|-⌫---⌫-⌫|----|-------|
aincois que l efustdesfermee	-------⌫-|-⌫-⌫|---|--------|
entrearge nte t io i aus etor	----|----⌫-|-⌫|--⌫-⌫--|-|-|
