oreoeztuitcomm unement	--|--|---|----⌫------|
pilateblasmaleseri ant	-----|-----|-|----⌫--|
ci lrespontielfisensement	--⌫|------|-||--|-------|
commea pasquefereleur	----||-----|---|---|
contreihesuque	-----|----|--|
leurenfanzmei smes chanterent	---|-----|---⌫---|---------|
osannaetl e	-----|-|-⌫|
salue rent	-----⌫---|
e nebreuosanna dittant	-⌫|----|-----|--|---|
c e stcilquidoi tsauuerlagent	|-⌫-|--|--|---⌫|-----|-|---|
p ourquoidonc	-⌫--|---|---|
menont ilrepris	|-|--|-|-----|
doncfurentconclus lesiuis	---|-----|------|--|---|
quantpil a teceesco uta	----|---⌫-⌫-|-|----⌫--|
ihesuaco n seildemanda	----||--⌫-⌫---|------|
po urquoiteblasment	--⌫-|---|-|-------|
ce ste gent	--⌫--|---|
ontfetet leur enfant	--|--|-|---|-----|
ortesontissianemi	-|-|---|---|----|
et ihesu cristli	-|----|----|-|
lesloe ngesu erais e t granz	--|---⌫---|-⌫----|-⌫|----|
iertdespetiz	---|--|----|
etdesenfanz	-|--|-----|
non pasdesg ranzgenzp osteis	--|--|--|-⌫---|---|-⌫-----|
quineconnois s entpa radi s	--|-|-------⌫-⌫--|--⌫----⌫|
quanti hesusot i siparlé	----|-⌫----|-|-⌫-|-----|
deuant l a	-----|-⌫|
g ent sont retourne ́	-⌫--|---|--------⌫|
lif elondistr ent d eihesu	-|-⌫---|-----⌫--|-⌫|----|
q uedel deable estoit	-⌫-|--|-----|-----|
yypreudomme s la esto ient	-|---------⌫|-|----⌫---|
uerspil a t eletesm oingnoie nt	---|---⌫-⌫-⌫|-|----⌫--------⌫-|
sirefonti lbienco nnoissons	---|---|-⌫|---|--⌫--------|
luiet sa generation	--|-|-|---------|
m arieet t ot	-⌫---|-|-⌫-|
sonparente	--|------|
iosepqueele ot espousé	----|--|--|-|-------|
b ienconnoisson to tsonl ignage	-⌫--|---------|--⌫|--|-⌫-----|
d eloialma riage	-⌫|----|--⌫----|
mestantia uo itdefelons	--|---||-⌫--⌫-|-|-----|
que po uualoi t cele r esons	--|--⌫|-----⌫|---|-⌫----|
elpreto ire	-|-----⌫--|
oupi l ateesto it	-|--⌫-⌫--|----⌫-|
si gness us pe rche si auo it	--⌫---|-⌫-|--⌫----⌫||---⌫-|
q ui furent des dieuxas paie ns	-⌫-|-----|--|----|-|----⌫-|
lacreanceausphilistiens	-|------|--|----------|
hommes les ti ndren te tporterent	-----|--|--⌫-----⌫|-⌫|--------|
uersihe suslisigne s	---|---⌫--|-|-----⌫|
parmitot ceque lesten oi e nt	----|--|-|--|--|---⌫--⌫-⌫-|
yy homme s qua nque i lpouoien t	-|-----⌫|---⌫---|-⌫|-------⌫|
a pilatefu ceconté	|-----|-|-|-----|
de cessig nes	-|--|---⌫--|
l eshommesablasm ezade s	-⌫-|-----||-----⌫-|---⌫|
il die ntn ousnenpouonsmes	-|---⌫-|-⌫--||-|-----|--|
s ac hie zsire nous les	-⌫--⌫---⌫|---|---|--|
ausm ieuxquetenir	--|-⌫---|--|----|
pilateces hom mes	-----|--|---⌫--|
l essignesaplusforzbailla	-⌫-|-----||---|---|-----|
ayy quilen	|-|-|-|-|
f istuenir	-⌫--|----|
tozdroizleurcomm andate nir	--|----|---|----⌫---|--⌫--|
tot ad e s	--|--⌫-⌫|
uersihesuclinoi e n t	---|----|------⌫-⌫-⌫|
ceus quiles tenoien t	---|--|--|-------⌫|
ceestoit biende mostreme nt	-|-----|---|--⌫--------⌫-|
estoitdieuuer aiement	-----|---|---⌫------|
meslifelon qui tot ce	--|-|----|--|--|-|
uersd ie u	---|-⌫--⌫|
pointnes en	----|-||-|
c o nuer tirent	-⌫-⌫----⌫-----|
ainz disoie ntl i souduiant	---|------⌫-|-⌫|--------|
quetotest oitenchantement	--|--|---⌫--|-----------|
set len f ere	--|--|-⌫--|
bi enqu ilne tor nent acontrere	--⌫-|-|-|-|---⌫---||-------|
u npoudeihesucris t lero ns	-⌫|--|-|----|----⌫|----⌫-|
etdeiud asuous conterons	-|-|---⌫-|---|--------|
quelp art alaetouuert i	---|-⌫--|--|-|-|----⌫|
q uant deiesucr ist departi	-⌫---|-|---|--⌫--|------|
eluergierou	-|------|-|
quantihesus	----|-----|
que liapostre	--|-|------|
senf oire nt	|---⌫----⌫-|
leusse depar tirent	---|-|-----⌫-----|
oez deiudas qu	--|-|----|-|
oualaetquel	-|--|-|---|
chies samerees taleztotdroit	----|-|---|--⌫|---|--|----|
alos tel ou elleman oit	||--⌫--|-|---|---⌫--|
laiensfeso itonlemen gier	-----|----⌫-|-|-|---⌫---|
chaponsrostir ettornoier	------|-----|-|-------|
iudasaasameredit	----|||-|---|--|
commeilauendu ihe sucri st	----|-||----|---⌫-|---⌫-|
cele respont filz tuas t ort	---|------|---|-|-|-⌫--|
ildoitresusciter de	-|---|---------|-|
nostresire	-----|---|
atoi m eismesloidir e	|--|-⌫-----||-|---⌫|
distiudas l essieztelsermo n	---|----|-⌫-----|--|-----⌫|
ueezuous rosti r cel	---|---|-----⌫|--|
nep lusqu eiames chantera	-|-⌫--|--⌫|----|-------|
ihesusn eresu s cite ra	-----|-⌫|----⌫-⌫----⌫-|
oezgrant mi racle dedieu	--|----|--⌫----|-|---|
licosquirostissoita u	-|--|--|---------|-⌫|
e starrie reui sd eu enu	-⌫-|-----⌫-|--⌫|-⌫--⌫--|
d elabrochesen	-⌫|-|-----||-|
enmilamesonuetchantant	---|-|----|--|-------|
lorsfu iudasformentdolent	---|-|----|------|-----|
plusatendre	---|------|
aus iuisuet leurd e ni ersrendre	--|---|--|---|-⌫-⌫--⌫--|-----|
decesentintpo urdec eu	-|-||-|---|--⌫-|---⌫-|
cristau oit uendu	----|--⌫--|----|
o ruoitiudasqu ile stdamp nez	-⌫|---|----|-|-|-⌫-|----⌫--|
etses sir esesta	-|--|---⌫-|--||
mort liurez	---|-----|
etparsa tr aison	-|--|-|--⌫----|
engui sede felon	-|---⌫-|-|----|
illeur aditseigneurstenez	-|---||--|--------|----|
tozuosdeniersqueciueez	--|--|------|--|-|---|
que tropai	--|---|-|
pechiés anzmesur e	------|-⌫--|-----⌫|
ia d ieusnau ra	-|-⌫---||--⌫-|
l ai uendu	|-|----|
etdeltoutl aidesconneu	-|--|---||-|--------|
quanttrail aisanzacheson	----|---||-|---|------|
bi ens a i que n aure	--⌫-|-⌫-⌫|--||---|
m e s par don	-⌫-⌫|---⌫--|
cilresponnen tkatient anos	--|---------⌫||-----||--|
totli pechi ezen soitseur uous	--|-|-----⌫-|-|---|---|---|
quant lot iudassigiete	----||-|----|-|----|
tozlesdeniers	--|--|------|
de sp e rezc	--⌫--⌫-⌫--||
ests isestpenduz	--|-⌫||--|-----|
desasaintu reaun	-|-|------⌫-||-|
s oci stsi estdampnez	|---⌫-|-|--|------|
etpour cequilfudesp e rez	-|---|-|-|-|-|----⌫-⌫--|
que sil seuousist r e pentir	--||-|-|------|-⌫-⌫-----|
pechie bienregehir	-----|---|------|
mercicriersoncreator	----|----|--|------|
ilneu stpasde l	-||--⌫-|--|--⌫|
ainz eustmerc iet	---|---|----⌫|-|
comnousauronscenousuoulon	--|---|-----|-|---|-----|
liiuis les deniersontpris	-|---|--|------|--|---|
iertc est auoirmis	---|-⌫--|----|--|
iaen cel templ e nelmetron	-|-|--|-----⌫|-||-----|
ce sontdeniers	-|---|------|
detrais o n	-|-----⌫-⌫|
i ae n afer ede mos ti er	-⌫|-⌫|----⌫|-|---⌫--⌫-|
n enira mesun seuldenier	|-|--|--|-|---|-----|
auquan tdient et	------⌫|----|-|
qu enferons	-|-|-----|
un leulahors en a cheton s	-|--|-|---|-|-⌫------⌫|
ou de struit soientlil a rron	-|--⌫-----|-----|-|-⌫-⌫---|
ciltr aitoret cilfelon	--|--⌫----|-|--|----|
etdeceus ienter rer ons	-|-|---||-----⌫---⌫--|
lescors qui	--|---|--|
no usn e connoi ssons	--⌫-|-⌫|------⌫----|
desp elerinsdelaut regent	--|-⌫------|-||---⌫-|---|
q uientren ousmeurent souuent	-⌫-|----|-⌫--|------|------|
sicomme ildientsile font	-|----|-|----|-|-|---|
m ontelc haluai r ea che té ont	-⌫--|---⌫------⌫-⌫|-⌫---⌫--|--|
leu be neurez	--|--⌫-----|
queihesucrist	--|----|----|
i lecsoffri ilpassion	-⌫--|-----|-|------|
non paspourlui	--|--|---|--|
ainsicomuousa uez	----|--|---|-⌫--|
lacusoientsiane mi	|--------|-|---⌫-|
uers pilate	---|-----|
dieussetesoit	----|-|-----|
riensneresponnoit	----|-|---------|
pilateli distdoncnoztu	-----|-|---|---||-|-|
comcisttacusent de	--|---||------|-|
estceuoi r ou par	--|-|---⌫|-|--|
mal lefont	--|-|---|
ih esusnuleriens n e	--⌫---|---|----|-⌫|
pourceleu r fa i tdieu sordeor eille	---|-|---⌫|--⌫-⌫|---|----|--⌫----|
quepil at eenaitgrantmerueille	--|---⌫--⌫|-|--|----|--------|
fet il a pertement	--|-|-⌫--------|
iamar lorront	-|--||-----|
cele autregent	---|----|---|
sei esdieu	-|-⌫-|---|
delaiuierie	-|-|------|
sach ieznel dipar	----⌫--|-||-|--|
gelsuit uledizcest	-||--|-⌫|-|--||--|
pil ate s e st uerseus tornez	---⌫--||-⌫-|---|--|-----|
se i gneurs celeu ra ditpilates	--⌫-⌫-----|-|---⌫||--|------|
e ncest homme quem amenast es	-⌫|---|----|--||-------⌫-|
demaln itruis n ule	-|--|||----|-⌫--|
ilnemerespon t	-|-|-|------⌫|
s ebienno n	-⌫|---|--⌫|
siref ontil	---|-⌫--|-|
par dieuleroi	--|---|-|--|
ilueutdestruir enostrelo i	-|---|--------⌫|-----|--⌫|
yyanz quil nefi na	-|--|-|-|-|--⌫-|
de preeschier	-|---------|
d ela ter re	-⌫|-|---⌫-|
degalil ee	-|-----⌫-|
deci e nla	-|-|-⌫|-|
nostre contree	-----|------|
ga rdezse lme sachieza di re	--⌫---|-||-|------||--⌫-|
cilresp on n e nt oilbeausire	--|----⌫--⌫-⌫-⌫-|--|---|---|
apre sadit mene z	----⌫||--|----⌫|
desquil estdesapo est e	----|-|--|-|-|--⌫---⌫|
s i en face sa uolente	-⌫|-|---|-|------|
aherodesen u ont totdroit	|-----||-|-⌫--|--|----|
q u i pre sdelacite e s toit	-⌫-⌫|---⌫|-|-|---|-⌫-⌫---|
uen uzi es t	---⌫-||--⌫|
nes ai pourquoi	-|-⌫-|---|---|
ama inentliihesumle	---⌫----|-|-----|-|
herod eui t uenir ih e sum	-----⌫|--⌫|----|--⌫-⌫--|
salué la pa rt e lraison	-----|||--⌫|-⌫-⌫|-----|
b i en uie ngnes tu fe t	-⌫-⌫-|---⌫----|-|--⌫|
plusd am isencest pais	---||--⌫-|-|---|---|
et cilbi ena itqui cat enuoi e	-|--|--⌫-|-⌫-|--|-||-----⌫|
pila tequ e	----⌫-|--⌫|
to tl ipardo nmon	--⌫|-⌫|-----⌫|--|
orsachenelhe mesnoi ent	-|----|-||-|--|---⌫--|
moulta grantt ensqueie	----||----|-⌫--|--|-|
paleratoimes	----||--|--|
totu aslesiecleporpenant	--|-⌫-|-|-----|--------|
deluifetesuo strecommant	-|--|----|--⌫---|------|
estil don quesdegalile e	--|-|---⌫---|-|------⌫|
delerodi ane contree	-||-----⌫--|------|
q u e neuen oies deuantmoi	-⌫-⌫|-|---⌫---|-----|--|
ne sai pourcremeuroupour	-|--|---|------|-|---|
ioi dire queparton seigna cle	|-|---|--|--|--|------⌫--|
a lenueu maintemiracle	|--|--|-----|------|
en sont resuscité	-|---|---------|
etliauuglera lu me ́	-|-|-----|--⌫--⌫--⌫|
etmaintautreq ue fe tau ez	-|----|----|-⌫-|--⌫|--⌫-|
don t iaioi palerassez	---⌫||-|-|----|----|
orenfaiun ap ertem ent	-|-|--|-|--⌫-----⌫--|
s iqueluoietoutema gent	-⌫---||---|----|-|---|
feretelpletapre s	---|--|---|----⌫|
qu eturemaindras totem	--⌫|-|---------|--|-|
ihesu nulerienne respont	----|---|---|-|------|
lifeld irene	-|--||--|-|
moultse puetorte n ir	----|-|---|-|--⌫-⌫-|
quant cerequi ertlirois her o des	----|-|-----⌫--|-|---|---⌫-⌫--|
que die um irac lelifeist	--|---⌫|-⌫----⌫-|-|----|
p ourriens que direli pouist	-⌫--|----|--|---|-|-----|
dieus se pouistbiendeliurer	----|-|-----|---|-------|
desmausiuiseteschaper	--|---|---|-|-------|
seiluous i st mes ne uouloit	-|-|----⌫-⌫-|--|-|------|
desauolen tetotso sfroit	-|-|-----⌫-|--|--⌫-----|
q uanquezentreus tozlifeso i ent	-⌫------|---|--|--|-|----⌫-⌫--|
demalet quanqu illi disoie n t	-|--|-|-----|-|-|------⌫-⌫|
moultlaloient areisonnent	----||------|----------|
pa role au	--⌫---|-|
pouou grant	--|-|----|
enseigne li ou mal ou bien	-------|-|-|--|-|---|
ihesus n erespontnu l erien	-----|-⌫|------|--⌫-⌫|---|
cilquilauoientamené	--|--||------|-----|
ere ntiuistuit forse n é	---⌫-|---|---|-----⌫-⌫-|
auroiherodel acusoie nt	-|--|-----||-------⌫-|
et empiroientet blasmoien t	-|---------|-|---------⌫|
quantherode uitde ihesu	----|-----|--|-|----|
ne li arespondu	-|-||-------|
pourluine ueutrien	---|--|-|---|---|
fontil estde ma lere	---|-|--|-|--⌫|--|
mou lt le despitsifontla gent	---⌫-|-|-----|-|---|-|---|
ue stulontdun	--⌫--||--||-|
blan cuestement	----⌫|--------|
puisl ontg abé	---||--|-⌫---|
e tescharni	-⌫|-------|
gent ete sc opi	---|-|-⌫--⌫--|
coloie ́l ontetdebat u	------⌫||--|-|-----⌫|
mou ltparest dieudegrantuertu	---⌫-|--|--|---|-|----|----|
a presquan tl ontassezgabé	-⌫---|----⌫||--|----|----|
etescopi etdebouté	-|-----|-|-------|
li roisa dito rleprenez	-|---||--|-⌫|-|-----|
apilate leremenez	|-----|-|------|
si lid itesque	-|-|-⌫---|--|
quile nf ace	-|-|-⌫|-⌫--|
totson commant	--|--|------|
ontremené	--|------|
si com l irois lotcom mand é	-|--|-⌫|---||-|---⌫----⌫-|
or sontli du ifelon am i	-|---|-|--⌫|----|--⌫|
quideuanterent anemi	--|-----|----|----|
orfet pilatedeuantsoi	-|--|-----|-----|--|
lesmestres princes delaloi	--|------|------|-|-|--|
uenirseign eursf et iloez	----|-----⌫---|-⌫-|-|--|
ac esthom mequedemandez	|-⌫--|---⌫-|--|-------|
uousdi tesuostregentdesuoie	---|--⌫--|-----|---|------|
bien gartchascu n	---|---|------⌫|
quilnem escroie	-|-|-|-⌫------|
uous le te n ez moult pourf elon	---|-|--⌫-⌫-|----|---|-⌫---|
mesieni tru iscebien non	--|-|||---⌫-|-|---|--|
nehe rod e nitreu uemie	-|--⌫---⌫|||----⌫-|--|
par quoid o ieperdre lauie	--|---|-⌫-⌫-|-----|-|--|
ie l uou s	-||---⌫|
re ndraise	--⌫----|-|
uo us uoulez	--⌫-|-----|
pa sdroizquilsoittuez	--⌫|----|-|-|---|---|
mesba tuzsoitet ledengi e z	--|--⌫--|---|-|-------⌫-⌫|
gartquentre nousnait	---|-|----|---||--|
messes piez	--|--|---|
ilertcos tume	-|--|---⌫---|
quala pasque sicom	-||-|-----|-|--|
q uant prenoien thomes felon s	-⌫---|--------⌫|----|-----⌫|
ouomecides oularrons	-|-------|-|------|
un leureniertcel	-|---|-|---|--|
fustcon t retenu	---|---⌫-⌫-----|
qu elqu ilalass en tdemandant	--⌫-|-|-|-----⌫--⌫|--------|
mesbienestoitbatuzauan t	--|---|-----|----|----⌫|
etpuistotqui te s	-|---|--|---⌫--⌫|
mes ausiuisneient n eplo t	--|--|---|-----|-⌫|---⌫|
qu erenduleur	--⌫|----|---|
fustihesucr iz	---|----|--⌫-|
lifilzauroi	-|---|-|--|
a inzs e scrieren ttuit aglais	-⌫--||-⌫--------⌫|---||----|
que ren du	--|---⌫-|
l eu rsoitbarrabas	-⌫--⌫|---|-------|
berrabasertun some cides	-------|--|--⌫|---⌫----|
uns forz lerresunsforz	--|---|-----|--|---|
emprisonert	-|-----|--|
parunforfet	--|-|-----|
d unome cidequauoitfet	|-|---⌫---|-|----|--|
o rpa ll onsunpoudeldeable	-⌫|--⌫--⌫--|-|--|--|-----|
quelen ape leconnestable	--|--|---⌫-|----------|
de linfern asperdicion	-||------⌫-|--------|
ouhomn aurasedoleur	-|--||---|-|-----|
c iertbeizebusli	|---|-------|-|
mes tresire	---⌫--|---|
iasanz duel etsanz ire	-|---|---|-|---|--|
ilfupl uscler sque u neesto ile	-|-|--⌫-|----⌫|--|-⌫-|----⌫--|
orala fac et rouble et	-||-|---⌫|-⌫-----|-|
onquesplusbell ecr eatur e	-----|---|----⌫|--⌫-----⌫|
cenousracontelescreture	-|---|------||--------|
nefucriee q ueil	-|-|----|-⌫-|-|
oratoutp arorgueil	-||---|-⌫-|------|
qua n ten contred ieu uout resgner	---⌫-⌫|--⌫-----|-⌫--|---|------|
ille fistaua ltre buchier	-|-|---|---⌫|---⌫------|
enz en labismeel	--|-||-----|-|
plus perfo nt	---|-----⌫-|
lamale gent ir ont	-|---|---|--⌫--|
icelenuit quedi eu	----|---|--|--⌫-|
porpen seetdit	------⌫-|-|--|
queape rceuoir nepo u oit	--|---⌫------|-|--⌫-⌫--|
seihesudi eude lciel	-|----|--⌫-|--⌫|---|
seilest dieu	-|-|--|---|
etil partui e	-|-|---|--⌫|
t outeaiperd umabaillie	-⌫---|-|----⌫|-|------|
ilbri seraenferli sire	-|---⌫---|----|-|---|
qui li osera	--|-|----|
con tredire	---⌫------|
cil recoitmort cea iie fet	|-|-----|---|-|-⌫|-|--|
ieai totporchaciécelplet	-|-|--|---------|--|---|
cireporchacerai	-|------------|
mor tledeliuerr ai	---⌫|-|--------⌫-|
alaf amepilateuint	|-|-⌫--|-----|---|
deuant son	-----|--|
lit totdroit se tint	--|--|----|-|---|
c eleiute n	-⌫--|--|-⌫|
n estmerueille	|--|--------|
sotpao r g rant	|-|---⌫|-⌫---|
gar def etil	---⌫-|-⌫-|-|
nesoitocis	-|---|---|
ihesuq ueliiuiso ntpris	----|-⌫-|-|---|-⌫-|---|
sil recoitmort m ar fustes	|-|-----|---|-⌫-|-----|
uo usenseroiz tuita folé	--⌫-|-|-----|---|-⌫----|
a tonse igneurd i	|--|--⌫-----|-⌫|
quilg ar t b ien	-|-|-⌫--⌫|-⌫--|
neso itoc is	-|--⌫-|--⌫-|
pour nule ri en	---|---|--⌫-|
onques b eizebusnefin a	-----|-⌫------|-|---⌫|
tresqu au demain quila ior na	-----|-|-----|-|-|-⌫---⌫-|
m es quant ladamese speri	-⌫-|----|-|---||-⌫----|
pou rl auisiontoutefr em i	---⌫||------|----|--⌫--⌫|
s itost commeelsot queihes us	-⌫|---|----|-|--|--|----⌫-|
qui ro isde lciel estoi tlassuz	--|--⌫-|--⌫|---|-----⌫|-----|
deuan tpilatesfume nez	-----⌫|------|-|--⌫--|
sescouragesfu m o u lttroublez	--|-------|-|-⌫-⌫-⌫-|-------|
en u oiéliaunmesa ge	--⌫-⌫---|-||-|----⌫-|
gardefetele d e tel	----|--|--|-⌫|--|
que li saint h om nesoitoccis	--|-|----|-⌫-|-|---|----|
queilme st oitanuit	--|-||-⌫--⌫--|----|
s e porchacesqu	-⌫|--------|-|
ilperdeu ie	-|----|-⌫-|
seurtoitourneralafolie	---|--|-------|-|----|
mo ult aiennuitpou rlu i souffert	--⌫--|-|-----|---⌫|--⌫|-------|
granzmenaces	----|------|
ain z pu is l eurequeiefui	---⌫|--⌫-||---|--|-|--|
ne fuiie tantespouuentee	-|--|-|---|----------|
quantpilate	----|-----|
trestoutlesanclen esfoi	-------|-|---||-|----|
quepar enuieestoit	--|--|----|-----|
ihesustraique il tenoit	-----|---|--|-|-----|
lors apelleau siuis faus	---|-----|--⌫|---|---|
seigneursf etilditesqueusmaus	--------|-⌫-|-|----|----|---|
a fetcilhomquenous tenons	|--|--|--|--|---|-----|
ai ncoi squeius t iceen facions	--⌫----⌫---|---⌫-⌫--|-|------|
sir er efetla	---⌫|-⌫---|-|
com paingnie	---⌫-------|
sachiezquilestde male uie	------|-|-|--|-|---|--|
moul tp ar	----⌫|-⌫-|
atrai sonensoi	|----⌫--|-|--|
et si ne nou ssambl e pas roi	-|-|-|---⌫|-----⌫|--|--|
orgueil amoult etfelonnie	------||----|-|-------|
nou sne t enmentirions	---⌫|-||-|---------|
pilate leurarespon du	-----|---||------⌫-|
uo smeismepre nezihes u	--⌫|-----|---⌫--|----⌫|
se loncuos treloi	--⌫---|---⌫--|--|
doingtresto zcongie z	----|------⌫|------⌫|
sirefont il il	---|---|-|-|
nel oitmie	-|-⌫--|--|
an u ldenousquehommeoccie	|-⌫-⌫|-|---|--|----|----|
pi l atesreuint	--⌫-⌫---|-----|
dem and el idon crois	---⌫---⌫|-⌫|---⌫|---|
ihesu s respo ntest	-----⌫|-----⌫-|--|
que liiuis ontdit	--|-|---|--|--|
quetume qui erzse iesu ir oi s	--|-|-|---⌫--|-|-|--⌫|-⌫--⌫|
iene suipasdeuostre lois	-|-|--|--|-|-----|---|
respontpilateapres	------|-----|----|
mesmonuuei lfuss estu emp es	--|--|----⌫|----⌫-|-|-|-⌫-|
me stagent tontliuré a moi	--⌫|-|---||--|-----||--|
tuf etcontr e laloi	-|-⌫-|-----⌫|-|--|
ihesus lisires l i	-----|-|----|-⌫|
mesrei g n es n estpas	--|---⌫-⌫-⌫-||--|--|
ce decestmontm es reignef ust	-|-|---|---|-⌫-|-----|-⌫--|
mes peuple squanqueilpeust	--|------⌫|------|-|----|
medeffendistne	-|---------|-|
decesiuis en	-|--|---|-|
leurbai llie	---|---⌫---|
mes mes regnesnest pasicit	--|--|-----||--|--|---|
eistu doncroi pi late di t	--|-|---|--|--⌫---|--⌫|
ie l suisouuentle di z asez	-||--|------|-|--⌫|---|
e incois fuiequ efussi ez	-⌫-----|-|-|--⌫|-----⌫-|
de ueritep ortteste moinne	-|-----|-⌫--|-----⌫-----|
les pourm ortnepour essoin e	--|---|-⌫--|-|---|------⌫|
tuit cilqui	---|--|--|
son tdeuerite	---⌫|-|-----|
oi ent ma uoizde	--⌫--|-|---|-|
ihesus parloit	-----|------|
q uil en qu eroit	-⌫-||--⌫--⌫----|
o ntlim estres	-⌫-|-|-⌫-----|
iuisp arl é	---|-⌫---⌫-|
a leurseriantetcommandé	|---|------|-|--------|
berra bamque	-----⌫--|--|
fust amenez	---|-----|
et ih e s us so itamortli urez	-|--⌫-⌫-⌫-|--⌫-||---|--⌫---|
pil ate leurditabandon	---⌫--|---|--||-----|
q uemedite suous de	-⌫-|-|----⌫|---|-|
uoulez uousqu e ie l le saler	-----|---|--⌫|-||--⌫|---|
ilcommencenttuitacr i er	-|---------|---||--⌫-⌫-|
nenilsir epou rnulerien	----|---⌫|---⌫|---|---|
cesac hiezuousde fi tres b ie n	-|---⌫---|---|-|-|---|-⌫--⌫|
uousnou s uouleztozafoler	---|---⌫|-----|--|-----|
barrabamfetes	-------|----|
desfauxprophetes nousuengiez	--|---|--------|---|------|
etsi soit tos tcrucefiez	-|-|---|---⌫|--------|
p ilatedistquelma l	-⌫----|---|---|--⌫|
lessiezfontileste r uo p let	------|---|-|----⌫|-|-⌫--|
tantamalfet	---||--|--|
pu etp lusfere	--⌫-|-⌫--|---|
iusticegrant en estuet fere	------|----|-|-----|---|
pilate suoit riens ne liuaut	------⌫|---|----|-|-|---|
do ncque ssescri eplusenhaust	--⌫-----⌫||-----⌫|---|-|----|
l eued emandep o urlauer	|--|-⌫-----|-⌫-⌫-|----|
issisencuidedeliur er	---||-|----|------⌫-|
sesme inzleu edeuan ttrestoz	--|--⌫--|---⌫|-----⌫|------|
apres a ditce ueezuous	----||--|-|---|---|
c i lmedeliur edesa mo r t	-⌫-⌫|-|------⌫|-|-|--⌫-⌫|
et quedeso nsancn	-|--|-|--⌫|---||
dec elius tehommequ a i	-|-⌫-|---⌫-|----|-|-⌫|
a cel mot s e	|--|--|-⌫|
sontes crié	---|--⌫----|
lisansetli	-|---|-|-|
pe chiezpardro i t	--⌫----|--|---⌫-⌫|
su snouset	--⌫|---|-|
susnozenfanz so it	--|--|-----|--⌫-|
nu spech ieznestde l uiparfoi	--⌫|----⌫--||--|-|-⌫-|--|--|
queilest con tre	--|-|--|---⌫--|
nostre l oi	-----|-⌫-|
pilat eueutau	-----⌫|---|-|
p euple plere	-⌫----|----|
requiertcomma nde	-------|-----⌫--|
l emallarronadeliuré	-⌫|--|-----||-------|
leuraco mm andé	---||--⌫--⌫----|
adebout er et	|------⌫-|-|
laidengier	---------|
et auilm e ntcruc efi er	-||----⌫-⌫-|----⌫---⌫-|
le contr edien t mie	-|-----⌫-----⌫|--|
q ue plain ieren tdefelon nie	-⌫-|----|-----⌫|-|-----⌫--|
lidanpilate cheualier	-|--|-----|--------|
quidie unauoientgueres	--|---⌫||------|-----|
enun eplace le menerent	-|--⌫|----|-|-------|
et liiui s siassem bleren t	-|-|---⌫|||-----⌫------⌫|
celeputegentmescr ea nt	---|---|---|-----⌫--⌫-|
les mainslilientpardeuan t	--|----|-|----|--|-----⌫|
a corr oiesensont	|----⌫---|-|---|
enunba ston bienenclo ees	-|-|--⌫---|---|-----⌫--|
lagl orieusechar ihesu	-|--⌫------|---|----|
debatoient pargrantuertu	---------|--|----|----|
moultleferoi entaspre men t	----|-|-----⌫--|-----⌫---⌫|
ie c uit f ontilquiln e	-|-⌫--|-⌫--|-|-|-|-⌫|
n ouscrie merci	-⌫--|---|----|
nei lnegetebret n icri	-|-⌫|-|---|---|-⌫|--|
quantsacharliont tantbatue	----|-|---|-|--|---|----|
uneporpre liont uestue	--|-----|-|--|-----|
ensadestre	-|-|-----|
lifo ntteni r	-|--⌫-|----⌫|
u n uert reinsel pourescharnir	-⌫|---|------|---|--------|
u necoron ne	-⌫-|-----⌫-|
l iont fette	-⌫|--|----|
nefud orne	-|-||-|-|
d arge ntpo urtraite	|----⌫-|--⌫-------|
plusi er taspr e quenulehere	---|-⌫--⌫|----⌫|--|---|---|
onnemist p a syy anz	-|-|---|-⌫-⌫|-|--|
espinesfutornee	------|-|-----|
e spres sement iertbroconnee	-⌫-----⌫-----|---|--------|
d eroissiauspoignanz et	-⌫|--------|-------|-|
pourmal fere	---|--|---|
s on ttuitagu	-⌫--⌫|---|--|
el chi efl i	-|---⌫-|-⌫|
mistren tsanz r eles	-------⌫|---|-⌫---|
p ardes eure	-⌫-|---⌫---|
mistrentun	-------|-|
du nma rteld eseurefe roient	|-⌫|--⌫---|-⌫-----|--⌫-----|
ensonbeauuis li embatoi en t	-|--|---|--|-|-------⌫--⌫|
des plaiesli	--|-----|-|
fontyy etuint	---|-|-|---|
l isansquipar chascuneu int	-⌫|---|--|--|-------|-⌫--|
a ual sencourt	-⌫--||-|----|
parm ila face	----⌫|-|---|
tu it cils	--⌫-|--||
en rient d e laplace	-|----|-⌫|-|----|
tresd euant	---|-⌫----|
lui s agenoilloient	--||------------|
a ungenoil	|-|-----|
lesalu oient	-|----⌫----|
chascunsama in de uant son front	------|-|--⌫-|--⌫---|--|----|
il l esgar doient contremont	-||-----⌫-----|---------|
dieusuoussautfontilsire rois	----|---|---|---|-|---|---|
deuousiert	-|---|---|
tenuela lois	----|-|---|
uousdeuez or eb ien resgner	---|----|--⌫|-⌫--|------|
q ue moultauezuiaire	-⌫-|----|---|-----|
et cils ercles	-|--|-⌫-----|
moultuousauient	----|---|-----|
qui seuruostreteste	--|---|-----|----|
uisli escopoient	--|-|---------|
etd e leurpau mes lefer oient	-|-⌫|---|---⌫--|-|---⌫----|
m oultaregardeurefi ere	-⌫---||---------|--⌫--|
