formCi comence liseconz	---|-|------|-|-----|
ouàceliquin omoit les	-|-|---|--|-⌫----|--|
cheua liersà aleren l ostu endisces	-----⌫----|-|---|-||--|-⌫----|--|
ch osesquil	--⌫---|-|-|
nete no mas t .	-|-|--⌫---⌫||
Siu oloiesque	-|-⌫-----|--|
celeuentefustrap eleepourceq uetu dis oies quepa r	---|----|---|---⌫---|-----|-⌫-|-|---⌫---|--|--⌫|
paor lauoiesfete	---||-----|---|
etlem pereredit que	-||--⌫-----|--|--|
telepoorne stm ie	---|---||-⌫-|-⌫-|
soufisantàrapel er lauente.	--------|-|-----⌫-|-|----||
Li empere resditLapeorqu eaucun	-|------⌫--|--|-|---|--⌫|----|
al legueàr apelercequiestfet secouient à	--⌫----|-|-⌫-----|-|--|--|--|-|------|-|
proue rpar	-----⌫|--|
cruautéde	-------|-|
fetnemiepar par ole	--|-|--|--|---⌫--|
queaucun di e‘ietueraice liou‘	--|----|--⌫||-|-----|--⌫-|-||
c eliou de‘ ge	-⌫--|-|-||-|
feraiceetce .	----|-|-|-||
I e te menaçai	-⌫|-|-------|
que iet acuser oie	--|-||------⌫--|
d omicide o	|------||
dautremesfetout	|----|-----|-||
donaso umepremeisa ucunechose	----|-⌫|-|------|-⌫----|----|
pa r celep aor.	--⌫|---|-⌫--||
Siuouloies rapelercequi	-|-------|------|-|--|
estoi tfet .	-----⌫|--||
Di tliempererequeta priereseur cen	--⌫|-|-------|--|-|-----|---|-||
estm ieb one	--|-⌫-|-⌫--|
Unbaillif g reuoitun home quie stoiten sa ba illie	-|------|-⌫-----|-|---|--|-⌫----|-|-|--⌫----|
et pourcelepoorcelhomefucon t r e int	-|---|---|---|--|---|-|---⌫-⌫-⌫-⌫--|
àuendreli a ucunechos equ	-|-----|-|-⌫----|----⌫|-|
il n auoi ttalantde uendre	-||----⌫|-----|-|-----|
Ditlemperer equece quiesteinsinc acheté	--||-------⌫|--|-|--|--|------|------|
so itranduetle	--⌫-|----|-|-|
priss oitretenuzde	---|-⌫--|------|-|
a uoit uendue t	-⌫---|----|-⌫|
ces te meimes peine serag a rdeesecelbailliffis tm et re	---⌫-|-----|----|---|-⌫-⌫---|-|--|------|---⌫|-⌫--⌫-|
safemmeoudaucun	-|----|-||----|
suenamicharne lp ourferetieupr ai e .	---|--|------⌫|-⌫--|---|---|--⌫--⌫||
Lie mpe reresditLes	-|-⌫---⌫----|--|--|
u entesetl es	-⌫----|-|-⌫-|
donacions et	--------|-|
lestr an saccions qui sontfetesparpuissance	--|--⌫--⌫-------|--|---|----|--|--------|
etpar forcenosc omandonsquesoientr ape le es.	-|--|----|--|-⌫-------|--|-----|-⌫---⌫--⌫-||
Ciditde ceqenfaitpar	-|--|-|-||-|---|--|
e ngi nqedoit es tr eres tore z.	-⌫---⌫|-|---|--⌫--⌫|---⌫----⌫||
Cialueq uesuien tletitreq ui	-|-----⌫--|----⌫|-|----|-⌫-|
p aroledeu mauués engin.	-⌫----|--|------|----||
Uns huemqui estoit plegepo ur.	--|---|--|-----|----|--⌫-||
au treq uiauoi tengag iez l esgages au	--⌫--|-⌫-|----⌫|-----⌫--|-⌫-|----|-|
creancier u in tsiachetale sga ges deucreancier.	--------|-⌫--⌫|-|-----|--⌫|--⌫--|--|--------||
Cilquil esgages	--|--|-⌫-|----|
estoient uoloit auoirsesgaies.	-------|-----|----|--|----||
Liemperer esdit queci stple gesferaq uesaies se	-|-------⌫-|--|--|--⌫-|---⌫--|---|-⌫-|----|-|
ilrantlesg aieso	-|---|--|-⌫---||
touzlesfruizqu	---|--|----|-|
ilareceu zquetune puissesditliemperer es	-||-----⌫|--|-|-|------|--|-|-------⌫-|
a u pl e ge	-⌫|--⌫-⌫-|
estreblaumezde desloiaut éetquil ne	----|------|-|---------⌫-|-|-|-|-|
tedemandeseschosespar accionde barat	-|------|--|-----|--|-----|-|----|
Ditliempereres queacci onde ngine stostroiee	--|-|--------|--|----⌫-||-⌫---|-⌫-|-------|
lorsseu lement	---|---⌫-----|
quantcelui qu ien ueltuser n	----|----|--⌫|-|---|---||
anulea u t re acci on	|---|-⌫-⌫-⌫-|----⌫-|
eto conoisancedecause	-||---------|-|----|
Tuauoiesest ée ngingniési	-|-----|---⌫-|-⌫--------|-|
auoiesaccion d	-----|-----||
engi n quine	----⌫|--|-|
dureoutre.	---|----||
a nztufusl onguementforspour le comun de t a	-⌫-|-|--|-⌫--------|---|---|-|----|-|-⌫|
a nz estoientpassez .	-⌫-|-------|-----||
Ditli empereresquecenetedoi t	--|-|--------|--|-|-|-|---⌫|
nuirecarletensquetu f us en	----|--|-|---|--|-|-⌫-|-|
se ru i se detonc omunnet e	--⌫--⌫-⌫-|-|--|-⌫---|-|-⌫|
sera conté.	---|-----||
Tuau oiesune ser ue	-|--⌫---|--|---⌫-|
uns huem la p ristàfame.	--|---|-|-⌫---|-|---||
Tudemando iestaserueil	-|-------⌫--|-|----|-|
tepr ioitqu etul a franchissesoula li	-|--⌫---|--⌫|-|-⌫|----------|-|-|-|
lessa ssesfranchir et iltedouroit un autre	-----⌫---|-------|-|-|-|------|-|----|
Tuli cr eantas .	-|-|--⌫-----||
Aprésilnete	-----|-|-|-|
u ouloitatend recequiltauoit	-⌫-----|-----⌫-|-|-|-||----|
euencouant .	-|-|-----||
Dit liemper eresqu e	--|-|-----⌫---|--⌫|
fran chietaserue outula	----⌫---|-|----|-|-|-|
etilla f ranchit une puezrapele rs af ranchise	-|-|-|-⌫-----|-⌫|-|---|------⌫|-⌫|-⌫-------|
mescepo urra s seu lement fere queseil	--|-|--⌫----⌫|---⌫-----|---|--|-|-|
nete fetceq u il o ten	-|-|--|-|-⌫|-|-⌫|-|
anznes on tpassez tupourrasmouoircontre luiac cion	--|-|-⌫--⌫|-----|-|------|-----|-----|--|--⌫---|
t u ne l a franchis	-⌫|-|-⌫|-------|
ne nel a l idonas tula puez	-|-|-⌫|-⌫|----|-|-|---|
re cour er par leiugeàtouzs e sfui z	--⌫----⌫-|--|-|---|-|---|-⌫-⌫|---⌫|
seaucu n nemu etquestiondesonest a t q ui	-|----⌫|-|--⌫-|-------|-|--|---⌫-⌫|-⌫-|
ueillemostrer quele est franchie .	-----|------|-|--|--|-------||
Une p ucelea uoitpereetmere.	--|-⌫----|-⌫---|---|-|---||
Lameremo rut la fillere me stoird e sa	-|---|--⌫--|-|----|--⌫--⌫-|--|-⌫|-|
tint t outesses chos escomeloiaututeu r desa fille	---|-⌫----|--|----⌫-|---|----|-----⌫|-|-|----|
aie sifisttra nsacciono	--|-|---|---⌫-------||
sonpere si	--|---|-|
le quit a de	-|----⌫|-|
c e qu i l auoit	-⌫|-|-⌫|----|
eu deses chose s.	-|-|--|-----⌫||
Ditliempereresqu eseele fistseul ementco uenance	--|-|--------|--⌫|-|--|---|----⌫----|--⌫------|
emp lése el eu eut demandersademandesera	-|-⌫--|-|--⌫|-⌫--|-------|-|------|---|
osteepa r excep c io ndelatransacci on	----|--⌫|-----⌫-⌫--⌫|-|-|---------⌫-|
ac cionceestquelem i st	--⌫---|-|--|-|--|-⌫-⌫-|
toutenaquiliane	---|-|--------|
stipulacione t p uis l aquit a par	----------|-⌫|-⌫--|-⌫|----⌫|--|
acceptilacionelen anule accioncontre sonpere	------------|--|||---|-----|-----|--|---|
Meseleestm o uten g i ngniee pourcequ elequitatoute	--|--|--|-⌫-⌫-|--⌫-⌫-⌫-----|-----|-|--|----|----|
laquere le a ̀ sonpere.	-|-----⌫-|-⌫|--|---||
E lene puetauo iracci o nden gincontres onpere	-⌫-|-|---|---⌫-|----⌫-⌫||--⌫--|-----|-⌫-|---|
po urlareuerancedeu p ere mesaur aacci onenfet	--⌫-|-|--------|--|-⌫--|--|---⌫|----⌫-|-|--|
Se auc unueltprouerqu	-|---⌫-|---|-----|-|
ile stengingnié enaucu nm arch ié pour l	-|-⌫-|---------|-|----⌫|-⌫----⌫--|---||
sonau ersaire ilcou ientqu e leprueuepar	--|--⌫------|-|---⌫---|--⌫|-|-----|--|
manifezag uez.	------|--⌫--||
Tuau oiesunf re requi mourut	-|--⌫---|-|-⌫--⌫-|--|-----|
son eritache tescheï.	--|-------||------||
Tulerefussasquenel e	-|-|-------|--|-|-⌫|
uolsis auoi r et	-----|----⌫|-|
esto ies greindre sde .	----⌫--|--------⌫|-||
Tunasnulpouoir da u oi rlep uis.	-||-|--|-----||-⌫-⌫--⌫|-|-⌫--||
M es p osomquela fametonfrere testoi t	-⌫-|-⌫---|--|-|---|--|----||-----⌫|
sus tituie ceest	---⌫-----|-|--|
frereauoit dit que se tu nefu sses sonoi r	----|----|--|--|-|-|-|--⌫---|--|--⌫|
qu e safemme lefust .	--⌫|-|----|-|---||
engingna quele tefiste ntendre parmençongequel	-------|-|--|-|---|-⌫------|--|--------|--||
eritagedeuoit trop e tpource ler eüsas	------|-----|---|-⌫|---|-|-|-⌫-----|
Tu puez user cont r eli	-|---|---|----⌫-⌫|-|
acc i ond engin.	---⌫-⌫-||----||
Liempere resCostentins	-|------⌫--|---------|
ditNostenonspour bienq ue	--|--|-----|---|---|-⌫-|
l accion dengin dureseulement ius quà.	|-----||----|---|--------|---⌫-|-||
anzcontinuiznon	--|--------|--|
seul ement que souloit	----⌫----|--|------|
estreancianemen t que dedenz	----|----------⌫|--|-----|
anenqu elauoitceliquiu ol oit	-|-|--⌫-|----|---|--|-⌫--⌫--|
use rdeceste accion	---⌫|-|----|-----|
pouoir deporsuiur eson droit.	-----|-|--------⌫|--|----||
E tle tens	-⌫|-|---|
anzcomenceraàcorre de uiorquel enginest	--|--------|-|----|--⌫|--|--||----|--|
fet nemiedecele eure	--|-|--|-|---|---|
soitquilzestengingn ié .	---|-|--|--|-------⌫--||
Don questuitsachentque nus nepourr a comencier cest eaccion	---⌫---|---|------|--|--|-|-----⌫|--------|----⌫|-----|
anzne se lacomenceau antd e.	--|-|-|-|------|--⌫--|-⌫||
sepouraestendreoutre.	-|----|-------|----||
Ci parole des meneur sde.	-|-----|--|------⌫|-||
anzqi sont	--|-|---|
un tit requi	-|---⌫-|--|
p arole de ce s	-⌫----|-|--⌫|
homes qu i	----|--⌫|
sontmeneursd e	---|------|-⌫|
anz comentl eur doitestresecouruquantil	--|-----|-⌫--|---|----|------|----|-|
sontengi n gnié enaucunmarc hiéquilfontoup our	---|----⌫-⌫----|-|----|----⌫---|-|-|---|-|-⌫--|
leur nicetéoupo rleur baratdeleurauersaire et	---|------|-|--⌫|---|----|-|---|--------|-|
lorslei uge doitrap elertoutle march ié arie res	---|-|-⌫--|---|---⌫---|---|-|-----⌫--|----⌫--|
Etceestapele ́res titucion	-|-|--|-----⌫|---⌫-------|
enterinneetceste	--------|-|----|
restituciondoitfe re leiugetouteslesfoi z	----------|---|--⌫-|-|---|-----|--|---⌫|
que lemeneurde.	--|-|-----|-||
anz prouepar deu a ntl iqu	--|----|--|---⌫-⌫-|-⌫|-|
ilestengingniéenquel que chose c esoit.	-|--|---------|-|---|--|----|-⌫|---||
Et fet lei uge ces te restitucion par	-|--|-|-⌫--|---⌫-|----------|--|
son osficeca r es.	--|-----|--⌫|-||
ti t respardeuantfe t leiugerestitucion	--⌫-⌫--|--|-----|--⌫|-|---|----------|
son osfic emespardro itdacci on oupa raccion	--|-----⌫|--|--|---⌫-||----⌫-|-|--⌫|-----|
estfet p arpoor oup araccio n	--|--|-⌫-|---|-|-⌫-|-----⌫|
etdece metceste p rumiere loitelquasI	-|-|-|--|----|-⌫------|--|--|---||
estoiemeneurde	-----|-----|-|
Mo npere sifists ont es t ament	--⌫|---|-|---|-⌫-|-⌫--⌫-⌫----|
simedeserita .	-|-|-------||
Ie auoiequere l econtrecete stamentmonper e	-|----|-----⌫-⌫|-----|-|--⌫------|--|---⌫|
de cequ ilm auo it	-|-|-|-||---⌫-|
de seritécontred roitet	--⌫------|-----|-⌫---|-|
contrepi tié.	-----|--⌫---||
Iere nonçai ce le quereleque disqueie ne	-|--⌫------|--⌫-|------|--|--|--|-|-|
fe roieiamés	--⌫---|-----|
quereleou gemet és	------|-|-|-|-⌫--|
a nzeinsiloi	-⌫-|----||-|
Dit li em p erere sC ees tàesga rder sec el	--|-|--⌫-⌫-----⌫|-⌫|--⌫|-|----⌫---|-|-⌫-|
quiauoi tte lque r elereniee naucune	--|----⌫|--⌫|---⌫-⌫--|----|-⌫|-----|
maniereque iamésni	------|--|-----|||
puetrecour ermes cenepuetau eniren tapersone	---|------⌫-|--|-|-|---|--⌫---|-|-|------|
fetil àmoipour lebeneficequi test	--|-|-|--|---|-|-------|--||--|
deu pourcequetun ies d aage.	--|-----|--|-||--||---||
Ieauo ieun e su erson p ere	-|---⌫-|--⌫|--⌫-|--|-⌫--|
Masuer esto it	-|---|----⌫-|
meneurde .	-----|-||
an zelenedeman dalap osse ssion desbienssonp ere	--⌫|--|-|-----⌫-|-|-⌫----⌫----|--|----|--|-⌫--|
eteinsincpassaun	-|------|----|-|
an dedenzqu	-|-----|-|
eledeuoitauoirdema ndépossesion.	--|-----|----|----⌫---|--------||
Et pourcedisoientque	-|---|-|-------|--|
nepouoitde mander.	-|-----|--⌫-----||
empere requesee leestoncore meneure de	------⌫-|--|-|-⌫-|--|-----|------|-|
a nziasoitce	-⌫-|-|---|-|
q u eleait.	-⌫|--|--||
enf anzele	---⌫--|--|
sera restit ui eà	---|------⌫--⌫|-|
cequelepui s se d e mander la possessio ndes	-|-|--|---⌫-⌫-|-⌫-⌫-----|-|---------⌫|--|
Iestoiemeneur de	|-----|-----|-|
anzmes g regno r	--|--|-⌫-----⌫|
uendi de mescho s es	----|-|--|---⌫-⌫-|
sime tenoie pourengingnié si ledisàl	-|-|-----|---|---------|-|-|--|-||
em pereor etildit	--⌫-----|-|-|--|
quece stmarchié ne	--|--⌫-|-------|-|
doites tre t enuca r lem eneurde.	---|--⌫--|-⌫--|--⌫|-|-⌫----|-||
anzquiacur ateur	--|--||---⌫----|
se nble àceliquiestforsd e	--⌫---|-|---|--|--|---|-⌫|
son se ne t	--|--⌫|-⌫|
lep reuo st ade sfe nduqu il ne	-|-⌫----⌫-||--⌫---⌫--|-|-|-|
touc heàses biens se lia doné curateur	----⌫-|-|--|----|-|-||----|-------|
n a uoiespo intdecura teurfetm eliempereresq uant	|-⌫----|--⌫--|-|----⌫---|--|-⌫|-|--------|-⌫---|
tuuendisteschose slauente ualutpar	-|-----|--|-----⌫|-|----|----|--|
droit mest u	----|--|-⌫|
puez demande rrestituc ionen terin esetu esencore meneur	---|-------⌫|--------⌫--|--⌫-----⌫|-|-|-|-----|-----|
Ieauo ie fet	-|---⌫-|--|
unmarchiéquantiestoie me neur	-|-------|----||-----|--⌫---|
anzsestoieengingnié etrequer oie restitucionenterinne	--||-----|---------|-|------⌫--|----------|--------|
emp ereoret il	---⌫----|-|-|
mer espontSet upuez	-|-⌫-----|-|-⌫|---|
prou erque	----⌫-|--|
tu estoiesm eneurde .	-|------|-⌫----|-||
anz quanttufeis	--|----|-|---|
celmar chié	--|---⌫----|
a uersaire neprueueencontreque totle tensde	-⌫-------|-|-----|-------|--|--|-|---|-|
fer er estitu cionestpa sséleiuge	---⌫|-⌫------⌫---|--|--⌫---|-|---|
ted oi tdoner	-|-⌫--⌫|----|
aidede resti tucionenterinne.	---|-|-----⌫-----|--------||
Lie mpereresditC eusquis ontmeneu rde.	-|-⌫-------|--|-⌫--|--|-⌫--|-----⌫|-||
a nzdoiuent auoir restituci on ente rine	-⌫-|------|----|---------⌫-|----⌫---|
partoutlà où ilpr euent	------|--|--|-|--⌫----|
quil so ntengingni é iasoitc equ	-|-|--⌫-|--------⌫-|-|---|-⌫|-|
soientengigné	-----|-------|
parbaratdeleurauersaire .	--|----|-|---|--------||
Etauantque.	-|----|--||
a nzaientacomp lipueentde mander restituci onenterin ede	-⌫-|----|-----⌫-|-----|--⌫-----|---------⌫-|-------⌫|-|
cequilontfet en	-|-|-|--|--|-|
celaaiedo ntilse	--|---|--⌫-|-|-|
tienent po urengingnié.	------|--⌫-|---------||
Iestoiemen eurde .	|-----|---⌫--|-||
anz sidemandoi erestituc ionenterine d unmar chié	--|-|--------⌫|--------⌫--|-------||-|---⌫----|
Aua ntquele pletfust feniz	---⌫-|--|-|---|---|----|
monauersaire mourut.	--|--------|-----||
Ditl i empereresqueseienérenoncie e la	--|-⌫|--------|--|-|-||-|--------⌫|-|
quer elequelamort mo naue rsa ireneme nuist.	----⌫--|--|-|---|--⌫|---⌫---⌫--|-|-|----||
Ieauoieunoncle quiestoitmontuteur .	-|----|-|----|--|-----|--|-----||
I lnemeuolt fere qu eie	-⌫|-|-|---|---|--⌫|-|
leq uit ass ede cequegeli	-|-⌫---⌫---⌫|-|-|--|-|-|
pouoie deman der	-----|-----⌫--|
si me prouaf aussementqueie estoied aage et	-|-|----|-⌫--------|--|-|-----||---|-|
i el equitai .	-⌫|-⌫|-----||
Il fumortet iemetingpourengingnié	-|-|---|-|-|-|---|---|---------|
Si ledisàl empereoret il	-|-|--|-||-------|-|-|
me r espontqueseie	-|-⌫-----|--|-|-|
suiencorededenzle ten s	--|-----|-----|-|---⌫|
en quelendoitauoirrestitu c i onielapuis	-|---|-|---|----|-------⌫-⌫-⌫-|-|-|---|
dema nder contre seso irscaril n	----⌫---|-----|--|-⌫--|--|-||
est mie senblantqu il	--|--|-------|-|-|
n eseutbie nmon	-⌫|---|---⌫|--|
Li empereresHonoires	-|--------|-------|
dit Ilestcerteinechoseque p armoutesautoritez est	--|-|--|-------|----|--|-⌫-|-----|--------|--|
sec our euas meneurs de	---⌫---⌫-|-|------|-|
anz enceleschosesoù ilsontdeceuz	--|-|----|-----|--|-|---|-----|
ouparno nsachance	-|--|--⌫|-------|
ouparoubli ance .	-|--|-----⌫---||
Li empere res Zendit	-|------⌫--|--|--|
Lemeneurde.	-|-----|-||
anz nesenbleestre	--|-|-----|----|
engingniés e ilusede droitcomunel ceestse	---------|-⌫|-|--|-|----|------|-|--|-|
ilfet ceque fontco munementlesgreindres	-|--|-|--|---|--⌫-------|--|--------|
Ci parol ed elmeneurde	-|-----⌫|-⌫-|-----|-|
enla auoerie suenpe re .	-|-|------|---|--⌫-||
C ist titreparoledecelui quiest	-⌫--|----|-----|-|----|--|--|
meneur de.	-----|-||
anzetes te m	--|-|--⌫|-⌫|
poes téde son p ereet	----⌫--|-|--|-⌫--|-|
letitr epard es ussiditieneraumentdetouzce us	-|----⌫|--|-⌫--⌫-|-|--|----------|-|---|--⌫-|
qui son tmeneu rde	--|---⌫|-----⌫|-|
Liempereresdit Se li fuizquies ten	-|--------|--|-|-|---|--|--⌫|-|
poeste ́deson	------⌫|-|--|
pe re fetp l euin epoura ucun	--⌫-|--|-⌫-⌫----⌫|---|-⌫---|
estrangeil puetdemander restitucion	-------|-|---|-------|----------|
enterine e tse	-------|-⌫|-|
ilfis t pl euine	-|---⌫|--⌫----|
poursonpere	---|--|---|
sonperem orut n otrie ns deso ne r itage	--|---|-⌫---||-|---⌫-|-|--⌫|-⌫-⌫----|
aus i pue t auoirrestitu cion.	---⌫|---⌫|----|-------⌫---||
Tuauoiesun	-|-----|-|
frereil enpruntaa rgent dun userieril	----|-|-------|-⌫----||-|------|-|
estoitmeneur de.	-----|-----|-||
anzdespe n di	--|-----⌫-⌫-|
cel argen ttude mandasà	--|-----⌫|-|--⌫-----|-|
lempereo rcomentil eneschaperoitsan zdoumaie	|-------⌫|-----|-|-|----------|---⌫|------|
etlem pere redi tqueseton frereesto it en	-||--⌫----⌫-|--⌫|--|-|--|----|----⌫-|-|
la p oestésonpe requant i l pristcel a rgent et	-|-⌫-----|--|--⌫-|----|-⌫|----|--|-⌫----|-|
il nelepristmie contrele	-|-|-|----|--|-----|-|
c onseill deusenat	-⌫------|--|----|
maced onianpourlanicetéde l aage ilpuetd emander	-----⌫----|---|-|------|-||---|-|---|-⌫------|
restitucionquilsoitdeliur é	----------|-|-|---|------⌫-|
Ciparoledesplegesausmeneurscoment	-|-----|--|-----|--|------|-----|
ils onttenu	-|-⌫--|---|
Ci uientu nautre titrequipa rol e	-|----|-⌫|----|----|--|--⌫---⌫|
desplegesdesm eneurs.	--|-----|--|-⌫-----||
Decesimet telq uas	-|-|-|--|--|-⌫--|
Tuestoies meneurde.	-|------|-----|-||
a nzuendiésuneteneureq ue	-⌫-|-------|--|------|-⌫-|
trouasenl eritagetonperequit	-----|-||------|--|---|--||
estoit eschete et dona spleges	-----|------|-|----⌫|-----|
degarantise à lacheteeur.	-|--------|-||--------||
Aprésauint que	-----|----|--|
cele teneure futolet eà l	---|------|-|-----⌫|-||
acheteeu r .	--------⌫||
Ilu elt reto rner	-|-⌫--|----⌫---|
àt oi tupourchaça srestit ucionsifus	-|-⌫-|-|----------⌫|------⌫----|-|--|
del iurémes	---⌫----|--|
ditli empereresquecene deli uerrates	--|-|--------|--|-|-|----⌫----|--|
Ilretorrontàt oipar l acciondecomandeme nt	-|--------|-|-⌫-|--||-----|-|---------⌫-|
setuseu r c ea us i	-|-|---⌫|-⌫|-⌫--⌫|
nepour chacesrestit ucion	-|----⌫-----|------⌫----|
Unefemme teuendi	--|----|-|----|
un e teneureetdon ate pleges d egarantise.	--⌫|------|-|---⌫|-|-----|-⌫|--------||
Cel eteneure tefutoluetud emandas	---⌫|------|-|-|----|-|-⌫------|
àlempereor conseillquetudeuoiesfere	-||-------|-------|--|-|------|---|
etilt erespont Se	-|-|-⌫|------|-|
teue ndicelete neurepa rautorité	-|--⌫--|---|--⌫----|--⌫|--------|
deuiugesiquelenanule	--|---|-|-|--|||---|
autrea ideforsdecequele est meneure d e	----|-⌫--|---|-|-|-|--|--|------|-⌫|
miedo ute quelipleges	--|--⌫--|--|-|-----|
soitobli giez	---|----⌫---|
àgar antir toi mes selemarchiéfu	-|---⌫----|--|--|-|-|-------|-|
engin detapartieil est	----|-|-|-----|-|--|
cho sema n ifesteeque lauender resseetl eplege	---⌫-|--⌫-⌫------|--|-|------⌫----|-|-⌫|----|
doiuentestre	------|----|
s anz domage .	-⌫--|-----||
Ciditdesbesoignesqelim eneu rfontpar	-|--|--|--------|-|-|-⌫----⌫|---|--|
leurtut eeurs.	---|---⌫----||
C iuien tunautretitrequi	-⌫|----⌫|-|----|----|--|
paroledece qui do ites tre fetq u ant le	-----|-|-|--|--⌫-|--⌫--|--|-⌫-⌫--|-|
men eurde.	---⌫--|-||
an zfet aucunmarchié parla utorité	--⌫|--|----|-------|--||-⌫-------|
desont uteur	-|--|-⌫----|
oudeson cu rateu r	-|-|--|--⌫-----⌫|
Deusfreres	---|-----|
estoientg reindrede.	-------|-⌫------|-||
m ene urd e.	-⌫---⌫-|-⌫||
a nzsireçurentl eri taie	-⌫-|-|--------||---⌫---|
de leur per e	-|---|---⌫|
etdeleu rmerequant	-|-|---⌫|---|----|
ilfurent mortsi	-|-----|---|-|
se tenoientp or engi n gnié et	-|-------|-⌫-|----⌫-⌫----|-|
uouloie ntless ier cel eritageetle nperere leur	-------⌫-|----⌫--|--|------|-||-⌫------|---|
dit Seuos estesencoremeneur de .	--|-|--|----|-----|-----|-||
pouezpourc hacierrestitucionpour deliurer	----|-----⌫-----|----------|---|-------|
uosdecequeuosestesobli giez	--|-|-|--|--|----|----⌫---|
er i t ageetseur	--⌫-⌫-⌫--|-|---|
ce e nuoiez uoscurateursau	-|-⌫-----|--|--------|-|
Mes seuosauez.	--|-|--|---||
anzacomplizetpassé.	--|-------|-|-----||
anz outrededenzqueuospouezauoirrestituci o nuo spouez	--|----|-----|--|--|----|----|---------⌫-⌫|--⌫|----|
pledi er co ntre uozcurateursquifurent p ou rcequil	-----⌫-|--⌫---|--|--------|--|-----|-⌫--⌫--|-|-|
ne uosgarderent decestdomage selonc	-|--|--------|-|---|-----|-----|
laformededroit.	-|----|-|----||
Li em p er e res A lixandres	-|--⌫-⌫--⌫-⌫--|-⌫--------|
ditLesme neursde .	--|--|--⌫----|-||
anz ontaide d erest itu cionseil	--|--|---|-⌫|----⌫---⌫---|-|-|
sont engingnié	---|---------|
neis en ces mar chiezquilfonte mpre sence	---|-|--|---⌫----|-|-|---|-⌫|---⌫----|
deleurstuteursoudeleurs curateurs.	-|----|------|-|-|----|--------||
Liem pere resDioclici ensdit	-|--⌫----⌫--|--------⌫--|--|
Lesmeneurs	--|------|
anzpueent auoirrestitucion	--|-----|----|----------|
deceune i senc eque	----|--⌫-⌫|-|-⌫|--|
leurs t uteur s ouleurs	----|-⌫-----⌫|-|----|
cura teursont fetpar leur noniasoit ce	----⌫----|--|--|--|---|--|-|---|-|
qu ilpuissent resto re r leur domachese	-|-|-------|-----⌫--⌫|---|------|-|
iluo e lentplediercontreleurst uteursou	-|--⌫-⌫---|------|-----|----|-⌫-----|-|
leu rcurateurs.	---⌫|--------||
Un homepresta	-|---|-----|
argentas cu rateurs	-----|-|--⌫------|
uallezne mie par entencion desuallez	-----|-|--|--|--------|--|-----|
mes descu rateurs	--|--|--⌫------|
Oruol oi tde mandercela rgentasu allez	-|---⌫--⌫|--⌫-----|--|-⌫----|-|-⌫----|
Il orent conseil l a ̀ l	-|----|-------⌫|-⌫||
empereoret il leu rrespon tquil	-------|-|-|---⌫|------⌫|-|-|
n endoiuentrienspai e r	|-|------|----|---⌫-⌫|
Li emperere s	-|--------⌫|
ditI a so it	--|-⌫|--⌫-|
les tuteursoulescurateurs desme neurs	--|------|-|--|--------|--|--⌫----|
anzuendentles choses desmeneursou	--|------|--|-----|--|------|-|
facen tautresmarchiezl esmen e urs	-----⌫|-----|-------|-⌫-|---⌫-⌫--|
pueent estre restituiz deleurch oses	-----|----|--------|-|---|--⌫---|
uoelen t oupledier les tuteursoulescurateursquil	------⌫|-|------|--|------|-|--|--------|-|-|
leurrestorent l eur d omache.	---|--------|-⌫--|-⌫-----||
Ciparole descausesqisontcomune s	-|-----|--|-----|-|---|------⌫|
àpluseur smeneurs.	-|-------⌫|------||
Ciuie ntun	-|---⌫-|-|
autre titrequimost re	----|----|--|----⌫-|
quedoitestrese deus	--|---|----|-|---|
meneur soupluseurs	------⌫|-|-------|
ontunecomunelcau se et	--|--|------|---⌫-|-|
liunspourchacere stitu ci on	-|--|--------|--⌫-----⌫--⌫-|
D uif rere auoient	-⌫-|-⌫---|------|
une suer .	--|---||
Cest esuerpledapo ur une c ho se qui	----⌫|---|----|--⌫-|--|-⌫--⌫-|--|
es toit leurfisttransaccion.	--⌫---|---|---|----------||
Oru oloi entlesfreres	-|-⌫----⌫--|--|-----|
recourerleurchos es.	-------|---|----⌫-||
Si enorent	-|-|----|
com seillàlempereo ret il leurrespont	---⌫----|-||-------⌫|-|-|---|------|
uot resuer	---⌫-|---|
neu os puettolir	-|-⌫-|---|----|
r ien sd euostredroitneisse	-⌫---⌫|-⌫|-----|----|---|-|
ele fustgregneurde.	--|---|-------|-||
anzparsa tr a nsacci onse u o s nelicomandastes ou	--|--|-|--⌫-⌫------⌫-|-|-⌫-⌫|-|-|----------|-|
os troia s tesc e	--⌫-----⌫-⌫--|-⌫|
qu eleauoitfet.	-|--|----|--||
Mes se p u isque uos	--|-|-⌫-⌫-|--|--|
seus tescequeleauoit fet consentis te spuis	----⌫--|-|-|--|----|--|---------⌫--⌫|---|
que u oseust es.	--|-⌫-|----⌫-||
anziaso itc eque lequiestoit	--|-|--⌫-|-⌫|-|-⌫-|--|-----|
m en eurde .	-⌫--⌫--|-||
anzpourchaçast restitucion par s apartie n eque dentson	--|-----------|----------|--|-⌫|-----|-⌫----⌫---|--|
a agen euos pr ofitea ̀cequeuos	-⌫--|-⌫|--|--⌫----|-⌫|-|--|--|
puissiezauoir parteubeneficedeugeneraledit .	-------|----|---|-|-------|--|------|---||
deceluiqiueau t	-|----|-|----⌫|
