entre normendieet bre taigne	----|--------|-|---⌫-----|
fr erediexuo us a resgardé	--⌫--|---|--⌫-||--------|
diext a dupucd	---|||-|--||
infergardé	----|-----|
iamais nen	-|---||-|
s erésentechiés	-⌫----|---------|
diextapar doné	---|||---⌫----|
tes pechies	--|------|
orsoi e sliessitereha ite	-|---⌫-⌫|---|-|-|----⌫--|
carta penitance estfait e	--|-|--------|--|----⌫|
lorseutlic heu alierstelioie	---|--|-|-⌫---⌫-----|--|---|
quei e n ecuitqueiamaisuo ie	--|-⌫|-⌫|---|--|-|---|--⌫-|
fairetelioi eauns eul home	----|--|---⌫||-|-⌫--|---|
e ttous iourspleurec est la	-⌫|---|----|-----||--|-|
lors apelale	---|----|-|
sainthermi te	----|-----⌫-|
et li a sauolent ed ite	-|-||-|------⌫|-⌫--|
peresfait il i esu itous	----|---|-|-⌫|--⌫|---|
p erestumasfait tous	-⌫---|-||-|---|---|
tre s dous	---⌫|---|
pereseie peus ce	---|-|-|----⌫-|
comuole ntiers auoec uou s fuisce	--|----⌫-----|----|---⌫|-----|
iamai suoirnemeremuaisce	-|---⌫|---|-|-|--------|
t ous tansuousseruisc eetamaisce	-⌫--|---|---|-------⌫|-|------|
m aisienepor ra iplusdu rer	-⌫--|-|-|---⌫--⌫|---|--⌫--|
meste ura endurer	|----⌫--|------|
tres douspere por dieumerchi	---|---|---|--|---|-----|
huiaun anque iufu i chi	--||-|-|--|-|--⌫|--|
s imaruoiié s et	-⌫|---------⌫|-|
tresdouspe re queuoussaués	---|---|--⌫-|--|---|-----|
siuouscontaitous mes p ech ies	-|---|-----|---|--|-⌫---⌫--|
par mout gran t	--|---|----⌫|
ireetc ourechiés	--|-|-⌫---------|
sansrepe nta n ce et	---|----⌫---⌫-⌫-|-|
orle suoe ldire	-|--⌫|---⌫|---|
engran tcr emour	-|----⌫|--⌫----|
eta tresgrantcont ric ti on	-||---|----|----⌫---⌫--⌫-|
cousoitpartelcondition	--|---|--|--|--------|
qu ediexqui est uiesansfi n	--⌫|---|--|--|--|---|--⌫|
merecoiuehui aboine fin	-|------|--||----|--|
di st lihermitesbiausdous	--⌫-|-|-------|----|---|
lo é sensoitli tresuraisdiex	--⌫--⌫|-|---|-|---|----|---|
quicest corage tapresté	--|---|-----|||------|
et uoismechi to utapres té	-|---|-|--|--⌫-|-----⌫--|
orlesdi donceti es	-|--|-|---|-||-|
et cilc o m men c e de c uer urai	-|--|-⌫-⌫-⌫---⌫-⌫|-|-⌫--|---|
con qu es de mot n i me sconta	|--⌫--⌫-|-|--|||--⌫-----|
a main sioint estoute n plourant	|----⌫|-----⌫-|---|-⌫|-------|
d ecuertenrementsouspirant	-⌫|---|--------|---------|
a gr antfl osli	|--⌫--|--⌫-|-|
keuren tleslarmes	------⌫|--|-----|
quant li preud omuit quilfu	----|-|-----⌫-|--|-|-|-|
deluiass aurreillass aut	-|--|---⌫----|-||---⌫--|
et si tresgrant auoirlisaut	-|-|---|----|----|-|---|
com tout l ecors	--|---|-⌫|---|
deihesucrist	-|---------|
sa grant bont e bieni descris t	-|----|----⌫|---||-------⌫|
doux fie xuois chita sauuete	---|---⌫|---|--|-|------|
uoischitauieet ta	---|--|-|--|-|-|
tufrereoie dousperes	-|----||-|---|----|
ie croi quechou	-|---|--|---|
estmessalueres	--|--|-------|
etestcilqu itoutsane r	-|--|--|--⌫|---|----⌫|
ha s tés u ousca r mourirm	--⌫-⌫---|-⌫--|--⌫|-----||
etlisains h om s i	-|-|----|-⌫-|||
lecors die utout en t i r lidone	-|---|---⌫|---|--⌫-⌫-⌫|-|---|
etc il q uipo int ne	-|-⌫-|-⌫-|--⌫--|-|
s e de ch ut	-⌫|--⌫--⌫-|
tresgrantfoil erechut	---|----|--|-⌫|-----|
ena mou r etenuer ite	-|-⌫---⌫|-|-|---⌫--|
et en tr es granthumili te	-|-|--⌫-|----|------⌫-|
quanti lfuacume niiés	----|-⌫|-|-----⌫-----|
sifu sipur s etsiniiés	-|-|-|---⌫|-|-|-----|
kiln i remestgoutenelie	|-|||-----|----|-|--|
pech ie nedef olie	----⌫-|-|-|-⌫---|
dontape lale sai n thermite	---|---⌫-|-|---⌫-⌫|------|
s i lia sauolentedite	-⌫|-||-|------|---|
tres dousperes iem enirai	---|---|----|-||-|---|
proiiéspormoiiefiner ai	-------|--|--|-|-----⌫-|
i enepuis ciplus	-⌫|-|---|-|---|
querr emestuetautre	-----⌫||-----|----|
li cuers mefaut	-|----|-|---|
perestresdous	----|---|---|
ien epuis pl us pa rler	-|-⌫|---|--⌫-|--⌫---|
tresdouspereadie uu ous commant	---|---|---||---⌫|-⌫--|------|
maisen la finuous priie tan t	---|-|-|--|---|--|-|---⌫|
queuousm etés	--|---|-⌫----|
uos bra ss ourmi	--|---⌫|-⌫--|-|
s imorraiesbr asm onami	-⌫|-----|-|--⌫-|-⌫-|--|
preudommoutdoucement	------|---|--------|
embrachié etcil s	---------|-|--||
deuantl autelse stestendus	-----||----||-⌫-|-------|
bienestsescu ersa dieurendus	---|--|--|--⌫--||---|-----|
il clotsesie xetre ntsa	-|---|--|--⌫|-|--⌫-|-|
dequanquesonq ues	-|-------|---⌫--|
etsesb a reusgi st sou r	-|--|-⌫-⌫---|--⌫-|---⌫|
fa i tmoutmiexqu epis	--⌫-⌫|---|---|--⌫|--|
en ua utlaiscieroste r	-|--⌫-|-------|----⌫|
et mors etuisl	-|---|-|--||
enueutporter	-|---|-----|
sor s o n cuer gistsa penitance	--|-⌫-⌫|---|---|-|--------|
et unsflueuesderepentance	-|--|------|-|---------|
liasi ruiste copdo uné	-||-|-----|--|--⌫---|
quedi exlia toutpardouné	--|--⌫-|-||---|--------|
tre stouspe chieset toutepain e	---⌫----|--⌫----|-|----|----⌫|
lic orstrauai lle et li	-|-⌫--|------⌫--|-|-|
cue rspaine	---⌫-|----|
illecouui e nte n	-|-|-----⌫-⌫-|-⌫|
deuspartir	---|-----|
etl ame duc orsde partir	-||--|-|-⌫--|--⌫-----|
sis enissi	-||-|---|
toutees curee	----|--⌫----|
sineteet sitresesmeree	-|---|-|-|---|------|
quil ne remes t	-|-|-|-----⌫|
pechie snetache	------⌫|-|----|
sitostkela mese dest ache	-|---|-||-⌫-|-|----⌫---|
eteleen fuissue	-|--|-|-|----|
l isaintan gle lont recheue	-⌫|----|--⌫--||--|------|
quiaucorsestoientue nu	--|-|---|-------|--⌫-|
al ameest moutbienaue n u	||--|--|---|---|---⌫-⌫|
quant lisaintangl e lonthaspee	----|-|----|----⌫||--|-----|
de grantperil estescapee	-|----|----|--|------|
car liane mislaten doit	--|-|---⌫--||----⌫---|
quitresbienauoir	--|---|---|----|
et tousenert	-|---|-|--|
seurset fis	----|-|--|
senua t ous desconfis	|-|-|-⌫--|--------|
ettrestoutce	-|-------|-|
sains ho m	----|--⌫|
d ecief enciefdes i enson	-⌫|---|-|---|---⌫|-|--|
car ilestoitespe rite us	--|-|-----|----⌫----⌫-|
bien uitles anglesas eseus	---|--|--|-----||-⌫-|--|
quil ameemport entauoe caus	--||--|------⌫--|----⌫|--|
li cor s remest nu set des caus	-|---⌫|-----|--⌫|-|---⌫---|
p ourecouureture	-⌫---|---------|
ma isoroiié squeleaue nt ure	--⌫-|-|-----⌫|----|---⌫--⌫--|
auin tason definement	----⌫||--|---------|
quesic heualier	--|-|-⌫-------|
propremen t	---------⌫|
qu ia n tanfurentauoeclui	--⌫|-⌫-⌫--|-----|----|--|
fisttrestant danui	---|---|---||---|
uinrent cel io urpar oris ons	------|--|--⌫-|--|----⌫--|
ensicom droises t etra is ons	---|--|----|--⌫|-|--⌫--⌫--|
c ariou rsertde grantuen redi	-⌫-|---⌫-|--|-|----|---⌫---|
unpoideuantle	-|--|-----|-|
uinre ntl ai e nslipoigneou r	-----⌫-|-⌫--⌫-⌫-|-|--------⌫|
s i onttr ouué mortleu rsignour	-⌫|--|--⌫----|---|---⌫|------|
b ienrecounur ents estature	-⌫--|--------⌫--||-------|
sencorset t oute sa fait ure	--|---|-|-⌫---|-|----⌫--|
e t lebari l coun urent	-⌫|-|----⌫|----⌫----|
lor sirefu n	--|---|-||
endout entrien	-|----⌫--|---|
otsiessillié	-|-|--------|
orfurentmout	-|-----|---|
desconsillié	------------|
pourchequenesorentc omment	---|--|--|-|-----|-⌫-----|
morutu b i enuautre me nt	----||-⌫-⌫-||-----⌫--⌫-|
cascunsdeus m outse desco nforte	------||--|-⌫--|-|-----⌫-----|
maisli preudo m moutles conforte	---|-|------⌫|---|--|-------|
etleura ditlauerite	-|---||--|-|-----|
decief enciefleura conté	-|---|-|---|---||-----|
trestou tensi	-------⌫|---|
comlui aui nt	--|--|---⌫-|
etcommental uis	-|------||-⌫-||
etbi enleurdi stl eureetletans	-|--⌫-|---|--⌫-||---|-|-|---|
q uilfuconfesetrepentans	-⌫|-|-|-----|-|--------|
etcomme ntsame	-|-----⌫-||--|
e np a rmanable uie	-⌫|-⌫-⌫-------|--|
l euita pertement	-⌫|--|-⌫--------|
porterasanglesplainement	-----|-|-----|---------|
l icheuali er grantioieeneure nt	-⌫|-------⌫-|----|---|-|----⌫-|
lecorsmouthauteme nthoneurent	-|---|---|-------⌫-|--------|
m outdouce mentlenseuelir ent	-⌫--|-----⌫---||---------⌫--|
ap reslamessel	--⌫--|-|----||
enfou irent	-----⌫----|
e t q uan torentbutetmangi e ́	-⌫|-⌫---⌫|----|--|-|-----⌫-⌫|
ausai nt hermi teontprisco ngie	-|---⌫-|-----⌫-|--|---|--⌫---|
en leurpais	-|---|---|
sensontr alé	|-|---|-⌫---|
part outontditetreuele ́	----⌫--|--|--|-|------⌫|
d e lo rsignor	-⌫|--⌫|-----|
cequilensoren t	-|-|-|-|-----⌫|
cildelpais grant ioieen o rent	--|--|---|----|---|-|-⌫---|
piteto ut lipluisor	---|--⌫-|-|------|
sengracientno stre signo ur	|-|-------|--⌫---|-----⌫-|
dittoutelasomme	--|----|-|----|
couqu il auint acel	--|-|-|----||--|
sainthom e	----|---⌫|
si c o m lisaintperenousd ient	-|-⌫-⌫|-|----|---|---|-⌫---|
ki ne mescontentne mesdient	-|-|---------|-|-------|
maisau uoir diretoutsac ordent	---|-|---|---|---||--⌫-----|
quantdecestuilesmosr ec o rdent	----|-|-----|--|--|-⌫--⌫-⌫----|
s idien tc ommentiloura	-⌫|----⌫|-⌫-----|-|---|
et co ment diexl erecoura	-|--⌫---|---|-⌫|------|
encorse tdie xe nsioure r	----|--⌫|---⌫|-⌫--|----⌫|
etles pecheou rsrecourer	-|--|-------⌫-|-------|
kiadie u se ueulent retraire	-||---⌫|-|------|-------|
ca rnus nese t tantdema lfa i re	--⌫|--|-|--⌫|---|-|--⌫|--⌫-⌫-|
ma iskad ieuse uoelledoner	--⌫--||-⌫--|-|-----|----|
uoelle pardoner	-----|-------|
nedoitautruidespi re	-|---|-----|-----⌫-|
carn usne s etq uiestli p ire	--|-⌫-|-|-⌫-|-⌫-|--|-|-⌫--|
for sdi exquiles genssetiugier	---⌫|--⌫-|--|--|---|--|-----|
pu etadroiti u gier	--⌫-||----|-⌫-⌫---|
car siiugementsonts outil	--|-|-------|---|-⌫----|
chifautl ico nt e sdu baril	--|---|-⌫|--⌫--⌫-⌫|-|----|
li c heualie rsensifina	-|-⌫-------⌫-|---|---|
orprionsdieukisai ns	-|-----|---|-|---⌫-|
tousbiens enlu i queilnous	---|----|-|--⌫|--|-|---|
enl aglor e	-|-⌫|----⌫|
