O rentendéz	-⌫|--------|
Ia prins iefameaulosde mes	-|----|-|---|-|--|-|--|
Que nasi beleche ua lier se nce stmont	--|||-|---|---⌫--⌫----⌫|-⌫|--⌫-|---|
Seie p reing autre	-|-|-⌫----|----|
moiqu iertildont	--|-|---|-|---|
Or iurrer aien non moncompaingnon	-|------⌫-|-|--|--|----------|
Lapenitan ceenferai iusqu ansom	-|-------⌫-|-|----|----|-|--|
sa uram afame	--⌫--|-⌫|---|
Nostre emperere sfu moul tfiersetn obil es	-----|--------⌫|-|----⌫|----|-|-⌫----⌫-|
Isnelleme nt faituenir le sr eliques	---------⌫-|---|----|--⌫|-⌫------|
Sor unetablelachasce	--|--|----|-|-----|
Inno censi otbieni usqua	----⌫---||-|---|-⌫---||
Ouuoitle contese liconmenceadire	-|---|-|----|-|-|-------||---|
Sire ua ssaxuenézi ur ermafille	---|--⌫---|-----|-⌫--⌫-|-|----|
Et distli cue ns	-|---|-|---⌫-|
uolentiersbiaus	---------|----|
douz s ire	---|-⌫--|
Maisieseraiuenusde	---|-|----|----|-|
Blaiuie sprim es	-------⌫|----⌫-|
D oucompai n gnoncui iaima f oipleuie	-⌫-|------⌫-⌫---|--||-|-|-⌫-|-----|
Par telcouuentque uozmo rr oizi a dire	--|--|------|--|--||-⌫--⌫--|-⌫|---|
Quereuenraidedenz iorquar antisme	--|-------|-----|--|----⌫------|
Lorsferaice	---|----|-|
quiluozplairabiax s ire	-|-|--|-----|---|-⌫--|
E tdistli rois	-⌫|---|-|---|
A insizne diie	-⌫----|-|-|-|
La i ssiéz	--⌫-⌫-----|
A mi uosni rézoresm ie	-⌫-|--||-⌫---|---|-⌫-|
es tpreud ometche uali ers n obile	--⌫|-----⌫-|-|---⌫----⌫--|-⌫----|
Sisera bien	-|---|---|
deuo zla compaingn ie	-|--⌫|-|---------⌫-|
Etdistli cue ns	-|---|-|---⌫-|
Dontiurrai	---|-----|
Puisqueluolézo riurraiuostrefille	---|---|-----|-⌫|-----|-----|----|
Dexetces saintesreliques	--|-|--|------|-------|
Quisorcelpailesont	--|--|--|----|---|
couchiesetmi ses Duien	-------|-|--⌫--||-|-|
donne uieA	----|--||
sonconmantiertes pousseeet prin se	--|------|---|--⌫------|-|----⌫-|
E tdistlirois	-⌫|---|-|---|
Cene uoz d iiemie	-|-|--|-⌫|-|--|
Ainzla panrézfransc heualiersnobile	---|-|------|----|-⌫--------|-----|
Enuisle f aitmais ne l osedesdi re	----|-|-⌫--|---|-||--|-----⌫-|
Belissansloi tla	--------||--⌫|-|
c ortoisemeschi nn e	-⌫------|------⌫--⌫|
E ntr e sses densenconm ensaadir e	-⌫---⌫-⌫|--|---|------⌫---||---⌫|
Dextenpres tle barnaige	--||-|----⌫|-|-------|
Sauéz seignorquexchose	-----|------|---|----|
estde couuent	--|-|------|
Desque l ihom	--|--|-⌫|--|
prent fame loiaument moul t faitquefox	----|---|--------|----⌫|---|--|--|
qu an tilsafoi liment	--⌫--⌫|-|-|--|-|---|
faitsons airement	---|--|-⌫-------|
Deuers le ci eluint unsa ngres uolant	-|---|-|--⌫-|---|--|-⌫----|-----|
Desorlespa ule	----||----⌫--|
AmidemaintenantSassist	--|-|---------||-----|
liang ressachi éz certainn ement	-|---⌫--|-----⌫--|--------⌫----|
Onquesnel u irentneliroisnesage nt	-----|--|-⌫----|-|-|---|-|-|--⌫-|
Enzenl or eille	--|-||--⌫----|
liconseilla forment	-|--------|------|
A m icomte u oinonsaic hant	-⌫-⌫|--|-|-⌫-|-------⌫---|
Tu preïzf ame aul osdetesparan s	-|-----|-⌫--|-|-⌫-|-|--|-----⌫|
Quena plusbelecheu ali ers	--|||---|---|----⌫---⌫--|
ne s er i a ns	-|-⌫--⌫-⌫-⌫-|
H ui iuresau tre	-⌫-|----|--⌫--|
Deue npoiseform ent	--|-⌫|----|----⌫--|
Mou ltgr ansmartyresdeta	---⌫-|--⌫--|-------|-|-|
char tenaten t	---||-|----⌫|
Tuserasladres	-|----|-----|
e tme z iau sausiment	-⌫|--⌫-⌫---⌫|-------|
Nete parront oilnebouchene dent	-|-|------|--|-|-----|-|---|
Ia niaurazaï ded ami ne de	-|||----|---⌫-||--|-|-|
Yzorée td	-----|-⌫||
Amilele ge nt	----|-|--⌫-|
Ien enpui s maisbonne	-||-|---⌫|---|----|
choseuate n	----|-||-⌫|
L amo iecharquant	-⌫|--⌫-|---|----|
tuweulss i	-|----|-⌫|
Etsien faidel touta ton	-|-|-|--|--|---||--|
Belissantbelei urézie	--------|---|-⌫----|-|
Siredist elleorendro itmaintenant	---|---|---|-------⌫-|---------|
Tout a uostre	---||-----|
Charl e sestuta genoillon s	-----⌫||----||---------⌫|
Se ignor distelle	--⌫----|---|---|
franc ch eualierbaron	----|--⌫------|----|
Car deuis e ́zpor m oi cesterai son	--|-----⌫-⌫-|--|-⌫-|----|---⌫--|
uolent iersdammeunscheualiersre spon t	------⌫---|----|--|---------|--⌫----⌫|
uoziurrerézore ndroit a	--|--------|---⌫-----||
Q ueuozpa nréz	-⌫-|--|--⌫----|
Am ilele ba ron	--⌫--|-|--⌫--|
Auloëmentd	-|-------||
co mpaing n on	--⌫------⌫-⌫-|
Ne antr eu lsdouz nemeteréztanson	-|---|--⌫-|---|-|-------|-----|
Sired istelle	---|-⌫--|---|
uo lentie rsl eiurronz	--⌫------⌫-|-⌫|------|
lisaintqui cisont	-|----|--|-|---|
Qu eie panra i	--⌫|-|-----⌫|
Ami l ele baron	---⌫-⌫|-|----|
Au loëmentd	-|-------||
Amisoncompai ngnon	--|--|------⌫----|
Neentre ulsdouzne m ouurai	-|---|-⌫--|---|-|-⌫-----|
Amis fu cheu alierspre udom	---|-|----⌫-----|---⌫---|
Ilenapellela maisnie	-|-|-----|-|------|
Seignordist iladoubézuozbaron	------|---|-|-------|--|----|
Quelempereresm a pres t éz com pai ngnons	--||--------|||----⌫-⌫--|---⌫---⌫-----|
Nostre emperer essifist m oult aloer	-----|-------⌫-|-|---|-⌫---||---|
Ouuoitlecon teprinst len	-|---|-|---⌫-|-----||-|
uassaxdist	-----|---|
ildefo liepar l éz	-|-|--⌫--|---⌫-⌫--|
Neuozmo uurézhuimais dela cité	-|--|--⌫-----|------|-|-|----|
Iusqua demain	----||-----|
queiliertaiorné	--|-|---|------|
Char gerai uozce nt cheualier sarme ́z	----⌫----|--|--⌫-|---------⌫|----⌫-|
S eürp orroizparlepa ïs aler	-⌫---|-⌫-----|--|-|--⌫--|---|
Poidouteroizla	--|--------|-|
Si comuozconmandéz	-|--|--|---------|
Lanuiti iurent	-|---||-----|
desc i alaiorner	----⌫|||------|
Amiss est parmatinleuéz	---||--|--|----|-----|
a pellese s cheual iersm enbréz	-⌫----|--⌫|------⌫---|-⌫------|
Seignor di stilaléz uoz a d oub er	------|--⌫-|-|----|--|-⌫-⌫---⌫-|
Etcil respo ndent	-|--|-----⌫----|
co nmandéz	--⌫-------|
Les selesmistrent esdestrier sseio rn é z	--|----|-------|-|--------⌫|----⌫--⌫--⌫|
anfesles conuoia as séz	----|--|------|--⌫---|
Un e grantlieue pu issenestret ornéz	--⌫|----|----|--⌫-||-|--|---⌫-----|
Amis lig entizetlibers	---|-|-⌫----|-|-|---|
Sienmainne	-|-|-----|
D eu sire cedist	-⌫-|---|-|---|
Ga rnier slisaiges	--⌫-----⌫|-|-----|
Quantnozuenronsalacité	----|--|------||-|----|
Feréz uo s noce s	-----|--⌫|----⌫|
richesethonorables	-----|-|---------|
E tena pre ́z quant el lesserontfaitez	-⌫|---⌫---⌫-|----|--⌫--|-----|-----|
iroiz leriuai g e	----|-|-----⌫-⌫|
Sisaisiréz	-|--------|
uosh onorsetuos mar ches	--|-⌫----|-|--|---⌫---|
Quelan uozadonn ees	--||-|--||----⌫--|
Amis ent raen sonc hemi n	---|---⌫-|-|--|-⌫----⌫|
Cel u i qui uade	---⌫-⌫|--|-|-|
B la i uiesa	-⌫--⌫-⌫---||
Tora inneet	----⌫---|-|
Poi tiers autres siA	---⌫----|------⌫-||
Iehansontuenud	----|---|---||
Lanui tiiurentl icheualierge ntil	-|---⌫||-----|-⌫|--------|--⌫---|
Desciauiorque il fuesclar ci	----|-|--|--|-|-|------⌫-|
Deloriorneesne sai	-|--|------|-|--|
c ompe ten ir	-⌫---|---⌫-|
Unmardiuindrent	-|----|-------|
B laiuieslafortcit	-⌫------|-|---|--|
uire ntles nés de uers	----⌫-|--|---|-|---|
Bordiax uenir	------|----|
Les uoiles d roitezou	--|-----|-⌫-----|-|
li mastson t	-|---|---⌫|
Dex distlic u ensq uionq uesne	--|---|-|-⌫-⌫--|-⌫-|---⌫--|-|
Comcesteuill esietenrich e chem in	--|----|----⌫|---|-|----⌫|----⌫-|
Deuliroisd e	--|-|---|-⌫|
Qui me don na	--|-|---⌫-|
Lubiasa ucleruis A pié descent dou bo ndestr ier	-----|-⌫|---|--||---|------|--|--⌫|-----⌫--|
Seshome sen	--|----⌫|-|
S eignorbar once	-⌫-----|---⌫-|-|
Nozne nterronshuima isenlacité	--||-⌫-------|-----⌫-|-|-|----|
I us qu ade mainqu eli iorsparraclers	-⌫--⌫-||--⌫---|--⌫|-|---|----|----|
Que agrant ioiei uoldrommez	--||----|---||---------|
Ici l airo ns	--|-⌫----⌫-|
Amiest erApiédescendent	--|---⌫-||---|---------|
des d estriersseiorné z	--|-⌫-------|--------⌫|
Iluec tendirente t	----|--------|-⌫|
pauillon s et	--------⌫|-|
L anui tiiurentdesci a	-⌫|---⌫||-----|----||
laior n erDeuls uozlai ra ii c i endroit	|----⌫-⌫-||---|--|---⌫--⌫|-⌫-⌫|------|
Amileuoldrom mezreto rner	----|-------⌫--|----⌫---|
Son compaingnon aprinsa regreter	--|----------||----||-------|
Sir ecom pains o u	---⌫|---⌫----|-⌫|
iestez uoza léz	-----|--|-⌫---|
eüstéz nommé	-------|-----|
Que uoz deüstezueniret	--|--|-------|----|-|
Orsaii ebie nquaf in	-|--|-⌫|---⌫|-||-⌫-|
iestezal éz	-----|--⌫--|
Ocisuo zalitraï tre s	---|--⌫||-|-----⌫---⌫|
Puisr esgardatout contreual	---|-⌫------|---|--------|
Siuitleslogeslespauillonsles tre ́s	-|--|--|----|--|--------|--|---⌫-|
Hélasdist i lor	--|--|---|-⌫|-|
Ceest li rois qu imeuientafoler	-|--|-|---|--⌫|-|----|-----|
Lubia sestparente	-----⌫|--|------|
Maistante st	---|---|-⌫-|
bonneceste	----|----|
belecitéz	---|-----|
Etenforcie d elegiers bachelers	-|-------|-⌫|------|--------|
Mie nanciantneli lairont	---⌫|------|-|||------|
aït mauuaistiéaipansé	---|----------|-|-----|
Or n el lairo i eporle s mem bres coper	-|-⌫-|-----⌫-⌫|--|--⌫|---⌫---|----|
quenailleaeuls	--||----||---|
ueoirquils ont et	----|-|-|-⌫--|-|
d e quelt errené	-⌫|---|-⌫---|--|
Miexainz mori rque gel	---|---|----⌫|--|--|
lai s poraler	---⌫|------|
Q uant mes comp ain s ene s tam ortliur éz	-⌫---|--|----⌫---⌫|-|-⌫-⌫||-⌫--|----⌫--|
Lasnenu erraimaismie	--||-|-⌫----|---|--|
Amilesfu moultgentiz	-----|-|----|-----|
Iluestlaubercs ialia ume	-|---||-----|-⌫|||--⌫--|
Ceint eal espeesi monta el	-----⌫|||----|-|----|-|
destrierAsoncol pentunescude quartier	-------||--|--|---|-|---|-|-------|
Ete nsonpoingun	-|-⌫|--|----|-|
roittranchan tespié	---|--------⌫|-----|
O nquesnel	-⌫----|--|
di stseriantneescuier	--⌫-|------|-|------|
Lub ia sneluoltil	---⌫--⌫|--|---|-|
pasnuncier	--|------|
Parmila por te senistt ouz	----|-|---⌫-||-|--|-⌫--|
eslaissiéz	----------|
lepr ésesi et	-|--⌫-|-|--⌫-|
teno it em bracié	----⌫-|--⌫------|
la uolt acolerneb aisier	-|---|-----|-|-⌫-----|
Lecompai ngnonauoitil forme n t chi er	-|------⌫----|----|-|-----⌫-⌫|---⌫-|
Bienle con nut	---|-|---⌫--|
so rlaufferr antcorsier	--⌫||-------⌫--|------|
uass axdistilmoultp aries tezorfier s	----⌫-|---|-|----|-⌫-|---⌫--|-|----⌫|
u oléznoz	-⌫----|--|
uozlauillechalongier	--|-|----|---------|
lec on nutmo ul t bien	-|-⌫--⌫--|--⌫--⌫|---|
C ellepartuint	-⌫---|---|---|
corrant touzeslaissiézA	------|---|----------||
pié descen tde l au f ferrantcorsier	---|------⌫|-||--⌫-⌫------|------|
Trench eles lasdesonelm e	------⌫|--|--|-|--|---⌫|
Leblanchauberclait couler asespiés	-|----|------|---|-----||--|----|
Il sentrecorren taco lere tbaisier	-||-----------⌫|---⌫--|-⌫|------|
Delorn ouuellesseu oldrontacoin tier	-|--|-⌫-------|-|-⌫------|-----⌫---|
Quebe lesson tadire	--|--⌫--|---⌫||---|
Orson tlico nt e	-|---⌫|-|--⌫--⌫|
and uiel préass i z	---⌫-|-|---|---⌫-⌫|
Quilesueï stbaisier	--|--|----⌫-|------|
etcon ioïr	-|---⌫----|
Dexne fisthom ecu ipitié n	--|-|---|---⌫|--⌫|-----||
De usire c edist	--⌫|---|-⌫|---|
Ieuozai mort	-|--|-|---|
Hard réu ostre anemi	----⌫--|-⌫----|----|
Siuozam aing	-|--|--⌫---|
Belissantau	--------|-|
uozl a panréz queliroislem	--|-⌫|------|--|-|---|-||
Ami lesloitmoultioiansen	---⌫--||--|----|-----|-|
L ors sentr ecorren t	-⌫--||----⌫-------⌫|
baisieret conioï r	------|-|-------⌫|
Deusire lic uens	--|---|-|-⌫---|
Amilesdist	-----|---|
Lemienco uuin e	-|---|--⌫----⌫|
uozraurai i etostdit Léz	--|-----|-⌫|---|--|---|
ta moillier me	-|-------|-|
couc ha ii e	----⌫--⌫|-⌫|
Il n asibele	-|||-|---|
enseis sa ntep a ïs	-|----⌫--⌫--|-⌫-⌫--|
Moultmesmeru eil comenpoéz s ou ffri r	----||------⌫--|--|-|----|-⌫--⌫----⌫|
Amislententsenagietéun	---||-----||-||-----|-|
Lorsserecorrentbaisieretconioïr	---|-|--------|------|-|-------|
Charle engiet e ung rantsouzpir	-----|-|----⌫|-|-⌫---|------|
Seignord istellepo rlessains que	------|-⌫--|---|--⌫|--|----|--|
Si uoz samblézd aler et deu enir	-|--|-------||---|-|-|-⌫---|
Etdela bo uc heet desiexe t	-|-|-|--⌫--⌫-|-|--|--|-⌫|
Queienesai	--|-|-|--|
A misl enten tsen a gieté un	-⌫--||-----⌫||-||-----|-|
lore ill ea conse i l lierli	|---⌫---⌫||-----⌫-⌫-⌫---|-|
De udamme mes compa ins	--⌫|----|--|-----⌫--|
quici uint	--|-|---|
a ïtc istiertu ostre	-⌫--|-⌫--|---|-⌫----|
Neuozaipas	-|--|-|--|
errécoman nemis	----|--|--⌫----|
maiscom charnex amis	---|--|------|---|
Paru oz s ui hono r ee	--|-⌫-|-⌫-|----⌫-⌫-|
le laissentdesci a la ube clere	-|-------|----|||-⌫--|----|
Belissantont a umonstierme nee	--------|--|-⌫|-------|--⌫--|
A mi leslailu ec	-⌫--⌫--|||---⌫-|
El palaismonte nt sansnu lledemoree	-|-----|-----⌫-|---|--⌫--|------|
Gransnocesfirentlifilde s	----|----|-----|-|--|--⌫|
franchesmer es	-------|---⌫-|
cuensprinstl adamme	----|-----|-⌫|----|
Lanui t laiss ieren t desci alaube	-|---⌫|-----⌫-----⌫|----|||---|
Quildestendirentlestrés	-|-|-----------|--|----|
etl esaucubes	-|-⌫-|------|
Etrechar gierent les	-|------⌫------|--|
somm iers e t lesmurles	----⌫---|-⌫|--|-----|
etl a rgent	-||-⌫----|
lesri ches	--|--⌫---|
uesteu ̈r es	------⌫--⌫-|
Parmilaporte entrere nta	----|-|----|-------⌫-||
L ubiasest	-⌫----|--|
enco n treuenue	----⌫-⌫--|----|
Am isila amen teu ̈ e	--⌫|-|||----⌫---⌫-⌫|
Quison tces	--|---⌫|--|
gensquiuiennentparcesrues	---|--|-------|--|--|---|
Dist l icuens	---|-⌫|----|
Dammen es oie ́z esperdueCest la gens	----|-⌫|-⌫---⌫-|-------||--|-|---|
barbe c henue	----|-⌫----|
Ce sam eroizs e	--⌫|--⌫----|-⌫|
demoi auézcure	-|--|----|---|
uolentiers sire	---------|---|
maisque seürefuisse	---|--|-----|-----|
Q uen uo stre litanquenui tme	-⌫|-|--⌫---|--|--------⌫|-|
Que n i fustmise lauostreespeenue	--|||---|---|-|-----|----|--|
Dist li cuens	---|-|----|
Dammeb ien seroitmai sme s u re	----|-⌫--|-----|---⌫|--⌫-⌫-⌫-|
dolorsa iie moultgranseües	-----|-⌫|-|----|----|----|
Parmilecors	----|-|---|
mes ont outr e	-|-⌫--|----⌫|
Deuorme perd entet fuient	--|-|-|----⌫--|-|-----|
B elissant qui descent	-⌫-------|--|------|
de lamurle	-|-|----|
Lubiases tencon tre	-----|--⌫|-----⌫--|
Corto isement lunn e lautresalue	-----⌫------||---⌫||----|----|
Loramist iéz fumoult tostdesr o mp ue	--|-----⌫---|-|----|---|----⌫-⌫--⌫-|
Ainz quil fustuespresne lanuisfust	---|-|-|---|------|-|-|---|---|
Sus anp alaism ontar ent a droiture	--|-|-⌫----|-⌫-----⌫--||-------|
Assezi ot de spoonsetdes grue s	----||-|--⌫|----|-|--|----⌫|
Cilio ugleoruiolent ettaburn ent	--|--⌫-----|------|-|------⌫--|
Onquestexioie ne	-----|--|---|-|
fuainzmais ueü e	-|---|---|----⌫|
Co m delaf i lle	--⌫|-|-|-⌫-⌫--|
Amissen estalézcouchier	---||-|--|----|-------|
Dei oustelui	---⌫----|--|
Lu bias sa moillier	--⌫---|-|-------|
Qu antgabéont	--⌫--|----|--|
de li tie ́	--⌫--⌫---⌫|
Ettoutontfa it	-|---|--|--⌫-|
quantqu ean l itafie rt	-------⌫|-|-⌫-|----⌫-|
L ama ledamme	-⌫|--⌫-|----|
len prins t aa rr aisni er	|-|-----⌫||-⌫--⌫-----⌫-|
Si re dist ellemoultmepuis merueillier	--⌫-|---|---|----|-|---|----------|
A mileuo strecompaingnonchie r	-⌫---|--⌫---|----------|----⌫|
Hardrése combatitl	------|-|-------||
Un ssiensserians meieh ilepechié	--⌫|----|------|-|---⌫|-|------|
Quenlab atailleotunau balestrier	-|-|-|-⌫------|-|-|--⌫---------|
Hardréferi dunn esaieteel chief	------|---||---⌫|-----|-|----|
Mo rt l abatit dou bon corrantd e st rier	--⌫-||-----|--|--|------|-⌫-⌫--⌫---|
Amiles uint la t ouzeslaissiéz	-----|---|-|-⌫--|----------|
espeeetl i co palechief	----|-|-⌫|--⌫-|-|----|
Contrelaterrel e	-----|-|----|-⌫|
soti lb iencouch ier	--|-⌫|-⌫--|-----⌫--|
Maisparlap o st re con	---|--||--⌫-⌫--⌫-||-|
Romme requi ert	----|-----⌫--|
uif t antque ueing ne alesc lairier	--|-⌫--|--|-----⌫-|||---⌫------|
Ilnen menrane	-||-|----|-|
murle t nes o mm i er	-----⌫|-|-⌫-⌫--⌫-⌫-|
Ainz le fe raienmachartrelanc ier	---|-|--⌫--|-|-|------|----⌫--|
D ammesuidelauille	-⌫---|--|-|-|----|
Amisfumoultgentizetber	---|-|----|-----|-|--|
uoltmies ouffrir	---|--|-⌫------|
neendu rer	-|----⌫--|
Doucompaingnonc onen deïs t	--|----------||-|-|-----⌫|
Auma ti nnet	-|--⌫--⌫---|
fuaiorné Senes t	-|------||-|--⌫|
uenusch iés	----|--⌫---|
Gautieralostel	------|||----|
S oncompaingnonen	-⌫-|----------|-|
pri ns t aapeller	---⌫--⌫||------|
il desor mais	-|--|-|---|
Faitezuos homes g ar nir	-----|--|----|-⌫--⌫--|
Ri uiers siluozplaisten	--⌫----||-|--|-----|-|
Etsaisiroiz toutes	-|--------|-----|
uos fremeté z	--|--------⌫|
Etc ilrespo nt	-|-⌫-|-----⌫-|
Sic o mu o zconmandéz	-|-⌫-⌫|-⌫-⌫|---------|
Isne llements	----⌫------||
est uest uset	--|----⌫-|-|
Etf istseshomes garnir et	-|-⌫--|--|----|-----|-|
Parm i laporteissi de lacité	----⌫|-|----|---|-|-|----|
A milesl i genti z et liber	-⌫----|-⌫|-----⌫|-|-|--|
Seschierscompainsleconuoia	--|-----|-------|-|------|
Douzmoultg rans lieuespuis senest	---|----|-⌫---|-----|---||-|--|
reto rné z	----⌫----⌫|
Maisa inz sesontb aisié et a c olé	---|-⌫--|-|---|-⌫-----|-|-⌫-⌫---|
departirent	----------|
Amiles li prouz etlichat ainnes	-----|-|----|-|-|----⌫-----|
Oluienmainne	|--|-|-----|
Cha rlemainne	---⌫--------|
Pass entlesterres et	----⌫--|--|-----|-|
lescit ézes traing nes	--|---⌫--|--⌫------⌫--|
Dunneune e uedesrubaine	----|--|-⌫-|---------|
En zgransdromon setensb arges	--⌫|----|------⌫|-|--|-⌫----|
senentrent	|-|------|
sygl e ntli c heua lierensamble	----⌫-⌫-|-|-⌫----⌫---|-------|
Deua ntlapor te	----⌫-|-|---⌫-|
ar ri ue ren tilsempres	--⌫--⌫--⌫---⌫|-|------|
Ci ldela uillemoultgr an tioieen	--⌫|-|-|----|----|--⌫--⌫|---|-|
dem ainn ent	---⌫----⌫--|
Am ile en sau ille	--⌫--|-|-|-⌫---|
Riuie rsl acité	-----⌫-|-⌫|----|
Cildela uille li ontfaitfeauté	--|-|-|----|-|--|---|------|
connuren t	--------⌫|
Beli ssa ntau ui scler	----⌫---⌫-|-|--⌫|---|
E tlesbarons qui	-⌫|--|-----|--|
Icilaironsdouc onte	--|------|--|-⌫---|
Amileeste r	----|----⌫|
Amideuommez retorner	--|-------|-------|
Leu aill ant contede	-|-⌫----⌫--|----|-|
Blaiuies la	-------|-|
Lidisalangleli estb i en	-|--|||----|-|--|-⌫-⌫-|
Moult liabai sse et angois se line ́ s	----|-|----⌫--|-|------⌫-|-|--⌫-⌫|
E tli retran chedurementlip arl ers	-⌫|-|------⌫--|-------|-|-⌫---⌫--|
Maisagrant piece n	---||----|----||
enfulicuensretéz	-|-|-|----|-----|
Lubia slecoillientelhéz	-----⌫|-|-----|-|--|---|
L a maledamm e cu i	-⌫|---|----⌫|--⌫|
Dexpu is t mal do nner	--|--⌫--⌫|--|--⌫---|
Quen eldeingnaueoirne	--|-⌫-|------|----|-|
Nede s oncorsseruirne	-|-|-⌫-|---|-----|-|
Un di emen geque ilfuanuitié	-|--⌫----⌫-|--|-|-|-------|
Amissefualé z couchi er	---|-|-|----⌫|------⌫-|
Il enapelle	-|-|-----|
Lub ia ssamo illier	---⌫--⌫|-|--⌫-----|
uenézie sirdamme	-----|--⌫--|----|
ne mesue il li éz	-||----⌫--⌫--⌫--|
Sired ist elle ieiraiuol e ntiers	---|-⌫--|---|-|---|---⌫-⌫-----|
Toute uestue	----|-----|
l e ́zlecontes assiet	-⌫-⌫-|-|----||-----|
D eseslosen g esleprinstaa rraisnier	-⌫|--|-----⌫-⌫-|-|-----||-⌫--------|
e lle moul tmepuis meru eillier	-⌫--|----⌫|-|---|----⌫------|
uozme preïstezset	--|-|--------|--|
ansotauantier	--|-|----|--|
Do ntestiie ́zs ainset	--⌫-|------⌫-|-⌫---|-|
sausethaitié z	---|-|-------⌫|
Or uozuoisid ou to utaffoibloier	-|--|--|-|-⌫-|--⌫-|----------|
Ne poézma isalerne	-|----|--⌫-|---|-|
cheuauchi er	---------⌫-|
P r oieruozu oilsireq ue melaissiéz	-⌫-⌫---|--|-⌫--|---|-⌫-|-|--------|
Deua n tleue squemoultbie nuozferiiéz	----⌫-⌫||---⌫---|----|---⌫|--|-------|
Licuens l entent	-|----||-----|
lesen scuidachangier	-|---⌫|----|-------|
Da med istil bienmauéz a g a itie ́	--⌫-|-⌫--|-|---||----|-⌫-⌫-⌫----⌫|
Et sor monté etdeltoutabais sié	-|---⌫-----|-|--|---|-----⌫---|
Laloiauézaloisel dourammi er	-|--|----|||----|--|-----⌫-|
L ifoxl agait e qu idesozlaub resiet	-⌫|--||-----⌫|--⌫|----||---⌫-|---|
Quel cu ide panres ainetsaufetentier	---|--⌫--|----|-⌫--|-|---|-|-----|
Miexliuenist	---|-|-----|
qu i llef erist el chief	-|-⌫|-|-⌫----|-|----|
Sileplumast eteüst au	-|-|------|-|----|-|
Ice lleloiauézu ozp armonchief	---⌫--|--|----|-⌫-|-⌫-|--|----|
Ie uozcu idai se ruire t	-|--|--⌫---|--⌫---|-⌫|
ess aucie r	---⌫-----⌫|
Conmeladame c uiiauoieamoillier	----|-|---|-⌫-||----||-------|
Oruoz uoi si	-|--|--|-|
deltouts auua ige et	--|---|-⌫----⌫--|-|
Deu men cl aimle	--||-|--⌫--|-|
G lor iozdou ciel	-⌫---⌫--|--|---|
Qu ilmenfaceuen i ance	-|-||-|---|---⌫-⌫---|
Orreparole	-|-------|
el lemoult	--⌫-|----|
lauézen gro sprins	|----|-|---⌫|----|
Cuidiézuozdontparm autalentiesir	-------|--|---|--|-⌫-------|----|
Ne enue rs	-|----⌫-|
Deumener guerrenestrif	--|----|-----||-----|
Ta ntc omilw eult estl i	--⌫-|-⌫-|-|-⌫---|--|-⌫|
homsainteï s	--|--------⌫|
Etquant il weu lt	-|----|-|---⌫-|
u enus est	-⌫---|--|
Ianeuerroiz p asser	-|-|------|-⌫----|
marsne auril	---|-|----|
Quetu itdirontli	--|--⌫-|-----|-|
grant etli petit	----|-|-|----|
De grant malaig eie stez	-|----|------⌫|--⌫---|
plainseten sprins	-----|-|--⌫-----|
Meziausseroizmafoiuozenp leuis N a uroiz	------|-----|-|--|--|-|-⌫----||-⌫----|
secorsdeparenzne	-----|-|-----|-|
Forsdoupaïsuo zc on uenrafuïr	---|--|----|--⌫|-⌫--⌫----|----|
Touteue s tuefors doulit	----|--⌫-⌫--|---|--|--|
Dex co mie rtirascue	--|--⌫|--⌫-|------|
Icellenuitlelaissa	-----|---|-|-----|
I usquaudemainque li iors esclair a	-⌫---|-|-----|--|-|---|-------⌫|
Douzcheualiers de sa	---|---------|-|-|
co rta pella	--⌫-|-⌫----|
E tcille n	-⌫|--||-⌫|
mainnentsouauet	-------|------|
e t le pas	-⌫|-|--|
Deuantl euesquesenala	-----||------||-|--|
Amiencuseett rebucheetabat	--|-----|-|-⌫------|-|---|
Se leseruis t etioi ̈stet	-|-|------⌫|-|---⌫--|-|
Lasa integl oire en	-|--⌫---|--⌫---|-|
eüs ten sapart	----⌫|-|-|---|
Maris e t fameceesttoute	----|-⌫|---|-|--|----|
N efaillir nesedoiuent	-⌫|------|-|-|------|
Sire e uesqu esgentiz	---|-⌫-----⌫-|-----|
malades e tdelgiézmesmaris	------|-⌫|-------|--|----|
pan séz s ireeuesques beni s	---⌫---|-⌫--|-------|----⌫|
Doud ess eurerentr em oi	--|-⌫---⌫----|----⌫|-⌫-|
Ieuozdonrai monmurletarrabi	-|--|-----|--|-----|-----|
Ettrenteliuresdedeni erspa risis	-|-----|-----|-|----⌫--|--⌫----|
Dexd istl eue s ques	--|-⌫--||---⌫-⌫---|
q ui onquesnem e n tis	-⌫-|-----|-|-⌫-⌫-⌫--|
Biaustre sdouz	----|---⌫|---|
De x meruei llespuis	--⌫|------⌫---|---|
Seto u zl imo nd eslepensast etie hist	-|--⌫-⌫|-⌫|--⌫--⌫-|-|------|-|--⌫---|
Seldeü ssié zet celer etcouurir	--|----⌫-----⌫|-|----|-|------|
Co n meladamequi lauo it	--⌫-⌫-|-|---|--||---⌫-|
Roi s de p aradis	---⌫|-|-⌫-----|
Nel uoil parmoi	--|---|--|--|
destru ire	------⌫--|
Lubiasfudefolcontenement	-----|-|-|--|----------|
Qua ntaleuesquede lauillesepre nt	---⌫-|||------|-|-|----|-|---⌫-|
Moieestlauilleet lannorsq ui	---|--|-|----|-||-----|-⌫||
