apr esde ceque sainz	---⌫-|-|-|--|----|
la l oique t ud isoies	-|-⌫-|--|-⌫|-⌫-----|
estreb onetuladem ostres	----|-⌫--|-|-|---⌫-----|
estrefa sse .	----|--⌫--||
etpo rce ilnese uo sitbaptizier	-|--⌫|-|-|-|-|--⌫--|--------|
maspristco ngiee ts an	--|----|--⌫---|-⌫||-|
repa iraasesgen z et	----⌫--||--|---⌫|-|
li ma ndaial	-|--⌫---|||
ende main bataille.	----⌫---|-------||
et char les entandiqueay golanz refusa	-|----⌫--|------|--|--⌫-----|-----|
estr e baptizie zp orlespouresquiluit s ilaidemant	----⌫|--------⌫|-⌫-|--|-----|-|-|--|-⌫|--------|
sile s fistuest irhon estemant	-|--⌫|---|----⌫-|---⌫-------|
et donera mangieret	-|----||------|-|
aboire honora blement.	|----|------⌫------||
pe rdi enceque lipoureestoient uil mantque	--⌫--|-|-|--|-|----|-------|---⌫---|--|
ayg olanz nepristbaptaimeq uesera	---⌫----|-|----|-------|-⌫-|---|
de cesa iord ou	-|--||--|-⌫-|
iuigemantqui	--------|--|
laidemanttrai tentlespou res	--------|----⌫---|--|---⌫--|
quarilco uenraio ir que nostressires	---|-|--⌫-----|-⌫-|--|------|----|
lordira departezuos de moimal	--|---|-------|--|-|--|--|
estru ite ta n	-----⌫-|-⌫|-⌫|
a leze nfeuperdurable.	-⌫--|-⌫|--|---------||
quarquant i auoie f ainuosne	---|----||----|-⌫--|--|-|
medonastes amangier.	-|-------||------||
et poro nd o itpans er queliloiz	-|--|-⌫|-⌫-⌫-|----⌫-|--|-|---|
etl ifoiz nostre seignor uau tpo uoucrestien s	-|-⌫|---|-----|------|---⌫|--⌫|-|-------||
elenest aemplie pe re u ures a usicumliapo s t res	--||--|------|--⌫|-⌫-⌫---|-⌫--|--|-|---⌫-⌫-⌫--|
le tesmoignea usicumlicors est	-|--------|-⌫--|--|-|---|--|
mo rss a n larmeausilafoi z	--⌫-|-⌫-⌫||---|---|-|---⌫|
est m ortes anzeuu re s	--|-⌫---|-⌫--|---⌫--⌫|
ausi c uml ir oispaiensr efusabaptai me porcequ	---|-⌫-|-⌫|-⌫--|-----|-⌫----|------⌫-|--|-|-|
il neuitpas	-|-|--|--|
l es droitesour esde ba ptaim e encha rle ausidotaiie	-⌫-|------|---⌫-|-|--⌫-----⌫|-|---⌫--|---|----|-|
quenost resire sne	--|----⌫-|----⌫|-|
blasmoitennos	-------|-|--|
lafoidebapta im e	-|--|-|-----⌫--⌫|
por cequil n	--|-|-|-||
auratr ouée nnos lesoures queb ap t oimesreq uiert	---|--⌫---|-⌫|--|--|----|--|-⌫--⌫-⌫----|---⌫----|
landemain uindrent ensam bl e tuit	|-------|-------|-----⌫--⌫|---|
l iar méd es	-⌫|--⌫--|-⌫-|
doesp artie sporcombatreperl esd ite scou enanc es d e sdoes	---|-⌫-----⌫|--|-------|--|-⌫-|-⌫---⌫|---⌫-----⌫-|-⌫-⌫|---|
liozcharle fude yy lioz	-|-|-----|-|-|-|-|-|
aygolantdeyy .	-------|-|-||
l ic restienfiren tyyoz et	-⌫|-⌫------|-----⌫|-|-|-|
lisar razinyyoz .	-|---⌫----|-|-||
l apre miered essarrazinsfutantost	-⌫|---⌫----|-⌫-|--------|-|------|
uai ncueet li secu ndeapres.	---⌫---|-|-|----⌫--|----||
etqu ant li sarrazinuirentl or p erde si	-|--⌫--|-|-------|-----|-⌫-|-⌫---|-|
semis t rent ensambleet aygolanzou moitant	-|---⌫-⌫---|-------|-|-------|-|------|
quant ceuir entl icrestiensi	----|-|---⌫--|-⌫|-------|-|
lesenclorentde tozsans.	--|--------|-|--|---||
de luneparti e fuarnauz	-||--|-----⌫|-|-----|
debellandeet sesoz.	-|-------|-|--|-||
del autre partestouzlicuens ets es oz	-||----|---|-----|-|----|-|-⌫-|-|
dela utrepart	-||-⌫---|---|
ar ast ainse t	--⌫---⌫---|-⌫|
sesozdau tr epartgond ebues lirois	--|-||--⌫--⌫|---|----⌫----|-|---|
dautrepar to g ie rsliroisd	|----|---⌫|-⌫-⌫--⌫-|-|---||
autre partcostantin sdautrep art	----|---|---------⌫||----|-⌫--|
char lesensambles toz lor oz.	----⌫--|--------|--|--|-||
arna uzdeb ella ndecorru tpre miers susles	----⌫-|-|-⌫----⌫--|-----⌫|---⌫----|--|--|
sarrazinset anocc it et trabuchaa	--------|-|-|---⌫-|-|-------||
de xtreeta senestretan tqu il uient	--⌫---|-||-------|---⌫--|-|----|
aa ygol ant qui	|-⌫----⌫--|--|
estoit oumoitant de	-----|-|------|-|
cese t l oc cit	--|-⌫||--⌫--|
maintenantfiren tunegrantcrieeet corrurent	---------|-----⌫|--|----|----|-|--------|
lic r estiensuslessarrazinsdetotespars et	-|-⌫-⌫-----|--|--|--------|-|----|---|-|
lesocc iren t to zmasqueleroide sibileet	--|---⌫----⌫|--⌫|-----|-|--|-|-----|-|
altumaiorde	--------|-|
c i lsanfo ir entapoudesarrazins.	-⌫-⌫||-|--⌫--⌫--||--|-|--------||
et ta nti otde san cespanduque liuainquor	-|--⌫-||-|-|---⌫|------|--|-|-------|
i aueno ientiusqueasgen ouz.	|-----⌫---|-----|-|---⌫--||
lisa r razinqui fu re nttrouée n la cite	-|--⌫-⌫----|--|--⌫--⌫-|-----|-⌫|-|---|
furentt uit occis.	-----|-⌫--|----||
secomb ati charlespor la fo icontre	-|----⌫--|------|--|-|--⌫|-----|
aygolantetl	-------|-||
occitp orquoi ilapertq ueli lo ys	----|-⌫-|---|-|----|-⌫-|-|--⌫-|
cre sti eine sor m on tetotesautresloiz.	---⌫---⌫---|---⌫-⌫--⌫-|----|-----|---||
etpor ce tucresti einsqui auras bie n tenue	-|--|-|-|------⌫---|--|----|---⌫|----|
lafoi et debon cuert u seras	-|--|-|-|--|---|-⌫|----|
s us lesa nges empar adisauecihesucrit	-⌫-|--|-⌫---|-|---⌫---|---|----|---|
setuiu oez	-|-||-⌫--|
mont ercroifermem antquar totes choses sont	----⌫-|---|------⌫--|---|----|-----|---|
e npuissan ce	-⌫|-------⌫-|
deauen ir abiencre ant.	-|----⌫-||---|---⌫--||
et charlesli ez de	-|------|--⌫-|-|
si grant uicto ires	-|----|-----⌫--||
anuient iusq ueap ont	-|----|----⌫-||-⌫--|
d argeen la uoie d e s aint	|---|-|-|---|-⌫|-⌫---|
c r esti ei nspor enuie de auoirlesricheces	-⌫-⌫----⌫--⌫-|--|----|-|----|--|-------|
dessarrazinsqui mortestoien tretornerent arr ierssan zlesaichant	--|--------|--|---|-------⌫|----------|---⌫---|---⌫|-|-------|
liquelsecharg erentdo retd argent	-|---|-|-----⌫----||-⌫|-||-----|
etsemistre nt aretora pres	-|-|------⌫-||----|-⌫---|
lotcha rle.	|-|---⌫--||
ma sartumaiors de	--⌫|---------|-|
cornubiequi sestoites condu zentre lesmontaigneset	-------|--||-----|--⌫-----⌫|----|--|---------|-|
lisarrazinquiauecl ui estoient lorc orru r ent	-|-------|--|---|-⌫-|-------|--|-⌫----⌫-⌫--|
s us etlesoccirenttoze tbieniot	-⌫-|-|--|-------|--|-⌫|---||-|
de smorsiusquea unmillier	--⌫|---|-----||-|------|
etci l tie nent	-|--⌫|---⌫---|
lasa mblancede ces qu ise	-|--⌫------|-|--|--⌫|-|
combatentporlor	--------|--|--|
pechiezcontre	------|-----|
l e suices	-⌫-⌫|----|
se rech i es entetrepairentarriers .	-|----⌫-⌫--⌫--|-|--------|------||
qu arausi cum cilpuisquil	--⌫-|---|--|--|-----|-|
orentoccisl orenemisetuainquz	----|----|-⌫-|-----|-|------|
re pairerent porcoueitisseas	--⌫--------|--|---------|-|
morse ti l f urentuaincu et	---|-⌫|-⌫|-⌫----|-----|-|
occis perlor e nemisaus ichascun sfeausqui	----|--|--|-⌫----|---⌫|-------⌫|----|--|
a iuain qusesuices etaiprissapenitance ne	-⌫|----⌫-|--|----|-|-|---|-|--------|-|
doitre pairierarrier sa s mo rs c est	---|--⌫------|------⌫|-⌫|--⌫-||--|
asuice spor c equilne	-|----⌫|--|-⌫|-|-|-|
soitoccisdeses enemis	---|----|-|--|-----|
c est desdyables.	|--|--|------||
e t aus i cu mci l quirepairerentasdes poilles	-⌫|---⌫|--⌫|--⌫|--|----------|-|---⌫------|
daut ruiperdirentlapresenteuie e tfurentmort	|---⌫--|--------|-|-------|--|-⌫|-----|---|
aus iuncha scunrelligieu s	---⌫|-|---⌫---|---------⌫|
quiontdelassiélesiegle	--|--|--------|-|-----|
et semetenta rriersasbesoignes terrienes il	-|-|-----|-⌫-----|-|--------|--------|-|
perdent lauiecelestiauletacqu ier en tla	------|-|--|---------|-|----⌫---⌫--⌫|-|
mor tperpe tua l .	---⌫|-----⌫---⌫||
l aindemainditonacharleque un s princesdes	|--------|--|-||-----|--|--⌫|------|--|
nauarroisquiau oitnunfurre estoitenla mon tai gnede	--------|--|--⌫--|--|----|-----|-|-|---⌫---⌫--|-|
gar zini qui s euoloitcomb atre contre l ui.	---⌫---|--|-⌫|-----|----⌫---|-----|-⌫-||
e tquantcharlefuen ce l mont	-⌫|----|-----|-|-|--⌫|---|
ses au ersaires seapp ara illaide alerenbatail le a	--|--⌫-------|-|---⌫---⌫----|-|---|-|------⌫-||
l an d emaincontrecharle.	|--⌫-⌫----|-----|-----||
e t charle lesoirdeu antcequelabataillefust	-⌫|-----|-|---|---⌫--|-|--|-|-------|---|
p rianostre seignorquillidonast	-⌫--|-----|------|-|-|-|-----|
signe s orces	----|-⌫-|--|
qu i deuoientmori r en	--⌫|-------|----⌫|-|
l a bataille.	-⌫|-------||
etland e mainlesoz	-||---⌫-⌫---|--|-|
arm eess ignes decroizroigeap parut sus	---⌫--|-⌫----|-|----|----|--⌫----|--|
lesespall esdecesqui dauoientmori r	--|------⌫-|-|--|--|-------|----⌫|
encelebataille.	-|---|-------||
lesquexch arles fist enclor reenson oratoi re	--|---|--⌫----|---|------⌫-|-|--|------⌫-|
qui lnemorissienten bataille .	-|-⌫|-|---------|-|-------||
et q uantfurr esfuocc isetyyde	-|-⌫---|----⌫-|-|---⌫-|-|-|-|
n auarroiset d es arrazinsqu ilauoiten sacom paignie	-⌫-------|-|-⌫|-⌫-------|-|-|----|-|-|---⌫------|
c harle suientacesquil	-⌫-----⌫|----||--|-|-|
auoitmisengardeporeschuirl amorte t	----|--|-|----|--|------|-⌫|---|-⌫|
lestrouatozmorsetcil	--|----|--|---|-|--|
e st oi entper numbredeuiron yyetyy .	-⌫--⌫--⌫--|--|-----|------|-|-|-||
cele compaign iede com bateorsfu	---|--------⌫-|-|---⌫------|-|
t re s sainte.	-⌫--⌫|-----||
quarsel iglaiues doupersecut orne	---|-|-⌫|------|--|--------⌫-|-|
lesoccittoteuo ie neperdirent ilpas por	--|----|---|--⌫-|-|--------|-|--|--|
cela coron edemarty re.	-|-|-----⌫|-|-----⌫-||
adoncpristcharleslechastel	----|----|------|-|------|
del amonta ign e degarziniettotle pa is	-|-⌫|-----⌫---⌫|-|------|-|--|-|--⌫-|
de nauarrois.	-|--------||
ap res ce den unc	--⌫--|-|---⌫--|
onacharl eque a n agere	-||-----⌫|--||-⌫----|
estoituenuzfernaguzd ela ligniego liathque liamiraz	-----|----|-------|-⌫|-|-----|--⌫----|--|-|-----|
auoit enq uienuoiée msamble yy tursde babiloine	----|---⌫-|------|-⌫------|-|---|-|--------|
porcombatre co ntrecharle .	--|-------|--⌫---|-----||
cilned outet lancen eseateetauoit	--|-|-⌫----|----|-⌫|----|-|----|
laf orce deyyhom esles plusfors	-|-⌫---|-|-|---⌫-|--|---|---|
etmaintenantcharl es sen	-|---------|-----⌫-||-|
alaianagere .	---||-----||
etquantfe rnaguz sot	-|----|--⌫-----|--|
sauenue il	-|----|-|
saill ifors delaci t eet	-----⌫|---|-|-|--⌫-⌫|-|
demanda i toz souzlabata i lleenco ntre un autre.	-------⌫|--|---|-|----⌫-⌫--|----⌫---|-|----||
etcharleslien uoiapre mi e rsoigierledenois.	-|------|-|--⌫---|---⌫--⌫-⌫-|-----|-|-----||
gea nzui en ta lu ietl eprist a	---⌫-|--⌫--⌫||--⌫|-|-⌫|----||
so nbrazdextre et la npotai ueanztoz	--⌫|---|-----|-||-⌫|----|----|--|
en son chastel	-|--|------|
fust une petitebr ebiz.	---|--|-----|--⌫---||
yy co udesde autace et leuisaigelel onc	-|--⌫---|-|-----|-|-|------|-|-⌫--|
dun coude et le ne f	|-|----|-|-|--⌫|
lelonc dunep aumee tsui	-|---||--|-⌫---|-⌫|--|
braze tsescuissesle l oncdeyycoudes	---|-⌫|--|------|-|-⌫--|-|-|-----|
etsuidoi lel oncde yypaumes	-|--|--|-|-⌫--|-|-|-----|
li en uo iacharlesrainaul deal bees pi ne.	-|--⌫--⌫-|------|------|-|--⌫-|--⌫--⌫-||
portaligehanza unso ul br az	----|-|-----||-|--⌫-|--⌫-|
enl achartrede son chastel .	-|-⌫|------|-|--|------||
apreslien uoiacosta ntinderome	----|-|--⌫---|-----⌫---|-|---|
e toel luslec onteetce usilan portai	-⌫|---⌫--|-|-⌫---|-|--⌫-|-|-|-----|
e npr ison l	-⌫|--⌫---||
lautreasin estre .	|----||---⌫----||
apres i e nu oiaiusque	----||-⌫--⌫--|-----|
ayycomb at eorsdosado s	|-|----⌫--⌫---|--||--⌫|
etcesmistt ozenchart re.	-|--|---|-⌫-|-|-----⌫-||
quantc e uit charle	----|-⌫|--|-----|
se n iosai p lus	-|||---|-⌫--|
nul enuo ier	--|----⌫--|
masqueroolanzp rist congiedecharl ed alercombatrea	-----|------|-⌫---|-----|-|-----⌫||---|-------||
e t cil lidona	-⌫|--|-|---|
etli gehanz le pristasa	-|-|-----|-|----||-|
main dextreetlemist	---|-----|-|-|---|
deuantlui sorsoncheual.	-----|--|--|--|-----||
etcum cilleporta stuersle	-|--|--|-|-----⌫-|---|-|
chas telroolanzrepriss efo rce aia n sf i ance en	----⌫--|------|-------⌫|--⌫--|---⌫-⌫|-⌫-⌫---|-|
nostreseigno rle	-----|------⌫|-|
prist per lement onete nue rsai lui	----|--|-|----⌫-|-|-⌫---⌫---|--|
et s onche ua letche irentandui	-|-⌫-|---⌫--⌫|-|---⌫----|----|
e msamble a laterre.	-⌫------||-|----||
etmain tenant il releuerentand uiensamble et remonterentacheuaus	-|----⌫-----|-|---------|---⌫-|-------|-|----------||------|
etro olanztra h itl espeeetcuida occir elegehant	-|--⌫----|---⌫-⌫-||----|-|----|-----⌫|-|-----|
sit ronce naison cheualperlem oitan t .	-|-⌫-----⌫--|--|-----|--|-|-⌫-----⌫||
etcumferna guzfusta pieetiltenast	-|--|-----⌫--|---||--|-|-|-----|
s aspeeet anmenacetroolantroola nz	|----|-|-|------|------|-----⌫-|
getaiencontresaspeeetf erilegeh ant ou	----|-------||----|-|-⌫--|-|---⌫--|-|
iltenoi tsaspeeetlicheoir a t e rre	-|-----⌫||----|-|-|-----||-⌫-⌫--|
mas n efist	--|-⌫|---|
pointde mal agehan t.	----|-|--||-----⌫||
etquantferneguzot perdue saspee si	-|----|-------|-|-----||----|-|
s a nuient a	|-⌫|----||
roola ntle poincl os	-----⌫-|-|---|--⌫-|
etle cuida fe rir.	-|-|----|--⌫--||
masilferistson cheuala ufront et	--|-|-----|--|-----|-⌫|----|-|
occits oncheual et f urent	----|-⌫-|-----|-|-⌫----|
anduiap ieetse conbatirenttotleior	----||-⌫-|-|-|----------|--|-|--|
aspoinzet as	-|----|-|-|
pi err es.	--⌫---⌫-||
liuespres uient fenaguz demandatreu esiusqu el a ndemain	-|------|----|------|------|----⌫-|-----⌫||-⌫------|
et quiluena ssientaus idesg arni	-|-|-|----⌫-----|---⌫|----⌫---|
est oie ntarri e rse nb ata ille.	---⌫---⌫-|----⌫-⌫-|-⌫|-⌫---⌫---||
c hoseausioutro iechascuns repai raason	-⌫---|---|-----⌫-|-------|-----⌫-||--|
et landemainmatinuindrent arriersouchamp	-||-------|----|-------|------|-|----|
m asf ernaguz aport ai	-⌫-|-⌫------|-----⌫-|
uneaspee .	--|----||
li ua lut quar	-|--⌫--|---|
roolanzot aport éunbastonlonc	------|-|-----⌫-|-|-----|---|
etretorsde quoiilleferittote ior et	-|-----|-|---|-|-|----|---|--|-|
onquesnele	-----|-|-|
et le feriauside	-|-|---|---|-|
gran z pierresrondes dequoiilia uoita ssez	----⌫|------|-----|-|---|-||-⌫---|-⌫---|
lepostonq ues	-|---|---⌫--|
quass er .	-----⌫-||
et lige hanz	-|-|--⌫---|
empitraitre ues deroolant por dormirquar	-------|---⌫--|-|------|--|-----|---|
granzs omes	----|-⌫---|
l auo ient pris	|---⌫---|---|
et roolanz	-|------|
lidonaietli	-|----|-|-|
m is tunepierresoz sonchi ef	-⌫--⌫|--|-----|--|--|---⌫-|
pormiezdormir.	--|---|-----||
nunscrestie nsnelosoit adonquesocci rre nero o lanzausi	---|-------⌫-|-||----|-------|----⌫--|-|--⌫-⌫---|---|
quar tesestoitlie staublissemanzentreaus que se	---|--|-----|-|-⌫-------------|----|--|--|-|
l icrest iensdona sttreuesasarrazin	-⌫|-----⌫---|----⌫-|-----||-------|
oulisarraz in s acrestie n nunsne	-|-|------⌫--⌫||-------⌫|---|-|
feroiteniu re lu ns a	-----|----⌫-||-⌫-||
lautre lestreuesdura nzetcilqui	|----|--|-----|----⌫-|-|--|--|
brisielestreues	-----|--|-----|
sanzdeff ieronloccioit.	---|----⌫--|-||------||
qu a ntfernaguzotassez do rmi si	--⌫-⌫-|-------|-|----|--⌫--|-|
s auailla etroolanzs	|------|-|------||
essitdele zluie t	----|----⌫|--|-⌫|
licomancai dem ander	-|-------|---⌫----|
coma nt ilestoit siforsetsidurs qu	----⌫-|-|-----|-|---|-|-|---|-|
ilne dotet glaiue n epierrene baton.	-|-|----|-----|-⌫|-----|-|----||
gehanzli ditie nep uis estre	-----|-|--|-|-|-⌫--|----|
naurezmasque	-----|-----|
per lum b eril.	--||--⌫-⌫---||
et cil p arlo it	-|--|-⌫----⌫-|
la langue dee spa ignol	-|-----|-|-⌫---⌫----|
roola nz entan doit bien.	-----⌫-|-----⌫---|---||
etlige h a nzcoma ncai	-|-|--⌫-⌫-⌫-|----⌫---|
a r ega rder roolan tet li	|-⌫---⌫---|------⌫|-|-|
demandaiquomantila uo itnumet cillidit i	-------|------|-|-⌫--⌫-|--|-|--|-|--||
ai nu mroolant.	-|--⌫|------||
dequelligna igeestuq uisi fortt e	-|---|-----⌫--|-|-|-⌫-|-|---|-⌫|
combazco ntre moi	-----|--⌫---|--|
ie s uides	-|-⌫-|--|
etfernaguz ditdequelloi	-|-------|--|-|---|--|
sontfrancois	---|-------|
etroolanzditdela loi	-|------|--|-|-|--|
crestieneet s umu ssouzlecoma ndemant i he su	--------|-|-⌫---⌫|---|-|----⌫------|-⌫--⌫-|
cri tetno scombatons porsa	---⌫|-|--⌫|--------|--|-|
foitant comnospoons .	--|---|--|--|----||
etligeanzditquiest cil ih esu	-|-|----|--|--|--|--|--⌫--|
criz encuitucroiz	---|-|--|-|----|
etroolanzfilzdeu lep ere	-|------|---|--|-|-⌫--|
quinasqui la uir gequifuc r u cifiezetseuelizet	--|-----|-|---⌫-|--|-|-⌫-⌫-⌫-----|-|------|-|
le tieriorresuscitez etsanmonta arri ers	-|---|--|---------|-||-|----|----⌫--|
etf erneguz nos cr eonsque c il qui fistleciel	-|-⌫------|--|--⌫---|--|-⌫-|--|---|-|---|
etl at erre	-|-⌫|-⌫---|
estunssoulsdeuxet	--|--|----|---|-|
quilnostnefilnepere	-|-||--|-|--|-|---|
etausic umilest	-|---|-⌫-|-|--|
engendrezdenu l a usii l ne	--------|-|--⌫|-⌫--|-⌫|-|
engend rai nul.	------⌫--|--||
do n q uesest i l soulsdexetnun	--⌫-⌫-⌫--|--|-⌫|----|--|-|--|
pas tr ibles.	--|--⌫----||
roolanz tu d izuoir de cequil	------|-|-⌫-|---|-|-|-|-|
est unsdex masen ceerrestu quetu	--|--|--|--|-|-|----|-|--|-|
dizqu ilnestpas	--|-|-||--|--|
setu c roi zou	-|-|-⌫---⌫|-|
perecroio ufil etousaint esperit	---|---|-⌫|--|-|-|----|------|
ilcilmeismes	----|------|
dex est peres fizetsainzesperizunsdex	--|--|----|--|-|----|------|--|--|
introispersones.	-|----|-------||
fe rnaguz se	--⌫-----|-|
tu dizlepere d eu et le	-|--|-|---|-⌫-|-|-|
fildeuets aintesperitdeudonque ssont	--|--|-|-⌫---|------|--|------⌫|---|
puetestreetn emieuns	---|----|-|-⌫|--|--|
n est p a sansicce dit roolanz	|--|-⌫-⌫|----|-|--|------|
masundeuet	--|-|--|-|
tripleteprachoi.	-----|-|------||
ilestunsetsi est	-|--|--|-|-|--|
to tesles trois perso nessont ens amble sa nzfinet	--⌫--|--|----|-----⌫--|---|---⌫----|--⌫-|--|-|
coequausquarquesestl iper es	-------|---|---|--|-⌫|---⌫-|
texestlifiz et	--|--|-|--|-|
texestli sai n zesp e ri z.	--|--|-|---⌫-⌫|---⌫-⌫--⌫||
aspers onesest aoreelipro prietezenla	-|----⌫---|--|----|-|---⌫------|-|-|
essenceliuniteze nlamaieste	------|-|-----|-⌫|-|------|
equalitez.	--------||
li ange l aorentas	-|----⌫|-----|-|
cieltripledeu etun	---|-----|--|-|-|
et abraam an uittroise t zz en	-|-----|-|--|----|-⌫|-|-|
ce memostr ed it	-|-|-----⌫|-⌫-|
cometr oischosessoient z z	---|--⌫--|-----|-----|-⌫|
letemos trera	-|-|---⌫----|
ditroo lanz per humainescreatures .	--|---⌫---|--|-------|--------||
ausi comeenl	---|---|-||
arpedementi ersq uale sonesonttr oisch os es	---|-------⌫----⌫|--|---|---|--⌫--|--⌫--⌫-|
li arsles co rdes etlimains	-|--|--|--⌫---|-|-|----|
etceestunea rpeausi en	-|-|--|--|-⌫--|---|-|
deut roischosessontli	--|-⌫---|-----|---|-|
peresetlifizetli sainze speriz	----|-|-|--|-|-|----|-⌫-----|
etcestuns de x.	-||--|--|--⌫||
etausi comee n l amandre sonttrois	-|---|---|-⌫||------|---|----|
choses licurslicruise et li nuillous et	-----|-|---|-|-----|-|-|-------|-|
un ea mandreausicso nttroispersones en deu etz z	--⌫|-⌫-----|----|--⌫-|----|-------|-|--|-|-⌫|
ou solacsont tro is chosesliblanchors	-|----|---|---⌫-|-----|-|--------|
lires plendo rs	-|---⌫------⌫-|
etlichalors ettote	-|-|------|-|---|
uoie ces t unssolaz .	---||--⌫|--|----||
en la dou charr o tsont troischosesli	-|-|--|-----⌫-⌫|---|----|-----|-|
bo zlirai e tli	--⌫|-|--|-⌫|-|
chambier et tote uoiec est	-------|-|---|---||--|
entoimeismessont t roisch os es tescorst ui	-|--|------|---|-⌫---|--⌫--⌫-|--|---|-⌫-|
mambreet tarmeettoteuoie tu	-----|-||---|-|---|---|-|
e suns hons.	-⌫|--|---||
aus ie ndeu	---⌫|-⌫|--|
estunitezettr initez.	--|-----|-|--⌫-----||
soitdit ferneguzque dex soittrip l e s	---|--|-------|--|--|---|----⌫-⌫-⌫|
quomant es tce quelip eresengendr ail e fil	------|--⌫|-|--|-|-⌫---|-------⌫-|-⌫|--|
c roizt uquedex fistadam	-⌫---|-⌫|--|--|---|---|
dit q uoil .	--|-⌫|--||
e troolanz ausicomeadanz fude	-⌫|------|---|---|----|-|-|
nulengendre zet toteilengendrai	--|--------⌫|-|---|-|--------|
fi lzausidexliperesfude	--⌫-|---|--|-|----|-|-|
nuleng e ndre zet t ote uoie ilengendra	--|---⌫-⌫----⌫|-|-⌫--|---|-|-------|
f ildelui meismespersa	-⌫-|-|--|------|--|-|
diuinite ausi cumiluosi tdeu anttoz lest emps	-------|---|--|-|----⌫|---⌫--|--|--|-⌫---|
e tligehanz cemepl aitque tudiz	-⌫|-|-----|-|-|--⌫--|--|-|--|
mascomantfufa iz ho nscil qui	--|-----|-|--⌫-|--⌫-|--|--|
d ex estoitce ne	-⌫-|-----|-|-|
cil c e di troolanzq u ifist	--|-⌫|--⌫|------|-⌫-⌫|---|
leci eletla	-|--⌫-|-|-|
terre ettotesau treschosesde noiantc i lfist	----|-|----|--⌫---|-----|-|-----|-⌫-⌫|---|
le filestr ehome	-|--|----⌫|---|
en lauirge sanzseman c eh umainep erson	-|-|----|---|-----⌫-⌫|-⌫-----|-⌫-|--|
saintesperit .	----|------||
decedotai iedit lige h anzcom ant il	-|-|----|-|--|-|--⌫-⌫--|---⌫--|-|
nasq uidouuantr ede	----⌫-|--|-----⌫|-|
la uirge sanzsemanc e	-|----|---|------⌫|
etroolanz ci l qui	-|------|--⌫|--|
fit adams a nzsem anc e d	--|---|-⌫-⌫-|---⌫---⌫||
ome il fistnaistreson filde	--|-|---|------|--|--|-|
lauier ges anzsemance	-|----⌫-|-⌫--|------|
cumilnasquided eu lep eresanz	--|-|-----|-|-⌫-|-|-⌫--|---|
nasquitilde	------|-|-|
meresanhom epere.	---|--|---⌫|---||
et li gehanzmol tmeme ru oil ditli	-|-|-----|---⌫|-|--⌫--⌫--|--|-|
g ehan zcomant uirg e concutsanzhome	-⌫----⌫|-----|----⌫|-----|---|---|
etroolanzaus i cumli g urgillonsen	-|------|---⌫|--|-|-⌫--------|-|
lafeueetliue rmescasou bois	-|---|-|-|--⌫------|-|---|
lespoisons etlesai setesdeuzfaitauoirli gnie	--|------|-|--|--⌫----|---|---|----|--⌫---|
san zmalleportaien	---⌫|----|-----|-|
son corsd euet	--|---|-⌫-|-|
h o me s anz sema nce dome.	-⌫-⌫-|-⌫--|----⌫--||--||
cilquifist l epremier h o me	--|--|---|-⌫|------|-⌫-⌫-|
sanzs ema ncedomelag i eremantpus tfaire quesesfiz	---|-⌫---⌫--||--|---⌫-⌫------|---⌫|----|--|--|--|
fusthons faiz de lau irgesanzatoichemantde	---|---|---|-|-|-⌫---|---|----------|-|
bien pu etestred itf ernag uzce que tu	---|--⌫-|----|-⌫-|-⌫-----⌫-|-|--|-|
massilfu de de u ilne pe ust	--||-|-|-|--⌫|-|-|--⌫--|
pasmorirenlacroizquar dex nemuer	--|----|-|-|----|---|--|-|---|
etrool anzpo r	-|----⌫--|--⌫|
hon silai soffer t mortcomehons	---⌫|-|-|------⌫|---|---|---|
ce quinaistm uert .	-|--|----|-⌫---||
etsetu croizqu	-|-|-|----|-|
ilnasqui tud ozcr oireq uilpost	-|-----|-|-⌫-|--⌫---|-⌫|-|---|
sosfrirmort et	------|---|-|
resusciter.	---------||
etcomant croira	-|-----|-----|
iela res ur rect ion	-|-|---⌫--⌫----⌫--|
ditli g ehanz.	--|-|-⌫----||
ta ntsoulementlifi	--⌫-|--------|-|-|
deuf u r esuscit ez	--|-⌫|-⌫-------⌫-|
mass aichesqu e tuit lihome qui	--|-⌫-----|--⌫|---|-|---|--|
furent des lencomance man t dou	-----|--||---------⌫---⌫|--|
m onde iusque e nla	-⌫---|-----|-⌫|-|
finreleuerontdeua n t	--|---------|----⌫-⌫|
la facedeue t rece urontlegui erredun delor	-|---|--|-⌫|----⌫----|-|---⌫------|-|--|
ch ascuns selon cequilauraifait	--⌫-----|----|-|-|-|----|---|
ou bien ou	-|---|-|
cil dex qui	--|--|--|
le gra indefromantfait	-|---⌫-|-|------|---|
morir purri ren terre etle faitreuiure crai street	----|-----⌫|-|----|-|-|---|------|----⌫---|-|
fru ctifierciltotes	---⌫------|--|----|
genzenloresperi tet e nlorcharferai	---|-|--|------⌫|-|-⌫|--|---|----|
uenir de mort auieaior douiuigem ant	----|-|---||--||--|--|------⌫--|
etp r anla sambl ancedou	-|-⌫-⌫-|-|-----⌫---|--|
selilyons p ersonsoffl ema ntfa it reuiu re sesfeons	-|-|----|-⌫-|--|-----⌫---⌫-|--⌫-|-----⌫-|--|----|
morsatier ior il n estp as mareu oille	---||---|--|-||--|-⌫-|-----⌫----|
