unemeniere de gent sunt	--|------|-|---|---|
aucheua lieratrai tdouuentre	-|-----⌫---||----⌫|--|-----|
lespe edont c est oit	|----⌫|---||---⌫--|
tantot cest ala	-----||--||-|
grantaleur edroitaskaroles	----|-----⌫|----|-|------|
tenirlonguesparoles	----|------|------|
t outmaintenantala du chesce	-⌫--|---------||-|--⌫-----|
enare ndue	-||--⌫---|
sapr om esce	-|--⌫--⌫---|
siqu en chieflia em b atue	-|-|-|----|-||--⌫-⌫---|
qu e iltenoitnue	--⌫|-|-----|--|
sansparl ercartropfuiriez	---|----⌫-|--|---|-|----|
la duchescechieta ses	-|-------|----||--|
uoianttousc e xdela contree	-----|---|-⌫-⌫|-|-|------|
dont fulafestesitroublee	---|-|-|----|-|-------|
des cheualiers quila estoie nt	--|---------|--|-|------⌫-|
quigrantioiemené auoient	--|----|---|----|------|
etlorslidustout	-|---|-|--|---|
aussistost	-----|---|
adoncs esmeruillerent	----||-------------|
disttoutlaffaire	---|---||------|
enmilacort	---|-|---|
lors niace lui quineplort	---||||--⌫--|--|-|----|
etme esmentkantiluoi o ient	-|--⌫-----|---|-|---⌫-⌫---|
lesamansquimortestoient	--|----|--|---|-------|
etladuch esce d autrepart	-|-|----⌫---||----|---|
a deuletacorrouzsepart	|---|-||------|-|---|
lacorset ameschietu ilain	-|---|-||-------|-⌫----|
lidusen terrer lendemai n	-|--|--⌫-----||-------⌫|
fi st lesama n s ensa rquieu	--⌫-|--|---⌫-⌫|-|--⌫-----|
e tladuc h esceen autrelieu	-⌫|-|---⌫-⌫---|-|----|---|
lauenture ot	|-------|-|
conquespuis ne l oi ton	|-----|---|-||--⌫|-|
errantpris t lac rois doutreme r	-----|----⌫|-|-⌫---||-------⌫|
ouil ala sansret orner	-|-|--|---|---⌫----|
sifuilleuc oppiteliers	-|-|-----|----------|
hediextrestousc ilz	-|---|-------|-⌫--|
enco m briers	----⌫-⌫-----|
etci smesch iez porcea uint	-|--⌫|-----⌫--|--|-|-⌫---|
q uauche ualier	-⌫|-|---⌫-----|
tantmesauint	---|-------|
qu il di t ce	-|-|--⌫|-|
quecelerdeuoit	--|----|-----|
etq uedesfenduliauoit	-|-⌫-|-------|-|----|
samie q ui neledeist	|---|-⌫||-|-|----|
tant com sa m orauoiruoussist	---|--||-⌫-⌫-|----|-------|
etparcest exemple doitlen	-|--|---|------|---|--|
samorc elerparsi grantsen	|---|-⌫---|--|-|----|--|
que on aitto uiors r emenbrance	--|-|--|--⌫----|-⌫---------|
la perdepartelme sc hea nce	-|----|--|--|--⌫--⌫---⌫--|
quelidescouurirrie n ne	--|-|---------|---⌫|-|
et licelersento uspoins uaut	-|-|-----|-|--⌫-|----|---|
entousestassoitbassoi thaut	-|---|----|---|--|---⌫|---|
qu einsisle faitne cri ent	-|-----|-|---|-|---⌫--|
desfau s felons enque reours	--|---⌫|-----|-----⌫-----|
quienquierent	--|---------|
dautrui a mou rs	|-----|-⌫---⌫-|
