signororescoutésque	-----|-|--------|--|
d roi tescapee	-⌫---⌫|------|
enseltre u	--|-|---⌫|
targeenestre mese	----|-|--|--⌫---|
et lipaien	-|-|----|
pa rmilapree	--⌫--|-|---|
sitrainelala nceu iese	-|-----|-|--⌫--|-⌫---|
aiols getelamainsi	----|---|-|---|-|
tr aitlespe e	--⌫--||----⌫|
siu aitferi rle turc	-|-⌫--|----⌫|-|---|
quela t este liadu	--|-|-⌫---|-||-|
bu se uree	-|--⌫---|
liquars s enua	-|----||-|-|
e tqua ntleuo itli	-⌫|---⌫-|-|--⌫-|-|
ber neli agree	--|-|-|----|
si aquelliceluiparmil	-|------|----|----||
qu itrainoit l alance	--⌫|-------|-⌫|----|
uiese enfumee	----|------|
apres luie st u enussans	----|--|-⌫-|-⌫---|---|
haute mentli escrie amis	-----⌫---|-|-----|---|
bia usfrere	---⌫-|----|
carmerendésmalance	--|-|------|-|----|
si l uosagre e	|-⌫|--|----⌫|
ca rla moie es tplus	--⌫|-|---|--⌫|---|
roideetenfe ree	----|-|----⌫--|
yysous uous	-|---|---|
donrai d e	-----|-⌫|
ceusme carga	---|-|----|
l au triermesp er es	|--⌫----|--|-⌫--⌫-|
li paiens lent endi qui	-|-----||---⌫---|--|
ilatraine e	-||------⌫|
iltrestornelamainius	-|--------|-|---|--|
aesperon s	|-------⌫|
parmi l apree	----|-⌫|---|
et aiols a selance	-|----||-|----|
tostrecouree	---|-------|
contre mo ntuersleciel	------⌫--⌫-|---|-|---|
sil a leuee	-|||----|
da meldieudist il	--⌫------|---|-|
sireglorieus pe re	---|-------|--⌫-|
ora ioubienueu	-||--|---|--|
ioustemembree	-----|------|
ahi c ornel saués	--||-|-||-----|
elies per es	----|---⌫-|
que iais i	--||-|-⌫|
bataill echi afi nee	-------⌫|--|---⌫--|
d ieussil ie	-⌫---|-|-⌫-|
en fuisi és	-|-----⌫--|
iene saiquicil	-|-|--|--|--|
sont dequelco ntree	---|-|---|--⌫----|
dam eldieum e confongel i	---⌫-----|-⌫|-------|-⌫|
uoirsaueres	---|------|
l or a uoir en	-⌫-|-⌫---|-|
porcdes ree	---|---⌫--|
nesuipasmarcheans q u	-|--|--|--------|-⌫|
aiebo rsee	--|--⌫---|
ainsm enuois	---||-|---|
reconquerrelonhor	----------||----|
dontmamereest a	---|-|---|--||
tort escaitiuee	---|---------|
i l entra en	-⌫|----|-|
g rant etferee	-⌫---|-|----|
et trespasselesmonset	-|--------|--|---|-|
les ualees	--|-----|
adonc fuilmoltde	----|-|-|---|-|
la uespree	-|------|
aiol rec laimedieule	---|---⌫----|---|-|
ueraisauere	----|-----|
ostellidoinst	----|-|-----|
li no str epere	-|--⌫---⌫|---|
il troua zzostelel	-|----|-|----|-|
selue clere	----|----|
demoines iade	-|-----|||-|
lamor dedieu	|---|-|---|
bien l ost e lerent	---||---⌫-⌫-----|
painetuina l enfant	---|-|--|||-----|
pordexdonerent	--|--|-------|
marchegai sonde st ri er li	--------|--|--⌫--⌫--⌫-|-|
est abl erent	---⌫---⌫----|
tresenmilemaison li	---|---|-|-----|-|
assen erent	-----⌫----|
del auainee t del	-||-----|-⌫|--|
feure selixxx	----|-|-|--|
edieussi berle	|----|-|--|-|
fissent cose	------|---|
e stprouee	-⌫-|-----|
ilauoity ylarons	-|----|-⌫|-----|
lacontre e	-|------⌫|
souen tles assaill oita s	-----⌫|--|-------⌫--|-⌫|
mien uitlaiens	----⌫--|-----|
ent re r ent	---⌫--⌫-⌫--|
lesmoignesdel aiens	--|------|-|-⌫----|
enkenbelerent	------------|
lor escrin	--|-----|
et lor ar ces	-|--|--⌫--|
to us deffremerent	--⌫-|-----------|
lesl i ures etles dras	--|-⌫-⌫---|-|--|---|
tous en ieterent	---|-|-------|
ettrest outlautr e	-|-----⌫--||----⌫|
qu ilitrouerent	-|-||--------|
etde sor marchegaitre stout	-|--⌫--|--------|---⌫----|
aiols dortdautrepart	----|---||----|---|
n etrouerent	-⌫|--------|
