kipetitsemmepetitque lt	-|----|----|----|---⌫-|
ieuospriquamal neteigni ez	-|--|--|-||--|-|------⌫-|
chequauostre salume	--|-||-----|---|-|
d ire respondreneuospeuc	|--|--------|-|--|---|
que li pire	--|-|---|
ane m isquei	---⌫-⌫-|--||
qu iplusmehetetplus mesmaie	--⌫|---|-|--|-|---||-----|
machi materr econ tredite	||--|-|----⌫|---⌫------|
quetotequ ite	--|---|--⌫--|
distquil laura	---|-|-||---|
ou weille ou non	-|-----|-|--|
liuer maxcheualier sa	-|---⌫--|---------⌫||
delaforestdequinq uero i	-|-|-----|-|-----⌫----⌫|
et la roinedeu antmoi	-|-|----|---⌫--|--|
estoitchiuenueseoir	-----|--|----|----|
porc onforteretp or ue o i r	--|-⌫-------|-|-⌫-|--⌫-⌫-⌫|
les cheualiers quisont blechié	--|---------|--|---|-------|
nemeust g airescorrechie ́	-||---|-⌫----|---------⌫|
li cheu aliersde quanquildist	-|----⌫-----|-|-----|-|---|
maisdeuant moi m acolpe	---|-----|--|-⌫|----|
etsifolement lenleua	-|-|-------||-----|
la roineuersa	-|----|----|
totleuindontele	--|-|--|---|--|
e stoi t plaine	-⌫----⌫|-----|
chiothont e lai de etuilaine	--|-|----⌫|---⌫-|-|------|
roi neen est	---⌫-|-|--|
d e corroz etdireenflammee	-⌫|-----|-||--|--------|
chambreou ele	------|-|--|
nene quitp asse dex mait	-|-|---|-⌫-|-|--||--|
qu eeleenpu i st	--⌫|--|-|--⌫-⌫-|
eschaperuiue	-------|---|
li ualle s	-|-----⌫|
nepriseunechiue	-|----|--|----|
quanques l irois li distet conte	-------|-⌫|---|-|---|-|----|
n e de sondol ned e sahonte	-⌫|-|--|--|-|-⌫|-|----|
d esafeme n e	-⌫|-|---|-⌫|
li cha util	-|---⌫-|-|
cheualierfait	--------|---|
sirerois c ara lerm e nwe il	---|---|-⌫-|-⌫--||-⌫|--⌫-|
cler et riantfurentlioe il	---|-|----|-----|-|--⌫-|
en lateste auu alletsaluage	-|-|----|-|-⌫----|------|
nusqui leuoi t neltient	--|--|-|---⌫|-||----|
maistrestotcilquil e ueoie nt	---|------|--|--|-⌫|-----⌫-|
letenoient	-|-------|
l iroisdescen dez	-⌫|---|------⌫--|
etuostr e chaceor re ndez	-|-----⌫|------|--⌫---|
a unu alletselgardera	|-|-⌫----|-||------|
etuostre uolentefera	-|-----|------|---|
cheu ali ersserezi usq u	----⌫---⌫--|----|-⌫---⌫|
onoretauostrepre u	---|-||-----|---⌫|
et l iuallesarespondu	-|-⌫|-----||-------|
ianestoient	-||-------|
pas descend u	--|-------⌫|
en con traienl aland e	--⌫---⌫---|-|-⌫|----⌫|
etuosuolezqueie	-|--|----|--|-|
iaparmonchiefne	-|--|--|----|-|
desc endrai	----⌫-----|
maisfaites tostsimenirai	---|-----|---|-||-|---|
hafait lirois bi ax amischiers	-|---|-|---|--⌫-|---|-----|
ieleferaimo l t uole ntiers	-|-|----|--⌫-⌫|----⌫-----|
a uostrepreueta	|-----|---|-||
foi quei edoialcreatou r	--|--|-⌫|--|-|-------⌫|
faitliua llesbiax sireroi s	---|-|--⌫---|---|---|---⌫|
nesera i cheualiersdes	-|----⌫|---------|--|
se cheualiers uermeusnesui	-|---------|------|-|--|
donezmoi lesarmescelui	----|--|--|----|----|
quiuostrecolp edoremporte	--|-----|----⌫||-|------|
que i encontraideuantl aporte	--||--------|-----|-⌫|----|
liseneschax q uifu	-|--------|-⌫-|-|
deche quilot	-|--|-|-|-|
estcorreciez	--|--------|
et distamisu osauezdroit	-|---|---|-⌫-|---|----|
al ezlu ito lir orendroit	--⌫-|--⌫|--⌫--|--------|
le sarmescar elessont uos	--⌫|----|--|---|---|--|
nefeist esmi equesos	-|-----⌫-|--⌫|--|--|
queuospor ch e	--|--|--|--⌫|
uenistescha	-------|--|
liroislo tsise nco rrech a	-|---||-⌫|-||-⌫|--⌫-----⌫|
etdista keugrantt ort auez	-|---||--|----|-⌫--|---|
quileualletchiramprosnez	--|-|-----|--|---------|
a preudome esttropgransuisce s	|-------|--|---|----|-----⌫|
porchese liua lle s est niches	--|--|-|-|--⌫---⌫|--|-----|
il p uet cestregentixhom	-|-⌫--||----|-----|--|
que illiuientda pri sion	--|-|-|----||-⌫---⌫---|
quilaesté a	-|-||----||
maluaismestre	------|-----|
enc orepu etpreusuassaxestre	---⌫--|--⌫-|----|-----|----|
uil onnieest dautrui	---⌫----|--||-----|
etde pr ometre sa nz	-|-|--⌫-----|--⌫-|
p r e udomnese doitentremetre	-⌫-⌫-⌫---|-|-|---|---------|
deriennu leaautruiprometre	-|---|--⌫-||-----|-------|
quedonern eli puisse ou ueille	--|----|-⌫|-|-----|-|-----|
que l em al greceluinacueille	--|-⌫|-⌫--⌫--|----||-------|
qui s anzprometreestsesamis	--|-⌫--|-------|--|--|---|
etdesq u e	-|----⌫-⌫|
pr omess eau oir	--⌫-----⌫|--⌫--|
e t p or ce	-⌫|-⌫-|-|
sipoe zsauoir	-|---⌫|-----|
q uasse zuenroit ilmixdoner	-⌫|----⌫|------|-|--|----|
ahomequefaireba er	|---|--|----|--⌫-|
le uoir dire enuolroit	-|---|---|-|------|
soimeisme gabeetdechoit	--|-----|---|-|------|
pr ame sseet	--⌫---⌫--|-|
lecuer deso namise talt	-|---|-|--⌫|--|-|---|
ensi li roisakeparloit	---|-|---||-|------|
uallesq ui sen alo i t	-----|-⌫-||-|---⌫-⌫|
a unepuceleueue	|--|-----|---|
b eleetgente si lesalue	-⌫--|-|----|-|-|----|
etelelui etsi li	-|--|--|-|-|-|
et en riantitantlidist	-|-|----|----|-|---|
ua l letse tuuispar ea ge	--⌫-⌫--|-|-|--|--|--⌫-|
cepen set c roi enmonco r a ge	-|---⌫|-|-⌫--|-|--|--⌫-⌫-⌫-|
qu entrestotl emonde	-|-|------|-⌫|----|
nilnertneonn e	|-||--|-|-|-⌫|
n ulmeil lorcheualierde toi	-⌫-|----⌫--|--------|-|--|
einsilepens et cu it	----|-|---|-|--⌫-|
et lapucel enauo itr is	-|-|-----⌫||---⌫-|-⌫-|
passéauoitans plusdesis	-----|----|--|---|-|--|
et cedi stelesi en haut	-|-|--⌫-|--|-|-|---|
oire ntetkexsaut	----⌫-|-|--|---|
cu ilaparole anuiamolt	--⌫|-|-----|----|---|
s elidonacopsiestolt	-⌫|-|---|--|-|-----|
dela p almeenlafacetendre	-|-|-⌫---|-|-|---|-----|
queillefist aterreestendre	--|-|-|---||----|-------|
q uantlapu cel eferuot	-⌫---|-|--⌫---⌫|---|-|
enson retortrouaun s ot	-|--|----|----|-|-⌫-|
le zunech emineees ta nt	--⌫|--|--⌫-----|--⌫--⌫-|
sile bouta el	-|-|----|-|
de l piepar c orroz et	--⌫|--|--|-⌫----|-|
quelisos s olo itd ire	--|-|--|-⌫---⌫-|-⌫--|
ceste pucelenerira	----|-----|-|---|
iusquatantqueeleuerra	----|-------|--|----|
celuiquideche ual erie	----|--|-|---⌫---⌫---|
auratoute laseigno r ie	---|----|-|------⌫-⌫-|
einsi cil crie etcelepleure	----|--|---|-|---|-----|
etli ualle s	-|-|-----⌫|
plusnedemeure	---|-|------|
ains senretornesanz conseil	---||-|------|---|------|
apresle cheu al i eruermeil	----|-|----⌫--⌫-⌫-|------|
yuo nesqui les drois	---⌫--|--|--|----|
sauoit tozetmolt uolent iers	-----|--|-|---|------⌫---|
aporto it nou elesacort	------⌫-|---⌫---||---|
sanscompa ig non sen	---|-----⌫--⌫--||-|
parunuergie dalezla sale	--|-|-----|----|-|---|
etpa r une	-|--⌫|--|
post erne auale	----⌫---|----|
t antquiluintau	-⌫----|-|---|-|
chemin to t droit	-----|--⌫|----|
che ualiers atendoi t	---⌫------|-------⌫|
cheualerieet	---------|-|
etli ualles grantaleur e	-|-|-----|----|-----⌫|
uintuersluipor sesar mes	---|---|--|--|--|--⌫--|
etlic heual iers por	-|-|-⌫-----⌫---|--|
auoit lacolped or iusmise	----|-|----||-|--|---|
perro nd erochebise	-----⌫|-⌫|----|---|
uallesaprochié	-----|--------|
t antque liunslautre	-⌫-----|-|--||----|
silicriamet ez	-|-|---|---⌫-|
l es armesnesporterezplus	-⌫-|----||-|-------|---|
queliro isar tusleuosmande	--|-|--⌫-|--⌫--|-|--|----|
cheual ierslidemande	------⌫---|-|------|
ua lletosen us	--⌫---|--|-⌫-|
ch aueni r	--⌫|----⌫|
porledr oitle roi	--|-|--⌫--|-|--|
senusiu ientnelcele r pa s	-|--||-⌫---|-||----⌫|--⌫|
comentdeableest	-----|-----|--|
danscheua liersq ueuosmefaites	---|-----⌫----|-⌫-|--|-|-----|
nauezmes armestrait es	|---|--|----|-----⌫-|
ostez l es tostiel	----|-⌫-|---|-||
uos comant	--|-----|
ua lletfaitc ilietedemant	--⌫---|---|-⌫-|-|-|-----|
senusuientchadeparle roi	-|--|----|--|-|--|-|--|
quic ombatr e seweillea	--|-⌫------⌫|-|-----||
danscheualiers carost eztost	---|---------|--|---⌫-|---|
queien esuosost	--|-||-|--|--|
quep lusnelesuos so fferroie	--|-⌫--|-|--|--|--⌫-------|
biensachiezque	---|------|--|
ieuo sferroie	-|--⌫|------|
se p lu s parle rme nfasiiez	-|-⌫--⌫|-----⌫||-⌫|------|
lors f uli cheuali ersiriez	---|-⌫|-|-------⌫--|----|
a a deusmai nsleuee	||---|---⌫-|----|
et silendonete lcolee	-|-||-|---|--⌫|----|
pa rl es espa ullesentrauers	--⌫|-⌫-|----⌫----|-|------|
de l aou n estoit paslifers	-|-⌫|-||-----|--|-|---|
quillefistembronchiera ual	-|-|-|---|----------|-⌫--|
iusq ues sorle	----⌫--|--|-|
col delcheual	--|--|-----|
et liuallesf u correchiez	-|-|-----|-⌫|---------|
qu anti ls entiqu	--⌫--|-⌫|-⌫---|-|
il fublechiez	-|-|-------|
d e lacoleequilotprise	-⌫|-|----|-|-|-|----|
en loeilalmi exquilp otla uise	-||---|-|--⌫-|-|-|-⌫-||-⌫---|
etlaissealerlegauelot	-|-----|---|-|------|
siquil nentent	-|-|-||-----|
neuoit neot	-|---|-|-|
lef iertparmi l	-|-⌫---|----||
o eilelceruel	-⌫--|-|-----|
que dautrep a rt delh aterel	--||----|-⌫-⌫-|--|-⌫-----|
lesancet la	-|---|-|-|
ceruelee span t	------|-⌫----⌫|
cuersli mant	----|-|---|
siuerseetchi et tozestendus	-|----|-|---⌫-|--|-------|
et li uallesest	-|-|-----|--|
sim etlalancea	-|-⌫-|-|----||
u ne p art	-⌫-|-⌫--|
etlescu del col li depart	-||---|--|--|-|-----|
ma isilne set uenirachief	--⌫-|-|-|--|----||----|
qu ilas orle	-|-||-⌫-|-|
quil n eset	-|-|-⌫|--|
comenti l lepraigne	-----|-⌫|-|------|
etsatalent	-|||-----|
quil lid escaigne	-|-|-|-⌫-------|
lesp ee mais il n e lsetfaire	|---⌫-|---|-|-⌫||--|----|
nedelf uerre ne le	-|--|-⌫----|-|-|
p uettraire	-⌫--|-----|
ainsprentles peeetsach e ettire	---|----||--⌫--|-|----⌫|-|---|
comencearire	------||---|
quantl eualletuoitentrepris	----|-⌫|-----|---|--------|
i che qu e es tfai til amis	-⌫--|--⌫|--⌫|---⌫|-|---|
quef aite suosiene	--|-⌫----⌫|--|-|-|
ie quidoie	-|------|
quilm eustcesarme s donees	-|-||---|--|----⌫|-----|
ma is ainsaurai	--⌫-|---|----|
par c a rbonees	--|-⌫-⌫------|
tresto te sbraho né lemort	------⌫|-⌫------⌫--|-|---|
quenu ledesarmesen por t	--|--⌫-|--|----|--⌫---⌫|
queles setienentsi aucor s	-|---|-|------|-|-|---⌫|
ded ensetche defors	---⌫--|-|--|-----|
esttrest otun sicommoi	--|-----⌫-|-|-|--|--|
qu elessetienentsi	-|---|-|------|-|
orneuo scautde nule rien	-|-|--⌫|---|-|---|---|
que i e sd epartirai	--||-⌫|-⌫--------|
seuosuolez f ait	-|--|----|-⌫--|
faitesdont tostfait liu alles	-----|---|---|---|-|-⌫----|
ses me donez sans nula ret	|-|-|----|---|--|-⌫--|
tantostyuonessentremet	------|-----||-------|
qui dus quenlorteil le	--|---⌫-|-||-----|-|
desc hauce	----⌫----|
nial ess iéhaubercne	|||-⌫---⌫--|------|-|
nehiaume enchief	-|-----|-|----|
maisliuallessauesteure	---|-|-----|-|-------|
neuoltlaissier n e qui lpr eist	-|---|-------|-⌫|-|-⌫|--⌫---|
queiuonesli deist	--|-----|-|----|
unecotemoltaes ie	--|---|---|---⌫-|
de drapde soie	-|---|-|---|
quedesozson hauber cuestoit	--|----|--|------⌫|------|
li che ualier sq uant uisestoit	-|---⌫------⌫|-⌫---|--|-----|
nelipuet despiez	-|-|---|--|---|
lesr euelin squil otchauciez	--|-⌫------⌫|-|-|-|-------|
ainsdistde able	---|---|--⌫---|
est cheore	--|--|--|
chani eroieiemesbonsdras	-----⌫----|-|--|---|---|
quemameremefistlautrier	--|-|---|-|---||------|
po rlesdras a	--⌫|--|---||
che cheualier	--|--------|
m ag rossechemisede	-⌫|-⌫----|------|-|
soieq uist	---|-⌫-|-|
mole ettanuene	---|-|------|
uo ldriiezuos queielai ssasse	--⌫------|--|--|-|---⌫-----|
macoteleoua iguenepasse	-|-----|-|-⌫---|-|----|
entenroitgoute	-|------|----|
malditesoitla gorge tote	------|---|-|----|---|
qu icangeranauantnapres	--⌫|------||----||----|
sesbons dras	--|---|---|
por autres	--|-----|
mol tgriefchoseestdefol aprendre	---⌫|----|----|--|-|--|-------|
rienforslesarmesneuoltprendre	---|---|--|----|-|---|------|
porp roiereque onlifac e	--|-⌫-----|--|-|-|---⌫|
yu oneslesa rmesli lace	--⌫---|--|-⌫---|-|---|
r euelins lichauce	-⌫------|-|-----|
l esesp er onsdesorla	-⌫-|---⌫--⌫--|----|-|
puis lialeha ube rcue stu	---|-||-|--⌫---⌫-|--⌫--|
telc onques	--||-----|
nusmieldresnefu	--|-------|-|-|
et sor lacoiff e liassiet	-|--|-|-----⌫|-|-----|
le hiaume quimoltbien li	-|-----|--|---|---|-|
etd ele s p eeliensaign e	-|-⌫||-⌫-⌫-⌫-|-|-------⌫|
lasqueetpendantl e ch ain e	-----|-|------|-⌫|--⌫---⌫|
puis limet	---|-|--|
lepieenlest rier	-|--|-||---⌫---|
silefait m onterel dest rie r	-|-|---|-⌫----|-|----⌫---⌫|
ainsmaises t riersueun	---|---|--⌫-⌫----|--||
nedespe ronsrien ne sauoit	-||----⌫---|---|-|-----|
for sdecinglantou	---⌫|-|-------|-|
y uon e s l	-⌫---⌫-⌫||
esc ul iaporte	---⌫|-⌫|-----|
etlalance puis si l iba ille	-|-|----|---|-|-⌫|--⌫---|
aincoisq ueyuo ness	--------⌫-|---⌫--||
distliuallesamisp renez	---|-|-----|---|-⌫----|
monchaceorsilenmenez	--|------|-||------|
qu ilest moltbonset ieluos	-|-|--|---|---|-|-||--|
po rcheque ie n	--⌫|--|--|-||
enaimaissoing	-|-|---|----|
et port és	-|----⌫--|
sa colpele roi	-|----|-|--|
sile s aluésde par	-|-|-⌫-----|-|--|
etditestanta la puce le	-|----|---||-|----⌫-|
kekexferiso rlamai ssele	-|--|---|--⌫|-|---⌫----|
queseiepuis a insq ueiemuire	--|-|-|---|-⌫----⌫-|-|----|
li quitiemoltb ien metr equire	-|---|-|---|-⌫--|----⌫|----|
qu e por uengi e se tenra	--⌫|--|-----⌫|-|----|
etcilrespont	-|--|------|
queilrendra	--|-|-----|
au roisacolpe e tsonmessage	-|--|-|----|-⌫|--|------|
forn i ra il	----⌫-⌫-|-|
aloidesage	|--|-|---|
atantdeparte ntsisenu ont	----|-------⌫-|-||-|-⌫--|
enl a saleoulibaronsont	-|-⌫|---|-|-|----|---|
entreyuon esparmilaporte	----|----⌫-|----|-|----|
qu iauroi sa colperaporte	--⌫|-|--|-|----|------|
s il i distsire	-⌫|-⌫|---|---|
orfaitesioie	-|-----|---|
q ueuostrecolpeuosrenu oie	-⌫-|-----|----|--|----⌫--|
uostreche ualiers	-----|---⌫------|
dequelche ualierme distu	-|---|---⌫-----|-|--|-|
fait yuones de	---|-----|-|
qui orendroitparti	--|--------|----|
di studontdel	--⌫|-|---|--|
ualletgalois	-----|-----|
quimedemandafaitli rois	--|-|------|---|-|---|
lesarm esdesy nople tain t es	--|---⌫-|-|--⌫----|----⌫-⌫-|
aucheu alierquihontes maintes	-|----⌫----|--|-----|------|
mafaite sseloncsonpoo i r	||-----⌫|-----|--|---⌫-⌫|
lu idiieporuoir	--⌫|-|-|--|---|
etmacolpe c oment	-|-|----|-⌫----|
aimele tantetprisecil	---|-|---|-|----|--|
q u illiait d e songrerendue	-⌫|-|-|--|-⌫|--|--|-----|
aincois l i a si chieruendue	------|-⌫||-|----|-----|
liualles queil	-|-----|--|-|
etco ment fu	-|--⌫---|-|
chebi axam is	--|--⌫-|--⌫-|
s ir e ne sai	-⌫--⌫|-|--|
maisqueie ui	------|-|-|
qu e licheualiersle feri	--⌫|-|---------|-|---|
gr antanui	--⌫--|---|
etliuallesrefer i lui	-|-|-----|-----⌫|--|
dun gauelotp ar mi l ueilliere	|-|------|-⌫--⌫-||--------|
lif istpar	-|-⌫--|--|
de deriere	-|------|
lesancetle	-|---|-|-|
siqu i llefi sta terreestandre	-|-|-⌫|-|--⌫-||----|-------|
lors distliroisau	---|---|-|---|-|
ha keucoma uez huifaitmal	-|--|--|-⌫--|--|---|--|
p aruo strelangel enuiouse	-⌫-|--⌫---|----||-------|
q uiauradit e mainte oisouse	-⌫-|---|---⌫|-----|------|
mauez uos le ualettolu	|---|--|-|----|---|
quimoltmahui cestio rualu	--|---|||--|---|--⌫|---|
sirefaityuon esal roi	---|---|----⌫-|-|--|
par m onchief il	--|-⌫-|----|-|
m andapar moi	-⌫---|--|--|
ala pucelela roine	|-|-----|-|----|
que kex feriparaatine	--|--|---|--|-----|
pormaldelui e t	--|--|-|--|-⌫|
po r despit	--⌫|-----|
queil leuengera ce d it	--|-|-|------|-|-⌫-|
ets il emp uetuenir	-||-|-|-⌫--|----|
quisist dalezlefeu	--|---|----|-|--|
otlapa roleetsalt en	-|-|--⌫---|-|---|-|
etui ent deua nt le	-|--⌫--|----⌫-|-|
roitozliez	--|--|---|
s atelioi equiltrepeet salt	||--|---⌫|-|-|----|-|---|
e t di s tdans roissedie x me	-⌫|--⌫-⌫|---|---|-|---⌫|-|
oreapro che ntnosau enture s	--|----⌫---⌫-|--|--⌫------⌫|
def elenessesetde	-|-⌫--------|-|-|
enuerrezaue nirs ouen t	-|-----|---⌫--|-⌫----⌫|
et si uosmetbienen couent	-|-|--|--|---|-|-----|
quek ex puete st re tozc ertain s	--|-⌫-|---|-⌫--⌫-|--|-⌫------⌫|
quem aruit	--|-⌫-|--|
e tsesmains	-⌫|--|----|
etsalangue foleetu ilaine	-|-|-----|---|-|-⌫-----|
queai nsque	--|--⌫----|
pastunequinsaine	---|--|--------|
auralic heualiersuengié	---|-|-⌫--------|------|
lecopquilmedo nad el pie	-|--|-|-|-|--⌫-|-⌫-|--|
etlabuffeert	-|-|----|--|
mo ltbien rend ue	--⌫-|---|----⌫-|
et comperee et	-|-------|-|
chieruen due	----|---⌫--|
queildona alapucele	--|-|---||-|-----|
quee ntrelecouteet	--|-⌫---|-|----|-|
leb rasd es tre libriser a	-|-⌫--|-⌫--⌫--|-|------⌫|
un demi anleportera	-|---|-|-|------|
pe nd uetbienli	--⌫--⌫|-|---|||
ni p u et falirnequ al a mort	||-⌫-⌫-|----|-|-||-⌫|---|
cel eparolet ant greu a	---⌫|-----|-⌫--|----⌫|
il ne creua	-|-|----|
demautale ntetdecor roz	-|-------⌫-|-|-|---⌫--|
nelaladeuanttoz	-||--|-----|--|
telconraerqu emortleust	--|------|--⌫|---||---|
des pleust	---⌫-----|
laissaqueilnelenuai	-----|--|-|-||----|
et l i roisdistahiahi	-|-⌫|---|---|--|--|
m auezhuicor r e chié	|---|--|---⌫-⌫-⌫----|
qui assenéetadrecié	--|------|-|-------|
le ua lle taarmeseust	-|--⌫---⌫||----|---|
ta ntcunpoiaidierse nseust	--⌫--|-|--|-----||-⌫|----|
et del etd el alance	-|-||-|-⌫|-⌫|----|
bonscheua lier sfu stsa nz do utance	---|-----⌫----⌫|--⌫-|--⌫-|--⌫-----|
maisiln e nsetnepeune bien	---|-||-⌫|--|-|--|-|---|
darmesnedenul eautr erien	|----|-|-|---⌫|----⌫|---|
queneistrairenesar oit	--|---|-----|-|---⌫--|
sespeese besoingauoit	|----|-|------|----|
orsietarme zs o r soncheual	-|---|----⌫|-⌫-⌫|--|-----|
senconte rraalcun	|-------⌫--|----|
qu ipor soncheua l	--⌫|--|--|-----⌫|
gaaig nier	-----⌫---|
nelredou terameh aignier	-||-----⌫---|---⌫------|
t os tmorto u me ha ignié	-⌫--⌫|---|-⌫|--⌫--⌫-----|
qu e des fendrene se sara	--⌫|---⌫-----|-|-|---|
tantestnicheset bestiax	---|--|-----|-|------|
tostarafaitsesenui ax	---|--|---|--|----⌫-|
einsi li roisplaintetregr ate	----|-|---|-----|-|----⌫--|
le uallet et fait ch ieremate	-|-----|-|---|--⌫---|---|
nipuetrien	||---|---|
conqu ester	-----⌫----|
silaisselaparoleester	-|-----|-|-----|----|
et liuallessanzn ul	-|-|-----|---|-⌫-|
ua cheualc hant parla fo re s t	-|-------⌫---|--|-|--⌫--⌫-⌫|
plaine terreuien t	-----|----|----⌫|
s oru neriuie requi	-⌫-|-⌫-|-----⌫-|--|
dele plusdunearbales tee	-|-|---||--|-------⌫--|
sirestoitt ot e l iaue entr ee	-|------|-⌫--⌫||---|----⌫-|
et retraite	-|-------|
enson droit c onduit	-|--|----|-⌫-----|
ue r slagrant r iu ierequibruit	--⌫-⌫|-|----|-⌫--⌫---|--|----|
senua toute	|-|-|----|
unep raerie	--|-⌫-----|
maisenl ia ue	---|-||--⌫-|
n entr ailmie	|----⌫|-|--|
quilleui tmolt	-|-|-|--⌫|---|
corant et noire	-----|-|----|
assezpl usparfon de qu e l oire	----|--⌫-|------⌫-|--⌫|-⌫---|
sisenuatot seloncla	-||-|-|--|-----|-|
lezune grantroc h en aiue	--|--|----|---⌫-⌫|-⌫---|
qui d au trepartde	--||--⌫--|---|-|
liaue e stoi t	|---|-⌫----⌫|
liauealp ie li	|---|-|-⌫-|-|
s or celeroche	-⌫-|---|----|
enunpendant	-|-|------|
meraloitdescen dant	--|----|------⌫---|
ot uncha stel moltricheet	-|-|---⌫---|---|----|-|
sicoml iauealoitaregort	-|--||---|----||-----|
torna li ualles a sen e stre	----|-|-----||---⌫-⌫---|
lestorschastelnestre	--|---|------|-----|
quauislifu qu elesnaiss oie nt	-|---|-|-|-|---|-----⌫---⌫-|
et queforsdela rocheissoient	-|--|---|-|-|----|-------|
enmilecha stel enestant	---|-|---⌫---|-|-----|
ot unetoretfortet grant	-|--|--|-|---|-|----|
unebarbacane	--|--------|
to rneeuersleg ort	--⌫---|---|-|-⌫--|
quialamer se combatoit	--||-|--|-|--------|
et la mersau pielib a toit	-|-|---|-|--|-|-⌫-⌫---|
aquatreparties delmur	|-----|------|--|--|
dont l i quarrele stoient dur	---|-⌫|------|-⌫------|--|
auoit qua treba sse storne les	----|---⌫--|--⌫---⌫|-----⌫--|
qu imolt e stoientf orse tb eles	--⌫|---|-⌫------|-⌫--|-⌫|-⌫---|
lichast iax fumolt bienseans	-|-----⌫--|-|---|---|----|
et bienaesiezpar deda ns	-|---|-----|--|----⌫-|
deuant lechastelet roont	-----|-|--------|----|
otsor li aued recie ́ un pont	-|--||-⌫--|-⌫-----⌫|-|---|
depierred arai ne decaus	-|-----||----⌫-|-|---|
lipons estoi tetfor s et haus	-|---|-----⌫|-|---⌫|-|---|
a batai ll e s es toitentor	|-----⌫--⌫-⌫|--⌫---|----|
enm i lepont u ne tour	---⌫|-|---|-⌫-|---|
et deu antun ponttor neis	-|---⌫--|-|---|---⌫---|
quies toitfaiset est ablis	--|--⌫---|---|-|---⌫----|
a ch eques a droitureaporte	|--⌫|--|-⌫|-------|-----|
ponsetlanuitporte	---|-|-|---|----|
liuallesuers lepontchemine	-|-----|---|-|---|------|
uestusdun e robep or prine	-----||--⌫|---|-⌫--⌫----|
unspreudomes bata nt	--|------|--⌫----⌫-|
lep ont esuosatant	-|-⌫--|-|--|----|
celuiqui uers lepo ntuenoit	----|--|---|-|--⌫-|-----|
li pr eudomensamaint en oit	-|--⌫----|-|-|---|-⌫--⌫--|
parcontenanceun b a sto n et	--|---------|-|-⌫-⌫---⌫-⌫-|
etapresl ui furentuallet	-|----|-⌫-|-----|-----|
doitotde saffubléue n u	--|--|--⌫--------|--⌫-⌫|
li uall esa bienretenu	-|----⌫-||---|-----|
cequesamere li apr ist	-|--|-|---|-|---⌫--|
carillesaluaetdist	--|-|-|----|-|---|
s ireceme nsaigna	-⌫--|-||-⌫------|
di exbeneie toibiaxfrere	--⌫-|-----|--|---|----|
preudom quiniche	------|--|----|
au par lerreconeu l o t	-|---⌫--|------||-⌫|
etdistbiaxfre redontuiens	-|---|---|---⌫-|---|----|
dontdela co rtleroiar tu	---|-|-|--⌫-|-|--|--⌫-|
f eischeualiermafait	-⌫--|--------|||---|
quiboneauentu reait	--|---|------⌫-|--|
cheu aliersedex bi en	----⌫----|-|--|--⌫-|
nequid oiecoren	-|----⌫--||-|-|
d etelchoseli	-⌫|--|----|-|
d elquidoie	|-|------|
quilli ten ist	-|-|-|---⌫--|
oreq ue de	--|-⌫-|-|
che ualiersfaire	---⌫------|----|
ormedifr ere de bon aire	-|-|-|--⌫--|--⌫---⌫---|
cesarmesquilestebaill a	--|----|--|--|-|-----⌫|
lir ois fait	-|-⌫--|---|
illemesdo na	-|-|--|--⌫-|
d onac omentet illico nte	-⌫--|-⌫----|-|-|-|--⌫--|
sicome oia ueze l	-|---|-|-⌫--|-⌫|
quiautre fois l econt eroit	--|----|---|-⌫|----⌫----|
anuiset oiseuseseroit	----|-|------|-----|
quenusco ntes de cena mende	--|--|--⌫---|-|-||-⌫----|
etli p reud omliredemande	-|-|-⌫----⌫-|-|--------|
quil setf ai red e	-|-|--|-⌫--⌫-|-⌫|
son cheu al	--|----⌫-|
iel co rcbien amontetaua l	-||--⌫-|---|----|-|---⌫|
tot autresi	--|------|
comiecoroie	--|-|-----|
lechaceor queie	-|------|--|-|
quenla ma isonma mere pris	-|-|-|--⌫---|-|---|---|
et d e uos a r mesbiaxami s	-|-⌫|--|-⌫-⌫--|---|---⌫|
m ereditesque saue z faire	-⌫|------|--|----⌫|----|
ies sai bie nu est ir	|-|--|---⌫|-⌫---⌫-|
etr etraire	-|-⌫------|
s icom liuallesmen a r ma	-⌫|--|-|-----||-|-⌫-⌫-|
quideuan t	--|-----⌫|
moiend e sarma	--|-|-⌫-⌫----|
le che ualierquauoie mort	-|---⌫-----|-|----|---|
etsil egierement lespor t	-|-|-⌫---------|--|---⌫|
qu el esn emegrieuentde	-|--⌫-|-⌫|-|-------|-|
f oi ce prisiem o lt	-⌫-|-|---|-|-⌫-⌫-|
faitlipreudo me tmolt	---|-|------⌫|-⌫|---|
or meditess ineuos griet	-|-|----|-⌫|-|--|----|
quelsbesoinzu osam en acha	----|------|-⌫-|--⌫--⌫|--|
sirema mere mensa igna	---|-|---||----⌫---|
q ueuerslespreudomesa laisse	-⌫-|---|--|--------|-⌫-----|
enquelqueliu q uei es trouaisse	-|------|--|-⌫-||-|--------|
si creissecequil diroient	-|------|-|-|-|-------|
q uepreui on tcil qui	-⌫-|---||--⌫|--|--|
lescroient	--|------|
etl i p reudom respontbiaxfrere	-|-⌫|-⌫-----|------|---|----|
beneoitesoit	-------|---|
u ostreme re	-⌫----|--⌫-|
uos co nse illabien	--|--⌫---⌫---|---|
