aladolour del	|-|-----|--|
peisons l ec ho seski naiscentau ou gles	------|-⌫|-⌫--⌫--|-|-------|--⌫--⌫---|
ralume ki souen tle	-----|-|-----⌫|-|
uetconchoi ure enbl ankeuisaige .	--|-------⌫--|-|--⌫---|------||
legamandrebeueis auec	-|-------|-----|---|
seiletaiguepa ryy iors	---|-|----|--⌫|-|---|
se ne uos lairatc o ncoiu r eblanke u isaige	-|-|--|-----|-⌫-⌫-----⌫-⌫|-----|-⌫-----|
faitsain c quailésequefemmearestraintki	---|----⌫|------|-|--|----|---------|-|
le b oitsouent .	-|-⌫--|-----||
dec ontreoie etmaluaise alaine.	---⌫----|--|-|-------|-----||
l e iu barbes tampeize tle i us ceuissezet metteizes	-⌫|--⌫----|-⌫------|-⌫|-|-⌫-|-------|-|------|-|
orreilhessifer ato ir	--------|-|---⌫-|-⌫-|
elcuisn e men t t oltlemaluaisealaine i lh	||-----⌫-⌫---⌫|-⌫--|-|-------|-----|-⌫-|
souent l e	-----|-⌫|
dec ontrele sdo lours de luentre.	---⌫----|--⌫|--⌫----|--⌫|-----||
etorment elle doneisboirdecont re toutesles dolo urs	|-------⌫---|-----|---|------⌫-|-----|--|----⌫--|
deluen tre .	--|---⌫--||
asdisinter iesualt aluin.	-|--------⌫--|---|-|--||
etalsaindeporke	-|-|---|-|----|
kich aidele boit.	-|--⌫---|-|---||
etalle corrence encontr e menison .	-|---|-------|-------⌫|------||
az os brisiés	-|-|-------|
maluai sse alaine .	------⌫--|-----||
les ui oletesdo neis boire ki	--|--⌫-----|--⌫---|----|-|
les osa t brisiésenaigue multest bonea	--|-|-⌫|-------|-|----|---|--|---||
lesflours enprend eis	--|-----|-|-----⌫--|
etlemire etlecanelleettrulleis	-|-|---|-|-|------|-|-------|
bien etdest empre isaaisil	---|-|----⌫-----⌫-||----|
et m etteis en narinnes	-|-⌫-----|-|-------|
c e lui ucele i	-⌫-⌫--||----⌫|
ki mal uaissealaine at.	-|---⌫-----|-----|-||
p orl aco rren ce estchi	-⌫-|-⌫|--⌫----⌫-|--|--|
lenimpheie	-|-------|
d oneisboire .	-⌫----|----||
lemer etrissi lasquerontalques	-|---⌫----|-|---------|-----|
por c o ren c e	--|-⌫-⌫---⌫-⌫|
a uecuiesuien etlarc hau t poryy	-⌫--|---|---|-|--|-⌫---⌫|--|-|
de contrelesco illonsetl epiz.	--⌫-----|--|--⌫-----|-|-⌫|--||
l e racine delc odion prendeisetaisil	-⌫|-----|--|-⌫----|-------|-|----|
e n forbi eett ruil eis sorlescoillons	-⌫|-----⌫|-|-⌫----⌫--|--|--|-------|
sisane runt	-|----⌫---|
le m plaiste del	|-⌫-⌫------|--|
coldionledolour	------|-|-----|
despizsanerattote	--|--|------|---|
pare nflure	--|-⌫-----|
et puachre	-|------|
etmamelles	-|-------|
li k enelieke	-|-⌫-----|-|
on apelsimph o niake	-|---|-----⌫-⌫----|
estbon n e	--|---⌫-⌫|
e s t ampei e so renflureet	-⌫-⌫-⌫-----⌫|--⌫|------|-|
sor lepizetsorpoachr e et	--|-|--|-|--|------⌫|-|
sormam ellesetso r lesde ns	--|---⌫----|-|--⌫|--|--⌫-|
pa rconc hoire.	--⌫|----⌫----||
cesteer b eestbonne	----|--⌫-⌫|--|----|
afemmeki nepuet conchoiure	|----|-|-|---|---------|
quantellesietenbaingn esel	----|---|---|-|------⌫|-||
endoitonsdoneiryygrainsau ecu i enet	-|---|--|-----|-|-----|--⌫-|-⌫-⌫-|-|
auecnaturede lieur e	---|-----|-|-----⌫|
par yyiorsseconciuratsedo ntgeist	--|-|---|-|--------|-|--⌫-|----|
pac heuea zcrei streest .	-|-⌫-----⌫|----⌫---|--||
cesteherbe tempreie yyiorsetauec	----|----|-------|-|---|-|---|
oilieetai g ue et	----|-|--⌫-⌫-|-|
lecuisetsenongies uo	-|---|-||-|-----|-|
cie f se cresteronsuo stre cheue az.	---⌫|-|---------|--⌫---|-----⌫-||
azdes seneisest.	-|---⌫-----|--||
le semenc edelgentiane etlesemencedel	-|------⌫|--|-------|-|-|------|--|
rue doneiz boireauec ai silaz	--|-----|----|---|--⌫--|-|
dese neizsi reuenront e n	----⌫---|-|--------|-⌫|
et quantlif emm eatenfan teit au ecuie nleboiue	-|----|-|-⌫---⌫|-|-----⌫---|--⌫-|---⌫|-|----|
se li e st	-|-|-⌫-|
kiparole par	-|-----|--|
et aplaie .	-||----||
cesth erbedoneis boire	---|-⌫---|-----|----|
ki par nuit	-|--|---|
par olech ekeilho t	---⌫--|--⌫|-|--|-⌫|
auecu ien etbonoite	---|-⌫--|-|------|
et a pl aiesaneir estbo ne.	-||--⌫--|-----|--|--⌫-||
azenher beizet acea z cui aiguecre is te n	-|-----⌫---|-||---⌫|--|----|---⌫--⌫|-⌫|
cest herbedonezboi reaz enerbeiz	---|----|----|---⌫-|-|-------|
auecuie suien paryy iorset	---|---⌫|---|--|-|---|-|
a c eazcuiaigue	|-⌫--|--|----|
creistenla	-----|-|-|
c est paruomir	|--|--|----|
cesthe rbe fa it	---|--⌫--|--⌫-|
ki leboit au eclai tde	-|-|---|--⌫-|---⌫|-|
chiu reet enz cuite paryy iors	----⌫-|-|--|----|--|-|---|
etcuiliuentrestrobul iesil	-|--|-|------|------⌫-|-||
boiueaue cu ienet.	----|---⌫|-⌫--|-||
paruermis seaz.	--|------⌫---||
decontremorsu rr ede s erpen t.	-------|-----⌫--⌫|-|-⌫-----⌫||
ce sther b e	--⌫-|---⌫-⌫|
don emaingie rau ecuefsi ociratlesuermiseaz	---⌫|-------⌫|--⌫-|--|-|-----|--|--------|
cest herb e	---|----⌫|
prendei zsilestampe iz	-------⌫|-|-|------⌫-|
donei s boi re	-----⌫|---⌫-|
aceazcu iserpens atmors	|---|--⌫|------|-|---|
auiezui e n .	|---|--⌫-⌫||
parle maltris par co nception.	--|-|------|--|--⌫-------||
l i le racine	-⌫|-|-----|
decestherbee tlepoizetoin ts	-|---|----|-⌫|-|---|-|---⌫||
en fa u ces emplastreetsimetteis	-|--⌫-⌫--|--------|-|-|------|
chaut sorlemaltris	----|--|-|------|
paryy ior ssi sanerat.	--|-|---⌫|-|------||
parcolou r auoir .	--|-----⌫|----||
kicestherbe boits ouent	-|---|----|---|-⌫----|
au e cuie n	--⌫-⌫|---⌫|
co lourlidoneet le	--⌫---|-|---|-|-|
bonensane .	----|---||
de con treuenin	--⌫---⌫--|----|
e tmorsuredeser pent .	-⌫|------|-|---⌫---||
e td olour de cuer et	-⌫|-⌫----|-|---|-|
cesteh erbe don eis	----|-⌫---|---⌫--|
boir e auecoiledecontr eu enin etdec ontr emorsu re	----⌫|---|---|-------⌫|-⌫---|-|---⌫----⌫|-----⌫-|
deserpent e tde c ont redolo urdecue r	-|------|-⌫|--⌫-⌫---⌫-|----⌫-|-|---⌫|
e t desa ltremaus	-⌫|--|-⌫---|---|
chiefilhestbon a	----|--|--|--||
cestmaltris	|--|------|
c estherbedone isboiredecontremorsu re	-⌫--|----|----⌫-|----|-------|-----⌫-|
deserpentet	-|------|-|
porlemalt riz	--|-|----⌫--|
le doneizaueclaitcuitl eius	-|-----|---|---|---|-⌫|--|
e taosse bri siés.	-⌫||---|---⌫----||
etco rence.	-|--⌫----||
cestherbe do neisboire dec o ntremo rsure deserpents ouent	---|----|--⌫---|----|---⌫-⌫---|--⌫----|-|------|-⌫----|
si esclarc iratle piz .	-|-------⌫---|-|--||
kileboit yyiors	-|-|---|-|---|
baingne selisanera tles ren s.	------|-|-|------⌫|--|---⌫||
etazo sse br isiés	-|-|-⌫--|--⌫-----|
etala cor ence est	-||-|---⌫---|--|
par cranc he .	--|-----⌫-||
uenindec erast re.	----|-|-⌫-----⌫-||
cesherbes prendeisetsi	--|-----|-------|-|-|
leslo ieslauilat uerssesocirat	--|--⌫--|-||-|-|---||-|-----|
etdeli ocitcrancheetkil e	-|-|-|---|------|-|-|-⌫|
boit s eliocit	---|-⌫|-|---|
u enin decerastreet sel igett e	-⌫---|-|-------|-|-|-⌫|----⌫|
delcorsse illiat .	--|---|-|-|||-||
p arlepiere.	-⌫-|-|----||
parconchoiu re.	--|--------⌫-||
cesther be	---|---⌫-|
doneisboir auec chautoilleen bain gnese li	-----|---|---|----|----|-|----⌫--|-|-|
to ur at lepiere.	--⌫--⌫-|-|----||
et kileboit	-|-|-|---|
paryyiors sel i faitconchoiure	--|-|---|-|-⌫|---|---------|
auecm ieldestempree.	---|-⌫--|---------||
enfant eir.	------⌫--||
p arbonentdolors.	-⌫-|-----|-----||
cesteherbe prend eisauecuinet poureseli	----|----|-----⌫--|---|--|-|----|-|-|
doneisb oir edecontretotesgottessesassuag er at	-----|-⌫---⌫|-------|----|-----||-|------⌫--⌫-|
e tazrainsd ecelikien fanteirdoit	-⌫|-|----|-⌫|---|-|--⌫------|---|
leloiessi enfanter at	-|----|-|--------⌫-|
decont rele dolourdel bonentl e beueis	------⌫-|-|-----|--|-----|-⌫|-----|
et buree t	-|---|-⌫|
poureap ressoup eir	----|--⌫--|----⌫--|
p ar dolourd elpizetparstoke	-⌫-|-----|-⌫-|--|-|--|----|
leurounebeue i s	|------|----⌫-⌫|
aluiensiu ostouratledolourde l pize t	-|---|-|-⌫-|-----|-|-----|--⌫|--|-⌫|
almoiesestbone bi enfaitpisier	------|--|---|--⌫-|---|-----|
fait enplastre deliet desain	---|--------|-|-|-|-|---|
et sil e loiela ui lh at enstocke	-|-|-⌫|---|-||-⌫-|-|-------|
d ede nslepiet uespine silenge tterat	-⌫---⌫-|-|---||-----|-||-|--⌫-----|
abo iredecontr etoteslesenferm e teis del uentre	|--⌫--|-------⌫|----|--|------⌫-⌫---|--|-----|
parpl ai e	--|--⌫--⌫|
n ouelle .	-⌫-----||
lialoesnes kisouent l e boit	-|-------|-|-----|-⌫|---|
lom brisetsi enf orcist	---⌫---|-|-|---⌫-----|
l e uent eletmolist le u en tre pisier	-⌫|----⌫-|-|-----|-|-⌫--⌫--|-----|
almoe suaut	-----⌫|---|
sorplaien ouelle e stbonne	--|----|-⌫-----|-⌫-|----|
lesmi gnesnelaituenir	--|--⌫---|-|---|----|
lauilhest.	-||--|--||
parle tous.	--|-|---||
etparmorsure d ekie n.	-|--|------|-⌫|---⌫||
etdr awonc k .	-|--⌫-----⌫||
lo r tietoutletouskis ouentle	|-⌫-⌫--|---|-|---|-|-⌫----|-|
azplaiese t siestbone	-|-----|-⌫|-|--|---|
lienplaistre	-|---------|
auec seil truleitet	---|---|------|-|
siest bone dec o ntre morsure	-|--|---|---⌫-⌫---|------|
kantonfaitsusempla stresr au ete ittolent	---|-|---|--|-----⌫----|-⌫--⌫---⌫-|-----|
kisoides iune enuoige lei orsne lipu et	-|--|---⌫---|-|----|-|-⌫--|-|-|--⌫-|
p uisaiguefaire mal .	-⌫--|----|----|--||
auec sai n d oilefont ens ore ilh esde	---|---⌫||---|---|--|---⌫---⌫-|-|
ce l uikipointnoitsiorat mie s	--⌫-⌫-|-|----||--|-|---|---⌫|
ces t azoel het aplaies.	|--⌫|-|---⌫|-||-----||
l i maroine aue clemiel cuisspurgelepiz	-⌫|------|---⌫|-|---|---|-----|-|--|
kis ou entl	-|-⌫--⌫--||
uise sor sonpa i n also peir	---|--|--|--⌫-⌫|-|--⌫---|
cestemedec inemeimeses purg e les plaies.	----|-----⌫--|-----|--⌫----⌫|--|-----||
liiusauecuienumielestb unsazoelh	-|--|---|---||---|--|-⌫--|-|---|
porresclarcir.	--|---------||
c estbo na	|--|--⌫||
la femme .	-|----||
limai roin eest	-|---⌫----⌫|--|
bonnea femmesquaril hlorabundelait .	----||-----|---|--⌫|--|-----|---||
pisierfait.	-----|---||
azoelh nuistk i	-|---|----|-⌫|
souentenboit	-----|-|---|
les racin estruleie tol l ent l ardoirdesoelh sus	--|-----⌫-|------|---⌫-⌫--||-----|--|---|--|
li purrearse	-|----|---|
delse men ce et	--|--⌫---⌫-|-|
ess parsesorle f ondement	---⌫----|--|-|-⌫-------|
deceluikisainne	-|----|-|-----|
bonn ees tsor	----⌫|--⌫|--|
le suerskienfa itenplaistrequant	--⌫|---|-|-|--⌫-|---------|----|
ilhtordent etdoulent .	--|------|-|------||
parfairesoisueir.	--|----|--|----||
faitsueir k ile boi tteue amu lse	---|----|-⌫|-|---⌫|---||--⌫--|
kilecuit enoilese	-|-|---|-|---|-|
oindeleuentre	----|-|-----|
etdelfieuroi sse li	-|--|-------⌫|-|-|
toutlesfieureset	---|--|------|-|
decon tr e morsurdeserpe nt e s t	-----⌫--⌫|-----|-|-----⌫-|-⌫-⌫|
bonn es ustrulee .	----⌫|-⌫-|-----||
li i usde l iocit	-|-⌫-|-|-⌫|---|
uerspar lui .	---|--|--||
etk isoilelemet	-|-⌫|----|-|--|
nirementuers.	||-----|---||
lisorfumeedeli	-|--|----|-|-|
chaucel esserpe ns.	-----|-⌫-|-----⌫-||
parletous et	--|-|---|-|
par pisierest.	--|-----|--||
li pourdel poli ul descombrelepizkile	-|---|--|----⌫-|--------|-|--|-|-|
maniuta uec	-----|-⌫--|
separfor cedefieureu paraltre auenture	-|--|---⌫-|-|-----||--|----|-------|
agriefl imaladeslipol iuel truile isauec	|----|-⌫|------|-|---⌫---|------⌫-|---|
oil edol iu eet	---⌫||--⌫--⌫|-|
sileoi ngiés	-|-|--⌫-----|
letou sto utteue buire	-|---⌫|--⌫-|---|----|
etbienfaitpisier	-|---|---|-----|
decontreoelhetoreilhesetenfleur estbone	-------|---|-|-------|-|------|--|---|
l eiusde leracined e	-⌫|--|-|-|-----|-⌫|
fo in oil t r u ileis etbienle colleis etauec	--⌫--⌫--|-⌫-⌫-⌫----|-|---|-|------|-|---|
uie nlemellei s	---⌫|-|------⌫|
kisesoelhen ondentetilhesclar cero nt	-|--|---|-|-----|-|--|------⌫----⌫-|
etenm es de u ensles	-|-|-⌫-|--⌫-⌫--|--|
oreilhesles uerstout	-------|--|---|---|
s eilhi sont.	-⌫|--||---||
bonnee st l iseme nce	----|-⌫-|-⌫|----⌫--|
amaingierdecontreuenien et y dropesi ee t	|-------|-------|-----|-|-⌫-------⌫|-⌫|
enfleure ets i eschaufeh ome kilemaniut souent.	-------|-|-⌫|-------|-⌫--|-|-|-----|-----||
fe mme d emande.	--⌫--|-⌫-----||
pren s l e gaetc est unepiere m es	----⌫|-⌫|---||--|--|----|-⌫-|
senest remamel le delafemm e s etoi dirat	------⌫-|-----⌫-|-|-|----⌫|-⌫|--|----|
endorma ntdequantkeelle	-|-----⌫-|-|------|---|
aurat fa itselidemande.	----|--⌫-|-|-|------||
achem eismes.	|--|-⌫-----||
spiruelmes l efemmeentre dois mam elles si	------|--|-⌫|----|----|---|---⌫----|-|
toidi r aitde quant k etu	--|--⌫-⌫--|-|-----⌫-⌫|-|
li demander asendormant.	-|--------⌫-|-|------||
cestbonea femme	|--|---||----|
lecoillon t d el	-|-------⌫|-⌫-|
b ieurecumapellecastor etruille a ueciusdeceloigne	-⌫----||-|-----|------⌫|------|-⌫--|--|-|-------|
senforfu mesle	|-|-----⌫--|-|
enemi echoise cha ceratensu s delui	-----⌫|-----|---⌫----|-|--⌫|-|--|
estbons aboir eazpalesinois	--|---||----⌫|-|---------|
ferfor s depl aiesest	--|---⌫|-|--⌫---|--|
limagne testraitlefer a soi et	-|-----⌫--|----|-|--||--|-|
saieteetaltre	-----|-|----|
fer deplai equantonl etoiceuon	--|-|----⌫|----|-|-⌫|----||-|
leloiesus.	-|---|--||
parleiasenie est	--|-|------|--|
olifans iuoires	------|------|
estbun skilarasu re	--|---⌫|-|-|----⌫-|
enboits elitoutl eias enies	-|---|-⌫|-|---|-⌫|---⌫----|
kitrop atd esesflursestb u nsaboire	-|---|-|-⌫|--|----|--|-⌫-⌫-||----|
et delcolse ce .	-|--|--|--⌫-||
etlaras urede liuo ire.	-|-|---⌫--|-||---⌫--||
ce boiu eapreslebaingne.	-|----⌫|----|-|------||
uformaigeauecuienucor nede cer f	|-------|---|---||---⌫-|-|---⌫|
arseauec uien .	---|---|---||
parcraincheupar	--|-------||--|
p laieest.	-⌫---|--||
l echiefetleiusierde lgruear deis	-⌫|----|-|-|-----|--⌫|---|--⌫---|
senfaites poureu sechiésen	|-|-----|----||-------|-|
un fortoteens emble quantke ilhat	-|--|---|---⌫----|------|--|-|
eliusieretsen faite sde	-|-----|-||-|-----⌫|-|
li poure si lemetteis so rcra incheu	-|----|-|-|------|--⌫|---⌫----||
so r plaie se	--⌫|----|-|
upar co nchoiureest .	|--|--⌫-------|--||
le liure prendeisselcui siéstot ent ieren un	-|----|-------|-||---⌫----|--|---⌫--|-|-|
s ienf ait	-⌫|-|-⌫--|
puree t lepuirdel poiureetle sa riemolue	---|-⌫|-|---|--|-----|-|-|--⌫--|----|
aueo oil e sienfaitesongeme ntetsi enfroies	---|---⌫|-|-|-----|------⌫-|-|-|-|-----|
bien les rai ns etl euentre dele	---|--|---⌫-|-|-⌫|-----|-|-|
femmesi concheurat	----|-|---------|
e tles coillo n s delmostel l euiueprendei set	-⌫|--|------⌫-⌫|--|------⌫-⌫|---|-------⌫|-|
don eirlefemm e porteirenpelasnine quant	---⌫--|-|----⌫|------|-|--|-----|----|
ellegis tahomesiconcheura t	---|---⌫||---|-|---------⌫|
parsa inc est.	--|--⌫--|--||
als aincrestraindreescr ie de son	-|-⌫---|----------|----⌫-|-|--|
saincmies mes se c est	----|----⌫--|-||--|
homeberonix sec estunefemm e	---|------|-||--|--|----⌫|
beroniss a cees crisen unp au	--------⌫|-|--⌫---|-|-|-⌫-|
de fuit et tocela	-|---|-|---|-|
etgett e enuoiesi c essera t	-|----⌫|-|---|-|-⌫------⌫|
et cest char nien	-|---|----⌫---|
dissaintemari e	--|-----|----⌫|
aloi t paru oi eetlefiz deup ortoittr ois	----⌫|--|-⌫--⌫|-|-|--|--|-⌫-----|--⌫--|
serourssa manztroua	------|--⌫---|----|
l uneauoita	|--|----||
nonetl i altree tlitierce	--|-|-⌫|----|-⌫|-|-----|
plaist deu	-----|--|
leto utpoisans	-|--⌫--------|
etsaintemarie	-|-----|----|
kedec esp laies saincnen	-|-|-⌫-|-⌫----|----||-|
parfieureset par	--|------|-|--|
fiuress a neirtrui lleoilhde	-----|-⌫-⌫---|----⌫|-|---|-|
herren destre et	-----|-----|-|
doneboireal fi euroi s.	---|----|-|--⌫-----⌫||
femmelesenestr e.	----|-|-------⌫||
a ledolour delplaieprens l efar ine	|-|-----|--|----|----|-⌫|---⌫--|
de lfromentet	--⌫|------|-|
silemellebien etm essus.	-|-|----|---|-|-⌫-|--||
p arsolutionestche.	-⌫-|-------|--|--||
al lesolutiondeluen tre	--⌫-|-------|--|---⌫--|
truileit deliei tle	-------|------⌫|-|
corne delc erfar seet doneisboirealuien	----|--|-⌫--|--⌫-|-|-----|----|-|---|
ale dolurdesorreilhes prens le fiel	|-|----|--|--------|----|-|---|
deluupilhe e tleiusdelrueensemble et	--|------|-⌫|-|--|--|--|-------|-|
sigettese ns	-|-----|-⌫-|
parplaie estchi.	--|----|--|--||
s alcun sestmo rs u	|-----⌫|--|--⌫-||
fer u sdeserpent u de be s te	---⌫-⌫|-|------||-|--⌫-⌫-|
enu in emei efend euncocketote	---⌫--⌫----⌫|----⌫|-|----|---|
uif par de uersledousettoutchautsorle	--|--|--⌫---|-|---|-|---|----|--|-|
plaie lem e t.	----|-|-⌫-⌫||
aceaz k ichient	|---|-⌫|-----|
de lmal estch i .	--⌫|--|--|--⌫||
chientde lmal.	-----|--⌫|--||
lekene lie cuildisant	-|----⌫--|---|-----|
leterrekelif oiantfuet	-|----|-|-|-⌫----|---|
auec mielle	---|-----|
et quantil hcietse	-|----|--⌫|---|-|
li met el c orset	-|--|-|-⌫--|-|
defemmeet defromaigeet	-|----|-|-|-------|-|
de laitsastieng neet	-|---||-------⌫-|-|
aig uebeneoit boiue auec	---⌫-|------|----|---|
al oesneet unecor oied asnetienge	--⌫----|-|--|---⌫--||---|-----|
asech artou ten z nuefiors	|-|--⌫-|--|---⌫|---|---|
e n cr esant et yye n decor ant.	-⌫|--⌫----|-|-|-⌫|-----⌫--||
qua nti lhcie t	---⌫-|-⌫-|---⌫|
mainten antocietun	-------⌫--|----|-|
chienet sien prend e le	----|-|-|-|-----⌫|-|
f ielzsi lidoneboir eiamaisnechairat c	-⌫---|-|-|---|----⌫|-----|-|------||
estproue it.	--|-----⌫-||
et ancor ensliu la u	-|----|--|--|-||
ilhcietlidon eboire	--|---|-|---⌫|----|
tr o isgottes	--⌫-⌫-|-----|
de sancdes o nme ueuel	-|---|-|-⌫-⌫|--⌫----|
doitau ec py onieety sope.	---|--⌫-|--⌫---|-|-⌫---||
l ori n e c eest.	|---⌫-⌫|-⌫|--||
sor l orine d el	--||----|-⌫||
e nfe rmmeslelait de	-⌫---⌫-|--|-|---|-|
lefemmesei lhafondrecilmorat	-|----|-|-⌫-|------|--|----|
et seilhlieuedesoiresiui urat .	-|-|--|----|------|-|--⌫---||
par sainc es tche.	--|----|--⌫|--||
siuoi remen tcumme nostr edammesainte marieuif enfant	-|---⌫-----⌫|----|-----⌫|----|-----|----|--|-----|
portatet nos	-----|-|--|
bien lecreo nsihesum cristsi uoireme nttuua in e	---|-|----⌫-|-----|----|-|-------⌫-|-|--⌫--⌫|
re nu t unsanc	--⌫-|-⌫-|---|
ceskaractesesc ri sen unbrief.	--|-------|---⌫--⌫|-|-|----||
et messorlepie	-|--|--|-|--|
ulo iede sa	|--⌫-|-|-|
m ai nts icess erat	-⌫--⌫-|-⌫|----⌫---|
tudechudoites	-|-|--|-----|
escrisceslettr esen	-----|--|-----⌫-|-|
unm a incedecutheal et	-|-⌫-⌫---|-|------|-|
ocientun po r ken eni steratsainc.	--|--|-|--⌫-⌫-||-|-⌫-----|----||
cestpar lespousosteir .	|--|--|--|---|-----||
delefai ce froiede lui	-|-|---⌫-|----|-|--|
delsainc d elchauesoris.	--|----|-⌫-|----|----||
etancor un	-|----|-|
p ren slelaitdel	-⌫---⌫|-|---|--|
chie n etle	----⌫|-|-|
maroine etmes totee nsemb leetoigne	------|-|--|---|-⌫-----⌫-|-|----|
par se rpenschacier	--|--⌫----|------|
azserpenschac ierdelmaisonprens lecor ne	-|------|----⌫--|--|-----|----|-|---⌫-|
d e cerfetsil emesdesou ston	-⌫|---|-|-|-⌫|--|-----⌫|--|
u celepoil del cerfespar parle	|-|-|---|--|---|----|--|-|
maisonsienchac ent l es serp ens.	-----|-|-|----⌫--|-⌫-|----⌫--||
seliscorpyons point pre n srueetuienetoile	-|-|--------|----|---⌫-⌫|--|-|---|-|---|
etmetteissusulepu reule ius	-|------|--||-|--⌫-||-|--|
delcent oi ne .	--|----⌫--⌫-||
parchiensr ebo usestbonsafaireche	--|-----|-⌫---⌫-|--|---||----|--|
a lamorsur edelc hi enrebois.	|-|------⌫|--|-⌫--⌫-|-----||
cressonetpol iu lcuitenaigueprensse	------|-|---⌫--⌫|---|-|----|----|-|
lidone boire .	-|---|----||
alad olour deslomb re est che .	|-|-⌫----|--|----⌫-|--|--||
deslomb respre nsaigremoineetbonneracinesetf uelhes e t	--|----⌫--|---⌫-|---------|-|----|------|-|-⌫-----|-⌫|
truill eauec	------⌫|---|
oingetaisielet me ssu s	---|-|-----|-|--⌫|--⌫|
uper esiltruileits imes	|---⌫---|-------|-⌫|--|
apalesiene stche bon.	|-------|-⌫-|--|--||
apalesienprens lesarasien	|-------|----|-|-------|
etlepoiuretruilleauienetalaigue	-|-|-----|------||---|-|||----|
etdone b oire	-|---|-⌫---|
ala fem mecui l ienfeses tel uen tre	|-|---⌫-|--|-⌫|----|--⌫|-|---⌫--|
iusdelr ueet delbuchuet.	--|--|-⌫-|-|--|------||
l idone boir ealkes	-⌫|---|----⌫|----|
alafemmecui	|-|----|--|
lait f aut etaz talons	---|-⌫--|-|-|-----|
al af emme cuilaitfau tlaituwe	|-⌫|-⌫---|--|---|---⌫|------|
mango is t.	-----⌫--⌫||
a ledoloursdestalons trui llele poliu l	|-|------|--|-----|----⌫--|-|-----⌫|
ala isile t	||-⌫---|-⌫|
als e itet	-|-⌫-⌫-|-|
li char niensdesuers est.	-|----⌫----|--|---|--||
a uers dedenslesen estr eor eilhdisleeten	|---|-----|-|---⌫----⌫|--⌫---|--|-|-|-|
la destreaz narinesflerant est	-|-----|-|------|------|--|
az narinesmaluaiseoillanz.	-|------|-------|------||
p renssemencede rueetd alosne etgengibr e muel	-⌫---|------|-|--|-||-----|-|-------⌫|---|
et si enfaispour eet s i	-|-|-|---|----⌫|-|-⌫|
so ufle dedensles nar inesaunebuse .	--⌫---|-----|--|---⌫---||--|---||
aceluikie st plaiéses t.	|----|-|-⌫-|------|--⌫||
seliplai ésuiur atdone liboire me nue c ousou deen	-|-|----⌫--|----⌫-|---|-|----|--⌫--|-⌫-----⌫-|-|
se ilhuomistia ne	-|--|-----|-|-|
decon tre uenien est.	-----⌫--|-----|--||
de serpensmor sure.	-|------|---⌫---||
prenspl aintaintruilleen uienetboiueetbetoine	----|--⌫------|------|-|---|-|----|-|------|
aluie suienetrue truileeaue coile	-|---⌫|---|-|--|------|---⌫|---|
decontremaluaisuenien .	-------|------|-----||
cui malua is	--|-----⌫-|
ueniensest doneis airreme ntespesligetteelcors	------|--|-----|-------⌫-|----|-|----|-|---|
kiuenien atb uitu	-|-----|-|-⌫--||
maroinneauec uiesuienb oiue .	-------|---|---|---|-⌫---||
p arserpens.	-⌫-|------||
cui serpens en trenten labouch esifaicecurre	--|------|--⌫----|-|-|-----⌫|-|----|----|
un ch eual tantke i lsuedelasemenceet chaude	-|--⌫---|-----|-⌫|--|-|-|------|-|-----|
cumilh pis se b oi uelues	--|--|---⌫-|-⌫--⌫-|---|
uenien uau	-----|--|
truilleruea tot e lasemenc e etuien	------|--||---⌫|-|------⌫|-|---|
etseildestem p reit doneli	-|---|------⌫-⌫---|---|-|
c estdesoelhués	|--|--|---|---|
atotes dolourde s oelhp ren soile	|----|-----|--⌫|---|-⌫---⌫|---|
dont o nsennoleie et mesens	---|-⌫-|-------|-|--|--|
ulece loingnepre n sselestourset m es	|-|--⌫------|---⌫-⌫|-|-|-----|-|-⌫-|
a la chalour des oelh	|-|------|--|---|
a lamalhe .	|-|----||
acalin des uezlep oli u lcui sbien enl	|----|--|--|-|-⌫---⌫-⌫|---⌫|---|-||
aigueet decelleaigue	----|-|-|----|----|
lesleu ebien et so uent	--|---⌫|---|-|--⌫---|
etli fiesdellieurele sren tcleirs etli	-|-|---|--|-----|--⌫|---⌫|-----|-|-|
laitde lainesse	---|-||------|
al mailleto utu quelle	-|-----|--⌫-||-|---|
s oitainzquelleaityy iorsloiesusle	-⌫--|-----|---|--|-|---|---|--|-|
fies d elporke main u	---|-⌫-|----|---||
nouelledelsor isme ssus.	------|--|---⌫-|--⌫|--||
ces t parcheueleure chi .	|--⌫|--|---------|--||
cui liche ueazch i entprens	--|-|---⌫---|--⌫-⌫--|----|
leracinede la	-|-----|-|-|
epinec uisiés	----|-⌫------|
enseluienbientruileeet sienleue	--|-|---|---|------|-|-|-|---|
sonchie fsouent .	--|----⌫|-----||
alcief espurgier cuisle cerfu elh	-|---|--------|---|-|-----⌫--|
enlaigue bien etc elle	-||----|---|-|-⌫---|
aiguedone boirelenfermeule	----|---|----||------||-|
semence des ma luestru ilee enuien etsile	------|--|--⌫---|---⌫---|-|---|-|-|-|
teingne ensa bouche	------|-|-|-----|
teneissouent etge teis	-----|-----|-|--⌫---|
azoelhsangletousest.	-|---|---------|--||
az oelhsaing letous pren s sinsap ieetbe toineense mblel emes	-|---|-----⌫-----|----⌫|------⌫-|-|--⌫----|----⌫---|-⌫|--|
enu ienetmes susule ueruaineettruille	-|-⌫--|-|--|--||-|-------|-|------|
