communalmen tuo usquia ués	-----------⌫|--⌫-|--|-⌫---|
amie na confort .	---|||------||
parest auoirli	--|---⌫----|-|
conuientf ai reto urt	-------|-⌫--⌫-|--⌫--|
asa uoi rou ac ontraire	|--⌫---⌫|-||-⌫-------|
cequi liuient ensoncoragecaresp ri ses t	-|--|-|----|-|--|-----|--|---⌫--⌫|--⌫|
grantr a ge.	----|-⌫-⌫-||
li ioursfulonsetclerset biaus	-|----|-|---|-|----|-|----|
damo isiausqu ihor s auplai n orenteste ́et	----⌫-----|--⌫|---⌫|-|----⌫|----|----⌫|-|
leur deduit tantdem e néqu eilf utansde	---|-----|---|---⌫-⌫--|--⌫|-|-⌫|---|-|
de p artir	--⌫-⌫----|
co ragede plussous frir .	--⌫---|-|---|----⌫---||
has t iuementpar ti s ensontqu edede us	---⌫-⌫------|---⌫-||-|---|--⌫|-|--⌫-|
par smultb ienfaitl ontmu lt	---⌫|---|-⌫--|---||--|--⌫-|
s estoien t le iour ded uit	|-------⌫|-|---|---⌫--|
enlauile entrent ue r slanuit et quant	-|-|---|------|--⌫-⌫|-|---|-|----|
reuienent alosteld amadas	--------|||----||-----|
dientaut rete lcom ilauoient	----|---⌫----⌫|--|-|------|
ditle io ur .	--|-|--⌫-||
pitieen ont	----|-|--|
tuitetdol ou r cascu nsle	---|-|---⌫--⌫|-----⌫-|-|
plaintet lere grete.	-----|-|-|--⌫----||
illentent bienun souspiri ete	-||-----|---|-|------|-⌫--|
sepa smeau	-|--⌫--|-|
reue niret pl aint comiaporré s	----⌫--|-|--⌫---|--|-|------⌫|
oirbiaus s iredix com	--|----|-⌫--|--|--|
mar fui n éset comde	--|--|-⌫--|-|--|-|
maleureengenrésqueie sui	--|---|--------|--|-|--|
si po uresdesifol pourpens que iene	-|--⌫---|-|-|--|-------|--|-|-|
mep ui scastiiernemoncorage ref ren ierde	-|-⌫--⌫|-------|-|--|-----|---⌫---⌫--|-|
laragedontieme moerne uiurene	-|---|---|-|-|---|-|----|-|
puis a nul foer	---||--|---|
morir neuiure bienne puisdenul e part	----|-|----|---|-|---|-|---⌫|---|
confortnetrui s	------|-|----⌫|
ne ie enuie n e	-|-|-|--|-⌫|
enmortnepuistr ouerbi en neco nfort.	-|---|-|---|--⌫---|--⌫-|-|--⌫----||
encon trecuer mes tmultla uie	-----⌫--|---||--⌫|---|-|--|
limo r snemelaiss e e nbaillie	-|--⌫-⌫|-|-|-----⌫|-⌫|------|
sicomuauroieca ins leiourse roitla fins	-|--|------||-⌫--|-|---|--⌫---|-|---|
demadolo uretde mon	-|-|----⌫-|-|-|--|
mal tout adeli ur ecains i ne puis	--|---||----⌫--⌫||----⌫|-|---|
longementuiu re	--------|---⌫-|
ouilm estuetdetout ga rir	-|-||-----|-|---|--⌫--|
ou acourtterm ea	-||----|----⌫||
duelmorir.	---|----||
mag arisonne uoi	-|-⌫-----|-|--|
atantsouspireetdist ha	----|-------|-|---|-|
seiouparm arag e	-|--|--|-⌫|---⌫|
mochi dont s a i io ubiencer t es de	|---|---|-⌫-⌫|--⌫|---|---⌫-⌫-|-|
fiquequantmameertdu co rsi ssuefina bl eme nt	-|--|----||--|--|-|--⌫-|-⌫---|----⌫--⌫---⌫-|
s erap e rdue	-⌫--|-⌫-⌫---|
iemeismes nem os ocirreetmalm	-|------|-||-|-----|-|--||
estuiurea telmartire.	--|----||--|------||
maisorsai bien	---|-|--|---|
comment rai snaulement morraiiem	------|---⌫---------|-----|-||
e niraitoutdroitalietsili	-⌫|---|---|----||-|-|-|-|
crieraimerc hi	------|----⌫-|
ele enaurag rant	--|-|---|-⌫---|
mautalentetlorsiequitisnelement fera uenirses	--------|-|---|-|---|---------|---|----|--|
pautouniersetses garco nsets es huissie rspour moi houni r	----------|-|--|-----⌫-|-|-⌫-|-------⌫-|---|--|-----⌫|
et uergou gnierpourmoiba tre etpourlaideng ier	-|------⌫----|---|--|--⌫--|-|---|-------⌫--|
foiblessui sicancel e rai que	------|--|-|------⌫-⌫--|--|
iapuisu iurene	-|---|-⌫---|-|
ie niuoiautre garis o nm ais	-|||--|----|-----⌫-⌫|-⌫--|
mori rp arc este ocoiso n.	----⌫|-⌫-|-⌫---|------⌫||
pui s aintmadam e	---⌫|---|-|---⌫|
uhautapresmamortpuis nem	|---|----|-|---|---|-||
de celpourpensest	-|--|-------|--|
formentliesetfait se m bla ntdestre	------|---|-|---|--⌫-⌫---⌫-||----|
sonmaist r ef aita l ui uenirmaisneli	--|-----⌫-⌫|-⌫--||-⌫-|----|---|-|-|
ueutpasdescou urirne son pense	---|--|------⌫---|-|--|----|
ne soncorage	-|--|-----|
maisa tousc oileson	---||---|-⌫---|--|
asante t our nesauie.	|----|-⌫---⌫-|-|--||
sa gensenesttoutesbaudie	-|---|-|--|---|-------|
auplus cour tterme quei l puet com mec hilqui	-|---|----⌫|----|--|-⌫|---|---⌫-|-⌫--|--|
fairele stue t enuie ntaydoine la	----||-⌫----⌫|-|---⌫-||-----|-|
b ele otoute	-⌫--||----|
sa foiblequer ele .	-|-----|----⌫--||
atournéatout son corage oua gaaing ou a	-------||---|--|-----|-||-----|-||
po urauoirmortou garis ona mi sson cuer en	--⌫-|----|---|-|-----⌫-||--⌫|--|---|-|
ace uo loi r dutouts	|-|--⌫---⌫|-|---||
alésenestu erslamescin e	----|-|--|-⌫--|-|------⌫|
unsous pir faitengemissant	-|----⌫--|---|-|--------|
plusdeboncuerquepenean t nefontpor le s	---|-|--|---|--|------⌫|-|---|--|--⌫|
peciescrueus.	-----|-----||
u ous enau é sueu deteus atoutb astons	-⌫--|-|--⌫--⌫|--|-|---|----|-⌫-----|
de f erlii és	-|-⌫-|---⌫--|
qui mainsdepleure nt leur peciesetpleur ent mains	--|----|--------⌫-|---|-----|-|-----⌫--|----|
ensouspirantqueci lne fai tsonfol ta lent	-|---------|--|--⌫|-|---⌫|--|--|--⌫---|
da me faitilpor diumerci	--⌫-|---|-|--|--|----|
longementai	--------|-|
pouruouslangui a	---|---|-----||
grant ahan	----|---|
pr es de lamortetagri ef	--⌫-|-|-|---|-||---⌫-|
pain e sans confo rt.	----⌫|---|-----⌫-||
d etrestous le s ama ns dumontqui	-⌫|-------|--⌫|---⌫-|-|---|--|
ences tsiecleamé	-|---⌫|-----|---|
ontpuisquadansfu	--|-----|----|-|
primesfourme ́s ne cuic	-----|------⌫-|-|---|
c u ns h omf ustia tr oue ́squi	|-⌫-|-⌫-|-⌫--|-|--⌫---⌫-|--|
tantaiten dure ́dam ours ireset	---|--|--⌫----⌫||--⌫---|---|-|
ma uspaines do l ourscomie aisousf erta	--⌫-|-----|--⌫-⌫---|--|-|-|-----⌫--||
m esciefpouruousma	-⌫-----|---|---|-|
m aisagriefm e s t s i tour néore en	-⌫--||----||-⌫-⌫|-⌫|----⌫--|--|-|
l afindesuscelpauementmarbrin a	-⌫|--|----|--|-------|------||
cou rt terme	---⌫-|----|
tout aestro usa	---||-----⌫-||
grantdole urcideuantuousm	----|----⌫-|-|-----|---||
ertia ducorslamer a uie.	--|-|-|---||--|-⌫-⌫--||
p uis amerés madou ceami equiuouspl aira	-⌫--|------|-|---⌫-|---⌫|--|---|--⌫---|
en puis mais.	-|---|---||
si sui cargie ́sde pes antfais	-|--|------⌫-|-|---⌫--|---|
quesimul t tost	--|-|---⌫|---|
deuantuosp i es me uer r é s deuo samistiesp artir se	-----|--|-⌫-⌫-|-|---⌫-⌫--⌫|-|--⌫|-------|-⌫----|-|
n aid euo s confortpar	|-|-⌫|--⌫|------|--|
dro it destrescede	---⌫-|--------|-|
i doineestmul td e grant	-⌫----|--|---⌫|-⌫|----|
c oragea grantescare taout rageletint e t	-⌫----||----|----|-⌫||---⌫---|-|---|-⌫|
a mult grantmeruelle	|---|----|-------|
diredeuinttout euermellene	|--|-----|----⌫|-------|-|
pot de grantp ieceparlerforsseu lemen tluiregarder	--|-|----|-⌫---|-----|---|---⌫-----⌫|--|-------|
lquidoitsifolde	|------|-|--|-|
ri en quiln edeust p e nser tresbien a	--⌫-|-|-|-⌫|----|-⌫-⌫---|---|---||
lahont eet aum altalenteta uc ruelcastiementdont	-|----⌫|-|-|-⌫-------|-|-⌫|-⌫---|---------|---|
ca stiét l auoitsouuent .	--⌫-----||----|------||
quantsest teuelongementparole	----||--|---|--------|-----|
di st crue le et fi e re dontaluiestoitc oustumiere	--⌫-|----⌫-|-|--⌫-⌫-|---||--|-----|-⌫---------|
mauuais gars	------|---|
le chiereafolésqu antcastiiern e uousuolés	--⌫-----|------|--⌫--|-------|-⌫|---|-----|
ie uousfe ra ideu antmoib a tr e et	-|---|--⌫--⌫|---⌫--|--|-⌫-⌫--⌫|-|
laparolearriere e nbatresi q uemaisiourde uost re	-|-----|------|-⌫-----|-|-⌫-|---|---|-|----⌫-|
ui enorroisparler	--⌫||-----|-----|
de druer ieneuous s ouu iegnede	-|-----⌫-|-|---|-⌫---⌫----|-|
atantapeleparirourparmautalen ttroi sp autouniers .	----|----|--|----|--|--------⌫|----⌫|-⌫---------||
mais garconsseria nsne huissiersdede nssacha m b renetrouua	---|------|-----⌫-|-|--------|----⌫-|-|---⌫-⌫-⌫-|-|-----|
ali nusneuenra	|-|--|-|----|
enfaiteleo	-|---|--||
ma rt euenrai maisdeuant moi que	--⌫|-⌫|-----|---|-----|--|--|
ia demoi confortna ras	-|-|--|------||-⌫--|
ce es tlafinsa ins en m orras .	-|--⌫|-|---|-⌫--|-|-⌫----||
quant c e aoi ama dassou spire et distm il	----|-⌫||-|---⌫--|---⌫----|-|---|-⌫-|
dou cuerplu s conqu es	--|---|---⌫||----⌫-|
maisnefis t	---|-|---⌫|
sagrant doleur	-|----|-----|
plaintetgemi st etp lusliest gre ueus	-----|-|----⌫-|-|-⌫--|-|--|---⌫---|
lifa is quenuleriensdusiecl e	-|--⌫-|--|---|----|-|-----⌫|
caren s oncue rmult	--|-|-⌫-|---⌫|---|
plus sedeutdeces team ourkeil	---|-|---|-|---⌫-|--⌫--|-|-|
nes eutcarla fine rag e	-|-⌫--|--|-|---|---⌫|
et lanature	-|-|-----|
etlacalours etla	-|-|------|-|-|
paoursque de la pertedouta nceetpaine aura	-----|--|-|-|----|-----⌫--|-|----|---|
sousferteliontlecuer si tour mentéesfre é et desesperé	--------|-|--|-|---|-|----⌫-----|-----⌫-|-|---------|
etes perdu eta morti	-|--⌫----|-|-⌫----|
quepa sméschaideua ntli	--|--⌫----|---|----⌫-|-|
siadecertesfineme n t queriensneuoi t	-||-|-----|------⌫-⌫|--|----|-|---⌫|
n otneentent .	|-|-|-----||
nient plus q uepierren ese muetne	----|---|-⌫-|-----|-⌫|-|---|-|
p ietnemai nm ouuoirnepuet	-⌫--|-|---⌫|-⌫-----|-|---|
ainsgistausi	---|---|---|
comsilfustmors tropli	--||-|---|---|---|-|
dem euresesconfors.	---⌫---|--|------||
id oineu oit quepo rsamour	--⌫---|-⌫--|--|--⌫||----|
semoertli enfesadolour qui	-|----|-|----||-----|--|
pasmés est	------|--|
paou rgrantquant issiuoit gesirl enfa nt.	----⌫|----|----|---|---|----||----⌫-||
f orme nt se	-⌫----⌫-|-|
crientquisnell epas de uantli ne muire ama das	-----|-|------⌫---|--⌫---|-|-|----|---⌫--|
sifesistil tostimorust	-|-----|-|---||-----|
carmai ntenantlifust licuers se tostn	--|---⌫------|-|---|-|----|-|---||
eu stconfort	--⌫-|------|
multestoit iapresde la	---|-----|-|---|-|-|
regardeou uistot droitcom s il fust mors	------|-|--|--|----|--||-|---|---|
iesirle uoittout sa ns	----|-|---|---|--⌫-|
sansca leur .	---|--⌫---||
paile etlacouleur	----|-|-|------|
nequidepasqu il	-|----|--|-|-|
soit pa smés maisentr esait a fin aléscar	---|--⌫----|---|----⌫----||--|----|--|
riens neuoitnot neentent	----|-|---||-|-|-----|
a dont primes	-⌫---|-----|
pites l empre nt	----||-|---⌫-|
au oirconfes si oniamai s anuli or	--⌫--|------⌫--⌫-|-----⌫||--|-⌫-|
nepardondou grantpe chie queelea	-|-----|--|----|--⌫---|--|--||
faitseeleensi	---|-|--|---|
morirle laistagrant	----|-|----||----|
angoussepoursam our.	-------|---||--⌫--||
etd autre part ragra ntpaour	-||----|---|-|---⌫-|----|
blasm eetmauuaiscris	-----⌫|-|------|--||
ensac ambremuert deuantli.	-|-|-⌫----|----|-----|-||
pour cemult grans	---|-|---|----|
piteslenprent carelcuid e	----||-|----|--|-|----⌫|
toutura ieme nt	---|---⌫----⌫-|
que ils oit	--|-|-⌫--|
l e nde ut multplus	|-⌫|--⌫-|---|---|
a ssesque il	-⌫---|--|-|
etler e gardedoucement	-|-|-⌫-⌫----|--------|
gesirleuoit en tel tourmen tetpaleet f roit	----|-|---|-|--|-------⌫|-|---|-|-⌫---|
toutestenduet	---|------|-|
uoitquilale sanc perdudouuis	---|-|-||-|---|----|--|--|
quibie niaue noit	--|---⌫||---⌫---|
toutmain tenant illoe ques d roi t u ne dol eu rs ou	---|----⌫-----|-----⌫---|-⌫---⌫|-⌫-|---⌫--⌫-|-|
cuerslinaistqui	----|-|----|--|
mult ligrieueetmu lt	---|-|-----|-|--⌫-|
l iplai st .	-⌫|----⌫-||
multenueutlangoussesousfrircommentqu il endoie	---|-|---||-------|-------|--------|-|-|---|
a uenirquestreou c or ag eoua ncoisfu	-⌫----|-|----|-|-⌫--⌫--⌫|-|-⌫----|-|
sialume et	-|----|-|
esprentdoufu d ontele u oitc elui	------|--|-|-⌫--|--|-⌫--|-⌫---|
mor ir ason	---⌫-||--|
mal liestuetpar ti r .	--|-|-----|---⌫--⌫||
p ar lecomman demen t damours pities	-⌫-|-|------⌫-----⌫||-----|-----|
etfranciseet	-|-------|-|
paoursforgent	-----|------|
mu lt tostuntrencant dartcommunement	--⌫-|---|-|-------|---|----------|
dela l eurpar t	-|-|-⌫--|---⌫|
liont lanciét parmi	-|--|-------|----|
nesetenist	-|-|-----|
pl usanulf oe rpour lad olour queelesent	--⌫-||--|-⌫--⌫|---|-|-⌫----|--|--|---|
ne souspirt	-|-------|
plustenrement	---|--------|
etplusdec uerisne llepasconq u esaincn e	-|---|-|-⌫--|----⌫-----||---⌫-⌫-|---|-⌫|
f istamad as .	-⌫--|----⌫-||
cara incqueleustacief	--|-⌫----|-|---||---|
t r ait lesous piramour eu sca f ait pas mee	-⌫-⌫--|-|----⌫--|-----⌫--⌫|||-⌫--|---⌫--|
rechietdes ous lui orsontaunseu l	------|---⌫--|--|-|---||-|---⌫|
mala ndui.	--|-⌫---||
maislapucele ancoisr eu ient	---|-|-----|-----|-⌫--⌫---|
di reet damour souspireet	|-⌫-|-||----|-------|-|
l esluisa siet toute e sbahieetdist	-⌫-|--||-⌫---|----|-⌫-----|-|---|
com sui traieparmonfolse nspar	--|--|----|--|--|--|--⌫-|--|
m onoutrage et pa rmontrop cru elcora ge	-⌫-|------|-|--⌫|--|---|---⌫-|----⌫-|
xxx xxx sui	--|--|--|
deceue et malbailliequantai sigenti lh omemort	-----|-|---------|----|-|-|-----⌫|-⌫--|---|
pour seul s ousfraitedeconfort.	---|---|-⌫--------|-|------||
se u lement pour l agrantbi aute d ont	--⌫-⌫-----|---|-⌫|----|--⌫---|-⌫--|
dixla sienlu miné	--|||-|----⌫----|
etpourlesb iensquienluisontplu s	-|---|--|-⌫---|--|-|--|---|---⌫|
quen tous le shomes	-|-|---|--⌫|----|
dumontn asous cielsihau te	-|---|||---|---|-|---⌫-|
m esc i ne fillederoi nede roines	-⌫---⌫-⌫-|----|-|--|-|-|----||
illadaig nasta merdamour n	-|-|----⌫---|-⌫--||----||
eus tdelu imu ltgranthounour .	---⌫|-|--⌫|--⌫-|----|------||
tropliaies téfiereet	---|-|-|--⌫--|----|-|
du reet orgilleus e ades mes ure	--⌫-|-|---------⌫||---⌫---⌫--|
saifait q uefoleet que	|-|---|-⌫-|---|-|--|
derueeetque uilainesourquide eque nonsachans	-----|-|--|------|---------⌫|--|--|------|
etkecait iue	-|-|----⌫--|
ormenrepe nt	-||-|----⌫-|
ta nt com suiuiue	--⌫-|--|--|---|
li se r ai mais uerai eamie sedixlera menoiten	-|--⌫-⌫-|---|-----⌫|---|-|--|-|--⌫-----|-|
tantasousfer s pour moigrans m a usangousseset	---||-------⌫|---|--|----|-⌫-⌫-|--------|-|
iresmort ausque bienredo iespeneir mon or gueletpour	---|----⌫--|--|---|----⌫|-------|--|--⌫---|-|---|
luisousfrirpartie de lagrant	--|-------|-----|-|-|----|
dolourca sousfertepour m o i e	-----|||--------|---|-⌫-⌫-⌫|
et iepourlu ien	-|-|---|--⌫|-|
souferraidoreenauant a luimotr oi .	--------|----------||--||---⌫-||
sonmanteluairentroeureatant	--|-----|---|--------|----|
sise laistcairsourl enf ant	-|-|----|---|---||---⌫--|
se s brassouef	--⌫|---|----|
lilaceetpar mul t grantamor	-|---|-|--|---⌫|----|---|
l e nbrace	|-⌫-----|
siliba isaen unrandonyyfois	-|-|--⌫--|-|-|-----|-|---|
l eb ouce etlementon.	-⌫|-⌫---|-|-|-----||
uoussauésbie n	---|-----|---⌫|
quedoubaisier a icel	--|--|------||---|
poin t eutgra nt mestierqu anthom	----⌫|--|---⌫-|------|--⌫--|--|
est pasméspa r	--|------|--⌫|
tristrecepar uaniteupar febleceseon	--------|--|-----||--|------|-|-|
lebaiseauque ssouentpar boncoragedoucementde	-|----|-----⌫|-----|--|--|-----|--------|-|
pasmi son plu stostre uient.	-----⌫--|---⌫|---|--⌫----||
ydoineentre s es bras	-----|----|-⌫-|---|
le t ientu ers	-|-⌫---|-⌫--|
soilenbr ace et silestraint	--||----⌫--|-|-||-------|
delu i baisie rpas	-|--⌫|------⌫|--|
nesef ai ntsabouceendroi tla	-|-|-⌫--⌫-|-|----|------⌫|-|
lbaise issit res	|----|---|-⌫--|
soua ue tq ue s alainecoule r li	----⌫--⌫|-⌫-||-----|-----⌫|-|
f ait souefo l ess ouspirs qu	-⌫--|----||-⌫-|-⌫------|-|
iltrait iusq uesaucu erque bienle sent.	-|----|----⌫--|-|--⌫-|--|---|-|---||
entreusn amais	---|--|||---|
descordem entcarandoi licuer	---------⌫--|--|----|-|---|
dele urcors	-|--⌫-|---|
parmiles car s quisontde horssentralumen tet s	----|--|---⌫|--|---|--⌫---||----------⌫|-||
entresentent enaban donsentrepresen te nt d oufudamorl	-----------|-|----⌫--||-----------⌫--⌫-|-⌫-|-||---||
autreesprent	----|------|
si saiousten tnaturaumentparsifinel o ialamoure	-||--------⌫|----------|--|-|---|-⌫-⌫--|----||
detelfuque iamaisiourc aienta uiure	-|--|-|--|-----|---||----||----|
nesta indratantcomcascunsuiua nssera	|----⌫----|---|--|------|----⌫-|---|
n atureumentleurestue nusci sdousfus es cuers et	-⌫---------|---|--|--⌫--|--⌫|---|--|-|----|-|
ne leuruintpas	-|---|---|--|
pour mangerfruit	---|-----|----|
ne pourboirecesac hiés	-|---|----|-|---⌫----|
tuitpo r coili	---|--⌫|--|-|
pl useurdestr uitso n t	--⌫----|-----⌫--|--⌫-⌫|
q ui caarr ieresam éo n tcom detristrando nt	-⌫-|-|---⌫----|--⌫-|-⌫-⌫|--|-|-------|--⌫-|
uousa ués oiet	---|-⌫---|-|-|
depluseursasses.	-|-------|----||
maiscis tsont de finea mistienatureume nt entreplaié	---|---⌫|---|-|---|-⌫-----|---------⌫-|----------|
ta ntparla baisédo ucement parf ine amo ur	--⌫-|--|||-----|--⌫------|--|-⌫--|---⌫-|
etsisouuent	-|-|------|
que il reuient depa smisons	--|-|------|-|--⌫------|
ietekif ulons	---|-|-⌫|---|
l eseuls oe urepiteusement et	-⌫-|---|--⌫--|----------|-|
dist souefet beleme nt concilquies ttouses p erdus	---|----|-|------⌫-|--|--|--|--⌫|---|--⌫-⌫----|
cilgrant max dontmest	--|----|--|---||--|
ma issi tost	--⌫-|-|---|
c o mydoi neuoit q uie ns esbras	-⌫-⌫|----⌫-|---|-⌫-|-⌫|-⌫-|---|
letientestroitetq ui soue fl	-|----|------|-|-⌫-|----⌫||
ac olee t bai senesentmaisdol eur	--⌫--|-⌫|---⌫-|-|---|---|---⌫--|
nemesa ise car	-|----⌫--|--|
neroi tanta it com il	-|--|---|-⌫-|--|-|
a endroitsoi.	|------|--||
esthaitiésne l	--|-------|-||
dema n dé scaren	----⌫-⌫---⌫|--|-|
finsauo irlepoés.	--|----⌫-|-|----||
adontdistra i so nenterinemado uce	----|---|--⌫-⌫--⌫|-------|-|--⌫--|
damef rance etfineonqu e s maissigrant	---|-⌫----|-|---|----⌫-⌫|---|-|----|
court oisienefisten ceste morte lui ep ucele	-----⌫----|-|---|-|----|-----⌫|--⌫|-⌫----|
com uous faitaués	--|---|---|----|
oruousen rende dix lesg res.	-|---|-|----|--|--|-⌫--||
idoinelirespo nten bas couuertement carne	-----|-|-----⌫-|-|--|-----------|--|-|
ueutpasquilsacecomes tbien	---|--|-|-|---|--|--⌫|---|
deli amisfait ele	-|-|---|---|--|
oree st issiie saimultbien si l ai	--|-⌫-|---|-|--|---|---|-||-|
ueugrantma lauésp ourm o i eutra uail	--|----|--⌫|----|-⌫--|-⌫-⌫|-|---⌫---|
angousseires plusorspoide	-------|---|------|--|-|
i oi e maintes dolou rs	-⌫--⌫|------|-----⌫-|
ce poisem u lt durementq uaués	-|----|-⌫-⌫-|-------|-⌫|----|
sousfer tsigrieftor me ntsi longeme ntateldolour.	-------⌫|-|----|---⌫--⌫-|-|-------⌫-||--|-----||
oruousotroitoutemamor	-|---|----|----||---|
conuentcomuo usdirai sour	------|--|--⌫-|----|---|
toushom esuous	---|---⌫-|---|
oruouspenésd e streamiables etenseig niésetseruicables	-|---|-----||-⌫---|-------|-|------⌫----|-|----------|
f r an se tcourtois at oute gente tpreus et	-⌫-⌫--⌫|-⌫|-------||-⌫---|---|-⌫|----|-|
lar g esensementd ouset ge ntix a	---⌫-⌫-|-------|-⌫--|-|--⌫---||
acointierne ianamésfau slo sen gier	--------|-|-||----|---⌫|--⌫---⌫---|
orgu els ourfaitnedes mesurenefaitesia	----⌫-|-⌫------|-|---⌫-----|-|-----|-|
n en aiiéscure	|-|-----|---|
lai ssiéstrestout e	---⌫-----|--------⌫|
uilounieencriemete tout estoutie	-------|---------|---|-------|
soiiés de	------|-|
hautcueret desage c ar m ulteste s dehaut	---|---|-|-|---|-⌫-|-⌫--|----⌫|-|---|
p ardroitenature	-⌫-|-----|-----|
d euésdarm es preusestr e e talosés	-⌫----||---⌫-|----|----⌫|-⌫|------|
c aruostrepereetuo strea mi l aurontt os i o rs	-⌫-|-----|---|-|--⌫---|-⌫-||-----|-⌫-|-⌫-⌫-|
estéissi.	----|---||
eta uplustostq u euous porésd armes	-|-⌫|---|---|-⌫-⌫|---|-----||----|
auoirlesrequerésqueil	----|--|--------|--|-|
prientuostresigneurleducqui uo usueu tgr ant	-----|-----|------|-|--|--|--⌫-|---⌫|--⌫--|
honeur qu il les uous doinstsiricement	-----|-|-|--|---|-----|-|-------|
doi teta u ous	---⌫|-||-⌫--|
puis sierrésde terre en	---|-|-----|-|----|-|
terreuostrepri spou rc ach ier	----|-----|---⌫|---⌫--⌫---⌫--|
l arges soiiés	-⌫----|------|
etf rans etprousli	-|-⌫---|-|----|-|
u ostressoitdounésa	-⌫-----|---|------||
siuousserai loiaus amieatous lesiour s	-|---|----|-----|---||---|--|----⌫|
mais demauie .	---|-|-|--||
partelconuent uousdoin smamour	--|--|------|---|----⌫||----|
conques namaiius qu	|-----||---|---⌫-|
a cestiour ne n amerai	|---|---|-||-----|
iama isnulh oumea utreque	----⌫-|--|-⌫---|-⌫---|--|
uousce est	---|-|--|
sisoiie ́stexbiausd ousa mis	-|-----⌫-|--|----|-⌫--|-⌫--|
si uail lans etdeh autprisque	-|----⌫---|-|-|-⌫--|---|--|
sauue isoit lamours	----||---||-----|
u n anel oste de	-⌫|---|---|-|
son doio u sien lem ist	--|--|-⌫|---|-|-⌫--|
cestaneldor	---|---||-|
uoussaisis demamo urt ousiorsloiaument .	---|-----|-||---⌫-|-⌫--|---|--------||
bais edoucem entet du sien doitu nanel	----⌫|------⌫--|-|-|---|---|-⌫|---|
pristletré quensonmal	----|-----|-|-|--|--|
fairefist.	----|---||
deusnons entreposésestoitli anelesle tréspars eulement tan t	---|---|----------|-----|-|-----|--⌫----|--|-⌫-------|---⌫|
deconfo rt estoit	-|-----⌫-|-----|
trestournésde	-----------|-|
parledelit qui lenrec hut s et i nt	--|-|----|-|-⌫|-|---⌫--|-⌫|-⌫-⌫-|
o u malq uilnemorut	-⌫|--|-⌫|-|-|----|
maisquanty doine laueulesletreslis t	---|----|-⌫----|||--|--|-----|---⌫|
sa t outseucequiestoitentourescr i t	||-⌫--|--|-|--|-----|-----|----⌫-⌫|
multdo ucem ents eniueetritde	---|--⌫----⌫--||-|--|-|--|-|
che qui lest entrepos és.	--|-|-⌫|--|--------⌫--||
mais iesaibiende ueritesque	---|-|--|---|-|------|--|
plu s lifuleg ier a	---⌫|-|-|---⌫--||
rire pour couq u	---|---|--|-⌫|
ele enseu t l a	--|-|---⌫|-⌫|
mat ir equa unautre quinel	---⌫--⌫|-||-|----|--|-||
seustiapour	----|-|---|
riensnulne	----|--|-|
auli eudel	-|--⌫-|-||
a utreanelleme t puislidist	-⌫---|---|-|--⌫|---|-|---|
beletsou auetcestui	--|-|---⌫---|-----|
uoeltenir deparuous et	---|----|-|--|---|-|
sisachiést out aes trous	-|-------|-⌫--||--⌫----|
iamaisdemo inepartiratantcom	-----|-|--⌫|-|------|---|--|
n ostr eamiste s durraceert e n loiautetoudissen	-⌫----⌫|------⌫|----|-|--|-⌫|------|-----||-|
uousneremaintdos a mis.	---|-|------|--|-⌫--||
etilmer cilen rent	-|-|---⌫-||-|---|
issi comac ele	---|--||-⌫--|
quilag aridoutout et	--|||-⌫--|--|---|-|
rendue la uie.	-----|-|--||
deb on corage	-|-⌫-|-----|
lenmercie .	|-|-----||
q uantontparléaleurplais irtantke	-⌫---|--|-----||---|-----⌫-|-----|
dudepartirlecon gietpris tetsi	-|-------|-|---⌫---|----⌫|-|-|
sen u aitc om	|-|-⌫--|-⌫-|
acelui q ui bien estait.	|----|-⌫-|---|-----||
ora a complisonuol oir	-||-⌫-----|--|---⌫--|
ta nt lafa itdoloi r.	--⌫-|||--⌫-|-----⌫||
si tres gran ti oiea d esamourquetost	-|---|----⌫|-⌫--||-⌫||----|--|---|
reuin te nsac ou lour etcuer etcorslienforcist	-----⌫|-⌫|-|-⌫--⌫---|-|---|-|---|-|--------|
tantparam ende etembelis tcom	---|--|--⌫---|-|-------⌫|--|
c ilqu ia quanqueil ueutquede nul	-⌫-|--⌫||------|-|---|--|-|--|
m alma isnesede ut	-⌫-|--⌫-|-|-|--⌫-|
forsseulementd armes auoirdoutoutent out	---|--------||----|----|--|---|-|-⌫--|
a sonuoloir .	|--|-----||
tantesploi te	---|------⌫-|
auisasonpereeta ses	---||--|---|-||--|
amis enuient etsil e urd istbri ementqu e	---|-|----|-|-|-⌫-⌫-|-⌫--|---⌫----|--⌫|
il aillenthasti uemen t	-|------|-----⌫-----⌫|
son signourpourpri ier	--|------|---|---⌫--|
queillefa ce c heualier .	--|-|-|--⌫-|-⌫-------||
biausfi usmultparauésbie ndit	----|--⌫-|---|--|----|---⌫|--|
courttermesansr espit aure ́sarmes agrant	----|----|---|-⌫----|----⌫-|----||----|
hounourdeuo st renaturel signour toutmai ntenant au	------|-|--⌫--⌫-|------|------|---|---⌫------|-|
ducsenuo nt	--||-|--⌫-|
e tdouu a ll etmoustréli ont	-⌫|--|-⌫-⌫--⌫-|-------|-|--|
lidusleurrespont e nri antquemultena	-|--|---|------|-⌫|--⌫--|--|---|-||
lecuerioiantetqui l li donraric emant les	-|---|-----|-|-|-⌫|-|----|---⌫----|--|
