decesmessages enuoiathiebauz	-|--|-------|-----|-------|
torze tpor	---|-⌫|--|
no ien tdemand esiez	--⌫---⌫|------⌫----|
pl usbele ne plus fort	--⌫-|---|-|---|---|
neplusricheetquant l i	-|---|----|-|----|-⌫|
pe lerin laui re nt il	--⌫----|-|--⌫--⌫-|-|
se merue illerent mult e t	-|-----⌫-------|---|-⌫|
di stre nt	--⌫----⌫-|
as aut res	-|---⌫--|
comentporr oitest re prisete l	-----|----⌫--|---⌫-|----|--⌫|
uil l eparforcese d iexmeismes	---⌫-⌫|--|----|-|-⌫--|------|
les premieresnes	--|--------|--|
u indrentdeuantlauille	-⌫------|-----|-|----|
etaancrerentet atten dirent les	-|---------|-|-----⌫-----|--|
autres etalm aitin	-----|-|-|-⌫----|
fi s tmultbelioretmult	--⌫-⌫|---|--|--|-|---|
cler etuinrent les galies	---|-|------|--|-----|
totes etliuissier s	----|-|-|-------⌫|
e tlesautresnesquiestoient	-⌫|--|-----|--|--|-------|
arrierset pristrentle	------|-|--------|-|
force etromp irent	----|-|----⌫----|
l achaainequ i mult ere	-⌫|------|--⌫|---|--|
for ze tbienatorneee t	---⌫|-⌫|---|------|-⌫|
descendire nta	----------⌫-||
terresiqu e	----|-|--⌫|
p or z fuentrea uset lauille	-⌫--⌫|-|----|-⌫-|-|-|----|
lorsueissiezmaintcheuali e r etmaintseriant	---|-------|----|-------⌫-⌫|-|----|------|
desnes etma intbon	--|--|-|--⌫--|--|
destriertraire des uissierset	-------|-----|--|-------|-|
maintriche tr e et	----|----|--⌫|-|
paueillonen siseloia	--------|--⌫-|-|---|
etfuia dres assegiele	-|-|--⌫---|------|-|
ior de la s ainm artin	--|-|-|-⌫--|-⌫----|
a cele foiz	|---|---|
mieuenutuit	--|---|---|
carencore nere mie	--|-----||--|--|
m ar chis de monferat	-⌫--⌫---|-|-------|
quiere remesa rriere	--|--|----|-⌫-----|
p or affa ire queil auoit	-⌫-|----⌫--|--|-|----|
esten esdel	-----⌫-|--|
perchefuremes	-----|-|----|
maladesen ue nis eet	------|-|--⌫---⌫|-|
mah iusdemonmore nciet	---⌫--|-|-------⌫--|-|
qu antilfurentgarisi	--⌫--|-|-----|---|-|
monmorenciapresl	---------|----||
i ad r es mes estenesdelp erche	-⌫--⌫-⌫-|--|------|--|-⌫----|
nele f istmies i	-|-|-⌫--|--|-⌫|
il guerpil os t	-|-----||--⌫|
alaenpuilleseiorner	--|-|-----|-------|
auec l uisenala	---|-⌫-||-|--|
rotrodemonfor te t	----|-|------⌫|-⌫|
laia illeetmaintautre	-|--⌫---|-|----|----|
quimultenfurentb la smé	--|---|-|-----|-⌫--⌫---|
passerentaupa ssagedemar sensu rie	--------|-|--⌫----|-|---⌫|-|--⌫--|
le ndemainde lasaintm artinissirentde	|-⌫------|-|-|----|-⌫----|-------|-|
cels deiadre s et uinre n t	---|-|-----⌫|-|-----⌫-⌫|
parleral duc	-----|-|--|
deu en i se	-|-⌫--⌫-⌫-|
son paueillon et	--|--------|-|
lidistrentqueilliren droient	-|-------|--|-|-|---⌫------|
lacitee tt otes	-|---|-⌫|-⌫---|
le s lorcho ses sals lor	--⌫|--|---⌫--|---|--|
corsen samerc i etli	---|-|-|----⌫|-|-|
duxdis tquil	--|---⌫|-|-|
n enprendroit	|----------|
mieces tui	--|---⌫--|
nonas contesetas baronset	--|-|-----|-|-|-----|-|
qui leniroit a	-|-⌫|-|----||
elsparl er	--|----⌫-|
endemen tiersq ueilalap arler as	-------⌫------⌫-|-|--|-⌫----|-|
asbarons icele partie	-|-----|----|-----|
dontuosau ezoi arri eres	---|--|--⌫-|-|----⌫---|
quiuol oitl	--|---⌫--||
depecierparlerentasmessages	-------|--------|-|-------|
lor distre nt por	--|------⌫-|--|
quoi uo lez	---|--⌫--|
uosrendr euo stre	--|-----⌫|--⌫---|
citelipelerinneuos	---|-|------|-|--|
assailliron tmie ned aus	-----------⌫|--|-||--|
naue z uos g arde	|---⌫|--|-⌫---|
uosuospoezdefend r e de s	--|--|---|------⌫-⌫|--⌫|
uenisien s dontestes uos	--------⌫|---|----|--|
quiteetensi pristrent	----|-|---|--------|
qui au oit n omrobert	--|--⌫--|-⌫-|-----|
quialaasmursde la	--|--|-|---|-|-|
uill e et lor dist ceme isme s	----⌫|-|--|---|-|--⌫----⌫|
ensi rent rerentli	---|----⌫-----|-|
messa geen	-----⌫-|-|
uille e tfuli plais	----|-⌫|-|-|----|
liduxdeuenise	-|--|-|-----|
il uint asconte set	-|---|-|-----⌫|-|
asbaronssilor	-|-----|-|--|
s eignorensiuoelen tcilde	-⌫-----|---|------⌫|--|-|
la dedenzre ndre l acite	-|-----|--⌫---|-⌫|---|
sals l or corsama	---|-⌫-|---||-|
merc ineien enprendro ie pl ait cestuin e	----⌫|-|-||---------⌫-|--⌫--|-----|-⌫|
au treseparuos	--⌫--|-|--|--|
conseil nonetli b ar on	------|--|-|-|-⌫--⌫-|
r es pondirentsir enos	-⌫--⌫--------|---⌫|--|
uos loons queuosle	--|----|--|--|-|
preigneiz etsi	--------|-|-|
le uo sprion s	-|--⌫|-----⌫|
etil distque ille	-|-|---|--|-|-|
f er oit etil s en	-⌫--⌫--|-|-||-|
torne renttu i tensemble alpaueillon	-----⌫---|--⌫-⌫|-------|-|--------|
leducp or leplait	-|--|-⌫-|-|----|
prendreettr ouerent que li	------|-|--⌫------|--|-|
messa g e senf ure nt	-----⌫-⌫||-|-⌫---⌫-|
conseilacelsqui	------||---|--|
u ol oie n t lost depec ier	-⌫--⌫---⌫-⌫||--|-----⌫--|
etdonts e dr eca	-|---|-⌫|--⌫--|
un s abesdeualsde	--⌫|---|-|---|-|
lordredec i s tialset	|----|-|-⌫-⌫-⌫----|-|
lo rdistseignor i euos	--⌫|---|------|-⌫|--|
deffent de par lapos to ille	------|-|--||----⌫--⌫---|
as sailliezcest e citec arele	--⌫-------|----⌫|---|-⌫-|--|
es tdecrestiens etuos	--⌫|-|--------|-|--|
iestespe lerinet qu ant	-----|--⌫----|-|--⌫--|
destroiz e tdis t	-------|-⌫|---⌫|
as cont eset as	-|----⌫-|-|-|
sei gnorieauoiede ceste	---⌫---|-|----|-|----|
uilleplai ta mau olonteet	----|----⌫||-|-⌫-----|-|
uostregentl e	-----|---|-⌫|
toluet uosmauiezconuent	---|-|--||----|------|
queuos lemaider iez	--|--|-||-----⌫--|
aconquerreet	|--------|-|
ieuo ssem on	-|--⌫|---⌫-|
l e facoiz	-⌫|-----|
maintenantli	---------|-|
c onteetli	-⌫---|-|-|
baro nparlerenten sem b le	----⌫|--------|--⌫---⌫-⌫-|
lorpa rt iese tenoientet	--|--⌫--⌫-|-|-------|-|
distrentmulton tf a it	-------|---|--⌫|-⌫-⌫-|
g rantoltragecil quiont	-⌫---|------|--|--|--|
cestplai tdeffa ite tilne	---|----⌫|-----⌫-|-⌫|-|-|
fu onque sio rzq ue	-|-----⌫|--⌫-|-⌫-|
meissen tpaineaceste	-------⌫|----||----|
o s td epecier o rsomes	-⌫-⌫|-⌫------|-⌫|----|
honi senos nelaidons	---|-|--|-||-----|
apr end re	|--⌫---⌫-|
et iluien ental	-|-|----⌫--|-|
sire nosleuo s aideronsa	---|--|-|--⌫|-------||
prendre pormalde	------|--|--|-|
cel s quidestorne ́lont	---⌫|--|--------⌫||--|
ensifu liconsels	---|-|-|------|
priset almaitinaleren t	---|-|-|-----|------⌫|
logi erdeuantlesportes d e	----⌫-|-----|--|-----|-⌫|
l auile etsi drecier ent	-⌫|---|-|-|-------⌫--|
lorpe r rieresetlor	--|--⌫-⌫-----|-|--|
mangoni alse t lor au tres	-------⌫--|-⌫|--|--⌫---|
dontil auoient assez	---|-|------|----|
et deuersla	-|-----|-|
merdr essierent	--|--⌫--------|
le sesc hieles sor l e snes	--⌫|---⌫-----|--|-⌫-⌫|--|
lor comencierent	--|-----------|
ala uillea	|-|----||
l es pe rri e r e s asmurset	-⌫-|--⌫---⌫-⌫-⌫-⌫|-|---|-|
torsen siduracil	---|--⌫-|---|--|
assal sbien parcinque iorz	-----⌫|---|--|-----|---|
simistrentlor	-|-------|--|
trencheorsa une touret	---------||--|---|-|
cilcomencie renta	--|--------⌫---||
trenchie r	--------⌫|
lemuretquant	-|--|-|----|
dedenzuirent c esiquis trent	-----|-----|-⌫|-|----⌫----|
plaittotatretel	----|--|------|
il lauoient	-||------|
refu sé parle	----⌫--|--|-|
con seilacel squil	---⌫---||---⌫|--||
uoloientdepeci er	-------|------⌫-|
l auille r endue	-⌫|----|-⌫----|
e n lam ercileduc	-⌫|-|-⌫---|-|--|
uenise salslorcorset lors	-----|---|--|---|-|---|
dux asconteset	--|-|-----|-|
as bar onset	-|---⌫--|-|
se ingn orno sa uonsc este	--⌫----⌫-|--⌫|-⌫---|-⌫---|
ui lleco nquise parladieu	--⌫--|--⌫-----|--|-|---|
graceet p arl auos tre	----|-|-⌫-|-⌫|---⌫--|
i le sty uersentrez et	-⌫|-⌫-|-⌫---|-----|-|
nosnepoons mai s mo uoir de	--|-|----|---⌫|--⌫---|-|
citresq uealap as que	-|-----⌫-||-|-⌫--⌫--|
quarno sne tr oueriens mie	---|--⌫|-|--⌫-------|--|
marchieenautr el euet	------|-|----⌫|-⌫-|-|
cesteuill e siestmul t	----|----⌫|-|--|---⌫|
richeetmult	----|-|---|
bi e n gar nie	--⌫-⌫|---⌫--|
detoz bienssila	-|--|----|-|-|
par ti rons	---⌫--⌫---|
parmisiemprendromesla	----|-|-|---------|-|
moitieetuoslautre	-----|-|--||----|
ens icom ilfu	---⌫|--|-|-|
faitli uen icien	---|-|---⌫----|
siorentlapart iede uers	-|----|-|----⌫-|--⌫---|
leportoulesnesestoient	-|---|-|--|--|-------|
etli francoiso re n t l	-|-|-------|-⌫--⌫-⌫||
autrelorsfurentl iostel	----|---|-----|-⌫|----|
departi achascun	------||------|
endroit soi	------|--|
telcom il afferi	--|--|-|-----|
des loiali oset	---⌫---|-|-|-|
uindrentherberg ie r enlauill e	-------|-------⌫--⌫|-|-|----⌫|
etcum ilfurentherber gie ́ al	-|--|-|-----|------⌫---⌫|-|
tie rz ior	---⌫-|--|
apressiauintu n e mu lt	----|-|----|-⌫-⌫|--⌫-|
grantmesauentureen	----|----------|-|
lostendroithore	|--|------|---|
de uesp resque	-|----⌫--|--|
un emeslee	--⌫|-----|
comenca desuenisienset	------|--|--------|-|
desfrancoismult grant	--|-------|---|----|
et multfiereetcoru rent	-|---|----|-|----⌫---|
asarmesdetotesparz et	-|----|-|----|---|-|
f u si granzla	-⌫|-|----|-|
mesleequepoi	-----|--|--|
iotde sr uesou	|-|--⌫|-⌫--|-|
granz esto rs	----|----⌫-|
de speesetde	|-⌫----|-|-|
lanc es et darbalestesetde	----⌫-|-||---------|-|-|
darz etmult i ot	---|-|---||-|
genznaurez et	---|-----|-|
ue nis ienne	--⌫---⌫--|-|
po rentmie	--⌫---|--|
s ic omencierent mult a perdre	-⌫|-⌫----------|---||-----|
etlip r eudome	-|-|-⌫-⌫-----|
qu i neuol oient mi e	--⌫|-|---⌫----|--⌫|
lemaluin drent tot	-|--|---⌫----|--|
arméalamelle e	----||-|-----⌫|
etcom encierent	-|---⌫--------|
ades seu reret	|---⌫---⌫--|-|
lauoie nt dess eu ré	|-----⌫-|----⌫--⌫--|
en unleu lorsrecomencoit	-|-|--|---|----------|
e nunaltre	-⌫|-|----|
i ss iduratrosqueagrant	-⌫--⌫|---|------||----|
pie ced e nuit e ta	---⌫-|-⌫|---|-⌫||
granttrauailetag rant	----|------|-||-⌫---|
le departir enttot euoie et	-|--------⌫--|---⌫|---|-|
sach iezquece	----⌫--|--|-|
f u laplus	-⌫|-|---|
granzdolorsquionques	----|-----|--|-----|
auenisten o stet	------|-|-⌫-|-|
poique liostnefu	--|--|-|--|-|-|
toteper duemaisdiex ne	---|---⌫--|---|---|-|
uoltmiesoffrir	---|--|------|
multiotgrantdomage damb edeus pars	---||-|----|-----||---⌫----|---|
lasifu morzuns	-|-|-|---|--|
haulzhomdeflandresqui auoit	----|--|-|-------|--|----|
nom gile sdelandas	--|----⌫|-|-----|
fuferu z parm ilu el	-|----⌫|----⌫||-⌫-|
dece cop fu mo rz	-|-|--|-|--⌫-|
mellee et maint aut re	-----|-|----|---⌫-|
d o ntilnefumie	-⌫-⌫-|-|-|-|--|
grantpa rolelorsorent li	----|--⌫---|---|----|-|
deuen iseetli	-|---⌫--|-|-|
g ranttr au ailtote	-⌫---|--⌫--⌫--|---|
celesemaine	---|------|
de fairepais de	-|----|---|-|
celemellee et tan ttra uaillie ren t	---|-----|-|---⌫|---⌫-------⌫---⌫|
quepaisenfu	--|---|-|-|
dieum erci	---|-⌫---|
apr escel equin zai ne uintlimarchisbonif aces	---⌫-|---⌫|----⌫---⌫-|---|-|------|-----⌫---|
demonfera tquine re	-|-------⌫|--||-⌫-|
mie enc oresuenuz	--|---⌫---|----|
etmahieusde mon mo ren cietpierres debraiecu el	-|------|-|---⌫--⌫---⌫-|-|------|-|-------⌫-|
etmainthautreprodo me	-|----|-----|-----⌫-|
et apres une hautrequi nzaine	-|----|--|-----|---⌫-----|
reuindrent limessage	---------|-|------|
dalema igne	|-----⌫---|
quiestoient	--|-------|
alroi phe lippeet	-|--|---⌫----|-|
aluale tde co st a ntinople	-|----⌫|-|--⌫--⌫-⌫-------|
assemblerentli baronet li	-----------|-|----|-|-|
duxdeueniseenun	--|-|-----|-|-|
ouliduxerea ostel	-|-|--|--||----|
etlorspa rl erent lim essage et	-|---|--⌫--⌫----|-|-⌫-----|-|
di stren tseignorle	--⌫-----⌫|------|-|
roy phe lippe	--|---⌫----|
nosenuoie a	--|-----||
uos et lifils l	--|-|-|---||
empereordeco s tant inoplequifre re	-------|-|--⌫-⌫----⌫-----|--|---⌫-|
sa fammeest	-|----|--|
seig norfaitliroys	----⌫--|---|-|---|
i euosenuoi era ile	-⌫|--|-----⌫---⌫|-|
famesilemet	---|-|-|--|
enl adieumainquile	-|-⌫|---|---|--|-|
g art d emo rt eten	-⌫--|-⌫|--⌫-|-|-|
lauostre por c e	-|-----|--|-⌫|
p or die uet pordroit	-⌫-|---⌫|-|--|----|
et pori ustis e si	-|--|-⌫-----⌫|-|
c eusqui sontde sher ité	-⌫--|--|---|--⌫----⌫---|
a tor t rendre lor heritages	|---⌫|-----|--|--------|
seuospoezet	-|--|---|-|
uosfer alaplus h autecon uen a nce	--|---⌫|-|---|-⌫---|---⌫---⌫-⌫--|
quionquesfust	--|-----|---|
laplusriche	-|---|----|
aiea laterredoltremerconquerre	--||-|----||-------|--------|
totpr emierementsed iex	--|--⌫---------|-|-⌫--|
do nequeuos	--⌫-|--|--|
re metezensonheritage il	--⌫----|-|--|-------|-|
metratotlempirede	----|--||-----|-|
ro man ie alaobedience	--⌫---⌫-||-|--------|
derome donte le ere	-|---|---|-⌫-|--|
partie piecaapresilset	-----|----|----|-|--|
queuosauez misleuostre	--|--|---|--|-|-----|
ies tes poure	---⌫--|----|
donrayyy yyymars	----|-|-⌫|-|---|
etuiandeatozcels	-|-----||--|---|
de lostapetizeta	-||--||----|-||
gra nzetilsescors	---⌫-|-|-|--|---|
i raauec uos	-⌫-|---|--|
enlater re de	-|-|---⌫-|-|
babilloineouenuoiera seuoscuidiez	---------|-|-------|-|--|------|
seraatoz yyyy	---||--|-|-|
homes a sadespe nseet	----||-|-----⌫--|-|
seruise u os feraparunan	------|-⌫-|---|--|-|-|
eta toz les iorsde	-||--|--|---|-|
u ietendrayyyy	-⌫-|-----|-|-|
cheualiers	---------|
terred oltremersi	----||-------|-|
l es ten draalsuen	-⌫-|---⌫--|-|---|
sei gnordecea uonsnos plain	---⌫---|-|-|-⌫---|--|----|
limessag edeseu rer	-|------⌫|-|---⌫--|
cesteconuenance se uosle	----|---------|-|--|-|
uolez asseurer	----|-------|
deuers u os	-----|-⌫-|
et sachiezquesi halte	-|------|--|-|----|
conuenancenefoo nques	---------|-|-|-⌫----|
m esoff ertea g entne	-⌫-|---⌫---||-⌫--|-|
tala ntde conquerrequi cest i	----⌫-|-|--------|--|----⌫|
refusera etil	-------|-|-|
il en p arlero nt et fupris	-|-|-⌫------⌫-|-|-|---|
u nparlementa	-⌫|--------||
l end emain	|---⌫----|
fur entensembl e	---⌫--|-------⌫|
cestepa rolemostree	----|--⌫---|------|
laot parl é enmaintendroite t pa rla	-|-|----⌫-|-|----|------|-⌫|--⌫--|
labe sde ualsdel	|---⌫|-|---|-||
ordre de cystiaus etce lepartie	----|-|-------|-|--⌫-|-----|
quiuoloitlost	--|-----||--|
depeci eretdistrent	------⌫-|-|-------|
nesiacco rde r oient mie	-|||----⌫---⌫-⌫----|--|
que ce ere sorcrest i ens	--|-|--|--|-----⌫-⌫--|
et i ln estoient	-|-⌫||-------|
ceme u ainz uoloient	-|--⌫|---|-------|
etlautreparti e	-||----|-----⌫|
lorrespon di	--|------⌫-|
bel seignor	--|------|
ensurie nepoez u os	-|----|-|---|-⌫-|
rienfaireet si	---|----|-|-|
celsmeismesq ui	---|------|-⌫-|
n osont deguerpizetil	-⌫-|--|--------|-|-|
sontaléasautresporz	---|---|-|-----|---|
et sachiés	-|-------|
q ue parlaterre	-⌫-|--|-|----|
deba bilo ine oup ar	-|--⌫----⌫--|-|-⌫-|
gr ece iertrecoureela te rre	--⌫--|---|-------|-|--⌫--|
doltremers eleiamais	|-------||--|-----|
est recoureeet senos	--|-------|-|-|--|
ces tec onuenance	---⌫-|-⌫--------|
nos someshonia toz	--|----|---||--|
ensi ere endisc orde l	---|--|-|----⌫---||
uosmerueilli ez	--|---------⌫-|
mie sela lai egenz	--|-|-|---⌫|---|
e reendis corde	-⌫-|-|---⌫----|
blancmoined e lord re	----|----|-⌫||---⌫-|
dec istiaus	-|-⌫------|
er entaltr es ien	--⌫--|----⌫--⌫|-|
dis co rdeenlostli	---⌫--⌫--|-||--|-|
abes de loz qui mu ltere	---|-|--|--|--⌫-|--|
sainzhometp rodom	----|--|-|-⌫----|
quialui se	--||--|-|
te noientprecoiente t crioient	--⌫-----|--------|-⌫|-------|
merci ala i ent que il	----||-|-⌫--|--|-|
pordie utenissentlost	--|---⌫|--------||--|
ensamb leetqueilseus sent	------⌫-|-|--|-|----⌫---|
ceste co nuena nce carce est	----|--⌫-----⌫--|--|-|--|
la chos epar	-|----⌫|--|
qoionpue t	--|-|---⌫|
mielzrecourerlaterre d	----|-------|-|----||
oltre mer e tl abesdeuaus	-----⌫--|-⌫||---|-|---|
se tenoien t repreechoient mu ltsouent	-|-------⌫|------------|--⌫-|-----|
etdi soient	-|--⌫-----|
eremalsmais alassent	--|---|---|-------|
la terrede surie	-|----|-|----|
et fe issent que	-|--⌫-----|--|
ilporroient	-|--------|
lors uintl imarchisbonifaces demonferrat	---|---|-⌫|------|--------|-|--------|
e t baud oi nsli cuensde flan dres	-⌫|----⌫--⌫-|-|----|-|----⌫---|
cuensloeyset	----|----|-|
l icuenshu esde sainpol	-⌫|----|--⌫-|-|---|--|
et cilqui ael x	-|--|--||--⌫|
se te noient et	-|--⌫-----|-|
distrent queil	-------|--|-|
f eroient cesteconuenanc eque	-⌫------|----|---------⌫|--|
il seroien t hon ise il	-|-------⌫|---⌫|-|-|
lare fusoiente nsi s	-|--⌫-------|-⌫--||
enaler ent	-|----⌫--|
al oste lle	||----⌫|-|
fur ent man d élimesetasseurerentlaconuenance	---⌫--|---⌫-⌫-|-|--|-|----------|-|---------|
si comuosl	-|--|--||
auez oiarri ere	---|-|----⌫--|
parsai rem enz	--|---⌫---⌫--|
etparc hartrespend anz	-|--|-⌫------|----⌫--|
uosre trai tli	--|--⌫----⌫|-|
liures que il nefurent	-----|--|-|-|-----|
que yyquiles	--|-|--|--|
sair emenziurere ntdelapartie des	----⌫----|------⌫-|-|-|-----|--|
fr ancoisne	--⌫-----|-|
pooien ta uoirdecelsfuli	------⌫|-⌫---|-|---|-|-|
u nsli marchisde	-⌫-|-|------|-|
monferratlicuensbaudoinsde	--------|-|----|-------|-|
fl andreslicuens loeis	--⌫-----|-|----|----|
etd e chartein	-|-⌫|-------|
cuensh ues de sain pol	----|-⌫--|-|---|--|
setenoi ent ensif ula	-|-----⌫--|---|-⌫|-|
conuenanc efaite etles ch art res	---------⌫|----|-|--|--⌫---⌫--|
faitesetmis	-----|-|--|
t ermesquan tliu alez uendr oit	-⌫----|----⌫|-|-⌫---|-----⌫--|
laquin z aine depa sq ue	-|----⌫-⌫---|-|--⌫--⌫-|
en siseiornalost	--⌫-|------||--|
desfr ancoisa iad re s	--|--⌫-----||---⌫--⌫|
yue rcontre le	---⌫|-----|-|
hongrie etsach ie z	------|-|----⌫--⌫|
queli cu er desge nz	--|-|--⌫-|--|--⌫-|
nefurentmieen pais que	-|-----|--|-|---|--|
l unede s par tiesse	|--|--⌫|---⌫---|-|
trauaillaace que	--------||-|--|
departistet	--------|-|
set enistensemb le	-|-⌫----|------⌫-|
embler entdesmen ues genzes	------⌫--|--|---⌫--|---|-|
nesdesm a rcheans en	--|--|-⌫-⌫------|-|
embler ent	------⌫--|
bienyy si noiere nt	---|-|-|------⌫-|
tuitetfurentperdu une	---|-|-----|----|--|
al trecompaignies enembl a	--⌫--|---------||-|----⌫|
parterreetsi sen	--|----|-|-||-|
cu idaal e rparesclau onie et	--⌫--|--⌫-⌫|--|------⌫---|-|
lipaisa n tdela	-|-----⌫-⌫|-|-|
lesassaillirentetenocis trent	--|-----------|-|-|----⌫----|
s enreparierentfuiant	|-|----------|-----|
enlostete nsien	-||--|-|-⌫--|-|
aloientforment ename nuissantcas cuniorencel	------|------|-|---⌫-------|---⌫--|--|-|--|
terminesetrauailla	------|-|--------|
halz hom delostqui	---|--|-||--|--|
eredal emaignegarniers de	--||--⌫------|-------|-|
borlande queilsen	-------|--|-||-|
alaenunenefd emercheans	--|-|--|--|-⌫|--------|
etguerpitl ostdontil	-|------||--|---|-|
recutgrantbla sme	----|----|---⌫--|
apr es n e tarda	---⌫-|-⌫|----|
gairesqueuns	-----|--|--|
defranc equiot	-|-----⌫|--|-|
no m renauzdemonm ir ailpria	--⌫|-----|-|----⌫--⌫--|---|
tantparlaiele conte	---|--||--|-|----|
loeysqueilfuenuo iezen	----|--|-|-|----⌫--|-|
s urieenmess age enune	-⌫---|-|----⌫--|-|--|
desn esde lestoiree tsi	--|-⌫-|-||------|-⌫|-|
sainzde son	----|-|--|
poing destr eetil et t uit li	----|-----⌫|-|-|-|-⌫--|-|
cheu alierqui	----⌫----|--|
ale r ent q uededenz laquinzaine	---⌫-⌫--|-⌫-|-----|-|--------|
sero iente n	----⌫---|-⌫|
su rie etau roient faitl or	--⌫--|-|--⌫-----|---|-⌫-|
m essa gequeilrepaireroient	-⌫----⌫-|--|-|------------|
arriereen lo stpor	------|-||-⌫-|--|
cesteconuenance sedepar t ide	----|---------|-|-----⌫-⌫|-|
lostetaueclui	|--|-|---|--|
heruisdelcast el sesniersguil lielmesle	-----|--|----⌫-|--|----|----⌫------|-|
d echartres	-⌫|-------|
gefr oisde	----⌫--|-|
b elmont ioha ns	-⌫-----|----⌫-|
defroeu ille	-|-----⌫---|
pierres sesfreres	------|--|-----|
maintal tree t li	----|--⌫--|-⌫|-|
saireme nz que ilfiren t n e	-------⌫-|--|-|-----⌫|-⌫|
furen tm iebien tenu	-----⌫|-⌫-|---|---|
nerepair i erent	-|------⌫-⌫----|
p as enl os t	-⌫-|-||--⌫|
lo rsreuint unen ouelle	--⌫-|-----|--|-⌫-----|
en l ostqui fu	-||--|--|-|
uolentierso iequeli	---------|-⌫-|--|-|
esto ir esdeflandr esdontuos	----⌫--⌫-|-|------⌫-|---|--|
auezoiar r ieres	---|-|--⌫-⌫----|
ariueza ma rseilleet	-----||--⌫------|-|
d eneelechas tellainsdebrugesquiere ch euetaines	-⌫|----|----⌫-------|-|-----|--|--|--⌫--------|
decelos tettierisqui	-|--|--⌫|-|-----|--|
f uf i lsleconte ph elippe	-⌫|-⌫-⌫-|-|----|--⌫-----|
fla ndr e set nichol es de maill imanderent	---⌫---⌫-⌫|-|------⌫-|-|-----⌫|--------|
def land res	-|-⌫----⌫--|
lor seignor qu e	--|------|--⌫|
il iuernoient	-|---------|
am ars eilleet	|-⌫---⌫----|-|
queil l ormand astsa	--|-|-⌫-|----⌫--|-|
uo lenteq ueilferoientceq ue	--⌫----|-⌫-|-|-------|-|-⌫-|
illormanderoitetil	-|--|--------|-|-|
lorm and aparleconse il	--|-⌫---⌫|--|-|-----⌫-|
d ucdeuenise	-⌫-|-|-----|
autr esb arons que i lmeussen t	----⌫-|-⌫----|--|-⌫|-------⌫|
al iss uedema rzet	||---⌫-|-|--⌫-|-|
uen issentencontrelui auport	---⌫-----|-------|--|-|---|
mout onen romanieh alasillatendirentsi	----⌫-|-|------|-⌫---|-||---------|-|
maluaisementque	-----------|--|
onquesconuenznel or	-----|------|-|-⌫-|
ainzs en al erentens urie	---||-|--⌫----|-|-⌫---|
ou i l sauoientqueilne	-|-⌫|-------|--|-|-|
fer oi entnul	---⌫--⌫--|--|
or poe zsauoirseignorque sediexne	-|---⌫|-----|------|--|-|---|-|
am astce steostqu	--⌫--|--⌫--|--|-|
elenepeustmiet e nir	--|-|----|--|-⌫-⌫--|
ens embl e a ceque ta nt	---⌫----⌫||-|--|--⌫-|
degent liqu eroient	-|---|-|--⌫------|
lorspa rl e ren tl i	---|--⌫--⌫-⌫---⌫|-⌫|
baro nensemblesi	----⌫|-------|-|
distrent q uilenuoiero ient	-------|-⌫|-|--------⌫---|
aromealapostoil le	|---|||--------⌫-|
porce que illo r sauo itmal	--|-|--|-|--⌫|----⌫-|--|
gredela prise de iadres	--|-|-|----|-|-----|
etesli strentmessagesyy cheua li ersetyy clers	-|----⌫-----|-------|-|-----⌫--⌫--|-|-|----|
telxquilsau oient	---|-|-|---⌫----|
bonfuss ent	--|----⌫--|
a ces tmes sage	|---⌫|---⌫---|
d es y yclersfuli	-⌫-|-⌫|----|-|-|
u nsneuelons l ieues quesde	-⌫-|-------|-⌫|----⌫---|-|
sois onsetmaistreioh ans de	----⌫--|-|------|---⌫--|-|
noion qui e re	----|--|-⌫-|
canceli erslecontebaudoin	-------⌫--|-|----|------|
de flandr e s	-|------⌫-⌫|
et de s cheua liers	-|--⌫|-----⌫----|
fuliunsiohans	-|-|--|-----|
de fria iseetroberz de	-|----⌫--|-|-----|-|
boueetciliurerentsor	---|-|--|-------|--|
sainzloialment que	----|--------|--|
f eroi entlemessage	-⌫----⌫--|-|------|
bonefoietqueil	---|--|-|--|-|
repair eroi ental ost	------⌫----⌫--|||--|
tindrentbienli	-------|---|-|
troietliquarz	---|-|-|----|
mal ua isementetcef uroberz	---⌫--⌫------|-|-|-⌫|-----|
deboueqarilfis tl e	-|---|--|-|---⌫|-⌫|
messaieal pi s qu il potet	------|-|--⌫|-|-|--|-|
sen periur aet	|-|------⌫|-|
ensurieapres l es	-|----|----|-⌫-|
et l iaut re	-|-⌫|---⌫-|
t ro i le firent	-⌫--⌫|-|-----|
mu lt bienetdistr ent	--⌫-|---|-|-----⌫--|
lormessageensi	--|------|---|
commanderent	--|--------|
libaron etdistr ent a	-|----|-|-----⌫--||
lapostoilleli	|---------|-|
merciuos cr ient de la	----|--|--⌫---|-|-|
p risedeiadre squ e il	-⌫---|-|-----⌫|--⌫|-|
le fistrentco m eci lqui	-|-------|--⌫-⌫|--⌫|--|
mielz nep ooientfai re por	----|-|-⌫-----|---⌫-|--|
lad efautedec els qui	-|-⌫-----|-|-⌫--|--|
estoie ntalé aus	------⌫-|---|--|
au tresp orzet	--⌫---|-⌫--|-|
queau tremen tnepooient	--|--⌫------⌫|-|------|
teni rlos tensemble	----⌫||--⌫|-------|
sorceman dentauoscon me	--|-|---⌫---||--|---⌫-|
