O iezseignourbarounDie usuouscroiss e	-⌫--|-------|-----|---⌫-|---|------⌫|
tou rsontremés	---⌫|---|-----|
Ilsail lissent	-|----⌫------|
conseildemande r .	------|-------⌫||
EtliroisDan emonsaGuion escri é	-|-|---|---⌫----||----|-----⌫-|
uass aus qui	----⌫--|--|
estesuos tro paurai demoré .	----|--|---⌫|----|------||
Lorsb rochele cheuall efrainabando né	---|-⌫----|-|-----|-⌫|----|------⌫--|
EtGuisrelaisse courre	-|---|-------|-----|
ademore ́.	|------⌫||
Mer uilleus coussedonentsor le se scusbandez	---⌫------|---|-|-----|--|--⌫|-⌫---|-----|
Queillesont etfr ais etestroe ́s.	--|-|--|--|-|--⌫--|-|------⌫-||
Tantso n t	---|--⌫-⌫|
fortl i hau bercmail le nanest	---|-⌫|---⌫---|----⌫-||-|--|
Etliespiel s ontroide	-|-|-----|-⌫--|----|
qu ilne sont p asfroé.	-|-|-|---|-⌫-|----||
Pa rtel uertules portent li	--⌫|--|----|--|------|-|
destrier abri eué	-------|----⌫---|
Quelesce n glesro mpirentne porent pl usdurer	--|--|--⌫-⌫---|--⌫------|-|-----|--⌫-|----|
Et selesetes tr ier	-|----|-|--⌫--⌫--|
refirent autretel.	-------|-------||
Parde seurelescr oupes	--|--⌫----|--|--⌫----|
desdestrier s seiornés	--|--------⌫|--------|
Sesont l iduiba ronàlate rre porté	-|---|-⌫|--|--⌫--|-|-|--⌫--|-----|
Siquel icuingdes hiaumessont	-|--|-⌫|----|--|------|---|
ensambl ehurte ́s	-------⌫|-----⌫-|
Et andeus lesescuslorsont	-|-----|--|----|--|---|
de scousuolés.	--⌫|---|-----||
Delango issequilorent sont il	-||----⌫---|-|-|----|---|-|
anduipasmé .	----|-----||
Ai nspéustonmult bien	--⌫-|-----|-|---|---|
une gr a nt	--|--⌫-⌫-|
Queli unsneliautres se péust remuer .	--|-|--|-|-|-----|-|-----|-----||
Cilde latour le	--|-|-|---|-|
uoient mul t ensont	-----|---⌫|-|---|
Parmonchiefdis t Bertransgransco us sesontdoné	--|--|----|---⌫|-------|----|--⌫-|-|---|----|
Larcheuesq ue	|---------⌫-|
Huidreescrié	-----|------|
Biaus sireàref aire	----|---|-|---⌫---|
estpor Dieu	--|--|---|
d emaiesté	-⌫|-------|
Faitesles remonterparuostreloiauté.	-----|--|-------|--|-----|-------||
f oidist Huidelon ie l otroietlegr é	-⌫-|---|-------|-||----|-|-|--⌫-|
Lors broc helec heua lcelepartestalés	---|----⌫-|-|-⌫----⌫|---|---|--|----|
E tli.uII.cheualierquio	-⌫|-||--||--------|--||
lui sontre més.	--|---|--⌫---||
Il descen dent	-|------⌫---|
des destriers s eiornés .	--|--------|-⌫-------||
Huid e lonlesafa ite nla pl aceamener	----⌫-⌫--|--||--⌫-|-⌫|-|--⌫--|-----|
Etle destrierGui on	-|-|-------|---⌫-|
refaitestro it	-----|-----⌫-|
Led estrierDanemontrefait bi en anseler	-|-⌫------|-------|-----|--⌫-|------|
Atants ont libaron r euenudepasme r.	----|-⌫--|-|----|-⌫----|-|-----⌫||
SainteMa ri eDame d ist Guions lis enés .	-----|--⌫--⌫|---|-⌫--|-----|-|-⌫----||
Ilfistcro issorson front	-|---|---⌫-|--|--|----|
àDieusest commandé s	-|---||--|---------⌫|
E tH uidelon lifet son	-⌫|-⌫------|-|--|--|
destri eramener	------⌫-|-----|
Et li anfes	-|-|----|
imontes ans plus dedemore r	|----|-⌫--|---|-|------⌫|
EtHuidel onli	-|------⌫-|-|
faitson escu	---|--|---|
Pui s s aisi.	---⌫|-⌫---||
I. espi el	||----⌫-|
dontlifersfuquaré s.	---|-|---|-|------⌫||
EtDanemonsre monteq uigentil sestet	-|-------|--⌫----|-⌫-|------⌫|--|-|
Asa uois quil o t cle re commença	|-|---|-|-|-⌫|---⌫-|--------|
ParMah omet mo nDieutropauons	--|---⌫---|--⌫|---|---|----|
Iendéus seor e auoirteus .	|-|-----⌫-|--⌫|----|---||
XIIII . tue ́s.	----||---⌫-||
-SeDieup laistce	|-|---|-⌫----|-|
quant uosmeschaperés	----|--||----------|
Siertaparissant commentuosle fere ́s.	-|--|---------|------|--|-|----⌫-||
L arche uesques	|-----⌫------|
Turpins e s t enhaut e scriés	-----||-⌫-⌫|-|---|-⌫------|
SireG u i sde Bo rg oigne o r uosdoit remem brer	---|-⌫-⌫-⌫|-|--⌫--⌫----|-⌫|--|---|-----⌫---|
D e Sa ns e uostre pere	-⌫|--⌫--⌫|-----|---|
quigentils estetber	--|------|--|-|--|
Que onq uesne	--|---⌫--|-|
uéistes antres toutu ost re	-------|-|----⌫---|-⌫---⌫-|
Etseuos b ienn elfa ite siamès	-|-|--|-⌫--|-⌫-|--⌫---⌫|-----|
neleuerre ́ s .	-|-|-----⌫-⌫||
Qu antlenfesGuis l ententlicuers	--⌫--||----|---||-----|-|----|
liestleués	-|--|-----|
lorsne dou ta st il.IIII .roiscoroné sT ur cs	---|-|---⌫--⌫-|-||---||---|-------⌫|-⌫--⌫-|
Où quiluoit Danemontce le p art	--|-|-|---|-------|--⌫-|-⌫--|
estalés .	--|----||
OR furentlibaron	-|-----|-|----|
cheuauzdepris.	------|-|---||
Ilbaissier entle slan chesasgonfanons d epris	-|--------⌫--|--⌫|---⌫---|-|--------|-⌫|---|
Et bro chen t les	-|---⌫----⌫|--|
che ua ux quifurentademis.	---⌫--⌫-|--|-----|-----||
Merueilleus coussedonentesescusd a sur	----------|---|-|-----|-|----||-⌫--|
Iamèsd e sifortio s tenorraparle rmarchis.	-----|-⌫|-|---|--⌫-⌫-||---|-----⌫|------||
Le slanchess ont br is iesneporentp lus soffrir	--⌫|------|-⌫--|--⌫--⌫--|-|-----|-⌫--|------|
To tcontreu al le schans enuolen t	--⌫|-------⌫-|--⌫|----|-|-----⌫|
li esclis.	-|-----||
Par teluertulespor te ntli	--|--|----|--|---⌫--⌫-|-|
boncheual braidis	--|-----|------|
Des escusdelorcousse f ier en tens	--|----|-|--|---|-|-⌫---⌫--⌫|--|
Quer egneset e narmesfirent	--|-⌫----|-|-⌫-----|-----|
tot desartir.	--|-------||
Deci iusqu esespaulles sont desc ous	-|-|----|-|--------|---|--|-⌫--|
Nis lioeild e lortesteslor	--|-|---|-⌫|--|-----|--|
furent esbloïs	-----|-------|
Ainséussiésalé . II .arpens	---|--------|---||-||-----|
Queluns nesetdelautrequelpart	--||--|-|--|-||----|---|---|
ilest guencis.	-|--|------||
LenfesGui s deBorgoigne fumult	|----|---⌫|-|--------|-|---|
ama n e uis	---⌫-⌫-⌫--|
Meruilleuscop li done	---------|--|-|---|
enl escud asurbis	-||---||---|--|
Qu e lesflorsetles pierresan	--⌫|--|----|-|--|------|-|
fistaualsaillir.	---|---|------||
Laco if felitrancha dublancha uberc	-|--⌫--⌫-|-|------|-|----|--⌫----|
fust la cu irie qu e liTursot	---|-|--⌫---|--⌫|-|---|-|
Totléustpo rfand ucontreualiu squ elpis .	--||----|--⌫-----⌫|--------|--⌫--|-|--||
Por quantsil a	--|----|-|||
duc opencombré eta quis	-|-⌫-|--------|-|-⌫---|
col dudestri e rli fist l es	--|-|------⌫-⌫|-|---|-⌫-|
dens uenir	---|----|
Lia rço ns dela s el e	-|-⌫----⌫-|-|-|-⌫--⌫|
estfro issie ́s sorsonpis.	--|---⌫-----⌫-|--|--|--||
Cont r e ualue rssenestreestli bons	----⌫-⌫-⌫--|--⌫-|-------|--|-|---|
bransgancis	----|-----|
Amo ntdesuslespau l lealauberccon suï	---⌫-|----||-----⌫-⌫-|||-----|---⌫---|
Plusde.I II Ic.	---|-||-⌫--⌫-||
maille s ou ̀fuli	------⌫|--⌫|-|-|
Enafaitdefa us ersicom distliescris.	-||---|----⌫--⌫-|-|--|---|-|-----||
sa genoillenepotl e	|-⌫-------|-|--|-⌫|
c opso sfrir	-⌫-|--⌫----|
Siquenlerbedu pré li m usiau s	-|-|-||---|-|---|-|-⌫-----⌫|
E tqu antilsailli	-⌫|--⌫--|-|-----|
sussif utou s	--|-|-⌫|---⌫|
. arpensgalopeparmile	|-----|-----|----|-|
pré flor i	---|----⌫|
Que n esotDane mons	--|-⌫|--|----⌫---|
quelpartil	---|---|-|
dutgancir.	--|-----||
Lenf e sGuis li es c rieDeçà uousai	|---⌫-⌫|---|-|--⌫-⌫--|-----|---|-|
Pansésde l	------|-||
al egeruousauésauantpris	--⌫---|---|----|----|---|
lat o urlentend ente t chas c un	-|-⌫-⌫-||------⌫--|-⌫|----⌫-⌫-|
ro isDane m on ssent	--⌫-|----⌫-⌫--⌫|---|
quecillaferu	--|--|||---|
EtHuidel on	-|------⌫-|
sesperesauoit	--|----|----|
lecou puéu	-|---⌫|---|
ontgranti oieéu	--|----|-⌫--|--|
Plu sli est del a	---⌫|-|--|-|-⌫|
hont equede lahan nefu.	----⌫|--|-||---|-|-||
Il b ro chele	-|-⌫--⌫--|-|
destr iersor eliestc oru	-----⌫--|---⌫|-|--|-⌫--|
OùqueiluoitGuionnelir ent	--|--|-|---|----|-|-|-⌫--|
Ainslia escrié parmult ru ist e	---|-||------|--|---|--⌫---⌫|
Parmonchiefdansu assaus	--|--|----|---|-⌫-----|
auésf eru	----|-⌫--|
ainçois le uespreneuousaiconfo ndu	-------|-|-----|-|---|-|-----⌫--|
Iamès nesoitpucelequi m e tiegnea ̀	-----|-|---|-----|--|-⌫|-----|-⌫|
Il brochelecheu al plusniaatandu	-|-----|-|----⌫-|---||||-----|
Meruillouscoplidone desor lehi aum eagu	---------|--|-|---|----|-|--⌫---⌫|--|
Amo ntes ma istresquaresqui à orfubatu.	---⌫-|-|--⌫-----|-----|--|-|-|-|---||
La coi ffe litranchadelc lauainquibonsfu	-|---⌫--|-|------|--|-⌫-----|--|---|-|
S enefustliga nbai s quel	-⌫|-|---|-|--⌫----⌫|--||
en f es otuestu	--⌫-⌫-|-|----|
force deDieu	----|-|---|
Etlesbones	-|--|----|
prier esoùl	-----⌫-|--||
a rche uesquesf u	-⌫----⌫------|-⌫|
Ius qu elneudubraierléu s t	---⌫-|-|--|-|-----||---⌫-⌫|
totporfandu.	--|-------||
P orquantl	-⌫-|----||
ducopc hargiéetconfondu	-|--|-⌫------|-|-------|
Sorlar ço n dela	--||--⌫---⌫|-|-|
selel aenuers aba tu	---|||-----|---⌫-|
trançatout out rel equart ier	------|---|---⌫-|-⌫|-----⌫--|
De susl a i ambe d estre	--⌫--|-⌫|-⌫---|-⌫----|
alaubercconséu	||-----|------|
m aillesenaiusaba tu	-⌫-----|-||--|---⌫-|
Pi é etd emi	--⌫-|-|-⌫--|
ferilespéeel	---||-----|-|
p réherbu.	-⌫--|----||
Da nemo nt len	--⌫----⌫-||-|
resa chequimulto tdeuertu	----⌫--|--|---|-⌫|-|----|
OùqueiluoitGuio n n ese tintmie mu	--|--|-|---|----⌫|-⌫|-|---|--|-|
Aincoisli escri aD eçàuo usaisant u.	------|-|-----⌫|-⌫----|--⌫-|-|----⌫||
Cu idiésu ous q ue géu sse	--⌫-----|-⌫--|-⌫-||---⌫--|
lecu ers iesperdu	-|--⌫-|-⌫|------|
Quep or uostreranposne	--|-⌫-|-----|-------|
méu ssiés decéu	|---⌫-----|-----|
Iamèsnere uerrésKarlonle uie lch anu	-----|-|--⌫------|-----|-|---⌫|--⌫--|
E ttousuos	-⌫|---|--|
comp aignonsde cep al aisu olu	----⌫------|-|-|-⌫--⌫--|-⌫--|
Seiepuisesplo it ierse ront ars o upandu .	-|-|---|-----⌫--⌫--|--⌫---|--|-⌫|----||
Quantlenfe s Guislentent	----||----⌫|---||-----|
s otlecuer irascu	|-|-|---|-----|
Oùquiluo it le	--|-|-|--⌫-|-|
paie n so re	----⌫|--⌫-|
liest coru.	-|--|---||
LENFES Guisde	|----|---|-|
Bo rgo ignedu rem entsaïra .	--⌫---⌫---|--⌫---⌫--||----||
Ceusdelat our o ïdontch ascuns sescr i a	---|-|-|-⌫--|-⌫-|---|--⌫-----||----⌫-⌫|
Desa merel i menbre	-|-|---|-⌫|-----|
sau erturecoura.	-|-⌫---|------||
le destrier que multfort l e por ta	-|-------|--|---|---|-⌫|---⌫-|
Ettintlespée	-|---||-----|
nueetl escuenbrac ̧a.	--|-||---|------⌫-||
Oùqui luoi tDan emo nt	--|-|-⌫|---⌫|---⌫---⌫-|
c oplidona	-⌫-|-|---|
Amont d esorson hiaume	----|-⌫---|--|-----|
cl a rtégita	--⌫-⌫---|---|
florset lespier resaualan	----|-|--|----⌫--|---|-|
trebu c ha .	-----⌫-⌫-||
Et li Turs fer i	-|-|---|---⌫|
po oirqueila	--⌫--|--|-||
Amontdesu ss on hiaumeq ue	----|----⌫|-⌫-|-----|-⌫-|
L acoi ffedelauberc	-⌫|---⌫--|-||-----|
lirompietfaussa	-|----|-|-----|
Etpuisleganbiso ns iquel chiefle	-|---|-|-------⌫|-⌫|-|-|----|-|
Siquelisansuermaus contreual	-|--|-|---|------|--------|
Quant lianfes le uoit mu lt	----|-|----|-|---|--⌫-|
s en espoanta	|-|-------|
Di eudeuraic uerrecla ime et	--⌫-|-|---|-⌫--|-----⌫--|-|
multfortsospira	---|---|------|
Quiparson saint comma ntàlaD ame manda	--|--|--|----|-----⌫-|-|-|-⌫--|----|
Quei ldeluinaistroitetpuis s	--|-⌫|-|--|--------|-|---||
HéDie x cefu grantioiequantla d ame	--|---⌫|-|-|----|---|----|-|-⌫--|
E n icele léesce saint	-⌫|----|------|----|
Iosepl espousa	----||------|
Qu an tlauergeflorieen	--⌫--⌫|-|----|-----|-|
sa mainue rd oia	-|---|--⌫--⌫--|
Ios epen fistgrantioie et form entlanora	---⌫-|-|---|----|---|-|----⌫--||----|
Etqua nt ce uint	-|---⌫-|-|---|
auterme que	-|----|--|
Diexledes tin a	---|-|---⌫---⌫|
Lad ame sansdolorSire s andel iura.	-|-⌫--|---|----|---||-|---⌫---||
BiausDie x tote	----|---⌫|---|
n ai s sanceàceio r es cl era	-⌫--⌫-⌫----|-|-|--⌫|--⌫--⌫--|
Lioiseletlesbestesquierent	-|----|-|--|-----|--|----|
gra ntpieça	---⌫-|-----|
Chascune endro it sa	-------|-----⌫-|-|
formegrantioieendemena .	----|----|---|-|-----||
Les t oile enOriantpartoncom mant	|--⌫-⌫---|-|-----|--|--|---⌫---|
Litroi roiuos requistrent	-|---|--|--|----------|
ch ascunsuos	--⌫-----|--|
Salemonlauirgeuosp orta	------|-|----|--|-⌫---|
El brassaint	-|---|----|
Simionuostrecors commanda .	-----|-----|---|-------||
Diexpereglorieusqui	---|---|-------|--|
le montestoras	-|---|------|
Lec o r ssaintLasaron	-|-⌫-⌫-⌫|----|------|
de mor tr esuci ta s	-|---⌫|-⌫-----⌫--⌫|
MarieMa delaine	----|--⌫------|
de sespechiésmondas	-|--|-------|-----|
Pasquefloriee nIhrusa lem	-----|-----|-⌫|------⌫--|
Aui ord Acensionsusouciel en	-|-⌫-||-------|--|-|---|-|
Pargra nthumilite ́lasnessecheuauchas	--|---⌫-|--------⌫||------|---------|
Feloniuïfuo sp ristrent	----|----|--⌫|-⌫-------|
fu mie gas	-|--|--|
En la croisuosposer e ntpa r lecommantIudas	-|-|----|--|-----⌫-⌫-|--⌫|-|------|----|
En g uisedelarronla	-|-⌫---|-|-----|-|
mort i andur as	---||-----⌫-|
Elsepulcreuosmistr ent	-|-------|--|-----⌫--|
enuols d un	-----||-|
chersiglas	---|-----|
Autiersi orsurexis	-|----|-⌫-|------|
dem or t res ucitas	-|-⌫--⌫|---⌫-----|
MarieMadelaine e l ue rgierconfortas	----|--------|-⌫|--⌫----|--------|
E td e bel e	-⌫|-⌫|---⌫|
c lar t e ́lemondeen luminas	-⌫---⌫-⌫-⌫|-|----|--⌫------|
S iresicom cest	-⌫--|-|--||--|
uoirsquetuensierr as	----|--|-|---|---⌫-|
Sigari ssestu m	-|----⌫---|-||
ame decefelon Iudas	--|-|-|----|----|
puisseuéoir Karlonquimul test las.	-----|-----|-----|--|---⌫|--|--||
TA NTOSTcomliroi sGuisotfiné s a proiere	--⌫----|--|-|---⌫|---|-|----|-⌫|------|
Li reuientD an emonspar estran gema n iere.	-|------|-⌫--⌫----|--|------⌫-|--⌫-⌫---||
Qu ant lenfesGuisleuoi ts ah auchie	--⌫--||----|---|-|---⌫|||-⌫-----|
l a chie re	-⌫|----⌫-|
En son poing	-|--|----|
tin tlespéeque merueil lesot	---⌫||-----|--|-------⌫--|-|
uaitferirDane m ontsorl	---|----|----⌫-⌫--|--||
iaumedeBa iuiere .	----|-|--⌫-----||
E tl iTursre fier tlui	-⌫|-⌫|---|--⌫----⌫|--|
desusl iaume deriere	----||----|------|
Quilece rcleli trenc h eoù	--|-|--⌫---|-|-----⌫-⌫|--|
ilotmaint ep iere	-|-|-----⌫|-⌫---|
Puisli a escriéà	---|-||------|-|
hau teuoispleniere	---⌫-|---|-------|
ParmonchiefsireFranspoiprisuostr ebaniere	--|--|----|---|----|--|---|-----⌫|------|
De uousfera ianquiune noue l e biere.	-|---|----⌫|----|--|----⌫-⌫|----||
Qua nt l enfesGuis lententsi distparole f iere	---⌫-||----|---||-----|-|---|-----|-⌫---|
uosmentésse D iexplaistqu i est	--|------|-|-⌫--|-----|--⌫|--|
uo irs iustici ere	--⌫--|-------⌫--|
Nenp o rt e résdu	|---⌫-⌫--⌫-⌫---|-|
uailleune est riu ier e	-----|--|---⌫---⌫---⌫|
Quedel sancdetoncors	--|--|---|-|--|---|
bienesligié e.	---|--------⌫||
dient F rancois	----|-⌫------|
biauspereiusticier e	----|---|---------⌫|
Garissiés huimon cors	---------|--|--|---|
p a rlauos tr ep roiere	-⌫-⌫|-|---⌫--⌫|-⌫-----|
ocieenchamp cis	---|-|----|--|
c uiuerslosengiere.	-⌫-----|---------||
OR sont lidui baronen sambe enmi	-|---|-|--|----|--⌫----|---|
Da nemonslicortsore comche ua liersmenbre ́s .	--⌫-----|-|---|---|--|---⌫--⌫----|------⌫-||
Meruei llouscous se	------⌫----|---|-|
leshia umes	--|---⌫---|
Quelesflorsetlespieres enf ontius	--|--|----|-|--|-----|-|-⌫--|--|
Licousdescent aualsorle	-|---|------|---|--|-|
haub erc saf fré.	----⌫--|---⌫---||
Lienfesle refiertcomcheualie rs m en bre ́s	-|----|-|------|--|--------⌫-|-⌫--⌫---⌫-|
Pa rdesusle sespa ullesl	--⌫|----|--⌫|----⌫----||
am ult bien assené	|-⌫--|---|------|
Elhaterelderie re mult	-|------|-----⌫-|---|
r uiste cop doné	-⌫----|--|----|
Sor lecoldud est rier	--|-|--|-|-⌫---⌫---|
len aoutreporté	|-||----|-----|
Mès tant sontfors lesarmesnelespot	---|---|---|---|--|----|-|--|--|
Q u ant lenfes	-⌫-⌫--||----|
Guisleuoitlesensqui daderuer	---|-|---|-|---|---⌫-|-----|
C il de l ato u r	-⌫-|-|-⌫|--⌫-⌫|
commen centhautem entà crier	------⌫---|------⌫--|-|----|
Sainte Marie	-----|----|
Dame etcarnos secorés	---|-|--|--|-------|
Cesteruistebataille	----|-----|-------|
ta nta ur a huiduré	--⌫-|-⌫--⌫|--|----|
Etl i rois	-|-⌫|---|
Dan emonsalecheualhurté	---⌫----||-|-----|-----|
uers Guionesperonepar mul tr uiste fierté	---|----|-------|--|---⌫|-⌫----|------|
Etlenfesle reçut l	-||----|-|-----||
escuam onttorné.	---|--⌫--|-----||
ORfurentli baron esdestriers m i sodors	-|-----|-|----|-|--------|-⌫-⌫-----|
Da nemonslicort sorecommec heualerous.	--⌫-----|-|---|---|----|-⌫---------||
Quant lente ntGui ssimuala color	----||----⌫-|---⌫|-|--|-|----|
L icheuaus ligancisimua se sadous	-⌫|------|-|----|-|--|--⌫|----|
A sesarm e s faillisi fiertl e misod or	|--|---⌫-⌫|-----|-|----|-⌫|-----⌫-|
Lec ol lia tranchié par daléslesarçons	-|-⌫-|-||--------|--|-----|--|------|
Licheuauschietel	-|------|----|-|
préàtoutleBor gu ig non .	---|-|---|-|---⌫--⌫--⌫--||
Cil dela tor	--|-|-|--|
sesc r ie nt	|---⌫-⌫--⌫-|
hautementà. I.ton	--------|-||||--|
Sire Guisde	---|---|-|
Borgoi gnemaluos souient d enous	------⌫--|--|--|------|-⌫|---|
Biaussirede sost ages quicéanssont	----|---|--⌫|---⌫---|--|-----|---|
Se uoseste suaincusnosmorrons àdolor .	-|--|----⌫|------|--|------|-|----||
QuantlenfesGuis	----||----|---|
lentent si muala color.	|-----|-|--|-|----||
Lorssescriafor mentH uide lon lorgu illou s	---||-----|---⌫---|-⌫----⌫--||----⌫-----⌫|
Où queil uo itsonfilsi li dit	--|--|-|--⌫-|--|--|-|-|--|
par fieror	--|-----|
DeMahome t mon	-|------⌫|--|
dieuqui faitcroistrelaflor	---|--|---|-------|-|---|
S o itmauditela b rache et l i	-⌫-⌫-|------|-|-⌫----|-|-⌫|
br an sdeco lo r	--⌫--⌫|-|--⌫--⌫|
Quiocistlecheual e t l essa	--|----|-|-----|-⌫|-⌫---|
lesignor .	-|-----||
QUANTGuio n de Borg oigneuitmort	----|----⌫|-|----⌫----|--|---|
s onaufe rr ant	-⌫-|----⌫--⌫--|
Icesachiésdeuoir multotl ecuer	--|-------|-|---|---|-|-⌫|---|
Tostetisnelementest	---|-|---------|--|
saillisan estant.	------|-|-----||
Et liTurslire uintol	-|-|---|-|--⌫---|||
ire qu ilotgrant	--|-|-|-|----|
Me ruilleusco pli doneso rson escudeu ant	--⌫-------|--⌫|-|---|--⌫|--|---|---⌫--|
li f istrem u ersones tan t.	-|-⌫--|---⌫-⌫-|--|--⌫---⌫||
Etlenfes Guis c héiens el	-||----|---|-⌫---|--|-|
pré uerdoiant	---|--------|
Age noillonss emistetàpa um esdeuant	|--⌫-------|-⌫|---|-|-|--⌫--⌫-|-----|
C ild ela tour leuoien t mult an	-⌫-|-⌫|-|---|-|-----⌫|---|-|
furent d olant	-----|-⌫----|
Lar cheuesques	|--⌫---------|
se c ouchele	-|-⌫----|-|
c hef con t reOriant	-⌫--|---⌫-⌫-|-----|
Da medieu r eclama le p ereomnipotan t	--⌫-----|-⌫-----|-|-⌫--|---------⌫|
Glo rioussireperequiform astesAdant	---⌫----|---|---|--|----⌫----|----|
EtEuainsamoillie rdont li pueples	-|----|-|-------⌫|---|-|------|
Enparadis biaussirep réis herbergemant	-|------|----|---|-⌫----|-----------|
Totlor abandonastesfors	--|--|-----------|---|
.I. fruit sole man t	|||----|----⌫---⌫|
MaisEue enmeniace	---|--|-|----|-|
fudolormu lt	-|----|--⌫-|
P arengin del dy a ble e n	-⌫-|----|--|--⌫-⌫--|-⌫|
fistmangerAd ant	---|-----|--⌫--|
Caïn smurtriAbelesdesersd Abilant	-----⌫|-----|---|-|-----||------|
El decor s dela	-|-----⌫|-|-|
lune tr amist Dieusde	---|--⌫----|----|-|
Enc o ranestplustrouble	---⌫-⌫|-|--|---|------|
bienestapp ariss ant	---|--|---⌫-----⌫--|
Eins ico mceestuoirs	----⌫|--⌫|-|--|----|
e tgisuib iencr e ́ ans	-⌫|||--|-⌫--|--⌫-⌫-⌫--|
GarissiéshuidemortGuion	---------|--|-|---|----|
lecombatant	-|--------|
Quencorpuissiens ue ́ oirKarlon	-|----|--------|--⌫-⌫--|-----|
aupoilferran t	-|---|------⌫|
Etli façon	-|-|-----|
sec orsàLuisernelagrant .	---⌫--|-|-------|-|----||
Aicele paro le ests aillis an	|----|----⌫-|--|-⌫-----|-|
EtliroisdeB orgoignesail lisusmaintenant	-|-|---|-|-⌫-------|----⌫-|--|---------|
Et tintl espée	-|---||-----|
nue et lesc u mistau ant.	--|-||---⌫|---|--⌫--||
Oùq uiluoit Danemontce le	--|-⌫|-|---|-------|--⌫-|
partu intcor ant	---|-⌫--|---⌫--|
Merui l l euscop	-----⌫-⌫-⌫--|--|
li donesor sonhelme luisant	-|---|--|--|----|------|
P or poiquelenasal nanabatideuant	-⌫-|--|--|-|----||-|----|-----|
En co ntreualuer sterreualico us descendant	-|--⌫------|---⌫|----|-|-|--⌫-|---------|
Par de deuant	--|-|-----|
lesiambesconsuï lauferr ant	--|-----|------||------⌫--|
Le coll iatranchiéet le sp aulle	-|--|-⌫||--------|-||-⌫--⌫----|
ens emant.	---⌫----||
Lich euauschietelpre ́Danemo nt	-|--⌫----|----|-|---⌫|------⌫-|
u aitchéant.	-⌫--|------||
Qu antlenfesGuis leuoitsilidi st	--⌫--||----|---|-|---|-|-|--⌫-|
maintenant	---------|
Par mon ch iefsireT ursoruo sua	--|--|--⌫--|---|-⌫--|-|--⌫|-|
Poipriserésanqui	--|--------|----|
Mah om et Terua gant	---⌫-|-|-----⌫---|
Siuo squitatornerainsle s ole ilcouchant	-|--⌫|---|------|---|-|-⌫---⌫-|-------|
Quon porro it	-|-|-----⌫-|
uos tre corses li g erdunbes ant .	---⌫--|---|--⌫--⌫-⌫-||-|---⌫--||
QUANTlir ois Dane monsuit	----|-|-⌫--|----⌫---|--|
Quelenfes Gu isot mort	--||----|--⌫-|-|---|
multanfuadol e ́s	---|-|-|----⌫-⌫-|
Ilests aillisan piéscom me home	-|--|-⌫-----|-|----|---⌫-|---|
f orsenés	-⌫-------|
Où q ue iluoit Gui on	--|-⌫-|-|---|---⌫-|
c elepart estalés.	-⌫--|---|--|----||
Lenf esGu islereçutco muass aus esproués	|---⌫-|--⌫-|-|-----|--⌫|----⌫--|--------|
uosen s a mblecom lyo ns	--|--⌫-⌫-⌫---|--|---⌫-|
abrie u és.	-----⌫-⌫--||
Onq uesneu itnushons	---⌫--|-|-⌫-|--|---|
. II.mar tiausacoplés	|-||---⌫----|-------|
Ausi me nuement etuenir et	---|--⌫------|-|----|-|
Neferirsorlenglumequantlifer s estchauf és	-|----|--||------|----|-|---⌫|--|-----⌫--|
fontde l orbransd aciercler.	---|-|-⌫-|----||----|---||
Cuiuersdis t	------|---⌫|
Danemmons iauisn an esto rdrés.	--------|-|--||-|----⌫-----||
Etlia nfesrespo nt	-|-|-⌫---|-----⌫-|
Guiuersuousimant é s	------|---||----⌫--⌫|
SeDieu plaistets es nons late stem i	-|---|-----|-|-⌫-|---|-|--⌫--|||
Il ostason escu	-|---|--|---|
si le gita el pré	-|-|---|-|---|
Pardedesuslaisselea leTurcacolé.	--|-|----||------||-|---|-----||
Illebessa uerslui deterre	-|-|----|---|--|-|----|
Puislifist.I	---|-|---|||
.biau tor à terrel	|---|--|-|----||
D es ous lep o ndu branc	-⌫--⌫--|-|-⌫-⌫|-|----|
lae nue rsacout e ́.	||-⌫---⌫-|-----⌫-⌫||
Etlipaiens s estortquilse	-|-|-----||-----|-|-|-|
cui deleuer.	---⌫-|----||
E tl enf esse tintbienqui gentils	-⌫||---⌫-|-|---|---|--|------|
De lbranclefiertenl ia umequ il	--⌫|----|-|----|-||--⌫--|-|-|
a uoitentamé	-⌫---|------|
Quelisans endeu ale	--|-|---|-|---⌫--|
uert elpré.	---|-|---||
Sen cor.I . autre	|--⌫--||||----|
coupi éust	---||----|
r ecoure ́	-⌫------⌫|
enle u a stia m è santrestot son	-|--⌫-⌫-⌫-|--⌫-⌫--⌫|-|------|--|
QuantDragolansl euit	----|--------|-⌫|--|
h aut e scrié	-⌫--|-⌫-----|
S orne secor	|-|-|----|
monfrere donta ie mau	--|----|---|-⌫-|--|
Or mouonserralmentsansplu sde	-|-----|--------|---|---⌫|-|
d e morer.	-⌫-⌫----||
si firent sempr es quant	-|-----|-----⌫-|----|
il lotco mmandé	-||-|--⌫------|
D el auile s en i ssent	-⌫|-⌫|---||-|-⌫----|
lesfrainsabandone ́s .	--|-----|--------⌫-||
Cildelatour leuoientsia n	--|-|-|---|-|-----|-|-⌫|
sont es fréé	---|--⌫-----|
Par mo n chiefd ist Torpinnos	--|--⌫|----|-⌫--|-----|--|
somesmalmené	----|-------|
