unsbersfuiae nlan tifpopled eu	--|---|-|-|-⌫||--⌫--|----|-⌫-|
cest e baillieu naneloute	----⌫|------|-⌫|---|--||
desuzle seelfud uneracine ki	----|-|---|--|--|-----|-|
salomunoutens ie gnéa	------|--|---⌫--⌫---||
prendrecelanelmeteitas narines	------|--|---|-----|-|------|
celikipardeablefudtraue il léd	---|-|--|-----|--|-----⌫--⌫---|
efi stsilesdeablespar	|--⌫-|-|--|------|--|
narines e issirmaisal hume estout	------|-⌫----|---|||---|-----|
chalt paschair a pres	----|--|----|-⌫---|
cuniuradledeableparunschar mesqu e salomon	-------|-|-----|--|--|----⌫--|--⌫|------|
queil n ireturnastneelcor sdecel	--|-|||--------|-|-|---⌫|-|--|
hume m aisn entrast	---|-⌫--||------|
de tutest erre suene ie nt	-|----|-⌫----⌫|----⌫--⌫-|
ge nzp uroirlesens lerei salomun	--⌫-|-⌫-|--|-|---|-|--|------|
li reisyram	-|---|---|
det yr outeste ́d amislurei dauidpur	-|-⌫-|--|----⌫-|---|-|--|----|--|
co quan tilsout quelireis salomon	-|----⌫|-|---|--|-|---|------|
regn ad ellieu	----⌫-|-|---|
dauid sesm essages	----|--|-⌫------|
i enue iadpurle rei	|----⌫--|--|-|--|
u eer eesioire saluer	-⌫--||-----||-----|
elireissalomon li	|-|---|------|-|
remandadcespar oles biensezque m is	-------|--|---⌫---|---|--|--|-⌫-|
e nuolentetd eleuer e furnir	-⌫|-------|-⌫|----||-----|
un tem plea lo esnos tre	-|---⌫--|||-⌫-|---⌫--|
seignurmais fairen e	------|---|----|-⌫|
purl es granz guerreskili	--|-⌫-|----|------|-|-|
parziesqueno stre sir es limi st	---|-----|--⌫---|---⌫-|-|--⌫-|
tuzsesenemis	--|--|-----|
de suzs espie z	--⌫--|-⌫-|---⌫|
maisore mad de u	---|--||-|--⌫|
pa isduneedet utesparz	--⌫-|----|-|-⌫---|---|
purcosui ac ura gi ezde edifier un temple	--|-|--|--⌫---⌫--⌫-|-|------|-|-----|
al oesnost res eig nur	||--|----⌫-|-⌫---⌫--|
illeanunciadamunperedauid sili	-|-|-------||--|---|----|-|-|
tis fizkiapresteireg neradmuntemple	--|--|-|----|--|---⌫----|--|-----|
m ee difie rad	-⌫|-⌫-----⌫--|
fai pur c o at e s humesabat r ecedresal	--|--|-⌫||-⌫-⌫|----|----⌫-⌫|-----|-|
libane meshum esiserr u ntodlestuens	----||--|---⌫-||----⌫-⌫-|-|--|----|
delmien lur	--|---|--|
durraietut a	-----||--||
tauolentetsoldeir a ikarmag entneseuent	-|-------|-------⌫-⌫|--|-|-⌫--|-|-----|
pas tan tdecha rpenterie	--|---⌫|-|---⌫--------|
c umeseuent	-⌫--|-----|
ces de sydonie	--|-|------|
cume yramoidlema ndem ent	---|---|--|-|--⌫----⌫--|
le reis alomunformentse	-|--|-⌫-----|------|-|
esleeschad enostre seignur	---------||-----|------|
benesquid d eco que	--------|-⌫|-|--|
iloutdunéd	-|--|-----|
a lreidauid sage	-⌫|--|----|---|
derec hieflireis yra m ses	-----⌫---|-|---|---⌫|--|
mess agesal reisalomunenueiad	----⌫---|-|--|------|------|
ecesparoles lui	|--|------|--|
m an dad oiaiquanquetumemandas	-⌫--⌫--|-|-|------|-|-|-----|
etutfraitunplaisirdecedres	|--|---|--|------|-|-----|
mes humes les	--|----|--|
abater unt al bo isdel ib an eal	------⌫--|-|--⌫-|-|-⌫--⌫-||||
ewelesmerrunte en	--|--|------||-|
leschargerunteparmerlescunduirunt	--|---------||--|--|--|---------|
utepla irrad	|-|---⌫----|
tutariuerunt e	--|--------||
tule mairen	-|-|-----|
rec eu erasesiteplaistuitaill e	---⌫--⌫---||-|-|-----|-------⌫|
dun busuin aim enenueiera s lireis yram	--|-----|-||-|--------⌫|-|---|---|
truuadal rei	-----|-|--|
salomu nmairende	------⌫|-----|-|
cedree desaptut a sa uolentet	----||-|--|--||-|-------|
reissalomundun ad paranalr ei	---|------|---⌫-|--|-|-|-⌫-|
cenz milie mui s	---|----|---⌫|
defurme ntesiscenzd eol iee	-|-----⌫-||--|---|-⌫|--⌫-||
nostre sires	-----|----|
du nad sa pience	--⌫--|--⌫-----|
asa lom un	|--⌫---⌫-|
sicumepramisliouteferme paisfud	-|---|-----|-|--||----|---|--|
reiyram ele r ei salomun	--|---||-|-⌫-|------|
dauidasunuiuantoutore argent	----||--|-----|--|-||-----|
pretiusese mairen ge ntil emarbre	--------||-----|--⌫---||-----|
e fera unéd	|--|-⌫----|
eafairele temp lenostr e	||----|-|----⌫-|-----⌫|
s eig nurlouttut dest i nédedunad	-⌫---⌫--||--|--|----⌫-⌫---||----|
asunfizsalomun les mesuresdeltemplee	|--|--|------|--|------|--|-----||
d esporches e de s	-⌫-|------||--⌫|
chambres entu r	-------|----⌫|
e desaitres edetut ce lgrant apareil	|--|-----||-|--|--⌫|----|------|
leordenementeles d estin cti unsdespruueir es	-|---------||--|-⌫-----⌫---⌫--|--|-------⌫-|
desdiacnesedesordeneze	--|------||--|------||
dunadle peisdela m erueilluse	----|-|---|-|-|-⌫---------|
uais sel eque deor	----⌫---⌫|--|-|-|
quedeargen ted e schandelabres	--|-|-----⌫||-⌫-⌫|-----------|
luminariesedestablesede s phiele s e desencensie r s	---------||--|-----||--⌫|------⌫||--|--------⌫-⌫|
altr esus t ilz	----⌫-|--⌫-⌫--|
edesa urnemenz	|--|-⌫-------|
quesisfizsalom un fistpuisel	--|--|--|-----⌫-|---|---|-|
templeesur co	-----||--|-|
que i l outaturnédaledefiem entde l	--|-⌫|--|-------|||-------⌫--|--⌫|
eas a p urtenances treismilie t a l enz	|-|-⌫-⌫---------|----|----|-⌫-⌫-⌫--|
ilaissa dd elor deoph ir	|------⌫|-⌫||-|-|---⌫-|
milietalenzdearge nttalentes t num	----|-----|-|----⌫-|-----|--⌫|--|
manieresia dsuluncl eusag edediuers esgenzli	-------||-⌫|-----|-⌫|----⌫|-|------⌫-|---|-|
unape lent	-|---⌫---|
le peisde c inq uante	-|---|-|-⌫---⌫----|
liu res unt alent	---⌫--|-|-⌫----|
elirumai n	|-|-----⌫|
treisuinz li ures	----|---|--⌫---|
eduze elialt r elepei s	|---||-|---⌫-⌫|-|---⌫|
uinzliures	---|-----|
apelent un talentetel ensol testrele	------|-|-----||--|-|---⌫|----|-|
uariemente lireis	--------||-|---|
d aui dfistal po ple a moneste mentque	-⌫---⌫|---|-|--⌫--|-⌫-------⌫---|--|
lurmainimeissentbonement	--|---||-------|-------|
eliprinceeli barnages d e l paisduner ental	|-|-----||-|-------|-⌫-⌫|---|-----⌫--|-|
fairecincmilietalenz deor	----|---|----|-----|-|-|
emi l solzedismil ie talenz	|--⌫|---||--|---⌫-|-----|
argente deara imdise uite de	-----||-|---⌫-|--||--||-|
f er centmilie	-⌫-|---|----|
el a upierr e	|-⌫||-----⌫|
preciusefud truueeal	-------|--|-----|-|
tresordelt emple fudgrantee	-----|--|-⌫----|--|------|
l ireissalomunfisteslireparlat errede	-⌫|---|------|---|-----|--|-|-⌫---|-|
israeltrente	-----|-----|
milie hum essis enueia dal bo is deliban que	----|---⌫-|-||------⌫|-|--⌫-|-|----|--|
ilifussent	-||------|
l eshumes l er ei y ramde	-⌫-|----|-⌫|-⌫-|-⌫--|-|
tyrkilema iren	--|-|-|--⌫---|
i abatir ent	|------⌫--|
edol er ent	|---⌫--⌫--|
e atur nerent as	|----⌫-----|-|
afairesle reisalo mun	------|-|--|----⌫--|
reisqueseshumes f ussent	---|--|--|----|-⌫-----|
odlescharpentiersle reiyrampu r	-|--|-----------|-|--|---|--⌫|
duner lesmoldeselesmesures	----|--|-----||--|------|
delmaireinqu e cilaba tiren t	--|------|--⌫|--|---⌫-----⌫|
eapres tere ntpar	|-----⌫----⌫-|--|
lur enseign eme nt	--|-------⌫---⌫-|
tren temilietel	----⌫-|----|--|
f ud lasise	-⌫-||----|
elastablie	|-|------|
dismili earemuiersdussent	--|----⌫||-------|------|
albois leme is entierestere	-|---|-|--⌫-|-----|----||
apresd ous meis	----|-⌫--|---|
ashos tels	-|---⌫---|
sur iurn eredere chiefle quartmeisalboisreturner a doniram	---⌫----⌫-||----⌫----|-|----|---|-|---|-------|-⌫------|
o ut lacuredeordener quels	-⌫-|-|---|-|------|----|
dussen t alboisalere	------⌫|-|---|---||
queltant dement iersa s ostel s	---|---|------⌫---|-⌫|-----⌫|
demurerdelaltrepart	------|-||----|---|
li reiso ut	-|---|-⌫-|
se tantemilieserian zporturse quatreuinz m ilie ki	--⌫----|----|------⌫|------||-----|---|-⌫---|-|
furent taillurs c ezne fu rentpas d ell ignagede	-----|-------|-⌫-|-|--⌫---|--|-⌫-|-⌫-----|-|
israel mai sdealtresg enzfuren t ae lsuenude	-----|---⌫|-|-----|-⌫--|-----⌫||-⌫-|----||
ci rcumcisiun	--⌫---------|
e lu rle i ou rentreceud eestreices	|--⌫|--⌫|--⌫---|-----||----|---|
iouttre ismilieetrei s	|--|---⌫-|----||----⌫|
cenzkimaistresfu rentsur l our eesur	---|-|-------|--⌫---|--||---⌫||--|
lesoueriers	--|-------|
cumandadque	-------|--|
l um preistpi erres	|-|-----|--⌫----|
gran desdege nti l g reine de	----⌫--|-|--⌫---⌫|-⌫---||-|
bonequ a r rieree	---|--⌫-⌫-⌫----||
que tuzfussenttaillie aes quir e easquarie	--|--|------|------||--⌫----⌫|||------|
pur me tr ealf undementdel temple	--|--⌫--⌫|-|-⌫-------|--|-----|
eli maschun	|-|------|
limachunyram lestaille renteparere nti uinstren t	-|-----|---|--|------⌫---||------⌫-|-⌫--------⌫|
eacu ple rent	|---⌫---⌫---|
deprimes asmunze puislesfirent	-|-----|-|---||---|--|-----|
ue n irenierusale m	--⌫-⌫-|-|--------⌫|
ecesdebibleretruuer ent pie re emairen	|--|-|----|--------⌫--|---⌫-||-----|
purletemp le edifier	--|-|----⌫-|------|
apresquatrecenze	----|-----|---||
q uatreuinzanzpu isq ueli	-⌫----|---|--|--⌫-|-⌫-|-|
fiz isra el	--|----⌫-|
furenteissudde egypt ealq ua rtandesun	-----|-----|-|-----⌫|-|-⌫--⌫-|-|-|--|
regne lerei	----|-|--|
salomuncume ncad en m ai tost	------|----⌫---|-|-⌫-|---|
apre spasche aedefie r	----⌫|-----||------⌫|
templenostre seignur le	-----|-----|------|-|
fundementfist depierresgrosses	--------|---|-|------|------|
dur grainsil f i s tf aire led	--|----|-||-⌫-⌫-⌫|-⌫---|--|
elargequ ebiensusten ist le	|----|--⌫|---|------⌫--|-|
charge e lmunt demoriak ienieru sale mer t	-----|-⌫|---|-|----|-⌫|-|----⌫----⌫|--⌫|
fundementietadele	--------|----||-|
templeleuad ellieu	-----|----|-|---|
quef ud a sun	--|-⌫-||--|
p ere dauidpardeu demunstrédeil lout a	-⌫--|----|--|--|----------||-||--||
celoesgu a rdéd	--|--|--⌫-⌫----|
dequatreparz leuadles m ai seres	-|-----|---|----|--|-⌫--⌫----|
furentpoliz ces pierreset ant presiuintes e	-----|----|--|------||-⌫--|---|------||
tant serreement	---|---------|
sembla quesi soust	-----|--|-||---|
natu refurmezque	----⌫-|-----|--|
eng inhu m ai nparferr ement esi uueradel	---⌫-|--⌫-⌫--⌫|--|----⌫----||-|-----|-|
temple si lparfurnid	-----|-||--------|
martelnedecui gnee ne d alt re	-----|-|-|---⌫---|-||---⌫-|
ferreme nt	-------⌫-|
n ifud o i dde lblanc marbrede	||--|-⌫-⌫|--⌫|----|-----|-|
lil ledeparon fud	|--⌫-|-|----|--|
marbrese sisper esda uidlenf istaporter	------||--|---⌫-|--⌫--||-|-⌫--|------|
pu rl etemple	--⌫|-⌫|-----|
edefi erseisa nteal nes outli t emples	-----⌫-|-----⌫--|--⌫--|--|-|-⌫-----|
delung euint de let	-|---||---|-|--|
lipre m iers	-|---⌫-⌫---|
estagesouttrentealnes dehalte	------|--|-----|----|-|---||
lisecun z estages	-|-----⌫|------|
en ou taltre tante l i tierz en ou ttrente	-|--⌫|-----⌫---||-⌫|----|-|--⌫|-----|
alnesauants iqueli	----|----|-⌫|--|-|
templesoutde lpie enamunt centeuintalnes	------|--|--⌫|--|-|----|---||---|----|
fenestres ifi stplus largesdedenz q uedefo rssi	--------||--⌫-|---|-----|-----|-⌫-|----⌫-|-|
mursm untad ecestr eis estagesp art rebl e entrauuredeuisad	---|-⌫----||--|--⌫--|------|-⌫-|-⌫----⌫|--------|------|
l entrauure l etemp l e trauersadechascu nsd estr efs	|--------|-⌫|----⌫-⌫|--------||------⌫-|-⌫-|--⌫--|
parm ilemurpassad sique	----⌫|-|--|-----|-|--|
lest re fsde l	--|-⌫--⌫-|--⌫|
premier est ageset	------|---⌫--|--|
pie zu indren tdef orsl emureissifirent	---⌫|-⌫------⌫|---⌫--|-⌫|--||---|-----|
t ut ent ur	-⌫-|---⌫-|
chiefs destrefskifurentdef or s	-----|--|----|-|-----|---⌫--⌫|
fu rentfaiz une alu rese de	--⌫---|---|--|---⌫--||-|
set alnesdele t unsplanc hi ersqueaseursfust	--|----|-|--⌫|--|-----⌫--⌫--|--|-----|---|
el iu enirs	|-⌫|-⌫----|
quel umpoustenturtresbienalera puie r a	--||-|----|----|---|---|---|-⌫----⌫||
eesteral sumetdelsecundesta ge parmiles	|----|-|----|--|-----|----⌫-|----|--|
mu rspasseren t	--⌫-|--------⌫|
l i treferefurentfaitalureseliplanchie rsout	-⌫|---||-------|---|-----||-|--------⌫-|--|
sis alnesd e	--|----|-⌫|
let t utissifu rent culchiéd l itrefdelsuuer ein esta ge	--|-⌫-|---|--⌫---|--------|-⌫|---|--|-----⌫--|----⌫-|
esurl eschie fs	|--|-⌫-|----⌫-|
deforsfurent f ait	-----|-----|-⌫--|
aluresdun t lipaliz	-----|---⌫|-|----|
outc i n c alnesd ehalte	--|-⌫-⌫-⌫|----|-⌫|---||
lipl anchier sout	-|--⌫-------⌫|--|
dedenzelcostedel s udenlangl e	-----|-|----|--|-⌫-|-||----⌫|
deuersorientfu d	-----|-----|--⌫|
len treeapre s terreauneuizparunt	|--⌫---|----⌫|----||--|--|--|--|
l um muntada les t age	|-|-----|||--⌫-⌫--|
meien edilucalsuueraine en	----|||---|-|-------||-|
fenestr es aplented	-------⌫-||------|
pur l eiur r eceiure e la	--|-⌫|--|-⌫------||-|
cla r tet elpa ueme nt	---⌫-⌫--|-|--⌫----⌫-|
fuddeprime s	--|-|-----⌫|
l imarbresculchi éde desure	-⌫|------|------⌫--||-----|
tab lesde saps erreement iuint e s	---⌫--|-|--|-⌫--------|-----⌫-⌫|
ebienasispuis tutce lesp ue rfudcuuerz	|---|---|---|--|--⌫|---⌫--⌫|--|-----|
ea dubez de	|-⌫----|-|
or k ierttres fin e	-|-⌫|--|---|--||
esmerezl espar eiz furent	------|-⌫-|---⌫--|-----|
detablesde	-|-----|-|
cedre dedenzpartutsiquepierreni aparut e	----|-----|-----|-|--|-----|||-----||
as columpnesrun desd espurkif ur entasmurs	-|--------|---⌫--||----|-|-⌫--⌫--|-|---|
iusteesfu rent	------|--⌫---|
l es tablesiuintese	-⌫-|-----|------||
afe rmeese	---⌫----||
de tut esparz iouten taille s de	-|---⌫-|---||--|--⌫------⌫|-|
cherubinse depalmese	--------||-|-----||
m ultfu d lent aill e auen ante halt	-⌫--|--⌫||---⌫----⌫|----⌫---|---|
leu eeea parisan te si acemeementfudli	---⌫-||-⌫-------⌫-|-|---------|--|-|
espu ers de q uatre	----⌫--|-|-⌫----|
p ar z a turne zdeslepauementau aliesqueas	-⌫--⌫|-⌫-----⌫|--|-|-------|--⌫-|-----|-|
tr efsedesuz	--⌫--||----|
lestrefs fud faitunsc ie lsde	--|----|--|---|--|-⌫--⌫-|-|
ced re e une entabluree pla tes	---⌫-||--|--------||---⌫--|
f urentclouchifiédet uz les pareiz	-⌫----|-----------||-⌫-|--|-----|
equ anqueded enz	|--⌫----|---⌫--|
est eit luisanteplated orcuureitdesurces trefs	---⌫--|-------|----||-|------|----|--|----|
se cund estag efudfaitunspl a nchier sedesuzles altres	--⌫---|-----⌫|--|---|--|--⌫-⌫------⌫||----|--|-----|
un scielse sur	--⌫|----||--|
cestrefsmei meseltierzest a geuns alt r e s	--|----|---⌫--|-|----|---⌫-⌫-|--|---⌫-⌫-⌫|
planc hiers e	-----⌫----||
suzlestrefski plu shaltes te ientfud	--|--|----|-|---⌫|---|--⌫--⌫---|--|
borzunsa ltre sci elsesur cestrefsfud fait	---|--|-⌫----⌫|--⌫--||--|--|----|--|---|
uns planchiers	--|---------|
decedreenlieu	-|----|-|---|
d e f ramure efudplatelaframu re ki este it	-⌫|-⌫-----||--|----|-|-----⌫-|-|----⌫-|
su rletie rz estagekardel	--⌫|-|---⌫-|-----|--|--|
paistel fu d lusageel	---|--|--⌫||----|-|
e stageealsu uerainde quatreparzd eletle	-⌫----||-|--⌫-----|-|-----|---|-⌫---|-|
closp areisd espuer enlun ne	---|-⌫----||-----|-||-|-|
en laltrenenout	-||----|--|--|
rienki cuuert	---|-|-----|
nefu stde or	-|--⌫-|-|-|
cumele temple fudsi leuéde	---|-|-----|--|-|-----||
dedenzdespuer ede	-----||-----||-|
siadubéddeltraue rs fist	-|------|--|-----⌫-|---|
unentreclosdetables	-|--------|-|-----|
de cedre e	-|----||
uintalnesmun tadele	---|----|---⌫--||-|
templedeuisadsi cume	-----|------|-|---|
uusueez que	--|---|--|
cesmu stiersen	--|--⌫-----|-|
la nefealp resbi terie	-|--||-|-⌫-----⌫----|
suntp arti zs iquede	---|-⌫----⌫|-⌫|--|-|
celepareii esqueal	---|----|-⌫----|||
entree deltemplekifuddeuersle	-----|--|-----|-|--|-----|-|
outquaran te	--|------⌫-|
alnes ede u er slewesten	----||--⌫-⌫--⌫|-|---|-|
outuintalnesetu te	--|---|----||--⌫-|
celeparei esteit cuuertede	---|----|-----|------|-|
orar icheso ure sea riches purtraitures	-||-⌫----|-⌫---⌫|||-----|-----------|
cele part iedeuerslewest	---|----⌫-|-----|-|---|
fudc umelichan c els	--|-⌫--|-|----⌫-⌫--|
del templeelisacraries karlaenzfu d	--|-----||-|--------|--|----|--⌫|
h e rbergiélarc he	-⌫-⌫-------||---⌫-|
nostreseignu re	-----|------⌫||
lisaintuaries een	-|----------||-|
lentree furent dous us	|-----|-----|---|-|
petizmais n i outforsune	----|---|||--|---|--|
entree e les poz	-----||--|--|
furentdo le z a	-----|--⌫--⌫||
cin ccostezl es us furentdoliuier epourent	---⌫|-----|-⌫-|-|-----||------||------|
e nsembl eclore	-⌫------⌫|----|
eensembleuur irdesurles	|-------|---⌫-|----|--|
usmultriche	-|---|----|
en ta illede	--⌫--⌫---|-|
cherub inede p al meleuee fudlouree mult	------⌫-||-|-⌫--⌫-|----|--||---||---|
aperte etre s tute	-----||---⌫-⌫---|
dor c uuert efil e deuant ces	|-|-⌫-----⌫|---⌫|-----|--|
usfudu nsdrapsdeseie tenduze	-|--|-⌫-|----|-|---|-----||
acherubinsed e seierug e e bleue epurpre	|--------||-⌫|---|---⌫||----||-----|
e defilblanc d e	|-|--|----|-⌫|
li nteissu z el	--⌫|------⌫|-|
c ors del temple deuan tpresdecesus	-⌫--|--|-----|-----⌫|---|-|--|-|
faitde pierre unsaltelspuis	---|-|-----|--|-----|---|
fud de cedre e	--|-|----||
dorsurlecedre	|-|--|-|----|
a dubezco fudli altelsu lum soleit	-⌫----|-|--|-|-----|||-|-----|
le timiamekiplus fud	-|------|-|---|--|
richeaquencen s ardreeof frir	----|--------⌫|----||--⌫---|
e lifums ensoleit amunt	|-|---|-|-----|----|
chancel lauf udl	------|-||-⌫-||
arche e li	----||-|
seintuari esentrere nm i	---------⌫-|-----|-⌫--⌫|
lech an celapres	-|--⌫--⌫--|----|
l a pareifudasi se l arche nostre	-⌫|----|--|---⌫-||----|-----|
se ignuredou scherubinskideoliuier	--⌫----||---⌫|--------|-|-|------|
fu rentfaized isalnes	--⌫---|---||-⌫-|----|
ourentdehalt furent	-----|-|---|-----|
deletl ar chea sise uer scele parti e	----||--⌫--|-⌫--||---⌫|---|-----⌫|
templ e kidel	-----⌫|-|--|
chanc elfud fo rclo séturnerent lur uisechascu ne	-----⌫-|--|--⌫----⌫--|--------|--|--||------⌫-|
eles outcinca lnesdelu ngeil	---|--|---|-⌫---|-|--⌫-||-|
lur ele ssi quelunetu chadla ltrep ar	--|---⌫|-|--||--|--⌫---||-⌫---|-⌫-|
ensuml arche esten dirent	-|--||----|-----⌫-----|
eiesquesu r	|-----|--⌫|
laparei delsude	-|----|--|--||
delnor dles altres	--|---⌫|--|-----|
e span di ren tetut lur	-⌫----⌫--⌫---⌫||--|--|
corsneisleseles deor	---|---|--|---|-|-|
furent cuu ertes e	-----|---⌫----||
adubeesestrecesioutdous a ltresmenu rsch erubins	------|----|--||--|---|-⌫----|----⌫-|--⌫------|
mo yses lesout fait aldesertefurentde or	--⌫---|--|--|---|-|-----||-----|-|-|
massei z e nient	------⌫||----|
d orcuuertal ent r eedeltemp le	|-|-----|||---⌫-⌫-|--|----⌫-|
f u rentpozd eoliuier	-⌫-⌫---|--|-⌫|------|
quarrezdoususde sappendirentd efors	------|---|-|-|--|--------|-⌫----|
edousdedenz a	|---|-----||
lapareitutresares de	-|----|--|--||--|-|
cherubinsedepalm es out	--------||-|----⌫-|--|
richeentailléebi en	----|--------||--⌫-|
esche uié pu is fudcuuert e dor	-----⌫---|--⌫-|--|------⌫||-|
riuleeasqari e	----|||-----⌫|
unporchefudfaitdeuant	-|-----|--|---|-----|
letemple uers	-|-----|---|
fr unt c enteuint alnesout de sle	--⌫--|-⌫--||---|----|--|--⌫|-|
pieden amunt	---|-|----|
lung urcume li	----⌫-|---|-|
te mplesoutde	--⌫----|--|-|
let siqu euintalnes	--|-|--⌫|---|----|
out de lu ng edis delet tu tfudd	--|-|--⌫-||--|-|--|--⌫|--||
orcuuerte p arengin	-|-----||-⌫-|----|
uurédetrentecham bres	-----||-----|----⌫---|
aes tagefistd e treis	|--⌫---|---|-⌫|----|
te mpleent u r eseisantealnesourentde	--⌫---|---⌫-⌫||-------|----|-----|-|
haltur laenzourent	-----|----|-----|
li pr uueir eluratur	-|--⌫-----⌫|--|---|
ent urlet e mpled e	---⌫-|-|-⌫-⌫---|-⌫|
quatr eparz	-----⌫|---|
mu rsde tr eis	--⌫-|-|--⌫--|
estruizdea iselerski	------|-|-⌫------|-|
bien fur entpolize asis eafer mez e	---|---⌫--|----||---||----⌫--||
lemur f uduns	-|--|-⌫-|--|
paliz decedre bien	----|-|----|---|
iuinze acu plez c ist	----||---⌫---|-⌫--|
enclos fud apelezliaitre s as pruueir esmaisplus	-----|--|-----|-|-----⌫|-|-------⌫-|---|---|
fud l argelaplace	--|-⌫---|-|----|
al fruntdeuantque	-|----|-----|--|
il nefus t	-|-|---⌫|
de nu laltr e	-|--⌫|----⌫|
p a r t k arlafudasis	-⌫-⌫-⌫|-⌫-|-|--|---|
li altelsdearaim	-|-----|-|----|
ele smeru eillus uais sels	|--⌫|----⌫-----|----⌫---|
duntnusparlerumsapr esdetrei saltre s	---|--|--------|---⌫-|-|----⌫|-----⌫|
litempl es	-|-----⌫-|
auirun ezeap res	------⌫-||--⌫--|
chescundeuers	------|-----|
letemple ert unsapentiz	-|-----|--|--|------|
cu mee ncloistressurcolumpnesleue z	--⌫-|-⌫---------|--|--------|----⌫|
murs f urent	---|-⌫----|
largesplacescume debaliee li	-----|-----|---|-|----||-|
pauimen zfudric h ementde	-------⌫|--|---⌫-⌫----|-|
marbreat ur nezelummuntad	-----|--⌫--⌫--|||-|-----|
delunen lautretut	-||-|-||----|--|
degrezencestreisbelesplacesla gent quant	-----|-|--|----|----|-----|-|---|----|
b elesuelf	-⌫-||----|
fudlitensurer entequan tuin tt em peste	--|-|---|----⌫--||----⌫|---⌫|-⌫--⌫----|
eplui een cel	|----⌫|-|--|
encloistrepurab ria ueirentrerent po rte slargese haltes fur e nt	---------|--|--⌫-|-⌫---|--------|--⌫---⌫|-----||-----|---⌫-⌫-|
faites dequa trepar zd esmurs equatrecenz alne s	-----|-|---⌫--|---⌫|-⌫-|---||-----|---|----⌫|
h alz liunse	-⌫--|-|--||
cistmu rs itant mu ntadqueuel s	---|--⌫-|----|--⌫---|--|---⌫|
fuda lfundement	--|-⌫|--------|
uli te m ple sleuad la furent	|-|--⌫-⌫---⌫|----|-|-----|
lespo rtesde	--|--⌫---|-|
furent lescolump nesk ile apenti zs uztindrentdubles	-----|--|------⌫--|-⌫|-|------⌫|-⌫---------|-----|
multo rdeneemen t etuteslesbases	---|-⌫---------⌫||----|--|----|
fure ntde fin	----⌫-|-|--|
nostresires	-----|----|
fis tunereuelatiunal rei salomuntant cu me il	---⌫|--|---------|-|--|------|---|--⌫-|-|
edifiadletemplesi li	------|-|-----|-|-|
distce stemaisu nquetufa is	---|--⌫--|-----⌫|--|-|--⌫-|
situ bien gu ar desmescumand e mentz io	-|-|---|--⌫--⌫--|--|------⌫-⌫----|-|
lafraifermee	-|---|----||
es table elesparolesqueaiparléda	--⌫----||--|------|--|-|------||
tun peredauid	--|---|----|
mai ndr aienmiles fiz isr ae lene guer pirai	---⌫---⌫-|---|--|--|---⌫--⌫||-|----⌫----|
pas mun pople	--|--|----|
salomu nplusacur agee mentel	------⌫|---|----⌫----⌫---|-|
t empleuurad silasumad	-⌫----|----|-||-----|
lireissalomun t ram istsesmessages alrei yram	-|---|------|-⌫---⌫--|--|-------|-|--|---|
epreiadqueunme nest relbon	|-----|--|-|--⌫----⌫--|--|
lienueiast	-|-------|
k i e nseuste maistres	-⌫|-⌫|----||-------|
en fustd eorfa uerie	-|---|-⌫|----⌫----|
e depurtraitureede engrauuree	|-|----------||-|--------||
altr eseng inzeli	----⌫-|---⌫--||-|
rei syram enueiadalre isalomunu n	---⌫|---|------|-|--⌫|------|-⌫|
menestrel merueil luski bien	--------|-------⌫--|-|---|
s outuu rer	-⌫--|--⌫--|
deorede argent e	-|-||-|-----||
dealtresmetalsedemarbre	-|-----|-----||-|-----|
ed espuered eseieed	||-----||-⌫|---|||
ede qu anq ue	|-|--⌫---⌫-|
mesti ersen fudcist menes tre lsout	-----⌫--|-|--|---|-----⌫---⌫-|--|
yramfizfud auneue duede l	---|--|--||--|--⌫--|--⌫|
lignagenepta limlefiziac ob	------|-----⌫--|-|--|---⌫-|
le fi z ysaa c ma issisperes	-|--⌫|----⌫|--⌫-|--|----|
tyr cumeuenuzfudal	--|---|----|--|-|
r ei salomundous co lumpnesfist	-⌫-|------|---|--⌫------|---|
dea r ai me lunee l au tre	-|-⌫-⌫--⌫|||--|||--⌫--|
outdiseuit al nes	--|--||--|--⌫--|
delung eduze de	-|---||---|-|
groisseenuirunedous	------|------||---|
capitra lsgetaddeare imli	-------⌫-|----|-|---⌫-|-|
espeissecincalnes e	-------|---|-|--||
alt retantli altresce s capitr alsfurentsurlescolump ne sas is	---⌫-----|-|-----|--⌫|------⌫--|-----|--|--|------⌫--⌫|--⌫-|
er icheo ure iou t desuredemalegranates	|-⌫---|-⌫--||--⌫|-----|-|-----------|
e de laceiz	|-|-----|
aual le capitral	---|-|-------|
tute nt urs urstrentdous	--|-⌫--⌫-|-⌫-------|---|
ordresdemalegranates	-----|-|-----------|
sinioutdousc enz e desure	-|||--|---|-⌫--||-----|
outdous or d res enuiru n	--|---|--⌫-⌫--|------⌫|
deu nsenlacemenz	-|-⌫-|---------|
desetpleiz f udliun se li altre	-|--|----|-⌫-|-|--⌫||-|----|
laceizefuduurezl i chapitralsa	-----||--|----|-⌫|---------||
lilies ki quatrealnesleuerent	-----|-|-----|----|-------|
et utel ou re enlumin erentanduil ichapitralfuren t	|-⌫--||--⌫-|-------⌫----|----|-⌫|--------|-----⌫|
siatu rnez	-|---⌫---|
