form Cilqu ifist	---|--|--⌫|---|
d elegie r menerl e nporent .	-⌫|-----⌫|----||-⌫|-----||
trez esloignieel orentPar .xii.	---|---------||----|--|----|
l e nanuoierentNegaires loingnes conuoie rent .	|-⌫|---------|-|-----|----|--|-------⌫---||
an mainnent la pucele L ia utreontdite l a	-|-------|-|-----|-⌫|-⌫---|--|---|-⌫|
noueleA udu c quebie n ont espl o itié	-----|-⌫|--⌫|--|---⌫|--|----⌫-⌫----|
Lid us nauoitdel	-|-⌫-||----||-|
co uoiti éSiprant tr iues totma in a main As Grez ois	--⌫-----⌫-|-|----|--⌫---|--|--⌫-||---|-|----⌫--|
andem ain.	-----⌫--||
Triues ont prise s et donees.	-----|--|-----⌫|-|-----||
Le sgenzleduc	--⌫|---|-|--|
sont retorneesEt	---|--------|-|
li Grezoissanz plusdatente	-|------|---|---||-----|
R epeirent ch ascunsasatente .	-⌫-------|--⌫-----||-|----||
MesCligés	--|------|
seuse nuneenga r deRemestq uenus nes an	---|-⌫|--|----⌫-⌫-|-----|-⌫-|--|-||-|
prantgardeTa nt	----|----|--⌫-|
queles.xii.	--|--|----|
qu ialoientuitet celi quil a n menoient	--⌫|------|--|-|---|-|-|-⌫|-------|
Totlegrant corse tlesgalos.	--|-|----|---|-⌫|--|----||
Cligésqui uialtaquer re los	------|--|----|-----⌫-|--|
s esle isseene sl epasC ar	|----⌫---|-|-⌫|-⌫|--|-⌫-|
porneant nefuie nt pa sCesepansse etl i	--|----|-|----⌫-|--⌫|-|-|-----|-|-⌫|
cuer slidit	----⌫|-|--|
Totmaintenantque illesu i tSesleis seaprés	--|---------|--|-|--|-⌫-⌫||------⌫-|-----|
cesquileuoientuenirsicuiden t bien	--|--|-|-----|----|-|------⌫|---|
et croientQue cesoitli dusqu i	-|------|--|-|---|-|--|--⌫|
Con tratendonsleun peti tIl ses t	---⌫---------|-|-|----⌫|-||--⌫|
lostEtsiuientaprésnosmo ut	|--|-|-|----|-----|--|--⌫-|
Niac e lui quine lecuit	|||-⌫-⌫--|--|-|-|---|
Contrelu iuoelentaler tuit	-----|--⌫|------|---|---|
Mes seusiuialtchascunsaler	--|---||----|-------|---|
C l i gésco u ient aaualerUn	-⌫-⌫-⌫---|--⌫-⌫---||-----|-|
grantu alentre.ii.	----|-⌫-|----|---|
montain gnes .	-------⌫---||
Iamesd ax neseüst ansaignesSecil	-|--||-|-|-----|--------|-|--|
contr elui neuenisse n tOuil	-----⌫|--|-|-------⌫-⌫|-|-|
nelecontreatendissent.	-|-|----------------||
li uienenta	-|------||
len cont re.	|--⌫----⌫-||
un les anco ntre	-|--|----⌫---|
Au oecla puce l erema inne ntLiautre quisoef len	--⌫--|-|----⌫-⌫|----⌫----⌫-|-|----|--|---||-|
m ainentLepetitpa setlanbleüre.	-⌫-----|-|----|--⌫|-||--------||
uont grantaleürePo ing na n tuie nentparmi.i.	---|----|------|--⌫---⌫--⌫-⌫|---⌫---|----|--|
Cilquiotplus	--|--|-|---|
isnel cheual uin tdeua n ttoz	----|-----|---⌫|----⌫-⌫|--|
cri ant enhautDusde	---⌫--|-|---|--|-|
SessoigneDe x tesa utDu sre coureeauonstamie .	--------|--⌫|-|--⌫-|--⌫|--⌫-----|----||---||
O r n a n manro ntli Grezois mi eCaria	-⌫||-⌫|-----⌫-|-|------|--⌫|--|-|
tiert bai lliee e trandue .	|---|---⌫----|-⌫|-----||
Qan tlaparolea en tandue	---⌫|-|-----||--⌫-----|
C ligé s quecilli uet	-⌫-----⌫|--|--|-|--|
criantNenamiesoncuer	-----||-||--|--|---|
riant Ein z	----|---⌫|
estmeruoille	--|--------|
q uiln enrage.	-⌫|-||-----||
Onquesnule bestesalua g eLieparz nehui ures nelieonsS	-----|---|----|-----⌫-⌫|------|-|---⌫---|-|-----||
perd resesfe onsNe	----⌫-|--|--⌫--|-|
fusi arda nz	-|-|----⌫-|
n enragieeNedeconbat re	|-------|-|-|------⌫-|
anco ragieeCon	----⌫-----|--|
fuClygéscarlui necha ut Deuiurese	-|------|--|--|-|---⌫-|-|----|-|
samiefaut.	|---|---||
Mialzuialt morirquil nela	----|----|----|-|-|-|-|
grantire an sond eshait	----|--|-|--|-⌫-----|
E tmoutgrant hardemantli done.	-⌫|---|----|--------|-|---||
Larrabibrocheetespero neEtuet desorla	|-----|-----|-|------⌫-|-|--|----|-|
tar g epoin teAu	---⌫-⌫|----⌫-|-|
Sesned onertelea np ointe	----|-⌫---|---|-⌫--⌫----|
De teluertuto t s an z m antirQualc uerli	-|--|----|--⌫|-⌫--⌫|-⌫----|-|-|-⌫--|-|
fet lef ersantir.	--|-|-⌫-|-----||
Cligés aseür é	------|------⌫-|
PlusdunarpanttotmesuréAl arrabipoint	---||-|-----|--|------|||-----|----|
et bro chie ́Einçoisque	-|---⌫----⌫|-------|--|
aita prochiéC ar tuituenoien tdesroté.	--|-⌫-------|-⌫-|---|-------⌫|-------||
Nelu nne l	-||-⌫|-||
au trenado téCarseul	--⌫--|||--⌫--|--|---|
a seul iostea	|---|----||
chascun Sesanc ontr e parunetun Ne	------|--|---⌫----⌫|--|-|-|-|-|
autrenaïe.	----||---||
A usecontf et	-⌫|-----|-⌫-|
un e anuaïe Quili cuidoitdeson cont r aire	--⌫|------|--|-|------|-|--|----⌫-⌫---|
Nouele s direetioiefaire	------⌫|---|-|---|----|
Sicon lipr e mier sauoitfet.	-|--|-|--⌫-⌫----⌫|----|--||
Mes Cligésnacur edepl etNe	--|------|||---⌫|-|--⌫-|-|
desaparole	-|-|-----|
es couter.	--⌫-----||
Salanceel cor s	-|----|-|---⌫|
liuetb o uterAuretreirelisan sen	-|--|-⌫-⌫---|-|-------|-|---⌫|-|
u oleQuil li	-⌫--|-|-|-|
tost l ameetlaparole.	---||--|-|-|-----||
acopleQuimoutlecuidoit trouers opleEt lié	-----|--|---|-|------|-----|-⌫---|-|---|
fe ire de sonenui .	--⌫--|-|--|---||
Ledest rierbr ocheanc ontre luiM e s	-|----⌫---|--⌫---|---⌫----|--|-⌫-⌫|
ei nzquemotdir eli loiseCligés	--⌫-|--|--|---⌫|-|----|------|
d esa lanceunetois ePa rmi lecors lia	-⌫|-|----|--|----⌫|--⌫--|-|---|-||
Auq uart redone	-|-⌫---|-----|
tel coleeQu	--|----|-|
enmilechanppasmé	---|-|----|-----|
le less e.	-|----⌫||
Aprés le quartauquintsesle sseE t	-----|-|----|-|----||----⌫--|-⌫|
pu isausisteapréslequint.	--⌫-|-|----|-----|-|----||
De ceznusnesecontret int	-|--|--|-|-|-------⌫--|
Tozl esl esse teisanzet	--|-⌫-|-⌫---|------|-|
M oinsenalesaut r escremuzEtplushardiemant	-⌫---|-||--|---⌫-⌫-|-----|-|---|---------|
r e quisPuis qu i ln otgarde decess is	-⌫-⌫---|---|-|-⌫||-|----|-|--|-⌫-|
Qant decezfu as seür ez	---|-|--|-|--⌫-----⌫-|
Dehonteet demaleürtez	-|----|-|-|---------|
uetpresantfeire au remen antQui	--|------|----|-|-----⌫--|--|
lapucelean uon tmenant .	-|-----|-|---⌫|-----||
At ai nzlesas iles	--⌫--⌫-|--||-⌫|--|
a ss aut C omelous	-⌫--⌫--|-⌫--|---|
quiaproiesautFam eilleusetesgeünez.	--||----|---|---⌫------|-|--------||
Orli est uis quebuersoit	-|-|--|--|--|---|---|
nez Qantilpuetfeirea pertemant Ch euale rie	--|---|-|---|----|-⌫--------|--⌫-----⌫--|
ethardemant Deuantc eliqu i	-|--------|-----|-⌫--|--⌫|
lefet iur e.	-|--|---⌫||
Orestmorz s ilnela deliureEt	-|--|---||-|-|-|------|-|
c elerestautresi morte	-⌫--|---|------|----|
Quip orlui mou tsede sconforteMes	--|-⌫-|--|---⌫|-|--⌫--------|--|
nelsetpassi pre s	--|--|--|-|---⌫|
poindrequiliabeliA	------|--|-|----||
fetCligéslance	--|------|----|
sorfautreSifi ert.i.	--|-----|-|--⌫--|--|
Sesneetpuis .i.	----|-|---|--|
autre Siquanbedeusaunse ulpoindreLesa	----|-|-|-------||-|--⌫-|------|--||
fezcontreterreioindreEtsalance de	--|-----|----|------|-|-|----|-|
fresnefroisseEtcilchieentpartel	-----|------|-|--|------|--|--|
angoisseQu ilnont	-------|-|-||--|
pooirdere leu erPor l uimal	----|-|--⌫---⌫-|--|-⌫-|--|
feire ne gre uerCard escor sfurentanpirié.	----|-|---⌫--|--|-⌫-|---⌫|-----|-------||
Liautre.iiii.	-|----|-----|
tuitirié uontClig ésferirtuit ansanble Mesiln	---|----|---|----⌫--|----|---|-------|--|-||
enb runc h enene tranble N i lneliontestrié	---⌫----⌫-⌫|-|-|------||-⌫|-|-|--|------|
le brancesmoluForsdelfuerre isnelemants acheEt	-|----|-----|---|--|-----|---------|-⌫---|-|
porcequeboen grél	--|-|--|---|---||
e nsache C eli a	-⌫|----|-⌫--||
cuidamorssatan tuetancontre.i.	--||----||----⌫|--|-------|--|
Se sne batantSelfiertdel e s peeesmolue	--⌫--|-----|--|----|-||-⌫-⌫--|------|
Queilliadel bu tolueLa	--|-|-||--|-|----|-|
t esteetdel colla	-⌫---|-|--|--|-|
mitie ́ C onquesnen	-----⌫||-----||-|
ot a ut r e	-|-⌫--⌫-⌫|
Fenice qui lesgarde	-----|--||------|
etuoit Nesetpas q uec e	-|---|-|--|--|-⌫-|-⌫|
Cli gé ss oit El euoldroitquece fust ilMes	---⌫---⌫|-⌫--|--⌫|-------|--|-|---|-|--|
porce qu ili	--|-|-|-||
ele ne leu oldroit	--|-|-|-⌫------|
parzli estboeneamieCar s a mortcrient	---|-|--|----|---|--|-⌫|---|-----|
etseno r uialt.	-||---⌫|----||
EtCligésalespeeaquialt	-|------|||----|------|
qu ifi erestorlirand ent So nesculi	--⌫|--⌫-|----|-|----⌫--|--⌫|---|-|
troentetfandentM es	-----|-|------|-⌫-|
n o n t pooirdelui	|-⌫-⌫|----|-|--|
bai llier Ne d e	---⌫----|-|-⌫|
sonh a uberc desmail lier.	--|-⌫-⌫----|-------⌫---||
Etq uanqueCligése nataint Deuantsonc oprienne	-|-⌫-----|------|-⌫|-----|-----|--|-⌫-|---|-|
remaintQue totne confondeet deronpeS	------|--|--|-|-------|-|------||
estp lu s tornanzq uen estla tronpeQue	--|-⌫--⌫|------|-⌫-||--|-|-----|--|
lesc orgiee	|---⌫-----|
m ain ne etchace .	-⌫---⌫-|-|----||
Pro esc e et	---⌫---⌫|-|
l amorsquilelaceLe	|----|--|-|---|-|
font hard ietconbatantL es	---|----⌫|-|--------|-⌫-|
Se snes a traueilliez	--⌫---||----------|
tantQuetozles amorzet conquisCeza folez	---|--|--|--||---|-|------|--|-⌫----|
etcezocis.	-|--|---||
Mescunseulanleisseeschaper	--||-|---|-|-----|-------|
Porcequileren tp er	--|-|-|-|----⌫|-⌫-|
aper Et porcequeparlui	|--|-|--|-|--|--|--|
seüstLid us sahonteetd uel	-----|-|-⌫-|-|----|-|-⌫--|
sot samesche ance	--|-|------⌫---|
Se notgrantireet grantpe sance.	|-⌫|-|----|--|-|----|--⌫----||
EtCligésFeni c ean	-|------|----⌫-⌫|-|
remain neQui	------⌫-|--|
letrauaille etp ainne.	-|--------|-|-⌫----||
Mes sor nepr ant a	--||-|-|--⌫--||
liconfesseLo nctans liiert a mor s angresseEta	-|-------|--⌫-|---|-|---|-⌫---⌫|-------|-||
ele setestQ uene	--|-|---|-⌫-|-|
die cequeli	--|-|--|-|
p lest Cor puet biendir een a udianceL	-⌫---||-|---|---|---⌫|-|-⌫------||
lautresaconciance.	|----|-|--------||
Mes tant criementl erefu ser Qu	--|---|-------|-⌫|----⌫--|-|
il n os ent	-||--⌫--|
Cilcrientque cel enelrefustC el e	--|-----|--|---⌫|--|-----|-⌫--⌫|
ancuse eser efustSele n e dotast	------⌫|-|-⌫----||--|-⌫|-----|
Etneporquantd e sialzan cuseLiunsa	-|---------|-⌫-⌫|---|--⌫---|-|--||
l autreson panserS	|----|--|-----||
il sanseüssentapa nser.	-||-|--------|---⌫---||
Desialz parolent paresgartMe sdesboches	--|---|-------|--|-----|--⌫|--|-----|
so n tsi coart Quede	--⌫-⌫|-|----|--|-|
l amorquilesius tiseN osentp a rler annule	|---|--|--|---⌫---||----|-⌫-⌫---|-|---|
Secele coman cierne lose	-|---|-----⌫---|-||--|
Nestmer uoi llecar	|--|---⌫---⌫--|--|
s inple chose Doit	-⌫----|----|---|
estrepuce leetcoarde .	----|----⌫-|-|-----||
decoise tar deQui	-|--|-|---⌫-|--|
por lies tpartothardiz Ses t	--|-|--⌫|--|--|-----||--⌫|
seu l e acoar di z Dex cest e criemmedonl iuie nt C	---⌫-⌫|-----⌫--⌫|--|----⌫|------|--|-⌫|---⌫-||
une pucele	--|-----|
seulecrien tSinpl e	----|-----⌫|-----⌫|
et coarde foibleetquo ieAce mes an bl e	-|-----|-----|-|---⌫-||-|-|-⌫--⌫--⌫|
Leschiensfoïrdeuantlelie ure Et	--|-----|----|-----|-|---⌫--|-|
la turtrechacierle bieureL aignel	-|-----|------|-|-----||-----|
lelou li colonslaigl eEt	-|--|-|-----||----⌫|-|
si fuitli uilains sam aigle Domil	-|---|-|------|-|-⌫----|--|-|
ilsahaneEt	-||----|-|
sifu itlifauconsporl	-|--⌫-|-|------|--||
aneEtligripon s por	--|-|-|------⌫|--|
leheironEtliluz fuit	-|-----|-|-|--|---|
porleuei ron	--|-|---⌫--|
lyonchacelicersS iuo ntles	---|----|-|---|-⌫|--⌫-|--|
chosesae nuers.	-----||-⌫----||
M esuolantezanmoisaüneQue	-⌫-|-------|-|--||----|--|
ie dier eison	-|--|-⌫----|
auc u nePorcoiçauientafi ns	---⌫-⌫-|--|--|-|-----||--⌫-|
a manz Quesenslor	-⌫---|--|---|--|
fautethardemanzAdirecequilo n tan	---|-|--------||---|-|-|-|-⌫-⌫|-|
pans Qantilont e ise	---|---|-|--|-⌫--|
damors uosfe itessageE t	|----|--|--⌫---|---|-⌫|
lescostumes etlusage Desa	--|-------|-||----|-|-|
cort ma intenezafoi Nonquesne fa us sastessa loi	---|--⌫------||--||-----|-|--⌫--⌫-----|-|--|
Quequil uosandoiecheoi rDitesse	--|-|-|--|-|---|-----⌫|----|-|
lenpu etnesueo irRienquipo r amor	|-|--⌫-|--|---⌫-|---|--|--⌫|---|
abelisseQue l ennantressail le oupalisse .	-------|--||-||-|--------⌫-|-|------||
Iade ce contre mo iniertnusQue ie	-|-|-|-----|--⌫||---|--|--|-|
ne lenrande confusCarqui nenpalist	-||-|----|-----|--|--||-|-----|
ettressaut Etsanse tmimoires lifa utE nlarrecin	-|-------|-|---|-⌫|-------|-|--⌫-|-⌫|-------|
porchace etq uiertCeque par	-------|-|-⌫----|-|--|--|
d roitneliafiert.	-⌫---|-|-|-----||
Serge nzquisonseig norn edoteNed oit	-----⌫-|--|--|----⌫--|-⌫|---|-|-⌫--|
pasaler a n	--|---|-⌫|
sa roteNilnedoit	-|---||-|-|---|
f eiresons eruise.	-⌫---|--|-⌫-----||
Seignornecrientquinele prise	------|-|-----|--|-|-|----|
Etqui nel prise ne lachierEinz	-|--|--|----|-|||----|---|
se pa innedelui	-|--⌫---|-|--|
trichi erEt de lasoec hoseanbler.	------⌫-|-|-|-|--|-⌫---|-----||
D epeor doitsergenztranb lerQantsessires lapele	-⌫|---|---|------|-----⌫--|---|--|----||----|
o um andeEtqui	-⌫|-⌫---|-|--|
comandeSonm estr e etsonseignor	------|--|-⌫----⌫|-|--|------|
remanbranc el eitEt qu illes erueet	----------⌫||--|-|-|-|-|-⌫---|-|
quillenortS	-|-||----||
bien estredesaco rt.	---|----|-|-|--⌫-||
Am ors sanz criemmeet sanz p eorEstfeusar danz	--⌫--|---|------|-|---|-⌫--|--|---|--⌫---|
etsanzchalorIo rzsanz s ol oi lcire sa nz miel	-|---|-----|--⌫-|---|-⌫--⌫--⌫|---|--⌫-|---|
E stezsanzfloryuerss anzgielCiax sanzlu ne	-⌫---|---|---|----|-⌫--|---|---|---|--⌫-|
liuressanzletre.	-----|---|----||
Etsaneantleuolezmetre	-|||----|-|----|----|
Qu ela oucriem mese dessoiure Nifet	--⌫|-|-|-----⌫-|-|--------|||--|
Amor sarama nt oiure.	----⌫||----⌫--⌫----||
Qui ameruia l t crien brel estuetOuaut remant	--|---|---⌫-⌫|-----⌫--||-----|-|---⌫-----|
puetMess eulc eliqu il aimme d otEt	---|--|-⌫--|-⌫--|-|-|----|-⌫-|-|
por lisoithardiz	--|-|---|-----|
Donc nefaus sene	---|-|----⌫-|-|
mesprantmie	-------|--|
Cli gé s silredo te s amie.	---⌫---⌫||-|----⌫-||---||
Mesporceneleissa st il	--|--|-|-|------⌫-|-|
pa s Qu il ne leüstenes l epas	--⌫|-|-|-||----|-|-|-⌫|--|
D am or s ares nieeetrequ iseComantque	|--⌫--⌫|----⌫---|-|----⌫--|-----|--|
lachose anfustprise S	-|----|-|---|----||
fust f ameso noncle	---|-⌫--|--⌫|----|
Porcesapla ielir eoncle Et plusligrieue	--|-|-|---⌫-|-|-⌫-----|-|---|-|-----|
etpluslidial t Quilnos e	-|---|-|----⌫|-|-||--⌫|
direcequil	---|-|-|-|
Einsiuers l orgents anreuienent Et s	----|---|-⌫-|---||-|--------|-||
ilder ienparoletienentNi	-|-|-⌫--|-----|------|||
otchosed onlor ch ausis t.	-|----|-⌫-|--|--⌫-----⌫||
Ch ascunssorunbo enc h e ual	--⌫-----|--|-|--⌫-|-⌫-⌫-⌫--|
che ualchent a	---⌫-------||
grante sploit uers l	----|-⌫-----|---||
ostoumout grant duelau oi t .	--|-|---|----|---|--⌫--⌫||
Partote lostde duel forss e n entMesa	--|---||--|-|---|-----⌫-⌫-⌫--|--||
nuluoir dire	--|---|---|
n a senentQui l dïentq ue Cligésest mor z .	|-⌫-----|-|-⌫|-----|-⌫-|------|--|---⌫||
li diax etgranz et f orzEt por Fenic e	-|---|-|----|-|-⌫--|-|--|-----⌫|
seresmai ent Ne cui de ntqueiamesla	-|------⌫--|-|---⌫--⌫-|--|-|--|-|
Sestp or celi et p or	|--|-⌫-|---|-|-⌫-|
celuiTotel ozanmou t gr a ntenui	----|---||-|-|---⌫|--⌫-⌫-|---|
Mes cilnetarderontmes	--|--|-|--------|--|
guei res Si c hangeratozli afeir es	----⌫--|-|-⌫------|--|-|-----⌫-|
Car ias ont	--|-|-⌫--|
retorn éSont leduel aioi etorné	------⌫-||--|-|---||---⌫|-----|
Ioie re uientetd iaxsanfuit Al	---|--⌫----|-|-⌫--||-|---|||
encon trelor uie nentt u itSique	-----⌫--|--|---⌫---|-⌫-⌫-|-|--|
tot elozs iassa nble.	---⌫||-|||----⌫---||
LiduiempereoransanbleQantil oïrent	-|--|-------|-------|---|-|------|
De Cligéset de la	-|------|-|-|-|
puceleAn contre uontamo ut	-----|--⌫-----|---||--⌫-|
g ranti oie .	-⌫---|-⌫--||
Achascunes ttartque il	|------|--⌫|---|--|-|
oi eCom a nt	--⌫|---⌫-⌫-|
Clig ésauoittroueeL	----⌫--|----|-----||
empererizet recouree	--------|-|-------|
C ligéslor conte et ci l qui	-⌫-----|--|----|-|--⌫|--|
sanmeruoillentetmout	|-|----------|-|---|
loentSa proesce etsonuasselage .	----|-|------|-|--|--------||
Et d autrepa rtlidusenrage Qui	-||----|--⌫-|-|--|-----|--|
iureet afic heet propo se Q ue	---|-|----⌫-|-|-----⌫-|-⌫-|
se u l aseulse Cligésose	--⌫-⌫||---|-|------|--|
lab ataille	-|-⌫------|
priseS ilafera parteldeuise Quese	----|-⌫|-|---|--|--|-----|--|-|
Cligés uaint	------|----|
labatai lle Lem pereres s eürs sa nailleEt	-|-----⌫--||--⌫------|-⌫----||-⌫|----|-|
s apuce leoluianmaint EtseCligés	-⌫|----⌫-||--|-|----|-|-|------|
oc itou u aintQuigrantdo mage	--⌫-|-|-⌫---|--|----|--⌫---|
l ia faitPorcet riue s nepesni	-⌫||---|--|-|-⌫----⌫|-|--|||
ai tQu aprés chascunssonmia lz n eface.	--⌫|-|-----|-------|--|---⌫-|-⌫|---||
Cest e chosel i dusp orchac eEtfe t parun	----⌫|----|-⌫|--|-⌫------⌫|-|--⌫|--|-|
suendr u guemantQui greu	---|--⌫-⌫------|--|---|
sauoitetale mantAs.ii.	-----|-|---⌫---|-|---|
empereorssauoir Qu	--------|-----|-|
ainsiuialtlabataillea uoir.	----|----|-|-------|-⌫---||
Limess agiersd itsonmessage	-|----⌫-----|-⌫-|--|------|
Enlun et enlautrelen g ageS i qu e	-||-|-|-||----|---⌫-⌫--|-⌫|--⌫|
lentandirenttuit.	|----------|---||
Tot e l ozanfrem istet	---⌫||-|-|----⌫--|-|
d ïentqueia Deun eplaceQ ueCligés	-⌫----|--|-|--|-⌫|----|-⌫-|------|
labataill efa ce	-|-------⌫|--⌫-|
Etand u ili emp e reorAn sonten	-|---⌫-⌫|-|---⌫-⌫---|-|---|-|
m outgrant	-⌫--|----|
MesC ligésa spiez	--|-⌫-----|-⌫|---|
loranc hiet Etprie lor quene	--|-|-⌫---|-|---|--|--|-|
lorgrietMessain zfi st	--|----|--||---⌫|--⌫-|
rien quilorpleüs t	---|--|--|------⌫|
Que ilc este bat ailleeu ̈st En	--|-|-⌫---|---⌫----|--⌫--|-|
guerre donet	------⌫--|-|
anme rit e E ts	-|--⌫---⌫|-⌫||
ele li est	--|-|--|
cont redite Iames	----⌫-----|-|--|
n iert ason o ncleunio rNe	|---||--|-⌫---|-|--⌫|-|
porsonboenne por	--|--|---|-|--|
Lemperere s quitantauoi tSon neueuchier	|--------⌫|--|---|----⌫|--|----|----|
comi l d euoitParla maincontremontlanl ieue	--|-⌫|-⌫----|--|-|---|---------||-|-⌫---|
Etd istBiaxn iés	-|-⌫--|---|-⌫---|
forman tmegrieueCe qu etant	------⌫|-|-----|-|--⌫|---|
uoss aiconbatantQu a pre ́si oieduelen	--|-⌫-|--------|-|-⌫---⌫-|-⌫--|---|-|
Liém auezfetn elpuisnoierMes mout me	---||---|--|-⌫-|---|----|--|---|-|
grieueaotro ierQua	-----||----⌫--|-||
laba tai lleuos	-|--⌫---⌫--|--|
enuoiPorceque trope nf ant	----|--|-|--|---|-⌫--⌫--|
u os u oi.	-⌫-|-⌫-||
Mestantuos resaide h aut	--|---|--|----|-|-⌫--|
cuerQu eien osdesdirea	---|--⌫|-||-|------||
nulfuerRienq uiu o s pleiseademand er	--|---|---|-⌫-|-⌫-⌫|-----||------⌫-|
Cars eulemant por comander Seroitil	--|-⌫-------|--|-------|-----|-|
fetcesachiezbie n.	--|-|------|---⌫||
M e ss eproiereiua loitri en	-⌫-⌫|-⌫|------||--⌫---|--⌫-|
Iacestfesn enchar geriez.	-|---|--||------⌫-----||
Siredeneant pleidiez FetClige ́s	---|-|----|-------|--|-----⌫-|
car Dexm econfo ndeSe ienpre noietot	--|--|-⌫|-----⌫--|-||-|---⌫---|--|
le monde Qu elabataillenen	-|----|--⌫|-|-------||-|
Nesa iporcoi	-|--⌫|--|--|
uosique ïsse Loncr espit ne	--||---⌫----|---|-⌫----|-|
longuedemo re.	-----|----⌫-||
L empereres d e pitié plore	|--------|-⌫|-----|----|
Qantlabat aille	---|-|---⌫----|
l i otroieEtCli ge ́s anp lore de	-⌫|-----|-|---⌫--⌫-|-|-⌫---|-|
Laotploree mainte ler me.	-|-|-----|-----|---⌫-||
Il n io tpri sre spitne terme E i nçois	-|||-⌫|---⌫|--⌫---|-|----|-⌫-⌫-----|
fusto rede p rimeP arle su enm essagemeïs me	---|-⌫-|-|-⌫---|-⌫-|-|--⌫-|-⌫-----|-----⌫-|
Fulaba ta illeauducmandeeSi	-|-|--⌫--⌫---|-|--|-----|-|
au oit dem andee .	--⌫--|---⌫----||
Li dus cuideetc roit bien	-|--|----|-|-⌫---|---|
etpansseQ ue Clig ésnaituers	-|-----|-⌫-|----⌫--||--|---|
luidesfa ns seQuelue ́s mo r touconquisn el	--|-----⌫--⌫-|--|---⌫-|--⌫-⌫|-|------|-⌫||
aitIsnelem a n t a rmerse fait.	--|-------⌫-⌫-⌫|-⌫---|-|---||
Cligé scuilabat ailletardeDe	------⌫|--|-|---⌫----|----|-|
necuideauoirgardeQuebien uers	-|----|----|----|--|---|---|
lui ne se des fande.	--|-|-|---⌫----||
Alempererearmesdem ande	||-------|----|---⌫---|
Quil uialtque c heualierle faceE tl	-|-|----|--|-⌫-------|-|---|-⌫||
e mper erespar sag race Li	-⌫----⌫---|--|-|-⌫---|-|
donearmesetcillesprant Cui	---|----|-|--|--|----|--|
licue rs de batailleesprantE tmou tla	-|---⌫-|-|-------|------|-⌫|---⌫|-|
d esirreetcouoite	-⌫-----|-|------|
Deluiarmerforman t	-|--|----|------⌫|
s esploi te .	|------⌫-||
Qan tarmezfu de chiefanchiefL empereres	---⌫|----|-|-|----|-|----||--------|
cuimout fu grief Liual	--|---|-|----|-|-||
espeec eindr eauflanc.	----|-⌫-----⌫|-|----||
Cli g és de sorl	---⌫-⌫--|--⌫--||
ar rabi b l an cS anmonte	--⌫---|-⌫-⌫--⌫||-|----|
armezde totes ar mesAsoncol	----|-|----|--⌫--||--|--|
pa nt parlesena rmes. I.	--⌫-|--|--|---⌫---|-⌫-|
escud unos	---||-|-|
dolifantTelquine	|------|--|--|-|
pe çoien e f antNen iotcolor	--⌫----|-⌫|-⌫--|-|||-|----|
nepointure.	-|-------||
T otefublanche sarmeüreEt li	-⌫--|-|------||-------|-|-|
d estrier setliher n o isSi fuplusblansqu e	-⌫-------⌫|-|-|---⌫-⌫-⌫-|-|-|---|----|--⌫|
n ul enois .	-⌫--⌫|---||
C l ig éset	-⌫-⌫--⌫--|-|
mo nté S aliuns	--⌫---|||-|--|
a l autr emand éQualamiuoieassanbleroi ent	||----⌫|----⌫-|-||-|-----|-----------⌫--|
parzlorg en z seroientTuit	---|--|-⌫--⌫|-------|---|
s anzesp eesetsanzlancesPar	-⌫--|---⌫--|-|---|-----|--|
saire manzet parf iancesQue	-----⌫---|-|--|-⌫-----|--|
iatanthardin iauraTant	-|---|----|||---|---|
conlabatailledurraQui sost mouoirpor	--|-|-------|----|--||--|-----|--|
fai reNe plus qu ils oseroit	---⌫-|-|---|-|-||------|
l uel trai re .	|--|----⌫-||
Parcest consoil	--|---|------|
s ontasanb léS aachascun mout tartsanblé Que	-⌫--|-----⌫--||||------|---|---|------|--|
ilauoir do ie laglo i re	-|----|--⌫-|-|---⌫-⌫-|
E tlaioiedela uictoire.	-⌫|-|---|-|-|-------||
Me sainzquecop ferui ait Lemper eriz	--⌫|---|--|--|---||--||-----⌫---|
ifait Que p or	|---|--|-⌫-|
C ligésesttrespan ssee .	-⌫-----|--|-------⌫---||
Mesdecesest biena panss eeQue se	--|-|-||--|---|-⌫-----⌫-|--|-|
ilmuertelemor raI a nuse i d ierneli	-|----|--|---⌫-|-⌫|--|-⌫-⌫-⌫--|-|-|
porraQ uau uec	----|-⌫|--⌫--|
luimorir neselestCars anzlui uie ne	--|----|-|-|---|--|-⌫--|--|--|-|
Qan tel chanpfure nt	---⌫|-|----|----⌫-|
tuituenu H autetbaset iueneetchenu	---|---|-⌫--|-|--|-|----|-|----|
gardes ifurentmisesLorsontan duilorlance s pris e s	-----||-----|----|---|--|--⌫--|--|-----⌫|----⌫-⌫|
antreuienent sanzfeinti seQuechascunsda x salance	-----------|---|------⌫-|--|-------||-⌫|-|----|
briseEtdesche ua x	----|-|--|---⌫--⌫|
a terreuienentQue as	|----|------|--|-|
re t ienent.	--⌫-⌫-----||
Me stos tresontanpiez dreci éCarderien	--⌫|---⌫|-----|-|---|-----⌫-|--|-|---|
ne furent ble ciéSisantreu iene ntsanzdelai	-|-----|---⌫---|-||------⌫----⌫-|---|----|
As espe es note ntunlai	-|----⌫-|----⌫-|-|--|
