S ii ertilsi	-⌫|-⌫--|-|-|
Keles dous	-|--|---|
p re mer eins l i ainznér et eneit	-⌫--⌫---⌫---|-⌫|---|--|-⌫--⌫----|
Elo tierzquiuen istlipu s	|-|----|--|---⌫--|-|--⌫|
nezreceueit	--|-------|
a sun oese	|--|--||
odliremaneit.	-|-|--------|
Cistcouenz ke uus	---|-----|-|--|
Keliainz niez desdous	-|-|---|---|--|---|
r etinta sun	-⌫----||--|
Dous cor tei scheualiers qu	---|---⌫---⌫|---------|-|
ilamoutecree it.	-|----||----⌫--|
Ordeueitlipusnezle procei n	-|-----|-|-----|-|------⌫|
kiuend reit	-|----⌫---|
Rete nirouelicumf airelodeuei t. [f .45 b]	----⌫--|--|-|--|-⌫---|-|-----⌫--⌫--⌫---⌫-|
des r etenuzili ertd itielendr e it	--|-⌫-----|-|-⌫--||----|----⌫-⌫-|
iertforten tu tsen ketiel nulsne	---|---|-|--⌫|--|-|---|---|-|
Lautreiuo utasesch es ki	|----|---⌫-|-|----⌫-|-|
tuzhomesuenquei t	--|----|-------⌫|
Enulquisenpreïs t nulueintrene·lpoe it.	|--|--||-|------⌫|--|------|---|---⌫--|
E ntret antHornli pru ztutlurchemin t e neit	-⌫-----⌫--|---|-|---⌫|--|--|-----|-⌫-⌫---|
Si scheuausiert mutbeaus egrantbruit	--⌫|------|---|--|----||----|----|
E iliert bien	|-|---|---|
armé lescu b ien li	----||---|-⌫--|-|
Biensemblecheu aleruhom se fïerdeit	---|-----|----⌫---||--|-|----|---|
Eli freres pu isnezprime ssen aparceit.	|-|-----|--⌫----|-----⌫||-|--------|
Egfero uticilnunkisaparçut prim ier	----|-⌫-|---|--|-||-------|----⌫--|
mostra tosta sunfre re	-----|---||--|---⌫-|
uééz frereGufferlaui ent uncheual ier	-----|----|-----|-|--⌫--|-|------⌫--|
Gentementestarmé	--------|--|----|
e b eles t	|-⌫-|--⌫|
sundestre r	--|------⌫|
Ilestpruz p ar semblantmut l e siet	-|--|---|-⌫-|-------|--|-⌫|---|
Bienleu e i acesmépurs esar mesporter.	---|-|-⌫-⌫|------|--|-⌫-|--⌫--|------|
frere siluientanus	----||-|----||--|
pur soudei er	--|------⌫-|
Io·lde i duncre tenir ne·l medeue zueër.	---|--⌫|---|--⌫----|---|-|----⌫|-----|
Fre reçoedit Guffer bienfetaotrïer	---⌫-|---|--|-----|---|--||------|
Lecouententr enusneuuil pa s	-|-----|----⌫|--|-|---|--⌫|
Ia nem iert sii oepusturné	-|-||---|-|-⌫-|--|-----|
a reprouer.	|--------|
Or alumcuntrelu inouelesdemander	-|---|-----|--⌫|------|-------|
Kiil estdunt iluient	-|-|--|---|-|----|
sunnunneldein t	--|--|--|----⌫|
Mu t parauez bienditçoe	--⌫|--|---|---|--|---|
respundi Egfer.	-------|-----|
dunt iluientsunnun	---|-|----|--|--|
ne(l) de int celerO. .. Kiilest cum	----|--⌫--|------|||-|-|--|--|
demandeq uei q uerH ...Ki ilestedu nt	------|-⌫--|-⌫----⌫|||-|-|--||--⌫-|
il uientec um a d nun	-|----||-⌫-|-⌫|--|
equeiilquer. (Compare2245-2248COHKiestes cheua lernel	|---|-|----|-------|-------------|----|-----⌫--|--|
me deuezceler	-|----|----|
Dun tuen ezke querezcumuus dei	---⌫|---⌫-|-|-----|--|--|--|
Si ue nez elpaisrem aindreucunquester	-|--⌫--|-|---|---⌫-----||---------|
Ioeuusdeire ten ir...(H om.2247 )22 5 1-2254COHHornot	--|--|--|--⌫---⌫-||-|--⌫-------⌫|--⌫-⌫------------|-|
bienke ilditde l repundren es t lent	---|-|-|--|--⌫|-------||--⌫|---|
Einzlia d respu ndumuta faitéément	---|-|-⌫|-----⌫--|--|-⌫-----------|
Een ordretrest utsademaunde	|-|----|-----⌫-|-|-------|
suidemaund ez	--|-------⌫-|
sirep rimeremen tCDun t ioeuienc	---|-⌫---------⌫-----⌫|--|----|
eque q uier elenunquim apent	|--|-⌫---||-|--|--||----|
...ODu nt iouie nc e lenun	||----⌫-|-|---⌫-||-|--|
..HDuntioe uince ke	------|--|---||-|
ioequerele nu nk e m	--|---||-|--⌫|-⌫||
apent....)I ntheselinesis	----|||----⌫|----|----|-|
describedGudmodsmeeting withtheIrishprin cesEgfer	--------|-----||------|---|--|----|----⌫--|----|
and Guffier andtheirinterrogation ofhim	--|------|--|----|------------|-|--|
firstpreliminarysuggestionsb yGuffieras	----|----------|----------|-⌫|------|-|
tothequestionstobe aske d–then	-|--|--------|-|-|----⌫-----|
Egfersques t ionstoGudmod	----||----⌫-⌫---|-|-----|
embodyingthesesugge stions–fi nally	--------|----|-----⌫---------⌫----|
Gudmods answers.	-----||-------|
Thereareaccidental	----|--|---------|
omissionsinOandHbutotherwisethere	--------|---------|--------|----|
isauerygeneralagreementin	-||---|------|--------|-|
the accounts furnish edbythe three	--|-------|-------⌫-|-|--|----|
MS S.except	--⌫-|-----|
in theprel imi naryc onuersa t i on b etween the t w o prin ces	-|--|----⌫---⌫---|-⌫-------⌫-⌫-⌫-|-⌫-----|--|-⌫-⌫|----⌫--|
fo rhereOandHdiue rgemar kedlyfr omCand toale sse rextentfr omea ch	--⌫|-------------⌫--|---⌫----|--⌫-----|-||--⌫---⌫|-----|--⌫-|--⌫-|
ot her .InOHwehau eher ea s eriesoff our	--⌫---⌫|-----|---⌫|---⌫||-⌫----|-|-⌫--|
questionson id entit yorigi n nameaim as	--------|-|--⌫-----⌫|-----⌫|---|--|-|
inthein terrog ati o nitselfbutinCthe	-|--|--⌫------⌫---⌫-⌫|-----|--|-----|
onlyques tionsaskeddirectlyar e aboutidentityand origin	---|----⌫----|----|-------|--⌫|----|-------|--|-----|
n ameis askedindire ctlyandaim o mitted	-⌫--|-|----|------⌫---|--|--|-⌫-----|
altogether.Bre de(p.	----------|---⌫-|--|
2 00 )is ofthe opinion	-⌫--⌫|-|-|--|------|
thatth e questionof aimiso f su chimpor tanc e	---|--⌫|-------|-|--|-|-⌫|--⌫-|-----⌫----⌫|
that itsomissionherecondemnsthe uer sion	---|--|-------|---|-------|--|---⌫---|
inC. H eseemsto me	---|-⌫|----|-|-|
howeu er topayto ol ittleheedtothe	-----⌫-|-|--|--⌫|-⌫----|---|-|--|
sk i lldisplay edh ere bythe	--⌫-⌫-|-------⌫-|-⌫--|-|--|
poet in his t reatmentof this	---|-|--|-⌫-------|-|---|
ep isode.Iti s indeedinaccordwi thep ic	--⌫-----|-|-⌫|-----|-|-----|--⌫-|--⌫-|
traditio nthat theanswer st o	--------⌫|---|--|------⌫|-⌫|
qu estion s should f ollow thequest i on s	--⌫------⌫|-----|-⌫----|--|-----⌫-⌫--⌫|
exact lyand thi s cus tom Th omas	-----⌫-|--|---⌫|---⌫--|--⌫---|
follo ws inthe interrogat ionitselfandeuenempha sizes	-----⌫-|-|--|----------⌫--|-----|--|---|-----⌫----|
cf.l. 22 52aa boue.Threefoldr epeti tionhoweuerbecomesmon otonou s andso	--|-|--⌫----⌫----|--------|-⌫-----⌫---|------|------|---⌫------⌫|--|-|
p reliminary conuersationheh asuariedtheproc edure.Support forthe	-⌫---------|-----------|-|-⌫-|-----|--|----⌫-----|------|--|--|
uers ionpres erued	----⌫--|----⌫----|
inCisfurnished by the u se	----|--------|-|--|-⌫-|
ofce lerin C 2239 and	----⌫-----⌫-⌫---|--|
inallMSS.inl.2245and	-|--|---|-|-|---|--|
by t hedi s crepanciesin theuers ionsofOandH	-|-⌫-|--⌫-⌫---------|-|--|----⌫---|------|
tha tofObeingobuiou sly discre dite d by	---⌫|-------|------⌫--|------⌫----⌫|-|
the omi ssionofany questionabo utoriginin	--|---⌫----|-|--|-------|---⌫-|-----|-|
l . 223 9 a ndthe r edundan cyoftheque st i onsqueid emandequei qu er–questions	-⌫|---⌫|-⌫-|--|-⌫-------⌫-|-|--|---⌫--⌫-⌫------|-⌫---------|--⌫-----------|
w hicharel ateron inl.2980substi tutedi nHfor	-⌫---|--|-⌫---|-|-|-|---|------⌫----|-⌫----|
thesimpl e	--|-----⌫|
qu estion inCekeue ut demander	--⌫-----|---|-|--⌫-|-------|
Pu sturnentc e lepar tu·lquid ente nc untre r.[f.46a]	--⌫|------|-⌫-⌫-|---⌫|--|----⌫--|-⌫--⌫-----⌫--------|
Egferlesauanc i st	----|--|-----⌫-⌫-|
p urlu iareisoner.	-⌫-|--⌫|---------|
Tresqu illad encuntrési·lprent	-----|-||-|--------|---|----|
S i·lmetsiaraisun cum uus	-⌫--|--|-||-----|--|--|
uudrai cunter.	-----|------|
Kies t e s	-|--⌫-⌫-⌫|
cheualerNe·lmedeue zce ler	-------|---|-|----⌫|--⌫--|
Dunt uenezke	---|----|-|
que r ez cum u usdei io enumer	---⌫-⌫-|--|-⌫-|--|--⌫|----|
Siuenezel païsremaind r e	-|----|-|----|-------⌫-⌫|
ucunquester	|---------|
Io euus deire tenirmien est or	--⌫|--|--|--⌫----|---|--|-|
l e mester	-⌫|-----|
Kar ioesuif izloreiki adaiustisier	--|--|--|-⌫-|-|--|-|-||--------|
Ices tre gn é u uienski	----⌫|--⌫--⌫-||----|-|
largee ste p lener .	----|-⌫-||-⌫-----⌫|
Ho rno tb ienkeildit del	--⌫-|-⌫|-⌫--|-|-|--|--|
respundren estlent	--------||--|---|
Einz liadrespundumut	---|-|-|-------|--|
afai téément	----⌫--------|
Eenordre tre stuts adema undel irent.	|-|----|---⌫---|-⌫|----⌫---|-⌫|----|
Quiioesu i dema undezsire primere ment	--|--|--⌫|----⌫----|---|-------⌫---|
Dunt ioeuiencequequierel e	---|--|----||--|----||-⌫|
nun kimapen t	--|-||----⌫|
dirraide gré sanznul	-----|-|---|---|--|
desueiëm ent.	---------⌫---|
DeSuddene suiniez un reg nemut uail lent	-|------|--|---|-|---⌫-|--|----⌫---|
Fizsuiun uauasu r depour e tenement	--|--|-|------⌫|-|----⌫|-------|
D ou sescuz odlesoenau eit e n tensement	-⌫--⌫|----|-|-|---|--⌫--|-⌫|--------|
Q uant alouto d	-⌫---|----|-⌫|
seignur anul turneiëment.	------||--|------------|
Diti elgent suiue nupou re	|---⌫-|---|--|--⌫-|---⌫-|
suntmip arent.	---|-|-⌫-----|
De celpais ui nc ça tutaruteëmen t.	-|--|---|--⌫-|--|--|----------⌫-|
Purseruirsuiue nusi	--|-----|--|--⌫-|-|
me cunsent	-|------|
U od u usuodautreki·mfrai	|-|-⌫-||-|----|---|---|
retenement.	----------|
Si sachiez si ioep u sio·lfer aileaument[f.46b]	-|------|-|--|-⌫-⌫|---|---⌫-|--------------|
Ne ·mpurra d nulblasmer	--⌫-|-----⌫|--|------|
par lomienescient.	--|-|---|-------|
Gud mod fui	---⌫--|--|
munbap tesmement.	--|---⌫---------|
Oruu sai tut rendu u ostredemaundement.	-|--⌫|-|--|----|-⌫----|------------|
Sifizestesler eiaki cest	-|--|----|-|-⌫-||-|---|
r egne apent	-⌫---|----|
Duncre mei n draiod uus si	---|--⌫---⌫-⌫---|-|--|-|
EEgferquant loï	|----|----||--|
gr ant merciz l[i ] enrent.	--⌫--|-----|---⌫|-|----|
uu s rem eindrezod	--⌫|---⌫------|-|
mei dist Egfer b eaus	--|---|----|-⌫---|
Dorrai uu sbonsd estriers	-----|--⌫|---|-⌫-------|
belesarmes de	----|----|-|
Bonessabel inespeliçonsuerse g ris	----|-----⌫---|--------|---||-⌫--|
Quan t demei partir eznes e rezpus	----⌫|-|--|------⌫-|-|-⌫-⌫--|--|
Bi en iertenplei ébonauei rçoe m	--⌫-||--|------⌫-|--|----⌫|---||
Neuuspoet homdo ner	-|--|---|--|--⌫--|
ke bienneseitasis .	-|---|-|---|----⌫|
Parsemblan tke	--|-------⌫|-|
ioeuei s imaïtsa in t Denis	--|--|-⌫||---|--⌫--⌫|----|
P oez estreengend ré dep rin ce	-⌫--|----|------⌫--|-|-⌫---⌫-|
udemarchis.	|-|-------|
Duncrespundi [ si ]Horn Sire oduus	---|-------|-⌫--⌫|---|---|-|--|
Defaire u o z cummandz des	-|----|-⌫-⌫|-------|--|
or e n ierctardis.	--⌫||---|------|
A itantsenreuontparlepleindelp aïs	|----||-|-----|--|-|----|--|-⌫---|
A lacité tut dreitulireis iertio ïs	|-|----|--|----||-|---|---|--⌫--|
Il uunt a luros teus hale grese	-|---||--|--⌫---|----⌫---||
Egf e rm eine Gudmo da la	---⌫-⌫|-⌫---|-----⌫||-|
me s unMalgis	--⌫-⌫-|-----|
Qui sisos tes es teit–sifudnez de	--|--|--⌫--|--⌫---||-|--|--|-|
Ilocsunt descendusisuntlorch eu a l	---|---|-------|-|---|--|--⌫--⌫-⌫|
Quantqu e mestereste it tut	-------⌫|-----|----⌫-|--|
ore nt çoepleuis.	---⌫-|---|------|
Gudmod estde sarmé biensemb le	-----|--|--⌫-----|---|----⌫-|
che u aler	---⌫-⌫---|
[Multaueit l e cors	----|----|-⌫|---|
genteleu isage	---||-|-⌫----|
cler.][f.47a]	------------|
Bien estr eit	---|----⌫--|
i e rtu estu zdun bliaut decend er	-⌫-⌫-|-⌫----⌫||-|-----|-|----⌫-|
Kamoiséout	-------|--|
leuis de ses armes port er–	-|--|-|--|----|----⌫-||
Mu tensembloutplu sbeaus a	--⌫|-|-------|---⌫|----||
ki·lplou tesg arder .	---|----⌫|---⌫-----⌫|
Mes desfublé rem istkariln	--|--------|---⌫--|--|-||
out quafubler.	--|-|-------|
Quant sis sir es le uit si l i fistapor ter	----|--|---⌫-|-|--|-|-⌫|---|----⌫--|
A un soenchamberl enc u nma ntelkifu	|-|---|--------⌫--|-⌫|--⌫---|-|-|
Equant fu afublé uuntalmestresoler	|----|-|------|---|-|-----|----|
Ugrant piece	|----|----|
deuant cornouthom lauer.	-----|------|--|-----|
I lpui entles degrez mai namain pe r a per	-⌫|---⌫--|--|-----|---⌫||---|--⌫||--|
quiueientHorn	--|-----|---|
ne·lfi nentdauiser	---|--⌫---||-----|
Edemau ndententre ls	|-----⌫----|---|-⌫-|
Kiestcilsoudeier	-|--|--|-------|
M u t estbeaus desem blant nepurquant semble	-⌫-⌫|--|----|-|---⌫----|---------|-----|
Ma lmecreez si lnestt utdur	--⌫|-|----||-⌫||--|-⌫-|--|
aencuntrer.	|---------|
Ç oedistaukunki·lsout	--⌫-|---|----|---|---|
RetenuladE gfer	-----||-|-⌫---|
Cu ntredous ke re tintdanzGuf fiers[des]lautrier.	--⌫---|---|-|--⌫---|---|---⌫----|----||-------|
Me scistsemble meuzpru ze	--⌫|---|-----|---|---⌫||
h ardiguerreier.	-⌫---|---------|
MessiEgfiersmecreitne·lme rradou n neier	--|-|------|-|----|---|--⌫--|---⌫-⌫----|
Kiainz parsabeautésu leit trestuz	-|---|--|-|------|--⌫---|------|
Cillepassed eloing	--|-|----|-⌫|----|
nulsn e·l poet re sem bler.	---|-⌫--|---|--⌫---⌫----|
Iustel éfizlereisest G ud mod	----|-⌫-|--|-|--||--|-⌫--⌫--|
Mes illespa ssouttuz deco rse d e	--|-|--|--⌫----|--|-|--⌫-||-⌫|
De u s tau ntfuddeplusur spu rsa beaut é notez	--⌫-⌫|---⌫-|--|-|------⌫|--⌫|-|-----⌫-|----|
pass ot de grandu rtuzqui s unt asem bl ez.	----⌫-|-|------⌫|--|--|-⌫--|----⌫--⌫--|
Q uantr e isGudrecheuitses	-⌫---|-⌫-⌫-|-------|--|--|
fizkisunt entrez[f.47b]	--|-|---|------------|
Sempre sles ad	------⌫|--|-|
uersseiam[be]dous	---|--|---------|
E il uindrentaluitresque·s outape le z.	|-|-------||--|--------|--|---⌫--⌫-|
sunt la uenuzsi	---|-|----|-|
lure st demaundez	--|-⌫-|--------|
Kifu cilcheual ierki	-|-|--|------⌫--|-|
laiertamenez.	-|---|------|
Sir eçoedi stEgfersorseitareisonez.	---⌫|---|--⌫-|-----|-|---|---------|
Ioelai ui retenudirrasesparentez	--||-|-|-----|----|--|-------|
Si[ ·l]uolezdemaunderbien	---⌫--|----|--------|---|
est enromauncez.	--|-----------|
E lire is lia dditBiene st	|-|--⌫-|-|-⌫|--|---|-⌫-|
Orlefaitesuen ireçalemamene z.	-|-|-----|---⌫-||--|-||-----⌫-|
Mes unerienuus	--|--|---|--|
diioedonts ei ezpurgardez	-|--|---|-⌫--⌫-|--------|
Sialezdonneierkeo u euus	-|---|-------||--⌫-⌫|--|
Karilestdebeauté issienlu mine z	--|-|--|-|------|---|----⌫----⌫|
petit serrez preisez	----|-----|------|
Ki tuzhom es	-|--|---⌫-|
auncei sdebeauté passiëz.	------⌫|-|------|--------|
PereçoeditEgfer oruus enga berez.	---|---|--|----|-|--|-|--⌫-----|
Nusesc oteru mb ienuos	--|---⌫-----⌫|-⌫--|--|
talenzeuos g re z.	-----||--|-⌫--⌫-|
AitantfuGudmod deuanteusape lé.	|----|-|-----|-----|--|---⌫---|
Quantuintd euant lereimul tbel la	----|---|-⌫----|-|--|---⌫|--|||
E lireisfud	|-|---|--|
co r teisbelliad demau ndé	--⌫-⌫---|--|-|-|-----⌫---|
Kiilestdunt iluientquelsest	-|-|--|---|-|----|----|--|
sis parenté	--|-------|
Enapresdemau ndacumiliertapelé	-|----|-----⌫--|--|-|---|-----|
lir espundimes	-|-⌫------|--|
neë nttutu erté	----⌫-|--|-⌫----|
K arilueut kesunn un	-⌫-|-|---|-|--|-⌫-|
seitiloke scelé	---|-----⌫|----|
Dunti l i ertconeü en mei ntdiue r sreg né. [ f.48a]	---|-⌫|-⌫--|-----|-|---⌫-|----⌫-⌫|---⌫----⌫-⌫-----|
Reisçoe k e demaundezneuusiertpas uééd	---|---|-⌫|--------|-|--|---|--|-----|
suidepo ureparenté.	--|-|--⌫--|--------|
DeSu ddene	-|--⌫----|
estnoblere gné .	--|----|--⌫----⌫|
unuauasurkide po iertchasé	-|------|-|-|--⌫|--|-----|
Kin ot ke t reises cuz od	-||-|-|-⌫---|--⌫--|-|
lesoenacunt é	-|---|-----⌫-|
Lëaushomfutenu en	-----|--|-|---|-|
tres tutsuneëd.	----⌫--|--|----|
Quantl i païs fu pr ispa r p aiensdegasté	----|-⌫|----|-|--⌫-|--⌫|-⌫----|-------|
Il ifu lorsocisod	-||-|---|---|-|
tutlau tre bar né.	--||--⌫--|---⌫---|
Ioe·neschapai	----|-------|
uallet par ladeuuol enté.	-----|--|-|--|---⌫-----|
En Bretaign een alaiume	-|--------⌫|-|---||-|
suipur c h acié	--|---⌫-⌫-⌫----|
aiar mescun qu isedestriers oiorné	-|--⌫--|---⌫--⌫-||-------|-⌫------|
Umepus b ienfieren bosoingcummencié.	|-|--|-⌫--|---|-|------|----------|
oïp arler ede uostrebunté	--|-⌫----||-|-----|-----|
Deuosfizkeciu e i kitauntsunt	-|--|--|-|-|-⌫-⌫|-|----|---|
Purçoeuincçaser u irseil	--|---|---|--|---⌫-⌫-|-|-|
uuses ta gré	--|--⌫||---|
Esimad re tenu de	|-||-|--⌫---|-|
Eio·l seruirai	|---|-------|
bie ntutasauolenté	---⌫|--||-|-------|
Atrest utmu n	|-----⌫-|--⌫|
poe ir ianens erai blas mé.	---⌫-|-||-|-⌫---|----⌫---|
Gudmo df ui apelé la	-----⌫|-⌫-|-----|-|
ufui ba ptizé .	|--|--⌫------⌫|
Oreauezr eioi ̈cum	--|---|-⌫-|--⌫|--|
estde meialé.	--|-|--|----|
Rei Gudreche res punt Amismut bienesta	--|-------|---⌫---|---|--|---|---|
Semis fiz uusr etient	-|--|--|--|-⌫-----|
g r anthon uruu sfera	-⌫-⌫--|---⌫-|--⌫|---|
E trestutemacurtp ar	|-------|-|---|-⌫-|
uusamend era.	--|-----⌫---|
Mesnecrei kehompoureunkesuus	--|-|---|-|--|----|----|--|
engendra[f. 48b ]	-----------⌫---⌫|
Bienc o nois lepaïs	---|-⌫-⌫---|-|----|
–en Sudd en efui ia–	|-|----⌫--⌫|--|-||
Ebienconui	|---|----|
Aaluflebon	----|-|--|
re ikiiregna	--⌫||-|----|
P ristme iacumpaignunsunau eirm en	-⌫---|--⌫||---------|--|--⌫--|-⌫-|
Unfiz petitquiloutilok esme m u stra.	-|--|----|-|-|--|----⌫-|-|-⌫-⌫----|
Unkes h oe mencest mund	----|-⌫--⌫|-|---|---|
autrep lusne sembla	----|-⌫--|-|-----|
Keuusfaites celuiki	-|--|-----|----|-|
ioedun kesu i	--|---⌫--|-⌫|
Siioe·ltenisseci	-|----|------|-|
p ar celiqui ·lcri a	-⌫-|---|---⌫-|---⌫|
Rendreie ̈lui lebienke	--------⌫|--|-|---|-|
Aalof cum me nça.	----|---⌫--⌫----|
Sire çoeditGudmodmeintefei zauendra	---|---|--|-----|-----|---⌫|------|
Kunpo ureualletunalriche	|-|--⌫--|-------|-|----|
r e se mblera	-⌫-⌫--⌫-----|
p arentagenia	-⌫-------||||
Duntparlaste s	---|--------⌫|
ameid enoauz men	|--|-⌫|----||-|
Peisemei bie nsietDeusDe	----|--|---⌫|---|---|-|
mei[sei t]k il uu dra	--|----⌫-||-|--⌫--|
Amismultdit es biencum i lueut siserra	---|---|---⌫-|---|--|-⌫|---|-|----|
Sisunpleisir	-|--|------|
iesttostuus enri chera.	|--|---|--|----⌫-----|
Nie rtpaspou re del	|--⌫-|--|---⌫-|--|
tutki t i elbeautéaur a.	--|-|-⌫-⌫-|------|---⌫-|
estmuttos tia parra.	--|--|---⌫||-⌫-----|
Fiz alezuus see ir cumfairesoliëz.	--|---|--|---⌫-|--|----|-------|
Ce stfranch ome	--⌫-|----|-⌫--|
ho norezcumfaire lede uez.	--⌫----|--|----|-|--⌫---|
Bi enie rt e npleiéélonurkeliferez.	--⌫-|--⌫-|-⌫--------||---|-|-|-----|
N ecr erraiennul	-⌫|--⌫----|-|--|
sen kedebons neseitnez .	--|-|-|---|-|---|---⌫|
Sirefunt li e nfantsis eitcumcomandez.	---|---|-|-⌫----|-|-⌫--|--|--------|
Ai taunts unta si scu mil	|-⌫----|-⌫--|-⌫--⌫|--⌫|-|
fu rentl aue z	--⌫---|-⌫---⌫|
e ntr elsdous	-⌫--|--|---|
gen tem entapelez [f.49a]	---⌫---⌫--|------⌫------|
C um lur fu couenantedel	-⌫-|--|-|-------||--|
reideuisez.	--|-------|
Pusentrentelpal eisp oiantparles	--|------|-|---⌫--|-⌫----|--|--|
Gudborcodmuz des es	------|-|--|-|-⌫-|
Sesdousfillesod sei umut outgranz	--|---|-----|-|--||--|--|----|
Leinzneeotn un Len burc	|---|--|-|-⌫-|---⌫---|
eauei t taunzbuntez	|----⌫|----|-----|
Nepurreient parmeii aestrë anu mbrez	-|--------|--|--|-⌫|-----|---⌫----|
Laioindre otnunSudbu r c	-|------|-|--|-----⌫-⌫|
kiesteitsageas ez .	-|-----|---|--⌫--⌫|
Il s as eëntal deis purmanger lesdeintez .	-||--⌫----|-|---|--|-----|--|-------⌫|
Pu skeliprimermes deua nt eus	--⌫|-|-|-----|--|----⌫-|--|
fudpo rte z	--|--⌫---⌫|
Si fumut deLenburcdanzGud modesgardez.	-|-|--|-|------|---|---⌫--|--------|
El e apele u n ualletsi l idit	--⌫|----|-⌫|-----|-|-⌫|--|
Be aus amis paramurmun messag e fe rez	--⌫--|---|--|---|--|------⌫|--⌫--|
Eioeuus e nre ndrai e merciz	|--|--|-⌫|--⌫----||-----|
e bonsgrez.	|---|----|
Dame distliua lletsi	---|---|-|--⌫---|-|
Cestecupepernezk i est	----|---|-----|-⌫|--|
doraffricaunt	|-|---------|
oeureSalemun f izDa uid	----|------|-⌫-|--⌫--|
le pussant	-|------|
Port ezal cheualerke ioe	----⌫-|-|-------|-|--|
Odmesfreressë eirgentil zest	-|--|-----|---⌫--|------⌫|--|
parsemblaunt.	--|---------|
Ditesli keien	----|-|-||-|
builamei tié	--|-|---⌫---|
orde ua nt	-|--⌫--⌫-|
Orbe iue le	-|--⌫--|-|
sur pluspar	---⌫---|--|
itielcouenant	----|-------|
aitasunoessiseit mun bienuoillant	--||--|--|-|---|--|-----------|
Par i taunt simeniertd esor mesco nois s aunt.	--|-⌫----|-||-|---|-⌫-|-|--|--⌫----⌫-⌫----|
Simem andcum adnun e queiil uient	-|-|-⌫--|--|-|--||---|-|----|
est sun paï squi suntsipartenant.[f.49b]	--|--|----⌫|--|---|-|----------------|
Çoekeilrespundrameseëznuncïant.	---|-|-|--------|-|----|---------|
Bel edit li	---⌫|--|-|
ua llez bien	--⌫---|---|
frai uostreco man t.	---|-----|--⌫---⌫-|
Prent lacupe si·nuait	----|-|---|---|---|
cele pa rttuter rant .	---|--⌫-|--|--⌫----⌫|
saluadeDeu letutpo aunt.	----|-|--|-|--|--⌫----|
Sir e io e uienc	---⌫|--⌫|----|
auus unm e s sagefesaunt.	|--|-|-⌫-⌫-⌫---|-------|
Le n burc fil lelereiod lecorsa uenaunt	--⌫-⌫---|---⌫-|-|--|-|-|---|-⌫------|
uusmau nde	--|---⌫--|
cent saluzdel	---|----|--|
Deuhau tisme grant.	--|---⌫----|-----|
Pa r meiuus enueië cestue ssel dor luisant.	--⌫|--|--|------|---|--⌫---||-|-------|
Eleenbutla meitié	--|-|--|-|------|
beuez le re manaunt	----|-|--⌫------|
Par tie l couent	--|---⌫|-----|
sire cum ioeuus iercdisaunt	---|--|--|--|---|------|
uu srequiertkeuu s beuezle uin.	--⌫|-------|-|--⌫|----|-|---|
A uo streo esreten drez leuessel	|--⌫---|-⌫-|-----⌫---|-|-----|
d[ ë]orfi n	--⌫--|-|--⌫|
Duntbeur ezsi uusp lest alsei r	---|----⌫-|-|--|-⌫---|-|---⌫|
u almatin .	|-|-----⌫|
Pa r itaun tla me rezs i·n iertlam urplus f in	--⌫|-----⌫||-⌫--⌫--|-⌫--|---||--⌫-|---|-⌫-|
Souendrauusdeliquant ir re zlech emin.	-------|--|-|-|----|--⌫--⌫|-|--⌫----|
Ma undezliuost renune quelest	--⌫----|-|----⌫-|--||---|--|
E pur queiue nistesen cestutre ma rin.	|--|---|--⌫-----|-|---|---|--⌫---|
EquantGudmodl	|----|-----||
oïsirespund ieissin	--|-|-------⌫|-----|
A s tubeau uall et[un]escrit en	-⌫|-|---|----⌫-----|-----|-|
parche min	------⌫--|
Meuznedeists aleçun	---|-|----|-⌫|-----|
n ul cl ercsage d euin.	-⌫-|--⌫--|---|-⌫----|
Ala dan zeledik ile	|-|---⌫---|-|-⌫|-|
uisadrosin	--|-|----|
Kele ui n b eu raibien	-|-|--⌫|-⌫--⌫--|---|
me s n e su i [si] fra rin	--⌫|-⌫|--⌫|---|---⌫--|
Ke dor c oueithanap meuz	-||-|-⌫----|----|---|
uuilu n m azelin	---|-⌫|-⌫-----|
Amunoes umu t	|--|--||--⌫|
m ieuzunde	-⌫---|-|-|
pin. [f.50a]	----⌫------|
Trop sehastëamis	---|-|-----|---|
d enueier meiteldun	|------|--|--|--|
dit ielprisde l	|--⌫--|---|-||
oeureSalemun.	----|-------|
Ei oesui auentiz d[e ̈] autreregïun	|-⌫-|--|------|---⌫-|----|------|
N elnes iet kiio esu isi	|-|-|-⌫--|-|--⌫|--⌫|-|
ioeua il u n	--|--⌫-|-⌫|
K idonedamaluei s	-⌫|----||------⌫|
sunore sun mangun	--|-||--|-----|
Mu tse[n]deitrepen ti r si	--⌫||---|---|-----⌫--⌫|-|
m aït saintSim un.	|---|----|---⌫--|
Ore atendëitaunt	--|------|-----|
kele en aitlaraisun	|--|-|--|-|-----|
Siioesuibonsuel dun c en	-|--|--|---||-|---⌫|-|
fac e sunbu n	---⌫|--|--⌫|
Soluncçoe quecii erc	-----|---|--|-|-⌫--|
doinstmei pusliureisun.	-----|--|--|---------|
SilidirrasiçoekeGudmod aianun	-|-|-----|----|-|-----|-||--|
EnSuddenefui ni ezkortienent	-|------|--|--⌫-||-|------|
Escl auon.	----⌫----|
