quitoutueut f eres ans	--|---|---|-⌫--|-⌫--|
la f ontaine li moustreaudoi t	-|-⌫------|-|------|-|---⌫|
quiledeceuoit	--|-|-------|
samblant li fetquilse	-------|-|--|-|-|-|
celelesgardebienlentent	---||------|---||-----|
iluec s a ssis t quemotne	----||-⌫----⌫|--|--|-|
lorsse t ormente et sis ocist	---|-|-⌫------|-|-||----|
iluec le be se	----|-|--⌫-|
iluec le tient	----|-|----|
iluec se pasme iluecreuient	----|-|----|----|------|
ac olepu islem brace	--⌫--|--⌫-||--⌫----|
beselilesieus	---|-|--|---|
ah idistelebiaus amis	--⌫|---|--|----|---|
commeestesdela mort sorpris	----|----|-|-|---|------|
biausamblantmepoezmoustrer	---|-------|-|---|-------|
mes a moinepoe zp arler	--||--|-|---⌫|-⌫----|
lassecomm ala ssam blement	----|--|-⌫-|-⌫----⌫------|
si dolereus emb r acement	-|-------|---⌫-⌫------|
sicortdeportsicortdelit	-|---|-----|-|---|----|
si g rantangoissequimocis t	-|-⌫---|-------|--||----⌫|
proierelamort	------|||---|
il n ia me sautreconfort	-||||--⌫|----|------|
m orirmestuetparcompaignie	-⌫---||-----|--|---------|
qu emieu s	--⌫|----⌫|
aim assezmort queuie	--|----|---|--|--|
le ualletmuertl ame se nuait	-|-----|----||--||-⌫|---|
la pucelep l uspres setrait	-|-----|-⌫-⌫-|---|-|----|
u ersl uisetr etpartelair	-⌫--|-⌫-|-|--⌫-|--|--|--|
ducor s sefetlamepartir	-|---⌫|-|--||--|-----|
cefistamorsqui l	-|---|----|--||
ase urprise	|--⌫------|
a ndui morure ntente lguise	-⌫---|------⌫-|-|--⌫|----|
orsegart bien chascunamant	-|-|---|---|------|----|
quil nemuirepar	-|-|-|----|--|
telsamblan t	--|-------⌫|
