unemaniere de gents ont	--|------|-|---|-⌫--|
oiantto zqui oirle	----|--⌫|--|--|-|
dist to utlafere	---|--⌫-||----|
enmi la cort	---|-|---|
lorsn i aceluiq ui	---||||----|-⌫-|
n en plort	|-|----|
etnommeement quantil uoie nt	-|---------|----|-|----⌫-|
le samanzqui mort	--⌫|----|--|---|
etla pu cele dautrepa rt	-|-|--⌫---||----|--⌫-|
adueletacoro u z	|---|-||----⌫-⌫|
la cortet ame schief	-|---|-||--⌫-----|
lidusenterrer lendemain	-|--|-------||-------|
fistlesa manze nsarqueu	---|--|-⌫---|-⌫|------|
etla duchoi s een a utreleu	-|-|------⌫-⌫|-|-⌫---|--|
mesdel a u entureot teleire	--|-||-⌫-⌫-----|-|---|--|
conques puisneloionrire	|-----|---|-||-|-|---|
e rranzsecroisa	-⌫----|-|-----|
dou trem er	|--⌫----⌫-|
ou ilalasanz retorner	-|-|--|---|-------|
sideuintiluequ es templier	-|-----|------⌫-|-------|
hadie x trestout	-|---⌫|-------|
cest encombrie r	---|---------⌫|
etces tmesc h ie fporce auint	-|---⌫|----⌫-⌫--⌫|--|-|----|
quaucheualier t ant	-|-|--------|-⌫--|
quildistce	-|-|---|-|
quecelerde uoi t	--|----|--⌫---⌫|
e t quedesfendu	-⌫|--|-------|
samiequ ilnele deist	|---|-|-|-|-|----|
t antcoms amorauoir uou sist	-⌫--|--||---|----|---⌫---|
etparce stexample	-|--|--⌫-|------|
cele rparsigrant se n	----⌫|--|-|----|--⌫|
c onaittozio rsen re membrance	|-|--|--|--⌫-|-|--⌫--------|
q ue li descou urirsrien s n	-⌫-|-|------⌫----|----⌫||
etl ic elersen	-|-⌫|-⌫----|-|
tozpoinsuaut	--|----|---|
quis i lefetn ecrien t assaut	--|-⌫|-|--|-⌫|-----⌫|-----|
desfausfelonsenquereors	--|---|-----|---------|
qu ie nquierentaut ruiamo r s	--⌫|-⌫--------|---⌫--|---⌫-⌫|
