apresce quemestres gautiersma pot	----|-|--|------|-------|--⌫|-|
comm ence a do nerg ranzc oxdest reet senestre	----⌫---||--⌫--|-⌫---|-⌫-|----⌫-|-|-------|
e t aabatre c heualierse taocirrecheu axet	-⌫||-----|-⌫--------|-⌫||-----|----⌫-|-|
aesrachier escuzdecoxethiaumes d eteste s	|--------|----|-|--|-|------|-⌫|-----⌫|
feregranzpr oescesde toutes	---|----|--⌫-----|-|-----|
pa r z siquenusne	--⌫-⌫|-|--|--|-|
l uo i tqui nel	|--⌫-⌫|--|-||
tiengn e agrant merueille.	------⌫||----|--------||
e tboorz et	-⌫|----|-|
hestorsqui sefurentreleué et	------|--|-|-----|------|-|
mont e ́surl e urcheuax	----⌫-⌫|--|-⌫-⌫-|-----|
lecommencent si bi en	-|---------|-|--⌫-|
a fe realeuren droit	|--⌫-||---|--⌫----|
que nusnesenpeust	--|--||-|-|----|
adroitblasmer	|----|------|
e tfesoien tdeuant touzc eusde laplace cheualeries	-⌫|-------⌫|-----|---|-⌫--|-|-|----|----------|
si a pertesquelip luseu r	-|-⌫-----|--|-|-⌫-----⌫|
prenoientgranz essamplesdehardementporleu r b ienfere	--------|----|--------|-|--------|--|---⌫|-⌫--|---|
deueintrele tornoi ement	-|------|-|------⌫----|
e t fesoien tl an c elot resortir	-⌫|-------⌫|-⌫--⌫-⌫---|-------|
etreusercar	-|-----|--|
illiesto ient touzd is	-|-|----⌫---|---|-⌫-|
au deuantetle tenoien tsi	-|-----|-|-|-------⌫|-|
cortqueparmi leurma inslecouuenoit	---|--|----|---|--⌫--|-|--------|
silitolirent celi ior mei nzbiaus	-|-|-------|---|--|---⌫-|----|
co x a fere .	--⌫||---||
etcen estoit	-|-||-----|
pa sgrantme rueillecaril	--⌫|----|--⌫------|--|-|
es t oitna urezmoult duremen tetauoitassez	--⌫-⌫--|--⌫---|----|-------⌫|-|----|----|
perdu del sancsiq u	----|--|---|-|-⌫|
il nestoit miedeliurementenson poo ir	-||-----|--|----------|-|--|---⌫-|
etci l esto i entam be du icheualier	-|--⌫|----⌫-⌫--|--⌫--⌫--⌫|--------|
degrantproesce.	-|----|------||
etneporqua nt oui l uol sissentounonf ist	-|--------⌫-|-|-⌫|---⌫------|-|--|-⌫--|
il tantparsaproesc eque	-|---|--|-|------⌫|--|
c ildela cite	-⌫-|-|-|---|
furentenbatudedenz a force et enpor ta d	-----|-----|-----||----|-|-----⌫-||
ambed eus parz	-----⌫--|---|
lepris deltorno i ement	-|---|--|-----⌫-⌫----|
etmoul tip erdirentcil dedenz et assez i	-|----⌫||-⌫-------|--|-----|-|----||
g aengn ier entc ildehors .	-⌫-----⌫---⌫--|-⌫-|-----||
et qua ntce uintau departirsidist	-|---⌫-|-|---|-|-------|-|---|
messiregauua ins au	--|---|-----⌫--|-|
roicertessireiene seiqui	--|-----|---|-|-|--|--|
cil cheualierses t quiporte	--|---------|--⌫|--|----|
cele manc he de sussonhiaume	---|----⌫-|--⌫--|--|-----|
mesie diroie pardroitquilace	--|-|-----|--|----|-|-||-|
tornoi ement ueincuetquilen	------⌫----|-----|-|-|-|-|
et sac hiezquegeneseraiiames	-|---⌫---|--|-|-|----|-|--|
aes edeuant q uegesache qui il est	|--⌫|-----|-⌫-|-|----|--|-|--|
cartropafetes ch eualeriesamontal ent.	--|---||----|--⌫--------||--|---⌫--||
certesfetgaheriezge necuit	-----|--|-------|-|-|---|
pa squegel	--⌫|--|-||
m e stantdi ge bi enquecest	-⌫-⌫|---|-|-|--⌫-|--||--|
limieudres cheualie rsdelmondeaumien es cientne	-|-------|--------⌫-|--|----|-|---|--⌫----|-|
que ge onq u es ueisse	--|-|---⌫-⌫-|-----|
fors seulem ent lancelo tdel lac .	---|------⌫--|-------⌫|--|--||
i tieusparole s dist rentlifr ered el ancelot	-⌫----|------⌫|----⌫---|-|--⌫--|-⌫|-⌫------|
etmessi regauuain sdit que len	-|--|--⌫-|-------⌫|--|--|--|
lia maints on	-|-⌫----|-⌫-|
cheual cariluoudraalersauoir	-----|--|-|-----|---|-----|
quicilcheual ier s e st por soi	--|--|------⌫---⌫|-⌫-|--|--|
a cointierde lu i	-⌫-------|-|--⌫|
e tau sidistgahe riez.	-⌫|--⌫-|---|----⌫---||
e tl orsd escendent de	-⌫|-⌫--|-⌫--------|-|
l a touretuindrente nla cortaua l.	-⌫|---|-|-------|-⌫|-|---|---⌫||
etlancelossi	-|-------|-|
t ostc ommei l uit que cil dedenzauoi e nt	-⌫--|-⌫---|-⌫|--|--|--|-----|----⌫-⌫-|
letoutpe rdusidist	-|---|--⌫--|-|---|
aucheualier quie stoit	-|--------|--|-⌫----|
uenuzau e clui	----|--⌫-⌫|--|
biaussi realo ns nosend eci	----|--⌫-|---⌫-|--|-|-⌫|-|
car enplus	--|-|---|
demorerne poons nos	------|-|----|--|
riensgaeng nier .	----|-----⌫---||
uontm ein tenant grantal eu re	---|-⌫---⌫-----|----|--⌫--⌫-|
e n laplace undele ur	-⌫|-|----|-|-|--⌫-|
escui e rsmortqueu nscheualiers auoitocis	-----⌫-⌫-|---|--|-⌫-|---------|----|---|
parmesauen t ured unglaiu e.	--|-------⌫-⌫--||-|-----⌫||
lic heualiers	-|-⌫--------|
demandea lancelotquelpartil uoudraaler	------||-------|---|---|-|-----|---|
ie uoudroiefet ilestreentel	-|-------|--|-|----|-|--|
leuouge peussese i orner ui t iorzou	--|-|-|-----|--⌫-⌫----|--⌫|---|-|
cargesuisi	--|-|--|-|
durementnaurezque	-------|-----|--|
licheuau c hiersmeporro it	-|------⌫-⌫----|-|-----⌫-|
moult nuir e .	----|----⌫||
dontnos enralons	---|--|-|-----|
fetlicheualierschies man tain	--|-|---------|----||--⌫---|
laounosgeusmesanuitcarillecser ons nos bien	-|-|--|------|----|--|----|---⌫--|--|---|
arepos etsina mie granme nt	|----|-|-|||--|------⌫-|
ius ques la.	---⌫---|-||
etil liotro ie.	-|-|-|----⌫-||
sise metentmeintenante nunesbrocescaril	-|-|-----|---------|-⌫|---|-----|--|-|
p ensoit bien q ue aucunsde	-⌫-----|---|-⌫-|-----|-|
lostelleroil e s iuroit por luiconno i stre	|----|-|--|-⌫|-⌫-----|--|--|-----⌫-⌫---|
carceli or l orent	--|--|-⌫-||----|
ueumaintch eualieral	--|----|--⌫------|||
assembleeetcil	--------|-|--|
de la ta ble reondeetautr e.	-|-|--⌫--|-----|-|----⌫||
einsisenuo ntg ran taleureentre lui	----||-|--⌫-|-⌫---⌫|-----|----|--|
etlecheua lier etu nde leur	-|-|-----⌫---|-|-⌫|-|---|
escuiersauec et f ont tant qu il	-------|---|-|-⌫--|---|-|-|
uindrent alost elou ilauoie nt lanuit deuant	-------|||---⌫-|-|-|-----⌫-|-|---|-----|
sid escent lancelostouzsangl enzcar ilesto it naurezdurement	-|-⌫-----|-------|---|-----⌫--|--|-|----⌫-|-----|-------|
etq uant licheu aliersu oitlaplaiesiene st	-|-⌫---|-|----⌫-----|-⌫--|-|----|-|-|-⌫-|
mo ult esmaiez	--⌫--|------|
si m andeau	-|-⌫---|-|
p lus tostqueilpuetunuieillcheualierqui pres	-⌫--|---|--|-|---|-|-----|--------|--|---|
d il ecmanoitetqu i	|--⌫-|-----|-|--⌫|
sentr emetoitdegarirplaiesetp lu s ensa uoit	|----⌫------|-|----|-----|-|-⌫--⌫|-|--⌫---|
sanzfaille que	---|-----|--|
nusqui a lorsfuste lpais	--|--|-⌫---|---|-⌫|---|
et qu antilotueu elapla iesidist	-|--⌫--|-|-|---⌫|-|---⌫-|-|---|
quille c uidoit biengariralaide	-|-|-|-⌫-----|---|----|||---|
mesce neseroit mietostcareleest grant	--|-|-|-----|--|---|--|--|--|----|
etparfonde.	-|-------||
einsi trouual ancelos aidede saplaie.	----|-----|-⌫------|---|-|-|----||
silena uint moultbien carseil eust	-||-|-⌫---|----|---|--|-|-|---|
onques targiéilenpeustbienmorir	-----|------|-|-|----|---|----|
dec elepla iequ	-|-⌫--|---⌫-|-|
ilot rece ue	-|-|----⌫-|
pa rlamain boortsoncousini ut illeanzsis	--⌫|-|---|----|--|-----|-⌫-|-|----|--|
semeinnes entelmaniere qu ilnepooit porter	--------|-|--|------|-|-|-|----|-----|
a rmes neissirdelostel .	-⌫---|-|----|-||----||
m es a tan t	-⌫-|-⌫---⌫|
l esse or eli c ontesaparler de	-⌫---|--⌫|-|-⌫----||-----|-|
luiicie ndroi t	--|--|-⌫-----⌫|
et retorneaparler de	-|------||-----|-|
monseigneurga uuaine t dega heriet	--|-------|--⌫----|-⌫|-|--⌫-----|
encestepartie dit li conte s quequant ent remon	-|----|-----|--|-|-----⌫|--|----|---⌫-|--|
seigneurgauuain etgaheri etfur ent mont é	-------|------|-|------⌫-|---⌫--|----⌫-|
por alerapre sle cheual ier quilassemblee auoit	--|---|----⌫|-|------⌫--|--||--------|----|
uencueil cheuauchierentcelepartouilcuidiere ntquei l	-----|-|-------------|---|---|-|-|--------⌫-|--|-⌫|
fust torne z.	---|-----⌫||
etquanti l orenterré entordeuslie ues angl es ches si	-|----|-⌫|----|----|----|---|---⌫--|----⌫--⌫---|-|
grantoirre	----|----|
queill eussen ts anz faill eaconse use	--|-||------⌫|-⌫--|-----⌫|------⌫|-|
il fusse nt alécele part si	-|-----⌫-|---|---|---|-|
encontrerentdeus e scuiersquiuenoient trop	-----------|---|-⌫------|--|-------|---|
grant duelfesantettout	----|---|-----|-|---|
apieetenportoienten trelo r	|--|-|----------|--⌫--|--⌫|
brazuncheualier	---|-|--------|
nouuelementoc is.	----------|--⌫-||
messiregauuains etgaheriezuiennen t	--|---|-------|-|-------|-------⌫|
celeparttoutdro it	---|---|---|---⌫-|
sileur demandentsilencontrerent deus	-|---|--------||-|-----------|---|
cheu aliers armezdunesarmes	----⌫-----|----||---|----|
uermei llesdontliun s porteseurson	------⌫---|---|-|--⌫|----|---|--|
hiaumeunemanchea d ame oua damoisele.	-----|--|-----||-⌫--|-||--------||
etcilrespo nn entquil	-|--|-----⌫--⌫--|-|-|
n eu iren t huic heualierarme ́d e	-⌫|-⌫----⌫|--|-⌫-------|----⌫|-⌫|
telm anierecomil d euisentmesa utre s	--|-⌫-----|--|-|-⌫------|--|-⌫----⌫|
cheualie rsq uiu ienentdel	--------⌫-|-⌫-|-⌫-----|--|
to rnoiement onti l u euzagrant plente .	--⌫--------|--|-⌫|-⌫--||----|-----||
sirefetgaherieza monseigne ur gauuainsonfrer eor	---|--|-------||--|------⌫-|------|--|----⌫|-|
poezuos tre sbien sauo ir ueraie mentquilne so nt	---|--|---⌫|---|----⌫-|------⌫---|-|-|-|--⌫-|
pasuenu cestepart	--|---|----|---|
c arse ilfuss entuenuparc i	-⌫-|-|-|----⌫--|---|--|-⌫|
nosleseus sonspieca acons euz a ce queno ssomes	--|--|---⌫---|----|-----⌫--||-|--|--⌫|----|
uen u moult grantal eu re.	---⌫|----|----|--⌫--⌫-||
dece quenos	-|-|--|--|
trouonsfetmessiregauuainsmepoi sei lmoultdurement	------|--|--|---|-------|-|---⌫-|-⌫|----|-------|
ce uosdigebienpor uerite.	-|--|-|-|---|--|-----||
carcertesilest sibonsch eualiersetsi	--|-----|-|--|-|---|--⌫-------|-|-|
preudom ou treement qu ei amassemou lt a	------|--⌫-------|--⌫||-----|---⌫-||
auoirlacointancede lui	----||---------|-|--|
e t segeleusse	-⌫|-|-||----|
orendroiticiauecques moicertesgene	--------|--|-------|--|-----|-|-|
finass e ia m es t ant que	------⌫|-|-⌫-|-⌫--|--|
ge leus semenéa	-||---⌫-|----||
lancelotde l lacsi	-------|--⌫|--|-|
qu e ge acointasse	--⌫|-|---------|
lundel aut re.	|-|-||---⌫-||
lo rs demanderentaus	--⌫-|----------|--|
escuiers quicil	-------|--|--|
estoitqueilaportoient.	-----|--|-|---------||
sire fontil	---|---|-|
cefu u nscheu aliers .	-|-|-⌫-|----⌫-----||
lanauré fontil en telmaniere	||-----|---|-|-|--|------|
seingneu rfontl iescuierunspors	--------⌫|---|-⌫|------|--|---|
sauu a ies quei l auoita cueillialent ree decele	----⌫-⌫--|--|-⌫|----|-⌫------|||---⌫--|-|---|
silor moustrerent bienau n e liued	-|--|----------|---||-⌫-⌫|---||
parfoifetgahe riezcestgranzdom ages	--|--|--|----⌫---||--|----|---⌫---|
car ilab ien	--|-||-⌫--|
personedo mequipoist estre	------||-⌫-|--|----|----|
bonsc heu aliers .	---|-⌫---⌫-----||
a tan t sedepartentd es esc ui ersetsen	-⌫---⌫|-|--------|-⌫-|---⌫--⌫--|-||-|
retornent awince st r e	--------||-----⌫--⌫-⌫|
et ilestoi t ianuiz oscure	-|-|-----⌫|-|---|-----|
quantil i uinrent.	----|-||------||
etqu an t liroisuoitmon seig ne ur gauuainreueni r	-|--⌫--⌫|-|---|---|--|----⌫--⌫-|------|------⌫|
si lidemandetout meintena nts il	-|-|------|---|--------⌫-||-|
l echeualier .	-⌫|--------||
sirefetmes	---|--|--|
siregau ua insn enil	---|---⌫--⌫--|-⌫---|
cariltorn a par autre uoiequ e nousnala me s	--|-|----⌫|--|----|---|--⌫|---||---⌫--⌫|
etlirois comm enca toutme intenanta	-|-|---|----⌫---|---|--⌫-------||
et mes si regauuains le	-|--|--⌫-|-------|-|
regardeet dit	------|-|--|
biaxonc le sc e n	---|---⌫--⌫|-⌫||
estorpas la	--|-|--|-|
premierefo iz qu e uosen auezris	-------|--⌫-|--⌫|--|-|---|--|
etliroisrespon t non	-|-|---|------⌫|--|
estce la premiere foiz que uos	--|-|-|-------|---|--|--|
lau e zquis	|--⌫-⌫|---|
nonseracela	--|---|-|-|
derrienn eau mien	--------⌫|-|---|
escie n t.	-----⌫-⌫||
lorssapercoit messiregauuainsqu e	---||-------|--|---|-------|--⌫|
lirois leconnoist	-|---|-|-------|
si r epuisqueuosleconnoissiezu os mep oezbi en	--⌫-⌫|------|--|-|----------|-⌫-|-|-⌫--|--⌫-|
iluos plest .	-|--|----||
i e neluos	-⌫|-||--|
dirai ormiefetliroisace ste fo iz	----|-|--|--|-|---||--⌫--|--⌫-|
carp uisqueilse uel t ce l eriefer oi etrop	--|-⌫-----|-|-|---⌫|--⌫-⌫-|-|---⌫--⌫|---|
grantuilenie ou t reementsege	----|------|--⌫-⌫------|-|-|
len desc ouuroie auosne	|-|----⌫------||--|-|
enterai ou t reem enta ceste foiz	-|----|--⌫-⌫----⌫--||----|---|
ce ne perdroizuo sneant	-|-|-------|--⌫|----|
que uosl eco nn oistroiz encor e toutatens.	--|--|-⌫|--⌫--⌫-------|-----⌫|---||---||
p arfoifet	-⌫-|--|--|
gal ega ntinsligaloisienesai qui	---⌫---⌫----|-|-----|-|-|--|--|
mestantuosenpui s ge	--|---|--|-|---⌫|-|
biendire ueraiementqueil	---|---|---------|--|-|
s e n estpa rt iz del	|-⌫|--|--⌫--⌫-|--|
torno iementmoultdurement	-----⌫-----|----|-------|
naurezetsi	-----|-|-|
s ang lenzquel enle porr oit biensi urepar	-⌫---⌫---|--|-⌫-|-|----⌫--|---|--⌫--|--|
sansli issoitagran trandonpar miune	---|-|-----||----⌫|-----|---⌫-|--|
plaie quemessirebo orzlif istaune iouste	----|--|--|---|--⌫--|-|-⌫--||--|-----|
est c e donquesuoirs	--|-⌫|------|----|
fet lirois.	--|-|---||
sirefe tsoi	---|--⌫|--|
galegantins oil	----------|--|
ueraiem ent le sachiez .	-------⌫--|-|------||
orsac hiezdo nqu es fetli roisa boortq ue	-|---⌫---|--⌫---⌫-|--|-|---||----|-⌫-|
uosne fe istesonque splai e acheualier	--|-|--⌫----|-----⌫|----⌫||--------|
ent oute uostreuie dont	-|-⌫---|-----|--|---|
uosplusuos repenti s siez queuos	--|---|--|-------⌫-⌫---|--|--|
i l e n muertmarleueistes onqu es	-⌫|-⌫|----|--|-|------|----⌫-|
ethes torsquicuide queliroisait	-|---⌫---|--|----|--|-|---|--|
dit ce s tep a roleparmal de boor tsau t au ant	--|--⌫-⌫-|-⌫-⌫---|--|--|-|----⌫|---⌫|--⌫--|
toz corrouciezetpleinsde	--|---------|-|-----|-|
mautalentetdistau roisire s elicheualiersmuert	--------|-|---|-|--|---|-⌫|-|---------|----|
delapla iesi	-|-|---⌫-|-|
car ce rtes	--|--⌫---|
desamortne	-|-|---|-|
nos pu etauenir	--|--⌫-|-----|
maus n e doutance.	---|-⌫|-------||
testa tant	---|-⌫---|
si commen ceasouzrire moult dole nze tc or rouciez	-|------⌫-||-------|----|----⌫-|-⌫|-⌫--⌫------|
decequel ancelos	-|-|--|-⌫------|
se stoitp artizdel	|-⌫----|-⌫----|--|
t ornoie me nt naurezcari lamoult grantpoor	-⌫------⌫--⌫-|-----|--|-⌫||----|----|---|
soitenperilldemor t	---|-|-----|-|---⌫|
assez p arlerent celenui tdel cheual ier	----|-⌫-------|---|---⌫|--|------⌫--|
alamanc hequia uoitletorn oiementuein c u	|-|----⌫-|--|-⌫---|-|----⌫------|----⌫-⌫|
etmou ltfuren t	-|---⌫-|-----⌫|
engrantdesauoirquiil	------|-|-----|--|-|
mes cene p uetestre	--|-|-|-⌫--|----|
caril nens a u r ontplus	--|-||-|-⌫-⌫-⌫-⌫--|---|
acestefo iz	|----|--⌫-|
car lirois lecela s ibienendroits oique	--|-|---|-|---|-⌫|---|------|-⌫-|--|
o nqu esparsabou chen en	-⌫---⌫-|--|-|---⌫--||-|
fu no u u ele se uedeuan t	-|--⌫-⌫-⌫--|--⌫-|-----⌫|
q uilsenfurentreuenuarrieresak amaalot	-⌫|-||-|-----|-----|-------||-⌫------|
lendemain separtirentdew incestre	|-------|-|--------|-|-⌫-------|
etfirent aincoisquil	-|-----|------|-|-|
senp artissent crier untorno iementdel lundiapr es en	|-|-⌫--------|----|-|-----⌫-----|--|----|---⌫-|-|
unmois d euant tanebourc.	-|---|-⌫----|--------||
iciltane boursestoituns	---|----⌫----|-----|--|
c hastia us moult f orzet moult	-⌫------⌫-|----|-⌫--|-|----|
bienseanz al ent ree denorgales	---|----|||---⌫--|-|-------|
et qu ant lir oissef u	-|--⌫--|-|-⌫--|-|-⌫|
part iz dewincest r e	----⌫-|-|-------⌫-⌫|
sicheuauchata nt	-|--------|--⌫-|
uint auchastelquelen apeloitescal o tce lui	---|-|------|--|--|------|-----⌫-⌫|--⌫--|
chastelmeism esouil auoitueulancelot.	------|-----⌫-|-|-|----|--|-------||
et lirois seherberi aen la fortere sced el ch a stel	-|-|---|-|-------⌫|-|-|-------⌫--|-⌫-|--⌫-⌫---|
amoultgrant	|----|----|
compa igniedecheualiers	-----⌫----|-|---------|
mes amonseigneur gauua in	--||--|-------|-----⌫-|
auint p arauenturequ ildescendi e n	----|-⌫-|-------|-|-|-------|-⌫|
oulancelos	-|-------|
auoi tla nuitgeu	----⌫|-|---|--|
etli fi s t len sonlite n	-|-|--⌫-⌫|--|--|--|-⌫|
lachambremeismes	-|------|------|
ou liescuzlanc elot pe ndoit.	-|-|----|----⌫---|--⌫----||
ice lenui t na l a pasmes sire	---⌫-|---⌫||-⌫-⌫|--|--|---|
gauua ins a cort	-----⌫--||---|
sesentoitun	-|------|-|
poudeshet iez einzm eni aason	--|------⌫--|---|-⌫---⌫||--|
ostelentre luietga heriet	----|----|--|-|--⌫-----|
sonfrere etmordret eto tauec	--|----|-|------|-|-⌫|---|
e us autresche ua liersasse zporfere	-⌫-|-----|---⌫--⌫----|----⌫|--|---|
li comp aigni e.	-|----⌫-----⌫||
etquant ilsefurentassisau	-|----|-|-|-----|----|-|
damo iselequia lan celot	----⌫----|--||---⌫----|
auoitbaillieela m anch edemanda	----|-------|-|-⌫----⌫|------|
a monsei gn eurg au uain l auerite	|--|---⌫--⌫--|-⌫--⌫---|-⌫|-----|
d eltornoiement s e i l	-⌫-|----------|-⌫|-⌫|
auoit esté bons	----|----|---|
etbienferuz.	-|---|----||
etmes siregauuainslidis tdamoisele	-|--|---|-------|-|---⌫|--------|
deltor noiement	--|---⌫-------|
uos pui s ge b ien dire	--|---⌫|-|-⌫--|---|
quil aestéli mieuzferuz que	-|-||----|-|----|----|--|
geueissemespi e ca.	-|-----|--|--⌫-⌫-||
sil auei ncuunscheualier s	-|||---⌫--|--|---------⌫|
aquig eu oudroieresemb ler	|--|-⌫|-⌫------|------⌫--|
carile stlipluspreudomque	--|-|-⌫-|-|---|------|--|
puisquege me partidekamaal ot.	------|-|-|----|-|------⌫-||
mes genesei quiilestnecommentil	--|-|-|--|--|-|--|-|------|-|
sirefetl ada moiselequexarm esa uoit	---|--|-⌫|--⌫------|---|---⌫-|-⌫---|
licheual iersqui ueinqui le	-|------⌫---|--|------|-|
tornoiement	----------|
damoiselefetmessiregauuainsu nestoutesuerm eilleset	--------|--|--|---|-------|-⌫--|-----|----⌫-----|-|
auo itde sus	---⌫-|--⌫--|
sonhiaumeunemanche	--|-----|--|-----|
neseiadameou	-|--||---|-|
ad am oise le	|-⌫--⌫----⌫-|
ettantuosdi	-|---|--|-|
geb ienueraie me ntque s ege estoie	-|-⌫--|------⌫--⌫-|--|-⌫|-|-----|
damois ele ie	------⌫--|-|
u oudroie qu e la manche fus tm oiep ar	-⌫------|--⌫|-|-----|---⌫|-⌫--|-⌫-|
mamastparamors	|----|--|----|
manc heportoitcarge neuionquesa	----⌫-|------|--|-|-|-|-----||
nul iordema uiemanche m ieuz	--|--|-|-|--|-----|-⌫---|
emp loieeque ces t e n a esté	---⌫----|--|---⌫-⌫|||----|
etquant lapuceleentent ceste parolesien	-|----|-|-----|-----|----|-----|-|-|
amo ult grantio ie	|--⌫--|----|--⌫-|
messemblantnen	--|-------||-|
o se f erepor ceus	-⌫-|-⌫--|--|---|
quideua nt	--|----⌫-|
tantcommelich eualier	---|----|-|--⌫------|
s ist rent aumengi erserui ladamoisele	-⌫---⌫---|-|-----⌫-|----|-|--------|
cariles toitcou stu meacel	--|-|--⌫---|---⌫---⌫-||--|
r oiaum ede logre squesecheualiererrantuenissent a	-⌫-----⌫|-|-----⌫|--|-|--------|-----|--------||
lostelaaucunh au thomese ileust	|----||----|-⌫--⌫|---|-|-|---|
leanz damoise le detant	----|-------⌫-|-|---|
fustplusgentilfamedetan t fus te lepluscons trainte	---|---|-----|---|-|---⌫|---⌫|-⌫-|---|----⌫------|
aserui r lesneianesei st a	|-----⌫|--|-|-|-|---⌫-||
t able deuantcequil	-⌫---|-----|-|-|-|
eussenttouz leurmes euz.	------|---|---|--|--||
etpor ceseruitantladamoisele	-|--|-|----|---|-|--------|
q uemessire gauua inset sicompaignonorent	-⌫-|--|---|-----⌫--|-|-|---------|----|
etla damois e leestoitsibeleet sibien	-|-|------⌫-⌫-|-----|-|---|-|-|---|
fetede totes c ho ses quepuce lene pooitestre mieuz	---|-|----|-⌫--⌫--|--|----⌫-|-|----|----|----|
si laregardamessire	-|-|------|--|---|
gauuainsmoult	-------|----|
uolentiers tant comme ele serui	---------|---|----|--|----|
silifuauisquebuerseroitnezlic he ualiers	-|-|-|---|--|---|-----|--|-|-⌫--⌫------|
quidetelpuceleporroit auoirle deduitetle	--|-|--|-----|------|----|-|-----|-|-|
soulazasa uo lent e.	-----||-|--⌫----⌫||
ausoirapres souperauintqu elisiresdel	-|---|----|-----|----|--⌫|-|----|-||
alaesbatreenun	--|------|-|-|
pr aelq ui	--⌫--|-⌫-|
estoi tderriers sameson	-----⌫|-------|-|----|
sa filleauecques	-|----|-------|
etq ua ntiliuintsi	-|-⌫--⌫-|-||---|-|
itrouu amonseigneur	|-----⌫|--|-------|
g auuainet sacompaigniequiillec se	-⌫-----|-|-|---------|--|----|-|
deduisoient	----------|
siseleueren t en cont re lui .	-|-|-------⌫|--⌫----⌫-|--||
etmessiregauuainsle fis tass eoir	-|--|---|-------|-|---⌫|---⌫---|
delezluiadestre et	----|--||-----|-|
a sen estr efi stla	|---⌫----⌫|--⌫-|-|
puceleasseoir	-----|------|
lo rscomme nc ierentaparl erde pl u seur s c hoses.	--⌫-|-----⌫--⌫-----||----⌫-|-|--⌫-⌫----⌫|-⌫----||
et gaher ieztrestl	-|-----⌫--|----||
d emo nseign eurgauuain	-⌫|--⌫|-----⌫--|------|
si licom m encaademanderdesco ustumes	-|-|---⌫-⌫---||-------|--|--⌫------|
delch ast eletci lendittoute	--|--⌫---⌫-|-|--⌫|-|--|----|
et mord res	-|----⌫--|
se fu tr et e nsusdemo nseigneur	-|-|--⌫-|-⌫---|-|--⌫|-------|
gauuain porceque ilparlas tpr iueement alapucele	------|--|-|--|-|------⌫|--⌫-------||-|-----|
etquant messire gauuainsse uitenpoint	-|----|--|---|-------|-|--|-|----|
de parleral apucele siparla a	-|-----||-⌫|-----|-|----||
luiet la requist d amors.	--|-|-|------||----||
li demanda	-|------|
quiile stoit.	--|-|-⌫----||
i esu i feti luns	-⌫|--⌫|--|-⌫|--|
c heualiers	-⌫--------|
si a inongauu ain s etsui niesleroi	-|-⌫|--|----⌫---⌫|-|--|---|-|--|
siuosameroie par amorsse il	-|--|------|--|----|-|-|
uospl esoit	--|--⌫----|
e n tel ma n ierequetant	-⌫|--|--⌫-⌫---|--|---|
com l am oursde moi et deuos durroit	--||--⌫---|-|--|-|-|--|------|
q uegenam e roiedame nedam oiseleseuosnon	-⌫-|-||--⌫-⌫---|---|-|---⌫-----|-|--|--|
etseroieoutreemen tuostrec heua li ersetabandonnez	-|-----|---------⌫|-----|-⌫----⌫--⌫--|-|---------|
a feretouteuos tre uolente	|---|----|---⌫--|------|
messi regauuainfetladamoi se lene	--|--⌫-|------|--|-|-----⌫--⌫-|-|
me gabezmie.	-|----|--||
iesaibi enqueuoses testropriches homet	-|--|--⌫-|--|--|--⌫--|---|-----|--|-|
troph auzhomaamersipo ure	---|-⌫--|--||---|-|--⌫--|
da moisele c omege sui	--⌫------|-⌫--|-|--|
etneporquant	-|---------|
seuos mamiezoreparamours	-|--||----|--|--|-----|
s achiezque ilmen	-⌫-----|--|-||-|
peseroi tp l us poruos queporautrech ose.	-------⌫|-⌫-⌫-|--|--|--|--|----|--⌫--||
damoiselefet messiregauuainspo r quo iuos en	--------|--|--|---|-------|--⌫|---⌫|--|-|
peseroit ilporm oi	-------|-|--|-⌫-|
sirefetel e por cequeseuos m	---|--|--⌫|--|-|--|-|--||
amiezius ques aucuercreuerneporriez	----|---⌫---|-|---|-----|-|------|
u osamoi auenir por nul echose carge	-⌫-||--|-----|--|---⌫|----|--|-|
a imuncheuali eruers quigene	-⌫-|-|-------⌫-|---|--|-|-|
f aus s eroi epor n uleri ens	-⌫---⌫-⌫----⌫|--|-⌫--|--⌫--|
uo sdi porueritequ e	--⌫|-|--|-----|--⌫|
gesuiencores	-|--|------|
puceleneo nq uesn auoie	-----|-|-⌫--⌫--||----|
am équantgeleui	--⌫-|----|-|-|-|
mestantos t lamaiet lir equis que ilfeist	--|------⌫||---|-|-|-⌫----|--|-|----|
d armesporla mou rde moiaceste	|----|--||-⌫---⌫|-|--||----|
et ildist que si feroitil .	-|-|---|--|-|-----|-||
si ena tant fet	-|-||---|--|
merci quelendeuroi tbienhonirladam oisele	----|--|--|------⌫|---|----|-|---⌫-----|
qu ilelero it por uosprendr e	--⌫|-|----⌫-|--|--|------⌫|
carilnes t	--|-||--⌫|
pasmein s bonsche ualiersdeuo usne	--|----⌫|---|---⌫------|-|--⌫-|-|
meins prisiez d armesnemeins biausdeuos	----|------||----|-|----|----|-|--|
nemei nspreuz nest ilmie	-|---⌫-|----||--|-|--|
sinel dipasporu osdes plere.	-|-||-|--|--|-⌫-|---⌫----||
sisachiez que ce	-|------|--|-|
se roit poine gaste eq u edemoi	--⌫---|----|-----⌫|-⌫-⌫|-|--|
requerre damors	-------||----|
carge nenferoieriens	--|-||-|-----|----|
ch eua lier delmondef orspor	--⌫---⌫---|--|----|-⌫--|--|
