Mutf etbienkisunsensdespe nt	--|-⌫-|---|-|--|---|-----⌫-|
Decestor ds ieclemaleuré	-|---|--⌫|-⌫----|-------|
Heulaschaiti ftantmaleu ré	--|--|------⌫|---|-----⌫--|
Comentsuid e	-----|--|-⌫|
Deusu pplante ́	--|--⌫-------⌫|
Guai mi cha itif	---|-|---⌫---|
Co me ntp erdi	--⌫--⌫-|-⌫---|
Leiorquant enlanuit	-|--|----|-|-|---|
TuitesteiedelseneissuE absorbé ecu mfu ndu	---|-----|--|--|----||-------||--⌫---⌫--|
Quantdesirai purglorieueine	----|------|--|-----|----|
L iurer malmeenfeuenpeine	-⌫----||---|-|--|-|----|
Quelaï erequerai	---|---⌫|-------|
Deuuertuperdu ai	--|----|----|-|
Iome i ̈mess uiacheisu n	-|--⌫-⌫---|-⌫-|-------⌫|
De c est eordeperdi tiu n	-|-⌫---⌫|---|-----⌫---⌫|
Traï tresuidema	-----⌫--|--|-|-|
Auctursui duntsui cu mfun du	-----|--|---|--|--⌫----⌫-|
Guaimi las	---|-|--|
Coments uir auiz	-----|-⌫-|-⌫---|
Quedirra isima lbailiz	--|-----⌫|-|--⌫------|
Kedeuend raiAkiirra i	-|------⌫--||-|----⌫|
A l grantiugementqued irr ai	-⌫|----|-------|--|-⌫---⌫-|
Q u anttute s	-⌫-⌫--|----⌫|
riens s eruntoue rtes E ueanttute gent apertes	----|-⌫----|---⌫---||----|---|---|------|
Ke dirra i chaitif	-|-----⌫|------|
Quant li iusteeli	----|-|----||-|
dreit urie r	-----⌫----⌫|
Serunt d e uant	-----|-⌫-⌫---|
De ucoruné Eiochaitif delt ut dampné	--⌫|------||-|------|--|-⌫-|------|
Ucomenteste r aicupable	|-----|----⌫-⌫-|------|
D euantlesiege e spoëntable U	-⌫----|-|----|-⌫----------||
Deuserra odses ami s	--|----|-|--|---⌫|
Quantil i ugera	----|-|-⌫----|
Dekiauer aid e fe ns iun	-|-|----⌫-|-⌫-⌫--⌫--⌫--|
Enceletribula tiun Ekipurrapur	-|---|-------⌫---||-|----|--|
Quantch aün receit sunluier	----|--⌫---|-----|--|----|
Suluncqueauerad eserui	-----|--|----|-⌫-----|
Kiauerad un c d emeimerci	-|----|-⌫--⌫|-⌫|--|----|
K i me aidera encelc ouent	-⌫|-|-----|-|--|-⌫----|
Kime defen d ra deturment	-|-|-----⌫-⌫-|-|------|
Lane poetnuluers	-|-|---|--|---|
autreentendre	----|-------|
Chascun deitpur seirai sunrendre	------|---|--|--|---⌫--|-----|
La neaideranulsunpare nt	-|-|-----|--|--|----⌫-|
Chascunendreits eiiertdolent	------|------|-⌫-|---|-----|
Gua ichait iueal m e	---⌫|-----⌫--|--⌫-⌫|
C om ent espr iseemi se	-⌫--⌫--|-|--⌫--||--⌫-|
tuescolur gié	-|-------⌫---|
C omentestuenginnié	-⌫----|-|-|--------|
De queltre buches t usu sprise	-|---|---⌫---|-|-⌫|--⌫-----|
Parq uelperil estum almise	--|-⌫--|----|-|-|-⌫-----|
Dequeltaiest uentaié	-|---|--|-|-⌫|------|
Aquel portuendras	|---|---|------|
m esais ié Uaue ra s tu	-⌫-----⌫--||---⌫--⌫|-|
rec h atement	---⌫-⌫------|
Chele skef ra i	-----⌫|-|-⌫--⌫|
Allasdole nt	----|----⌫-|
Que feraiUpui saler	--|----||---⌫|---|
Plungiésuinepuis	-------|--|-|---|
E n en ferniraisanz cumfort	-⌫|--⌫---|---|---|------|
Enpeine e e npar durab l emort	-|----||-⌫|---⌫-----⌫-⌫|---|
Quantsi out parlé	----|-|--|-----|
lungementA se ieasa almeensement	--------||--⌫|||-|---|-------|
Par telsdizpar autresplusurs	--|---|--|--|-----|------|
N esoltu ers	-⌫|---|-⌫--|
Deuq ueresucurs	--|-⌫---|-----|
Deu slib on s	---⌫|-|-⌫--⌫|
i ustisires	-⌫--------|
Limerc i ablee dreit uriers	-|----⌫-⌫---||-----⌫-----|
Ne despist	-|------|
p assacrëa ture	-⌫-|-|-----⌫---|
esperanceseureAl alm eduna fei entie re	--------|----|||---⌫|---|--|-----⌫-|
D elirecei ure esapre iere	-⌫|-|-----⌫--||-|---⌫---|
Kar parles pe rancequ ilout	--|--||--⌫--⌫----|-|-|--|
Distdebon cuer e si	---|-|--|---||-|
Certesi a s eiti ceo que io	-----|-⌫|-⌫--|-⌫--|--|-|
Ihesu seit nezpar sag race	----|---|--|--|-|-⌫---|
Marie la bele	----|-|---|
De lagl oriusepu l c ele	-|-|--⌫-----|--⌫-⌫-⌫--|
Seignur cum f iz	------|--|-⌫-|
K iioreneaipar	-⌫|-|-----|--|
Nepurqua ntac e lem	--------⌫-||-⌫-⌫-||
Deular equerra i	--|-|-⌫-------⌫|
Detutmuncuerdetutmun	-|--|--|---|-|--|--|
Reniez sui fals cr es tiens	-----|--|---|--⌫--⌫----|
detut mu n poeir	-|--|--⌫|----|
L ar eque rraim atine seir	-⌫|-⌫----⌫---|-⌫---||---|
El sue n sainttemple	-|---⌫|----|-----|
U rant siqu e necesserai	-⌫---|-|--⌫|-|-------|
Desq uepar	----⌫-|--|
sa seint e	-|-----⌫|
Truissede cest pechiépardun	------|-|---|------|-----|
Dist derechie f	---|--------⌫|
Comentlefrai	-----|-|---|
Od quels leures larequerai	-|----|-----|-|-------|
Certesne suidig ne	-----|-|--|---⌫-|
Derequerreladamebe nigne	-|-------|-|---|--⌫----|
Tresbiensa i queiola iforfait	---|---|--⌫|--|-||-⌫|------|
Detutesparz m esurtdeshait	-|----|---|-⌫|---|------|
Que le i ertl ent ree uraisun	---⌫-|-⌫--||---⌫--||-----|
Del amei ecunf essiun	-|-⌫|---⌫|----⌫-----|
Parque ldituparquelmani ere	--|---⌫|--||--|---|----⌫--|
Turnerai malange	-------|-|----|
apre ie reU comentmesleures ouerai	|---⌫--⌫-||-----|--|-----|-----|
Icestfaitcom ent enpre ndrai	----|---|---⌫--|-----⌫----|
Dequelpechiéqu er raipardun	-|---|------|--⌫--⌫--|-----|
De p rimes eremissiun	-|-⌫----||--------|
Heulas ch aitif	--|--|--⌫----|
Quefraidolent	--|---|-----|
Sii ol comenz	-|-⌫-|-----|
sifol ement	-|---⌫----|
Feuardantdelciel	--|-----|--|---|
descendera E crü elmentmun cors ardera	---------||----⌫-----|--|---|-----|
Limundnepoetsuffrirensei	-|---|-|---|------|-|--|
queio folfis	--|-|--|--|
Tualmeliefe	-|---|---||
quieraï e	----|---⌫|
Destenebres	--|-------|
que te un t saisie	--|-|--⌫|-----|
E u atostaladucem ere	|-⌫|---||-|---|-⌫--|
Kipor tasunf izes un	-|---⌫-|--|-⌫-||-⌫-|
per e Erequierlaqueeleai t merci	---⌫||------|-|--|--|--⌫|----|
Del me sf aitqu eiomesfisuers	--|--⌫--⌫--|--⌫|-|-----|---|
Tresbienconuis	---|---|-----|
ueraiement	---------|
Que ele mepoet fai re	--|--|-|---|---⌫-|
acordemen t	---------⌫|
Biensaiqueele	---|--|--|--|
ad lapuissance	-|-|--------|
Enli aitutema fi ance	-|-|-|---|-|--⌫---|
Odceos e cumfor tafor men t	-|--|-⌫|------⌫-|---⌫---⌫|
queorne out destur bement	----|-|--|------⌫-----|
Da mealaEhumbl e men t	--⌫-|--||-----⌫-⌫---⌫|
s agenu illa	|-----⌫---|
Requistdes e sme sfa iz	------|-|-⌫-⌫|--⌫---⌫-|
U ra tod gran tdeuo tiun	-⌫--⌫|-|----⌫|----⌫---|
Iore nu its anzdefinement	--||--⌫-|-⌫--|---------|
Urataladamehumblement	---||-|---|---------|
Ieünaenu eillanturat	-----|-|-⌫------|---|
Ditelm esfait	|---|-⌫-----|
pardunpreiatKilpeustauerrechat ement	-----|-----||-|----|---|------⌫----|
ch aitif renie ment	--⌫----|-----⌫---|
Keleli fus tdefensiun	|--|-|---⌫|--------|
Encuntre diablefel u n	-------|-----|---⌫-⌫|
Deu sisupplanté	--|-|---------|
E atelreniem en t	||--|------⌫--⌫|
Quarant e iorz	-------⌫|---|
idemu raEq uarantenuiz	|----⌫-||-⌫------|---|
Odiuine se odu reisuns	-|-----⌫||-|-⌫------|
Requistladameagenuillu ns	------|-|---||--------⌫-|
De u sainte	--⌫|-----|
MarieKenuers	----||-----|
Deuli fust aïeEpuisaprés lesiurs	--|-|---|---||---|-----|--|---|
uintaliladameua illanteAune	---||-|-|---|--⌫------||--|
nuitue rai ement	---|--⌫---⌫----|
Li aparutapertement	-|-----|---------|
Ki e staïea	-|-⌫-|---||
t ut lemunde	-⌫-|-|----|
tutesrienshabunde	----|----|------|
Kiest r efuia tuzpecheurs	-|--|-⌫---||--|-------|
Kiesta cr e stienssuccurs	-|--||--⌫-⌫-----|------|
aïeatuzerranz	---||--|-----|
tensodsesbienuoil lanz	---|-|--|--------⌫---|
Ki cunse ill e les orph enins	-|-----⌫---⌫|--|----⌫----|
K ie stu eiedepelerins	-⌫|-⌫-|-⌫--|-|-------|
Kies t apel de tuz	-|--⌫|---|-|--|
du nea sesamis	--⌫-||--|---|
Kiestesteiledesiree	-|--|------|------|
Deuelcielcorune e	--|-|---|------⌫|
Acestui uintapertementE	|-----|---|---------||
distlimultpitusement	---|-|---|---------|
Chaitifs hoemdolentc ̧oke	-------|---|-----|-⌫-|-|
criessi aespleit	----|-||------|
Keioteaie e	-|-|-|--||
Kire n ias munfize	-|--⌫-⌫--|--|--||
Coment puisduncmunfiz requere	-----|---|---|--|--|------|
Ki sireestd eci el ede	-|---|--|-⌫|--⌫-||-|
Keil parduinsttunpechiéUlem a lfait	-|-|--------|--|------||-|-⌫-⌫----|
queas enginnié	--|-|--------|
Odquelsoilzl ereguard erai	-|----|---|-⌫|-------⌫---|
Quantio purteile	----|-|--|--|-|
Kiler enias	-|-|-⌫----|
si laideme nt	-|-------⌫-|
Parescrit de	--|-----|-|
cumfermement	-----------|
Dequelefiance	-|----|-----|
ertil requis	--|-|-----|
Purtei kisiui lmentle	--|--|-|-|--⌫----|-|
Come ntesterai pur	----⌫-|------|--|
Deua ntsu nsaintsiege rëal	----⌫-|--⌫|----|----|----|
Comentpor raila buche	-----|---⌫--|-|----|
Quant i ot elsmalsd eidescourir	----|-⌫|-⌫--|---|-⌫-|--------|
u ers m unfiz	-⌫--|-⌫-|--|
e uerssapu issance Ki laituerste ibienuoillance	|---|-|--⌫------||-⌫|--|---|--⌫|------------|
Do lentceoquas uersm eipechié	--⌫---|--|-|-|---|-⌫-|------|
Purratal kesestre alegié	-----|--⌫--|----|------|
Pur ceoqu eioa i mmutcrestien sE	--|--|--⌫|-|-⌫-⌫|--|--------⌫||
lina ge ent uzt ens	----⌫-|-|-⌫-|-⌫--|
Maimement ce saim enfe iKen	--------|--⌫|--|-|--⌫||-|
m untemp lerequeren tmei	-⌫-|----⌫-|--------⌫|--|
Kiamei ifuntlur preiere	-||--||---|--|------|
Odboen cu erod	-|---|--⌫-|-|
f e i entiere	-⌫-⌫|------|
Kiiuin e ntent el m aniereA trestuzotreilurpreiere	-|----⌫-⌫-|-|-⌫-|-⌫-----||------|----|--|------|
Icelssuccuricels	----|-----|----|
Reisnablem entluruoleirfaz	----------⌫--|--|-----|--|
Io ne uoiluee r nesuffrir	-|-|---|---⌫|-|------|
Le c oruzmunfiz	-|-⌫---|--|--|
securucer ienA ce ls	-|-----|-⌫--||--⌫-|
qui iouoilfairebien	--|-|---|----|---|
estutrequere mult	----|------|---|
Odq u ertrubléodpitusu olt	-|-⌫-⌫-|------|-|----|-⌫--|
La benigneté demunfiz	-|---------|-|--|--|
Keestrepuissezsis	-|----|------|--|
esliz N estpas sule m en tmerciable	----||--|--|----⌫-⌫--⌫|--------|
Maisiustesiuge sue r ita ble	---|-----|----⌫|--⌫-⌫---⌫--|
Sur tutesri ensest iustisiersE desuensiugesdreitu rier s	--|----|--⌫--|--|---------||-|----|----|------⌫----⌫|
Theofleh umblement	------|-⌫--------|
Siestildameueirement	-|--|-|---|--------|
Be neitedamegloriuse	--⌫----|---|-------|
Saintismed ame preciuse	--------|-⌫--|-------|
Ki estesahuma ine	-|----||----⌫--|
Prote ctiu n esaluemen t	-----⌫----⌫||--------⌫|
Du lce hafn e	--⌫--|----⌫|
r efu iseü rport	-⌫---⌫|----⌫|---|
crestienscumfor t	--------|------⌫|
Dam ebi e nuei e	---⌫|--⌫-⌫|--||
tr esbiensai	--⌫-|---|--|
Kedolurusementpech aiAuus eauos trefiz	-|-----------|----⌫-||--|||---⌫--|--|
Crist ledreitur ir	----|-|-------⌫-|
Nesui pasdigne en ma uie orde	-|--|--|----|-|-|--|---|
Req uere sa misericorde	---⌫---|-|----------|
Maisneque d entioaiess ample	---|-----⌫-⌫--|-|-|---⌫----|
D ecelsqui ainzpeche rent multa mple	-⌫|---|--|---|-----⌫---|---|-⌫---|
Kiainzpecherentd euant	-|---|--------|-⌫----|
En uos trefiz	-|---⌫--|--|
e ncu ntrefei	-⌫---⌫---|--|
P arp enitencedeserui ren t	-⌫-|-⌫-------|-------⌫---⌫|
Pardundes pechi ez	-----|--|-----⌫-|
keainz mesf irent	-|---|----⌫----|
Purceodamealiea	--|--|---||-|||
chaitif multbosuignus	------|---|--------|
Kars epenitencenefust	--|-⌫|--------|-|---|
Li reisn iniue ins mort receus t	-|---|-⌫-----⌫--|---|------⌫|
Parpenitenceere ntsalu e ́	--|--------|---⌫-|----⌫-⌫|
N iniuenenl a cit e ́	-⌫-----|-|-⌫|---⌫-⌫|
Sepenitenc enef ustdigne	-|--------⌫|-|-⌫--|----|
Comentserrei t	-----|------⌫|
Dauidbenigne	----|------|
Del noble pro f ecialdun	--|----|---⌫-⌫----|--|
Apr éssaf ornicatiun	---⌫--|-|-⌫---------|
Quan ten ho m icidechaï	----⌫|-|--⌫-⌫----|----|
U rie ke amorttrah i	-⌫--|-||---|----⌫|
Puisqua n tde buchele	---|---⌫-⌫|-|----|-|
Pardundese s pechiez	-----|-|--⌫|------|
r eceutEnientsulement c elpardun	-⌫----||----|-------|-⌫-|-----|
Maispuisderechieflebeldun	---|---|--------|-|--|--|
Dela sainte	-|-|-----|
Deu pro fe c ie	--|---⌫--⌫-⌫-|
Ledunreceutaprés	-|--|-----|-----|
Se pe nitencenefustchere	-|--⌫------|-|---|----|
Come nt purreitdu ncsaint	----⌫-|------|--⌫-|----|
Aueir p a rdunesaluement	----|-⌫-⌫---||--------|
Kireneiout	-|-------|
Deu siuilment	--|-|------|
Ne mie une	-|--|--|
feiz ne secunde	---|-|------|
Maistreisfeize deuoizparf unde	---|----|---||-|---|----⌫---|
Kar par plureme nt er to ï z	--|--|-------⌫-|--⌫|-⌫--⌫|
Merci l ifist uost rechierf iz	----|-⌫|---|----⌫-|----|-⌫-|
Epuisli fist sigranthonur	|---|-|---|-|----|----|
f i stp astur	-⌫-⌫-|-⌫----|
Sepe niten ce n e fust	-|--⌫-----⌫-|-⌫|---|
Coment orreitsein t	-----|-----|----⌫|
Polla pleinte	--|-|------|
De celui kenu ers	-|----||---⌫--|
Kier tenpu terie	-|--⌫|-|--⌫----|
pristpu radresci er	----|--⌫|-------⌫-|
nel peustchalengier	--|----|---------|
Sep enitencenefu s tfine	-|-⌫-------|-|--⌫-⌫|---|
Coment uendreitsai nte	-----|-------|---⌫--|
Cyprie n lemalf eisant	------⌫|-|----⌫-----|
Kidol ure mal fi stsi grant K il	-|---⌫-||--|--⌫-|-|----||-|
taillal esfemmes	-----|-⌫-|-----|
enceintesEturmentaeoccistmeinte s	--------||-------||-----|------⌫|
Laseintel e cumfort asi	-|-----|-⌫|-------⌫|-|
Kedesesp e chiez outme rci	-|-|--|-⌫-⌫----|--|--⌫--|
N e outmie sulement	-⌫|--|--|-------|
Ne des espechiez remissiun	-|-|-⌫-|------|--------|
Maist antl ama pu is	---|-⌫--||--|--⌫-|
Kecor unéert pu is	-|---⌫---|--|--⌫-|
demartyr e	-|------⌫|
Dunt iopecheressuihaitié	---|-|-------|--|------|
uiencdame a uo st repitié	----|---||--⌫--⌫-|-----|
pe c he urskeioaimustré	--⌫-⌫--⌫--|-|-|-|------|
Sui enzelquermultcum for té	--|--|-|---|---|---⌫---⌫--|
Pu r ce oespeir aueir	--⌫|--⌫|-----|----|
d espech iezremi ss i un	-⌫-|----⌫--|----⌫--⌫-⌫-|
Si meu oillez	-|-|-⌫-----|
dameaider Euos trefizpurmeipree r	---|----||---⌫--|--|--|--|----⌫|
Dame enuussuleaim afiance	---|-|--|---|-|-⌫|-----|
Requierlau ostreb oneu oil lan ce	------|-|-⌫----|-⌫----⌫---⌫---⌫-|
Ke uu smedeignezcumforterE	-|--⌫|-|------|--------||
uo stre fizpur	--⌫---|--|--|
ioai pechié	-|-|------|
neaialie gement	-|-|----⌫-----|
saiioquelp artt raire	--|-|---|-⌫--|-⌫----|
Dames anz uu snesaiquefai reE	---|-⌫--|--⌫|-|--|--|---⌫-||
qua ntilaue it	---⌫-|-|---⌫-|
Pitusementdequer parfit	---------|-|---|-----|
Deus einteehonurab le	--|-⌫----||-------⌫-|
Lache redame merciable	-|---⌫-|---|--------|
Kipoeit urerpur tuz	-|----|---|--|--|
Deuplu sque altrerien	--|---⌫|--|----|---|
Ki est refuicunsei l cumf or tAtuz kisoefrent	-|--|----|------⌫|----⌫--⌫||--|-|-------|
Ki est as dolurusleesce	-|--|-|------|-----|
Kiestsu ppuail d eueille sc e	-|--|--⌫-----|-⌫|------⌫--⌫|
Kiestat uz	-|--||-⌫-|
p rotectiun	-⌫--------|
Kilarequiren tpar raisun	-|-|--------⌫|--|-----|
Ki cre s tiene gentnuristAcestuidunc bonement	-|---⌫-⌫----|---|-----||-----|---|-------|
Theofle re geïs	------|--⌫----|
Ke cilseit fiz	-|--|---|--|
De upoë stifs	--⌫|----⌫----|
Kiio en fantaiseintement	-|-|--⌫-----|---------|
Ketureni ascumdolent	-|-|----⌫-|--|-----|
Kiiu gerale mund par se i Eduncle	-|--⌫---|-|---|--|--⌫||---|-|
requerrai p ur	--------|-⌫-|
teiKiltei re ceiue	--||-|--|--⌫----|
bone mentE	----⌫---||
Theofle dit humblement	------|--|---------|
Dameb eneite creature	---|-⌫-----|-------|
Comentenpren draiiolacure	-----|------⌫---|-|-|---|
Derequer e uostrecherfiz	-|------⌫|-----|---|--|
Kiio reniaimalbailliz	-|-|-----|---------|
Kiailabuch ecuntredite Ecunchiéde	-|-|-|----⌫|---------||-------|-|
Deudespite	--|------|
Od laqueleio reniai	-|-|----|-|-----|
uostrefiz keiadis	-----|--|-|----|
Coment le oseraiiopreier	-----|-|-----|-|-----|
Od lab uc he usunn untucher	-|-|-⌫--⌫-||--|-⌫-|-----|
Ka ri tantlisui ioforfait	--⌫|-⌫---|-|--|-|------|
Paruains desirs	--|----|-----|
delisustrait	-|-|-------|
Ke corsea lme	-|---||-⌫--|
Paric ̧oke iole	--|--⌫-|-|-|-|
Kar perdu aileseint	--|----|-|-|----|
Keio reçuiel esaintc resme	-|-|-----||-⌫|----|-⌫----|
Pa rlec yrograf e ele scrit	--⌫|-|-⌫-------⌫|||-⌫----|
Ela saintedameli di t	|-|-----|---|-|--⌫|
Oreregeïsta ntsul ement	--|------|--⌫-|---⌫----|
Kil seit ueirs	|-|---|----|
Deuomni p o tent Kilted efend e	--|----⌫-⌫-⌫---||-|-|-⌫-----⌫|
Karm ul test piuse	--|-⌫--⌫|--|---||
mer ciab le	---⌫----⌫-|
Il receuera	-|-------|
ta penitence	-|--------|
Tes l er mesetacunscience	--|-⌫--⌫--||-|---------|
Sifa iti l d etuzueire ment	-|--⌫-|-⌫|-⌫|--|-----⌫---|
Kilerequerent bonement	-|-|--------|-------|
Deuchar enmei	--|---|-|--|
Ke pech eür s	-|----⌫----⌫|
saluastenfei	------|-|--|
Theophle d uncodpat ience	-------|-⌫--|-|---⌫----|
O dsimple uol tod reuerence	-⌫|-----|---⌫|-|--------|
Odgrant crieod plurement	-|----|--||-|--------|
Ioregeïsu e i rementK	-|------|-⌫-⌫-⌫-----||
ilestu ei rs	-|--|-⌫--⌫-|
Deus entri nité Aaürer enunité	---|-|---⌫----||-----|-|-----|
Iocreiioaüriohonur	-|---|-|---|-|----|
Entreis per sones	-|----|---⌫----|
un seig nurCe st	-|----⌫--||-⌫-|
Cri stnostreauöe ́	---⌫-|-----|-----⌫|
A inz le mun ddel pereeng endré	-⌫--|-|---⌫|--|---|---⌫-----|
Esderainsio rz	-|------|--⌫-|
deignat hoemes tre	------|---|--⌫--|
Deuusdam ede uirgeneist reA lasalude	-|--|---⌫|-|----|-----⌫-||-|---|-|
uintelsiecle ueraiemen t	---|-|-----|---------⌫|
Io crei bienkilest	-|---|---||-|--|
Deu ueirshoemcumd it les crit	--|----|---|--|-⌫-||--⌫---|
Ki purnuspech eurserttrai ̈z	-|--|--|----⌫---|--|----⌫-|
Feru bat u	---|---⌫|
Ke seleissasur croizestendre	-|-|-----|--|----|-------|
Cumbons p asturs salmeuol trendr e	--|---|-⌫-----||---|---⌫|-----⌫|
c haitifs pe cheursguarir	-⌫------|--⌫-----|-----|
Puis se leiss a tenseuelir	---|-|-----⌫-⌫|--------|
Res uscitae l cie lmunt a	---⌫-----|-⌫|---⌫|----⌫|
Dulcementle ssoen scumf orta	--------|--⌫|----⌫|----⌫---|
Tuzicels cum ilapparut	--|----|--|-|------|
Odlacharkede uusrec eut	-|-|---|-|-|--|---⌫--|
Maint lasus	----|----|
elcieloduictorie	-|---|-|-------|
A uenir est odsa grant glorie	|----|--|-|-|----|-----|
Iugier uifse mo rz	-----|---||--⌫-|
parraisun Erendreac heüng uered un	--|-----||-----||-⌫----|-⌫-----⌫-|
Selunclesoures	-----|--|----|
Tuit içocreideuer ité	---|---|---|-|---⌫---|
Cestuicultifcestuiaür	-----|-----|-----|---|
Cestuiapel	-----|---|
munchers ei gnur	--|---|-⌫--⌫---|
Requieruus dameglo riuse	------|--|---|---⌫----|
S aint e pucele	-⌫----⌫|-----|
O ffrezme iatun	-⌫----|--⌫||--|
Qu ei o seiedesesesliz	--⌫|-⌫|---|-|--|----|
Offrezmeia	-----|--||
uostre fizalcreatur	-----|--|-|------|
Req uie ru usducedamecher e	---⌫---⌫|-⌫-|---|---|----⌫|
Kenerefusez	-|-|------|
ma preiere	-|------|
Kisuppl antésuiera uiz	-|-----⌫----|--||--⌫--|
E deceüemalbailli z	|-----||---------⌫|
Deliurezicest maleure ́	-------|----|-------⌫|
De machaitiueiniquit é	-|-|-------|-------⌫-|
Kar chaitiuementai pe rdu	--|-----------|-|--⌫--|
D eu e s auertu	-⌫-||-⌫|----|
The ofilus	---⌫-----|
refaitdunc	-----|---|
Forscu me lepreist	---|--⌫|-⌫-|-----|
se nztenciun	--⌫-|------|
Deluidunc s atis f actiun	-|--|---|-⌫----⌫-⌫-----|
Dame seinte	---|-----|
cumfortcunseila ïeAt utecrest ie negentE	------|------|-⌫--||-⌫--|-----⌫--⌫-|---||
d es er ran z alegement	-⌫-|--⌫---⌫|--------|
ueireue ieuerrai	----|--⌫-|-----|
cheminAtuz cel sq uili	-----||--|---⌫|-⌫-|-|
sun tacli n	---⌫|----⌫|
Deuegen trequiert	--||---⌫|-------|
Iceoqu em estiersesteiertA	---|--⌫|-⌫------|--||---||
Theo fledistbone ment	----⌫--|---|----⌫---|
De uue raiement	--⌫|--⌫-------|
Crist nos trecher seign ur	----|---⌫--|---|-----⌫-|
De tuz cre stiensaitendrur	-|--|---⌫-----|-|------|
Pur lebaptesmek eas receu	--|-|-------|-⌫|-|----|
El nundemun	-|--|-|--|
IhesuEpu rceo queio aigrant pitié	----||--⌫|--|--|-|-|----|-----|
Qua ntcrestiensuntm esaisié	---⌫-|-------|---|-⌫-------|
Quantcrest ienunt malentent e	----|-----⌫--|--|--|------⌫|
Ensembleodel s ensuidolent e	-------|-|--⌫|-|--|------⌫|
P urlapitiéquedeuus	-⌫-|-|-----|--|-|--|
Ihesummunfizm enirraiAsezduzpiez	-----|--|--||-|----||--|--|---|
ch arraide	--⌫----|-|
receiu e en sa lueté	------⌫|-|--⌫-----|
O dc estditde	-⌫|-⌫--|--|-|
Luiseit le i or	------|-|-⌫-|
cl er denuirun	--⌫-||------|
E laseintedamee pucele	|-|-----|---||-----|
D epartisenlui santeeb e le	-⌫-----||-|---⌫----||-⌫-⌫-|
Theophletreisiurspuisura	-------|----|---|---|--|
Defi nquersiquenecessa	-|--⌫|---|-|--|-|----|
Necessarien de	-|----|---|-|
Deureque re	--|-----⌫-|
Su u en t fe ridelchief laterre	--⌫-⌫--⌫|--⌫-|--|----|-|----|
Sanzui anderemist estable	---|--⌫---|-----|------|
E ni cels aint temple honur able	-⌫|-⌫--|-⌫---|-----|-----⌫---|
Espan di lermese p reiereA	-----⌫-|-----||-⌫-----||
Deue asa chere mere	--|||-|----|---|
Requis t l a damecher ee	------⌫|-⌫|---|----⌫||
Deuprese ntas tsaque rele	--|-----⌫----⌫|-|---⌫---|
Sal udeuie l idonast	---⌫|-|--|-⌫|-----|
E d eldiable l esluignast	|-⌫-|-----||---------|
Derechiefui ntlagloriuse	--------|--⌫-|-|-------|
L a saintedame preciu s e	-⌫|-----|---|------⌫-⌫|
Dame seinte	---|-----|
Kilasuselciel	-|----|-|---|
Odliez oilzo dhaitie ́chiere	-|---|---|-⌫|------⌫|-----|
E distlui en	|---|--|-|
dulcemaniere	----|------|
Suffis ant esttapenitence	------⌫--|--|-|--------|
Deumustretacunscience	--|-----|-|---------|
Licriaturs de tute rie n	-|-------|-|---|---⌫|
Tapenitenceprent	-|--------|----|
Tes lermesad receuen gré	--|-----|-|----|-|---|
Tareq ueste t	-|---⌫----||
ad granté	-|------|
maindr eentelpurp ens	------⌫|-|--|----⌫--|
Desquealderai niordetuntens	-----|-|-----⌫|--|-|--|---|
Desqueta mor t	-----|-|---⌫|
quene forueies	--|-|-------|
mei li pr amete ie s	--|-|--⌫-----⌫--⌫|
T heop hleli respundi	-⌫----⌫--|-|-------|
Chere dam e uostremerc i	----|---⌫|-----|----⌫|
Certesi o garderaimutbien	-----|-⌫|-------|--|---|
Quant queuus plaisten tuterie n	----|--|--|-----|-|---|---⌫|
uostreplai sir f rai uostresui	-----|----⌫--|-⌫--|-----|--|
Deune aiautreref ui	--|-|-|----|---⌫-|
Bien tendraiceo ke iopramis	---|------|--|-|-|-----|
que purraiatutdis	--|-----||--|--|
uuseste sdame	--|----⌫|---|
cu uerture	--⌫------|
D e trestu te humainenature	-⌫|------⌫-|------|-----|
de queor leregeïs	-|----|-|------|
estes de pare ïs	----|-|----⌫--|
Kifurefusé u	-|-|------||
Kiunkes outfi ancee nu u s Uq ue lshoem requist	-|----|--|--⌫---|-⌫|-⌫-⌫||-⌫--⌫-|---|------|
K iuusclamast ne spleitastbien	-⌫|--|------||-⌫--------|---|
Duntiopecheürmaleuré	---|-|-------|-------|
Requ ieruo stre benign eté	----⌫--|--⌫---|------⌫---|
uostr ebunt éuost r epitié	-----⌫|----⌫-|----⌫-⌫|-----|
Kisuien ordur eplungié	-|--|-|-----⌫|-------|
dam e me p urchaci e z	---⌫|-|-⌫-------⌫-⌫|
Lach ar tr edun tsui re n ei ez	-|--⌫--⌫--⌫|---⌫|--|--⌫-⌫--⌫-|
Quedem apropre	--|-|-⌫|-----|
ma inescris	--⌫-|-----|
sëal qu e	----|--⌫|
Damesecelecharteaueie	---|-|---|-----|----|
Paruostresuccurs bie nguarreie	--|-----|------|---⌫|-------|
De ceo aiel quergrant	-|--|-|-|---|----|
pesance E de maalme du te	------||-|-|---|--⌫-|
e greuance	|-------|
Quantceoout dit dequerpluraEaltresfe iz	----|--|--|--|-|---|----||-----|--⌫-|
treisiursura	----|---|--|
Sir e q uis tladamehonura ble	-|-⌫-⌫-⌫---⌫|-|---|------⌫--|
damemerc iable	---|----⌫----|
K iest salu ue ire esperance	-⌫|--|---|--⌫--|--------|
