cil qui se uent	--|--|--⌫---|
mo lts eroit	--⌫-|-⌫----|
li e zc elelamast	--⌫-⌫||--||----|
feme lesga rda	---||----⌫--|
grant ioie enf it silotria	----|---|-|-⌫-|-||----|
quelefera sa	-|--|---|-|
li cheuali e rli	-|-------⌫-⌫|-|
qui mol tl ier tmesau enu	--|---⌫|-⌫|--⌫|-----⌫--|
dellarron quilotdes pendu	--|-----|-|-|-|---⌫----|
setconseildoner	--|------|----|
h orsdupai zles tuet aler	-⌫--|-|---⌫||--⌫---|---|
laprodefeme respondi	-|----|---|-------|
desfouonzmonbarondeci	--------|--|----|-|-|
pendonlaoucistfu	-----|-|-|---|-|
s i nieriamaiza p e rceu	-⌫||--|-----|-⌫-⌫-⌫---|
deliu rerdoitonpa rlemort	-----⌫--|---|-|--⌫|-|---|
leuifd ontonat ent confort	-|--|-⌫--|-|--⌫--|------|
parcestesignifi anc e	--|----|-------⌫---⌫|
poons attend re quelfiance	----|------⌫-|---|-----|
doiuentauoirl ezmorsas	------|----|-⌫-|---|-|
limons fauz e tioli s	-|---|---|-⌫|----⌫|
unloupetunchie nsencontrerent	-|---|-|-|----⌫||-----------|
par unbois ou	--|-|---|-|
ilal e re nt	-|--⌫-⌫--⌫-|
liloup dit auchienmoltie z biau s	-|---|--|-|----|---|--⌫|----⌫|
etmolt estluissanzuostrepiauz	-|---|--|-------|-----|----|
lichiensre spontc	-|-----|--⌫----||
estueritez	--|------|
car ie maniu e bi en etasse z	--|-|-----⌫|--⌫-|-|----⌫|
e t soefgi z quantpluetle ior	-⌫|---|--⌫|----|----|-|--|
par deuant le zpiezmon seignor	--|-----|--⌫|---|--|------|
pui zchacun iorro nge l ez os	---⌫|-----|--|--⌫--|-⌫-|-|
don t iemefaizet gras	---⌫|-|-|---|-|---|
siuosuolez	-|--|----|
o moyue nez	|--|--⌫--|
p luz aures quene	-⌫--|----|--|-|
sifer auo irli lousrespont	-|---⌫|--⌫-|-|---|------|
doncsac o npaignentets en uont	---||--⌫-⌫--------|-||-|---|
ainzqueala	---|--||-|
uillefu issent uenuz	----|--⌫-----|----|
garde l i loussiaueu	----|-⌫|---|-||--|
c omlich ienportes oncoler	-⌫-|-|--⌫--|----|-⌫-|----|
sachaieneuittrayner	-|------|--|------|
fr erefaiti lm erueillezuoy	--⌫--|---|-⌫|-⌫--------|--|
co l maiznesa quoy	--⌫|---|-|-|---|
respo ntcest	-----⌫-||--|
dont lonmeliela semen e	---|--|-|--|-|-----⌫|
porceme fai t	--|-|-|---⌫|
li étenir	--⌫-|----|
que larronne puise nt uenir	--|-----|-|-----⌫-|----|
lors ditlilou zestilissi	---|--|-|---⌫|--|-|---|
nepuizfors par	-|---|---|--|
ture mandraz ieme ira	-|--⌫------|-|-|--|
iaylachien eneportera	--|-|-----⌫|-|------|
miauzuautmaigret ot d eliure	----|---|-----|-⌫-|-⌫-----|
quen chaiene	-|-|------|
richement uiur e	--------|----⌫|
par la chaiene estdeparti	--|-|------|--|------|
lor amor et lorcompagnie	--|---|-|--|--------|
d unhomeueuliciconter	|-|---|---|--|-----|
etparessampledemostrer	-|--|-------|--------|
desezme i ns conte etde	-|--|--⌫-⌫-|----|-|-|
etd ouchief quiert	-|-⌫-|----|--|--|
uer sson uent re que il	---⌫|--|----⌫-|--|-|
porlorgaaingquil	--|--|-----|-|-|
d oncil neuout rienz t r auaillier	-⌫--|-|-|---|----|-⌫-⌫--------|
silitolirents on	-|-|-------|-⌫-|
maiz quantli ue nt rezieuna	---|----|-|--⌫--⌫--|----|
h a stiuement s i afoi bla	-⌫-⌫--------|-⌫|----⌫--|
etmeins et pi ez	-|----|-|--⌫-|
quilne poi oent	-|-|-|---⌫---|
si trauilercomil	-|-------|--|-|
quant lagrant febletesentirent	----|-|----|------|--------|
mangier et boiureauue ntre	------|-|-----|-|--⌫---|
offrire nt	-------⌫-|
maiz troplorentfait i euner	---|---||----|---|-⌫----|
poaitrienzgoster	----|----|-----|
cestessamplepuet on	---|-------|---|-|
chacunsfrans h onle doitsa uoir	------|----|-⌫-|-|---|--⌫---|
puetpasau o ir	---|--|--⌫-⌫-|
quifaceho ntea sonseignor	--|---|--⌫--||--|------|
nelis ireztotense ment	-|-|-⌫---|--|----⌫---|
quifacehont e	--|---|----⌫|
ason seriant	|--|------|
d uns in ge ditqui dem and a	|-|-⌫--⌫-|--|--|---⌫---⌫|
aun go lp il quil e ncontra	|-|--⌫--⌫-|-|-|-⌫------|
qu edesaco uelipr e sta t	--⌫|-|-|--⌫-|-|--⌫-⌫---⌫|
lisi ngezdit	-|--⌫---|--|
se meta uiz	-||-|-⌫--|
encera nient de	-|---|----|-|
semeuolez un pou doner	-|-|----|-|--|----|
q uele u osnuista t otaler	-⌫|--|-⌫-|----||-⌫-|---|
ditligol pilz neuosenc h au t	--|-|---⌫---|-|--|-|-⌫-⌫--⌫|
cesterequestene	----|-------|-|
coue quiest granz	---|--|--|----|
nehonorerez u osenfans	-|--------|-⌫-|-----|
cestessam ple p or ceuos d i	---|-----⌫--|-⌫-|-|--|-⌫|
del auer home	-||---|---|
s eilapluzqu eli	-⌫|-||---|--⌫|-|
neueu ts offrircaril	-|---⌫|-⌫-----|--|-|
quea utre enais ene honor	--|-⌫---|-|---⌫|-|----|
ueutperdre chacunior	---|-----|-----|--|
dunli ondit qui uot aler	|-|--⌫-|--|--|--|---|
en a utreter re conuers er	-|-⌫---|---⌫-|-------⌫-|
totezlez bestes asem bla	----|--|-----|----⌫--|
ettotsonerrelor mostra	-|--|--|---|--|-----|
quei l deusent roychosir	--|-⌫|------|--|-----|
carn ecuidoit	--|-⌫|------|
ma i zreue nir	--⌫-⌫|----⌫--|
ni otbestequ inel pri a	||-|----|--⌫|-||---⌫|
que autre lionlor bailla	--|----|---|--|-----|
illorrespo ntquenonfera	-|--|-----⌫-|--|--|---|
uo smeismezdeu ezreg arder	--⌫|------|---⌫-|---⌫----|
quimi auz uos pu issegouerner	--|--⌫--|--|--⌫---|-------|
doncauoientleloup	---|------|-|---|
car ilni otnulsiha rdi	--|-|||-|--|-|--⌫--|
q uiosa prendre sel i non	-⌫-|--|------|-|-⌫|--|
ta ntleten oientafelo n	--⌫-|-|---⌫----||----⌫|
aulion uo ntsil i	-|---|--⌫-|-|-⌫|
auoientleloupeslit	------|-|---|----|
ill o u r resp on tnedoutez	-|-⌫-⌫-⌫|----⌫--⌫|-|-----|
q uecointebestey ontchosie	-⌫-|-----|----||--|-----|
cilestoitsifra ns comil	--|-----|-|---⌫-|--|-|
unechosesecremoit	--|----|-|------|
qu ilnepre i ta	-|-|-|---⌫-⌫||
conse i ller	-----⌫-⌫---|
legopilq ui molt est trichier	-|----|-⌫-|---|--|-------|
a nduisontfelon et engres	-⌫---|---|----|-|-----|
sedel loupuolez	-|--|---|----|
faitez li faire	-----|-|----|
q ue i a maiziorens on uiu ant	-⌫-|-⌫-⌫---|--|-|-⌫-|---⌫--|
nemaniast charnetant	-|------|---|-|---|
lilousauolentiers	-|---||---------|
pluzassezqu	---|----|-|
demand e ́	------⌫-⌫|
meizqua ntilf u t	---|---⌫-|-|-⌫-⌫|
etli lionsenfualés	-|-|----|-|-|----|
granttalent otde	----|-----|-|-|
cha rmangi e r	---⌫|-----⌫-⌫|
pareng inuora por cha cier	--|---⌫-|---|---⌫---⌫---|
d uncau nchaure lpuist	-⌫--||-⌫|------⌫|----|
aconse illi ademandé	|-----⌫-|-||-------|
q uiparamor uoirli deis t	-⌫-|--|---|---|-|----⌫|
de saleineselepuist	-||-----||--|----|
cillirespont qu e si	--|-|------|--⌫|-|
soffrirlapuist	------|-|----|
lilouscefit	-|---|-|--|
mol tcoreci és	---⌫|------⌫--|
p or cez homeza	-⌫-|--|----||
a toz ensemble	|--|-------|
q ueli ugementchacunfera	-⌫--|-⌫------|-----|---|
celui quidita son	----|--|--||--|
hont e etlaide sc eet deshonor	----⌫|-|-----⌫--⌫|-|-------|
cil lidientq uil	--|-|----|-⌫|-|
d o it morir	-⌫-⌫-|----|
ua itlecheurel sais ir	--⌫-|-|------|----⌫-|
a oscis pa rloresgar	|----|--⌫|--|----|
puiz simanialam elorpart	---|-|----|-|-⌫---|---|
porsa feloniecoui r	--|-|------|----⌫|
enfa itausautr esdepartir	-|--⌫-|--|----⌫-|-------|
uneaut rebesteapela	--|---⌫-|----|----|
totautr e tel lidemanda	--|----⌫-⌫--|-|------|
dit li aquepluzsoefodor	--|-||--|---|---|---|
nese n tio nqu e zmaizn ulior	-|--⌫-⌫-|-⌫---⌫-⌫|---|-⌫-|--|
lilousa con seil	-|---||---⌫---|
a sembl é	-⌫-----⌫-|
a cesbar onsademandé	|--|---⌫--||-------|
quild oitfai r epar	-|-|-⌫--|---⌫-⌫|--|
iu gem ent	--⌫---⌫--|
deceliquelitriche	-|---|--|-|-----|
tuiti ugentqu	---|-⌫----|-|
lilousla ta ntotdeuoree	-|---|||--⌫---|------|
et dauan t eauztote	-|-----⌫|---|---|
gai rezapr ez	---⌫--|---⌫-|
que lilousuit ete sgarda	--|-|---|--|-|-⌫-----|
uncingegra set bienpeu	-|----|---⌫|-|---|--|
delui a gr ant	-|--||--⌫--|
mangie r l eue utetdeuorer	------⌫|-⌫|--⌫-|-|------|
a ladem ande r	-⌫-|---⌫----⌫|
desaleine celee stpu anz	-||-----||--|-⌫-|--⌫--|
f umolt sachanz	-⌫|---|------|
e ntreestytantlidit	-⌫---|--|----|-|--|
li lo usquei lfeit	-|--⌫-|--|-⌫|---|
c ar ilne poai t trairea	-⌫-|-|-|----⌫|-----||
sine liuosit fairetort	-|-|-|----|----|---|
e n sonlits enuasi	-⌫|--|--||-|-|-|
lesbestez s	--|-----||
uiegnentuisi ter	-------|----⌫--|
lemal le faitmol tt ormenter	-|--|-|---|---⌫|-⌫-------|
ci auzl ifiren tmige uenir	--⌫--|-⌫|-----⌫|---|----|
por sauoir	--|-----|
cilpeutgarir	|-|---|----|
n ontne troué	|--|-|-----|
eutm aulquelineust	--|-⌫--|--|-|----|
ienayfait il	-||-|---|-|
nuldesirer	--|------|
chardecinge mangier	---|-|----|------|
maizie neue ulbes teadeser	---|-|-|--⌫-|---⌫-|-----|
me serementmes tuet garder	-|-------||--⌫---|-----|
seie n eus etel raison	-|-||---⌫|--|-----|
quelotriasent mibaron	--||--------|-|----|
doncliloien tco munaumen t	---|-|-----⌫|--⌫--------⌫|
queil se facese uremen t	--|-|-|---|--⌫------⌫|
contresoncor s demaul	-----|--|---⌫|-|---|
ilnule garent i r	-|---|------⌫-⌫|
ocistetle mania	----|-|-|----|
puizorentlor i ugement	---|----|--|-⌫------|
ne tintueryaus	-|---|--|---|
nul serement	--|-------|
p orcemostralisag ebien	-⌫-|-|-----|-|---⌫|---|
honne deutpornule	--|-|---|--|---|
felon h ome fairese ignor	----|-⌫--|----|--⌫----|
ne trairele agr anthonor	-|-----|-||--⌫--|----|
ia nega rderaloiaute	-|-|--⌫----|------|
plu zales trang eque apriue	---⌫|||--⌫-----⌫|--||----|
sisedemein eue r sagent	-|-|------⌫|--⌫|-|---|
coufitlilousdes e rem ent	--|--|-|---|-|-⌫-⌫---⌫--|
dunuene or	|-|----⌫-|
uos di ie ci	--|-|-|-|
auoitacuilli	----|------|
parnu le c hanpse n fut li	--|--⌫-|-⌫---||-⌫|--|-|
o uunberg ier seoit	-⌫|-|----⌫--|----|
porsafranchise	--|-|--------|
lerequ ist	-|----⌫--|
qui lmusast	-|-⌫|-----|
etqu ildeist	-|-|-|----|
auueneorquile	-|-----|--|-|
b oisen eta lez	-⌫-----⌫-|-⌫--|
lipas tor ditquesifera	-|---⌫--|--|--|-|---|
desouz safau dele musa	-----|-|---⌫-|-|---|
liuenere zl idema nda	-|------⌫|-⌫|----⌫--|
cecil auoi tle	-|--|----⌫|-|
il lirespontnetsoutoufu	-|-|------|--|---|-|-|
leuaensegnant	-|-|--------|
d oiealer que rant	-⌫--|---|---⌫---|
demetrezqu i lli ens eignoit	-------|-|-⌫|-|---⌫------|
uersl elouz t oziorsregard oit	---|-⌫|---|-⌫-|---|------⌫--|
ce syausr emu er	--⌫|---|-⌫---⌫-|
m eizneporquantl e nfita ler	-⌫--|---------||-⌫|--|-⌫--|
quanti ls enfubi en	----|-⌫||-|-|--⌫-|
al oing né	--⌫----⌫--|
bergierz aulou saimebongre	-------|-|--|--|-|--|--|
t ayansi deliuré	|-|---|-------|
tai le ngueettez	--|--⌫---|-|--|
main z doi gresauoir	----⌫|--|--|-----|
maizti o ildeurie ntmarsiauoir	---|-|-⌫-|------⌫-|----|----|
talen gue ette z main sme	-|---⌫--|-|--⌫|----⌫|-|
medescourirent	-|-----------|
unpoonfuforment	-|---|-|------|
uer soi m ei smez correciez	--|--|-⌫--⌫---|--------|
d e c equ et el uoi z ne n a uoit	-⌫|-⌫|--⌫|-⌫-|---⌫||-⌫|-⌫---|
coma lis ed itaueno it	--||-|-⌫|-⌫-|-----⌫-|
alad eese lem ost ra	|-|-⌫---|-|-⌫---⌫-|
etladameli	-|-|---|-|
sil noutasse z ensa	|-||--|----⌫|-|-|
dontel lauo itsia orné	---|-||---⌫-|-|-⌫----|
de penn ez	-|----⌫-|
quele nauoitfait	-|--||----|---|
autreoy sel	----|--⌫--|
ditlipaon car fort sehet	--|-|---|--|---|-|--|
quil n eset bienchanter	-|-|-⌫|--|---|------|
eleres pont	--|---⌫---|
laymoy este r	--|--|----⌫|
bien t edoit	---|-⌫|---|
ta biaut eso ffire	-|-----⌫|--⌫----|
nanil fait ilbienlepuiz dire	----|---|-|---|-|---|---|
qua ntlirossinolezpe ti s	---⌫-|-|---------|--⌫--⌫|
a melloruoiz ie suiz honi s	|-----|---|-|---|----⌫|
uneberbisout	--|-----|--|
libergierz laign elo sté	-|-------||----⌫-|-⌫---|
aunechieurelebailla	|--|------|-|-----|
quides onlaitb ienlalaita	--|-|-⌫-|---|-⌫--||-----|
el boi z lemeineensemble olui	-|---⌫|-|----|-------||--|
ta n t quilestg rantet p arforni	--⌫-⌫|-|-|--|-⌫---|-|-⌫------|
puizlapelaet	---||----|-|
uade citotmaintenant	-|-|-|--|---------|
alaberbisquiest ta	|-|-----|--|--|-|
etaumotonqui e st	-|-|----|--|-⌫-|
asseztaynorri longuement	----||-|----|---------|
c illires po ndisa igemen t	-⌫-|-|---⌫--⌫--|--⌫------⌫|
auizq uibien doit e stre	---|-⌫-|---|---|-⌫---|
ma merequi meinepestre	-|---|--|----|-----|
miauzquicele quime porta	----|--|---|--|-|----|
etq ui delime desseura	-|-⌫-|-|-|-|-------|
iadi z auintenun pais	----⌫|----|-|-|---|
out conpaignie de	--|---------|-|
zzbretaloita	-|---|----||
parmi le chanpesb anoier	----|-|----|---⌫-----|
lezberb izsanzg arde trou a	--|----⌫-|---|-⌫---|----⌫|
un een osc itsil enporta	--⌫|-|---⌫-|-||-|----|
chacunio r es can sreu enoit	-----|--⌫|-|---⌫|---⌫----|
silez enpo rtoi tet	-|--|-|--⌫----⌫|-|
lez berbis m oltsenco rre n cerent	--|-----|-⌫--||-|--⌫---⌫-⌫-----|
entrauzdirentet c onseil lerent	---|--|-----|-|-⌫------⌫-----|
que nes eu eulent	--|-|-⌫|-⌫-----|
pasdef e n d re	--|---⌫-⌫-⌫-⌫-|
pargr a nt yres ele rontprendre	--|--⌫-⌫-|--|-⌫|--⌫---|------|
ianeseretorneront	-|-|-|----------|
nepour mori rmotne	-|---|----⌫|--|-|
tantate ndi rentle bre t on	---|---⌫---⌫---|-|---⌫-⌫-|
quilnerementforzunmot un	-|-|-|-----|---|-|---⌫-|
qua nts o l le uitparlacanpaigne	---⌫-|-⌫-⌫|-|--|--|-|--------|
nepot muer quilnesenplagne	-|--|---|-|-|-||-|-----|
gra nt leschecefit i l	---⌫-|-------|--|-⌫|
ettro p m aluaizconseil preimez	-|---⌫|-⌫-----|------|------|
etgrant conpai gne e stien z	-|----|------⌫--|-⌫-----⌫|
deffe n dis	-----⌫-⌫--|
enuers cestuiq ui	-----|-----|-⌫-|
o utgran ttort	-⌫-|----⌫|---|
nosasiprize tmis	--||-|---|-⌫|--|
p orcedit lonerepr ouier	-⌫-|-|--|--||----⌫----|
pl us or neseuent	--⌫--⌫-|-|-----|
unsemperer eznorriia	--|-------⌫-|----|-|
u nsingequilf orment	-⌫|----|-|-|-⌫-----|
etlisingebienentendoit	-|-|----|---|--------|
q uenqueau h omez faireueoit	-⌫-----|-|-⌫---|----|----|
coml en perere z se fitseruir	--||--⌫------⌫|-|--|-----|
fe stezli u ittenir	--⌫---|-|-⌫-|----|
com toz letindrentas eignor	--|--|-|-------||-⌫-----|
ala fores tse	|-|-----⌫|-|
mit u nior	--|-⌫|--|
touzlessinges	---|--|-----|
fit asembler	--|-------|
petis etgranzq uil pou t trouer	----|-|----|-⌫|-|---⌫|-----|
sor touzse fitleuer	--|---|-|--|----|
p u izlezretintanse mbleosoy	-⌫-⌫-|--|-----|----⌫---||--|
d e pluso rsfitsez cheua liers	-⌫|-----⌫-|--|--|-----⌫----|
etdez au cans sezesc uiers	-|--|--⌫---|--|---⌫----|
etlezse rianzdesamaisson	-|--|--⌫----|-|-|------|
si li respo nt hastiuement	-|-|-----⌫-|----------|
d esquantso m ez nos siparent	-⌫-|----|--⌫-⌫-|--|-|-----|
d itliasnezmer ueilles	-⌫-|-|----|---⌫------|
autrezbest ezpresezpo y	-----|----⌫-|-----|--⌫|
ui eno moysasuzenc est mo nt	--⌫-||--|-|--|-|-⌫--|--⌫-|
ol ezbestezensembl esont	|-⌫-|-----|-------⌫|---|
etie te feraaparc euoir	-|-|-|---|-----⌫----|
quelezaurontpaourde moy	-|---|-----|----|-|--|
est alez olui	--|---||--|
sor lemontmont entan bedui	--|-|---|----⌫--|--⌫----|
li a ssnezpristachassner	-|-⌫----|----||-------|
laideme nta crier	-------⌫-||----|
quel ezbestez sedepartirent	--|-⌫-|-----|-|----------|
q ra n tpaouron tsis	-⌫--⌫-⌫|----|--⌫|-||
liasnezditastu	-|----|--|-|-|
liarespondu	-||-------|
ce nest miepo r taue rtu	-||--|--|--⌫|-|--⌫--|
maiz por lecriqui est espoent able	---|--|-|--|--|--|-------⌫---|
que tui tte	--|---⌫|-|
tin entpordiable	---⌫--|--|-----|
lorg uellors	|---⌫------|
qui par menace et par	--|--|-----|-|--|
croitque nuslos ast	----|--|--||--⌫--|
haut parler	---|-----|
uns l ionsfu	--|-⌫---|-|
m olttr auailie z	-⌫--|--⌫-------⌫|
enunegra ue c e stcochiez	-|--|---⌫-||-⌫-|------|
moltfutmaladez a	---|--|------||
lez bestez fist	--|-----|---|
a soyuenir	|--|----|
c aril uolo itsed it c hosir	-⌫-|-|----⌫-|-|-⌫-|-⌫----|
mei nz peutchacier	---⌫-|---|------|
uiande porchacie r	-----|---------⌫|
un ezetautres si mandoit	--⌫-|-|-----|-|------|
oscitet deuoro it	----|-|------⌫-|
le gopilfuauecalez	-|----|-|---|---|
horsd e lagra uees tarestez	---|-⌫|-|---⌫-|--⌫|------|
deznouel l ezuoloitoy r	--|-----⌫-⌫-|-----|--⌫|
il uositaua ntuenir	-|----|---⌫-|----|
sitsiesgarda	--|-|------|
i reementli deman da	-⌫------|-|-----⌫-|
porquo i ne	--|---⌫|-|
ueutuen i rauant	---|---⌫-⌫|----|
le gopil li respontatant	-|----|-|------||---|
sirefa it ilni os e ntre r	---|--⌫-|-|||-|-⌫----⌫|
be st eneuoi retorner	--⌫--⌫|-|--|-------|
lacorf auroy est es eme nt	-|---|-|--|--|--⌫---⌫-|
tie usy entre	---⌫-||----|
le gier ement	--⌫----⌫----|
mieuzl iuaudroitplu zloin zester	----|-⌫|-------|---⌫|----⌫|----|
porleznouelleze scot e r	--|--|-------|-⌫----⌫-⌫|
cinosconted un	-|--|----||-|
que un uileinpris ta conpa ignon	--|-|-----|----⌫||-----⌫----|
en treauzconterentlorparage	--⌫--|--|--------|--|-----|
siparlerent delo rlignaige	-|--------|-|--⌫|-------|
li lio nsdit f ilz su ideroy	-|---⌫-|--|-⌫--|--⌫|-|--|
fitliuilein z ui enoreomoy	--|-|------⌫|--⌫-|--||--|
enzzmur son t anduiuenu i	-|-|--|---⌫|----|----⌫|
illuc a li lionz ueu	----||-|----|--|
desuz lap iereu nepointure	----|-|-⌫---|-⌫-|-------|
co mzz uileinparauenture	--⌫|-|-----|--|-------|
hac he osc itunlion	---⌫-|---⌫-|-|---|
siapela sonconpa ignon	-|----|--|-----⌫----|
quifitceste	--|--|----|
semblanceci	--------|-|
fit li li ons	--|-|--⌫--|
tost l em e	---|-⌫|-⌫|
zzhonsfitli uileinz	-|---|--|-|------|
o cezeng in zeto	|--|---⌫--⌫|-||
li uil einz uat si len	-|---⌫---|--|-||-|
chate l quel emperereza	-----⌫|--||--------||
an si aui ntquaic el	--⌫-|---⌫-|-||--⌫-|
auoientil iugié	------|-|-----|
unbaron quil ot	-|----|-|-|-|
pro uezestoitde	---⌫--|-----|-|
sifitgeterason lion	-|--|----||--|---|
ten sotes tezgardez	---⌫|-|--⌫--|-----|
cortenchaynez	---|--------|
loscitesn el epas	|----|---⌫--⌫---|
onqueznegar daarmenedraz	-----|-|---⌫-|---|-|---|
lilionza tantsen depar	-|----||---||-|----|
etliuil einz	-|-|---⌫---|
quilipartar	--|-|--|--|
l andezse naleren t	-⌫----||-⌫|------⌫|
unautreli ononcontrerent	-|----|--⌫-|-----------|
a celui di tqu	|----|--⌫|-|
ilfa itdesroy	-|--⌫-|-----|
quil meinne leuileinosoy	-|-|-----|-|-----||--|
quisetlafoseaparai llier	--|--|-|---|------⌫----|
ouilporroienttrab uch ier	-|-|--------|----⌫---⌫--|
autresifirentsi	------|-----|-|
ia l ocirra c illiconsen t	-||-----||-|-|------⌫|
lilio ns ditquil segard at	-|---⌫-|--|-|-|-|----⌫-|
l eso fferoit quil l e	-⌫|--⌫------|-|-|-⌫|
car estomoiuenu ssa	--|--||--|----⌫|-|
liuilei nz loit si l	-|-----⌫-||--|-||
molt parlen	---|--||-|
s etseditbon gre	-⌫-|-|--|--|--|
l iade mandé	-⌫||--⌫-----|
s ilisemloi tcomeinzout fe t	-⌫|-|------⌫|--|---|--|--⌫|
d itl iuilei nzautr emen t uet	-⌫-|-⌫|-----⌫-|----⌫----⌫|--|
ieuosdii bienditli lions	-|--|--|---|--|-|----|
ainz qu en os fuisienz conpaignons	---|--⌫|-⌫-|-------|----------|
tu memostraz	-|-|------|
unepeinture	--|-------|
sorunepierredauenture	--|--|-----||-------|
ia tabien p uiz	-|||---|-⌫--|
euure mostré	----|------|
a descouer las egar dé	|-------||-|----⌫--|
p ar c e steessample	-⌫-|-⌫-⌫--|-------|
u eutaprendre	-⌫--|-------|
quenuznedoit nientatendr e	--|--|-|---|----|------⌫|
afabl ezquison tde	|----⌫-|--|---⌫|-|
m eson ge s	-⌫----⌫--⌫|
nepeinture quisemblesong e	-|-------|--|-----|----⌫|
ch ame lsichu alcha	--⌫---⌫|-|---⌫----|
autrecon tree	----|---⌫---|
doncc es t lapuc epo rpencee	---||--⌫|-|---⌫|--⌫------|
siamerciélechamel	-||------|-|-----|
q uisso ef dedens	-⌫-||--⌫-|-----|
l auoitensembleo lu i por tee	|----|-------||--⌫|---⌫--|
iamaizparli	-----|--|-|
po r so n tr auai l leseru ir oit	--⌫|--⌫|--⌫----⌫|-|----⌫--⌫--|
moltuolentierscelep ooi t	---|---------||--|-⌫---⌫|
lichamelliarespondu	-|-----|-||-------|
de lic harc g iez ne fu	-|-|-⌫----⌫-⌫--|-|-|
n enes outqu el efut	-⌫|-|-⌫--|-|--⌫|--|
ansi uat dela	---|--|-|-|
pour e gent	----⌫|---|
seasrichezon tap ris e ment	-|-|-----|--⌫|--⌫---⌫-⌫---|
formentlezcuidentcor recier	------|--|------|---⌫-----|
damai gefaire etmolt chargier	-----⌫-|----|-|---|-------|
d u ncriquetconte lamanie re	|-⌫|------|----|-|-----⌫-|
qu ide zquaune	--⌫|--⌫--||--|
ente nsd i uer esto italez	-|--⌫-||-⌫--|----⌫-|---|
pora uentureenzestentrez	--|-⌫------|--|--|-----|
la uiandede mandaetquit	-|-----|--⌫----|-|---|
car nenau o it nientce d it	--||-|--⌫-⌫-|----|-|-⌫-|
maison nensonre cet	-----||-|--|--⌫--|
ast u donc	-|-⌫|---|
quant tu deuse z gaaign er	----|-|-----⌫|------⌫-|
enaoustet toiporchacier	-|----|-|--|---------|
iech antafait	-|--⌫---|---|
iletdedui z	-|-|-----⌫|
asautrezbe stez	-|-----|--⌫---|
maiznetruiz	---|-|----|
qui meuoille	--|-|-----|
gueredoner	---------|
porcemest uetens i a ler	--|-||---⌫--|---⌫|-⌫--|
ditli formizch ante	--|-|-----|--⌫---|
parcelefoique	--|---|--|--|
miuez futquetutepor chasassez	----|--|--|-|-|---⌫--------|
elmoiz d aoust etg ua ignassez	-|---||----|-|-⌫--⌫-------|
quetufuisse zde froitmorant	--|-|------⌫|-|----|-----|
amonhuisuiande qu erant	|--|---|-----|--⌫----|
po r quo i te donraa mangier	--⌫|---⌫|-|----||------|
qu etua moin e puezaidier	--⌫|-||--|-⌫|---|-----|
porced effentque nulne	--|-|-⌫-----|--|--|-|
en non chaloir	-|--|------|
n enois d iue	|-|---⌫-⌫--|
s elon c cequech acunsdoitf aire	-⌫----⌫|-|--|--⌫----|---|-⌫---|
sedoi tpener	-|---⌫|----|
debien atrai re	-|---|-----⌫-|
pluzest c hierscilqui aque	---|--|-⌫----|--|--||--|
quesa l a utruisedoitatendre	--||||-⌫----|-|---|------|
ansiauintque unecorneille	---|----|--|--|--------|
sali suiz le do sdune oaill e	---|---|-|--⌫||--|-----⌫|
lafiertdurement	-|----|-------|
sa lainel i os tea premen t	-|----|-⌫|--⌫-|-⌫------⌫|
la berbi sli a dit porquoi	-|-----⌫|-||--|--|---|
ch euaucheztuensi	--⌫-------|-|---|
sifer azbien	-|---⌫-|---|
sieteunepiecesurle chien	--|-|--|----|--|-|----|
sif a i aluisicomam oi	-|-⌫-⌫||--|-|--||-⌫-|
dit lac orneille	--|-|-⌫-------|
ne t estuetmie trauilli er	-||-----|--|--------⌫-|
doiezen seign er	----|--⌫-----⌫-|
i esuip iesato teen seignee	-⌫|--|-⌫---|--⌫-|--⌫------|
tantsu i sage	---|--⌫|---|
e t tantsui	-⌫|---|--|
biensaisorcuiiedoiseoir	---|--|--|--|-|--|----|
puiz rema n oir	---|----⌫-⌫--|
porce nos m ost r esanz	--|-|--|-⌫---⌫-⌫|---|
qu ecestuoir quele	--⌫||--|---|--|-|
s ages dit	-⌫---|--|
pargrantessample et p a rre proche	--|----|-------|-|-⌫-⌫|--⌫-----|
qu ebiensetchatqueb erbe l eche	--⌫|---|--|---|--|-⌫---|-⌫---|
bien sapa r soitlienuoisie z	---||---⌫-⌫---|-|--------⌫|
il puetauoirsorpiez	-|---|----|--|---|
u n srichez honcheuaucho it ia	-⌫-⌫|-----|--|---------⌫-|-|
chanp siesgarda	----|-|------|
ouyycerf ansemble parloient	-|-|---|-------|--------|
siestroiteme n t c onseil loient	-|----------⌫-⌫|-⌫------⌫-----|
com cilfuisent	--||-|------|
entregrantgent	----|----|---|
ue rs euss enua deliurement	--⌫-|--||-|-|----------|
demandalorpo r quelmestier	------|--|--⌫|---|------|
iluoloi entsicons eillier	-|-----⌫--|-|----⌫------|
quant nulhomep rez d i auz na uoit	----|--|---|-⌫--||-⌫--||-⌫---|
lo rparole noioit	--⌫|-----||----|
li unz resp ondi au seignor	-|--|----⌫---|-|------|
qu i nauoi entnulepaor	-|||----⌫--|---|---|
puiz lo r sem bloitenuoiseure	---|--⌫|---⌫----|---------|
qui l parloientpartelme su re	-|-⌫|--------|--|--|--⌫--⌫-|
cefont linonsachant	-|---|-|--|------|
