soignorsorescoutezque	-------|-|-------|--|
mafi leflo r ete aucleruis	-|--⌫-|---⌫-⌫--|-|---|--|
siredi tfloouanzdemerci	---|--⌫|-------|-|----|
ensusd ece chatell a	----|-⌫|-|-----|-⌫|
traitied un	------||-|
otplantéz z uergierque	-|------|-⌫|------|--|
anuirons clous a murs	-------|----||---|
lai moin entlore schac	--|----⌫--|--|-⌫----|
flo ouanzet urbansia ntementle	---⌫----|-|-----|--⌫------|-|
anniotnusqui moltne san	--||-|--|--|---|-||-|
m augalie ast ausestreslafilelamiraur	-⌫------|--|--|-----|-|---||------|
auecques le	-------|-|
florotefile	------|---|
leroi da usai	-|--||-⌫---|
maugal iefutfiere qui premiere	------⌫-|--|----|--|-------|
car pl aus ta mao nquilesegle est ora	--|--⌫---⌫||---⌫|--|-|----|---⌫--|
c e soudoiiersde f rancequipro uzest etloiaus	-⌫|---------|-|-⌫----|--|---⌫-|--|-|-----|
quimeutprisseafanm e	-|||--|-----||----⌫|
amoilier principe l	|------|--------⌫|
si me teni st mespere s li	-|-|----⌫-|--|----⌫|-|
richesamir aus	-----|----⌫--|
donr o it d eterreromenieneuaut	----⌫-⌫-|-⌫|----|------|-|---|
dam eceditfl orete	---⌫|-|--|--⌫----|
uos auez tropgr antchaut	--|---|---|--⌫--|----|
ilestdroiz apaien q uant s afanme prise	-|--|----||----|-⌫---|-⌫|----|----|
queil latene tantqueelleanp renerai	--|-|-|---|------|---|---⌫------|
puisanpanra i	---|-|-----⌫|
ainso i sq u elianzpart	-----⌫-⌫--⌫-⌫|-|--|---|
maonm ozneq uiiai le	-----⌫-|-|-⌫-|--|-|
maonmotla nostre	------|-|-----|
ne ua udrai	-|--⌫----|
quantl antant	----||-----|
maugali e durem ant lapesai	-------⌫|-----⌫--|-|----|
porma foida moisellemoltsont	--|-|--|--⌫-------|---|---|
u ilains u osgas	-⌫-----|-⌫-|--|
naip asancorzzmoisuosparlates	|-|-⌫-|----|-|---|--|-------|
ieuosuialacourt monpere l a miraul	-|--|-||-|----|--|---||-⌫-----|
a yytrestote conmunaul	|-|-------|--------|
chac unspor zzdenierconm efanmeuenaul	----⌫--|--|-|-----|----⌫|----|-----|
damece dit fl orote`uosmedi tesg r ant	---|-|--|--⌫----||--|-|--⌫--|-⌫-⌫--|
que ma iez dit ne	--||-⌫--|--|-|
saraimoins loiaus	----|----|-----|
s esa rraz ins	-⌫|--⌫----⌫--|
mepristrentoncn	-|--------|--||
orent enmoi par	----|-|--|--|
tind renty yiors eschapa i	----⌫---|-⌫|---|-------⌫|
l orau quart	-⌫-|-|----|
fernaguu ostre frereporfoumeachetai	------|-⌫----|----|--|--|-|------|
uis mortgit erporlou copdunuasail	--|---|---⌫-|--|--|--||-|-----|
uostredrucuis ocire esco rfan de	-----|---|--|----|----⌫---|-|
oruolezceluipanrequiocisles uosa i	-|----|----|----|--|---|--|--|-⌫|
sife riésuosyysi	-|--⌫----|--|-|-|
fu st quiuos	--⌫-|--|--|
dahez aitquiuoscr oitnequiiai	----|--|--|--|--⌫--|-|--|--|
formentsecontralien t	------|-|----------⌫|
adec aiet dela i	|---⌫-|-|----⌫|
iai uenisent a nsa nble	--|-------|-⌫---⌫---|
quan lonles	---|--|--|
desse urai	-----⌫---|
li roisflo redausai	-|---|---⌫-||----|
f lo ouantapela i	-⌫--⌫----|-----⌫|
ga rdez mo i cechatelt anque ie	--⌫---|--⌫|-|-----|-⌫----|-|
pui s uosdon raimafile	---⌫|--|---⌫--|-|---|
que iai nedemor ai	--|--|-|-----⌫-|
sireditfloouanz isicon	---|--|-------|--|--|
uosp laira i	--|-⌫-----⌫|
orsanua ilirois floresson	-||-|--⌫|-|---|-----|--|
es chac an me n ai	--⌫---|-|--⌫-⌫-|
et safilelabellee t	-|-|---|-|----|-⌫|
da me dex lesconfundequiloumon de estora i	--⌫--⌫--|--|-------|--|--|---⌫-|------⌫|
puismu rentf loouant	---|--⌫---|-⌫------|
teldoeletsigrantmal	--|---|-|-|----|--|
isico n u osorezsela chan con	--|--⌫|-⌫-|---|-|-|----⌫--|
mauda ranzetmaud airessontglot ons	-----⌫---|-|----⌫----|---|----⌫--|
bra izabrazs eson t pr is	---⌫-||---|-⌫|---⌫|--⌫-|
aunepar son traiz	|--|--|--|----|
freredit mauda r anzuneriens ted i rai	----|--|-----⌫-⌫--|--|----|-|-⌫-⌫--|
ne in pa sce	|-⌫-|--⌫|-|
so u d oier mastogorleerra i	--⌫-⌫-⌫---|--|----|-|----⌫|
larges es tdedoner	-----|--⌫|-|----|
et uarsalet	-|-----|-|
t uitnostre ho me le seruentli	-⌫--|-----|--⌫-|-|------|-|
s il prantnos treserour	|-|----|---⌫--|-----|
cha uz sumes	---⌫-|----|
aulonsal amiraurbatisonlitelplait	-----|||------|------|-|--|----|
cha r tr ele gietpuisnann i tr aiiemais	---⌫-⌫--⌫|-|---|---||--|-⌫--⌫-|-----|
fr ereceditmaudoireia neuos a nfaudrai	--⌫--|-|--|-------|-|-|--|-⌫|------|
sepuisma serou rpandre anze nz z fe u l	-|---|-|-----⌫|-----|--|-⌫|-⌫|--⌫||
etrichiereturb amau uamancr oerai	-|------|-|---⌫-|-|--|----⌫----|
seign o r orescoute z	-----⌫-⌫|-|-------⌫|
faitespaiz	-----|---|
sifa i tetraisom	-|--⌫-⌫-|------|
nefut n eiamaisn	-|--|-⌫|-----||
nemas forsi udasqui annotson	-|--|---|-⌫---|--|--|-|--|
quidamede uuan di	--|------⌫|---⌫-|
por son maula nconbrie r	--|--|---|-⌫--------⌫|
maud er a nzetm audoiress ont	----⌫--⌫-⌫-|-|-⌫-------|-⌫--|
cuuers losoigie r	-----|--------⌫|
auserain dela	-|-----|-|-|
lune pristr ent au cheuachier	---|------⌫--|-|---------|
auecausnanmenerentforsqueyy	---|--||-|-------|------|-|
etsontuenuzaba s me ainzque	-|---|----||--⌫-⌫-|------|
li s oroz liet	-|-⌫---|---|
laitrou ai	--|----⌫-|
lamiralgalienzleuis	|-----|------|-|--|
so st asanblerde	|-⌫-|-------|-|
lai antl auersier	-|-⌫--||-------|
nunsnan saitaconter les	---||-|---|------|--|
canznelesmi l i ers	---|-|--|--⌫-⌫-⌫--|
ma uder anzetsesfrere sli sontuenuz a pie z	--⌫----⌫--|-|--|-----⌫|-|---|----||---⌫|
lesouleret la cha ucelia est roitbai s ié	-|-----|-|-|---⌫--|-||---⌫---|---⌫-⌫--|
lor dema nde quiestes ch euali er	--|----⌫--|--|----|--⌫-----⌫-|
sireditmaudaranz nelou	---|--|--------|-|--|
uos quiern oier	--|----|-⌫---|
fizsumesleroif l ore qui sefitb atisier	--|----|-|--|-⌫-⌫--|--|-|--|-⌫------|
nostrep ere	-----|-⌫--|
estdeaublesnepou onsauoier	--|-------|-|---⌫--|-----|
ainzaimand é	---|-|----⌫-|
anfranceyy	-|-----|-|
nouai ssoudoiiers	-----⌫|---------|
iliai zz cuuertqui t ant	-||-|-|-----|--|-⌫--|
pors efa itfier s	--|-⌫|--⌫-|----⌫|
fernaguuostrefizuos oc itauant	------|-----|--|--|--⌫-|----|
saic onqu ise tafil emaugal ie auuis	|-|-⌫----⌫--|-|---⌫|------⌫-|-|--|
lado ineapanre	-|--⌫---|----|
a ne amoilier	|-||------|
ainzsois l a uot don er	-------|-⌫|--|---⌫-|
az zson escuier	|-⌫|--|------|
n an uosimes le plaitgraerneo utroiier	|-|------|-|----|----|-|-⌫-------|
amoomnos tre	|---|---⌫--|
deun osueno sau oier	--|-⌫-|----⌫|--⌫---|
baronsditl	-----|--||
amiraus molt fa ites a	------|---|--⌫---||
neperdrasde uo terresuailesantzz	-|------|-|-|-----|--------|-|
aizau rezdela	--|--⌫--|-|-|
moie yychataisanfi er	---|-|------|-|--⌫-|
l amiraux en	|------|-|
apalepinarle des faé	----|----|-|---⌫---|
faitemoima on motdeuant moiaporter	----|--|--⌫--⌫--|-----|--|------|
et ci lli re spondirentsiconuosconmandez	-|--⌫|-|--⌫---------|-|--|--|--------|
desui s y ycolomeslefirent amener	-----⌫|-⌫|------|-|-----|-----|
li uila insfut	-|----⌫--|--|
moltg rosetparfonz etcarré	---|-⌫--|-|------|-|-----|
depl u sfinor desra befutfor giez	-|--⌫-⌫|--|-||----⌫-|--|---⌫---|
conmedamean gecin e	----|---|-|-----⌫|
fut bienancortin ez	--|---|--------⌫-|
aus ililut late s te	---⌫|-|--|-|--⌫-⌫-|
conmec ierge	----|-⌫----|
mauda ranz et	-----⌫---|-|
m audoire s lison tapie zaul ez	-⌫-------⌫|-|---⌫||---⌫|---⌫-|
ai maonmotsire iaestesuoss iber	-|------|---|-|----|--|-⌫|--|
iaineporaigresilier ne u anter	--|-|----|--------|-|-⌫----|
nosne pouons gari rsan	--|-|-----|----⌫|--|
lauostrebonte	-|-----|----|
douroiflorenop ere uenonsa uosparl er	--|--|----|-|-⌫--|-----||--|----⌫-|
dou b a rnaig e d efran ce ue nonsauos parler	--|-⌫-⌫-----⌫|-⌫|----⌫-|--⌫---||--|-----|
zzgra n tbatonaor liaiou	-|---⌫-⌫|----||-|-|-|-|
yysarazinss	-|-------||
an lieuen t qui tuitliont	-|------⌫|--|---|-|--|
a imaonm otsirece droit	-⌫|-----⌫-|---|-|----|
lo rece u ez	-|----⌫-⌫-|
enuostreme rc i sont	-|-----|--⌫--⌫|---|
quant pandreleuorez	----|-----|-|----|
lai o tzzsarazin	--|-⌫|-|------|
qu i otn oniacobe	--⌫|-|-⌫-|-----|
to tuazet totc henu car	--⌫|--|-|--|-⌫---|--|
yyanzotpassez	-|--|-|-----|
delaloimaonmontfut	-|-|--|-------|--|
si ar g umant ez	-|--⌫-⌫-----⌫-|
et sisoutdes e s toiles et	-|-|---|--|-⌫-⌫-----|-|
doucou rsdel ame r	--|---⌫-|-|-⌫|--⌫|
si lortrait lessarmonzagr a nz festesan uez	-|--|----|--|------||--⌫-⌫-|-----|--⌫--|
delaloim ao nmot	-|-|--|-⌫--⌫---|
etd ap olin lor	-||--⌫---|--|
il ui ntanterre porloupouple sauuer	-|--⌫-|-|----|--|--|-----|-----|
barons ditlicuuersamo i ann	-----|--|-|-----||--⌫|--|
maonmozno stresires	------|--⌫---|----|
estmolt g antizet bers	--|---|-⌫----|-|---|
ce droi tqueuos	-|----⌫|--|--|
lifaitesanrespitlimetez	-|-----|-|-----|-|----|
dec iqueyy m oisqueil soitporpansez	---⌫---|-|-⌫--|--|-|---|--------|
sepouez b ienser uir	-|----|-⌫--|---⌫--|
iainiert doudroitparler	--||---|--|----|-----|
il u o s man ra ianpor sirustefirte	-|-⌫-⌫|---⌫--⌫|-|--|-|----|----|
soz ledemonmartr euos fer ai	--|-|-|--------⌫|--|---⌫-|
pan reostel	---⌫-|----|
maudarnazserai roisetforsrois coro nez	--------|----|---|-|---|---|----⌫--|
etresp ontlicuersde	-|----⌫--|-|----|-|
folieparlez	----|-----|
semessires	-|--|----|
mebaile y yferarmez	-|----|-⌫|-------|
ia neseraaincoisdemen lisoirs pase z	-|-|---|------|----|-|----|----⌫|
quouchatel auen antli ferai	-|-|-----|----⌫--|-|----|
pare ostel	---|----|
lesfr anc ois lir and rai quimoinent te l fierte	--|--⌫---⌫--|-|-⌫---⌫--|--|------|--⌫|-----|
barons ditlamir ausuosanauréasez	-----|--||----⌫--|--|-|----|---|
orescoutezseignours oezde	-|-------|-------||--|-|
de maud oir eson	-|----⌫---⌫|--|
frere et fizleroifloram	----|-|--|-|--|-----|
lamira uslor bailai yy mile per samz	|-----⌫-|--|-----|-|---|---⌫---|
t otenuitont er ré alalunelu sant	-⌫--|---|--|--⌫--||-|---|--⌫---|
etuin drent	-|---⌫----|
auchatelai nzsoislaube aparant	-|-----|--⌫-----||---|------|
etimi drentl or	-||--⌫----|-⌫-|
homes enzzpetit	----|-|-|----|
maudar anz etm a ud oiresensontaulezauant	------⌫--|-|-⌫-⌫--⌫---||-|---|----|----|
e t dient auport ier yymozan xxx	-⌫|----|-|----⌫--|-|--|-|--|
portiersouure la	-------|----|-|
p or telai	-⌫--⌫-|--|
nos an tre rleanz	--|--⌫---⌫|----|
li po rt iers siuitlanboi chem ant	-|--⌫--⌫---|-|--||-----⌫----⌫--|
d es auberz etde s	-⌫-|-----|-|--⌫|
elmes etdescheuauscoranz	----|-|--|------|-----|
liportiers l orr espontqui n es toit pasanfant	-|-------|-⌫-|-⌫-----|--||--⌫---|--|-----|
glot onsestezari eresniantreroz noiant	----⌫--|----|---⌫---|||-------|-----|
quant len tendimaud oireapon epe rt	----||--⌫----|----⌫---||-|-⌫|--⌫-|
ourecuuerslaporte iasuisie maudaranz	---|-----|-|----|-|---|-|--------|
etmes freresmaudoirese t fiz	-|--|-----|--------|-⌫|--|
l ero ifloram	-⌫|--⌫|-----|
au soudoiersdefranceuolonsparler leanz	-|--------|-|-----|-----|-----|----|
deshuimatinal	--|--|----|||
aub ea uonsesplo it é t a nt	---⌫|-⌫---|-----⌫--⌫-|-⌫-⌫-|
demai n iron sabasmemouoi rto rnoiemant	-----⌫|----⌫||----|-----⌫|--⌫--------|
se paienss	-|-----||
anisoientmontnos	-|------|---|--|
sanble roitg a nt	------⌫---|-⌫-⌫-|
liportiersfitque fousquiles	-|-------|--|--|---|--|--|
laisea ntreranz	----|-⌫----|--|
iliperdil atest en	-||----|-⌫|----⌫||
ioutdemo rtgarant	|--|-|--⌫-|-----|
mau daranzlicopaia lespeetr ainch ant	---⌫-----|-|----|||----|--⌫-----⌫--|
lat este an	-|-⌫---|-|
sor lepontmetenant	--|-|---|-------|
lip o r tiersfitqu efousquilor	-|-⌫-⌫-⌫----|--|--⌫|---|--|--|
ourilapor te	---|-|---⌫-|
il iperdil a	-||----|-⌫|
te steenzquellefutreclose	--⌫--|----|---|--|------|
entr e zsunt anzporforceant re	----⌫-⌫|---|--|--|----|---⌫-|
lui et maudoire	--|-|-------|
del ostefloo uantet a richier qui	-||---|----⌫---|-||------|--|
aforceapoest eont	|----||-----⌫|--|
prisi es lesportes	-----⌫-|--|-----|
sore lorsunt coruz	---|--|---|----|
ameruoilo useforce	|--------⌫--|----|
et pristrent f loouant quinelorpout	-|--------|-⌫------|--|-|--|---|
lespo inzl ion t liez est roitaune corde	--|--⌫--|-⌫|--⌫|---|---⌫---||--|----|
floouantont les portesprisiez	-------|--|--|-----|------|
sorelisont	---|-|---|
coruzpluxde	----|---|-|
yy mili ers	-|----⌫--|
floouantont	-------|--|
s aisicor o c ouse tirez	-⌫---|---⌫-⌫-⌫--|-⌫|---|
a forscorde s	|---|-----⌫|
li ont les poiz e stroit lie z	-|--|--|---|-⌫-----|---⌫|
ric hiers iutd autreparten z zlitantailié	---⌫----|--||----|---|-|-⌫|--|--------|
quant uitson seignor	----|--|--|------|
panremon tanfut corocie z	----|---⌫|-|--|-------⌫|
ilaprisune lance	-||---|--|----|
qui gisoitasonchi ef	--|-----||--|---⌫-|
firt zzroisarazin qui liestap ru c hiez	---|-|--|------|--|-|--|--⌫--⌫-⌫---|
quetotl aiporfanduentre ciqu elbrai er	--|--||-|-------|-----⌫---|-|----⌫-|
pu isan ocitzz aut requi mol tfutfozet	--⌫-|-|---|-|---⌫-|--|---⌫|--|--|-|
richi ers uitlagrantpressedes cuu ers	-----⌫--|--|-|----|-----|--|---⌫--|
ilaisa si io ousequiesto ita son chief	-|-|--⌫-|--⌫---|--|----⌫-||--|----|
uenuzaumurssis est	----|-|---|-||--|
aualglaciez	---|------|
cele nuitsanb oichaialalun e	---|---||---⌫-----||-|---⌫|
richierssest e n boichiéenzzbruletfoilu	-------||--|-⌫-⌫-------|-|-|-----|----|
mauda r anzetmaudoi resetli	-----⌫-⌫--|-|------⌫--|-|-|
roismau queruz	---|---⌫-----|
lefizleroi de fra nce	-|--|-|--|-|---⌫--|
leue rent surzzmul	----⌫---|--|-|--|
l espiez li ontliezetlesmains	-⌫-|---|-|--|---|-|--|----|
qua ntil ontmaugalie	---⌫-|-|--|-------|
orcheuauchentpaiensaquiiai	-|----------|-----||--|--|
san moinentfloouantdolantet irascu	|-|------|-------|-----|-|-----|
deslarmes desesiauz l e rminequ	--|-----|-|--|---||-⌫----|-|
anest trestozm oiliezet libliausdesuis	-|--|------|-⌫-----|-|-|-----|-----|
tandremantuaipl orantetsop iremenu	---------|--|--⌫----|-|---⌫--|---|
parde u baus sirep erestor	--|--⌫|---|---|-⌫---|--|
i emais ne	-⌫----|-|
me uaurassedexnefaituertu z	-|-----|-|--|-|---|-----⌫|
er ichiersiantis	|-⌫------|-----|
bers f izio ceraml ed u c	---|-⌫-|--⌫----|-⌫|-⌫-⌫|
ie maisporuostre	--⌫---|--|-----|
corsnes a irase cor uz	---|-|-⌫-⌫--|--⌫---⌫-|
tant cheua uchentpaie n s	---|-----⌫-----|----⌫-⌫|
quabam e sunt uenuz	-||---⌫|---|----|
quifut ue rz sont apie	--|--|--⌫-|---||--|
etti ndren t floouan tpo rl erminquot	-|--⌫-----⌫|-------⌫|--⌫||----|-|-|
por lesdegre z	--|--|-----⌫|
de mabresont	-|----|---|
ou palaisuenuz	-|-----|----|
maudar anzetmaudoire sli	------⌫--|-|--------⌫|-|
cuuerslosoingniers	-----|-----------|
porlesdegre zdema bremonterentouplainchi e	--|--|-----⌫|-|--⌫--|--------|-|--------⌫|
et trouent deper sielamiraul galiien	-|------|-|---⌫--||------|------|
amiraus de p ersieorsoies	------|-|-⌫----|-|----|
bausetliez	---|-|---|
lefranc oist e ra ndonsq ues tant	-|-----⌫--|-⌫|--⌫----|-⌫|-|---|
outrequdiez	----------|
berca ranfaitioti se silico p e	--|--⌫|-|---|----⌫-|-|-|--⌫-⌫|
quantl ami rauslentan tonquesnef utsiliez	----||---⌫---||-----⌫|-----|-|-⌫-|-|---|
sesm ainsen	--|-⌫---|-|
atanduesco ntramon t uer s le ciel	|------|--⌫-------⌫|---⌫|-|---|
ahima onmot siremontpar ieste s pr isiez	--|--⌫----|---|---|--|-----⌫|--⌫----|
homesapalelicuers renoi ez	----|----|-|----|-----⌫-|
f a ite smoi unesfor ches des or cepui drecier	-⌫-⌫---⌫|--|---|---⌫---|---⌫-|-|--|------|
si pandronsce fra ncoisquan tnos	-|-------|-|---⌫----|----⌫|--|
ar ons mengié	--⌫--|------|
quantla n tantmaug a lie s il a nprist	----||-⌫-⌫---|----⌫-⌫--|-⌫||-⌫|----|
grantp iti e	----|-⌫---⌫|
au chatelauen ant	-|-----|----⌫--|
li otili amestier	-|-|-|-⌫|------|
amirausdepersi ecart e laisconse lier	------|-|-----⌫|--|-⌫|---|-----⌫---|
decia yyd izzzr espit lor done z	---||-|-⌫-|-|-⌫----|--|----⌫|
qu aurezmandezuos homes uostr ear rierebanfier	-|----|-----|--|----|-----⌫|--⌫-------|---|
f eroi ziotise uoiant y y cheuali er	-⌫----⌫|-----|-----|-⌫|-------⌫-|
fil e di t	---⌫|--⌫|
lamirau smontfaites	|------⌫|---|-----|
totcequ e uosmedit esdoi	--|-|--⌫|--|-|---⌫-|--|
ie bienoutroier	-|---|-------|
la chartrelailefait trabuc hier	-|------|--|-|---|------⌫---|
a ietcalou resdonestmon t esmaie z	-⌫|-|-----⌫--|--|--|---⌫|------⌫|
s oreli sontcoruzconmechiensanr a igie z	-⌫--|-|---|----|----|-----|---⌫-⌫----⌫|
ilneremansi t	-|-|-------⌫|
miequ e ilnefutmengiez	--|--⌫|-|-|--|------|
masli berss	--|-|---||
idesfant azz	|------||-|
picon dacie r	----||----⌫|
que sarazinsiorentoblié	--|-------||----|-----|
etla isié	-|--⌫----|
lai sonsde floou antquinaipasle	---⌫---|-|-----⌫--|--||-|--|-|
sidirons de richie r	-|-----|-|------⌫|
c onmantaiesploitié	-⌫-----|-|---------|
totenuit aieuenzzbrul otf oilié	---|---||--|-|-|----⌫-|-⌫-----|
deci alandemainque il	---|||-------|--|-|
dutescla rier	--|-----⌫---|
que li bersse	--|-|---|-|
re drocequil ecour ot	--⌫----|--|-⌫|---|-|
quemaudaranz l esotsi anginez	--|--------|-⌫-|-|-|------|
defloouant	-|-------|
s onm aitre qui amortestiugie z	-⌫-|-⌫----|--||---|--|-----⌫|
i n esocit dedoeletde pitie	|-⌫||---|-|---|-|-|----|
uai detor danz	--|-----⌫---|
ligantizcheualier	-|-----|--------|
iustrichiersenzoubois uerdeant	---|-------|--|-|---|-------|
uit le ch atel ardoir	--|-|--⌫---|-----|
etle palaisplusgrant	-|-|-----|---|----|
unsetunsreuersatozl esmo rz por	--|-|--|------|--|-⌫-|--⌫-|--|
sauoirsei ltrou atson seig nour	-----|-|-⌫|----⌫-|--|----⌫---|
q ua n tilnepout t roue rmoltpa r a n	-⌫--⌫-⌫|-|-|---|-⌫----⌫|---|--⌫|-⌫|
antreles autr estrouedan	----|--|----⌫-|----|--|
urbanlaulemant	----||-------|
n auré pormile corsdeyyespiez troi chant	-⌫----|----|-|---|-|-|-----|----⌫----|
quantrichierslaiueu m oltpora n	----|-------||-|--|-⌫--|--|-⌫|
futd o lanz	--|-⌫-⌫---|
d ema nd elinouelles delanfa ntfloouant	-⌫---⌫--⌫|-|-------|-||----⌫-|-------|
paienslanont	-----||-|--|
m enéc eli aiditurbans	-⌫---|-⌫|-|-|--|-----|
adon csest esta nduz l arme san	----⌫||--|----⌫---||---||-|
adamedeudouciel lou roi omni potan t	|------|--|---|--|--|----⌫-----⌫|
aiconm andee	-|----⌫----|
richiers qu i molt es frans	-------|--⌫|---|-|----|
puisanuintabiaufo rtaincoistierce	---|-|---||------⌫-|------|-----|
liroisestoitmon te zs orzzmulet	-|---|-----|---⌫--⌫|-⌫-|-|----|
aumou stier sainu i nc am	-|---⌫----|---|-⌫-⌫--⌫-|
lors s e st oit rega rdez	---||-⌫--⌫--|----⌫---|
to t c ontr auaulzzchan	--⌫|-⌫---|----|-|---|
et uituenirrich i er corocous	-|--|----|----⌫-⌫-|-------|
etdo lan t	-|--⌫---⌫|
ench emiseetan	-|--⌫----|-|-|
br aiessespeepaumoiant	--⌫---||----|--------|
quantli roislaiueuancontreuai errant	----|-|---||-|--|-------|--|-----|
si liaideman déconliest	-|-|-|-----⌫--|--|-|--|
sirec editric hiersc e rtesmauuaisemant	---|-⌫|--|---⌫----|-⌫-⌫---|-----------|
nosonttraili	--|--|---|-|
glotons sod uanz	------|---⌫---|
quiontars ton	--|--|--|--|
ch ateletocisetantgant	--⌫---|-|----|---|---|
ets a razin san moi n entmonseignorfl oouant	-|-⌫-⌫-----⌫|-|---⌫-⌫--|--|------|--⌫-----|
quantl anta ndi rois a pou dire	----||----⌫--|---||--||--|
yyfo izse pauma ide susle	-|--⌫-|-|-----⌫|--⌫--|-|
mulan blant	--|--⌫----|
che uzaterresene	---⌫-||----|-|-|
fuse ntsa gant	----⌫-|-|---|
quan tentandiliroisdeses	----⌫|------|-|---|-|--|
fizl es deaubl es	--|-⌫-|------⌫-|
quio ntar schatelet ocistso n	--|-⌫-|--⌫|-----|-|----|--⌫|
a hi cuuersfa itilporcoilepansates	-⌫-|-----|--⌫-|-|--|--|-|-------|
a d a med eumanpla inetaubaron	|-⌫-⌫---⌫-||-|---⌫-|-|-|----|
saintiaque	----|----|
etatoz les	-||--|--|
sa inzdeu quiiotisemanfacent	--⌫--|--|-||-----||-|-----|
onquesmai snedit chosequiplux	-----|---⌫|-|--|----|--|---|
futueritauble	--|---------|
car pu is lora nnauintuneh ontes imaule	--|--⌫-|--|-⌫-|----|--|-⌫---|-⌫|----|
conme uos m ore zdire sel a	----|--||---⌫|---|-|-⌫|
chancon sdure auques	-------⌫|---|-----|
lidiausfutanla uile mirabile s et	-|----|--|-|-|---|--------⌫|-|
mas desortouz lesautre slemoinentla	--|----|---|--|-----⌫|-|------|-|
o u qu e eluitric hierdouce mant l anapal e	-⌫-⌫--⌫|-|--|---⌫---|-----⌫---||-|----⌫|
con mantuosestfait e l le	---⌫---|--|--|---|-⌫-⌫-|
cheualierde bonaires	--------|--⌫-------|
es tdons prisfloouanz a la c o lornouele	--⌫|---|---|-------||-|-⌫-⌫--|-----|
l emoilour cheualierq uio ncmontast an sale	-⌫|------|--------|-⌫-|-⌫-|------|-|---|
ditrichiersil nepoust	--|-------|-|-|----|
orau l est re	-|--⌫|---⌫-|
cenosontfaituosfre res li	-|--|--|---|--|---⌫--|-|
glotons deputaires	------|---------|
qui toznosont	--|--|--|--|
uanduza lami raulde perse	-----|||---⌫---|-|----|
masporicelapostreque pelerinsre quierent	--|--|---|------|--|-------|--⌫-------|
entr eciaz zmoisancuip and rele stestes	----⌫--||-⌫|---|-|--|-⌫---⌫-|--⌫|-----|
richier sditl a puceleans intan	-------⌫|--|-⌫|-----|---⌫--|-|
puis ilest re	---|-|---⌫-|
auec luilanmenaien z zcelie r	---|--||-|----|-|-⌫|-----⌫|
sor t erre	--|-⌫---|
etpuis lai	-|---||-|
reues tu dun paile	-----⌫-||-|----|
debister ne	-|------⌫-|
la puc elelidone	-|---⌫--|-|---|
zzaube rtet zzai elme	-|----⌫-|-|-|--⌫---|
etzz escumon t	-|-|---|---⌫|
bondom ao rsont lesserres	--|--||-⌫|---|--|-----|
et ioieuses	-|------||
espeeunenouelle ab erge	----|--|------|--⌫---|
etune nouesale	-|--|---|---|
richiersan	-------|-|
merciailaco rtoi sepucell e	------|-|--⌫----⌫-|------⌫|
qu ant ilfut adobez lorsuo sitil b ien	--⌫--|-|--|-----|---|--⌫--|-|-⌫--|
la iou floouanz erta la	--⌫|-|-------|--||-|
col ournouale	---⌫--|-----|
li roisfut anlauilequ i	-|---|--|-|-|---|--⌫|
moltestoi tirez	---|-----⌫|---|
etces quimai nsanfuntlorentpl us	-|--|--|---⌫-|-|---||----|--⌫-|
totlais i é	--|----⌫-⌫-|
il ont laué l or	-|--|----|-⌫-|
mains as issontaumain g ier	----|--⌫-|---|-|----⌫-⌫--|
masliroisnem engastporl es ma nbrestren chier	--|-|---|-|-⌫-----|--|-⌫-|--⌫----|----⌫----|
nerichiers ligantisn iuoton questochi er	-|-------|-|-----|||--|--⌫---|-----⌫-|
a inzfit fairesonlit si s	-⌫--|--|----|--|--|-||
estaulez couchier	--|----|-------|
dormitmie porlesmanbresxx x	-----|--|--|--|------|--⌫|
aincois p lore etregrate	------|-⌫---|-|------|
son s eign our dro iturier	--|-⌫----⌫--|---⌫------|
a hita nt mari fute snobil esch eua lier	-⌫-|--⌫-|--||----⌫|-----⌫-|--⌫---⌫---|
or an niraian francecoroc ous et ir i e z	-|--⌫|---|-|-----|-----⌫--|-|--⌫-⌫-⌫|
zzpelan susmon colcon autres	-|--|--⌫--|--|--|--|-----|
pau tonie rs	---⌫-----⌫-|
encontremoiuanron tduc et co nteetprinciers	-------|--|------⌫|--|-|--⌫--|-|--------|
ces dames cespucelles	--|----|--|-------|
gantismo i lliers	-----|--⌫-⌫-----|
anparere soleuiai refier	--------⌫||-|----⌫-|---|
deman der ai no uell esdeson filq ui	-----⌫---⌫-|--⌫----⌫-|-|--|--|-⌫||
ai ch ie r	-|--⌫--⌫|
las que porai iedire anquelliu	--|--|----|-|---|-|---|--|
lai lais i é	|-|----⌫-⌫-|
iene saraicreu zque nelaie	-|-|----|----⌫|--|-||--|
ma sporicel apostreque	--⌫|--|---|------|--|
dexaifo rm ant chie r	--|-|--⌫--⌫--|----⌫|
ainzmelair ai feriryycous anzouchief	---|-|----⌫-|----|-|---|--|-|----|
quefloouantnetru ise	--|-------|-|---⌫--|
monseignou r droituri er	--|-------⌫|--------⌫-|
richiersselieueetchaucedex le pout co nsoilier	-------|-|----|-|-----|--|-|---|--⌫-------|
uestu l a ubert et ailerme lacié	----||-⌫----|-|-||---|-----|
puisai cintelespeeau	---|-|----||----|-|
po ind oranta ilié	--⌫-||-|----⌫----|
