deu nmutanc ienlai bretun	-|-⌫|--|---⌫--|--|-----|
ainzque e liducsense ite iss uz	------|-⌫----||-|--⌫-|-⌫---⌫-|
est a sadam e	--||-|---⌫|
tutlicunt aquiloi	--|-|----⌫|-|-|-|
la dolur la noisee	-|----|-|----||
cumfetsis s iresenlerm itage	--|--|--|-⌫---|-||---⌫----|
ele enmua tutsun curage	--|-|--|--|--|-----|
di tsempresirums	--⌫|------|----|
erm itagecer c hirums	---⌫----|---⌫-⌫-----|
mis sire s dit ceo quideerrer	--|----⌫|--|--|----|----|
al ac urt uet al r eiparler	|-⌫|-⌫--|--|-|-⌫-|-----|
lihermitesf um ort	-|-------|-⌫|-⌫--|
ieosaiasez	--|--|---|
mesia purliceonefereit	--|-|--|-|--|-|-----|
netel dolurne demerreit	-|--|----|-|--------|
acelefei zlelai tissi	|---|---⌫|-|---⌫|---|
celiurmemesapresmidi	--|--|----|----|---|
uaiteliducparleral rei	---|-----|-----|-|--|
eleprent leu adleto dse i	--|----|-|-⌫----|-⌫|--⌫|
alermitage lad mené	||-------||-|----|
quant enlachapele estentré	----|-|-|------|--|-----|
litalapucele	--||-|-----|
queresemb lotr osenu uele	--|------⌫--|-⌫--|--⌫---|
delcouert urladdescoueri	--|------⌫-||-|--------|
euit le c or s tant escheu i	|--|-|-⌫--⌫|---|------⌫|
lesbrazlung sblanches les	--|---|----⌫|-------|--|
e lesdeizgreilleslungsepleins	|--|---|-------|----||-----|
oreseitele laueri t e	--|---|--|-|----⌫-⌫|
pu r queisis	--⌫|---|--|
siresad duelmené	----|-|---|----|
leuadletauan tapelat	-|-----|----⌫|-----|
elamer ueille limustrat	|-|---⌫-----|-|------|
ue iz tu fe t ele cestef emme	--⌫-|-|--⌫|--|----|-⌫---|
quedeb eut e resemble gem me	--|-|-⌫---⌫|-------|---⌫-|
amiemunseignur	---|--|------|
pu rqueiilmeineteledolur	--⌫|---|-|----|---|----|
pa rfeiieoneme	--⌫|--|--|-|-|
merueilmie	------|--|
quantsibele femmeestperie	----|-|---|----|--|----|
tant parpit etantparamur	---|--|---⌫|---|--|---|
iames nauerai	----||-----|
ioien uli ur	---|-⌫-|-⌫-|
el ecumencet aplurer	--⌫|-------||-----|
e la meschiner egret er	|-|-------|-⌫-----⌫-|
deuan tlel itsasist plurant	-----⌫|-|-⌫-||----|------|
u nemusteileuintcu r ant	-⌫-|-------|---|--⌫-⌫--|
desu zlaute r e stei teissue	-|--⌫||----⌫|-⌫----⌫|-----|
eleuadl e t l au eitferue	|-|----⌫-⌫||--⌫--|----|
quesur le corspassa	--|--|-|---|----|
d e un bast unquil tintlatua	-⌫|-|----⌫-|-|-|---|-|--|
enmi leire l aueit getee	---||---||----|----|
ne demura keunelo ee	-|-----|-|--|--⌫-|
quant sac u mpaine	----|-|-⌫-⌫-----|
si uitlapla ce u	-|--|-|---⌫-||
enturlatesteliala	----|-|----|-|--|
edelpies uuentlamarcha	|--|--|-⌫----|-|-----|
quant ne lapot	----|-|-|--|
semblantfeseit	-------|-----|
ded oel mener	-|-⌫--|----|
delach apeleesteit eis sue	-|-|--⌫----|-----|---⌫--|
ash erbesest	-|-⌫----|--|
albo isuenue	-|--⌫-|----|
odses denza d priseune flur	-|--|---|-⌫|----|--|---|
tutedeuermeil le colur	---|-|-------⌫-|----|
hastiueme ntre ueit arie re	---------⌫-|--⌫---|----⌫-|
ded enzlabuche e nteumanere	---⌫--|-|----|-⌫|--|-----|
asacumpaine	|-|-------|
laueit mise	|----|---|
queli uadlezaueitoc ise	--|-|-----|----|--⌫--|
fureuescue	-|-------|
ladamelad aparceue	-|---||-|-------|
aluadletc rie retienla	-|-----|-⌫--|-----|-|
getezfranch ummemar	----|----|-⌫---|--|
eil g etasilaferi	|-|-⌫--|-|-|---|
quelaflore tlichei	--|-|-----⌫|-|---|
ladame lieuesila	-|---|----|-|-|
ariereuahastiuement	-----|-|----------|
deden z la bu chea	-----⌫|-|--⌫--||
meteit la flurquetant	-----|-|---|--|---|
un pet i tetidemurra	-|---⌫-⌫--||------|
celereuint esu spira	---|-----||--⌫----|
apresparlalesoilzoueri	----|----|--|---|----|
eletan taidor mi	--|---⌫|-|---⌫-|
quantladamel	----|-|---||
d eucum encat	-⌫-|---⌫----|
dem and el ikiel e est eit	---⌫---⌫|-⌫|-|--⌫|---⌫--|
elam eschi nelidiseit	|-|-⌫-----⌫-|-|-----|
dameio suidelogres nee	---|-|--|-|-----|--|
filleaun reidelacuntree	----||-|--|-|-|------|
mutaiaméun che u alie r	--|-|---|-|---⌫-⌫----⌫|
eliducleb onso ud eer	-----|-|-⌫-|--⌫--⌫--|
ensemb leod luimenamena	------⌫-|-|--||-|----|
p echeadfetk il	-⌫---|-|--||-|
m en ginna	|--⌫----|
femmeotesp usene l	----|-|---⌫--|-||
neunc se mblant ne me nf ist	-|--|--⌫-----|-||-⌫|-⌫--|
quantde safemmeoipar ler	----|-|-|----|-|---⌫--|
de due lke oim estuetpaumer	-|---⌫|-|-||-----|-----|
uileinementdescunseillee	----------|------------|
made nautreter elaissee	|-|-⌫|----|---⌫|------|
tr ahimadn e saiqueideit	--⌫--||-|-⌫|--|---|---|
mut e st fole quehummecrei t	--|-⌫-|---|--|----|----⌫|
beleladamelirespunt	---|-|---|-|------|
n adr ien uiuanten tut	|-|-⌫--|-----|-|--|
queioiel ifeist aueir	--|---|-⌫|----|----|
ceo uuspeot	--|--|---|
humme direpuru eir	----|---|--|-⌫--|
ilquide ke u usseez morte	-|----|-|-⌫-|---|----|
amerueillesedes cu nfort e	|--------|-|---⌫--⌫-----⌫|
chescun iuruus	------|--|--|
adregardee	-|-------|
qu iluus troua pasmee	-|-|--|----|-----|
iosu isa spuse uereiment	-|--⌫|-|----|--------|
li munquordol ent	-|--|---|---⌫--|
pur ladolurquil menot	--|-|----|-|-|----|
saueiruoleie u	-----|-----||
apresluiuien c	----|--|----⌫|
siu ustrou ai	-|-⌫-|----⌫-|
q ue ui ueestesgranti oi eenai	-⌫-|--⌫-|----|----|-⌫--⌫|-|-|
ensem b leodme iuusenmerr a i	-----⌫-⌫-|-|--⌫|--|-|----⌫-⌫|
eauostre amiu usrendrai	||-----|--|-⌫-|------|
deltutle uoil qui te clamer	--|--|-|---|---⌫-|-----|
esifer aimunchef ueler	|-|---⌫-|--|---|----|
ladamecon for tee	-|---|---⌫---⌫--|
qu eensembleo dl uilenad menee	--⌫|-------|-⌫|-⌫-||-|-|----|
sun u alletadapp areille ́	--|-⌫----|-|---⌫-------⌫|
e pur sunseignurenu eié	|--|--|------|---⌫---|
tanterratcilquil letr oua	---|----|--|-|-|-|--⌫--|
a uenant mentle sa lua	-⌫------⌫---|-|--⌫--|
lauenturelidite	|-------|-|--||
suruncheualeliducmunt e	--|-|-----|-----|----⌫|
uncn i atendi cumpainun	--|||-----|--------|
lanuit reuinta	-|---|-----||
quantuiue adtroueesamie	----|---|-|-----||---|
duc ement sa femme	---⌫----|-|----|
mut paresteliduc ha itiez	--|--|--|-----|--⌫----|
uncnul iurn efusilie z	--|--|--|-⌫|-|-|---⌫|
la puc elebaise su uen t	-|---⌫--|----|--⌫---⌫|
eele lu i mutducemen t	|--|--⌫|--|-------⌫|
ensemblefuntioie mu t grant	-------|---|---|--⌫|----|
q uantl adameuit	-⌫---|-⌫|---|--|
l ursembl ant	-⌫-|-----⌫--|
sun seignur ad a reisun mis	--|------|-||-----|--|
cungeliadr ouéequis	----|-|-|-⌫---||---|
queelepuisse de li partir	--|--|-----|-|-|-----|
nuneinuoltestr edeuseruir	-----|---|----⌫|--|-----|
tereli dointpartie	---|-|----|-----|
fac euneabeie	---⌫|--|----|
celeprengequil eimetant	---|-----|-|-|---|---|
karn estp asbien ne	--||--|-⌫-|---|-|
de deu s esp usesm eintenir	-|---⌫|---⌫---|-⌫-------|
nela leine l dei t	-|-|--|-||---⌫|
cunse ntir	-----⌫---|
ebonement cu nge doné	|-------|--⌫--|----|
uolunte fera	------|---|
edesatereli durra	|-|-|---|-|----|
chastelein zelb os cage	------|---⌫|-|-⌫--⌫---|
alachapeleal	|-|------|||
he rmitage	--⌫------|
laad fetferesunmuster	-|-|--|---|--|-----|
se smeisunsedifier	--⌫|------|------|
grantter eimete	----|---⌫||--||
grantaue ir	----|---⌫-|
b ien iauerat	-⌫--||-----|
sunestu ueir	--|----⌫---|
quant tutadfetbienaturner	----|--|-|--|---|------|
l a damei fets un	-⌫|---||--|-⌫-|
chiefuel er	----|---⌫-|
tre nte nuneinsensemb leodli	---⌫--|------|------⌫-|-|-|
a mie ad prise	-⌫--|-|----|
agrant honu ro dbelseruise	|----|----⌫|-⌫|--|------|
enfu laf est edeme ne e	-|-|-|-⌫---⌫|----⌫--⌫|
aueitespusee	----|------|
ensem bleuesquirentmeint iu r	-----⌫--|---------|----|--⌫|
mut ote ntr eeus pa rfit	--|-|-⌫---⌫|--|--⌫---|
gran zaumoines eg ranz biens	----⌫|-------||-⌫---|----|
tant q ue a deusecunu ert ire nt	---|-⌫-||--|-|----⌫---⌫---⌫-|
presdelch asteldelautrepart	---|--|--⌫----|-||----|---|
par grantcunseil eparesga rt	--|----|------||--|----⌫-|
uneeglise fistelidus	--|-----|---|-----|
desa ter eimis t	-|-|---⌫||---⌫|
esuna rgent	|--|-⌫----|
mist eautregent	---||----|---|
d emutbone religiun	-⌫|--|---|-------|
pur tenirlordre e lame isun	--|----||----||-|--⌫---|
aueitappareillé	----|----------|
nen ad puis guerestargé	|-|-|---|-----|-----|
e n sembleodeussedu nee rent	-⌫-⌫-----|-|--|-|--⌫-||---|
purseruirdeuomnipotent	--|-----|--|---------|
ensembleod safemmepre mer e	-------|-|-|----|---⌫---⌫|
mist sa f emmeque t ant ot chere	---|-|-⌫---|--|-⌫--|-|----|
e le lareceutcumesas erur	-⌫-|-|-----|---|-|-⌫---|
e mut liporta	|--|-|----|
gran tho nur	----⌫|--⌫--|
d edeuseruirla monesta	-⌫|--|-----||-⌫------|
e sun ordreli enseign a	|--|----|-|-------⌫|
deupriouen t purlurami	--|-------⌫|--|--|--|
feistbonemerci	----|---|----|
eil pu relesrep reiot	|-|--⌫|---|---⌫----|
ses mes sa geslurenueiot	--|---⌫--⌫--|--|------|
pursaueircument	--|-----|-----|
lur estei t	--|-----⌫|
ecumchescun e s e	|--|-------⌫|-⌫|
cunforteit	---------|
mutsepenac hescunpursei	--|-|---|-⌫-----|--|--|
amer parbonef ei	---|--|---|-⌫-|
e mutfirentb elefin	|--|-----|-⌫--|--|
lame rcideu le ue irde uin	-|--⌫--|--|-|--⌫-|--⌫--|
del auentured e cestreis	-||-------|-⌫|--|----|
liauntien bretun curteis	-|------|-----|------|
f irentlelai p u r	-⌫----|-|--|-⌫-⌫|
r ememb rer	-⌫-----⌫--|
quehum ne ldeust pas	--|--|-||----|--|
