S eignurs oi	-⌫------|-|
fetile s t tutdefae z	--|-|-⌫-⌫|--|-----⌫|
Enuers Hornsonseig nur enest tut	-----|---|--|----⌫--|-|--|--|
Pur c ̧ok e·l	--|-⌫-|-⌫--|
chas tiaid eluisuidef iez	----⌫---|-⌫|--|--|---⌫--|
anuitm us t pristut fu is se	----||--⌫|---|--|--⌫--⌫-|
desmembrez	---------|
Tutenuit a i erréke guarnif u issez.	---|---|-⌫|----|-|-----|-⌫-⌫-----|
MeisHunlaf qu a nt l oitmult	---|-----|--⌫-⌫-||--|---|
enfudesmaez	-|--|-----|
Nepurq u a nt	-|--|-⌫-⌫-⌫-|
sic ump oet	-|-⌫-|-⌫--|
ad gu arnisacitez.	-|--⌫---|-|-----|
Çocumfeten lursaltn e n	--||-|--|-|--|---|-⌫-⌫|
adgueres durez	-|-----|----|
simaneitdela	-|-----|-|-|
genta plentez	---||------|
Siil al kes isuntiluiurerunta lastet	-|-|--⌫--||---|-|--------||-----|
EWikle bi enle	|----|--⌫-|-|
soutsi sestplus ha stet	---|-||--|---|--⌫---|
Laest tutd reituenuze	-|--|--|-⌫---|----||
si·sad aseget.	---|-|------|
Purlauerkil	--||---||-|
adtantsiadtantgr antbarnet	-|---|-|-|---|--⌫--|-----|
Kils e t ene nt odluisiluntfet	--|-⌫|-⌫---⌫-|-|--|-||--|--|
Deusmessages adprist al	---|-------|-|----|-|
reiadenue ́ét	--|-|----⌫---|
Ki llido inge tRigmel	|-⌫|-|--⌫----⌫|-----|
oduiscolur et	-|--|-----⌫-|
lui –u il ert	--|||-|--|
EquantHunl afl oitsi	|----|----⌫-||--|-|
senestcun seilliet	|-|--|---⌫-------|
Esuncunseilli ditkil n en	|--|------|-|--||-||-|
homsuzcielsa Horn	--|--|---|||---|
n eus tnunciet.	|---⌫|-------|
C elnese tilcumen tHorn i s e tiaalet	-⌫-|-|--⌫|-|-----⌫|---||-⌫-⌫|-|---|
Pur ç otri usadprisdeske un iornumet	--|--⌫|---⌫-|-|---|----|-|--|----|
Çofut axu iorsne lenfud	--|--||-|---|-||-|--|
plus don et.	---|---⌫--|
SiHorn uiententrit ant siertle	-|---|----|------⌫--|-|--|-|
pla if ine t	---⌫|-⌫---⌫|
S ialt erm e ne uientsirendrala citet	-⌫|-|-⌫---⌫|-|----|-|-----|-|----|
de ames parzlep lai	-|---|---|-|-⌫--|
tutgra nt et.	--|---⌫--⌫--|
Nioutdement eresun	||--|------⌫---|-|
poi nttret	---⌫-|---|
Nedenznedeforsni outhomeble scet.	-|---|-|-----|||--|---|---⌫----|
De uskipur reita cunterle do lq u	--⌫-|-|---⌫---|-⌫-----|-|--⌫|-⌫|
E[n] tant beleRi gmel	---|---|---|--⌫---|
od leuis coluret	-|-|--|------|
Ne[n]purr eitremembrern ulsagecle r c lettret .	|---|----⌫--|--------|-⌫-|---|---⌫-⌫|-------⌫|
adso uentditque Hornsest obliet[f.22a]	-|--⌫---|--|--|---||--|------------|
Meselenesaue itpointc umil	--|--|-|----⌫-|----|-⌫-|-|
s e st aprestet	|-⌫-|-------|
E cumeuendrat al ior kil	|---|------|-|--|--|
lu r fudterminet–	--⌫|--|-------||
Sele seustdeueirneust pas tan	|--|----|-|---||---|--|--|
Qua ntuenu zestle iorqueasis	---⌫-|----⌫|--|-|--|--|---|
lu resteit	--⌫|-----|
ReiHunlaffudpensis– ede	--|-----|--|-----|||-|
çosi out dreit–	--|-|--|----||
Quedeueitme inteni rquantdanHornne	--|-----|--⌫------⌫|----|--|---|-|
seshomes faill eit	--|----|-----⌫--|
outdel agen t dedenzagrant	--|-|-⌫|---⌫|-----||----|
Elireise rtpitu soscirene·suolei t	|-|---|-⌫-|----⌫|-----|---|-----⌫|
çosacitezrendre luiastuueit	--|-|----|-----|--|-------|
altresoc urs	----|---⌫--|
se nne·l ue it.	--⌫|---|--⌫--|
Purçol adfetouur[ir]e Wikle	--|--||-|--|-------||----|
Silili uratR igme lkigran t	-|-|--⌫---|-⌫----⌫|-|----⌫|
dolfes ei t .	--|---⌫--⌫-⌫|
I l laprist u olen tirscar Hornpointn e cremeit	-⌫|-|----|-⌫----⌫---|--|---|----|-⌫|------|
Bien quidad qu il fustmortmessisquorsn	---|-----|-|-|---|---|--|--|----||
Pus ladmeneeamuster kier[t]	--||-|----||-----|-|----|
desaintBeneit .	-|----|------⌫|
Lie ueskedel	-|-⌫----|--|
liulemuster[.. .]	--|-|-----|-||-|
ÇosacezkeW iklemultseglurifieit	--|----|-|-⌫---|---|-|---------|
Kiloutcumqui s	|-|--|------⌫|
telgentetelfame pernei t.	--|---||--|---|------⌫-|
Mes R i gmelfeseit dolelur ema ldiseit	--|-⌫-⌫---|-----|--|||--⌫|--⌫------|
Ke leunkesfud neee k ele	|-⌫-|----|--|--|||--|
tantuiuei t.	---|-----⌫-|
Mesqueldol	--|---|--|
k elefei staWikle	|--|---⌫-||----|
n e chal eit	-⌫|----⌫--|
Parmitrestutsundol ses nuces	--|-|------|--|--|--|----|
furni sseit	-----⌫----|
Eodchire ria ntealmaingierseseeit–	|-|----|---⌫--|-|-------|-|----||
M esil nesoutdeueir cumi lse	-⌫-|-|-|---|-|---|--|-⌫|-|
Sisfreres s e n isse it kine·spoet asgarder	--|-----||-⌫|----⌫-|-|---|---|-------|
cheual c urantsen	-----|-⌫----||-|
Si[la]p eustde	-|---|-⌫---|-|
Hornoirriennoueler	---|--|---|------|
Equant il estuen uzuitlaflo tesigler	|----|-|--|---⌫-|--|-|---⌫-|-----|
Bienconutparle strefskeço ert H orn li	---|----|--|--⌫|----|-|--|--|-⌫--|-|
Ilne suntgue res	-|-|---|---⌫--|
luinpres s untdele riu er.	---|---|-⌫--|--|-⌫---⌫--|
aten irepur el splushaster	----⌫-||--|--⌫|---|-----|
Siestmisen zalnoe r	-|--|--|--⌫|-|---⌫|
car si·s uoltencuntrer	--|---|---|--------|
Si sestuer s	-||--|---⌫|
Hornhastetpurnouele	---|-----|--|-----|
creintdeperi rtantfie tal	-----|-|----⌫|---|---⌫|-|
destrier.[f.22b]	---------------|
E quant Horn	|----|---|
fetsa bar ge ieter	--|-|---⌫-|----|
Esi ad dit assonsCisthom adgrant	|-|-|--|-|---|---|--|-|----|
mesti er .	-----⌫--⌫|
Ioirraicontre	-|----|-----|
lui noue l esdem ander	--|----⌫-⌫-|---⌫----|
Esiadnulbosoig si	|-|-|--|-----|-|
lui uol draiaid er.	--|---⌫---|---⌫--|
A t antietent b atelspar	|-⌫--|-----|-⌫----|--|
tutlimariner	--|-|------|
Euersterr es en	|---|----⌫||-|
uu nttantcommepoentnager.	--⌫-|---|----|----|-----|
Celuco illuntaels p rese stdel	---|--⌫-----||--|-⌫--|-⌫-|--|
M esqua ntilfude nz	-⌫-|---⌫-|-|--|-⌫-|
treit ilnedo nastun	----|-|-|--⌫---|-|
mustré aH ornlemal	------||-⌫--|-|--|
elencumbrer	||--------|
K e s isfrere sa dfet aRigmela luis cler	-⌫|-⌫-|-----⌫|-⌫|--||-----|-⌫|--|---|
Si lipri et purDeu	-|-|---⌫-|--|--|
enalttostuei nger	-|--|---|---⌫---|
trouerat iaseantasu nma inge r	-------|-|----||--⌫|--⌫----⌫|
Uil se fetseruirdepie mente deuin	|-|-|--|-----|-|---⌫---||-|--|
Edan Hornlirespont	|--|---|-|------|
cu rr uscer	--⌫--⌫----|
[ Ce rtesi	|--⌫---||
i serr a ii a si	|----⌫-⌫|-⌫|-|
iepussuniugler]	-|--|--|------|
[Unlaibretunlif raiodmespeede	--|--|-----|-|-⌫--|-||----|-|
N ertpaslacitéloinuHunlaf fud	|--|--|-|----|---||-----|--|
Horniuol tora ler tuta piéacest	---||---⌫|-|-⌫--|--||---||---|
Centco mpaignu[n]smenatke mults untde ualor.	---|--⌫----------|----|-|---|-⌫--|-|-----|
Harpe sportent asquan z	-----⌫|------|------⌫|
uieles liplusor	-----|-|-----|
Çouoltsi reHornkil sei ntiugleor.	--|---|--⌫-|---||-|---⌫-|-------|
Forshalb ersu ntuestuz d u nt gr an t ert[ la	---|----⌫--|-⌫-|-----|-⌫-⌫-|--⌫--⌫|--|-⌫-|
Elurchapes desusde	|--|-----|----|-|
di uersecolor	--⌫----|----|
Lurdursbranz cei n tasl ez	--|---|----|---⌫-⌫|-|-⌫-|
cu muassal dered dor	--⌫|-----|-|---⌫--|
Iaturn eruntlaioie	-|----⌫----|-|---|
Wiklee nd olor	----|-⌫|-⌫---|
E lu rcha un zk	|--⌫|---⌫--⌫||
ilfirent f inerun t	-|-----|-⌫------⌫|
en tristor .	-|-------⌫|
uengeraHo rnde sunmalt raïtur]	------|--⌫-|-|--|--|-⌫-------|
Kiluol tpartirde l uie deRigm ell	--|---⌫|-----|-|-⌫-||-|----⌫-||
Issideit auenir tuz ior s	---|---|-----|--|---⌫|
C ar unc ben ne finat kitr i chat sun seignur	-⌫-|--|--|-|----|-|--⌫-⌫---|--|------|
En ces tuipurrezbien estre esper mentor.	-|---⌫--|-----|---|----|-----⌫------|
A lportersu n tuenuzprient	-⌫|-----|--⌫-⌫|----|-----|
Killeslestent rersusalpa lais	|-|--|---|---⌫--|--|-|--⌫---|
Siertparl ur dedu itliseruiseforç or.	-|--|--|-⌫-|----⌫-|-|------|-----⌫--|
Asquansseuent arperasquantsuntroteor	------|-----|----|------|---|-----|
Telsiadkidechantsunt	---||-|-|-|----|---|
sibonch a[n]teo r	-|--|--⌫-------⌫|
Iaki· so ra tch ant e rnese	-|---⌫|-⌫--⌫|--⌫---⌫-⌫|-|-|
tendratd eplor.[ f.2 2c]	------|-⌫|------⌫---⌫--|
Pa rfeidist li porter telsnad	--⌫|--|---|-|-----|---||-|
[ Su s cel n ad nobles	-⌫--⌫|--||-|-----|
hoemquideteusnait	---|--|-|---||--|
Oreen trezbelsamis ian ercc unt r edi tor.	--|--⌫---|---|---|-||--|-⌫---⌫-⌫---⌫---|
Mes iduncentrat	--|----|-----|
Hornelison baldement	---||-|--|--------|
KeaW ikleeas sons	-||-⌫---||-|---|
feruntiatelpr esent	-----|-|--|--⌫----|
Duntsetend r u nt tut matcur eçus	---|-|----⌫-⌫-⌫-|--|--|---⌫----|
Unkesanecesn enou tnul peü r	----||----||-|--⌫|--|----⌫|
iug l ement .	---⌫-⌫-----⌫|
Elpalaissuntentréuenentalpaueme nt	-|-----|---|-----|-----|-|------⌫-|
ue ientWikleseeralplus haltmande ment	--⌫---|----|---|-|---|---|-----⌫---|
Iustebele Rigmelki	----|---|-----|-|
laf aceresplent	-|-⌫--|-------|
Lorsse [n]ma ris t d anHorn–e	---||-⌫--|--⌫---⌫|-⌫-|---|||
cel iruse ment.	--|-----⌫----|
Lesch a pes sache nttostqui lorsunt muscement	--|--⌫-⌫--|-----⌫-|---|--|--|---|--------|
Par leiresuntchaitde sco lpsli estrument	--||---|---|----|--⌫|--⌫--|-|--------|
Car nelurchaltquelpar t –	--|-|--|----|---|---⌫||
nul d e ls curen en pre nt.	--||-⌫-|---||-|---⌫--|
Eshalberssuntrem istretsuntli	-|------|---|---⌫-|---|---|-|
b ran ttre[n]chent	-⌫---⌫|----------|
P arcesta bles sen uuntseruir les	-⌫-|--|--⌫---||-|---|-----|--|
Tut d elkede	--||-|-|-|
mestrep iement	-----|-⌫-----|
Ka[r]nulnie st at eintkeneseit fet	----|--|||-⌫-|--⌫---|-|-|---|--|
K e parWiklesauutu seitdesagen t	-⌫|--|----||---||---|-|-|---⌫|
M es la gentreiHunla fcil unt	-⌫-|-|---|--|-----⌫|--|--|
e sparneme nt.	-⌫--------⌫--|
EHo rnuetu ersWikl emane sçant	|--⌫-|--|-⌫--|----⌫|----⌫-----|
multf orment	---|-⌫-----|
Tel lui don atalchiefketre stut	--|--|---⌫-|-|----|-|---⌫---|
Puslad fetforssacher	--||-|--|---|-----|
cumunmastinpullent	--|-|-----|------|
Ependre asquerefu [r]s	|-----|-|-------⌫---|
ques eitesgardement	--|-⌫--|----------|
S uluncqu addeseruit sun	-⌫----|-|-|-------|--|
s eruiseluirent.	-⌫-----|--|----|
Puiskedestrait orsfu dla	---|-|--|-----⌫--|--⌫|-|
sal euo isdee	---⌫|--⌫----|
AdreisHornde sesnefs tutesagent mandee	-|---|---|-|--|---|---|-|---|-----|
Equantilsuntuenuzlafes teestcu menc ee	|----|-|---|----|-|---⌫-|--|--⌫----⌫-|
Et uzlesxu io rs	|-⌫-|--|-|--⌫-|
adn oblementdure e.	-|-⌫-------|----⌫-|
Ho rnad mustréalreic umlachos eest	--⌫-|-|------|-|--|-⌫-|-|----⌫|--|
Cumil ad uassa l mentsaterrepurchacee	--|-|-|-----⌫-⌫---|-|----|--------|
Cum ildes paens adsaguerefin ee	--|-|--|----|-|-|----|---⌫-|
[Elaioiequ iloutdesameretrouee]	-|-|---|-|-|--|-|-|---|------|
ilotfet ne fudchose	-|-|--|-|--|----|
Pus la festesen	--|-|----||-|
wntc hescon	--|-⌫-----|
en sacuntree	-|-|------|
adnulquenenait de Horn bonesol dee.[f.22d]	-|--|--||-|--|-|---|---|---⌫----------|
EilapresadRimelasunper eleissee	|-|----|-|----||--|---⌫|------|
Ead [ en]We sstir	|-|-⌫--|--⌫----|
sa ueie lor turn ee	-|---|--|----⌫-|
Odsuncos inMo dun kier trei	-|--|---⌫-|--⌫--|-|--⌫|--|
Pus il liad Le mburcodgrantrichesce do nee	--|-|-|-|--⌫----|-|----|-------|--⌫--|
Ela ltreasiscumpains H aderof	||-⌫---||--|-------|-⌫-----|
Odlaterretre stuteke lur fudo t riee	-|-|----|---⌫----|-|--|--|-⌫-⌫---|
DeGued ereche	-|----⌫-----|
le reikesa uie	-|--|-|-|--|
Pus kel ac hosefudsitotepuralee	--|-|-⌫|-⌫---|--|-|---|------|
[En Bretayne reuint aR imerl o nuree]	--|-------|-----||-⌫---||-⌫-----|
s oriorn ati tant cumlui agree.	-⌫------⌫-|-⌫---|--|--|-----|
E ntrita ntd esoriornc umilucsorio rnat	-⌫------⌫-|-⌫|------|-⌫-|---|-----⌫---|
Le uai llantHadermod	-|---⌫----|-------|
de Rimel engendrat	-|----|--------|
KiAsf[r]ich e cunquisteqepus	-|---------⌫|-------||-|--|
[i]regn at	--|----⌫-|
E kituzsesparenzdepaens	|-|--|--|-----|-|----|
Dep rue scee desen	-|-⌫---⌫--||-|--|
t restuzlesultreat	-⌫-----|--|------|
Cumcil p urr at mustrerkila estor iesaurat .	--|--|-⌫---⌫-|------|-|-|-----⌫-|------⌫|
Icest laisa munfiz Gilimo tki·ldirrat	----|---||--|--|------⌫|---|-----|
Kila rimeapre ́	-|-|---|----⌫|
meibien c o ntrouerat–	--|---|-⌫-⌫--------||
Co nt rouu resert	--⌫--⌫----⌫--|--|
bonedemei [ceretendra].	--||-|--|--|---------|
O rreu enu nsaHor n Dium cu m i l	-⌫|---⌫---⌫-||---⌫|---|--⌫|-⌫|
E n Sudde nela gr ant. Samuil lerameinat	-⌫|-----⌫-|-|--⌫---|-|----⌫--|------|
Emult grantten s	|---|----|---⌫|
odlibone uie me na t	-|-|---|--|--⌫--⌫|
Tan t ken ric hescesa	---⌫||-|---⌫----|-|
uiela fin a .	--|-|---⌫-⌫|
Orendieauant kil	-|-|--|----|-||
estoriesauerat	------|------|
Tomasnend i rratplu s	----||-|-⌫-⌫---|---⌫|
Tu autem ch anter at	-|----|--⌫-----⌫-|
Tu aut em domine misererenostri.	-|---⌫-|-----|-------|------|
