#MET A#Tex tU RIOmbreB2	----⌫-|---⌫--⌫-|------|
#ME TA #DEAF http//www.deaf- page.de/fr/bibl/ bib99o.php#OmbreB2	---⌫--⌫|---|---------------⌫----------------⌫-----------------|
#META#TLOmb re2	-----|-|---⌫--|
#META# FEW	-----|--|
#ME T A#ARLIMA ht tps//www.arlima.net/no/234	---⌫-⌫-|-----|--⌫-------------------------|
#META#Aut horIeanRenart	-----|---⌫--|---|-----|
#META#AuthorBorn	-----|---------|
#META#AuthorBor nAmb	-----|---------⌫---|
#META#AuthorD ied	-----|-------⌫--|
#META#Autho rDiedAmb	-----|-----⌫-------|
#META#AuthorFl1	-----|--------|
#M ET A#AuthorF l2	--⌫--⌫-|-------⌫-|
#M E TA# TextTitleL elaide	--⌫-⌫--|--------|-⌫|--|-|
#META#TextSubtitle	-----|-----------|
#MET A# Textuo ls1	----⌫-|------⌫-||
#META#TextS ubisho rt	-----|-----⌫--|---⌫-|
#MET A#Tex tDomli t	----⌫-|---⌫---|--⌫|
#META# Translationfalse	-----|----------|----|
#MET A#Colle cti on	----⌫-|-----⌫---⌫-|
#M ETA# Co llec tionNo	--⌫---|--⌫----⌫-----|
#M ETA#TextD escARL	--⌫---|-----⌫-----|
#M ETA#TextDescuers 8	--⌫---|-----------||
#META#TextDateAR L débutduXIIIes iècle	-----|----------⌫|-----|-|----|-⌫-----|
#META #Tex tDateA did13	-----⌫|---⌫------⌫-|--|
#META#Tex tDateMin	-----|---⌫-------|
#META#TextDat eMax	-----|-------⌫---|
#META # E dEditorBédier	-----⌫|-⌫------|------|
# META#EdPlaceP aris	-⌫----|------|-⌫---|
#MET A#EdPublis herF irmi n-Didot	----⌫-|--------⌫--|-⌫----⌫------|
#META#Eduol	-----|----|
#META#EdYear1913	-----|-----|---|
#META#EdPages1 -50	-----|------|-⌫--|
#META# MsBas e BN fr.837	-----|-----⌫|-|--|--|
#META #MsO th erBC D	-----⌫|---⌫--⌫-||||
#META#MsN um 7	-----|---⌫-||
#META#MsDateARL	-----|--------|
#META#MsDateAdi	-----|--------|
#META#Form	-----|---|
#META# Complet e true	-----|-------⌫|---|
# META#NoWo rds	-⌫----|----⌫--|
# META#NoLines	-⌫----|------|
# META#Dial Auth	-⌫----|----⌫---|
# M ETA#DialScribe	-⌫-⌫---|---------|
#META#ScanURL https/ /arc hiue.org/de tails/ lelaidelomb re00ie an uoft	-----|------|------⌫----⌫-----------⌫------⌫-----------⌫------⌫--⌫---|
#META#Sc anURIOther	-----|--⌫---------|
#ME TA#ArkIDark/1 3960/t 0 4x5hu90	---⌫--|----|-----⌫------⌫-⌫------|
#META# LccnID	-----|-----|
#META#OclcID	-----|-----|
#META#WebAu thorYero N ia mad i o	-----|-----⌫---|---|-⌫--⌫---⌫-⌫|
#META# ORCID WebAut hor	-----|-----⌫------⌫--|
#META#WebReuie wer Daui dI ose ph Wrisley	-----|--------⌫--|----⌫|-⌫---⌫-|------|
#META#ORCIDReuiewerorcid . org /00 0 0-0002-0355-1487	-----|------------|-----⌫-⌫---⌫---⌫-⌫---------------|
#ME TA#MiscInfo	---⌫--|-------|
# META# CC License	-⌫----|--⌫------|
CCBY-NC-SA4.0International	-|-------|--|------------|
Que iele gete enmi la	--|-|-|---|-|-|-|
M e ̀sen telleuc	-⌫-⌫-|-|--|--||
onneleuoie	-|-|-|---|
el pu isne stpasm ençonge.	-|--⌫-||-⌫-|--|-⌫--------|
nenertplusquedun	|-|--|---|--||-|
Chose dite quimemessiece.	----|---|--|-|--------|
D on tn aiieore	-⌫--⌫||-|-|--|
estégrant piece	----|----|----|
Omonseignorsanzuilonie	|--|------|---|------|
Secispars a	-|--|--|-⌫|
ch euale r i e	--⌫-----⌫-⌫-⌫|
so uspirerdeu ant	--⌫------|---⌫--|
ueutiaqueiel tie ngnea	---|-|--|--|---⌫---||
Acest p remerai n p arl e ment	|---|-⌫-------⌫|-⌫---⌫-⌫---|
Ill a uroit	-||-⌫----|
ainçoisdur ement	-------|---⌫----|
Deseru i se	------⌫|-|
iel deuoieestre.	--|-----|-----|
Atantestcilentrezenlestre	----|--|--|-----|-||----|
Pa geu01P0 36	--⌫-------⌫-|
Qui deto ut	--|-|--⌫-|
cene s eprentgarde.	-|-|-⌫|----|-----|
I l uoit celi quemout esga rd e	-⌫|---|---|--|---|----⌫--⌫|
uole ntiersal er	----⌫-----|--⌫-|
par la cort.	--|-|----|
Ildesce n t lu éset	-|-----⌫-⌫|--⌫--|-|
uerslicort	---|-|---|
Sicom ch eual iersfetue rsda me.	-|--|--⌫----⌫---|--|--⌫-|--⌫--|
S iduico mpaignonnen ule	-⌫|--|--⌫-------|-|-⌫--|
Del ostelne l i font	-||----|-|-⌫|---|
AfoiBoneauentureaithui	|--|---|-------|--|--|
Madame acuiiesui	-|---||--|-|--|
Ne laoreen autre	-|||--|-|----|
Foli o43 d	----⌫---⌫|
Fe rue delpoin gle zloï e.	--⌫--|--|----⌫|--⌫||---⌫-|
Eleahuimainte choseoïe	--||--|-----|----|---|
Quimoutlitouche près de lcuer.	--|---|-|-----|----|--⌫|----|
Siredist el ealonsla fuer	---|---|--⌫|----|-|---|
Seoir sorce lp uispordeduire.	----|--|--⌫|-⌫--|--|-------|
Iln estcho sequi l ip uist	-||--|---⌫-|--|-⌫|-⌫---|
Ce ditpuis que laqueut sibe l	-|--|---|--||-----|-|--⌫|
Bien cuide auoir parson anel	---|----|----|--|--|---|
Conquisesamor e tsa grace	-------||---|-⌫|-|----|
Mesnesten co r	--||--|--⌫--⌫|
Porqoiil sedoieesioïr	--|--|-|-|---|------|
Pageu0 1P037	------⌫----|
Ainzqu ilpeüstlezliseïr	---|-|-|-----|--|-|----|
Otil chose	-|-|----|
q ui li desplest.	-⌫-|-|--------|
Sirefetel esl luousp lest	---|--|--⌫||-⌫|---|-⌫---|
Ditesmoilauos tremerci	----|--|-|---⌫--|----|
Cestuostrean elqueie	---|-----|--⌫-|--|-|
Porqoilemelessastes ore	--|--|-|-|--------|--|
— Doucedame	|----|---|
Q uantmeniraisila urez uous .	-⌫---||-|---|-||-⌫---|----⌫|
Ieuo usdirai	-|--⌫-|----|
cesachiezuous	-|------|---|
Si nel t enez	-|--|-⌫---|
Detant uaut il	-|---|---|-|
m iexla moit ié	-⌫--|-|----⌫--|
Quilaenu ostre	-|-||-|-⌫----|
doitest é.	---|---⌫--|
S il uousp lesoit en	|-|---|-⌫-----|-|
cestest e ́	---|---⌫-⌫|
Lesauroientmia nemi	-|--------|-|-⌫---|
Siuousmauiieza	-|---||-----||
i eu ou s a am ie.	-⌫|-⌫--⌫||--⌫--|
—EnnonDieuce n	|-|--|---|-||
Fetel e ainçoisia toutel .	--|--⌫|-------|||---|--⌫|
I apuis nistraidecestostel	-⌫|---||-----|-|---|----|
Sim aï t Diex	-||---⌫|---|
se mortenon	-|----|--|
Queuousaurez necrine non	--|---|----|-|--|-|--|
P ageu01 P038	-⌫------⌫---|
Dem a mor porri enqu eie	-||-⌫--|--|--⌫-|--⌫|-|
uousn enestes	---||-|----|
preu enl auoie	---|-|-⌫|---|
Ainzen estes moutforuo iez.	---|-|----|---|-----⌫---|
Tenezie uuei lqueuousaiez	----|-|----⌫|--|---|---|
uostr e anelque ienenruis mie.	-----⌫|---|--|-||-|---|---|
Ia mar metendrezaamie	-|--|-|------||---|
Por gardequeien	--|----|--||-|
aiefai te.	--|---⌫--|
Orsedespoireor sedeshaite	-|-|-------|-|-|-------|
Cilq uicuidoi tauoir toutpris.	--|-⌫-|------⌫|----|---|----|
uaudroit fetilmes pris	-------|--|-|--|---|
certesqueieoi.	-----|--|-|--|
Onquesmèsnul e i oienoi	-----|---|---⌫|-⌫--||-|
Qui sitos t n ie tornasta	--|-|---⌫|-⌫-|------||
—C omment donqu es	|-⌫-----|-----⌫-|
fetelesire	--|--|---|
Au ezidont	--⌫-||---|
anui ne h ont e	---|-|-⌫---⌫|
D e moi acui	-⌫|--||--|
uers uo usd	---|--⌫-||
amorsne de	----|-|-|
Ienefaz mie	-|-|--|--|
grant outrage	----|------|
Seie uousuueil u ostreane l rend re.	-|-|---|----|-⌫----|---⌫|----⌫--|
I l leuousc ouientareprendre	-⌫|-|---|-⌫-----||--------|
Quarienaidroitau retenir	---|-||-|----|-|------|
Puisqueiene	---|--|-|-|
uousuueiltenir	---|----|----|
Aamiq uariemesfer oie.	|--|-⌫--|-|------⌫---|
P age u01P03 9	-⌫---⌫------⌫|
—Diexfetil	|---|--|-|
D unc outeltr és p armile s	|-|-⌫----|--⌫--|-⌫---|--⌫|
cui ss e s	---⌫--⌫-⌫|
Neme feroie	-|-|-----|
teusanguisses	---|--------|
Commecesparole smefont.	----|--|------⌫|-|----|
M a l fetqu i	-⌫-⌫|--|--⌫|
d e struitet confont	-⌫-⌫-----|-|------|
Chose dont l enestaudes eure .	----|---||-|--|-|---⌫----⌫|
Trop micortforce	---|||---|----|
d amorsse ure	|----|--⌫--|
Po r uousetmet	--⌫|---|-|--|
engrantdest re ce.	-|----|----⌫--⌫--|
Ch osene stquia ce	--⌫--||-⌫-|--||-|
Nu led elmont queiel	--⌫-|-⌫-|---|--|--|
re praingn e.	--⌫-------⌫-|
Ia Diexafoipuisn eme	-|---||--|---|-⌫|-|
Abonefinque	|---|--|--|
iel prendrai	--|-------|
Mesuousla ur ezetsiler ai	--|---||-⌫--⌫-|-|-|---⌫-|
Moncoerau oec en u ose ruis e	--|---|--⌫--|-|-⌫|--⌫----⌫|
riensquiauo de uis e	----|--||-|--⌫---⌫|
uo usseruesibiennes i	--⌫-|----|-|---|-|-⌫|
Comme entremonc uer	----|----|--|-⌫--|
FeteleNen par lezuousonques	--|--||-|---⌫--|---|-----|
Quaruosenperderiezadonques	---|--|-|--------|-------|
Pag eu 01P040	---⌫--⌫-----|
Macoi ntanceetma feaut é	|----⌫-----|-|-|-----⌫-|
Seuous cont re m auolente ́	-|---|----⌫-|-⌫|-------⌫|
Meuoliezfere a uo us entend re.	-|-----|---||--⌫-|------⌫--|
Ille uouscouientare prendre .	-|-|---|------||--⌫-------⌫|
— Sif etla	|-|-⌫-|-|
naq ue dire	||-⌫-|---|
Ouuouse stesmout plus quesire	-|---|-⌫---|---|---|--|---|
Seuostreanuis a	-|-----|----||
cemesfo rce	-||----⌫--|
lemeuue illie zaforce	-|-|---⌫-----⌫||----|
Maugrémi enfereretenir.	------|--⌫-|---|-------|
Ia mèsnel	-|---|--|
qui er tenir.	---⌫-|-----|
—Sif ere z .	|-|-⌫---⌫-⌫|
—Ienonferaiuoir.	|-|--|----|----|
meuous fe re auo i r	-|---|--⌫-|---⌫-⌫|
Aforce— Naie bele amie	|----||---|---|---|
Bie nsai telpooirn	---⌫|--|--|----||
Ce poisemoisi maï tDiex	-|----|--|-||---⌫|---|
Iapuis uiloniene deu l s	-|---|------|-|---⌫-⌫|
Ne maue nd roitc est mac reance	-||---⌫--⌫---||--|-|-⌫-----|
Se uousen unpo i desp eran ce	-|---|-|-|--⌫||---⌫----⌫-|
Me meti ez	-|----⌫-|
porreco nforter.	--|----⌫-------|
— uousporriezau sib ienhu rter	|---|------|--⌫-|-⌫--|--⌫---|
Acelpe rron leuostrec hief	|--|--⌫---|-|-----|-⌫---|
P ag eu01P0 41	-⌫--⌫------⌫-|
Queuo usenueni ssie za	--|--⌫-|-|----⌫----⌫||
Siloqueuousle repraingniez.	-|----|---|-|------------|
— Ilsemble queuous mapraingniez	|-|-----|--|---||----------|
Fe tila c hante rdeBerna rt.	--⌫|-||-⌫-----⌫|-|-----⌫--|
leroieainzune hart	-----|---|--|---|
La cier elcolq uelrepreïsse.	--⌫---|-|--|-⌫--|----------|
ieuousenfeïsse	-|---|-|------|
Loncpletau reprendren a r ien.	---|---|-|--------|||-⌫---|
Sirefeteleoruoi	---|--|--|-|--|
Quec eu ousfe t fereenre sd ie	--|-⌫|-⌫--|--⌫|---|----⌫--⌫-|
Qua ntparoleque ieu ousdie	---⌫-|-----|--|-|-⌫--|--|
Ne uous puetau p rendre	-|---|---|-|-⌫-----|
Or u ous uuei l	-|-⌫--|----⌫|
ieaconiurer	-|--------|
Parcelefo iquemoid euez	--|---|--⌫|--|--|-⌫---|
uousproi queuousl ereprendez	---|---|--|---|-⌫|--------|
Sichierc omuousauezmamor.	-|----|-⌫-|---|---||----|
O rniail en	-⌫||||-|-|
ceste erro r	----|----⌫|
Pageu01P042	----------|
Tor cunseul qu il	--||-|---|-|-|
ne li couiegne	-|-|-------|
A reprend re ou quele nel tie gne	|-------⌫-|-|-|--|--|---⌫--|
A deslealet agengleu s.	|------|-||-------⌫-|
Diexf etill ique ls deces	---|-⌫-|-|-⌫|---⌫-|-|--|
partislimainsmauuai s	-----|-|----|------⌫|
Or sai iebienseieli	-|--|-|---|-|-|-|
Qu eledira	-|--|---|
ienelaimmie.	-|-||--|---|
Qui ta ntest raintcrousteque m ie	--|--⌫-|---⌫----|------|--|-⌫-|
estpargran t destroit.	--|--|----⌫|--------|
Cilseremenz m a s id estroit	--|-------|||-⌫|-⌫------|
Quelilessiers nemiest preus	--|-|-------|-|||--|----|
Ainçoiscuiti eque limiens	-------|---|-⌫|--|-|----|
Et mo nors i soitaureprendre	-||-⌫---||---|-|--------|
uueilde mout me spre nd re	----|-|---|--⌫----⌫--⌫-|
uers ma douce dame honor ée	---|-|----|---|-----⌫--|
Quisam or maac oniuree	--||--⌫-|||--⌫------|
Etla gr a ntfoiqueielidoi.	-|-|--⌫-⌫-|--|--|-|-|---|
Quantie lauraimis enmondoi	----|-||----|--|-|--|--|
Pa g eu01P043	--⌫-⌫-------|
Se iefazce qu elemequiert	-|-|--|-|-|--|-|-----|
Ien ipuis au oir sonor no n.	-|||---|--⌫--||---|--⌫-|
N estpas amis quidusque nso n	|--|--|---|--|----|-⌫|--⌫|
Nefetl auolentés	-|--|-⌫|-------||
Et sa chiez quec i l	-|--⌫----|--|-⌫-⌫|
Quirienq uil	--|---|-⌫|-|
lest afere.	---||----|
Iedoiatorne rmon	-|--|------⌫|--|
Deltoutason commandement	--|---||--|-----------|
Quarilne doite streautrement	---|-|-|---|-⌫---|--------|
Sa laseueu ol enténon.	||-|---|-⌫--⌫----|---|
I lnelnon mapas pars on non	-⌫|--|---⌫-|--|--|-⌫-|--|
Qu ant ildistDameiel prendrai	--⌫--|-|---|---|--|-------|
Pa rcouent que	--⌫|-----|--|
ie enferai	-|-|----|
Aprèslauostreuolen t é	-----|-|-----|-----⌫-⌫-|
Lamoie encoraitilesté	-|---|----|--|-|----|
Enceldoit que ieuoi	-|--|---|--|-|--|
— Etie uousrent donqueslanel	|-|-|---|---|------||---|
Pa r c ouent queuous len f ac iez.	--⌫|-⌫----|--|---||-|-⌫--⌫---|
N ert enuie sis ne esfaciez	|--|-----⌫--|-|-------|
Pageu01P044	----------|
delgent il cheuali er	--|----⌫-|-------⌫-|
Toz e spre ndan zdec u erentier	--|-⌫----⌫----⌫|-|-⌫-⌫-|-----|
Lepr istto u tporpensseement	-|--⌫--|--⌫-⌫|-------------|
Silere gardedoucement	-|-|--⌫----|--------|
Au reprendred ist	-|--------|-⌫--|
Granz mer ciz	----|---⌫--|
Porce nestpas	--|-||--|--|
lio rs noirciz	-|-⌫-|------|
Fetil sil uientde	--|-||-|----|-|
cel bi audoit.	--|--⌫-|----|
Celesen sozristqui cuidoit	---||-|------|--|------|
le deüstremetreel su en	-|-----|------|-|--⌫-|
Mèsil fistai nzunmoutgrant sen	---|-|---|--⌫-|-|---|----|--|
Qu agran t	-||----⌫|
ioie litorna	---|-|----|
Ilsestacou te zsor	-||--|----⌫--⌫|--|
Quinestoitq uetoise etdemie	--||-----|-⌫-|----|-|----|
Parfonz si n em eschoisimie	------|-|-⌫|-⌫-------|--|
aigue quiert	----|--|--|
beleetclere	---|-|----|
lad amequiere	-|-⌫--|--|--|
La riensel mont	-|----|-|---|
quemiexamot.	--|---|----|
Sach iezfetiltout a un	----⌫--|--|-|---||-|
Queien en reporteraimie	--|-||-|---------|--|
Ainzlauera	---||----|
ma douceamie	-|----|---|
Pageu01P045	----------|
Larie nsquei aim	-|---⌫-|--||--|
plusaprèsuous.	---|-----|----|
—Diexfeteleci na	|---|--|--|-|||
Ou laur e zuous	-||---⌫-⌫|---|
sitosttrouee	-|---|-----|
—Parmonchieftost	|--|--|----|---|
uous ertmoustree	---|--|-------|
Lapreus lagenti zquil au ra.	-|----|-|-----⌫|--||--⌫--|
— Ouest—En non D i euue zle la	|-|--||-|--|-⌫-⌫-|--⌫|-|-|
uost re belombre	----⌫-|--|----|
quil at e nt.	--||--⌫-⌫--|
L aneletprentet uersliten t.	|-----|----|-|---|-|---⌫-|
Tenezfet i lmadouce ami e	----|--|-⌫|-|----|---⌫|
Pui squ ema da menenueut mie	---⌫|--⌫|-|--⌫-||-|---|--|
uous le pre nd re z bien sanzmeslee.	---|-|---⌫--⌫--⌫|---|---|------|
L aigue s estunpetit tr oublée	|----||--|-|----|--⌫------|
Aucheoirqu e li ani aus	-|-----|--⌫|-|---⌫--|
Etquantliombres	-|----|-|-----|
ueez fetildame orla	---|--|-|---|-|||
Mouten estamendez	---|-|--|------|
Quantce quideuousest	----|-|--|-|---|--|
Quar n eüsti l	---||----|-⌫|
oreh uisne	--|-⌫--|-|
La ius sise n uen droitpa r ci	-|--|-||-⌫|---⌫----|--⌫|-|
Pordirel aseu emerci	--|---|-⌫|---⌫|----|
De l onorquefetemena.	-||---|--|---||-|-|
E Diex sibu en iassena	|---|-|--⌫-||-----|
Ac ele co rtoisie fere	|-⌫--|--⌫------|---|
Onques mès r ien deson afere	-----|---|-⌫--|-|--|----|
Nef ua ladameplesa nz	-|-⌫||-|---|-----⌫-|
Pageu01P045	----------|
Tozreuerdiz et espren danz	--|-------|-|------⌫---|
Mou tuientahommedegrant se ns	---⌫|----||----|-|----|--⌫-|
fetcor toisieaubesoi ng .	--|---⌫-----|-|-----⌫--⌫|
Orainzertdema mor	-----|--|-||-⌫--|
Cis hom et ore en estsiprès	--|--|-|--|-|--|-|----|
O nquesmèsdeuantne	-⌫----|---|-----|-|
N auintpui s	|----|---⌫|
qu Ad ammortla pomme	-|--⌫-|---|-|----|
Sibele co rtoisie ahomme	-|---|--⌫------||----|
com mentill enm emb ra.	---⌫---|-||-|-⌫---⌫--|
Quantporm amo ramonombre a	----|--||---⌫||--|----||
Gete ́s onan elenzel	----⌫|-⌫-|--⌫-|--|-|
Plus ueerled onde mamor.	---|---|-|-⌫-|-||----|
Nesaipor qoiielid emor	-|--|--|--|-|-|-⌫---|
Onques homsibienne	-----|--|-|---|-|
Necon quistamorpar ane l	-|---⌫----|---|--|---⌫|
Ne miexne dutauoiramie.	-|---|-|--|----|----|
Sa chiez qu	--⌫----|-|
elenen bleçamie	--||-|-----|--|
Q uanteledist Biaus	-⌫---|--|---|----|
Toutont mon	---|--|--|
cu erel uos trem is	--⌫-|-|---⌫--|-⌫-|
Page u01 P047	----⌫---⌫---|
Cist douzmo t et liplesantfet	---|---|--⌫|-|-|------|--|
Etlid ons q ueuousauez fe t	-|-|-⌫--|-⌫-|---|---|--⌫|
Amonom breen l	|--|--⌫--|-||
O r m etez lemienen	-⌫|-⌫---|-|---|-|
T enezie l uousdoing com meamie.	-⌫---|--⌫|---|----|---⌫-|----|
Iecuituousnelamer e zmie	-|---|---|-||----⌫-⌫|--|
Mainsdel uostreen corsoit	----|--|-----|--⌫--|---|
— De lonorfetil	|-||---|--|-|
Nemefeïston passilié.	-|-|-----|-|--|-|----|
Mou tsesont anduien uoisié	---⌫|-|---|----|--⌫------|
Sor le pui s	--|-|---⌫|
detantcommeilpeure nt.	-|---|----|-|-----⌫--|
Desbesier s dontil s	--|------⌫|---|-||
e ntrepeu rent	-⌫-------⌫---|
uait chasc un ladouço raucue r .	---|-----⌫-|-|------⌫|-|---⌫-⌫|
Lorb eloei ln e	--|-⌫-|---⌫|-⌫|
getentpaspuer	-----|--|---|
Lor part ce	--|---|-|
estore delmai ns.	--|--|--|---⌫--|
Detel ge ucomlen	-|--|--⌫|--||-|
fet desma ins	--|--|--⌫--|
Esto itele d a me etil	----⌫-|--|-⌫-⌫-|-|-|
puetest re	---|---⌫-|
Decelui lorcouuendra bie n.	-|----|--|--------|---⌫-|
Pageu01P048	----------|
Ni c ou ie ntmaisb aerderien	||-⌫--⌫--⌫-|---|-⌫--|-|---|
IehanRenartalor	----|-----||--|
autrech os eafere	----|--⌫--⌫||---|
Bien puetsonp enssé	---|---|--|-⌫-----|
metreaillo rs.	----|-----⌫--|
Quar puis que lo rsensetAmors	---|---|--|--⌫|---|-|----|
Ont misandeuslor	--|--|-----|--|
cuersen sam ble	----|--⌫---⌫--|
De lge uquir emaintce mesa mble	--⌫|--⌫|--|-⌫-----|-|-|--⌫---|
uendrontil bien achief	-------|-|---||----|
Etorm etais at antme shu i.	-|-|-⌫|---|--⌫--|--⌫---⌫-|
li Laisdel Ombre.	-|---|-||-----|
Contezuousquisaue z denombre.	-----|---|--|----⌫|-|------|
§Explicit li	--------|-|
