messiresnoblesl ilions	--|----|-----|-⌫|----|
dela bat aille n i sse	-|-|---⌫----||-⌫--|
etquerenartuaintrelepuisse	-|--|-----|------|-|-----|
quemoltsoue f	--|---|----⌫|
li fistlachose	-|---|-|----|
enlata isn iereou erte nclose	-|-|--⌫---⌫---|-|--|-⌫-----|
iapa rlinen	-|--⌫|-||-|
i ssicompla inte	-⌫--|------⌫---|
mesysangrinquanafet	--|-------|-|-||--|
complaintesilenpois s e	---------|-||-|----⌫-⌫|
molt a enli	---||-|-|
f ranche bo rioisse	-⌫-----|--⌫------|
tuit sonta	---|---||
cortetpou r e e t ric he	---|-|---⌫-⌫|-⌫|---⌫-|
porysangr in	--|------⌫-|
me it r een labr iche	--⌫--⌫-⌫|-|-|--⌫---|
se renartpuet enlabatail le	-|-----|---|-|-|------⌫-|
n eu aurason	-⌫|-⌫---|--|
enging m aaille	-----|-⌫-----|
q uantli roisuitsa	-⌫---|-|---|--|-|
gent uenu e	---|----⌫|
por l a bataille qui	--|-⌫|-------|--|
brich emerfistau antuenir	-----⌫---|---|--⌫--|----|
p or recor der etpor te nir	-⌫-|-----⌫--|-|--|--⌫--|
l eiugementd elabata il le	-⌫|-------|-⌫|-|----⌫--⌫-|
prieparledroit	---|--|-|----|
brichemersest uenuzauant	---------|--|----|----|
etditqui lfer a s on commant	-|--|-|-⌫|---⌫|-⌫-|------|
asoi a tretyydes	|--||---|-|--|
quituitsontdeplus hautreno ns	--|---|---|-|---|---|----⌫-|
li lieparsenestlipremie rs	-|------|-|--|-|------⌫-|
quimoltest corageusetf ie rs	--|---|--|-------|-|-⌫--⌫-|
etbaucensqui	-|------|--|
a lecors gro s	|-|---|---⌫|
et mes siresbru ianslitors	-|--|----|---⌫---|-|---|
son tau antu enu	---⌫|--⌫--|-⌫--|
ca raplussage s son t	--⌫||---|----⌫|---⌫|
quiil luecqu esfu e nestage	--|--⌫------⌫-|-|-⌫|-----|
soulmolt ne	---|---|-|
por zz grant	--|-|----|
iugementtenir	-------|----|
g rantfesso usten ir	-⌫---|--|--⌫-----⌫-|
ilyyu ont azzconseil	-|-|-⌫--||-|------|
di t brichemersmoltmemerueil	--⌫|---------|---|-|------|
seren art osa st cep enser	-|---⌫--|---⌫-|-|-⌫----|
dontno slauomme s encuser	---|--⌫||------⌫|------|
a roenelet athibert	|-----|-||------|
et al our squi moltnosse rt	-|||---⌫|--|---|--|--⌫-|
des autresclamors i	--|-----|------||
am ai n tes	|-⌫--⌫-⌫--|
qu eienes aia direquantes	--⌫|-|-|-⌫-||---|------|
p inte s ec la imeetti ecel ins	-⌫---|-⌫|-⌫--⌫--|-|--⌫----⌫--|
toutap risso rl ui y san grin	---||-⌫--|--⌫|-⌫-|-⌫---⌫---|
portouzceusadonnésongage	--|---|---||-----|--|---|
enad onné	-||-⌫----|
queilreconnoi streli	--|-|--------⌫---|-|
etilleli eu edela plac e	-|-|-|--⌫--⌫|-|-|----⌫|
seignors qu ipeust	-------|--⌫|----|
etlemal oster	-|-|--|----|
et laissier	-|-------|
ceseroitbienc emestauis	-|-----|---|-⌫||--|---|
bi enqueie uosdeuis	--⌫-|--|-|--|----|
bau censrespont	---⌫---|------|
b ienauezdit	-⌫--|---|--|
tuitlotro ie ntsanzcont re dit	---||----⌫--⌫-|---|----⌫--⌫--|
lor se nuienenttuityya u ro i	---⌫|-⌫|------|---|-|-⌫|--⌫|
si lidient tou t enrequoi	-|-|----|---⌫|-|-----|
sireuostre	---|-----|
baron loassent	----|-------|
prodo mme s acor dassent	-----⌫--||----⌫------|
sauue uostrehonortout	----|-----|----|---|
etfussenten duibi enuo illant	-|------|--⌫--|--⌫----⌫-----|
mont plestauroi ce	---|----|-|--|-|
quilontdit	-|-|--|--|
ia par mo inenaurez desd it	-|--|--⌫||-|----|----⌫-|
seignors fet ils ien parle z	-------|--|-|-⌫|-|-----⌫|
aysang rinsil apelez	|-----⌫--|-||-----|
deltoutlaquerelea	--|---|-|------||
amoinoie nt nen apartient	|--|----⌫-||-|--------|
fors seul ement	---|----⌫----|
de ldroittenir	--⌫|----|----|
du sorplusuo s laicouenir	-|------|--⌫|--|------|
poisese il saco rdent	----|-|-||---⌫----|
neuoil quedemoi	-|---|--|-|--|
descorde nt	--------⌫-|
quantbrichemerl aentendu	----|--------|||------|
tor nezsenestcole stendu	---⌫--||-|--|--|-⌫-----|
a y sang rinditenloreille	|-⌫----⌫--|--|-||------|
qu e lir ois formen ts e	--⌫|-|-⌫--|------⌫|-⌫|
merue il l e	-----⌫--⌫-⌫|
quan nepue ten traus	-|-|-|---⌫|--⌫-|--|
yypes metr e	-|--|----⌫|
nepordonne rne por prometre	-|--|-----⌫|-|--|-------|
facel eb ien prangnedroiture	---|-⌫|-⌫--|------|-------|
derenart de saforfaiture	-|-----|-|-|---------|
et porceque s or elimist	-|--|-|--|-⌫--⌫|-|---|
queasa fameforcemist	--||-|---|----|---|
dist ysangr i n nenpar léspas	---|------⌫-⌫||-|---⌫---|--|
commant i snele pas	------|-⌫-----⌫--|
penraialuiacorde	-----||--|-----|
ne uoilautr e	-|---|----⌫|
foizs iamorde	---|||-----|
defa irehonte as aco mere	-|--⌫--|----||-⌫|--⌫---|
lau engence an	-|-⌫------|-|
ieuerrais e	-|-----|-⌫|
lonme f aitdroit	--|-|-⌫--|----|
br ichemers d it que	--⌫-------|-⌫-|--|
i luoudroit	-⌫|-------|
q uela chos e fustsimenee	-⌫-|-|----⌫|---|-|----|
ausf u ssent bon ami	--|-⌫-⌫----|--|--|
liezest quils oient a nemi	---|--|-|-|-⌫----|-⌫---|
e tq uec hascuns on	-⌫|-⌫-|-⌫-----|-⌫-|
d roit eust	-⌫---|---|
q ueamal tornénelorfust	-⌫-||--|-----|-|--|---|
disty sang rin ia dieusne	---|-⌫----⌫--|-|----|-|
quep ais n eacorde e nface	--|-⌫--|-⌫|-----|-⌫|---|
tantquei en uoie le plusfort	------||-|---|-|---|---|
et qu an sache	-|-|-|----|
quiaura tort	--|---|---|
bienmeporra	---|-|----|
tenir pory ure	----|--|-⌫--|
en laisaler deliure	-|---|---|------|
dites leroiets o nbarnage	----|-|--|-|-⌫-⌫|------|
que sesachent	--|-|------|
etfol etsaige	-|--|-|----|
noientla pes re qu ie rt	-----|-|--|--⌫--⌫--⌫-|
champfetilliez	----|--|-|---|
chascunsdirace qu iluoudr a	-------|---|-|-|-|-----⌫|
e lc h ampparra quimieusuaudra	-⌫|-⌫-⌫--|----|--|----|-----|
amoiseti egne	|--|-|--⌫---|
batailleaura co mment qu	-------|---|--⌫-----⌫-|
quant brichemeruoiten la fin	----|--------|---|-|-|--|
netrue uepas en	-|----⌫-|--|-|
auroi a dite tel	-|--||---|--|
deq uoi sire l i renouel e	-|-⌫--||--|-⌫|-------⌫|
sirefetil au ro ientent	---|--|-|-|--⌫|-----|
ysan gri n sabataillea tent	----⌫---⌫|-|-------|-⌫---|
il nacuredef airepes	-|||---|-|-⌫---|--|
honizsoitq ui e nfera m es	----|---|-⌫-|-⌫|---|-⌫-|
nul echose se le cha nt non	---⌫|----|-|-|---⌫-|--|
lunentenra l on abric on	|-|-|----|-⌫-||----⌫-|
or estli plai s	-|--|-|----⌫|
molt enpirie z	---|-------⌫|
queliro isest	--|-|--⌫-|--|
sicor rouciez	-|---⌫------|
delo rgueilqueysangrindist	-||-⌫-----|--|-------|---|
quidepesfairesescon dis t	--|-|--|----||-----⌫---⌫|
distbrichemersseuos	---|---------|-|--|
d roit fai re	-⌫---|---⌫-|
sicom uos solez	-|--|--|----|
cau antai llent	|--⌫--|--⌫----|
necha mpne	-|---⌫-|-|
t enez ladroite uoie	-⌫---|-|-----|---|
ambedouslesmetezlah ors	-------|--|----|-|-⌫--|
si gart chascun dausyysoncors	-|---|------||--|-|--|---|
quantils erontenmilaplace	----|-|-⌫----|---|-|----|
porraf air esiface	----|-⌫---⌫|-|---|
liroispars aint richier	-|---|--|-⌫---|------|
paruer t euos	--|---⌫-⌫|--|
p u i s afichier	-⌫-⌫-⌫|-------|
nenpe nroiepastoutlauoir	|-|--⌫----|--|---||----|
que liplus riches	--|-|---|-----|
queie labataille	--|-|-|-------|
que ie mais nenauraimenoie	--|-|---||-|----|-----|
nesa i que	-|--⌫|--|
lonua dec riant	--|-|---⌫----|
el chample smeteze nauant	-|----|--⌫|----|-⌫|----|
quantla b atailleoutac ordee	----|-|-⌫------|--|--⌫----|
etla parole	-|-|-----|
silesont misyyens amble	-|--|--|--|-|---⌫----|
liplushardizd e poourtramble	-|---|-----|-⌫|----|------|
luntenoit l aut re par la	|-|-----||---⌫-|--|-|
l i roisape lezz chapelain	-⌫|---|---⌫-|-|--------|
so nseignor belinle monton	--⌫|------|----|-|-----|
moltf usage spasneldouton	---|-⌫|----⌫|--|-||-----|
lesaint u aire	-|-----⌫-⌫---|
li sai rementfo ntfair e	-|---⌫-----|--⌫-|----⌫|
li rois afet	-|---||--|
quilniaitnul	-|-|||--|--|
quilfacenoiseenpes	-|-|---|----|-|--|
debonnai rement se	--------⌫-----|-|
maintiegn e	---------⌫|
molt estliroisdegr antiustise	---|--|-|---|-|--⌫--|------|
d elsairement faitladeuise	-⌫-|--------|---|-|-----|
danzbrichemere tb runliours	---|--------|-⌫|-⌫--|-|---|
quelontenoitas yymeil lours	--|--|-----|-|-|----⌫----|
deuis erentle sairement	-----⌫----|-|--------|
deuanttrest ou zapertemen t	-----|-----⌫--⌫|---------⌫|
seign ors fetilormen ten de z	-----⌫--|--|-|-||--⌫---⌫--⌫|
dimals i lamendez	-|--|-⌫||------|
renartiurrapre mierement	-----|----|---⌫--------|
et metraens o n	-|----|-|-⌫-⌫|
sair em ent	----⌫--⌫--|
queil na athibertmeffait	--|-||||------|------|
n a ysangrinnariensforfait	||-------|||----|------|
natiecelinn a	||-------|||
lames enge	-|---⌫---|
nac hanteclercommentqu ilprange	||-⌫--------|--------|-|-----|
r enart faitesle s airement	-⌫----|-----|-|-⌫-------|
uoi ant nost ouzape rtem ent	---⌫--|--|-⌫--|---⌫----⌫--|
renart sagenoilleenlapl ace	-----||--------|-|-|--⌫--|
moltsapareilleet embrace	---||--------|-|------|
desorlessainzestant	----|--|----|-----|
et ai uréparsaint	-||-⌫---|--|----|
et les reliquesqueb ien	-|--|-------|--|-⌫--|
que decel p l aitnultort n	--|-|--|-⌫-⌫--|--|---||
les sainzbaisa puissiselieue	--|----|----|---|-|-|----|
a ysan grin dure men tg rieue	|----⌫---|----⌫---⌫|-⌫----|
cequilfete ntendreporuo ir	-|-|-|--|-⌫------|--|--⌫-|
l amencongep arsonsauoir	-⌫|-------|-⌫-|--|-----|
a ta ntseresta genozmis	-⌫--⌫-|-|---||----|--|
ditbrichem erbiaus douz	--|-------⌫-|----|---|
uos iure rezrena rtest faus	--|----⌫--|----⌫-|--|---|
dousairement	--|--------|
etu osl oiaus	-|-⌫-|-⌫----|
ditysangrinie le	--|-------|-|-|
less ainz baiseet selieue atant	--|-⌫---|----|-|-|----|----|
pa rm i le cham p fist s	--⌫--⌫|-|----⌫|---||
engrant aflict ion	-|----|------⌫--|
etpried ieuquito t so r mon te	-|---|-⌫--|--|--⌫|--⌫-⌫---⌫-|
queilli dointuengiers ahon t e	--|-|-|----|------|-⌫|---⌫-⌫|
derenartquili afait l ai t	-|-----|--|-||---|-⌫--⌫|
siqaupartirenno uren ait	-||-|-----|----⌫-|-|--|
baisalaterresise	----|-|----|-|-|
sonbast o nafaiteet adrece	--|----⌫-⌫|-----|-|-----|
enplusorssensle	-|------|---|-|
en se sd oiz lacelacorr oie	-|--⌫|-⌫--|---|-|----⌫--|
puispra ntson escu	---|---⌫-|--|---|
etdu rementsonbastoncrolle	-|--⌫-----|--|-----|-----|
tout entoursen cline ala gent	---|-----||--⌫----||-|---|
et mo ltsed edu it b el	-|--⌫-|-|-⌫---⌫-|-⌫-|
etditar enart quil se	-|--||-⌫----|-|-|-|
qu il nemeste leiou ra	-|-|-|----|-|---⌫||
quant renartl	----|-----||
otdec u ersoupire	-|-|-⌫-⌫-|------|
to uzsestteuzn	--⌫-||--|---||
ose mot dire	--|--|---|
renartsotletresen	-----|--|-----|-|
denigromance	-|---------|
ent en dit puisaillo rs	---⌫--⌫--|---|-----⌫-|
quil o ub lia lesmozxxx	-|-|-⌫--⌫--|--|--|--|
renartesmaiez	-----|------|
sonescuprant	--|---|----|
aa faitier	|-⌫------|
ien t ementlesotasoitrai re	---⌫-⌫----|-|--||--|----⌫-|
bienfuaprisdetelafaire	---|-|----|-|--|-----|
enp lusor ssens	-|-⌫-----⌫|---|
laessa ié	||----⌫--|
ne f ait samblantdo meesm aie ́	-|-⌫--|-------||-⌫-|---⌫---⌫|
enses doiz lacor roielace	-|--|---|-|---⌫---|---|
apre sselie uedelaplace	----⌫|-|---⌫-|-|-|----|
sonescuprantsifuseur s	--|---|----|-|-|----⌫|
com mechastelenclos demurs	---⌫-|------|-----|-|---|
liescremir sli estn ouiaus	-|--------⌫|-|--|-⌫-----|
set touzlesauiaus	--|---|--|-----|
so nescusorsa teste	--⌫|---|--|-|----|
seysa ngrinapres luiuient	-|---⌫----|----|--|----|
tele scremi eli	--|-⌫------⌫|-|
grant hontet e ndra	----|----|-⌫-⌫---|
isen grins mue tdegrant	----⌫----|---⌫|-|----|
r enartes talezenua ir	-⌫----|--⌫|---|----⌫-|
so n escumetde uantson front	--⌫|---|--|--⌫---|--|----|
son pieau ant souent segront	--|--|--⌫--|-----|-|----|
moltl e uaysangri nhas tant	---|-⌫|-|-------⌫|---⌫---|
renartseuabien deffenda nt	-----|-|-|---|--------⌫-|
tel coplezloreillelid on ne	--|--|--||------|-|-⌫--⌫-|
q ueto ute la teste enaton ne	-⌫-|--⌫--|-|----|-|----⌫-|
a cel assautmoltli me schiet	|--|-----|---|-|--⌫-----|
sic hance le par	-|-⌫-----⌫-|--|
p ounechiet	-⌫-|-|----|
q uantsatest ea u eusaignier	-⌫---|-|----⌫||-⌫-|-------|
ma inse pr is t asaignier	--⌫-|-|--⌫--⌫||-------|
dieupr iequi	---|--⌫-|--|
queillegart d afoleme nt	--|-|-|---||-------⌫-|
pars afameest cedit tr a iz	--|-⌫|---|--|-|--|--⌫-⌫-|
longuementfusiesbahiz	---------|-|-|------|
q uilne s otquel	-⌫|-|-|-⌫-|---|
oreil estoit	--|-|-----|
nenuitneiorqueltens	-|---|-|--|---|---|
porlecopqu	--|-|--|-|
ilot re c eu	-|-|--⌫-⌫-|
otbienaparceu	-|---|------|
ne faitsamblant queleseust	-|---|-------|--|-|----|
ne onquessen aparceus t	-|-----||-|--------⌫|
ainzquel separtent del asa ut	------||-|------|-||---⌫-|
lefi ertr enartquepas nef aut	-|--⌫--|-⌫----|--|--|-|-⌫--|
aut re parttorn esa chie re	---⌫-|---|----⌫|-|----⌫-|
bie nquel ne le	---⌫|-|-|-|-|
s il enpu etl a u etais eauoi r	|-|-|--⌫-|-⌫-⌫|-|---⌫|----⌫|
encor en ferailsauo i r	----|-|---|-|----⌫-⌫|
quil nata lantdelui	-|-|||--⌫---|-|--|
ensus de luile feratrai re	----|-|--|-|---|----⌫-|
ne l ossera	-||-----|
pasaprochier	--|--------|
au bastonles ete smousch ier	-|-----|-|-⌫-|-⌫-------⌫--|
quan tysangr in deloingl esgarde	----⌫|------⌫-|-|----||------|
ditporquoiiltarde	--|--|---|-|----|
c alab ataillenereuient	||-|-⌫------|-|------|
cararepairierlicouient	--||--------|-|------|
ysangri n serest ap ensez	-------⌫|-|---|--⌫----|
quimoltaesté trespensez	--|---||----|---------|
auisliest que tropdem ore	---|-|--|--|---|---⌫--|
isnelementlicorutsore	---------|-|----|---|
auantg ieteretr aite	----|-⌫---|----⌫---|
etrena r t dur ement	-|----⌫-⌫|---⌫----|
i sengringiete pas na rest e	-⌫------|----|--||-⌫----⌫|
deson bast onuoleune areste	-|--|----⌫-|---|--|-----|
m etpi eaterre si sempart	-⌫-|--⌫||----|-||-|---|
rena rtquisetessed epart	----⌫-|--|--|---|-⌫|---|
liauo i t ditsirey sangrin	-|---⌫-⌫|--|---|-⌫------|
sortouze st	--|---|-⌫-|
uoirsdeuins	----|-----|
setbienqueldroi t uersmoi	--|---|---|----⌫|---|--|
bas ton s me fautuosnesauez	---⌫---⌫|-|---|--|-|----|
car fesonspes	--|-----|--|
a mons eignor	|--|-⌫-----|
ainzqui luos	-----|-⌫|--|
to rtadeshonor	--⌫-||-------|
ditysangr i nfacemoi	--|------⌫-⌫|---|--|
s asseznena ipo r uos	|----||-|-⌫|--⌫|--|
quantassezramposnésefurent	----|----|--------|-|-----|
barone sch antesturent	----|-⌫|--⌫--|-------|
de r echief endui sent reuie nent	--⌫-⌫-----|----||---⌫-----⌫---|
lorescuz m olt	--|----|-⌫--|
cointemen t tienent	---------⌫|------|
ysa ngr ingaiteetfaitson esme	---⌫---⌫-|----|-|---|--|---|
que giter i	--|----||
uoloitparesme	-----|--|---|
entre e scu	----|-⌫--|
etba stonsemet	-|--⌫---|-|--|
queg iteriuoloitparesme	--|-⌫---||-----|--|---|
ysangrin gaite etfaitsonesm e	-------|----|-|---|--|---⌫|
e ntre escuet baston	-⌫---|---|-|-----|
d e luiprand re mo lt s	-⌫|--|-----⌫-|--⌫-||
enmile ch am psonesculesse	---|-|--⌫--⌫|--|---|----|
etrenartsonbastonesl es se	-|-----|--|-----|---⌫--⌫-|
telcopli donne a in zqueletie g ne	--|--|-|----|-⌫--⌫---|-|---⌫-⌫-|
iame s ni ertior nel ensouiegne	----⌫||-⌫--|--|-||-|-------|
lebra zsenestreli afr ait	-|---⌫|-------|-||--⌫--|
ysangrinmoltma l trai t	-------|---|--⌫|----⌫|
l orescuzgu erpiz	-⌫-|----|--⌫----|
sise ntraer dentpar	-||-⌫------⌫---|--|
longu eme ntf urente nestant	-----⌫---⌫-|-⌫----|-⌫|-----|
enpl usorsleu s	-|--⌫----|---⌫|
leuonttastant	-|---|------|
ne ueistes gent	-|------|---|
sico mbatre	-|--⌫-----|
lunsnepooi tl autre	|--|-|----⌫||----|
doitmerueil lier	---|-------⌫---|
q u isan gr in s ne sepuet a idier	-⌫|----⌫--⌫--⌫|-|-|---|-⌫----|
forsseulem entd ou braz	---|------⌫--|-⌫-|---|
que perduauoit le	--|----|----|-|
liunsto rnelautretr estorne	-|--|--⌫--||----|--⌫------|
l undes uasausplusn eseiorne	|-|--|-----|---|-⌫|------|
m olttornent ai nzqueunsd au xchiee	-⌫--|------|--⌫----|--||--⌫|----|
ysangr insu efregranthas chiee	------⌫-|--⌫---|----|---⌫----|
lesdenz azz poumi eusague s	--|---||-|--|--⌫--|----⌫|
querenartet mieus esmolues	--|-----|-|----|-------|
contrerenart molt seherice	-----|-----|---|-|-----|
molt lidessir esapelice	---|-|------⌫|-|-----|
renartlifetzztour francoi s	-----|-|--|-|---|-------⌫|
ysa ngrin ne ldoutoit	---⌫----|-||------|
renart b oute	-----|-⌫---|
pasnesefaint	--|-|-|----|
iambetli fe td esorl	-----|-|--⌫|-⌫---||
a l aterre trestou t en uers	|-⌫|----|-------⌫|--⌫---|
renart iut sor luient r a uers	-----|--|--|--|-|-⌫-⌫-⌫---|
les d enzlibr isaen	--|-⌫--|-|--⌫--|-|
enlachi er e li crac he et moch e	-|-|---⌫--⌫|-|----⌫-|-|----⌫|
e sieux liboutelebaston	-⌫|---|-|----|-|-----|
etpoi l leesongle s le gr en on	-|---⌫-⌫-|-|-----⌫|-|--⌫--⌫-|
puisli a ditdanzysan grin	---|-||--|---|----⌫---|
e ncuisau rez q uidroitaura	-⌫---|---⌫--|-⌫-|----|---|
etqui mie usaid ier cesaura	-|--|---⌫-|---⌫--|-|----|
de uostref amem encusez	-|-----|-⌫--||------|
quant uosciparuostre	----|--|-|--|-----|
moietuosfetes	--|-|--|----|
tra uaillier	---⌫-------|
isangrin ot qu	-------|-|-|
ille laidenge	-|-|-------|
mol testdole nzquil ne se uenge	---⌫|--|----⌫-|-|-|-|-|----|
renartlifaitde	-----|-|---|-|
toutson mie u s	---|--|---⌫-⌫|
delapoiu relig ieteesie us	-|-|----⌫-|-|-⌫---|-|--⌫-|
re nartlif aithont e	--⌫---|-|-⌫--|----⌫|
et contraire	-|--------|
cepoi selui	-|---⌫-|--|
nenpu etplusfaire	|-|--⌫-|---|----|
mesentressesdenzse demente	--|-----|--|---|-|------|
etditfous estquime tsentente	-|--|---|--|--|--⌫||------|
pa rfa meuient	--⌫|--⌫-|----|
g rant d ia b lie	-⌫---|-⌫--⌫-⌫--|
par fame est plusguerreque pes	--|---|--|---|-----|--|--|
ialamoiene crer aimes	-|-|---|-|----⌫-|--|
fame fet hair soncompere	---|--|---|--|------|
parfamesontocis maint home	--|---|---|---|----|---|
de t ouzles mause st	-|-⌫--|--|---|-⌫-|
fouxest qui tr opi met	---|--|--|--⌫-||--|
ensiysangri n	---|-------⌫|
se demente	-|------|
ainsisecomplaintfole ment	----|-|--------|----⌫---|
r enart le f iertmenuement	-⌫----|-|-⌫---|--------|
et sor lesieus et	-|--|--|---|-|
encorli prieetpesfa ce	----|-|---|-|--|--⌫-|
b ienuoi tqui les t	-⌫--|---⌫|-|-⌫|--⌫|
prisala trape	---||-|----|
ace lco pli	|--⌫|--⌫|-|
bastons esch ape	------|----⌫--|
qu ere nar tten oitensamai n	--⌫|--⌫---⌫|---⌫--|-|-|---⌫|
cilqu i lecuer	--|--⌫|-|---|
auoittotsain	----|--|---|
se uo stl euermesnepuet	-|--⌫-|-⌫---|--|-|---|
quilnau oi tpointdu br azsenet re	-|-||--⌫--⌫|----|-|--⌫-|-----⌫-|
renar t li faithonteet	-----⌫|-|---|----|-|
ille suesfre ce poi se	-|-|------|-|---⌫-|
ys ang rin tientan on	--⌫---⌫--|----||-⌫-|
an doi li ualesieussachant	--⌫--|-|-|--|---|------|
mesparsagrantmaleauenture	--|--|-|----|---|-------|
li auintmaleau enture	-|----|---|--⌫-----|
son doienla	--|--|-|-|
bouche dedenz	-----|-----|
e tcille p rantas	-⌫|--|-|-⌫---|-|
t ranche i usquesaloz	-⌫-----|-⌫-----|||-|
son bras l ilacesor le dos	--|---|-⌫|---|--|-|--|
delestandre pas nese faint	-||-------|--|-|-|----|
mese ntelguise	--|-⌫|--|----|
l ede straint	-⌫|--⌫------|
o u uoi ll e o unonlefetestendre	-⌫|---⌫--⌫|-⌫|--|-|--|-------|
etd es ozluiaforce estendre	-|-⌫--⌫-|--||----|-------|
orest renart entrepe il	-|--|-----|-|-----⌫-|
si lapooirne menmerueil	|-⌫||----|-||-|------|
ysang r indesgenouz le serr e	-----⌫-⌫-|--|-----|-|----⌫|
renartneuoitn ecielneterre	-----|-|---|-⌫|---|-|----|
iuréauo itfaus	----|---⌫-|---|
sai rement	---⌫-----|
or l i parrapr oc hienement	-|-⌫|----|--⌫--⌫--------|
comf auceloi ila	--|-⌫---|--|-||
hui estuenuesaiorne e	--|--|----|-|-----⌫|
merc icrie	----⌫|---|
parle ssainzderome	--|--⌫|----|-|---|
liuautpasunep ome	-|---|--|--|-⌫--|
car ysa ngrin le fiertetmaille	--|---⌫----|-|----|-|-----|
ta ntque renart	--⌫----|-----|
cr ieetbaaille	--⌫-|-|------|
ysangrinlefiert enl a	-------|-|----|-|-⌫|
netientpasuerslui samain chiere	-|----|--|---|--|-|---|-----|
re nart napooirde desfendre	--⌫---|||----|-|--------|
toutlicouient sofrir etprandre	---|-|------|-----|-|------|
or aysangrinlemeillour	-||-------|-|-------|
moltestses cuers	---|--|--|----|
engrantdo lo ur	-|----|--⌫--⌫-|
deuenuz est plusfro iz que glace	------|--|---|---⌫-|--|----|
mieusuoilmor irce diten pla ce	----|---|---⌫-|-|--|-|---⌫-|
li recreant se claint	-|-------|-|-----|
acest motagit ézzplain t	|---|--||---⌫-|-|-----⌫|
samb lantfaitdomme quiestmors	----⌫---|---||---|--|--|---|
carnauoite n	--||----|-⌫|
lui pointdesfort	--|----||-----|
ysang r inzzpe title lasche	-----⌫-⌫-|-|--⌫--|-|-----|
molt parle	---|--|-|
demainne etresa ch e	-------|-|----⌫--⌫|
ren artne mu e t nepienem ains	---⌫--|-|--⌫-⌫|-|--|-|-⌫---|
bien fe t samblant qu	---|--⌫|-------|-|
iln estpa ssa ins	-||--|--⌫|--⌫--|
ysangrinla	-------|||
batu tantfort	---|---|---|
queo uchampl alaiss étot	--|-⌫|----|||-----⌫-|--|
libaronlontd e lui parti	-|----||--|-⌫|--|----|
corssedep arti	---|-|---⌫---|
ainztroiem no renttelioie	---|-----||-⌫---|--|---|
quantrecurenthelainea tr oie	----|-------|------||--⌫--|
commeabrune t tie celin	----||---|-⌫|---⌫----|
etc hantecleretysangrin	-|-⌫--------|-|-------|
thibertli chazetro e niaus	------|-|---|-|--⌫-⌫----|
etli dainz mesi resplantiaus	-|-|----|-|--⌫--|--------|
f ontt elioie nusnel ueis t	-⌫--|-⌫-|---|--|-||----⌫|
q ue pas deri resete nist	-⌫-|--|-|--⌫-|-|--⌫---|
l iparentrenar t ontgrant	-⌫|-----|-----⌫|--|----|
enu e lt oirle con te	-|-⌫-⌫-|--|-|---⌫-|
ainz comman dequelon	---|------⌫-|--|--|
thi bertli	---⌫---|-|
c hazlesieuslibende	-⌫--|--|---|-|----|
et roeniaus lesmain sli lie	-|-------|--|----⌫|-|--|
bi enont renart en lor	--⌫-|--|-----|-|--|
d e pamois onestreuenuz	-⌫|------⌫-|--|------|
bien fule iou rpor f oltenuz	---|-|-|---⌫|--|-⌫-|----|
sedelorma ins pooi tpartir	-|-|--|--⌫--|----⌫|-----|
i roit ho m e trair	-⌫---|--⌫-⌫|----|
molts ehastentdelui d effaire	---|-⌫|------|-|--|-⌫------|
toute lacortoissiez braire	----|-|---|------|-----|
r enartuietense r	-⌫----|--|-----⌫|
pri e con lelait confe sser	---⌫||-|-|---|-----⌫---|
ca ra gehirli couient	--⌫||----|-|------|
lespechiez dont	--|------|---|
illisouient	-|-|------|
atantlifontuenir	----|-|---|----|
proiereson cousin	------|--|-----|
m o nseignor grinb ert	-⌫-⌫|------|-----⌫--|
mo ltagrantduel	--⌫-||----|---|
oucuercouuert	-|---|------|
renart sefistal ui confes	-----|-|---||-⌫-|-----|
si li enc harge s igrant	-|-|-|-⌫----|-⌫|----|
sicoml enconfessere nart	-|--||-|-------|--⌫---|
a tantes u os	-⌫---|-|-⌫-|
sirehernart	---|------|
degra ntmo n t i lluecr epa irié	-|---⌫-|--⌫-⌫|-⌫----|-⌫---⌫----|
tr oua grinbertmolt corroucié	--⌫--|-------|---|---------|
d erenart lia demandé	-⌫|-----|-||-------|
quel irois	--|-⌫|---|
ena commandé	-||--------|
biaussire quetotsoit pendu s	----|---|--|--|---|-----⌫|
parnuluinesoitde sfendus	--|----|-|---|--⌫------|
freresot ceq ui ldit	-----|-|-|-⌫|-⌫|--|
n elenp esa	-⌫||-|-⌫--|
q ue r enartne stoit	-⌫-|-⌫----||-⌫----|
pasuillains	--|-------|
ainzertd eg rantfr anchis e	---|--|-⌫|-⌫---|--⌫------⌫|
re nartla b ie naparceu	--⌫---|||-⌫--⌫|------|
augr antduelqueil a eu	-|--⌫--|---|--|-||-|
quem ai nne grinbertli	--|-⌫--⌫--|-------|-|
ete s pinars liheris on	-|-⌫-⌫-----|-|-----⌫-|
laou uoi tnoblebonement	-|-|---⌫|----|-------|
lesalu ecorto isement	-|----⌫|-----⌫------|
liroisselieue en son estant	-|---|-|----|-|--|-----|
neset frerequeilaint	-|--|----|--|-|---|
deiousteluil	-------|--||
frere ber nartl aapoi é	----|---⌫---|||----⌫-|
ensonlan gageuaparlant	-|--|---⌫---|-|------|
porr enartleuas ermonant	--|-⌫----|-|-|-⌫-------|
ensonlangageuelt parler	-|--|------|---|-----|
