auiures negarison	|-----|-|------|
fai llizseie	---⌫---|---|
ualei rmer ecrei e	-----⌫|-|-⌫-----⌫|
despariurez seront sanglanz	--|-------|-----|-------|
misglaiues dacer emis branz	--|------||---||--|----|
ausicu mdesseu rasanson	---|--⌫|------⌫-|-----|
par forcelagulealli un	--|----|-|---|-|--⌫-|
desseuerrai ie	----------|-|
lor amassee	--|------|
ialorserralir emostre e	-|--|----||--⌫|------⌫|
desquapetit queiai uers	----||----|--||-|---|
s anglan z epariurése	-⌫------⌫||--------||
so r matendent ia	|-⌫||-------|-|
les oilz e la chereel ef ront	--|---||-|----||-⌫|-⌫---|
a plus duncha r bonesbrasez	|---||-|---⌫-⌫--|-------|
sei gnors faitil	---⌫----|---|-|
si uosormame z	-|--|-||---⌫|
silm e f aites aparissant	-||-⌫|-⌫----|---------|
qu antceoueit	--⌫--|--|---|
bernartlenormant	------|-|------|
q u aitantest l oure	-⌫||----|--||---|
qui n epo etmie	--|-⌫|--⌫-|--|
e streabaisee	-⌫---|------|
conoist del d uc	------|--|-⌫-|
lefert a lent	-|--|-⌫-⌫---|
elagrant irequi l	|-|----|--|--||
c ri entuerslui seitmultira scuz	-⌫--⌫--|---|--|---|---|---⌫---|
mul tenchaei ze offenduz	---⌫|-------⌫||-------|
ceoq uil puet	--|-⌫|-|---|
uersluil asoage	---|--||-----|
il ceuos pri	-|-|--|--|
queuosneuo s iriezuers m e i	--|--|-|--⌫|----|---|-⌫-⌫|
nest rie ns ui ueo ice st	|--|---⌫-|--⌫-|-⌫|--⌫-|
qui plus demei	--|---|-|--|
aimtuo stre honor	---|--⌫---|----|
uoudraitel	------|--|
faisen prendre	---|--⌫------|
porgarde r lauose defend re	--|-----⌫|-|--||------⌫-|
e rtdit eld esseue re r	-⌫-|--|-|-⌫------⌫--⌫|
qued erienenfa c e	--|-⌫|---|-|--⌫-⌫|
maisco mmanderdeuez edir e	---|--⌫------|----||---⌫|
r i ensqui uos en	-⌫-⌫--|--|--|-|
uien geaplaisir	----⌫-||------|
ainzdeuumpar	---|----|--|
or n iaplusseit	-||||---|---|
epri seeslit	|---⌫||----|
l iquelir ontensem bl e od	-⌫|---|--⌫--|-----⌫--⌫|-|
ceinzlesbr azd	----|--|--⌫-||
aci erper illos	---⌫-|---⌫----|
ceoorentmislor	--|----|--|--|
s ine pore nt unq ues aue ir	-⌫|-|----⌫-|---⌫--|---⌫-|
suscielque	--|---|--|
tre isc e nz	---⌫-|-⌫-⌫-|
cheu aliers	----⌫-----|
quiarmesai entedes tr ers	--|----|--⌫--||---⌫--⌫--|
cistunt leduc aseuré	---|--|-|--|------|
pr a mise pleui e iuré	--⌫-⌫--||----||----|
queceoquilfera	--|--|-|-|---|
l amortn e li	-⌫|---|-⌫|-|
neund eeusto zni ferafa ille	-|-|-⌫|--|--⌫|||---|--⌫---|
dunc cheuauch ent uerslabatail le	---|--------⌫--|---|-|------⌫-|
sel onlamaniered acie ne	---⌫-|-|------|-⌫----⌫-|
lacostomeanciene	-|------|------|
lorgenzelorconreiz	--|---||--|------|
du nc c h euachentuers l ost	--⌫-|-⌫-⌫-------|---||--|
lure ns eignes al uentde sp leient	--|-⌫--⌫-----|-|---|--⌫--⌫-----|
sique lore nemisle su eient	----|--|-⌫----|--⌫|-⌫----|
li plosurdeeusenu n tgrant ioie	-|-----|-|--|-|-⌫-⌫|----|---|
ka rmultestlurcompaigne	--⌫|---|--|--|--------|
si quident que tutseien tlur	-|------|--|--|-----⌫|--|
ceu s ouaueitpoi	---⌫|-|----|--|
se nrentr erentdedenz	|-⌫|-----⌫----|-----|
les mu r s	--|--⌫-⌫|
ou na ueit g airesdes seur s	-||-⌫---|-⌫----|--|----⌫|
lidu xdesestrei s	-|--⌫|-|--|----⌫|
cen zarmez	---⌫|----|
atre isconreiz faiz	|---⌫-|------|---|
as fer eorsuout pr imiersestre	-|---⌫---|---|--⌫-----|----|
cifude seitozsire	-|-|-|--|--|---|
ci uoutestregonfanoniers	-|---|----|-----------|
oiparra quiert	-|----|--|--|
ch eualie rs	--⌫------⌫-|
uestu la test ea rmee	----|-|----⌫|-⌫---|
lescualcol	|---|-|--|
ceinte le spee	-----||-⌫---|
lalan ceel poin augonfano n	-|---⌫-|-|---|-|-------⌫|
surlecheualba uzang asco n	--|-|-----|--⌫---|-⌫----⌫|
forteisnele	---||----||
l or aletornei com encé	-⌫-||-|-----|---⌫----|
deuantle sautresunarchee	-----|--⌫|-----|-|-----|
toz abri uez lance	--|----⌫--|----|
l or u aitun cheualierocire	-⌫-|-⌫--|-|--------|----|
duntsiamiorent	---|-|--|----|
cilse steitprimeses laissiez	--||-⌫----|-----|--⌫-------|
dar mescor agos e	|--⌫--|---⌫---||
ici s ts e	---⌫-⌫|-⌫|
s unt a teint premier	-⌫--|-⌫----|------|
ta nt co m	--⌫-|--⌫|
ren dir ent li destrier	---⌫---⌫--|-|-------|
out bie nle	--|---⌫|-|
duc pe rcie ́	--|--⌫----⌫|
elefortosbercde smailié	|-|---|-----|--⌫-------|
siquelisanc len	----|-|---||-|
ist de l cors	--|--⌫|---|
ec il ne liest m ieestors	|-⌫-|-|-|--|-⌫-|-----|
karlidu x lerasi ate int	--|-|--⌫|-|-|-|---⌫--|
que totsong laiue	--|--|--|-⌫----|
lie mpeint	-|-⌫-----|
parmi l escu e	----||---||
par leo sberc	--|-|-⌫----|
siqu es co stezperentli merc	---|-|--⌫---|-----|-|---|
sidolerosqu enmila u e ie	-|------|-|---|-|-⌫-⌫-|
l en deuale de corslefe ie	|-|-----|-|---|-|--⌫-|
duncdistli dux pa r grantiror	---|---|-|--|--⌫|----|---|
teufindeit fairetraitor	--|--|---|----|------|
teulaferuntli autre	--|-|-----|-|----|
ia ai nz ne m eschaperont m es	-|--⌫-|-||----------|-⌫-|
encu ibaissera i	----⌫|--------⌫|
karriens tantdesir neuoil	--|----|---|----|-|---|
ain zqueli duxfeist	---⌫---|-|--|----|
outtraitle	--|----|-|
ue r tbrant	--⌫-⌫|----|
d e c olor	-⌫|-⌫---|
enzeltas delsse uaitmeslie r	--|-|--||--|-|---|------⌫|
laueiss iez teuscous	-|-----⌫--|---|---|
quele sheaumeslor esquartiere	--|--⌫|------|--|----------|
encuife radeeustant e	----|--⌫-|-|--|----⌫|
queianertmaisiorne	--|-||--|---|--|-|
se nplaignent	|-⌫|--------|
edesq ueles cenz i	|----⌫-|--|---||
a te ignent	-⌫--⌫-----|
p oezsaueir gr antbruiseiz	-⌫--|-----|--⌫--|-------|
o utsur l escuz	-⌫-|--||----|
de lances tren chanz	-|-----|----⌫----|
lesenseignes aorbatues	--|--------||-|-----|
sen is s e nt des cors degut antes	|-|--⌫-⌫-⌫-|--|---|-----⌫----|
descolo rees esa ng lantes	-------⌫---||--⌫--⌫-----|
odle branz	-|-|----|
dacer lorremail le nt	|---|--|------⌫--⌫-|
sitost cu mlorl ance sfaillent	-|---|--⌫|--|-⌫----⌫|-------|
la charlortranchentelesos	-|---|--|--------||--|-|
sisuntestreit	-|---|------|
se rréeclos	--⌫---||---|
q ue riensnelespoetdepartir	-⌫-|----|-|--|---|-------|
multluntbienfai t	---||--|---|---⌫|
al a uenir	||-⌫----|
l ostunten deusmeitiez	|--|--|-|---|------|
duncrestbat aille auen ue	---|---|---⌫----|----⌫-|
urestei entlicent arme ́	|------⌫--|-|---|----⌫|
ianeser a maisre c onté	-|-|---⌫|---|--⌫-⌫----|
qu eplustres aireement	--⌫|---|---|--------|
sala st comba trenuleg e nt	|---⌫-|-----⌫--|---|-⌫-⌫-|
ne p rendreissi mo rtelsueniances	-|-⌫-----|---|--⌫----|--------|
quenz el plus granz bru il	-|--|-|---|----|---⌫-|
de l orla n ces	-|-⌫-|--⌫-⌫--|
loruuntles osbers	--|---|--|-----|
desmailier	---------|
e lesg ro sdes cors despeccier	|--|-⌫--⌫|--|---|---------|
ereuerseri amb es le uees	|-------|-⌫---⌫-|--⌫---|
edetrenc hera sesespees	|-------⌫--||--|-----|
sidu remen tqu	-|--⌫-----⌫|-|
enpoid espace	-|--||-----|
enfusiiuncheelap lace	-|-|-|------|-|-⌫---|
quen san ci sunt d esquas	-|-|---⌫||---|-⌫---|-|
multsicontienentbie n lesn oz	---|||---------|---⌫|--|-⌫-|
oirpoez cum f aite ment	--|---|--|-⌫----⌫---|
gui llaume e lisoencent	---⌫-----||-|---|---|
u nten gig niezlorenem is	-⌫-|--⌫---⌫---|--|----⌫-|
de lautr e part les u nt	-||----⌫|---|--|-⌫-|
la lesescrient	-|--|-------|
easaillent	|--------|
elesforzosbersl ordesmaillent	|--|---|-----|-⌫-|----------|
mult l esmettenten	---|-⌫-|------|-|
grant eff rei	----|---⌫--|
adoncauintle tierzconrei	----|----|-|----|-----|
eis i de sira nzde louraigne	---⌫|--⌫----⌫-|-||-------|
que niapas diz quinen taigne	--||||--|--|--||-|-----|
cison penon en	-|--|----|-|
san c uermeil	---⌫|------|
maisoin i out si	---|-|||--|-|
fort trepeil	---|------|
deso rlesuntil	--|-⌫|--|--|-|
faitbranler	---|------|
ede laplace	|-|-|----|
d es or lori sor t granzesmais	-⌫-|-|--||---⌫|----|-----|
karfelsed esuezeirais	--|---||-⌫----||----|
loruu ntlesno z pl ustr es hardiz	--|--⌫-|--|--⌫|--⌫-|--⌫-|-----|
quenest lif aucs	--||--|-|-⌫---|
uersla perdriz	---|-|------|
nas fei ble sbest es	|-|---⌫---⌫|----⌫-|
qui uer s lui n unt	--|---⌫|--||--|
defensi ons	-------⌫--|
autr esilesuuntdetrencher	----⌫--|--|---|---------|
e se cilsuntbuencheualier	|-|--|---|---|--------|
ne l oriuautesforcem enz	-|-⌫-||---|--------⌫--|
nemultit udine de lor genz	-|------⌫----|-|--|---|
la u plu squidentreco urer	-||---⌫|------|----⌫---|
laloruaitlonles chesco uper	-|--|---|--|--|---|--⌫---|
les corseles mainseles	--|---||--|----||--|
qu eraise gotese esclaz	--⌫|---||----||-----|
lo ristde sancsie	--⌫|--|-|---|-||
qu enlapree	-|-|-|---|
senuersent pale	|--------|---|
criementque iapezn	-------|--|-|--||
perd entles c o rsperdent	----⌫--|--|-⌫-⌫-|------|
nefu deweplusarosee	-|-||--|---|-----|
quorestd esanct otel apree	-|-|--|-⌫|---|-⌫--|-⌫|---|
icilchaples a ta n t duré	---|------||--⌫-⌫|----|
qu e des tentesfurentieté	--⌫|--|-----|-----|----|
nelorenlutnule de stendre	-|--|-|--|---|--⌫------|
nautre aueir nulsaisirneprendre	|----|----|--|-----|-|------|
n oistesgent quien tant	|-----|---|--|-|---|
eisitotaf aissenzdemore	---|--||-⌫--|---|-----|
fust mais uenc uene	---|---|----⌫-|-|
n eissi deu	|----|--|
totdesbaratee	--|---------|
q uecenefupas	-⌫-|-|-|-|--|
au tr e ment	--⌫--⌫-⌫---|
le fis tueraiem ent	-|---⌫|-------⌫--|
quiceus maintient quisedefendent	--|---|--------|--|-|--------|
equipurlor grant d reit cont endent	|--|--|--|----|-⌫---|----⌫-----|
c i alidusb ien	-⌫||-|--|-⌫--|
e deusli a mainte n u	|---|-||------⌫-⌫|
se sm orteusenemis	--⌫|-⌫-----|-----|
auoi uencuze m or z e	---|-----||-⌫--⌫||
mult riolparlab ata ille	---|---|--|-|-⌫---⌫---|
sortrestote rien setrauaille	--|-------|---|-|--------|
de lu i tro u erdefaire ente ndre	-|--⌫|---⌫-⌫-|-|----|----⌫---|
quebi endeustlat erreprendre	--|--⌫-|----|-|-⌫---|------|
offreit g raan tement	------|-⌫----⌫-----|
maisliuilainsdit	---|-|------|--|
plainem ent	-------⌫--|
quecilp ariugementdesert	--|--|-⌫-|-------|-----|
quitutc oueitetot	--|--|-⌫-----|--|
rious totconueitout a ueir	----|--|---------|-⌫---|
amostr é s on poeir	|-----⌫-|-⌫-|----|
porcaperd ule tuts enz faille	--|||----⌫|-|--|-⌫--|-----|
keil estuencuenbataille	-|-|--|----|-|-------|
honize destruiz e confu s	----||-------||-----⌫|
enc hau cedepreslidu x	---⌫---⌫-|-|---|-|--⌫|
eteus seixantecheu alier	|---|-------|----⌫----|
qui uncnorent teudesirer	--|--||----|--|------|
n ulsuscielc umd	-⌫-|--|---|-⌫-||
ate indre a lu i	---⌫----||--⌫|
unechosesaibi en equi	--|----|--|--⌫-||--|
sid ec es te	-|-⌫|-⌫--⌫-|
p oeteschaper	-⌫--|-------|
ciert mais sonde rier	|---|---|--|--⌫---|
que demprendrenede nu air	--||--------|-||-⌫--⌫--|
quaudu cuienge	-|-|--⌫|-----|
terretol ir	----|---⌫-|
cum i laespleitié	--|-⌫||---------|
s ilpotestre prisneb ai llié	|-|--|----|---|-|-⌫--⌫----|
est faitceoset defi	--|---|--|--|-|-|
p ouru sedesco lu ri	-⌫----⌫||-----⌫--⌫-|
gra ntboisenb atuz	---⌫-|---|---⌫---|
nepote streat einzneueuz	-|--|-⌫---|--⌫---|-|---|
deschaciez fuas se z	---------|-|--⌫--⌫|
ma isuncnepout estre trouez	--⌫-|--|-|---|----|-----|
mult par e n outli	---|--|-⌫|--|-|
dus grant ire	--|----|--|
oirporriezfieremartire	--|------|----|------|
uerseigne uuntla gentuencue	--|-----|---|-|---|-----|
qui d elabatail l eerteissue	--|-⌫|-|------⌫-⌫|--|-----|
fuit a lamorta	---||-|---||
lamortuient	-|---|----|
nuledotancen	---|------||
quenz nenentrent purmortrece iure	-|--|--|------|--|---|----⌫---|
tan t l ore nicouint	---⌫|-⌫-|-⌫||-----|
eneschapa lointains	-|------|--------|
cilq uierent	--|-⌫-|----|
t r ouez aspl a ins	-⌫-⌫---|-|--⌫-⌫--|
erenten p oid ure feni	----|-|-⌫-||--|---|
aucundeus siga ri	----||--|||--⌫-|
cefistl aselueespesseebrune	-|---|-⌫|----|------||----|
ainceisraia tot	------|---|--|
clerlalune	---|-|---|
cun que srema sistlamerueille	|--⌫---⌫|----⌫---|-|--------|
e nmainzlieu s	-⌫|----|----⌫|
ertl erb euermeille	--||---⌫|--------|
p armi les corsdestr enchez	-⌫---|--|---|-----⌫-----|
outenueiéliduxpreisiez	--|------|-|--|-------|
purles soensquerre	--|--|----|-----|
e purcerchier	|--|-------|
seri ant ne cheualier	----⌫--|-|--------|
ni out dessuens	||--|--|----|
tr ou ezoccis	--⌫--⌫-|----|
ne iezafolez emau mis	--⌫--|-----||---⌫--|
duncout ioieduncse	---|--|---|---|-|
dunc f uihesu cristmerciez	---|-⌫|----|----|------|
queeisis ecurtesiauance	--|---|-⌫----||-|-----|
ceu squien	---⌫|--|-|
liunt es perance	-|--|--⌫------|
ne uosserreit pas sem presretrait	-|--|------|--|---⌫---|------|
legra ntguaain	-|---⌫-|-----|
quicifufait	--|-|-|---|
m aistr op ifudesm esure z	-⌫--|--⌫-||-|----⌫-----⌫|
telsaueirs	---|-----|
mais ni fuiostez	---|||-|-----|
tanttrefsne tantbel	---|----|-|---|--|
t an tman teluairtant p e licon	-⌫--⌫|---⌫--|---|---|-⌫-⌫----|
tantcoffre netante uaissele	---|-----|-|----|-------|
tantedespo ille richeetbele	----|-----⌫---|----|-|---|
osberctant brant	-----|---|----|
tant pa lefreie	---|--⌫-----||
tantd estrier	---|-⌫------|
autr es aueirsriche s et mainz	----⌫-|-----|-----⌫|-|----|
nefuiam ai sfai tsifaizg aainz	-|-|---⌫--⌫|---⌫|-|---|-⌫----|
bataillef u iostee	-------|-⌫|-----|
ousigrantde elsparut	-|-|----|-|--|----|
quidesmorz erttotecouert e	--|--|---|--|---|------⌫|
edesanc uermeilarosee	|-|---|------|-----|
f u puis l ertmaisapele e	-⌫|---||--|---|-----⌫|
toziorle p rede	-----|-|-⌫-|-|
laba t aille	-|--⌫-⌫----|
uosdis enz faille	--|-|-⌫--|-----|
que triuesaddesormais p ris	--|-----|-|--------|-⌫--|
lidu xdetozsesenemis	-|--⌫|-|--|--|-----|
au treou reuoudruntenuair	--⌫--|--⌫-|-------|-----|
qu essaierli terr ea	-|------|-|----⌫||
fuizsenestde normendie	---||-|--|-|--------|
riolslipariur feimen ti e	----|-|-----|------⌫--⌫|
io sarem a neir	|-⌫-|---⌫-⌫---|
netruis que	-|----|--|
puisne sun eir	---|-|--|--|
pl einpede terre	--⌫--|-|-|----|
qu iatortp rentestrifne gerre	--⌫||---|-⌫---|-----|-|----|
tuteisilendeitauenir	--|---||-|---|-----|
seignorn ideitfailli r	------|||---|------⌫|
haitiez i o iose lezeb auz	------|-⌫-⌫--||--||-⌫--|
senrepairoutdelgran ten chauz	|-|--------|--|----⌫|--⌫----|
mais ne semblotpas cheualer	---|-|------|--|-------|
qu ifusteissuz dedousn eier	--⌫|---|-----|-|-----⌫---|
karleheaume	--|-|-----|
elehaubercensang len té	|-|------|------⌫---⌫--|
fraint eoschi ésunbrant	-----||-----⌫-|--|----|
es i nep ert mie aude strier	|-⌫|-|-⌫--|--|-|--⌫-----|
quil na i t	-|-||-⌫-⌫|
esté esgra nzmeslees	----|-|---⌫-|------|
gr anzcous d espees	--⌫--|---||-----|
f ai tilsiberna rt ledaneis	-⌫--⌫|-|-|-----⌫-|-|-----|
faiseit que prozeque	------|--|---||--|
sireme se rreitpardonee	|--|-|--⌫----|-------|
k arod letrenchantde m espee	-⌫-|-|-|--------|-||----|
liaidreitfaitso nlimesfis	-|-|----|---||-⌫|-|-----|
uersmesplusmortelsenemis	---|--|---|------|-----|
moillie sene s toien cent	------||-|-⌫-⌫|-|-|---|
tuitliplu ssa insn	---|-|---⌫|--⌫--||
al son dit s ei t asuenuol eir	-|--|--|-⌫--⌫||---|---⌫--|
en d eitlepr isaueir	-|-⌫--|-|--⌫-|----|
a ioiesgardé	-⌫|-|-------|
nul plusfelon ne plu sengres	--|---|----|-|---⌫|-----|
n en o utcontre ussetdeuersnos	|-|-⌫-|----|-⌫-|--|-----|--|
molt l ura e s té damago s	---|-⌫-||-⌫-⌫--|------⌫|
prozestethardize aida bl es	---|--|-|-----||----⌫--⌫-|
entoz es toueirsmetables	-|--|--⌫------|-------|
oiaiueugenzbienaidier	-|-|--|---|---|-----|
un quesm aistrei s centcheual ier	--⌫---|-⌫--|----⌫|---|------⌫--|
nerecur entsigrant	-|-----⌫--|-|----|
cumelinostreunt oicestior	---|-|-----|--|-|---|--|
secorum untde usle lormire	-----||--|--⌫-|-|--|---|
deumunt seiele pire	--|---|---|-|---|
se ieoiamaisanul ior	-|--|-----||--|--|
l orfa i l	-⌫-|--⌫-⌫|
silormerirai	-|--|------|
ces ttrauail	---⌫|------|
eceste feiquilmuntportee	|----|--|-|-||--|-----|
que tan tcumieo	--|---⌫|--|--|
m aisceigneespee	-⌫--|-----|----|
ne lorse r afaittortnennui	-|--|--⌫-⌫|---|---||----|
tantdorraia lpluspoureencui	---|-----|-⌫|---|----|----|
dun tdemielz ert mais a lorgenz	---⌫|-|----|--|---||--|---|
poreus amerail or	--|--|-----|-⌫-|
e escreis traimaisamauie	|-------⌫---|---||-|--|
cenz milefe izles	---|---|--⌫-|--|
en m ercie	-|-⌫----|
e nmante sen i outp arlé	-⌫|----|--||--|-⌫----|
ma i s nul deusnontaco mpa ré	--⌫-⌫|--||--||--|---⌫---⌫--|
li duxa ueit fait	-|--|-⌫---|---|
karchasconditbiene r etrait	--|------|--|---||-⌫-----|
queparlesforz d eses	--|--||-----|-⌫|--|
un t esté morzuencuzema z	--⌫|----|---|-----||--⌫|
leprislendonentcestbien dreiz	-|---||-|-----||--|---|----|
ilatotes fe iz	-||----|--⌫-|
uendreient ac heualiers	---------||-⌫--------|
plus f o rzplu shardizeplus fiers	---|-⌫-⌫-|---⌫|-----||---|----|
nepl u scora io snemai ns	-|--⌫-⌫|----⌫--⌫|-|---⌫-|
nepen dienulescu	-|---⌫--|--|---|
o iezain zquil fust descendu	-⌫--|---⌫--|-|---|-------|
sauei r cum li	-----⌫|--|-|
d e feschamuint	-⌫|------|---|
uncheualer	-|-------|
aesp eronsurun	|---⌫---|--|-|
quino ueles bonese	--|--⌫----|----||
conteese nuncie es	------||------⌫-|
kardelagentil d ameisele	--|-|-|-----|-⌫-------|
sprotel atres proze labele	-----|-⌫|---|---||-|---|
quilo ut pris e	-|-|-⌫-|----⌫|
sic umieuosdis	-|-⌫-|-|--|--|
so l uml usa ge	--⌫-⌫-||---⌫-|
dun tsispereert	---⌫|--|---|--|
nezenur riz	--||---⌫--|
liaueitdeu sdon éunfiz	-|----|---⌫|---⌫-|-|--|
equa ntcill	|---⌫-|--||
out al ducnuncie ́	--|-|--|------⌫|
s auant este itioioselie	|----|----⌫-|----||--|
or fuil plusdis mili etanz	-|-|-|---|--|----⌫|---|
merueille s out destalanz	---------⌫|--|--|-----|
eisiauient de grant tris tece	---|-----|-|----|----⌫---|
reuie nt l om	-----⌫-||-|
tosten gra nt	---|-|---⌫-|
del champ uencu	--|----|----|
liezert deleir quiest	---|--|-||--|--|--|
cesdou s ioiessun	--|---⌫|----|--|
quoramplissent	---|---------|
esiuersdeu leraducissent	|-|---|--|-|----------|
qu e nfa itn en	-|-⌫|--⌫-||-|
oureque ilsace	---|--|-|---|
n ef e r ar ien quili	-⌫|-⌫-⌫-⌫|-⌫--|--|-|
abaiusleue squehenris	|----||---⌫---|-----|
saintismesho me	---------|--⌫||
a ce stui seitportélenfant	|--⌫---|---|-----||-----|
ceocomandedemainte nant	--|------|--------⌫---|
epar botu nleb ondaneis	|--|----⌫|-|-⌫-|-----|
l epro zle sagelecorteis	-⌫|---⌫|-|---|-|------|
laletien gee nfu nz	-|-|----⌫-|-⌫|--⌫-|
multde sire ia	---|--⌫---|-|
quefa it seit	--|--⌫-|---|
richartai tnons i	------|--⌫|--|-⌫|
seit no mez	---|--⌫--|
quilse it apelez	-|-|--⌫-|-----|
m ultfutost faitioio sement	-⌫--|-|---|---|----⌫-----|
sonbones onc omandement	--|--||-⌫-|-⌫---------|
puisf uafeschamraportez	---|-⌫||------|-------|
i loc fu nurizegardez	-⌫--|-|----||-----|
rie nchertenuz	---⌫|---|----|
plusbelsenfe s ne fuueuz	---|---|----⌫|-|-|---|
tres i oiose auenture	---|-⌫----|-------|
e dela grantdesconfiture	|-|-|----|-----------|
u furentmo rtlitraitor	|-----|--⌫-|-|------|
edelocci se e	|-||----⌫-||
chaci éfu itif delacontree	-----⌫-|--⌫---|-|-|------|
fu liezguillaum e	-|---|--------⌫|
longe espee	----|----|
essauci ez fu erenomez	-------⌫-|-||------|
les iecl e honorez	-|-⌫----⌫|------|
odpaiss eureetestablie	-|---|-⌫---|-|-------|
t intp uisbretai gne enormendie	-⌫--|-⌫--|------⌫--||--------|
ioiosem enten quitee	-------⌫--|-|-----|
sen zguerreesen zauersite	---⌫|-----||---⌫|-------|
nioutuncpuissiorgoillos	||--|--|---|-|--------|
siric h es ne s idesdeig nos	-|---⌫-⌫-|-|-⌫|-------⌫--|
quilliosas tdi ren efaire	-|-|-|----⌫|--⌫-|-⌫|----|
chosequil i fustacontraire	----|--|-⌫|---||--------|
liprincee liba ron	-|-----||-|--⌫--|
desiroentsa b ienuoil lance	--------|-|-⌫-------⌫----|
e destr e asonc oma ndeme nt	||----⌫||--|-⌫---⌫-----⌫-|
e cildeborgoigne enseme n t	|--|-|--------|------⌫-⌫|
cilde flandrese li danei s	--|-|-------||-|-----⌫|
etcil debe rneetli	-|--||---⌫--|-|-|
e ste inttuit a sun	-⌫---⌫--|---||--|
ealuiamer etseruir	||--|---|-|-----|
cildesestrange snascions	--|--|--------⌫|-------|
edelointaig nesregions	|-|--------⌫--|------|
de s mie nuituerso ri ent	--⌫|---⌫---|---|-⌫--⌫--|
u eneientasac ort	-⌫------||-|-⌫--|
quisorautresert r enome e	--|--|-----|--|-⌫-----⌫|
e l i noblesduxlonge es pee	|-⌫|-----|--|----|--⌫--|
hautementleshono r out	--------|--|----⌫-⌫--|
e tanz richesdons lor	|---|-----|---|--|
quemerueilleertuceoperneit	--|--------|--||--|------|
sifa i taueir ue ne it	-|--⌫-⌫|----|--⌫--⌫-|
qui reueislesgranzpresenz	--|-----|--|----|------|
lesfierslespreciosle sge nz	--|----|--|------|--⌫|--⌫-|
quisouen tlire eren tdonez	--|-----⌫|-|--⌫----⌫|----|
e enueieze presentez	|------||--------|
me rue illeen peu stgrant	--⌫---⌫---|-|---⌫-|----|
n ulsdesonprisdesun	-⌫--|-|--|---|-|--|
nertausie cleco ntez ne diz	|--|-|---⌫--|--⌫---|-|--|
si cumre conte lies c riz	-|--|--⌫----|-|--⌫-⌫--|
en lagrantfor estdelions	-|-|----|---⌫--|-|----|
o dse s p rince sodses	-⌫|--⌫|-⌫-----⌫|-|--|
uoutalerchacerau ruit	---|---|-----|-|---|
sicumiepensecum ie	-|--|-|---||--|-|
homesosc iel nerie nsquiui ue	---|--|-⌫--|-|---⌫-|--|--⌫-|
ne u it f or estp luspleint eiue	-|-⌫-|-⌫--⌫--|-⌫--|------⌫---|
queleert decer fse	-|--|--|-|---⌫-||
de senglers	-|-------|
o d sei menaba rons	-⌫|--|---|--⌫---|
c e u squilui ploutquili	-⌫-⌫-⌫|--|--|----|-|-||
ceuoutedi st e	-|---||--⌫-||
quom lifist mult grant	-|-|-|---|---|----|
foillie es	-------⌫-|
elogesbien aparill ees	|----|---|-------⌫--|
de iuncion chees	-|---|---⌫----|
nesaicum plusuo s	-|--|--|---|--⌫|
maisriche i futropliconreiz	---|----||-|---|-|------|
erichesfaiz	|-----|---|
li apareiz	-|------|
huesl idux	---|-⌫|--|
c ilde paris	-⌫-|-|----|
forz homericheede	---|--||----||-|
e herbertliquonsde seintliz	|------|-|----|-|----|--|
ienzche ualiersprozehardiz	---|---⌫------|---||-----|
eg uillaumeslipei teuins	|-⌫--------|-|---⌫-----|
quiriche squons ertpala ins	--|-----⌫|----|--|----⌫--|
icist t uit	----|-⌫--|
trei multnoblement	---|---|--------|
e odr icheconten ement	|-|-⌫---|------⌫----|
n onoda rmesne odconr eiz	-⌫-|-|-⌫---|-|-|----⌫--|
quisur lor	--|--|--|
ric hespalefreiz	---⌫--|--------|
odmult cointe apa rei llement	-|---|-----|---⌫---⌫------|
delduc solement	--|--|-------|
uindre nt a	------⌫-||
lachaceenlions	-|----|-|----|
od demu l tpreisiezco mpaignons	-|-|--⌫-⌫|-------|--⌫--------|
uncceq uidgentne fuueue	--|-|-⌫--|---|-|-|---|
aplusgrantioie receue	|---|----|---|-----|
multloragrantamor	---|--||----|---|
liduxguil laumeslongespee	-|--|----⌫-----|---|----|
quiuoutsi potal erch acer	--|---|-|--|--⌫-|--⌫---|
curreb erser u he rdeier	----|-⌫----||--⌫-----|
bie nles tintliduxlongement	---⌫|--|---|-|--|--------|
e sis achezcertaine ment	|-|-⌫----|--------⌫---|
quon elsiecle	-|-|-|-----|
genzn u le quimeuzfust ser uie	---|-⌫-⌫-|--|---|---|---⌫--|
unioresteit bea uslimatins	-|--|-----|---⌫-|-|-----|
q u ensgwi llaum elipeiteui ns	-⌫-⌫--|---⌫-----⌫|-|-------⌫-|
uin tauducparlerasa ten t e	---⌫|-|--|-----||-|---⌫-⌫|
oiezenqueiilau e its ent ent e	---|-|---|-|--⌫-⌫-||---⌫---⌫|
aueitunesorur	----|--|----|
puisneedelu i	------|-|--⌫|
ger l os la be lelenseigne e	---⌫-⌫-|-|--⌫-||--------⌫|
l aprozl a sagelaf aitee	-⌫|---|-⌫|---||--⌫----|
ce st e de si rout multli quons	--⌫--⌫|--⌫--⌫---|---|-|----|
o dsul treischeualier sdessuens	-⌫|--|----|---------⌫|--|----|
le duca r aisonmis	-|--||-⌫----|--|
fa it il sire o ez	--⌫-|-|---|-⌫-|
queiai quis	--||-|---|
t antesthaute chosedeuos	-⌫--|--|----|----|-|--|
e ta nt estespreisiezso r	|--⌫-|----|-------|--⌫|
