Che stleuiedesainte	-|-⌫-|-|--|-|-----|
miedespitm esproieres etdece que	--|-----|-⌫-|-------|-|-|-|--|
uousau és torn e ́mon co ur ousenioi e	---|--⌫--|----⌫-⌫|--|--⌫--⌫--|-|---⌫|
A tantsetorna deuers	|---|-|----|-----|
ses enfansetleurd ist	--|-----|-|---|-⌫--|
Mienfantcon fortésuous en	-|-----|---⌫------|---|-|
Seigneur etabandonnésuos	-------|-|----------|--|
cuersetuos	----|-|--|
ue gillesetaor iso n s etasautresoe uur esdepen itance	--⌫-----|-||--⌫---⌫-⌫|-|-|-----|--⌫---⌫-|-|---⌫-----|
car partans sauronsceque	--|--|---|------|-|--|
Sir es uousa appareillié etcilqui	---⌫-|---||-----------|-|--|--|
Ies uialpha etwc e est	-|-⌫-|----|-||-⌫|--|
commenchement et finsilparf acheenuouslebien	------------|-|---|-|----⌫---|-|---|-|---|
qu ilia com me nchiéA t ant s e	-|-|||---⌫--⌫-----||-⌫--|-⌫|
pa rti l esainteroin ede se senfa nsetuintmout	--⌫--|-⌫|-----|----⌫|-|--⌫|----⌫-|-|---|---|
Clodoueuson	-------|--|
segnoretlico ntat o utparor dr e	-----|-|-|--⌫--|-⌫-⌫-|--|--⌫--⌫|
ch ouquele auoi ttrouu é	--⌫-|-|--|----⌫|-----⌫-|
enses enfan s	-|--|-----⌫|
Quantliroisseutle repentanc e	----|-|---|---|-|---------⌫|
enfans sidist	-----|-|---|
Tou t c ee stuenude	---⌫|-⌫|-⌫-|---|-|
lemis ericord e	-|---⌫-------⌫|
Il estdroisque	-|--|----|--|
nousobeis sonsa leur uo lent é	---|-----⌫---||---|--⌫----⌫-|
Orn i a plus	-||||---|
forsqu e uous esgardésu nli uco nuenableou	---|--⌫|---|--------|-⌫|--⌫|--⌫-------|-|
ilpuissentrendre	-|-------|-----|
a le urcreatorch ouqu iliont	|--⌫-|------|--⌫-|-|-||--|
Laroinequimout	-|----|--|---|
estoit tous	-----|---|
iorspourueanslirespo ndi	---|--------|-|-----⌫--|
deleurhabitat io nnest mie	-|---|-------⌫--⌫||--|--|
anousaenquerreainsapartientseulemental e poru ea nche	|---||-------|---|--------|--------||-⌫|----⌫--⌫---|
Ie nedo utpasque	-|-|--⌫-|--|--|
Sir es q ui c uer et uolenté l eur	---⌫-|-⌫-|-⌫--|-|-------|-⌫--|
a do nnéd eluiseruir	|--⌫---|-⌫|--|-----|
quil n eleur	-|-|-⌫|---|
aitporueul iu co nuenable pour luiseruir	--|-----|-⌫-|--⌫-------|---|--|-----|
P our che tr eschiersir esi loieque	-⌫--|--|--⌫-|----|---⌫|-|-|-|--|
nosle u rfachons fair eunenef en	--|--⌫-⌫|------|----⌫|--|--|-|
S ainne si grant quele ur uiu re	-⌫----|-|----|--|--⌫-|---⌫-|
etleuruesteur ei puist	-|---|-------⌫||----|
estre aueciaus	----|---|---|
et uns seriant auecq uilesseruira	-|--|------|---|-⌫-|--|------|
Sireslesaura co nduitlaou	----|--|---|--⌫----|-|-|
se spl aisirs s era	--⌫|--⌫-----|-⌫--|
liser gans reuenrraetnous	-|---⌫---|-------|-|---|
diralepaïse t leliu	---|-|----|-⌫|-|--|
dele urhabitati on	-|--⌫-|--------⌫-|
Quantliroisoi le	----|-|---|-|-|
loab le con seildesefe me	----⌫-|---⌫---|-|-|--⌫-|
sili d ist	-|-|-⌫--|
Sainteroinec i s consausneuient	-----|----|-⌫-⌫|------|-|----|
mie de toi maisdel	--|-|--|---|-||
ord enementetdele	---⌫------|-|-|-|
porueanche che lui quidistpa rleprophete	---------|---⌫--|--|---|--⌫|-|-------|
Oeuu re t eboucheetie l emplirai	----⌫-|-⌫|-----|-|-||-------|
Et enautreliu	-|-|----|--|
distlescript ure d ec heluimeismes	---||-------⌫--|-⌫|-⌫----|------|
Toute s apienceu ientd e	----|-⌫------|-⌫---|-⌫|
P our cemetie do re e na uan ttout el	-⌫--|-|--|-||-⌫-|-⌫|-⌫---⌫|----⌫||
afairedenosenfan ss eur	-----|-|--|-----⌫|-⌫--|
enordenne sau conseileta le	-|-------⌫|-|------|-||-|
Seigneurcho uquetuuerrasqu i sera auporfitet	-------|---⌫|--|-|-----|--⌫|---|-|-----|-|
au saludel eur sames	-|---|-|-⌫---⌫|---|
Sitostc ommele	-|---|-⌫---|-|
sainteroine	-----|----|
eneutl otr oie t le	-|--||---⌫-|-⌫|-|
sonsegnorsi ma ndatan tost	--|-----|-|--⌫--|---⌫---|
lesouuriers e tleur deuis a le ne f	--|-------|-⌫|---|-----⌫|-|--⌫|
firentma intena ntsi	-----|--⌫------⌫-|-|
com mele roin el eu rauoit deu ise e	---⌫-|-|----⌫|-⌫--⌫|----|---⌫---⌫|
Et quant l enef	-|----|-⌫|--|
f uappa reillieetlienfantideurententrer	-⌫|----⌫------|-|-|-----||------|-----|
sire sg ard erent uersle chiel ausside si ex	-|--⌫--⌫---⌫----|---|-|----|----|--⌫|-⌫-|
del cuer comm edesiex	--|---|----⌫|--|--|
Bi aussire	--⌫--|---|
De xt o ute suosuoiessontmis ericordeetueri tésuostrechem ins	--⌫|-⌫-⌫---⌫|--|----|---|---⌫-------|-|----⌫---|-----|----⌫--|
estaussi b ienen	--|----|-⌫--|-|
ia ue comme en	--⌫-|----|-|
t erreAtant entrerentmoutliement	-⌫---||---|--------|---|------|
e n le nef	-⌫|-|--|
sans n ule compai ngniefo rsse ulementdun se rgant qu e	---|-⌫--|------⌫----|--⌫-|--⌫------||-|--⌫----|--⌫|
l e roine leur	-⌫|----|---|
auoitb ai lliépouriaxseruir	----|-⌫--⌫----|---|--|-----|
Il auoitilluec mout dep uepleassamlépour c es	-|----|-----|---|-|-⌫----|-------|---|-⌫-|
cosesesgarder	----|-------|
etquantiluirentq ueli enfantesto i e ntsi	-|----|-|-----|-⌫-|-|-----|----⌫-⌫-⌫-|-|
liemententré enlen efsi	------|-----|-|-|-⌫-|-|
commencherenttoutaploure rdepitie ́	------------|---||------⌫|-|-----⌫|
Nusn e doit	--|-⌫|---|
do uterque ces oeuresn euiegne ntde	--⌫---|--|--|-----|-⌫|------⌫-|-|
Ca rcomment porr oitceestrequ ecist enfantsen	--⌫|------|----⌫--|-|----|--⌫|---|-----||-|
alassent horsdelr egne	-------|---|--|-⌫---|
leur pe re nedegue rp isse n tsi liementt o us	---|--⌫-|-|-----⌫--⌫----⌫-⌫|-|------|-⌫-⌫-|
leurspare nsse	----|----⌫-|-|
Siresmeismes nelorfaisoitfairemaissans	----|------|-|--|------|----|---|---|
fai lleil obeissoientdel tota	---⌫--|-|----------|--|--||
le sente ncede	-|-----⌫--|-|
leuangilequi	|-------|--|
C ilquinedegue rpist	-⌫-|--|-|-----⌫----|
pereetm ere etquanquil apou ramo r	---|-|-⌫--|-|-----|-||---⌫|---⌫|
demi ilnepue t	-|-|-|-|---⌫|
es treme sdesciples	--⌫--|--⌫|--------|
maniere deguerpir ent chi l iou encelle	------|---------⌫--|---⌫|---⌫----|-|
F ranceets en alere ntcontreual	-⌫----|-||-|-----⌫-|--------|
Sainne nemie parfo rche	-----|-|--|--|--⌫---|
dauirons ne parle	|------|-|--|-|
conduit de nuluiqui les	------|-|----|--|--|
conduisistfors	---------|---|
Sires seule mentqu ienmout peu de ta n sleur	----|-----⌫---|--⌫|-|---|--|-|--⌫-⌫|---|
fi stla tereleur peres i	--⌫-|-|---|---|---|-⌫|
eslongier qu i l uinrrent en	--------|-|-⌫|-------|-|
Norm endie etilluec	----⌫----|-|-----|
prisent portpa r le	------|---|--⌫|-|
S eigneuren .i.liuquiestoitaui r onne ́sdegranz	-⌫------|-|--|--|--|-----|---⌫-⌫----⌫-|-|----|
montaingnesplainnesdef orés et d eroch es	----------|-------|-|-⌫----|-|-⌫|----⌫-|
auoit pris port auoitunliu	----|---|---|----|-|--|
q uecil du païsapeloi ent	-⌫-|--|-|----|------⌫--|
unssains hommanoit	--|----|--|-----|
quiau oit an o n	--|--⌫--||-⌫-⌫|
Phylebers et tenoitillueclord re etle	--------|-|-----|-----||---⌫-|-|-|
ru ille monsei g neursain t	--⌫---|--|---⌫-⌫---|----⌫|
Beneoitentre lu i et	------|----|--⌫|-|
moinesq ui a u ecluiesto i ent	-----|-⌫-|-⌫-⌫-|--|----⌫-⌫--|
quecilsainshom u int	--|--|----|--|-⌫--|
u ersleflue ue d e	-⌫--|-|----⌫-|-⌫|
Saineetquantli e nfan tl eurentap e rcheu si se	----|-|----|-|-⌫----⌫||-----|--⌫-⌫----|-|-|
merue iller ent mou t dec houquil	-----⌫-----⌫--|---⌫|-|-⌫--|-|-|
habitoit illue censi sauuaige liu	-------|-----⌫|-|-|-------|--|
c ilsainshomfu	-⌫-|----|--|-|
aprochiésde lenefe t ileut	---------|-|-|--|-⌫|-|--|
aperceuqueleneestoit	------|-|--|-|-----|
illueca rresteeparnul terri en	-----|-⌫------|--|--|-----⌫-|
gouuer neeur eti l eutueules enfan squi si	------⌫----|-|-⌫|--|--|--|-----⌫|--|-|
estoien t belet riche ment	-------⌫|--|-|-----⌫---|
atornésiseutbien qu il	------|-|---|---|-|-|
estoien tdemout	-------⌫|-|---|
gentilli gnai geet q ue	-----|--⌫----⌫-|-|-⌫-|
Siresnelesauoitillu ecamenés se	----|-|--|----|----⌫-|------|-|
porchenon qu il les uoloitauoir ason	--|--|--|-|-|--|-----|----||--|
aprochadesenfanset	------|--|-----|-|
leseut moutdeb o na irem entsa luéssi	--|--|---|---⌫-⌫--⌫----⌫--|--⌫----|-|
leu renquis t moutdebonai rementdequeltere	---⌫|------⌫|---|-------⌫-----|-|---|---|
ilestoie ntet loqoisondeleuraffoleure et	-|------⌫-|-||------|-|---|--------|-|
por qoi il	---⌫--|-|
e stoientilluecuenu	-⌫------|-----|---|
Li enfantquiuirentle sai nthome	-|-----|--|-----|-|---⌫-|---|
demoutreligieuse conten anche	-|---|---------|------⌫----|
lidescou urer ent leueritéd e tot esles	-|------⌫----⌫--|-|------|-⌫|---⌫-|--|
coses qui le urauoitenquises	----|-||--⌫-|----|-------|
prierentpor	-------|--|
Diuquil l eu rdonnasttel	--|-|-|-⌫--⌫|------|--|
conseilseurcescoses quilauoi t oiesquifust	------|---|--|----|-|-|----⌫|---|--|---|
Dieue t ausalut de lor amesAta n t	---|-⌫|-|----|-|--|---||--⌫-⌫|
lesme nal i sainshom as	--|--⌫-|-⌫|----|--|||
abitationouilauoit.i.moustierdemon	--------|-|-|----|--|-------|-|--|
seigneursaint	-------|----|
Pierr e lepr inche de sa post res etleurdist	-----⌫|-|--⌫----|--⌫|-⌫----⌫--|-|---|---|
Sai chie ́s q ue	---⌫----⌫-|-⌫-|
huiencest iour mo ut	--|-|---|---|--⌫-|
esleechiél amedemi de uostreuenueet	---------||--|-|-|-|-----|----|-|
deuo strecompaignie	-|--⌫---|---------|
O ruous esioiss iés	-⌫|---|-------⌫---|
aue cmoi en lepeoret en	---⌫|--|-|-|---|-|-|
Seig neurcarl escripturedit quechiausquidoutent	----⌫---|--||---------|--|--|-----|--|------|
Dieu etla inment	---|-||-⌫-----|
enue rit é	-|--⌫---⌫-|
quenule coseneleurfaut	--|---|---|-|---|---|
Li enfant demourerent	-|-----|----------|
au eccelsaint home	--⌫-|--|----|---|
a cuiilobeirenttote leuruie	|--|-|-------|---|---|--|
peree n ur aiehu militéet enl amour dechelui	---|-⌫|--⌫--|--⌫------|-|-||----|-|-----|
Me s geusestlegiersetmesf ais soués	--⌫|---|--|------|-|--|-⌫--|-----|
etenuoi erentleurde ua ntdit sergantauroi	-|-----⌫----|---|--⌫--⌫----|------|-|--|
Clodoueuleurpere	-------|---|---|
eta leroine	-||-|----|
Balt elt leur me re etleurraconta	----⌫--|---|--⌫-|-|---|------|
toutes lescos es qui estoient auenues a	-----|--|---⌫-|--|-------|------||
leursenfanspar le	----|-----|--|-|
Seigne ur pu is qu	------⌫-|--⌫-|-|
ilesto ien tdiausparti	-|----⌫---⌫||---|----|
Qua ntliroi set leroineoirentl egrant	---⌫-|-|---⌫|-|-|----|-----|-⌫|----|
patienc eet la uo len tieuepouretéquel eur	-------⌫|-|-|--⌫---⌫----|-------|--|-⌫--|
enfantauoient emp rises eneurentmoutgrans ioi ee n	-----|------|---⌫---||-|-----|---|----|---⌫|-⌫|
leu rscueurs	---⌫-|-----|
rendirent gra c esa	--------|---⌫-⌫-||
Se ign eur et dirent	--⌫---⌫--|-|-----|
Dexuos treno nssoitb eneoiset glorefiésq ui	--|---⌫--|--⌫-|---|-⌫-----|-|---------|-⌫-|
nule foisn eme tés le suoespoures	---|---|-⌫|--⌫---|--⌫|---|-----|
en oubl ine	-|----⌫|-|
nelai ssiés leur	-|---⌫-----|---|
esperanceperiret quidesistes quebon eu ré so n t lipoure	--------|----|-|--|-------|--|---⌫--⌫--|--⌫-⌫|-|----|
desp eritcar liregne s	|---⌫---|--|-|-----⌫|
de schiexestleu r	--⌫|----|--|---⌫|
Nede mourawaire s aprés ces cos esquel i	-|--⌫----|-----⌫|-----|--|---⌫-|--|-⌫|
roisetlaroin euin rrentauliu ou leurenfan t	---|-|-|----⌫|---⌫----|-|--|-|---|-----⌫|
e s toient pour	-⌫-⌫-----|---|
iaus uisiter etp our	---|------|-|-⌫--|
liliusestoit peti setpo u res	-|---|-----|----⌫|-|--⌫-⌫--|
silefire ntmoutric hemente defierelno nmonsegnor	-|-|----⌫-|---|---⌫-----|-⌫-----|-|--⌫|--|-----|
Pi erreenc uinonli	--⌫---|-|-⌫-|--|-|
l iusestoit	-⌫--|-----|
Etqua ntilieur ent m is	-|---⌫-|-||---⌫--|-⌫-|
grant multitudede moiness enrikire nt	----|--------|-|-----||--------⌫-|
degransterresetdegrant rentesale	-|----|-----|-|-|----|-----||-|
l o engede	-⌫-⌫---|-|
Dieuetal onn ord e lor	---|-|||---⌫-|-⌫|--|
en fansquidelregnede	--⌫---|--|--|----|-|
Francheestoie ntfor iug iéenlemanie req ueuous aue ́soie	------|------⌫-|---⌫---⌫--|-|-|-----⌫-|-⌫-|---|---⌫-|--|
Puiss enretornerent	---||-|----------|
li roisetlero ineet	-|---|-|-|--⌫--|-|
reuinrenten	--------|-|
Franceloant et glorefiantl enonde	-----|----|-|---------|-⌫|--|-|
Etl i doienfantdemo urere ntilluec	-|-⌫|--|-----|----⌫-----⌫-|-----|
et parseuererent enlor b o npropostoute leurui edusc	-|------------|-|--|-⌫-⌫|-----|----|---|--⌫|---|
ata ntquiltre spasse rent decest	|--⌫-|-|-|---⌫------⌫---|-|---|
siecleet que	-----|-|--|
Siresrechut lesamesdiaus	----|-----|--|---||---|
en paradis	-|------|
Puis l ereu enuedoutremerau	---|-⌫|---⌫---||----|--|-|
Clodoueuanchois	-------|------|
qu i ltre spassasteng enr ra il de sef eme.iii.	-|-⌫|---⌫-------|---⌫---⌫-|-|-|-|-⌫--|----|
f ixdontliai sne ́s	-⌫-|---|-|--⌫---⌫-|
f uapelés	-⌫|------|
Cl otaire setli autres	--⌫------⌫|-|-|-----|
Childericet li ti er s	--------|-|-|--⌫--⌫|
The oderic	---⌫-----|
Et puisentra pa rleu olent é	-|---|----|--⌫|-|-⌫-----⌫-|
Se igneurenlacommuneuoiede toutehumainenature et	--⌫-----|-|-|------|---|-|----|------|-----|-|
tres passa decestsiecleel diesep timean	----⌫----|-|---|-----|-|------⌫---|-|
desonregne	-|--|----|
Apre ́ssemortdemo reren t	----⌫-|-|---|----⌫-----⌫|
s i enfant aue cl esainteroineleur mere	-⌫|-----|---⌫|-⌫|-----|----|---|---|
e tfum aint en ant	-⌫|-|-⌫----⌫--⌫--|
Clotairescoronnés e trecheuselregneettint leregne	--------|--------|-⌫|------|-|----|-|---|-|----|
mout emp aisa l aide etauco n s eille	---|-|-⌫--|||---|-|-|--⌫-⌫-⌫--|-|
r oi ne se m ere etdesprodomes delregne nomeement	-⌫--⌫-|-|-⌫--|-|--|-------|--|----|--------|
C hrodobert leuesquede	-⌫--------||------|-|
archeuesqu ede	----------⌫|-|
Euroïnmarescha lde	------|--------⌫|-|
Enceltansauintpa rlecons eil	-|--|---|----|--⌫|-|----⌫--|
etparl epou rcach le	-|--|-⌫|---⌫----|-|
B altelt quecil d	-⌫-----|--|--||
Austrai se furentacordé	-------⌫-|-----|------|
Franchoisentelemaniereque	--------|-|---|------|--|
Chi ldericlifrer es	---⌫-----|-|----⌫-|
Clotairefu rechu s aroien	-------|-|-----⌫||--|-|
Au straisee t puis la en au antfurentli	--⌫------|-⌫|---|-|-|--⌫--|-----|-|
Borgegnonetli	--------|-|-|
Fran choisaus sicom me toutun	----⌫----|---⌫-|---⌫-|---|-|
Et noscre onsbi enqueces trois te rres	-|--|---⌫--|--⌫-|--|--|----|--⌫---|
Franch eet	------⌫|-|
Bor go gnequiauantsentregueroi oient mortelmentfur ent	---⌫--⌫--|--|----||-----------⌫----|---------|---⌫--|
acordeesparl afoietparl emeri te	-------|--|-⌫|--|-|--|-⌫|----⌫-|
medamesain te	-|---|----⌫-|
B alteltAcel tans estoiten core	-⌫-----||--|---|-----|--⌫---|
s ainteeglise en	-⌫----|-----|-|
Franchemoutenlaidiepar	------|---|-------|--|
lesoulleuredy resie	-|--------||-⌫----|
painnespooitnusauo irado nt ordr ene beneficeensainte	------|----|--|---⌫-|---⌫-|----⌫|-|-------|-|-----|
eglisesi l nelaca toitmaisches tedesloiaute ́sfu	-----||-⌫|-||---⌫---|---|----⌫-|----------⌫-|-|
aba tueence ltans p ar	---⌫--|-|--⌫|---|-⌫-|
la ideetparlat irem entde	|-⌫--|-|--||--⌫----⌫--|-|
me damesainte	-|---|-----|
Balteltet des p rela sde	------|-|--|-⌫----⌫|-|
sainte eglise etfudef f enduc ommunementque nusne	-----|-----|-|-|---⌫-⌫---|-⌫---------|--|--|-|
fust si hardis	---|-|-----|
quirien sdonn astnene preist	-||----⌫|----⌫--|-|-|-----|
pourb enefic e de sainte	---|-⌫------⌫|-|-----|
porro ittousracon ter les larges d on s qu ele	-----⌫-|---|-----⌫--|--|-----|-⌫--⌫|-|--|
donnoitas religionsdemoineset de nonnains car	------|-|--------|-|-----|-|-|-------|--|
elelordonnoitl esmai son s	--|--|------|-⌫-|---⌫---⌫|
etlesrentes etlorusaigeen	-|--|-----|-|--|-----|-|
sesforés p o r a r d oiretpourlormais ons faireet	--|-----|-⌫-⌫|-⌫-⌫-⌫--|-|---|--|----⌫--|----|-|
s estoit sescoraiges sides i rrexdedonner	|-----|--|-------|-|---⌫-⌫---|-|-----|
quecosequelelor donn astne	--|---|-|--|--|----⌫--|-|
l i pooitsouffire ain sliestoitauis	-⌫|----|-------|---⌫|-|-----|---|
qetoutquan quel e faisoi t	-|---|----⌫-|--⌫|------⌫|
estoitaussicommenient selemeis mesnefondoit	-----|----|----|----||--|----⌫--|-|------|
lesmaisonsdere ligion	--|------|-|--⌫-----|
dontil auint	---|-|----|
q uelefond aet	-⌫|--|----⌫|-|
es torauneabeie	--⌫---|--|----|
denonnains quiest apelee	-|-------|--|--|-----|
Chiele enleuesquié de	-----|-||--------|-|
Par is et est celeabeieauironneede	---⌫-|-|--|---|----|--------|-|
Sainne et i don na assés uilesbonesetriches	-----|-||---⌫-|-----|----|----|-|-----|
maislinondesuilesne	---|-|--|--|----|-|
sontmi e chi nommé porcequi l	---|--⌫|--|-----|--|-|-|-⌫|
nanuiastachiax qui leuielirr oient	|------||----|--|-|--|----⌫----|
Etunecoseatornaen celea beie	-|--|---|-----|-|---|-⌫---|
quimoutf ait	--|---|-⌫--|
adouteratousc hiaus	|-----||---|-⌫----|
etatouteschelesquil abeie	-||-----|-----|--||----|
ga rdentetgouuerne nt carele fistfaireunechar tre	--⌫----|-|--------⌫-|--|--|---|----|--|----⌫--|
quifuseelee desenseeletdesseausa	--|-|-----|-|--|---|-|--|----||
tous s esenf ansen lequele	---|-⌫-|---⌫--|-|------|
eledesfendi	--|-------|
etconiuraelnondel etrin ité	-|------|-|--|-|-⌫|----⌫---|
et parlepe ordu tranlab le i orduiugement	-|--|-|--⌫-|-|-------⌫-|-⌫-|-|-------|
quenus q uilabeiegarda st n efust	--|--|-⌫-||----|-----⌫-|-⌫|---|
sihardisque de	-|-----|--|-|
nu lerien sq ue lei	--⌫-|----⌫|-⌫|-⌫-||
eustlaiss ié ne	---|-----⌫--|-|
donne ́ale soustenanchedes n onnainsqui imanoientqu	-----⌫||-|-----------|--|-⌫------|--||-------|-|
ilenosta st rie ns hors du p reu de le	-|-|----⌫-|---⌫-|---|-|-⌫--|-|-|
mai so netsilefai s oitqu il	---⌫--⌫|-|||-|---⌫-⌫--|-|-|
fust torm ent e ́s en	---|----⌫---⌫-⌫-|-|
e n f er a uec	-⌫-⌫-⌫-|-⌫--|
Iudasletraitor	----|-|------|
Qui cestecha rtreq uerroit i lletrouuero itesaumaires	--|----|---⌫---|-⌫------|-⌫|-|--------⌫-|-|-------|
del abeie de	-||----|-|
Lepremiereabeessequifua	-|-------|------|--|-||
Chelef uunemout religieuse	----|-⌫|--|---|---------|
feme quiauoitanon	---|--|----||--|
Be rteque laroine	--⌫--|--|-|----|
B alteltporcachaen	-⌫-----|-------|-|
Baltelt iuaoitmouta estre	------||----|---||----|
seuieet agesi rapréssemorte tele	-|--|-||----⌫|-----|-|---|-⌫|--|
enaempli bien seuo lenté al	-|-----|---|-|--⌫-----|||
Diua u plu st ostque le	--|-⌫|---⌫|-⌫--|-|-⌫-|
enpeutauoirlieu	-|---|----|---|
Et p or checonn edoi t ramenteuoirsau	-|-⌫-|--||-|-⌫|---⌫|----------||-|
mains nonconpuet	----|--||-|---|
de s biensquelisa insesprisoeureen ses	--⌫|----|--|-|--⌫--|-----|----|-|--|
sains ete nses	----|-|-⌫|--|
sainte ssi c o mmeile s tescrit	------⌫|-|-⌫-⌫--|-|-⌫-⌫|-----|
qua t ous chiausqui bi en	-||-⌫--|-----|--|--⌫-|
proposent a fair e	--------||----⌫|
Dexloraide si ramenteurai en coreun	--|--|---|-|----------|--⌫---|-|
S ires fist po urlesaint eroine	-⌫---|---|--⌫-|-|-----⌫|----|
Chefu de l	--|-|-||
Corbi equelef onda enleuesquié	-----⌫|-|--|-⌫---|-||--------|
ie stabliunesa inte com paignie	|-⌫-----|--|--⌫---|---⌫------|
demo inese tifistabe ́ dun	-|--⌫---|-⌫||---|---⌫||-|
sainth omequiauoit	----|-⌫--|--|----|
G odefro is qu ele po urcach aen	-⌫------⌫-|-|--|--⌫------⌫|-|
l eglised e	|-----|-⌫|
Et a ussi con ele auoitl eglisefai teet	-|-⌫---|--|--|----||-----|---⌫-|-|
fondeedusienau ssi l	-----|-|---|--⌫--||
e nrikieledeuilesetderent es	-⌫----|--|-|----|-|-|----⌫-|
etde quanq u il	-|-|-----⌫|-|
conuenoitachiausq u i	--------||-----|-⌫-⌫|
Seigneuri seruoient dontil	-------||--------|---|-|
au ient coni fait en coresenseru igemout	--⌫---||-||---|--⌫---|--|----⌫--|---|
hautementet feratant	--------|-|---|---|
conleglised uerra	--||-----|-⌫----|
Enc oredonacelesa interoinealeglise de	---⌫--|---|---|--⌫---|----|||-----|-|
Courbuel uneuiledontie nesai le	-------|--|---|---|-|-|--|-|
nonetautres rentes moutgran s	--|-|-----|-----|---|----⌫|
Nesunetre s ric e chainture dontele es toitchainte	--|--|---⌫|---⌫|--------|---|--|--⌫---|------|
i en uoia eleena um osne	|--⌫---|--|-|-⌫--⌫---|
a sfrere sdelemaison ettout e s	-⌫|-----⌫|-|-|-----|-|----⌫-⌫|
chescose sfaisoita	---|----⌫|------||
debo nairee ta	----⌫----|-⌫||
lie ́corai ge	---⌫|-----⌫-|
selonc lescri pturequidi st que	-----||-----⌫----|--|--⌫-|--|
Dexa inme mout lie ́donneur	--|-⌫---|---|---⌫|------|
En chestema nier eescroissoitcascun	-|-----|--⌫----⌫|----------|-----|
iorc e l epretieus emar geritedes rik e ce sterri en ness ontresor	--|-⌫-⌫-⌫|--------⌫|---⌫-----|--|---⌫-⌫--⌫|-----⌫--⌫--|-⌫-|-----|
elchieloulerresne lepuet embler ne	-|----|-|-----|-|-|---|-----|-|
fusa r d oir	--|-⌫-⌫-⌫--|
E ncorenoubli ae l emielemaison d e	-⌫----||-----⌫|-⌫-⌫|--|-|-----|-⌫|
F o nt eneleainsifis t moutdebienset a	-⌫-⌫--⌫----|---||---⌫|---|-|----|-||
Lym o gesdonna	---⌫-⌫--|----|
elemo utgransdonsneleseglises de	--|--⌫-|----|---|-|--|------|-|
Borg oigne nenobliaelemieains ienuoioit e t	----⌫----|-||----|--|--|---||-------|-⌫|
donnoitmout gransdons	------|---|----|---|
etmoutla rges	-|---|--⌫---|
Etaleglisede	-|||-----|-|
G uerreouele	-⌫----|-|--|
auoitpris labees se	----|---||-----⌫-|
Berteet lesuirgesqu el eauoitmis a	----|-|--|-----|-|--⌫|----|--||
Chieledona e le le	-----|---|-⌫-|-|
Nueue quisieten	----|--|---|-|
ue rm endois etautres rentesmoutgrans	--⌫--⌫-----|-|-----|-----|---|----|
E tau moustiermedamesainte	-⌫|-|-------|-|---|-----|
Faredonna e leu ne	---|----|-⌫-|-⌫-|
uil eau equesle sautresbien squ ele ifaisoi t s ou ue nt	---⌫|--⌫----|--⌫|-----|----⌫|-|--||------⌫|-⌫--⌫--⌫-|
Et tout esles eglisesdes	-|----⌫-|--|------|--|
religi eusmoinesetdesre ligieus esui rges de la	------⌫--|-----|-|--|--⌫-------⌫-|--⌫---|-|-|
Parisenriki eledeuiles et	----|-----|--|-|----|-|
de rentes cascune selonc	-|-----|------|-----|
esto it et	----⌫-|-|
a ussi conie uous ai autre foisdit	-⌫---|--|-|---|-|----|---|--|
Ie nes offir o iemi earaconte rpar ordre	-|-|-⌫-----⌫-⌫-|--⌫||-------⌫|--|----|
lemoitié des bien sque	-|------|--|----⌫|--|
Siresfistpar	----|---|--|
les mai ns	--|---⌫-|
decelesainte roinemaisencorefaisoiteleunecose	-|---|-----|----|---|-----|------|--|--|---|
quinedoit mieestre	--|-|---|--|----|
trespa s seecar atousl eseuesque set a	------⌫-⌫--|--||---|-⌫-|-------⌫|-||
a bbésetat ous lesautr esmen is tresde	-⌫----|-||-⌫--|--|----⌫-|---⌫--⌫---|-|
sai ntee glisequien	---⌫--|-⌫----|--|-|
sonpooi restoientprioit etamonesto it	--|----⌫|-------|-----|-|--------⌫-|
mout souuentetparbouche etpar letr e s	---|------|-|--|-----|-|--|----⌫-⌫|
quilmesissenttou telepainnequ il porroient	-|-|--------|---⌫-|-|-----|-|-|--------|
ac hiausquid esousiausestoientfaireuiur e	|-⌫----|--|-⌫----|---|-------|----|----⌫|
c astementetqu	-⌫-------|-|-|
illescontrainss issentauseruige	-|--|----------⌫-----|-|------|
Seigneur fai re	-------|---⌫-|
cascunsselo nc	------|----⌫-|
il es toi t establis	-|--⌫---⌫|-------|
Et porcheq ue	-|--|--|-⌫-|
liprelatdoutassentp lus	-|-----|---------|-⌫--|
soncommandementeto beissen tde pluslie ́cuera	--|-----------|-|-⌫-------⌫|-|---|---⌫|---||
sep riereleurd onoitelele sgrans	-|-⌫----|---|-⌫----|--|--⌫|----|
donse tleur	---|-⌫|---|
faisoitconfremerles	------|--------|--|
grans priuilegese nsonseeletes seausas ses	----|---------|-⌫|--|---|-|-|----|-|--|
Encoreram enteueraiiou	-----|---⌫--------|--|
unecose deqoielede seruimout grantguerredon	--|---|-|--|--|--⌫----|---|----|--------|
Seigneu rq ueledeffen d iquenuscrestiens ne	-------⌫|-⌫|--|------⌫-⌫|--|--|--------|-|
uendist autrene	------|----|-|
que nusduroi aumede	--|--|-|---⌫---|-|
Fra nche fustsiha rdis qu	---⌫---|---|-|--⌫---|-|
il enuoiastcrest iencait ifen autrepaïshors	-|-------|-----⌫--|----⌫-|-|----|----|---|
