c hic om mence	-⌫-|-⌫--⌫----|
etle sbat ail les lemper euret	-|--⌫|---⌫---⌫--||-----⌫--|-|
l esnoesbatail lessestoie ntiasi	-⌫-|---|------⌫--||------⌫-|-|-|
apro chie sque liarbalestierl	----⌫----⌫|--|-|----------||
empere u r traioie nt	------⌫-⌫|-------⌫-|
bienen nos genset nost rear balestier ense men tes	---|-|--|---|-|----⌫-|--⌫--------|----⌫---⌫|-|
genslempereu retnauo it	---||-------⌫|-||---⌫-|
que untertreamonterentre le mp er eur	--|-|-----||-----|----||-⌫--⌫--⌫--|
etnosbat ailleset monto ient	-|--|---⌫-----|-|-----⌫---|
lesbatalleslemp ereur	--|-------||---⌫----|
du nepar tetles noesdautre .	|-⌫-|---⌫|-|--|---||----||
et quantnogent uinrenten sonletertre	-|----|-|---|------|-|--|-|-----|
et liem perer esles	-|-|--⌫-----⌫-|--|
uits isa rrest aettotese gentaus i et	--|-⌫||-⌫-----⌫|-|---|-|---|---⌫|-|
fur entsiab aubiet	---⌫--|-|--⌫---|-|
siesbahide chou	-|-----|-|---|
quenosba tallescheuauchoient side frontenc ontre	--|--|--⌫-----|------------|-|-|----|---⌫----|
aus quilne	--|-|-|-|
seseu rent conseilli er.	-|---⌫---|---------⌫-||
ent r ementiersqu il estoientillu eques si	---⌫-⌫--------|-|-|-------|----⌫----|-|
abaubi lesautresb atailleslempereur	-----|--|-----|-⌫-------||-------|
quiauoien t est éenu oi esentourlostasfranchois	--|------⌫|---⌫-|---⌫--⌫-|-----||--|-|--------|
repai ri er entariere etsas anlerenttoutesensanle	-----⌫--⌫--⌫--|-----|-||--⌫-------|-----|------|
auec lempe reuruual .	---||----⌫---||--||
et quan tlifran choisuirent tresto u tes	-|----⌫|-|----⌫----|-----|------⌫-⌫--|
lesbataillesl e mpereura ssanleesen s anles i	--|--------||-⌫------|-⌫-------|--⌫-⌫---|-⌫|
sareste rentens onle	|------⌫---|-|-⌫-|-|
t ert retoutcoietse me ruel li erentque liemper e ur uoloit	-⌫---⌫-|---|--|-|-|--⌫----⌫--⌫----|--|-|-----⌫-⌫-|-----|
enuoierentliconte	---------|-|----|
h ommed es troi sbataillesliun	-⌫---|-⌫-|----⌫|--------|-|-|
asautrespou r	-|-----|---⌫|
prendreconseilque	------|------|--|
ilferoie nt sil	-|------⌫-||-|
ir oi entdus ques a los tlempereurou non.	--⌫--⌫--|---⌫---|||--⌫||-------|-|--||
etneurentmie co nsel quilialaiss ent	-||-----|--|--⌫---|-|-||------⌫--|
carilestoient	--|-|-------|
molt e nsusdelos tet	---|-⌫|--|-||--⌫|-|
s i lsecomb atoientla	|-⌫|-|----⌫------|-|
ouliemp ereresestoitchilqui wardent	-|-|---⌫-----|-----|---|--|------|
lost nel esuesroient	|--|-|-⌫-|--------|
mie n eneleur p orroie ntai dier	--|-⌫|-|---|-⌫------⌫-|--⌫---|
semesti ers en	-|-----⌫--|-|
estoit et d a utrepartentrax	-----|-||-⌫---|---|---|-|
e tl empereurauoitunscan eusuns granscond uis	-⌫||-------|----|--|---⌫--|--|----|----⌫--|
p ar ouliaweuenoiten	-⌫-|-||---|-----|-|
constantinoblequesiili passaissentil eussentgrant damage	-------------|--|-|-||----------|-|------|----|-----|
de leurgent	-|---|---|
e tpo ur chou n	-⌫|--⌫-|---||
e urentilmieconselqui lial ai ssent .	-⌫----|-|--|-----|-|-⌫||--⌫--⌫----||
entr ementi e rsqueli	----⌫------⌫-⌫-|--|-|
franch oi sp arl oientensi ensanle este	------⌫--⌫|-⌫---⌫----|---|------|---|
me uo usque li e mpere res s e	-|--⌫-|--|-|-⌫-----⌫--|-⌫|
mistarrie ree nconst an tin ob le	---|-----⌫-|-⌫|-----⌫--⌫---⌫--⌫-|
et quantilfu uenus	-|----|-|-|----|
sifumolt blasmésdure mentet deda mes	-|-|---|-------|----⌫---|-|-|--⌫--|
etdedem is e lesetdunset d autres	-|-|---⌫--⌫-⌫--|-||--|-||-----|
estoitc ombatu s	-----|-⌫------⌫|
asipeudegentcomme li	|-|--|-|---|----|-|
francho ise stoienta totsi grantpule comme	-------⌫-|-⌫------||--|-|----|---|----|
ilauoi t mené.	-|----⌫|----||
qu antlie mpereresfuensi fait ementretorn éssis	--⌫--|-|-⌫-------|-|---|----⌫----|------⌫--|-||
enrenuinrentlipel erinaleurtentes	-|---------|-|---⌫---||---|-----|
etsed esarmerentetquantilfuren t	-|-|-⌫---------|-|----|-|-----⌫|
desarmé liuenicienqui	-------|-|-------|--|
estoientpasséen	-------|-----|-|
nes etenbarges siuinr ent dem an derde	--|-|-|-----|-|----⌫--|---⌫--⌫--|-|
leur nouuelesetdi sentparf oi	---|-------|-|--⌫---|--|-⌫-|
nousau iemes o idir e queuousuou scombatiés as	---|--⌫----|-⌫|---⌫|--|---|---⌫|---------|-|
moltgrant peu r	---|----|---⌫|
d euous si	-⌫|---|-|
ueniemesauous	-------||---|
et lifranchoisleur	-|-|--------|---|
respondirent etdisentparfoi	-----------|-|-----|--|--|
le gr a ce dieunousauonsbien faitcar	-|--⌫-⌫-|---|---|----|---|---|--|
nous ala mes encontrelempereuret	---|---⌫--|-------||-------|-|
lie m pereresnos aassanler anous	-|-⌫-⌫------||--⌫|-------||---|
etli fr anchoisrede man derent des nouu elesasueniciens	-|-|--⌫------|----⌫---⌫-----|--|----⌫---|-|--------|
etilleurdisentpar f oi	-|-|---|-----|--|-⌫-|
fisentil no usauonsdurementasa li	-----|-|--⌫-|----|-------|---⌫-|
et entr ames enlec ite parde seur	-|----⌫---|-|-|-⌫--|--|--⌫---|
le s mursetmeisme s lefu en le	--⌫|---|-|------⌫|-|-|-|-|
ch ite sicomme moltenieutdarse	--⌫--|-|----|---|-||--||---|
de lechi te.	-|-|---⌫-||
sicommelifrancho isetli	-|----|-|-------⌫-|-|-|
uenicienparloient	-------|--------|
ensanlesileua	------|-|---|
m olt gr ans murm u res	-⌫--|--⌫--|----⌫-⌫--|
e nleuilee t d ise nt	-⌫|-|---|-⌫|-⌫---⌫-|
le uileal em pereur quil lesdeli urast	-|---|||--⌫-----|-|-|--|----⌫----|
desfranc hoisquilesauoient assiset	--|-----⌫---|--|--|------|----|-|
quesilnes ecombatoita	--||-|-|-⌫|--------||
aus quilir oien t	--|-|-|--⌫----⌫|
pour le ioneuaslet que	---|-|---|-----|--|
lifranchois auoie nt	-|--------|-----⌫-|
a me né senferoie nt empereur etleur seigne ur	-⌫--⌫--||-|------⌫-|-------|-|---|------⌫-|
quantliemperer esoichousileurcreanta	----|-|-------⌫-|-|---|-|---|------|
co mbateroitlendemainaauset	--⌫--------||-------||--|-|
quantche ui ntue r smi e	----|--|--⌫-|--⌫-⌫|--⌫|
n uit si se nf ui	-⌫--|-||-⌫|-⌫-|
li empereres h or sdeleuile atoutta nt	-|--------|-⌫--⌫|-|-|---||---|--⌫-|
co mmeilp eutmeneraue c	--⌫--|-|-⌫--|----|---⌫|
quantcheuintlendem ainparm atinet	----|--|---||-----⌫--|--|-⌫---|-|
uileseurent queliempereresse est oitfuis	---|------|--|-|--------|-|---⌫--|---|
si nefontil	-|-|---|-|
mais el siui enentilasportessi	---|-|-|--⌫----|-|-|-----|-|
l es ouurirentetsi issirenthors	-⌫-|--------|-|-|-------|---|
etsiuinrental ostdes	-|-|------|||--|--|
francho ise t	-------⌫-|-⌫|
demanderent etenquise ntale xe l efil	----------|-|-------⌫-|---⌫-|-⌫|--|
etonleurense ignaque a	-|-|---|----⌫---|--||
letentel e marchisle trou eroient.	-|----|-⌫|------|-|----⌫------||
qua ntil uinren t lasiletrouer ent	---⌫-|-|------⌫|-|-|-|------⌫--|
sie nfisentsi	-|-⌫|-----|-|
a mi mo l tgr ant feste	-⌫-|--⌫-⌫|--⌫--|----|
etmoltg ran tgoieet merchierentm oltl esbarons et	-|---|-⌫---⌫|---|-|----------|-⌫--|-⌫-|-----|-|
dise ntque	----⌫-|--|
molta uoientbi enfai te tgra ntb arna ge	---|-⌫-----|--⌫-|---⌫|-⌫|---⌫-|-⌫----⌫-|
quis i faitement auo ie nto uu réet	--|-⌫|--------|---⌫--⌫-|-⌫--⌫--|-|
di sentque liempere ressenes toit fu is e t	--⌫---|--|-|------⌫--||-|--⌫---|--⌫-|-⌫|
quil uenisse ntenlech iteetu	-|-|-------⌫-|-|-|--⌫--|-||
palaiscommeule ur .	-----|----||--⌫-||
adonq ue ssisanlerent	-----⌫--⌫|-|--------|
to utli haut barondel	--⌫-|-|---|----|-||
pr isent al exele filkyrsacsile nmenerent	--⌫----|--⌫--|-|--|-----|-||-⌫|-------|
si fi sent ky rsac senpere	-|--⌫---|--⌫---|--|---|
metr e hors deprisonet	----⌫|---|-|-----|-|
sefemmeque sesfrere squi	-|----|--|--|-----⌫|--|
auoittenule mpire iauoi t faitmetr e .	----|---||-⌫----||----⌫|---|----⌫||
et quan tkyrsacs fuh orsde prison sieu tmolt	-|----⌫|------|-|-⌫--|-|-----|-|--⌫|---|
grantgoiede sen fi l e tacola	----|---|-|--|--⌫|-⌫|----|
loi e tbai saet m erchiamolt	--|-⌫|---⌫-|-|-⌫-----|---|
touslesbar ons	---|--|---⌫--|
qui lu eques estoient et d ist qu e	--|--⌫----|-------|-|-⌫--|--⌫|
par laiwe de	--||---|-|
d ieuauantetdel eleu res t oitilhorsde	-⌫--|----|-|-|-⌫|---⌫|--⌫-⌫--|-|---|-|
adonquessi fu rentaportees	-------|-|--⌫---|-------|
deusca iieresao ret assistonkyrsac en l	---|--⌫-----||-⌫|-|-----|-|-----|-||
une etalex e s enfi len	--|-|----⌫|-⌫-|--⌫|-|
lautre pa rdeles	|----|--⌫|----|
etfukyrsaa cssa is isd usiege emperial .	-|-|------⌫-|--⌫--⌫-|-⌫|----|-------||
a donques d iston	-⌫------|-⌫--|-|
a l empereursire	||-------|---|
ilachaiensunhau t	-||------|-|---⌫|
homm eenprisonmorchoflesa	----⌫|-|-----|---------||
ano n quibienia estéset a ns .	|--⌫|--|---|||----|--|-⌫-||
seuostreuo lentesi fustilfust b oinque	-|-----|--⌫-----||---|-|---|-⌫--|--|
onlem esist horsde prison	-|-|-⌫----|---|-|-----|
adonques si	-------|-|
fu morchofles mishors	-|---------|--|---|
deprisonpui sen fi stli e mpereressen	-|-----|---⌫|-|--⌫-|-|-⌫-------|--|
ma istre bailliu do ntli empereres	--⌫----|------|--⌫-|-|--------|
eutpuis ap resmoltma l werr edonsi commeno us	--|---|--⌫--|---|--⌫|----⌫---|-|----|--⌫-|
uousd ironsa pres	---|-⌫----|-⌫---|
orauintapres	-|----|----|
franc ho iseurentsi	-----⌫--⌫-|-----|-|
faitement ouuréque li	--------|-----|--|-|
soud ansducoi ue oi dire	----⌫--|-|---⌫-|-|---|
quesifaitementauoient faitli f ra n chois	--|-|--------|------|---|-|-⌫--⌫-⌫----|
siui nt parler	-|--⌫-|-----|
aausla ouilestoientencor elogié dehors	|--|-|-|-|-------|-----⌫|-----|-----|
cou s tantinoblesi	---⌫-⌫---------|-|
chertes seigneur fistil uo us	------|-------|---|-|--⌫-|
aués fait moltg r ant barnageetmoltg rantproechequi	----|---|---|-⌫-⌫--|------|-|---|-⌫---|------|--|
si grantcose	-|----|---|
commecon s tantinoblee stquiestli kiesdu monde	----|---⌫-⌫---------|-⌫-|--|--|-|---|-|----|
auésconquis etaués	----|------|-|----|
dr oit oirde c oustantinoble ensensi ege	--⌫--|--|-|-⌫------------|-|--|--⌫--|
et coron élaués	-|-----⌫-||----|
aempereeur.	|--------||
chedisoient ilupaisque coust antinoble	--|-------|-||---|--|-----⌫--------|
esto it likiesdumonde	----⌫-|-|---|-|----|
seigneurfistli so udan s	-------|---|-|--⌫----⌫|
ie uousuau rroie	-|---|---⌫----|
pro i erdune cose queie	---⌫-⌫-||--|---|--|-|
uousdirai.	---|----||
iou a iunmien frer em ai nsné demiquim	--|-⌫|-|---|----⌫|-⌫--⌫----|-|-|--||
as oustr aite	|-⌫-----⌫---|
me ter eet mes eignori edu	-|---⌫|-|-|-⌫-------⌫|-|
coi uepartraisondont	---⌫-|--|------|---|
ge sto iesires etdo nties u i	|-⌫---⌫-|----|-|--⌫-|-|-⌫-⌫|
droiso irs.	----|-⌫--||
si u o usmeuoliés	-|-⌫-⌫-|-|------|
aidiera conquerre me tere etme seignourie	-----||--------|-|---|-|-|---------|
ie uousdour roiemoltgr an t	-|---|----⌫---|---|--⌫--⌫|
ple nte demen a u oir et simefero ie cr est i ener	---⌫--|-|--|-⌫-⌫--|-|-|-|----⌫-|--⌫---⌫-⌫---|
ettouschiaxquia m isetenroient se	-|---|----|--||-⌫|-|--------|-|
iera uoiemeseignour iee t	-|--⌫---|-|--------⌫-|-⌫|
seuou s meuo liés	-|---⌫|-|--⌫----|
etli baro nrespondirentqu ilsenconselleroie n t et	-|-|----⌫|-----------|-|-||-|------------⌫-⌫|-|
fumandésd e uenice lidux et limar chis	-|------|-⌫|-----|-|--|-|-|---⌫---|
ettoutlihautbaronet sen	-|---|-|---|----|-||-|
assenlerentamoltgrant	----------||---|----|
conselet tant queleu rconsaus	-----|-|----⌫--|---⌫|------|
neleuraportam iequilfes isse nt chou	-|---|-----|-⌫-|-|-|---⌫----⌫-|---|
s oudans leur requeroit.	-⌫-----|---|--------||
etquanti luinrentde l eurconselsi	-|----|-⌫|------|-|-⌫--|-----|-|
respondirentau	-----------|-|
soud an quil nepooient mie fairecho u	----⌫-|-|-|-|------|--|----|---⌫|
quil leurrequeroit	-|-|---|--------|
a uo ient encor el eurcouuenanc hes a	-⌫--⌫---|-----⌫|-⌫--|---------⌫--||
auoir delemperee uretqueche seroit	----|-||-------⌫-|-|--|--|-----|
un s per ix delaiersi	--⌫|---⌫-|-|----|-|
gra nt c osecommeco ustantino b lees tentelpointcomme	---⌫-|-⌫--|----|--⌫---------⌫-⌫-|--⌫|-|--|----|----|
si ne losseroien t	-|-||---------⌫|
l aissier.	-⌫------||
quant lisoudans oi	----|-|------|-|
enfutouscou rchiéssisenrala.	-|-|---|---⌫------|-||-|---||
apr es qua nt li	---⌫-|---⌫-|-|
b ar oneurentmené alexe	-⌫--⌫-|-----|----|----|
sidemanderentd elese reur leroi d efranche	-|----------|-⌫|-|--⌫---|-|--|-⌫|------|
que onape loitl em peerrisdefra nche	--|-|---⌫---||--⌫------|-|---⌫---|
see le uiu oitencore etondistouil	-|-⌫-|---⌫--|-----|-|-|---|---|
et queeleestoitma rie equeunshaushons	-|--|--|-----|--⌫---⌫|--|--|---|---|
c hite liuerna s auoit anon lauoit	-⌫---|-|-----⌫|----||--||----|
esp o u see	---⌫-⌫-⌫--|
s imanoitenun palais pr es	-⌫|-----|-|-|-----|--⌫-|
alerent ueir libaronet	------|---|-|----|-|
si lesaluer entetmolt	-|-|------⌫--|-|---|
lipram issent afaireluiseruigeet	-|----⌫-----||----|--|------|-|
ele leur fistmolt mau uais	--|---|---|---|---⌫---|
san lant etmolt estoi tcorchiedechouquil	---⌫---|-|---|-----⌫|------|-|---|-|-|
estoien tlaal é	-------⌫|-|--⌫-|
e tde chouq u	-⌫|-|---|-⌫|
il auoient cheluialexecoro né	-|------|-----|----|----⌫--|
n eneuol oit	-⌫|-|---⌫--|
parlera aus ains ifaisoi t parler	-----||--|---||------⌫|-----|
unlatim ieret disoitlilatimiers quele nes auoit	-|-----⌫--|-|-----|-|--------|-|--|-|-⌫----|
nie ntd efranchois.	---⌫-|-⌫|--------||
quensloeischises toi tses	----|----|---|--⌫---⌫|--|
c ousi nssi sacointaal ui.	-⌫----⌫-|-||------||-⌫-||
apre s ilauintun iourque libaronalerentesbanier	----⌫|-|----|-|---|--|-|----|------|-------|
u pal ais pou rueirkyrsac et lempereu rsen	|---⌫--|---⌫|---|-----|-||-------⌫|--|
si com me li	-|---⌫-|-|
baro n estoien tl a i ens u pala issiuintillueques	----⌫|-------⌫|-⌫-⌫-⌫--||----⌫-|-|---|--------|
unsroisquitouteauoitlecharnoireetauoit	--|---|--|----|----|-|---|----|-|----|
une c rois	--|-⌫---|
front quili auoitesté faite	----|--|-|----|----|----|
duncautfer.	|-|---|--||
chisro issis eiornoiten une moltri ke	---|--⌫-|-|-⌫-------|-|--|---|--⌫-|
a beieenle chite oualexes quiauoit estée mpereres	-⌫---|-|-|----|-|-----|--|----|----|-⌫-------|
au oi tkem andéquei l f uste ten f ust s ires	--⌫--⌫|---⌫----|--|-⌫|-⌫--|-⌫|-|-⌫--|-⌫---|
etdemisiaustantc omme il iuausists eiorner .	-|--------|---|-⌫---|-||------|-⌫------||
quantliemp ereresleui t uenirsi se leua enc ontr e	----|-|---⌫-----|-|--⌫|----|-|-|---|---⌫----⌫|
luietsenfist mo ltgrant feste	--|-||-|---|--⌫-|----|----|
sidemandalie mpereres as	-|------|-|-⌫-------|-|
baronssa uésuous	-----|--⌫---|---|
ore fisti lqui chist honsest	--|---|-⌫|--|----|---|--|
-sirenenn ilfisent	|---|----⌫-|-----|
fistliempereres	---|-|--------|
chestlirois	-|--|-|---|
denubiequiest uenusenpele rinage enc he steui le	-|----|--|--|----|-|----⌫-----|-|-⌫--⌫--|--⌫-|
etfist onparle rlatimi ersaluie t fist	-|---|-|-----⌫|------⌫--||--|-⌫|---|
on luidemanderous e tere estoi t tantquil	-|--|-------|-|-⌫|---|-----⌫|-----|-|
respondiaslatimiersensen	-------|-|--------|-|--|
langagequ ese	------|--⌫|-|
ter eesto it	---⌫|----⌫-|
encor ecentiournee sdelaih erusalem et de	-----⌫|---|-------⌫|---|--⌫-------|-|-|
iluen us en ihe rusalemen pele rinage	-|---⌫-|-|---⌫------|-|----⌫-----|
etsidist que quantil	-|-|---|--|----|-|
mutdesenpai squilmutbiensoixante	--|-|--|---⌫|-|-|--|---|-------|
ho mmesdeseter ea uec lui	--⌫---|-|-|---⌫|-⌫--|--|
etq uantil uinten i herusal emn	-|-⌫---|-|---|-|-⌫-------⌫-||
de uis q u e disetquant iluint de iherusalem	-|--|-⌫-⌫|--|-|----|-|---|-|---------|
encoustantinob len en auoitilquedeusui s	-|------------⌫-||-|----|-|--|---|--⌫|
ets id ist q uil uolo i t a lerenpel er in agea	-|-⌫|-⌫--|-⌫|-|----⌫-⌫|-⌫--|-|---⌫--⌫--⌫--||
ro me e tderomeasaintiakeetpuis	--⌫-|-⌫|-|---||----|---|-|---|
reueni rs entariere enih er usalem s ilp ooitta nt	------⌫||--|-----|-|--⌫--⌫-----||-|-⌫---|--⌫-|
uiureet puis il l ueques m ori r	----|-|---|--⌫-⌫-----|-⌫---⌫|
e tsidist que t otch il	-⌫|-|---|--|-⌫-|--⌫-|
desetereestoientcr est ien et	-|-|---|-------|--⌫---⌫--|-|
quantlien fes estoi tnés et	----|-|--⌫--|-----⌫|---|-|
onlebaptiso it queonli faisoit	-|-|-------⌫-|--|-|-|------|
unecro isenm il efrontdun	--|---⌫-|---⌫|-⌫|----||-|
caut fe rausi commeilauoit.	---|--⌫|---|----|-|----||
se esg a rderent libaronc huroi amolt	-|---⌫-⌫------|-|----|-⌫-|--||---|
grantmerueille	----|--------|
apres quantli	----|----|-|
baron euren tco ronéalexesif aitement commeie uous	----|-----⌫|--⌫----|----|-|-⌫-------|----|-|---|
aidit siatiraonq uemesi respierresde	-|--|-|----|-|-⌫-|-|--⌫--|------|-|
braic h oelet	-----⌫-⌫--|-|
il ets e gent m anroientupalais a uecl empere ur	-|-|-⌫|---|-⌫-------||-----|-⌫--||------⌫-|
etpuisapr essi ati rerent li baron	-|---|---⌫-|-|---⌫-----|-|----|
commentilseh erber geroiente tnoserentmiemano ir du	------|-|-|-⌫-----⌫-------|-⌫||------|--|----⌫-|-|
tot enl ech i te	--|-|-⌫|--⌫-⌫-|
pour les griusquitrait eurestoient	---|--|----|--|-----⌫--|-------|
a i ns senalerent herbergieroutre	-⌫-⌫-||-|------|---------|----|
leportpardeuer sletourde ga latha e tse	-|---|--|-----⌫|-|---|-|--⌫----|-⌫|-|
herb ergierentillu equestouten sanlee n	----⌫--------|----⌫----|---|--⌫----|-⌫|
unesma nsi o ns	---|--⌫---⌫-⌫-|
qui iestoie nt et	--||------⌫-|-|
traisentleur	-------|---|
nauieetarri ueren tde ua ntaus	----|-|----⌫-----⌫|--⌫--⌫-|--|
e taloie ntenlechitequantil uol o ient.	-⌫|-----⌫-|-|-|----|----|-|---⌫-⌫---||
etquantiluo loient alerpar	-|----|-|--⌫-----|---|--|
yaw esipassoie n tenbarges	---⌫|-|-------⌫-⌫|-|-----|
e tquantil uolo ient	-⌫|----|-|----⌫---|
che ua lsipas soientaupont.	---⌫--⌫|-|---⌫-----|-|---||
a donquesquant il furent her be gié si prisentconsel	-⌫------|----|-|-----|---⌫--⌫---|-|------|-----|
ensan l eetli f ran choiset	-----⌫-⌫|-|-|-⌫---⌫----|-|
li uenicienq u e ilferoient	-|-------|-⌫-⌫|-|-------|
abatre cinquante toisesdesmursdele uil e car	-----|--------|-----|--|---|-|-|---⌫|--|
ildoutoient	-|--------|
que chil d elechi te ne re uela issentenc ontr e	--|---|-⌫|-|---⌫-|-|--⌫----⌫-----|---⌫----⌫|
apressisa nler entu nio ur	----|-|--⌫----⌫--|-⌫|--⌫-|
t outli baron	-⌫--|-|----|
upalaislempereur	|-----||-------|
et dema nderentleur	-|----⌫------|---|
conuenanches al	-----------|||
etr espond i	-|-⌫------⌫|
qu illes tenroitb ie nmais	-|-|--|------|-⌫--⌫|---|
il u oloit anchois	-|-⌫----|------|
estrecoronés.	----|-------||
etpu issi atire rentet	-|--⌫-|-|-----⌫---|-|
prisen tuniourdelicoroner	------⌫|-|---|-|-|------|
etacheliour ilfu corone ́s haut ement	-||---|---|-|-|------⌫-|----⌫----|
commeem p ereres par	----|--⌫-⌫-----|--|
leuole ntedesen per equili	-|----⌫--|-|--|---⌫|--|-|
otriaboin eme nt.	----|----⌫---⌫-||
etqua nt il	-|---⌫-|-|
futcoronésli	--|-------|-|
baronrequisentleurpaiement	----|--------|---|-------|
qu ilpaieroitmolt	-|-|-------|---|
uo lentierschouqu ilporroitet	--⌫-------|---|-|-|------|-|
paiaa donq ues bienyy mar s .	---|-⌫----⌫--|---|-|---⌫||
etde chesyy	-|-|---|-|
mars rechu rentliuenic ien	---|-----⌫---|-|-----⌫--|
le moitie car ildeuoientauoir lem oitiedes con questes	-|-----|--|-|-------|----|-|-⌫----|--|---⌫------|
etd esyyma rs qui reme sent leur paiaon y y	-|-⌫-|-|--⌫-|--|----⌫---|---|---|-|-⌫|
mars que lifranc hois leurdeuo ientencoredeleurnauie	---|--|-|-----⌫---|---|----⌫---|-----|-|---|----|
autresyymarsquir emessentas pelerins	-----|-|---|--|-⌫-------|-|-------|
tous chiausquiau oientpresté	---|-----|--|--⌫----|------|
de leur auoi raupaiagedu	-|---|----⌫|-|-----|-|
apresliempereresrequistlesbaronset sile urdi st	----|-|--------|------|--|-----|-|-|--⌫-|--⌫-|
q ueiln au oitfors coustan tino bleet que	-⌫-|-||--⌫--|---|-------⌫----⌫--|-|--|
peu liuauroits il	--|-|------||-|
nauoitautre cose car ses	|----|----|---|--|--|
oncl e sten oitt outesleschi tes	----⌫-⌫|---⌫--|-⌫----|--|---⌫--|
etlescasti axqui siensdeuoientestre	-|--|-----⌫-|--|----|-------|----|
et requist lesbarons queilliaidaissent a	-|------|--|-----|--|-|-|---------||
conquer re d e le tere entoret	-------⌫-|-⌫|-|---|----|-|
il leurdouroit en coredus ien	-|---|------|--⌫---|-|-⌫--|
molt uol ent i ers.	---|---⌫---⌫-⌫--||
adonq uesrespondirent q ue cheuoloi entilmolt uolenti er s que tot	-----⌫--|-----------|-⌫-|--|-----⌫--|-|---|-------⌫--⌫|--|--|
chilgaig n ier uoloie nti ala is sent.	---|----⌫-⌫--|------⌫-||---⌫--⌫---||
lemoitiede	-|-----|-|
lo sta uec a lexee tlautre	|-⌫-|-⌫--|-⌫---|-⌫||----|
moitier eme stenco ustant inoblepourrecheuoirlepaiemente t kyrsaac s	-----|-⌫---⌫-|-|--⌫------⌫-----|---|--------|-|-------|-⌫|-------⌫|
rem es t po urfairelepaiement	---⌫--⌫|--⌫-|----|-|-------|
asb arons.	-|-⌫----||
etalex essen	-|----⌫-||-|
alaa toutel	--||----||
ost e tco nqui stdeleterebienui nt	--|-⌫|--⌫----⌫-|-|-|---|---|--⌫-|
chites et bienquarante	-----|-|---|-------|
ca stiax o uplus	--⌫----|-⌫|---|
et a lex esli au tres emp erere ssesoncle s s en	-|-⌫---⌫-|-|--⌫---|---⌫-----⌫|--|-----⌫||-|
f ui oit to usdi s auantetfurentbien li	-⌫--⌫--|--⌫-|--⌫|----|-|-----|---|-|
franc hoisauecalexel arg ementtroismois .	-----⌫---|---|----|-⌫---⌫----|----|---||
etentrement iersque a lexesf istcheleche uauchiefirent chi lde	-|---------⌫---|--|-⌫----|-⌫--|----|---⌫------|-----|---⌫|-|
coustantino bleleurm u rrefaireplus fort et	-----------⌫--|---|-⌫-⌫|------|---|---|-|
plushaut q u ilnestoitdeuantqueli	---|---|-⌫|-||-----|-----|--|-|
franc ho isauoientfait ab atr e bienchinq uantetoise s quant	-----⌫--⌫-|------|---|--⌫---⌫|---|-----⌫----|-----⌫|----|
ileur e ntleuile prise po urchou que i l douto ien t	-|---⌫-⌫-|-|---|----|--⌫-|---|--|-⌫|-----⌫---⌫|
que ligri u nere uelaissent	--|-|---⌫|-|--⌫---------|
e ncon t r ea us.	-⌫----⌫-⌫-⌫|-⌫-||
baronquiestoitdem orépourlepa ie ment	----|--|-----|---⌫---|---|-|--⌫--⌫---|
r e cheuoiruirent quekyrsaacsnel eurpa ioit	-⌫-⌫------|-----|--|-------|-|-⌫--|--⌫---|
n ie nts i	-⌫--⌫-|-⌫|
m and er entasau tres baron s q uiestoi en taléauecalexe qu	-⌫---⌫--⌫--|-|--⌫---|-----⌫|-⌫-|-----⌫--⌫|---|---|----|-|
en reuenissen tquekyrsaa cs nelespaioit nien tetqu	-|----------⌫|--|------⌫-|-|--|-----|----⌫|-|-|
il sen fussen ttout	-||-|------⌫|---|
ue nude dens lefest etoussain s	--⌫-|--⌫---|-|----⌫|---|----⌫|
q uantl i baronoir entchousi disental	-⌫---|-⌫|----|---⌫--|---|-|-----|||
em pereurquils	--⌫-----|-|-||
enr etorne roi ent	-|-⌫------⌫---⌫--|
qua ntliempe r eresoi	---⌫-|-|----⌫-⌫---|-|
distquilsen re t orneroit puisqu	---|-|-||-|--⌫-⌫-------|---|-|
retor neroi e ntcari l n es osoit	-----⌫-----⌫-⌫-|--|-⌫|-⌫||----|
m iefier enchesgrius .	-⌫-|---|-|---|----||
reuinrentar r iereen coustantinoble	--------|--⌫-⌫---|-|-------------|
s isenalaliem pere resen	-⌫||-|--|-|--⌫----⌫--|-|
senpailaisetlipelerin s	--|------|-|-|------||
en alerental eur herbergesout re le	-|------||-⌫--|--------|---⌫-|-|
ap r e ssisasanle rent li	--⌫-⌫-⌫|-||------⌫---|-|
conteet l ihaut hommeet	----|-|-⌫|---|----|-|
liduxde uenice	-|--|-|-----|
etliempereres ensanle.	-|-|--------|------||
side mandere nt	-|--⌫-------⌫-|
lifranchoisleur	-|--------|---|
p aiem ent al empere ur etli emp ereres	-⌫----⌫--|||------⌫-|-|-|---⌫-----|
respondiqu i lau oitsi se	-------|-|-⌫|--⌫--|-|-|
chiteraienc e etsesgensquilneleur	----|------⌫|-|--|---|-|-|-|---|
paierma i sdounaissentluiuntermeet	----|--⌫-⌫|----------|--|-|----|-|
p ar dede nsilsepouruesroitquillespaiero it	-⌫-|----⌫-|-|-|----------|-|-|--|------⌫-|
il lidoune rentet	-|-|-----⌫---|-|
quantlitermes	----|-|-----|
fupassésil neles	-|------|-|-|--|
p aia nientetli baronredemanderentderekief	-⌫--|----|-|-|----|------------|-------|
