oi ezsei gnordex	--⌫-|---⌫---|--|
citegarnie	---|-----|
sire lepaa ige mequist rent	---|-|---⌫--|-|-----⌫---|
gefuitroppouress i	-|--|---|-----|-⌫|
nelpoi bai lli ermi e	-||--|---⌫---⌫-|--⌫|
ilmelessierentporme s anfanz	-|-|---------|--|--⌫|-----|
quiluirent	-|-|-----|
di moi uilaindesestresdelauile	-|--|-----|--|-----|-|-|---|
etcilrespon tce	-|--|------⌫|-|
uossaigebie ndire	--|--|-|---⌫|---|
por zzxxm yyg r an z pains i ueism es	--|-|--|-|-⌫-⌫--⌫|----||-----⌫-|
la denreeuaut yy en autreuile	-|-----|---|-|-|----|---|
moltpares t	---|--|--⌫|
bones epui snest e mpiriee	---|-⌫|---⌫||--|-⌫------|
foxd itx mcenedemanti emie	--|-⌫-|-⌫|-|-|-----|-⌫|--|
mesde spaienscheu aliers delauile	--|--⌫|-----|----⌫-----|-|-|---|
delroi orcant etde	--|--|-----|-|-|
sacompa ignie	-|-----⌫----|
ditliuil ainsde	--|-|---⌫---|-|
cen e sai ge	-|-⌫|--|-|
neiap armoin	-|-|-⌫-|--||
eniert me nco ngedite	-|---|--⌫---⌫--|---|
la fug arniers z zch eualier	-|-|-⌫------|-⌫|--⌫------|
uauassorfuet molt sot	-------|-|-|---|--|
de boid ie	-|----⌫-|
dengi gnementsottot e	|----⌫------|--|---⌫|
lames tr ie	-|---⌫--⌫-|
ilr egarda	-|-⌫-----|
lesyybuesqu	--|-|---|-|
sire fet ilse dex meben eie	---|--|-|-|--|-|---⌫--|
quiauroitoreyytonneausdetelguise	--|-----|--|-|-------|-|--|----|
commeceleestquielcharestassise	----|---|--|--|-|---|--|-----|
eustde cheu aliersemplies	---|-|----⌫-----|------|
conduisisttotl e c hemin de	---------|--|-⌫|-⌫----|-|
si fetementpo rro itprendrelauile	-|-------|--⌫---⌫-|------|-|---|
et d itxmpa rmon	-|-⌫-|-|--⌫|--|
c h iefuoirendites	-⌫-⌫--|---|-|----|
geleferais e llo e mesempires	-|-|----|-⌫||--⌫|--|------|
p ar leconseillquecelui adoné	-⌫-|-|-------|--|----||----|
font le uilaindeuan telsarester	---|-|-----|-----⌫|--|------|
sili aport enta mengi er a plante	-|-|-----⌫--||-----⌫-||-----|
et pa in et	-|--⌫-|-|
u i n etpyment	-⌫-⌫|-|-----|
etcil meniuentquimoltlontd esi rré	-|--|-------|--|---||--|-⌫---⌫---|
etquantilfu	-|----|-|-|
r ichem entco nra é	-⌫-----⌫--|--⌫---⌫-|
li cuen s xm asesbarons	-|----⌫|-||--|-----|
etiliuienentsanz p lus dedemorer	-|-||------|---|-⌫--|-|------|
ou qu illesuoitsesaare son ez	-|-|-|--|---||-||---⌫---⌫-|
barondistilen uer smoi ent ende z	----|---|-|--⌫---⌫|--|---⌫----⌫|
quia uroitoreyytonne aus ancren ez	--|-⌫----|--|-|-----⌫--|------⌫-|
comme cilest que encelchar	----|--|--|--|-|--|---|
etfus sent	-|---⌫---|
plaindech eualiersarmez	----|-|--⌫-------|----|
ses condu i sist totle ch emi n ferré	|-|-----⌫-⌫---|--|-|--⌫---⌫|-----|
tot droitanym esce lebone cite	--|----||---⌫-|--⌫-|---|---|
si fai tem ent por roitdede nzentre r	-|---⌫---⌫--|---⌫---|----⌫-|-----⌫|
ianiau roit nelanciéner u é	-|||--⌫---|-|------|-|-⌫-⌫-|
etcil respone nt u os ditesuerite	-|--|-------⌫-|-⌫-|----|-----|
sirexmfrans hom quar enp ensez	---|-|----|--|---|-|-⌫----|
e ncestet erre ailc harroiassez	-⌫|----|-⌫---||-|-⌫-----|----|
charset charretes i	----|-|--------||
aagrantp lant e	||----|-⌫----⌫|
f etes noz gen z arrie re r etorner	-⌫---|--|---⌫|-----⌫-|-⌫------|
parricordan e ounos somes pas sé	--|--------⌫|-|--|----|---⌫--|
sifaitespren drelesbues par	-|-----|----⌫--|--|---|--|
etd itxm si	-|-⌫-|-|-|
enert bienpe nsé	-|--|---|--⌫---|
conseill queli	-------|--|-|
baronl ordone	----|-⌫-|---|
li cuensxmfist retorner seshomes	-|----|-|---|-------|--|----|
parricordaney yliueslongue s	--|--------|-⌫|----|------⌫|
prennentles	-------|--|
cha rsetlesbu esetles	---⌫-|-|--|--⌫-|-|--|
uila in quiles fontetconi oi g nent	----⌫-|--|--|---|-|----⌫--⌫-⌫---|
fe rmentleston nes	--⌫----|--|---⌫--|
etles charruesdoublent	-|--|-------|-------|
bertranne chaut	------|-|----|
seliuil ainengroc ent	-|-|---⌫--|-|----⌫--|
tiexenparlaqui	---|-|----|--|
puisenot granthonte	---|-|-|----|----|
perdi les e ul zetp endiparlag oule	----|--|-⌫--⌫|-|-⌫---|--|-|-⌫---|
qui dontueis tlesdu rsuilainserrer	--|---|----⌫|--|--⌫-|------|----|
et doleo ire s e t coignieesporter	-|-----⌫---⌫|-⌫|--------|-----|
tonne ausloier ettozre n ou ele r	-----⌫--|----|-|--|--⌫-⌫--⌫---⌫|
charsetch arretes che uille rba rrer	----|-|--⌫------|---⌫-----⌫|--⌫---|
dedenzlestonnes lescheualie r s	-----|--|-----|--|--------⌫-⌫|
deg ra n tbarnage li peustremembrer	-|-⌫--⌫-⌫|------|-|----|--------|
a chascunfo ntzzgra ntmailapor ter	|------|--⌫-|-|---⌫-|---|----⌫--|
q uant iluenro nt	-⌫---|-|-----⌫-|
anyme sla cite	|----⌫|-|---|
e til orr on tlemestrecor	-⌫|-|---⌫--⌫|-|-----|--|
nostrexmse	-----|-|-|
puissentaidi er	-------|----⌫-|
esautr es tonnes	-|----⌫-|-----|
siso ntmis es leslanc e s	-|--⌫-|---⌫-|--|----⌫-⌫|
eten ch a s cu ne	-|-|--⌫-⌫-⌫--⌫-|
fo n tfere	--⌫-⌫|---|
yyensaignes	-|--------|
quant il uen rontentrelagentgrifaigne	----|-|---⌫---|----|-|---|--------|
nie ntre paigne ntlisoldoierde france	||-⌫----⌫------⌫-|-|-------|-|-----|
enautre tonefuren tliescumis	-|----|---|-----⌫|-|---|--|
fonzfont fereyy	---|---|---|-|
uenront entre lesxms	------|----|--|--|
nostrexmnes oienten trepri s	-----|-|-|-⌫----|--⌫------⌫|
l icuenss e	-⌫|----|-⌫|
char roiaprest er	----⌫--|------⌫-|
quidontu eistles uilainsdel	--|---|-⌫---|--|------|--|
t onn ea us loierrefere etenfoncer	-⌫---⌫--⌫-|----|-----|-|-------|
et cesgranz ch arsretorner etuerser	-|--|----|--⌫--|-------|-|-----|
dedenzl e s	-----|-⌫-⌫|
cheuali ersentrer	-------⌫--|-----|
ba rnag e lipe ustrememb rer	--⌫----⌫|-|--⌫--|------⌫--|
hu ime s deuon d edanbertranc han ter	--⌫|--⌫|----|-⌫|--|------|-⌫---⌫--|
comf ete mentil sefu a to rné	--|-⌫---⌫---|-|-|-|-⌫--⌫---|
ot dun burele nfu mé	-||-|----|-⌫---⌫--|
piezmistunsmerueilleus sollers	---|---|--|----------|------|
granzson td e	----|---⌫|-⌫|
b uef deseure	-⌫--|------|
sontcreué	---|-----|
de xditb e rtranbeau roisdemaie ste	--⌫|--|-⌫-⌫----|---|---|-|----⌫--|
cist mauro ntsemprestrestozlespiezfroe ́	---||----⌫-|------|------|--|---|----⌫|
azzrisgité	|-|--|----|
licuensen uersmoientend ez	-|----|--⌫---|--|------⌫-|
bues tre stotcel	---|---⌫---|--|
etditbertra n	-|--|------⌫|
porneant enparl ez	--|----|-|----⌫-|
ta nt nepoindre	--⌫-|-|------|
que ielesp uissedelorpasremuer	--|-|--|-⌫----|-|--|--|-----|
mesa bertr anest molt malen contré	--||-----⌫-|--|---|--|--⌫------|
quilnefumiedelmestierdoct riné	-|-|-|-|--|--|------|----⌫----|
ai nzn ensot	--⌫-||-|--|
en zz fancentré	-|-|---|-----|
trusquas mo ieus iest lechare n tré	-----|-|--⌫---||--|-|---|-⌫-⌫---|
u oit lebe rtran	-⌫--|-|--⌫----|
for sen é	---⌫---⌫-|
qui liueistd ed enzl efancentrer	--|-|----|-⌫--⌫--|-⌫|---|-----|
espau lesla roe	-----⌫--|-|--|
agrantme rue ille l epeustre garder	|----|--⌫---⌫---|-⌫|----|--⌫-----|
c amoisiéot	-⌫-------|-|
et labo ucheet lene s	-|-|--⌫---|-|-|--⌫|
uoit lexm s ilepris taga ber	---|-|-|-⌫|-|----⌫||--⌫--|
beauniesdistilenuer s	---|---|---|-|-----⌫|
moientendez	--|-------|
detelmest i er	-|--|----⌫-⌫-|
ipertquegaires	|---|--|-----|
otlebertranapounestforsenez	-|-|------||--||--|-------|
t onneq ue	-⌫---|-⌫-|
licue nsdut mener	-|---⌫-|--|----|
f ugilleb ertdefalo isele	-⌫|------⌫--|-|----⌫--|-|
g autier de ter meset lescotgilemer	-⌫-----|-|---⌫--|-||----|------|
sire bertra ndecon dui repens ez	---|------⌫|-|---⌫---⌫-|----⌫-|
negardons l eureque nosso ionsuer sez	-|------||---|--|--|--⌫---|---⌫--|
etditbe rtran	-|--|--⌫----|
atott ensiuendrez	|--|-⌫--||------|
decels des char sdeuonsor echanter	-|---|--|----⌫|-----|--⌫|------|
quil echarro i deuoientbienmener	--|-⌫|------⌫|-------|---|----|
porten tcor roiese t	------⌫|---⌫----|-⌫|
guei l l e s et baudrez	----⌫-⌫-⌫-⌫|-|------|
p ortentgranzborse spor monnoiechange r	-⌫-----|----|-----⌫|--|------|------⌫|
cheuauch entmulset sommiers	--------⌫--|---|-|-------|
s esueissiez encontremonterr e r	|-|-------|-----------|---⌫-⌫|
de ma leg ent	-|--⌫-|-⌫--|
uospeustr emembrer	--|----|-⌫-------|
encele terrene	-|---|----|-|
saurontmesaler	------|--|---|
porqu ilsoitior q ue n	--|-|-|---|--|-⌫|-⌫|
lespuistau iser	--|----|--⌫---|
por marchean tsoient	--|--------⌫|-----|
sorlachau ciepassentgardonea ugue	--|-|----⌫--|------|------|-⌫|--|
pardau trepartherbergen tenzzpre	--||--⌫--|---|---------⌫|-|-|--|
de s ordeuon s de	--⌫|-|-----⌫|-|
xmch anter	-|--⌫----|
com faitementil sef ua torn ez	--|--------|-|-|-⌫|-⌫----⌫-|
licuensxm uest iuneg onnele	-|----|-|----⌫|--|-⌫-----|
detelburel	-|--|----|
comil otenlaterre	--|-|-|-|-|----|
et en sesia mbe s	-|-|--|--⌫---⌫|
une s gr a nzchauce s pe r ses	---⌫|--⌫-⌫-|------⌫|--⌫-⌫--|
sollersdebuefqui	------|-|---|--|
lachauceli	-|-----|-|
ceintzzbaudre zz bori oi s delaterre	----|-|-----|-|----⌫--⌫|-|-|----|
p entzzcoutel	-⌫--|-|-----|
et gaine mol tbele	-|----|---⌫|---|
etcheuauchauneiumen tmoltfoible	-|--------|--|-----⌫|---|-----|
y yuiezest riers otp endu a sa sele	-⌫|---|---⌫----|-|-⌫---||-|---|
si esperonnefu r ent pa s	-|------|-|--⌫-⌫--|--⌫|
yy anz auo itqueilp orent bi enestre	-|--|---⌫-|--|-|-⌫----|--⌫-|----|
zz c hapelot debonet ensa	-|-⌫----|-|-|----|-|-|
d elez gardoncontr eu al l e riuage	-⌫---|-----|-----⌫--⌫-|-⌫|-----|
iluec lesserent yyhomesa armes	----|--------|-|----||----|
delamesniexmfiere brace	-|-|-----|-|-----⌫----|
tozles uil ainsfirentil	--|--|---⌫---|-----|-|
ensustrere	----|----|
parnuld eceus	--|--|-⌫|---|
que noue len	--|----⌫-||
com fet auoi r feront destonneaus trere	--|--|----⌫|-----|--|-------|----|
plusd eyyloraguillonsafetent	---|-⌫|-|--|--------|------|
t ranchent et fieren ts acoillent	-⌫-------|-|------⌫||--------|
loruoia ge	--|----⌫-|
ain znefinere ntsiuinre ntanecene	---⌫|-|------⌫-|-|-----⌫-||-----|
alauardiou	|------|-|
lapierre f u tret e	-|-----|-⌫|----⌫|
tore lesdenymesfuren tfetes	----⌫--|-|----|-----⌫|----|
cildelauile senuont	--|-|-|---||-|---|
en lorafe re	-|--|---⌫-|
ad ontre ga rdentsiparlentlu n alau tre	--⌫--|--⌫--⌫----|-|------||-⌫|||--⌫--|
c i uoi uenirde m ar chea nz	-⌫|--|----|-|-⌫--⌫----⌫-|
gra ntmas s e	---⌫-|---⌫-⌫|
uo irdit li autresonques	--⌫-|--|-|-----|-----|
mesneui tal e	--|-|-|---⌫|
co itiere ntqueil	--⌫------⌫-|--|-|
uinrentaumestre	------|-|-----|
deman dentque l auoirfetes	-----⌫---|---⌫|----|----|
no ssygla tonse t	--⌫|-----⌫---|-⌫|
drasporpr e s et pailes	---|-----⌫-⌫|-|-----|
e t escarlate s etuert	-⌫|---------⌫|-|---|
e tbrunproisable	-⌫|---|--------|
trancha nz esp iez e thaub erzetuerzh eaumes	-------⌫-|---⌫--|-⌫|----⌫--|-|---|-⌫-----|
escuzpesanzetespeesquita illent	----|-----|-|-----|--|--⌫-----|
dien tpaien ic iagrant menai e	----⌫|----|--⌫||----|-----⌫|
oralez do nques au	-|---|--⌫----|-|
mes tr eg uionnage	---⌫--⌫|-⌫-------|
tan ton tfrancoi scheuauchiée terre ́	---⌫|--⌫|-------⌫|----------|-⌫|----⌫|
uaus etmontaignesettertres trespassé	---|-|---------|-|------|---------|
quilsont uenua nymes lac it e	-|-|---|---||----|-|-⌫--⌫|
dedenzlaporte	-----|-|----|
fo ntlor ch arroientrer	--⌫-|--|--⌫----|-----|
l unenpres l aut re sicomeilest	|-|-----||---⌫-|-|---|-|--|
par mi lauil eenestle cri	---⌫-|-|---⌫|-|--|-|--|
marcheantri che de celautre regne	--------|--⌫--|-|--|----|----|
telauo irmainnentonc	--|---⌫-|-------|--|
nefu te lmen é	-|-|--⌫|---⌫-|
mes en tonneaus	--|-|-------|
tot enserrer	--|-------|
l i roisotransqui enoiparler	-⌫|---|-----|--|-|-|-----|
il etha rpinsaualent lesd egr ez	-|-|--⌫----|------|--|-⌫---⌫-|
freresestoientmol tse	-----|-------|---⌫|-|
du re nt ame r	--⌫--⌫-|---⌫|
seignorestoientdelab one	------|-------|-|-|-⌫--|
trusquaumarchienese sont	-----|-|------|-|-|---|
ontauecels	--|---|--|
seignor oiezquedexu o sbeneie	------|---|--|--|-⌫-⌫|-----|
li g lo rieus lifizsaintemar ie	-|-⌫--⌫----|-|--|-----|---⌫-|
cestechan con quege uosuorr ai dire	----|----⌫--|--|-|--|----⌫-|---|
pasdorgueillnede folie	--||-------|-|-|----|
ne demencongeest r ete ne	-|-|-------|---⌫-⌫--|-|
mes deprudomesqu i e spa ignecon quistre nt	--|-|-------|--⌫|-⌫---⌫---|---⌫-------⌫-|
de parxmontsaloiess aucie	-|--|-|--|-|--|---⌫----|
cestecitedont	----|---|---|
ie uo s chantdenymes	-|--⌫|----|-|----|
estenla terredem onseign orsaint	--|-|-|----|-|-⌫-|-----⌫-|----|
aun epartde s estres dela uil e	|--⌫|---|--⌫|-----|-|-|---⌫|
mesace leheur en	--||--⌫-|----⌫||
auoit ilmie	----|-|--|
ainz iert la lo i	---|---|-|--⌫|
delagentp aie nnie	-|-|---|-⌫---⌫---|
laouil pr ientmahomet et	-|-|-|--⌫---|------|-|
etteruagam	-|-------|
quilorfust en aie	--|--|---|-|--|
etsiteno i ent l or plete t	-|-|----⌫-⌫--|-⌫-|---|-⌫|
lor con cile	--|---⌫---|
siasse mbloientdepartotela	||----⌫-------|-|--|---|-|
xm uientt otdroite nun eplace	-|----|-⌫-|----|-⌫|--⌫|----|
per ron iotentailli é	---⌫--||-|--------⌫-|
deuertm arbre	-|---|-⌫----|
ladescendi	-|-------|
xm fierebrace	-|---------|
saborse sesdeniers e n	-|----|--|------|-⌫|
agranz poignieeles bonsdeniersen	|----|-------|--|---|------|-|
celuideman de	----|-----⌫-|
qui prentleguionaige	--|----|-|--------|
porriensqueil nulmallor	--|----|--|-|--|--|--|
dientpaieni ama ri a uroiz ga rde	----|----|-⌫|--⌫||-⌫----|--⌫--|
iln ia homed esi richel ignage	-||||---|-⌫|-|----|-⌫-----|
sil uo s disoit neorgueilne outr aige	|-|--⌫|-----|-|------|-|----⌫---|
quenen pendist parla	--||-|------|--|-|
guele azzarbre	----||-|----|
ende mentiersqu iluontein sipar lant	----⌫---------|-|---|---⌫-|---⌫---|
lec ont epledoiant	-|-⌫---⌫|--------|
ata nt ezuoseth arpin	---⌫-|-|--|-|-⌫----|
e t otrant	-⌫|-----|
ouild emandentleprisiém archeant	-|-|-⌫-------|-|------|-⌫-------|
di en tpaient quil	--⌫--⌫|-----|--||
erentesgardant	----|--------|
uezleuos lacelprud om eauenant	--|-|--|-|--|----⌫--⌫|------|
acelchapela cel e b arb e grant	|--|-----||---⌫|-⌫---⌫|----|
quia cesautresuetson	--||--|-----|--|--|
bo n commandant	--⌫|---------|
lirois otr an	-|---|---⌫-|
lenap ela auan t	|-|--⌫--|----⌫|
dontestes uos b eausa mi s ma rcheant	---|----|--|-⌫---|-⌫--⌫|--⌫------|
somes d angleterre	----||---------|
decantorb iereu neciteuaillant	-|-------⌫---|-⌫-|---|-------|
femebeausamismarcheant	---|----|---|--------|
oi lmoltgen te et yy	--⌫|---|---⌫-|-|-|
petitn eni a queyygranz	----||-|||--|-|----|
l unanonbe gueset	|-||--|--⌫---|-|
lautreanomsorant	|----||--|-----|
ueezles l a se nemeste s	---|--|-⌫|-|-||----⌫|
endeuslormonstre g uiel inetbertra n	-----|--|------|-⌫----⌫-|-|------⌫|
sineu euerent	-|---⌫-|----|
fillber nart d ebrubant	---|---⌫---|-⌫|------|
dient paien qu i	----|----|--⌫|
les uo ntesgardant	--|--⌫-|--------|
a grant merueilleauezorbeaus enfan z	|----|--------|---|-|----|-----⌫|
seseussent ue sti ra uenamment	-|-------|--⌫---⌫|-⌫--------|
li r oi sotran s len apelae rrant	-|-⌫--⌫|-----⌫||-|----|-⌫----|
c om auez nom beausam ismarcheant	-⌫-|---|--|----|--⌫-|--------|
beautresdolz siretiacreuoirement	---|---|---|---|-----|--------|
pa iens ces t	--⌫---||--⌫|
nomdeputegent	--|-|---|---|
t iacrefre re quelauoiruasme nant	-⌫----|---⌫-|---|----|--|--⌫---|
syglatonssirecendaus etbouqu esa nz	--------|---|------|-|-----⌫---⌫-|
e te scharlate etuer t etp ers u ailla nt	-⌫|-⌫--------|-|---⌫|-|-⌫--|-⌫-----⌫-|
etblan shea u berzet	-|----⌫|---⌫-⌫---|-|
f orzelmesluisanz	-⌫--|----|------|
tran chanzespiezetbonsescuzpe sanz	----⌫----|-----|-|---|----|--⌫---|
cleres espees a up onz dorreluisanz	-----|-----|-⌫|-⌫--||-|--------|
r esp ontotransbienuos	-⌫---⌫--|-----|---|--|
est mar cheanz	--|---⌫-----|
etditxmba ronsoffrezatant	-|--|-|--⌫--|------|----|
derri ereuiene ntli	-----⌫--|-----⌫-|-|
pluschierg arnement	---|----|-⌫-------|
qu eest c edontelpremierchie fde uant	--⌫|--|-⌫|---|-|------|----⌫|--⌫---|
encres e tsoffresencens etuisargen t	-----|-⌫|------|-----|-|--|-----⌫|
graineetpoiuresetsa fran	-----|-|------|-|--⌫---|
pe leterie bazenneetcordoan	--⌫------|------|-|------|
etpea uxde	-|---⌫-|-|
martrequi bonessontent en s	-----|--|----|---|-|-⌫--⌫|
otrans l ententsisen r itbonement	-----||-----|-||-|-⌫-|-------|
etxmen firentioie grant	-|-|-|-----|---|----|
liroisotransl	-|---|-----||
enpristaapeler	-|----||-----|
tiac re frer ep arla loi que	----⌫-|----⌫|-⌫-|-|--|--|
paruoplesird ites nosueritez	--|-|-----|-⌫---|--|------|
mienescie ntmo lt gr antauo i raue z	---|-----⌫-|--⌫-|--⌫--|---⌫-⌫|---⌫|
quia charroi	--||------|
lefetesci mener	-|----|-|----|
paruozmercizfet esnosendoner	--|--|-----|---⌫-|--|-|----|
moie tces autresqui	--|-⌫|--|-----|--|
somesbacheler	----|-------|
preu iauro izselecheminusez	---||----⌫-|-|-|-----|---|
et d itxm beau sireor	-|-⌫-|-|---|---|-|
uos so ffr ez	--|--⌫---⌫-|
mesdela cite	--|-|-|---|
la uile est bon e giuorr a idemo rer	-|---|--|---⌫|||----⌫-⌫|----⌫--|
ian euerroizdemain midi	-|-⌫|------|-----|---|
ue spr essonner n esolleillesconser	--⌫---⌫-|-----|-⌫|-------|-------|
demonauoiruosferai tant	-|--|----|--|----|---|
aur aque p orter	---⌫|--|-⌫----|
dientpai enmarcheant tro pesber	----|---⌫-|--------|---⌫|-|--|
mo ltpares largesseulement de	--⌫-|--|-|-----|--------|-|
sest es pr eudom n osle sauronsassez	|---⌫-|--⌫----|-⌫-|-|------|----|
u oi redistilplusqueuos	-⌫--⌫-|---|-|---|--|--|
onques nefui trichie rr es	-----|-|--|-------⌫--⌫-|
lim iensauoi rses t toza ban d onez	-|-⌫---|----⌫-|--⌫|--|-⌫---⌫-⌫---|
qui de moisontpriuez	--|-|--|---|-----|
u n dessesho mesa	-⌫|--|--|--⌫--||
licu en s apelé	-|--⌫--⌫|-----|
estuaencoretozmes charroiz	--|-|-----|--|--|-------|
oiluoir sire la	--|---|---|-|
mercid amede	----|-⌫----|
parm ilesrues	----⌫|--|---|
lescommenc ea gu ier	--|-------⌫||--⌫--|
eslarge splacesezlesuo s	-|-----⌫|-----|-|--|--⌫|
quilneueltest re der ie ns	-|-|-|---|---⌫-|-|-⌫--⌫-|
emprisone z	---------⌫|
saub esoinguient	|-|-⌫-----|----|
quilsepuistdeliurer	-|-|-|----|-------|
pa lesen ontsiestoupé	--⌫--|-|--|-|-------|
qu asxmss era	-|-|--|-⌫--|
liroisotranslicomme nca	-|---|-----|-|-----⌫--|
tiac r e frereparlaloi	----⌫-⌫|----|--|-|--|
dontt uuiues	---|-⌫|----|
oua sconquissir ic he	-|-⌫|------|-|-⌫--⌫-|
nenquelpais nen quelfie est	|-|---|---||-|---|--|--|
ceu os saigebi endi re	-|-⌫-|--|-|--⌫-|--⌫-|
endoucefrance lai ge auquesconquis	-|----|-----||-|-|-----|------|
or sim enuoisdeuoir	-|-||-|---|-|---|
enlombardie	-|--------|
et enca labreenpuilleet	-|-|--⌫----|-|-----|-|
enalem aigne desique n romenie	-|----⌫----|-----|-⌫|------|
etentos quaneet	-|-|---⌫----|-|
reuieng decadeuer sg alice	------|-|-|-----⌫|-⌫----|
pa rmiespaigne une terregarnie	--⌫--|-------|--|----|-----|
ete np oitoudesiennor mandie	-|-⌫|-⌫----|---|-|---⌫-----|
enangl eterreen escoceestmauie	-|----⌫-----|-|-----|--|-|--|
de sique nga lesnefinerai iemie	--⌫---|-⌫|--⌫--|-|------|-|--|
totdroit au cra cmenraigemon	--|----|-|---⌫|-----|-|--|
aunefoir e degrant anceserie	|--|----⌫|-|----|--------|
monchangefilzelregnedeuenice	--|-----|---|-|----|-|-----|
d ientpaie n maint eterreas re quise	-⌫---|----⌫|-----⌫|----|-|--⌫----|
n est p asmerueilleuilains se tu es	|--|-⌫-|--------|------|-|-|-|
oiez seignorpordeu demaieste	---|------|--|--|-|------|
ful eiorau isé	-|-⌫|--|--⌫---|
lir ois otr anleprista	-|-⌫--|---⌫-|-|----||
quant il loi	----|-||-|
sif ait ementparle r	-|-⌫---⌫----|-----⌫|
s ia ueul aboce sor le nes	-⌫||--|-⌫|---|--|-|--|
lorsli remembredexm a u cort nes	---|-|-------|-|-|-⌫|---|--|
fillaymeridenerbone sor mer	---|-----|-|------|--|--|
quantilleuita po i nest	----|-|-|--||--⌫||--|
tres tozlisansd elcor sliest	----⌫--|-|---|-⌫-|---⌫|-|--|
li cuersli f aut	-|----|-|-⌫--|
apouquiln est	|--|-|-||--|
cortoi semen tlenaaresonné	------⌫-----⌫||-||--------|
sil enapele com ia oirpo r rez	-||-|----|--|-|--|--⌫-⌫--|
tiacr efre re parlaloique	-----⌫|---⌫-|--|-|--|--|
celegrantb ocequeauezsor le	---|----|-⌫--|--|---|--|-|
qu ila uo sfist	--⌫|-|--⌫|---|
gardeznesoitcelé	-----|-|---|----|
quem emembreoredexmau	--|-⌫|-----|--|-|-|-|
fillay meriquita ntestredoutez	---|--⌫---|--|--⌫-|--|-------|
ocis monr i cheparente	---|--|-⌫-⌫--|------|
pl eust ade uquiest	--⌫---||--⌫|--|--|
e tteruaganetses saintesbont ez	-⌫|-------|-|--|------|----⌫-|
tenisse caded enz	------|-|---⌫--|
sicomfazu osque uoicies ter	-|--|--|-⌫-|--|--|-|--⌫--|
par mahome t ia se ro it afolé	--|------⌫|-|--⌫--⌫-|-----|
penduzasforc h esetauue nt encr oé	-----|-|----⌫-⌫-|-|-|--⌫-|----⌫--|
ou arse nfeu ouahonte liuré	-|--|-⌫|--|-||----|-----|
ot lexm s enazzrisgité	-|-|-||-||-|--|----|
sir edisti l enuersmo ienten dez	---⌫|---|-⌫|-----|--⌫|-----⌫--|
decele chosequeuo sci demandez	-|---|----|--|--⌫|-|-------|
uos diraigeuolanti ers	--|----|-|-------⌫--|
etde gr ez	-|-|--⌫-|
quan t ie fuiiuenesmesc hinsetbac helers	----⌫|-|--|-----|----⌫---|-|---⌫-----|
sideu ing lerres	-|---⌫--|-----|
mer u eilleus por	---⌫-⌫------|--|
etengingnerre s onquesneuimon per	-|-----------⌫|-----|-|-|--|--|
copoieborsesetgueillesbien fermez	-----|-----|-|-------|---|-----|
enres pristrentli mestre bacheler	-|---⌫--------|-|-----|-------|
etm archeant cuige auoieem ble ́	-|-⌫-------|--|-|----|--⌫---⌫|
a lorc out eausmecreue rent	|--|-⌫---⌫---|-|-----⌫---|
less iere ntaler	----⌫----⌫-|---|
sico mmencaicest	-|--⌫------|---|
mestierqueueez	------|--|---|
lamercideu	-|----|--|
tan tenai conquesté	---⌫|-|-|---------|
commea u oseulzpar	----||-⌫-|---|--|
iciesgarde z	--|-------⌫|
dis tlipaien smoltauezf etque	---⌫|-|-----⌫|---|---|-⌫-|--|
iamesasforchesne	----|-|------|-|
d oi zestre e ncroez	-⌫--⌫|----|-⌫-----|
en estd iluec t ornez	-|--||----|-⌫----|
cilquelconoisse ntl	--|--||--------⌫-||
apel oientbarre	----⌫----|----|
senes chausiertle	-----⌫----|---|-|
roidelacite	--|-|-|---|
des oruorralemengier conr aer	--|-|----|-|------|----⌫--|
cuisi neporle feualumer	-----⌫-|--|-|--|-----|
tr u euesi e ncombré	--⌫-⌫--|-|-⌫-------|
par nulenging	--|--|-----|
nepotd ede nz entrer	-|--|-⌫---⌫-|-----|
qua ntilleui tapoun	---⌫-|-|-|--⌫||--||
estfor sené	--|---⌫----|
mahomet iur eia seracomparé	------|---⌫|-|---|-------|
uinta harpinsi liatot	---||-----|-|-||--|
quisir eestoit delabon ecite	--|---⌫|-----|-|-|---⌫|---|
frereotranle deffae ́	----|----|-|------⌫|
cortois em ent lenaaresonné	-------⌫--⌫--||-||--------|
damoiseaussireenue rsmoi entendez	---------|---|----⌫-|--|-------|
parxmmal nosesten c ontré	--|-|--|--|--|--⌫-⌫-----|
d ecel uilain	-⌫|--|-----|
quic eanzestentré	--|-⌫---|--|-----|
l uisdelpalesno s	|--|--|----|--⌫|
encombr é	-------⌫-|
ipuet neuenirnealer	|---|-|----|-|---|
seg en estoiecreuz et	-||-|-----|----|-|
esc oute z	---⌫----⌫|
noslefer ons	--|-|---⌫--|
corr ociéet	----⌫----|-|
uezs on auoirquil a	--|-⌫-|----|-|-||
autruine uelt ilriensdoner	-----|-|---|-|----|----|
quarf etessiretrestozcez	---|-⌫---|---|------|--|
enlacuis ineaumengier	-|-|----⌫--|-|------|
et dis tharpinszzgrant	-|---⌫|------|-|----|
mailmaportez	---||------|
et ci lrespont sicom uoscomma ndez	-|--⌫|------|-|--|--|-----⌫---|
li pa utonie rssen estdilu ector ne z	-|--⌫------⌫-||-|--||---⌫-|---⌫--⌫|
zzm aill d efer	-|-⌫---|-⌫|--|
