uneman ieredegentsunt	--|---⌫---|-|---|---|
ou ilalasanzretourner	-|-|--|---|--------|
si deui nt	-|----⌫-|
il leque st emplier	--⌫-----⌫|-⌫------|
etdie xdist quecestencombrier	-|---⌫|---|--|---|---------|
meschiefpor cen aui nt	-------|--|--|---⌫-|
quau cheualiertantmesauint	-|-|--------|---|-------|
queildis t cenque celer deu oit	--|-|---⌫|--|--|----|---⌫--|
e tque desfendul iauoit	-⌫|--|-------|-⌫|----|
samie q u il	|---|-⌫|-|
ne ledeist	-|-|----|
t antcomsamo r a uoir uousist	-⌫--|--||---⌫|-⌫---|------|
cestessampledoitle n	---|-------|---|--⌫|
s amour garde rparsigrantsen	|----|-----⌫|--|-|----|--|
conai ttou z iors	|-|--⌫|---⌫|---|
en r e membrance	-|-⌫-⌫--------|
quelidescouur ir rien s n	--|-|--------⌫-|----⌫||
etlice lerentouzpoi nsuaut	-|-|--⌫--|-|---|---⌫-|---|
quisilefaitne crientas saut	--|-|-|---|-|-----|--⌫---|
desfauzfelonsenquereors	--|---|-----|---------|
quienquierentautriamours	--|---------|----|-----|
cestfable lciendro itdesfine	---|-----⌫|-|-----⌫-|------|
dieuq u ine fi ne	---|-⌫-⌫|-|--⌫-|
qu il ai t delor	-|-|--⌫|-|--|
ames merc hi	---|----⌫-|
et des nostrestoutautresi	-|--|------|---|------|
