sal emonfeitun petit	---⌫---|---|-|----|
u sure estettroplaide queste	-⌫---|--|-|---|----|-----|
ettropialaideco nqueste	-|---|||----|--⌫------|
mes a noalzfereneceste	--||----|---|-|----|
quaruendra	---|-----|
uos tausyymars	--|---|-|---|
porde izliures peseiz et ars	--|--⌫-|-----|-----|-|--|
desiq uala festesaintmars	-----⌫||-|----|----|---|
termeneseit eschars	----|-|---|------|
qui uau drontyyliuresapeine	--|---⌫----|-|-----||----|
me dedroep o r me d e	-|-|---|-⌫-⌫|-|-⌫|
anoneporriepor sa ine	----|-----|--|--⌫--|
dras deborrepor	---|-|----|--|
drasde laine	---|-|----|
d r as corzporlonset	-⌫-⌫-|---|--|---|-|
ueilpornof	---|--|--|
treep orporcuachepo r bof	---|-⌫-|---|----|--⌫|--|
pariurasenyyoun of	------||-|-|-|-⌫-|
tientpas a i able	----|--||-⌫---|
ai nzditque cestuenconraisn a ble	--⌫-|--|--||--|-----|-----⌫-⌫--|
mes iesaibien que	--|-|--|---|--|
lifetacreire	-|--|------|
ic estefable	--⌫---|----|
etb ien saiqueia	-|-⌫--|--|--|-|
esconm ungi er souents ora	------⌫----⌫-|-----||--|
queferalasquantil	--|---|--|----|-|
quanttozc erendre ne po rra	----|--|-⌫|-----|-|--⌫--|
etcesaigesanznul quen	-|-|--|-|---|--|-|-|
quei lauramess on sanzbog e	--|-⌫|---|----⌫-|---|---⌫|
apeineauranul eir uioge	|----|---|--|--|----|
ets eil ui tquigaires	-|-⌫|-|--⌫|--|-----|
porlacoped opere apert e	--|-|---|-⌫|---|-----⌫|
a uie n tau	-⌫---⌫-⌫|-|
fizqueilreue rte	--|--|-|----⌫--|
ain zquil meire agrantpouerte	---⌫--|-|----||----|------|
o ude cons orsa l eideperte	-⌫|-|--|-⌫--||-⌫---|----|
nori ze stdema leuiande	----⌫|-⌫-|-|--⌫-|-----|
conmeainzpoutautretelde ma nde	----|---|---|-------|--⌫--⌫--|
plusicorttost	---||---|---|
qu ecerfen l ande	--⌫|---|-|-⌫---|
quarcoueitisele com ande	---|--------|-|---⌫---|
so n cegoignelpestlacegoine	--⌫|--------|---|-|------|
decolouresd autre	-|-------||----|
aau treteluol elahoi gne	|--⌫-----|---⌫|-|---⌫--|
desque pout	-----|---|
u iur eparsapoig ne	-⌫---⌫|--|-|----⌫-|
a uozeffanz	|--|-----|
faitesdoncbi en	-----|---|--⌫-|
queuosa me zs ortote rien	--|--|-⌫--⌫|-⌫-|---|---|
nemeirg entconmepai en	-|-----⌫--|----|---⌫-|
etmis enterreconmechie n	-|--|-|----|----|----⌫|
neie z iapor nule pecune	|---⌫|-|--|---|-----|
onules2conmungié conmune	|--|------------|------|
siuoseniau ez negune	-|--|-||--⌫-|-----|
mol t uost orra a	---⌫|--|-⌫---||
grantranc un e	----|----⌫--⌫|
quarsi uos	---|-|--|
est esp ris	---⌫-|-⌫--|
queu os meingie zen italuice	--|-⌫-|-------⌫|-|---|---|
neuo suaud rar iensacrefi ce	-|--⌫|----⌫-|-⌫--|-------⌫-|
mes se aum o sne	---⌫-|---⌫-⌫--|
n autre seruice	|----|------|
porc e esttropfolcil	--|-⌫|--|---|--|--|
quisepl unge	--|-|--⌫---|
aesci enten esconmunge	|----⌫--|-|---------|
quart rop s ouent li	---|-⌫--|-⌫----|-|
uient aurunge	----|-|----|
ain zque prestreleracomunge	---⌫---|------|-|--------|
lage ntletienne n t	-|--⌫-|-|------⌫-⌫|
et lip etit et l imaien	-|-|-⌫---|-|-⌫|----|
r euientaudeien	-⌫-----|-|----|
sirefetp leineseiqueien	-|----|-⌫--|-|--|-----|
de xuos au eit d ex u o s conseolt	--⌫|--|--⌫--|-⌫-|-⌫-⌫|-------|
quise s amis	--|--⌫|---|
consei llier s eolt	------⌫----|-⌫---|
lauosaloutourien ne deolt	-|--|----|-|---|-|----|
ou chascuna quanqueil	-|------||------|-|
desdomese tdesdemeiselle s	--|----|-⌫|--|----------⌫|
des chan berer es d es an celes	--|----⌫-----⌫-|-⌫-|--⌫----|
desme schines etdespucelles	--|--⌫------|-|--|-------|
m a lenas ezcontén o uelles	||--|--⌫-|-----|-⌫-⌫-----|
le scontesseset le sreines	--⌫|--------|-|--⌫|-----|
funtasezpeis	---|---|---|
que lesmeschines	--|--|--------|
quardilocsordentles	---||---|------|--|
lesme s lees et lesrauines	--|--⌫-⌫---|-|--|------|
si au cun folles ueoltrequere	-|--⌫--|--|--|----|------|
deloramortost enaerre	-|--|---|---|-||---|
asteuossemencede guerre	---|--|------|-|-----|
quigentessil le etgententerre	--|---|-----⌫-|-|---|------|
par l e s e stoires anciennes	--|-⌫-⌫|-⌫------|--------|
d enostreleiet	-⌫|-----|--|-|
despaiene s	--|------⌫|
que lenleisten corze	--|--|----|-|---||
oiez q uelmalfuntri che s fames	---|-⌫--|--|---|--⌫---⌫|----|
parhe lein efut arsetroie	--|--⌫----⌫|--|---|----|
p ar daulilaque d exneuoi e	-⌫-|------|--|-⌫-|-|---⌫|
perdi t sanson fortinsa	-----⌫|-----|-----|-|
ric hedame quie stioliue	---⌫-|---|--|-⌫-|-----|
as on saignor te ncee t	|-⌫-|------|--⌫--|-⌫|
uers luise	---|--|-|
tien tg ordee teschiue	----⌫|-⌫---|-⌫|------|
uers un peiordeluibraiue	---|-|----|-|--|-----|
aprozse tient	|---|-|----|
eta gueirie	-||------|
gentestp arlei	---|--|-⌫-|--|
m oltp arlip le stsalecheri e	-⌫--|-⌫-|-|-⌫--⌫-|-|-------⌫|
nelicha utqu iquen plortne	-|-|---⌫-|--⌫--|-|----|-|
desqu e espriseestun poilabre ise	-----⌫|------|--|-|--|-|---⌫--|
n esaigno rnemarine	-⌫|------⌫|-|---|-|
nonpastot le montunefreise	--|--|--|-|---|--|-----|
ne lichautparunpast	-|-|----|--|-|---|
n emessonbon	-⌫|--|--|--|
peiseauengier	----|-------|
cedi t quila ue l t blastengi er	-|--⌫|--|-|--⌫-⌫|---------⌫-|
desonsaig nor seueut uengier	-|--|----⌫--|-|---|------|
qui laimetrop	--||---|---|
aleidengier	|---------|
mespar ma fei	--|--|-|--|
uilmentse uenge	------|-|----|
q uiseimeismesenleideng e	-⌫-|--|------|-|-------⌫|
ai nzlairei getotmon	--⌫-|-----|-|--|--|
quemahonteauen gance prenge	--|-|----||---⌫----|-----|
ue rsson mari estmorneetmu e	--⌫-|--|---|--|----|-|--⌫|
etdeuantluit ostseremue	-|-----|--|-⌫--|-|----|
u erssondrupaintsa fac eet mue	-⌫--|--|--|----|-|---⌫|-|--|
p lus que espreu ier qui eist de	-⌫--|--|------⌫--|--|---|-|
auoitre conpaignon	------|---------|
dou mostonquier tlez	--|-----|-----⌫|--|
le fieletlointd elblanc	-|---|-||---|-⌫-|----|
aconfereson tife inon	|------|--|----⌫---|
centda hez ait cel or quim ent	---|--⌫--|--|--|-|--|-⌫--|
deuiuechauzet	-|---|----|-|
d or pimen t	|--⌫-----⌫|
a us ost erfuntunciment	-⌫-|---⌫-|---|-|-----|
mesil neultpas conme pim en t	--|-||---|--|----|---⌫--⌫|
parlesmestes dela	--|--|-----|-|-|
fei sselle	---⌫-----|
s efaitdelaidefamebell e	-⌫|---|-|----|---|----⌫|
et dep ut ainsefet pucelle	-|-|-⌫--⌫--|-|--|------|
etdelaid e	-|-|----⌫|
fronciebelle	------|----|
f oleestdomequisi s a f eite	-⌫--|--|---|--|-||-⌫-⌫---|
quarcedist dex	---|-|---|--|
parliprop hete	--|-|----⌫---|
heirepasneli heite	----|--|-|-|----|
ne laconoist nenel afeite	-|-|------|-|-|||----|
por pluscrua letporplusfiere	--|---|----⌫|-|--|---|----|
tien gefame	---|-|---|
quiestsorciere	--|--|-------|
enpla stre fe t detal me niere	-----⌫---|--⌫|-|--|--⌫----|
donme int prodo megist enb iere	--|--⌫--|-----⌫-|---|-|-⌫---|
dardil lefetuolzetde	|-----⌫-|--|---|-|-|
etdit charmesque neseidire	-|--|------|--|-|--|---|
quardia bl e pout bienocire	---|---⌫--⌫|---|---|----|
celsqueliprestresolt m a ldire	---|--|-|------|---|-⌫-⌫----|
oso ns aigno rtrait	|--⌫|-⌫-----⌫|----|
de malesherbes lenuenime	-|----|-----||-------|
dela r aiz etde la c ime	-|-|-⌫--|-|-|-|-⌫--|
mo rirl estotainzoreprime	--⌫--||----|---|--|----|
effan zoc it de denzses filles	-----⌫|--⌫-|--⌫---|--|-----|
qu ant elson tfet malessemiles	--⌫--|--|--⌫|--|----|------|
de l smordrirnelor e stdous	|-⌫-⌫|------|-|--|-⌫-|---|
queld em engier	---|-⌫|-⌫-----|
grasses anguilles	------|--------|
et tal iace dit	-|--|||-|--|
quisei meime ocit aride	--|--|----|---||---|
q uantsoneffan t ocire quid e	-⌫---|--|-----⌫|----|----⌫|
et fet issidobleomicide	-|--|---|----|------|
riche dome quihe itconoille	----|---|--|--⌫-|-------|
netei st nefil enetraoille	-|---⌫-|-|---⌫|-|-------|
nebaratenenetrebo ille	-|-----|-|-|-----⌫---|
detotecuresedesp oille	-|---|---|-|----⌫----|
faire be ll e	----|--⌫--⌫|
peind re blanch e ou r ouente	-----⌫-|------⌫|-|-⌫-----|
etditq uemal futsa iouen te	-|--|-⌫-|--|--|-|-----⌫-|
siena m orne	-|-|-⌫-⌫-|-|
m et en ten te	-⌫-|--⌫---⌫-|
dol ceme nts ei tlenmia mer	---⌫----⌫-|-⌫--⌫||---|-⌫--|
m es lemarili restamer	-⌫-|-|---|-|---|---|
el b ie nre clame r	-|-⌫--⌫|--⌫-----⌫|
etdomarisouentclamer	-|-|---|-----|-----|
sesis m ari laue lt	-|--|-⌫--|-|--⌫-|
destreindre	----------|
sonamin epeis eateind re	--|--|-⌫|----⌫|------⌫-|
qui doncl orei t malade feindre	--|---||----⌫|-----|------|
san z nulmal pl eindre	---⌫|--|--|--⌫-----|
idoncbaailleetest e ndeille	----|------|-|---⌫-⌫------|
et di t q uelacroslepeil le	-|--⌫|-⌫|-||----------⌫-|
ri cheo t l iuient	--⌫----⌫|-⌫|----|
quilicons eille	--|-|----⌫----|
quepo rtersefacealau eille	--|--⌫---|-|---||-|-⌫----|
a laueille s e fet uoer	|-|-----|-⌫|--|---|
n onporpreier mespor	-⌫-|--|-----|--|--|
ouelpei sseceluitrouer	-|-|---⌫--|----|-----|
qui de l ifet	--|-|-⌫|--|
ne p out auenir	-|-⌫--|-----|
oua laleroua l u eni r	-|||---|-|-⌫|-⌫---⌫|
neseitquedeie deuenir	-|---|--|---|------|
aus ga rcons lestout cou enir	--|--⌫----||-----|---⌫---|
quantdes gar conses tmastine e	----|--|---⌫---|--⌫|-------⌫|
fetelmadesti nee	--|-|-|-----⌫--|
mest al lin eie estisinee	--|-⌫-|---⌫--|--|--|--|
nobleice est afinee	-------|--|-----|
dougentilbaronsonsaignor	--|-----|----|--|------|
auoitron eschietlenn or	-------|------||---⌫-|
porce sunt	--|-|---|
orli er m enor	-|-|-|-⌫---|
geste anciennor	----|--------|
s e le ir est	-⌫||-⌫-|--|
mal uei s ilquenpo ut	---⌫---⌫|-|-|-|--⌫-|
quide chaz estsurgierlestout	--|-|---|--|------||-----|
quid e poirsest	--|-⌫|----|--|
eltaier fout	-|----|---|
etcilrest bonqui debons mout	-|--|---|--|--|-|---|---|
ligentil f izdesgentiz	-|-----|-⌫-|--|-----|
et desbones meres	-|--|----|----|
ilnefuntpasles pesanzheir es	-|-|---|--|--|-----|----⌫-|
ainzont piti edautr uimis er es	---|--|----⌫||----⌫-|---⌫--⌫-|
debelpec hie n	-|--|---⌫--||
estpasmer ueille	--|--|---⌫-----|
d esque lanatu re le	-⌫----|-|----⌫-|-|
conseill e	--------⌫|
mesqui delei	--|--|-|--|
encontre n a tureteseill e	-------|-⌫-⌫---|-------⌫|
celu ide it lena	----⌫|--⌫-|--||
chiens huer	-----|---|
pieres etbastons	-----|-|------|
torchonsl ideureitruer	-------|-⌫|------|---|
etconaut resgueignons	-|--|---⌫--|--------|
cesdamesonttrou ézzieu	--|----|--|----⌫-|-|--|
trutenn e sfuntuneu	-------⌫-⌫|---|-|-|
sa rqueuhurten t	--⌫----|------⌫|
contres arqueu	-----|-⌫-----|
s anzfo ci lescoent l o r feu	-⌫--|--⌫--⌫|------|-⌫-⌫|--|
pas a piquenp ance	--||-------⌫---|
apleins escuzioignentsan z la nce	|-----|----|-------|---⌫|--⌫--|
nont soigndelangeen	|--|----|-|----|-|
lor balance	--|------|
neenlormole point demance	-|-|--|---|----|-|----|
aig uepeschentautorb out	---⌫-|-------|-|----⌫--|
etniq uiere ntpoint de ribot	-|||-⌫-----⌫-|----|-|----|
n onts ain de	|--|-⌫--|-|
pileteen l or pot	-----|-|-⌫-|--|
neen lor bra nledepiuot	-|-|--|---⌫--|-|----|
d use tdusi osten tlor	-⌫-|-⌫|--|-⌫-----⌫|--|
etsemeinentplus	-|-|------|---|
quel etro t	--|-⌫|---⌫|
ales cremiedel	||--⌫-----|--|
sentrepaientuilm e ntlescot	|----------|----⌫-⌫-||----|
iln esunt pa s totes d	-|-⌫|---|--⌫|----||
lunes esteit etla utre	|--||-----|-||-⌫---|
l une fetcoc etlautre	|--|--|--|-||----|
etchascunemeine sonros sle	-|-------|----|--|---⌫--|
ai d ite tconté	-|-⌫-|-⌫|-----|
quel honte fe t cor de honté	---|----|--⌫|--|--⌫-----|
mes ape ti t s eraconté	--||--⌫--⌫|-⌫--|-----|
si neredidelorbonte	-|-|---|-|--|----|
fu tfo le etorganit e	--⌫|--⌫-|-|-------⌫|
t ecle fut saiu eetmarguerite	-⌫---|--|----⌫|-|---------|
etm einteautref ame p etite	-|-⌫----|----|-⌫--|-⌫----|
quientr enosencorehabite	--|----⌫|--|-----|-----|
bonefameest	---|---|--|
mol thaute chose	---⌫|----|----|
debien feirepas ne repose	-|---|----|--|-|-----|
debiendirepartots	-|---|---|-----||
b ienconseil ier e tb i enfer eose	-⌫--|-------⌫--|-⌫|-⌫-⌫-|---⌫|--|
u ilain s e stquif amedeuile	-⌫-----⌫|-⌫-|--|-⌫--|-----|
etcilde borc etcil deuile	-|--|-|---|-|--|-|---|
suntdesfames dequelqueguile	|--|--|----|-|------|----|
etretrouunen	-|-------|-|
leuangille	|--------|
defamesso ue nt menc i on	-|----|--⌫--⌫-|----⌫-⌫-|
restnostre	---|-----|
quede lagrantperdicion	--|-|-|----|--------|
futparfame re de ncion	--|--|---|--⌫--⌫----|
perdueauio nla cit e	-----|----⌫|-|---⌫|
docie lqui ert nostre erite	-|---⌫|--|--|-----|----|
f umesaquité	-⌫---|------|
enquidexpristhu manite	-|--|--|----|--⌫-----|
quant dex d eignaen le id escendre	----|--|-⌫----|-|--⌫|-⌫-------|
eten fa mechar	-|-|--⌫-|---|
et tol irmortetuierendr e	-|---⌫-|---|-|--|-----⌫|
penserpounbieneten tendre	-----|---|---|-|--⌫-----|
qu il essauca fames or	-|-|------|---|-⌫-|
su s saintp eredero me	--⌫|----|-⌫--|-|--⌫-|
ang res est	---⌫--|--|
l emal del la	-⌫|--|--|-|
a bepoutmoinebeneis tr e	-⌫-|---|----|------⌫--⌫|
denonein sacrer	-|-----|-----|
estmenistre	--|-------|
lieuesques elonsonistre	-|------|-⌫---|--|----|
et s irelei sonen l epistre	-|-⌫|-----⌫--|-||------|
quebonef am eest or nement	--|---|-⌫--⌫|--|--⌫-----|
aso nsaign or etpasnement	|--⌫|-----⌫-|-|--|-|---|
l aime etsert bonement	|---|-|---|-------|
etleco nse illeueire ment	-|-|--⌫---⌫---|-----⌫---|
siespouse sonesp ousaime	-|------|--|---⌫--|---|
segurementsonnonr eclaime	---------|--|--|-⌫------|
et deses mau salu ise claime	-|-|--|---⌫||--⌫|-|-----|
fei que ie	--|--|-|
dei saintemarie	--|-----|----|
nuleioienesttant garie	---|---||--|---|----|
conde ma rietdema rie	--|-|--⌫-|-|-|--⌫--|
iala lor ioien ierttol ie	-|-|--|---||---|---⌫-|
funttalco nlorsemble	---|--|--⌫|--|-----|
nelorcha ut quiquest rei se	-|--|---⌫-|----|-|-⌫---⌫-|
dah ezaitioieque len enbl e	---⌫-|--|---|--|--|----⌫|
oul en toziorzdepourtrenble	-|-⌫-|--|---|-|---|------|
c equest pechieenunetose	-⌫|-|--|-----|-|--|---|
qui par folielagolou se	--|--|----|-|-----⌫-|
cepout f a i reespous enespouse	-|---|-⌫-⌫-⌫-|-----|-|------|
sanzpenitancetrop gre iouse	---|--------|---|---⌫----|
etl a d omeconce itet por te	-|-⌫|-⌫--|-----⌫-|-|---⌫-|
eta effa ntselenauorte	-||----⌫-||--||-----|
ou sede duitets edeporte	-|-|--⌫---|-|-⌫|------|
ettozses delis	-|--|--|----|
treconforte	----------|
et l imarizsi conlequ it	-|-⌫|----|-|--|-|--⌫-|
rades effanz	-|--|-----|
tropbo ndeduit	---|--⌫|-----|
quien ate ntaueir bonfru it	--|-|---⌫-|----|--|---⌫-|
su ntno riet	--⌫-|--⌫-|-|
b onssu nt	-⌫--|--⌫-|
lieffan taau ei r	-|-----⌫||--⌫--⌫|
qua ntiluntetse netsaueir	---⌫-|-|--|-|--⌫|-|-----|
porels norrisent	--|--|--------|
mes unerien s ai biendeueir	--|--|---|-⌫-|---|-|---|
que il etpereetmere afolent	--|-|-|---|-|---|------|
quantilles	----|-|--|
beisentet aco le n t	------|-|---⌫--⌫-⌫|
robentetpor	-----|-|--|
e l sto lent	-⌫-⌫|--⌫---|
pore lsenpruntent	--|-⌫-|---------|
etne s olent	-|-|-⌫----|
lorc orsenu sen tettrauaillent	--|-⌫--|-|-⌫---⌫|-|----------|
g agesprenne nt	-⌫---|------⌫-|
etgagesbaille nt	-|----|------⌫-|
chaste ausaseen tchasteausasaill ent	------⌫--|-----⌫|--------|------⌫--|
q uanttotontfetmo urent	-⌫---|--|--|--|--⌫----|
etfaillent	-|-------|
quileseirs a a ueir aune	--|--|---||-⌫---|---|
noalzseuestetplusieu ne	----|-|---|-|---|---⌫-|
etquinesaleson	-|--||-||-|--|
au s poures souen t sanzrancune	--⌫|-----|-----⌫|---|------|
lacont essede	-|----⌫---|-|
hei refo rt	---⌫----⌫-|
seitbiensiiai ou	---|---|-||-|-|
qu i oteffanz mestuitsunt	--⌫|-|-----|--|---|---|
tot son deport	--|--|-----|
cha peles fetauteus aorne	---⌫----|--|-----|----|
pouresherberge etles soiorne	-----|-------|-|--|------|
e tl eiueetco chetot aorne	-⌫|-⌫---|-|--⌫--|--||---|
ob elechierenon	|-⌫--|-----|--|
selletroue hau te pers oi ne	|---|----|---⌫-|----⌫--⌫-|
eue sq uea be prio r nemoigne	---⌫--⌫-|-⌫-|----⌫|-|-----|
hosp i talierne bl ancchanoine	----⌫-⌫-----|-|--⌫--|-------|
celshono reetse rtsa nz	---|----⌫-|-|--⌫-|--⌫-|
emi ze ta ubeslo r presente	---⌫|-⌫|-⌫---|--⌫|-------|
etchasubles dedra s detrente	-|--------|-|---⌫|-|-----|
grantentente	----|------|
etlesachatedesa rente	-|--|-----|-|-|----|
leiamentaime	-------|---|
sonsaignor	--|------|
ett uitliportentg rant hano r	-|-⌫--|-|------|-⌫---|----⌫|
liplusueil	-|---|---|
et li io uenor	-|-|--⌫----|
etliplusgrantetlimenor	-|-|---|----|-|-|----|
enleipoentess a m plepren d re	-|--|----|---⌫-⌫-⌫--|----⌫-⌫-|
celes qu i b ien u olent entendre	----|--⌫|-⌫--|-⌫----|-------|
quarl orcharmol ebl a ncheet te ndre	---|-⌫-|---|---⌫|--⌫-⌫---|-|--⌫---|
seraprimesuerse tpeis cendre	---|-----|---|-⌫|---|-----|
la plus tendre etla	-|---|-----|-|-|
plus norie	---|----|
seraplus tost	---|---|---|
flestre et	------|-|
netroueruntquipeislorrie	-|--------|--|---|--|--|
ne are ste us neato rie	-|---⌫-|-⌫-|-|---⌫--|
ne aus uilesnea us marchiez	-|--|----|-|-⌫-|-------|
ne lo r se rale	-|--⌫|--⌫-|-|
piemarchi e z	--|------⌫-⌫|
licil pelé nearagiez	-|--|----|-|------|
enterre e rtcloset enparchiez	-|----|-⌫-|---|-|---------|
idoncestremeslegu inie r	----|--|----|-|--⌫----⌫|
e tl egrondir etlegrinier	-⌫|-⌫|------|-|-|------|
etletiferetle painier	-|-|----|-|-|------|
et lelaueretla linier	-|-|----|-||-⌫-----|
fl eire chose estbiaute de	--⌫---|----|--|-----|-|
a belforslapeldefors	|--|---|-|--|-----|
mesq uiuerreit deden z lecors	--|-⌫-|------|-----⌫|-|---|
pareit q ueliest litensors	-----|-⌫--||--|-|------|
peld efors enteime	--|-⌫----|------|
ouel des cire ouel deraime	-|-|---⌫---|-|-|------|
ouel boceouel	-|-|---|-|-|
portant peristbiautedefeme	--|---|-----|-----|-|---|
dex b onefameenbienmeintienge	--|-⌫--|---|-|---|---------|
laf oleaueite tl a mei n tienge	-|-⌫--|----|-⌫|-⌫|---⌫-⌫-----|
etliotreit	-|-|-----|
q u e s econtienge	-⌫-⌫|-⌫|--------|
siq ue peizetpardonli	-|-⌫-|---|-|-----|-|
d eplusors gentaiditl	-⌫|------|---|-|--||
queilf o nt	--|-|-⌫-⌫-|
et qu i ldeuentfere	-|-|-⌫|-----|---|
que lor estbon	--|--|--|--|
etque contrair e	-|--|--------⌫|
dem ei lorueilitantre traire	-|-⌫-|--|---|----|--⌫-----|
maf oleui e meespoente	-|-⌫--|--⌫|-|-------|
quargra nt	---|---⌫-|
p our merepresente	-⌫--|-|---------|
quantme souientquemaioue nte	----|-|------|--|-|----⌫--|
aitotemiseen	-|---|---|-|
fol ee n tente	---⌫|-⌫-⌫----|
quan tlisegreidemon c our so ure	----⌫|-|-----|-|--|-⌫--||-⌫--|
etm is c oragesedesc oure	-|-⌫-|-⌫----|-|----⌫---|
asezp lusme	---|-⌫--|-|
pointmamal eoure	----|-|---⌫|---|
q uese rpen tne nule coloure	-⌫-|--⌫----⌫|-|---|------|
n u lebonetante mal ueise	-⌫-⌫-|---|----|---⌫----|
nen tr eis nulequia de	|-|--⌫--|---|--||-|
q uemis cors na	-⌫-|--|---|||
tantemalueise	----|-------|
gesuilarbrequi	-|--||----|--|
f r uitne done	-⌫-⌫--|-|---|
de x qui d amp n eetqui	--⌫|--|-⌫---⌫-⌫|-|--|
seitquid eser tflambeouc orone	---|--|-⌫----⌫|-----|-|-⌫----|
a u p i ed el arbre	-⌫|-⌫-⌫|-⌫||----|
estl acoignie	--|-⌫|------|
o u n adefruitunepoignie	-⌫|||-|----|--|------|
mo l t estmesp oilo rees loignie	--⌫-⌫|--|--|-⌫-||-⌫-|--⌫------|
queertab at ueettrenchi e	--|--|--⌫--⌫-|-|-------⌫|
quefer eizl as que deuendreiz	--|---⌫--|-⌫-|--|---------|
quant uosdeuantceluiuendreiz	----|--|-----|----|-------|
q uidreit iugeentoz endreiz	-⌫-|----|---|-|--|------|
telau ezfetteltrouereiz	--|--⌫-|--|--|--------|
oser ei zunmott entir	----⌫--⌫|-|--|-⌫----|
ne esc o ndirene	-|---⌫-⌫----|-|
poiuaudra pei s	--|-----|---⌫|
lerepentir	-|-------|
quarquimalfetmal	---|--|--|--|--|
deitsentir	---|-----|
selonlou reine lade serte	----||--⌫----|-|--⌫----|
ou del gain	-|--|---|
oude laper te	-|-|-|---⌫-|
uos ertui azla	--|--|--⌫-|-|
perte ouert e	----|-----⌫|
e tde xbiupere	-⌫|--⌫|--|---|
esperitable	----------|
lauoiz e spoentable	-|---|-⌫---------|
alezmaudi zel feudurabl e	---|-----⌫|-|--|------⌫|
quiaprestezestaudiab le	--|-------|--|-|----⌫-|
quine defeist	--|-|------|
c e estlarienquiplusminei st	-⌫|--|-|---|--|---|-|---⌫-|
quequi ientre neseneist	--|--||----|-||-|---|
la s unt li uermq uipas n emourent	-|-⌫--|-|---|-⌫-|--|-⌫|------|
feirene dem ourent	----|-|---⌫-----|
qu i leschaistis illocacourent	--⌫|--|-------|----|-------|
mordentetpoignentet deuourent	------|-|-------|-|--------|
crapau zcolou re s	------⌫|-----⌫--⌫|
lor penden t aus mameles	--|------⌫|--|------|
haconmalfu rentuncueues	-|--|--|--⌫---|--|----|
lesamistiezdes	--|-------|--|
foles drues	----|----|
quant leisardesetrene is selles	----|--------|-|----⌫--⌫-----|
etsorzlorpendentaus	-|---|--|------|--|
ne s u ntpasillors d emeissell es	-|-⌫-⌫-|--|-----|-⌫---------⌫-|
a inzse claiments ou e ntmis sel les	-⌫--|-|-------|-⌫--⌫-⌫-|---⌫---⌫--|
etdexbiausire biaudolz p ere	-|--|---|---|---|---|-⌫--|
saint emariedolcemere	-----⌫|----|----|---|
saintmichelsaint pouet sai nt	----|-----|----|--|-|---⌫-|
defendeznosditalmisere	-------|--||---|-----|
sain t a n dre saintiohan bautiste	----⌫|-⌫-⌫--|----|----|-------|
et s ainti ohanleuangeliste	-|-⌫---|-⌫---||----------|
s aint uincentsai ntlorenzsaintsist e	-⌫---|------|---⌫-|-----|----|----⌫|
defendeznosdoleutantr iste	-------|--|-|--|--|--⌫---|
saintgorg e saint garinsaint	----|----⌫|----|----|----|
sain t eutacheetsaintnicaise	----⌫|------|-|----|------|
sa int ypolite sai nt gerueise	--⌫--|------|---⌫-|-------|
defendeznosd italm eseise	-------|--||---|-⌫-----|
sain teste n ure saintdionise	----⌫|----⌫-⌫--|----|------|
etsa intt homase tsai nt	-|--⌫--|-⌫----|-⌫|---⌫-|
saintn icolaset	----|-⌫-----|-|
saintsopli s e	----|-----⌫-⌫|
defe ndezn os dinfe r nal pr ise	----⌫---|-⌫-||----⌫-⌫--|--⌫--|
saintge rmein sain t lou saintmeleine	----|--⌫----|----⌫|--|----|------|
sainte mari emai de leine	-----|----⌫|---⌫--⌫----|
sainz damlededemeine	----|------|------|
defendez nosd	-------|--||
infernalpei ne	-------|---⌫-|
fe ites q uepar u ostreprei ere	--⌫---|-⌫-|--|-⌫----|----⌫--|
uos ioie ple nier e	--|---|---⌫----⌫|
q uenossei unentalmeniere	-⌫-|--|---⌫-|-|--|------|
q uenosueion deenl a chiere	-⌫-|--|----|-|-|-⌫|-----|
etquiln osu ielge sisa igni er	-|-|-|-⌫-|-⌫----|-|--⌫----⌫-|
que celsqu auonaenseignier	--|---|-|---||---------|
a conferm erap rinseignier	|-------⌫-||-⌫----------|
quoseiles ueile aco npaignier	-||--|--|----|---⌫--------|
dex ait mercipar uoz preieres	--|--|----|--|--|-------|
demestree st einuredefougieres	-|-----|-⌫--⌫-----|-|--------|
quinosamostr élesmeneires	--|--||-----⌫-|--|-------|
d on plusors	-⌫-|------|
gentsuntcostumeires	---|---|----------|
quedeuonleissieret que prendre	--|----|-------|-|--|------|
queeschiueretqueatendre	--|-------|-|--|------|
etqu eloer	-|--⌫|---|
etque reprendre	-|--|--------|
qu adepeisson	-||-|------|
nozarmes rend re	--|----|----⌫-|
