#M ETA #Te xtURI AlexisP11	--⌫---⌫|--⌫----|--------|
#META # DEAF h ttp//www. d eaf-page. de/fr/bibl/bib99a.php#Ale xisP	-----⌫|---|-⌫---------⌫-⌫---------⌫-------------------------⌫---|
#META# TLAlex. Alex.S.	-----|-|----|----|-|
#META# FEW	-----|--|
#META#ARLIMAhttps//www.a rlima.net/no/114	-----|-----|------------⌫---------------|
#META#Au th or	-----|--⌫--⌫-|
#META#AuthorBorn	-----|---------|
# META #Au thorBor nAmb	-⌫----⌫|--⌫-------⌫---|
#META# AuthorDie d	-----|---------⌫|
#META#A ut horDiedAm b	-----|-⌫--⌫---------⌫|
#META#Auth orFl1	-----|----⌫----|
#META#Au thor Fl2	-----|--⌫----⌫--|
#MET A#T extTitle La uiedesain tAl exis	----⌫-|-⌫-------|-|--|-|----⌫|--⌫---|
#META# TextSu bt it le po e ̀medu	-----|------⌫--⌫--⌫-|--⌫-⌫--|-|
XIes iècleet	--|-⌫-----|-|
Quetoit le pla instre nt ettoitle doloserent	--|---|-|---⌫------⌫-|-|---|-|---------|
mil lairm esploredes.	--|-----⌫-|--------|
Desorlaterrenel pourentmais	----|-|----|-||------|---|
uoille n touno nsi	------⌫-⌫|-|--⌫|-|
l laissent en fodir	|-------|--⌫----|
Prenentcongie talcorssaintA lexis	------|------⌫|-|---|----|-⌫----|
Esilipreientqued el saietmercit	|-|-|------|--||--⌫|---|-----|
Alson sein oril lor seitbonsplaidiz .	-|--|----⌫-|-|--|---|---|-------⌫|
Pa geu01P169	--⌫--------|
uaitsen lipople s.Eli	---||-|-|-----⌫-||-|
Elapulc ele	|-|----⌫--|
onquesnedeseurerent	-----|-|----------|
Ensemblefurentius qu aDeusenr a lerent.	-------|-----|---⌫-||--||-|-⌫-⌫------|
L o rcom painie futboneethon orede	-⌫-⌫|---⌫-----|--|---|-|---⌫----|
Pa rcel sainthomesontlor	--⌫|--|----|---|---|--|
anem essalu edes.	----⌫-|----⌫----|
Sai nzAlex isest	---⌫-|----⌫-|--|
el c ielsenz dotan ce	-|-⌫--|---|-----⌫-|
Ense mbleod Deuen	----⌫---|-|--|-|
lacom p ai gneasange le s	-|---⌫-⌫--⌫--|-|----⌫--⌫|
pulcel edon t sefi st si estranges	------⌫|---⌫|-|--⌫-|-|--------|
Orladod sei ens embleson tlor anem es	-||-|-|--|---⌫----|---⌫|--|----⌫-|
Ne uossaidirec omlo r	-|--|--|---|-⌫-|--⌫|
lediceestgran de.	-----|--|----⌫--|
Combonep ei neDeus	--|---|-⌫--⌫-|---|
esibonseruise	|-|--|------|
Fist celsaint	---|--|----|
homencestemo rtel	--|-|----|--⌫---|
Queror ests a nem e de gloriereplen i de	---|-|--||-⌫---⌫|-|-----|------⌫-⌫-|
C ̧oat quesuoltn enestnienta	-⌫-|-|--||---||-|--|----||
Ensorque tote si ueit	--------⌫--||-|---|
Deu medisme.	--|-------|
Lasmalfedut	--|-------|
c omesmes encombret	-⌫-|----|--------|
ue dons quet oi tsomesdesuet	--⌫---|--|-⌫--⌫|----|-----|
De nos p echiezsomessiauoglet	-|--|-⌫-----|----|-|------|
Ladre it euideno sfont tresoblider	-|---⌫--⌫|---|--⌫|---|----------|
Parcestsaintho medo u sson sralumer.	--|---|----|--⌫-|--⌫-⌫----⌫|-------|
Aionsse inors	----|--⌫----|
cel saintho meen memorie	--|----|--⌫-|-|------|
Si lipr e ions quedetozmaisno stolget	-|-|--⌫-⌫---|--|-|--|---|--⌫|-----|
Pageu01P1 70	---------⌫-|
Enicestsi ecl e nos	-|----|--⌫---⌫|--|
achatpaise	----|---||
Et enc e lalt rela	-|-|-⌫-⌫|---⌫-|-|
plusdurableglo rie	---|------|---⌫--|
En ipseue rbe. Sin	-|---|--⌫---|-||
dimesPaternoster.	----|----|------|
