B oinecanc honplairoituous	-⌫---|----⌫--|-------|---|
coiementetseri	-------|-|---|
S ainteMariecon gra nthermite a	-⌫----|----|--|---⌫-|------||
ci Ainc si	-|---|-|
granshom hermitesne	----|--|-------|-|
deuint.Tant leredoute ntnel	------|---|-|-------⌫-|-||
osentdesm enti rAi nsliotr oient	----|----⌫----⌫|--⌫-|-|---⌫----|
e tse sfaisetses disS ili	-⌫|--⌫|---|-|--|--|-⌫|-|
äi de ntsonostel	---⌫--⌫-|--|----|
tantq uilfu est ablis .	---|-⌫|-|-|---⌫-----⌫|
Le iourl eseruenttant qu il	-|---|-⌫|------|---|-|-|
fu auespri	-|------|
Lanu itreuont	-|--⌫-|-----|
alorui lesgesir.Quant liq uen s	|--|--⌫--|-----|----|-|-⌫---⌫|
otsonuoloir	-|--|-----|
acompliPour l	------|---||
amorDieu sest	---|---||--|
m isengrant	-⌫-|-|----|
esci l Bien iq uida	----⌫|---||-⌫---|
estreiuscal afin. Gr anttan s ifusi	----|---||-⌫|---|--⌫--|---⌫||-|-|
c omlestoireditPar	-⌫-||------|--|--|
grantbesoing	----|------|
lenc onuint puisi ssir	|-|-⌫-----|---|-⌫---|
Et le con uintarmeret	-|-|---⌫---|----|-|
fe ruestirEtmout gr anspainesend ure ret sofrirEt fai n	--⌫------|-|---|--⌫--|-----|---⌫---⌫|-|-----|-|---⌫|
e tes tors maintenir.Enl e rmi ta g e	-⌫|--⌫---|---------|-||-⌫---⌫--⌫-⌫|
quida liquen s garirOuil	----|-|----⌫|----|-|-|
auoitissigranspain esmis.	----|---|----|----⌫-|---|
Bieniauoitliquenspa ré	---||----|-|----|--⌫--|
son lit D erbe	--|--||---|
e tdemaietdefuelle	-⌫|-|--|-|-|-----|
etdorpin Etdeuïand esest	-||----|-|-|------⌫||--|
liquens bienporquisDete l	-|----|---|------|-|--⌫|
uïandecon	------||-|
par bospuet coillirP u mes	--|--|---|------|-⌫-⌫--|
et poires auoitentourlu i	-|-----|----|-----|--⌫|
misGla nset	--|---⌫-|-|
fäinespou r son	------|---⌫|--|
cor ssostenir. La q ui dabien	---⌫|--------|-|-⌫--⌫-|---|
longem ent Di eu se ruirEtestreen	------⌫--|--⌫-|--⌫---|-|----|-|
paissans noiseetsansestri	---|---|----|-|---|----|
Mais forslen traisent	---|---||-|-------|
paienetSarr asi n.Rois Synagonsq uitant	----|-|----⌫---⌫-|---|-------|-⌫-|---|
estpöestisEt Mata ma rsliforsroisde	--|-------|-|----⌫--⌫-|-|---|---|-|
LuitisAiglinsdeNap les	-----|------|-|---⌫--|
I o süésetCäin s F iren tGuillau me	-⌫-⌫-----|-|-----⌫|-⌫----⌫|-------⌫-|
del hermitageissir Dedens	-||--------|----|-----|
Paler nela ouil	-----⌫-|-|-|-|
fum ainsdisIunerlef irentetmout	-|-⌫---|--|----|-|-⌫----|-|---|
soufr irPo rl	-----⌫-|--⌫||
amorDieuquilne	---|---|-|-|-|
uolt r elenquirSicon	---|-⌫-------|-|--|
lacan ch o nöir.O r u ouslaironsdeGuilla um eun	-|---⌫--⌫-⌫|----|-⌫|-⌫--|------|-|------⌫--⌫|-|
po ic hi A poide	--⌫|-⌫-||--|-|
o rré s reueni r	-⌫----⌫|------⌫|
d irai d es felon s Sarrasins De	-⌫---|-⌫-|-----⌫|--------|-|
Syna gonqueDieuspuis tmal ëir.	----⌫--|--|----|----⌫|---⌫----|
U niour es t oitaPale rnesacit	-⌫|---|--⌫-⌫--||----⌫--|-|--|
E ntorl ui otuintmile	-⌫---|-⌫-|-|---|---|
Sarrasins.	---------|
paro lentet	----⌫---|-|
dïent lo rauis Desgrande sg uerrese tdes	-----|--⌫|---|--|------⌫|-⌫-----|-⌫|--|
mortels es trisQuesoloit f air eKarles	------|--⌫---|--|-----|-⌫---⌫|-----|
li filsPepin	-|---|----|
Etenaprès	-|-|-----|
liforsroisLöëysEt li lignages l epreu conte	-|---|---|------|-|-|-------|-⌫|---|----|
Ayme ri C hilde	----⌫-|-⌫--|-|
Nerbone caincpaien necremiEtdansGuil lau mes	------||---|----|-|----|-|---|----⌫---⌫--|
aucort nésli	-|---|---|-|
marchisQuitantfi st	------|--|---|--⌫-|
mal Tibaut lAmoraui Et sa mollierparforce	--|-----||------|-|-|------|--|----|
litol i De ce s	-|---⌫|-|--⌫|
g ra nsguer reses ttou t u enuafin N	-⌫--⌫-|----⌫--|--⌫|---⌫|-⌫--||--||
maisn ulePe r santneA rrabi	---|-⌫--|--⌫-⌫---|-|-⌫----|
Franc nen fontnulesicommoi	----||-|---|---|-|--|--|
a uis.C ommentest- ce Synagonsresp ondi.Ennon Die u	-⌫---|-⌫-----|----⌫-|-------|----⌫----|-|--|---⌫|
quemors estAyme ris He rn aus	--|---|--|----⌫--|--⌫--⌫--|
sesfieus etBernarslig en tis	--|----|-|------|-|-⌫--⌫--|
liber Äyme rsli caitis	-|--|-----⌫-|-|-----|
Guibers li	------|-|
menres d Ans ëune Garin s	-----||---⌫----|-----⌫|
sontalé etlipereetlifilS ourto us	---|---|-|-|---|-|-|--|-⌫--|--⌫-|
lesautres Guilla umesli	--|-----|------⌫---|-|
marci s Quitantamors	-----⌫|--|---||---|
paiens etSarras ins.Mien	-----|-|------⌫---|---|
ent ïentbi enena	---⌫----|--⌫-|-||
mor tcent mi l Tout c il	---⌫|---|--⌫|---|-⌫-|
de Francenenontpas tant ochis.	-|-----||-|--|--|---|-----|
Toutnolig na ge a i l	---|-|---⌫--⌫-||-⌫|
mo rtet honiTibautdestruitetDesramé o chi s	--⌫-|-|---|-----|-------|-|-------|-⌫---⌫|
Ainccrestïenst antdehontenefist. Et	---|---------|-⌫--|-|----|-|----|-|
o uestil Synagons	-⌫|--|-|-------|
respondi .Sirefont-ilnesauons	--------⌫|---|------|-|-----|
qued eu int .S il estoit	--|-⌫--⌫---⌫||-|-----|
morspa r nodieuApolinEnc or	---|--⌫|-|---|-----|---⌫-|
poriemestout eFrancetolirBie n	-------|----⌫|-----|----|---⌫|
p orriemesieter roiLöe ̈ yUnspa iens lot qui o t	-⌫-------|----|--|----⌫-⌫|--|--⌫---||-|--|-⌫|
non Ma cabrins	--|--⌫------|
L e barbeo tlongeetlegrenonfloriIla uoit	-⌫|----|-⌫|----|-|-|-----|----|-|-⌫---|
biencentan s passé	---|---|--⌫|-----|
Detouslangageses toit i lbien apri sBien conis s o it	-|---|-------|--⌫---|-⌫|---|----⌫|---|-----⌫-⌫-⌫-|
les filsAymeri.Enhautparolebien	--|---|------|-|---|-----|---|
fudetousö isPar	-|-|---|--⌫-|--|
toutest es	---|---⌫-|
esc arniSyna gon	---⌫---|----⌫--|
sireentende ́senu ersmiCilpaienont	---|-------⌫-|---⌫--|-|--|----|--|
Guill aume tostf eni	-----⌫---|---|-⌫--|
Maisil n enseuentuaillantunparesiEncor	---|-||-|-----|-------|-|-----|----|
fer aSa rrasinstousmar is .	---⌫|--⌫------|---|---⌫--⌫|
DistMa cabrinsEntendésma pensee S ynag on sire i a ne	---|--⌫------|--------|-|-----|-⌫----⌫-|---|-⌫|-|
ce l eeCilSar rasinonttostgrant gent tüee	--⌫-⌫-|--|---⌫----|--|---|----|---|----|
Mort ontGuill aumea	---|--|-----⌫---||
le cieremenbr eePar lor	-|----|-----⌫-|--|--|
parolescar ensi	------|--|---|
lora gr ee.Maisp arle	--|-⌫--⌫--|---|-⌫-|-|
foi que doilame m onpe reN	--|--|--||--|-⌫-|--⌫-||
estmiemorsuerités	--|--|---|-------|
est prouee	--|-----|
Ainsesttousuisenun e	---|--|---|--|-|--⌫|
setansqueilne	--|--|--|-|-|
Ques éstu ua	--|-⌫--|-|-|
di st Synagonsbiaus frere .Iou	--⌫-|-------|----|-----⌫|--|
lesaibi enc es tueritésproueeMon	-|--|--⌫-||--⌫|-------|-----|--|
so rt ge tail autrieral	--⌫-|--⌫--||------|||
aiornee Telco s eiui qu imi e nem	------|--|--⌫-⌫||-|--⌫|--⌫|-||
agr ee Do nt centmilTurc	---⌫-|--⌫-|---|--|---|
a urontl ameseureeSen	-⌫----||--|-----||-|
perdero nstoute	-------⌫-|----|
nostr eco nt ree.	-----⌫|--⌫--⌫---|
pourGuillaumeertnoterregasteeEtreceuronsp ou rl ui	---|--------|--|-|----|-----|-|--------|-⌫--⌫|-⌫-|
solde eT out enmorronsautrencantde	-----⌫|-⌫--|-|------|-|-------|-|
Iou en aurail ame	--|-|----||--|
del co rs seuree.Lipa ien	--|--⌫-|------|-|--⌫--|
löentmaintena nt	|----|--------⌫-|
s escrïer ent	|--------⌫--|
S ynagonsirecisa noloifau seeMaisf aile	-⌫-----|---|--||-|--|---⌫--|---|-⌫-|-|
prend re sansnule demore eMet leen p risonent a	-----⌫-|---|---|------⌫|--|-|-|-⌫----|-|-⌫|
quarr eeGeteton sorts ifa i l	-----⌫-|---|--|---|-⌫|--⌫||
oeure p ro uee	----|-⌫--⌫--|
Silte di stuoir	|-|-|--⌫-|---|
sa uie ertre s pitee Ets i l	-|--|--|--⌫-⌫----|-||-⌫|
tements aitla testecaupee.	-|---||--|-|----|------|
Quantcill entent s ala	----|--||-----|||-|
teste crollee. A	----|-------||
hau teuoi slor	---⌫-|---⌫|--|
r aiso nmenbree .Signordist	-⌫----⌫|-------⌫|-----|---|
il icesteoeu re	-|-----|---⌫-|
magreeui s	|----|--⌫|
estGu il lau mesn	--|--⌫--⌫---⌫--||
celee. Maisoruous di parma	-----|---|-|---|-|--|-|
melleeKil esthermites en une	-----||-|--|-------|-|--|
forestle eDedens Prouencecel e	-----|--⌫|-----|-------|---⌫|
es trange contree.	--⌫-----|-------|
Dist SynagonsTuasf olep enseePa r	---|-------|-|-|-⌫--|-⌫----|--⌫|
Mahomet quifistciele trouseeQuerrel	------|--|---|---|-⌫|-----|-----||
irai o dma genttoute	---|-⌫|-|---|----|
armee Se io unel	----|-|--⌫|--|
truisuostreuie ertfi ne e.	----|-----|--|--|--⌫--⌫-|
D istMacabrins	-⌫--|--------|
destineeSy nagons	-------|--⌫-----|
a samaisnie mande eLes	|-|------|-----⌫|--|
sages clersde	----|----|-|
celeloidampnee .	---|--|-------⌫|
En unetorqu	-|--|--|-|
est d emarbrepl aneeMonteliroisquantlalune	--|-⌫|-----|--⌫---|----|-|---|----|-|---|
leuee Et Matamars	----|-|-------|
Àiquinsde Gri molee	-------|-|---⌫----|
FabursdeNaplesRagon sde	-----|-|-----|-----⌫|-|
ualf ond ee.Li	----⌫---⌫--|-|
s agecle rc ontl	-⌫--|---⌫-|--||
oe ure conpasseeDes sorsgeterdont	--⌫--|--------|--|---|----|---|
li oeure ertprouee.Par nigromanceont l o r	-|----|--|------|--|---------|--|-⌫-⌫|
oeu reatenpree Lors ort	---⌫-|-------|--|-⌫--|
geterentsansnu le	-------|---|--⌫-|
dem oreeIaertlioeurede uan t austous gardee	---⌫---|-|--|-|----|--⌫---⌫|--|---|-----|
prouanceque c illoro t contee.	-------|--|-⌫-|--|-⌫|------|
enpe nsequi	-|--⌫--|--|
mainteameasauueeLa	-----|--||-----|-|
mo rs Guillaum e seraa nquiiuree.Or uient	--⌫-|--------⌫|---|-⌫---|-----|-|----|
canch o nsdebi en enl umineeTelenefupar iougleo r	-----⌫-⌫-|-|--⌫-|---⌫-----|---|-|-|--|-------⌫|
canteeSi com	-----|-|--|
p aienla putegent desueeQuisent Guill aume	-⌫---|-|---|---|-----|------|-----⌫---|
parpuisetpar	--|---|-|--|
Parmi Prouenc hequita nt e stgrandeetl ee.	----|-------⌫-|--|--⌫-|-⌫-|-----|-|-⌫--|
Synagons es tenlatourdePalerne Auoe clu isont	-------|--⌫|-|-|---|-|------|----⌫|--⌫|---|
ges te.La nuisestcoie etlal unelu istbele	---⌫--|-|---|--|---|-|-|-⌫--|--⌫--|---|
Getent lorso rt parmi	-----|--|--⌫-|----|
unef enestre Unriche	--|-⌫------|-|----|
paileli ma istre	----|-|--⌫----|
clersigete. Desr ontli	----||----|----⌫--|-|
pailese t d escire etdeserreEn quatre parsdesr ontet	-----|-⌫|-⌫-----|-|------|-|-----|---|----⌫--|-|
es cantele	--⌫------|
Lestr oisparti es encäirentat ereLa quartepart	--|--⌫--|-----⌫-|-|-------||-⌫--|-|-----|---|
setientcomme	-|----|----|
arondeleEna irs e tient n eciet	-------|-|-⌫-|-⌫|----|-⌫|---|
nenecance le.Liclerc le	-|-|-----⌫--|-|----|-|
uo ient apoidiren ederuen t	--⌫---||--||--|-⌫|------⌫|
Cascuns tenoit	------|-----|
maisselePleurentet	-------|-------|-|
crïentet fontdur em oles te. DistSynagons	------|-|---|---⌫|-⌫----⌫--|---|-------|
Queauéssign or	--|----|----⌫-|
mestreQuedist l i sorsDit e slemoi caele	-----|--|---|-⌫|---|---⌫-⌫|-|--|----|
S irefont il	-⌫--|---|-|
grantdoloretgra ntp erteNousuou s	----|----|-|---⌫-|-⌫---|---|---⌫|
dirons ch ou	-----|--⌫-|
queile npuet estre Encoreestuis	--|-|-⌫|---|----|-----|--|--|
uoireme nt dans	-------⌫-|---|
Guillel mes	-------⌫--|
DedensP rouenc ece le	-----|-⌫------⌫|--⌫-|
ter redeserte.	---⌫-|-------|
hermitesd edensunecapel e	-------|-⌫----|--|-----⌫|
Enun de sreubequiest granset	-|-|--⌫-----|--|--|----|-|
rubes tesLaditGuillaumesetmatine set uespres.	-----⌫--|-|--|---------|-|------⌫|-|-------|
Parluiaron set	--|--|----⌫|-|
gran t doe l etgr ant	----⌫|---⌫|-|--⌫--|
perteMoutplusd ous	----|---|---|-⌫--|
sirequenen	---|--||-|
ancest reCe nt	------⌫-|--⌫-|
mi le Turc en perder ont	--⌫-|---|-|------⌫--|
lestestes.	--|------|
ueésc elpaileq ui	----|-⌫-|----|-⌫-|
en celair arres te	-|--|--|-----⌫-|
P ard euer s Franceatorn eesadestreCe	-⌫-|-⌫----⌫|-----||----⌫-|-|-----|-|
senefiequeFranchoissereuelentEtquiluenront	------|--|--------|-|-------|-|-|-|------|
a forc esour	|----⌫|---|
PalernePr en d eront uos parforceetpa rpöeste	------|--⌫--⌫-⌫----|--|--|----|-|--⌫|------|
Siuousf e ront	-|---|-⌫-⌫---|
dolereusefin traire. Etcestroisparsquici	--------|--|------|-|--|----|---|--|-|
gisent aterre Ce	-----||----|-|
senefieuo honte et uopouerteQ ue	------|-|----|-|-|------|-⌫-|
ia uersFransneporronsten ir	-|---|----|-|------|---⌫-|
te rre.Synagonslot apo idirenederue	--⌫---|-------||-||--⌫||--|-|----|
Parmautalenta	--|--------||
crolleela teste	------|-|----|
Lemai strefa ittre buchier iusdesestre s Li	-|---⌫---|--⌫-|---⌫------|--|--|-----⌫|-|
colslibris esenespant la	---|-|----⌫||-|-----|-|
ceru ele.Dist Syn agonsOrauésuo	----⌫---|---|---⌫----|-|----|-|
m arciét au ésre chutles e rresFi lapu ta in	-⌫------|--⌫--|--⌫---|--|-⌫---|--⌫||--⌫--⌫-|
maluaisegent	-------|---|
auerseTrestousuos sors nepris unece nele	-----|-------|--|---|-|---|--|--⌫---|
Orpasseraietles	-|-------|-|--|
p uise tlestertres Iamais mes cors	-⌫--|-⌫|--|------|-|---|--|---|
n au ra r eposnecesseIusc	|--⌫-|-⌫---|-|----|---|
auraiprisp arforce	----|---|-⌫-|----|
dant Guillelme.Nel g arira ne m oust iersne	---|---------|--|-⌫----|-|-⌫----⌫---|-|
capele Quenel efa ce esc orchiercomebeste.	-----|--|-|-⌫|--⌫-|---⌫------|---|-----|
P uis mouera ienuers	-⌫--|------⌫|-----|
Francetelgu erreDont	-----|--|--⌫---|---|
il morrontcentm ileFran c a	-|------|---|-⌫--|----⌫||
helmesAS aint	-----||-⌫---|
Deni scoroneraimateste.Rois Synagons alabarbe	----⌫|--------|-|-----|---|-------||-|----|
gr iffa igne	--⌫----⌫---|
M a ndesagentses	-⌫-⌫--|-|---|--|
pr incessesc ataignes Et ili	--⌫----|--|-⌫-------|-|-||
uienen t s ansnule	------⌫|-⌫--|---|
demora igne.Sig nour di st	------⌫----|---⌫---|--⌫-|
i lgarde ́s moi bie nmon regn eIo u	-⌫|-----⌫-|--|---⌫|--|----⌫|--⌫|
mouerail ematine tbie n tempre AdismilTurs	------|-⌫|------⌫|---⌫|-----||--|--|---|
uol rai cerquier	---⌫--|-------|
P rouenceEt le s	-⌫------|-|--⌫|
uale eslespu isetles	----⌫-|--|--⌫-|-|--|
montaignes.	----------|
Ne fi nerai	-|--⌫----|
par ter tre ne par plaigne S	--|---⌫--|-|--|------||
auraitrouédan tG uillaume	----|-----|---⌫|-⌫-------|
dOren geSi l	|----⌫-|-||
Palerne l age nte	------|-⌫|--⌫--|
Sile metraien ma	-|-|-----|-|-|
cartrepullente Lali f erai soufrirmou tgrantt ormente	-----|-------|-|-|-⌫---|------|---⌫|----|-⌫------|
ertio u rs	--|--⌫-⌫-|
quede rien medesme nte. Puiseni ronspar ui u e	--|-|---|-|-----⌫---|---|-|-⌫---|--|--⌫-⌫|
Fr anceSii menraicentmile	--⌫---|-||-----|---|---|
Tursens ambleEtpren deronsOrlien s	---|---⌫----|-|----⌫-----|------⌫|
Blo isetEstampesP ari set	---⌫-|-|-------|-⌫---⌫|-|
Troies etLoonetSes anePar	-----|-|---|-|---⌫--|--|
uer men do is	---⌫---⌫--⌫-|
ironsdesien FlandresToutprenderaienf resc i etHo l lan d ePuis	----|---|-|-------|---|--------|---⌫----⌫|-|--⌫-⌫---⌫-⌫|---|
ereaAiscoronéssansfaillance.Dïen t	--||--|-------|---|---------|-----⌫|
si homeSy nagono ren	-|---|--⌫----|-⌫|-|
penseSetufais cece	----|-|-|---|-|-|
ertmoltgr an tuaill ance.RoisS ynagons	--|---|--⌫--⌫|-----⌫----|---|-⌫------|
nes e uolt plu satendre	-|-⌫|---|---⌫|------|
Adis milTur squeDieusdoinst maleententeS	|--|--|---⌫|--|----|-----|---|------||
es mutl irois	--⌫--|-⌫|---|
uaituers Prouence.SeDamedi eusliuraissiren	---|---|--------|-|------⌫--|-|----|---||
P r is ertGuillaumesetmis en	-⌫-⌫-|--|---------|-|--|-|
grant torme nte.	----|-----⌫---|
R oisSynagonsn ese	-⌫--|-------|-⌫|-|
demeur emie	------⌫|--|
Droit uersProuenceasauo iea cuel lieOdlui	----|---|-------||-|--⌫-|-⌫----⌫--|-|--|
deSarra sin sdis mile.	-|-----⌫---⌫|--|----|
Roi sMa tamarserten s a	---⌫|--⌫-----|--|-|-⌫|
c ompaignieCäinsde	-⌫--------|-----|-|
NaplesetCorsaus de NubieRois	-----|-|------|-|----|---|
Cosdro ̈e ́sAiqu i nsdeTabarieEt	------⌫--⌫-|----⌫-⌫-|-|------|-|
Macabrinsa l abarbe	--------||-⌫|----|
flo rie Qu i	---⌫--|--⌫|
lesnoueles de	--|------|-|
Guillelmeotdites.	--------|-|-----|
D eloriourneesnesaipasconte	-⌫|--|-------|-|--|--|----|
direDro it enProuenceont lor	---|---⌫-|-|-------|--|--|
uoie acuellie.L ateren ertdesi grantgent	---|--------|-⌫|---||--|-|-|----|---|
garn ie Co mmeele est	----⌫-|--⌫--|--|--|
oresidrue nesi	--|-|---|-|-|
richeEnquinselieuesn	----|-|-----|-----||
auoitpasqua tre	----|--|---⌫--|
u iles. Tantceualchierentcelegentpai enieParbos partert res	-⌫----|---|------------|---|---|---⌫---|--|--|--|----⌫--|
parplainsparpraeries Passent tant mon tet	--|-----|--|-------|------|---|---⌫|-|
tanteroce bis e	----|---|---⌫|
CerkentProuence	------|-------|
lebosetl e gaudine	-|--|-|-⌫|------|
P rèsdeToulousecostoient	-⌫---|-|-------|--------|
et ceminent	-|-------|
Puis pas sent out reuersMonpellierse n	---|---⌫---|---⌫-|---|---------||-⌫|
issent Tant	-----|---|
ont cer kié	--|---⌫---|
l aputegent häie QuedeGuillaumeont	-⌫|---|---|----|--|-|--------|--|
la noueleöie	-|-----|---|
Qui seruoitDieu	--|------|---|
enlaroce näie. Tantontalé la gentqu e	-|-|---|-----|---|--|---|-|---|--⌫|
maldieQ uea uniour ont	-----|-⌫-||-|---|--|
c oisieOuliquens	-⌫----|-|-|----|
ertqueIhesus	--|--|-----|
D istMacabrinsSyn agons biax	-⌫--|--------|---⌫----|---|
Orpuésueoirceque t u	-|----|----|-|--|-⌫|
tantdesir es La maint G uillaumesala	---|-----⌫-|-|----|-⌫--------||-|
ciere hard ie. S ils	----|----⌫--||-||
a perch o itne leprenderonsmi eCartrop	-⌫-----⌫-⌫-|-|-|---------|--⌫|--|---|
estfeletdemais e	--|--|-|-|----⌫|
boisdieF ors ethard is	------|-⌫--|-|----⌫-|
necrient homequ iuiueNonquesnama	-|-----|---|--⌫|---||-----||--|
nostreg entsa rra sine Qua nt	-----|-⌫--|--⌫---⌫---|---⌫-|
iliuienentsen	-||------||-|
faitgra nt	---|---⌫-|
descipline.Silnosueoitpar mabarbef lorieE t	----------||-|--|----|--|-|----|-⌫----|-⌫|
ilteno it une	-|----⌫-|--|
perchecaisnine	-----|-------|
T ous nous aroitochis ain sl acon plie.Maisfaites	-⌫--|---|----|----|---⌫|-⌫|---⌫----|---|-----|
s i r e se u reruo baronie Encest	-⌫-⌫-⌫|--⌫-⌫--|-|------|-|---|
ra mi e renait	--⌫--⌫-⌫|-|--|
unepartieLi	--|-----|-|
iront comenc hierlenuäieCar s ans es tournelp renderés uous	----|------⌫---||------|--|-⌫--|--⌫---|--|-⌫--------|---|
EtSynagonsle faita	-|-------|-|---||
sadeuise.Pai ens acesment	-|------|---⌫-||-------|
garnissentEnu ers larocheenuont	---------|---⌫--|-|----|-|---|
par aatie E tM acabrinsdeuan t	--|----|-⌫|-⌫-------|-----⌫|
l esmaineetgu i e Puientle	-⌫-|----|-|--⌫-⌫|-----|-|
tertresou rla	-----|---⌫|-|
roch es e mise nt.	----⌫|-⌫|----⌫--|
Liqu ensGuillaumesau o itses uespresdites Or	-|--⌫--|---------|--⌫-⌫-|--|------|----|-|
le consaut	-|------|
sainteMarie. Quant Sa rrasinont puiéleroc hi er	-----|-----|----|--⌫-----|--|----|-|---⌫--⌫-|
G ui ll aum es estissusde lmousti er Parsoncourtilsen	-⌫--⌫--⌫---⌫-|--|----|--⌫|------⌫-|--|--|------||-|
es banoi er.Ensamain	--⌫-----⌫--|-|-|---|
tintunl e uierdequarti er	---|-|-⌫-⌫---|-|------⌫-|
Forsertetgran s	---|--|-|----⌫|
par deuantagu isi ésPar son courtilenremouoit ler bi er.	--|-----|---⌫---⌫--|--|--|------|-|-------||--⌫--⌫--|
gentie usquens	------⌫-|----|
en a leue ́ sonciefEt	-||----⌫|--|---|-|
uoitpaiens	---|-----|
uenirso urle	----|--⌫-|-|
rochi er Dieus dis tliqu ensuraisglorï eusdelcie lQuel	-----⌫-|----|---⌫|-|--⌫--|----|------⌫--|--|---⌫|---|
gentson tc e	---|---⌫|-⌫|
aprochier Io u dout ce	--------|--⌫|---|-|
soientSarrasin	-----|-------|
r e noié t	-⌫-⌫-----⌫|
Quieldese rt montentci	--|-|----⌫-|------|-|
espii er. S ai nteMa rierö ine	-----⌫--|-⌫--⌫--|--⌫--|---⌫--|
aidiés Hé douce FranceDieus te puist efforcierLö e ̈ys s ire	------|--|----|-----|----|-|----|--------|---⌫-⌫--|-⌫--|
puistconseillier Ia maisnul iour	----|----------|-|---|--|---|
ne uousaura imes tier	-|---|----⌫|---⌫---|
Carchiserai ochispargrantpe ci ét. M ais	--|--|----|----|--|----|--⌫--⌫---|-⌫--|
doitiugierAins	---|-----|---|
qui lmocïent lor quituendre mou t	-|-⌫||------|--|---|-----|---⌫|
Lorsbatsacoup esi asai gniésoncie fA	---|--|-|----⌫|-||---⌫----|--|---⌫||
sesde usmains al euéson	--|--⌫-|----||-⌫---|--|
leuier Lessorcieusl ie ues	-----|--|-------|-⌫--⌫-||
ales ieus ro ̈elli ésS on caperona	|--|---|--⌫-----⌫--|-⌫-|------||
ostédeson cief. Paie nleuoien t sil o nt	----|-|--|----|----⌫|-|-----⌫|-||-⌫-|
moutresoigniétMais	---|----------|---|
Macabrinsl a pr emiersaraisniét Guillaumessirefaites pais	--------|||--⌫-----|---------|---------|---|-----|---|
simoiésRendés uous pris combatre niuaut	-||----|------|---|---|-------|||---|
rien.Etd ist	----|-|-⌫--|
Guillaumesuassalo ruoustaissi ésIl	---------|-----|-⌫|---|------⌫--|-|
nestpassi c ertes	|--|--|-|-⌫----|
con uous quid ie ́s.Po u reshoms sui	--|---|----⌫--⌫--|--⌫-⌫--|---|--|
sisuicih erbergiésM outbi en	-|--|-|-⌫---------|-⌫--|--⌫-|
fe résse en	--⌫---|-|-|
pais mel ais siésPouramo rDieu uous prietuoel	---|-|-⌫---⌫----|---|---⌫|---|---|--|-|---|
DistMacabrinsGuillaumes au uisfieruousaués	---|--------|---------|-|--|---|---|----|
bienaprisa	---|----||
pr eechier.Nostr e	--⌫-------|-----⌫|
lignageauésmoutenpiriét LeroiTib a utt olistes	------|----|---|--------|-|--|---⌫-⌫-|-⌫------|
sa moullierEtse s enfansfëistesdetrenchier	-|-------|-|--⌫|-----|-------|----------|
EtDesramé etle roi	-|-------|-|-|--|
Aucebi erIa	------⌫-|-|
h ermitag es net aueram estier. Fere ́ spaien d ist	-⌫-------⌫-|-||----|-⌫------|----⌫-⌫|----|-⌫--|
i l neuous targiésPai en liuienentet deuant	-⌫|-|---|-------|---⌫-|-|------|-|-----|
etderrier Li	-|------|-|
quens Guil laum ess etraistuerssonmoustierQu	----|----⌫----⌫-|-⌫|-----|---|--|-------|-|
uoldra uers	-----|---|
calengier.Ahau tesuoi s	---------||---⌫--|---⌫|
huchesaintGratiienGentieus	----|----|-------|-------|
corssainsca rmeuenés	---|----|--⌫|-|-----|
aidierPaienli lan cent gaueloset	-----|----|-|---⌫---|------|-|
e spie lsLiq uens	-⌫----⌫-|-|-⌫---|
leuoitsien	-|---|-|-|
fuesmaié sFiert Mac abrin	-|-------⌫|----|---⌫----|
encontrapremier Tel li	-------|------|--|-|
dounasourson	----|---|--|
elmedaci e r	---||---⌫-⌫|
frois saetluietsondest rier Unautre	-----⌫-|-|--|-|--|----⌫---|-|----|
abatetpuisocist	---|-|---|----|
Le quartesfondre lequint a mehaigniétEtles is isme	-|----|-------|-|----||----------|-|-|-⌫--⌫---|
trestoutesmiiét. Tant	-------|--------|---|
sestliqu en senu er s paiens aidiésQuinse	|--|-|--⌫--⌫|---⌫--⌫|-----|------|-----|
e namorset do use siplaiésQue ia	-⌫||---|-|--⌫--|-|------|--|-|
maisp ains	---|-⌫---|
au ra mestier.	--⌫-|-------|
uoients iensontesmaiét Distl unsal	-----|-⌫|-|---|-------|---||--|||
autre uois	----|---|
auersie rCo nden ogentest crüeus	-------⌫|--⌫|-|-⌫|---|--|------|
mac hecliers P oi nousama	---⌫-------|-⌫-|---|--|
quichi nous fist puier.Mahometsireet	--|--|---|---|-----|------|---|-|
car nousen uen giés	--|---|-|---⌫----|
Lorsacueillirent le	---|-----------|-|
marchisauuisfier Enqui ns el ieus l	------|-|--|---|-|---⌫--⌫|-⌫---||
nauréetpla iét Lisansuermausli glacepar	-----|-|---⌫---|-|---|------|-|----|--|
les pi és.	--|--⌫---|
dist li quensorsui	---|-|----|-|--|
amort iugiésMaisp arlefoi que doi	|---|------|---|-⌫-|-|--|--|--|
Gratiien Ai ns	-------|--⌫-|
queioumuir emequit uendres ich ierIames	--|--|----⌫|-|---|-----|-⌫|--⌫--|-|--|
lig nagesni	---⌫----|||
aura reprouier Ne me tenront pour	---|--------|-|-|------|---|
moinereno ié t.	----|----⌫---⌫-|
A Dieu metiengiousuisescheualiersTa nt	|---|-|----|--|--|--|---------|--⌫-|
conuiurainauro nt	--|-----||----⌫-|
