roisartusdebretaigne	---|----|-|--------|
ma isnatoca ladeu	--⌫-||----|-|--|
mo ns ignory u ain	--⌫|-⌫----|-⌫-⌫--|
forsque tant	------|---|
qu apresd el	-||---|-⌫-|
si queyylesesperons	-|--|-|--|-------|
de stal ons	--⌫|---⌫--|
caimout esmaie ́s	--|---|------⌫-|
et cil qui	-|--|--|
ert a mort plaiés	--||---|------|
liescapae n t elmani ere	-|-----|-⌫|-⌫-|----⌫--|
une autelpo rteauoit deriere	--|----|--⌫--|----|------|
co m ecele deuantestoit	--⌫-⌫|---|-----|-----|
licheualierquis an al o it	-|--------|--||-|--⌫-⌫-|
p arm i cele porte	-⌫---⌫|---|----|
et laporteapr es luicai	-|-|----|---⌫-|--|--|
e ns i fu mes sireyua inspris	-⌫--⌫|-|--|---|---⌫--|---|
moutangois sose te ntre p ris	---|------⌫--|-⌫|-⌫----⌫-⌫--|
r e mestdedens lasale enclos	-⌫-⌫---|-----|-|---|-----|
qui toteestoitceleea	--|---|-----|----||
d o résetpaintes	-⌫-⌫---|-|------|
lesmaisieres	--|--------|
oeuuredeco lor aa	-----|-|--⌫--|-|
m aisderiensi grantdol n auoit	-⌫--|-|---|-|----|--||----|
c ommed ec equ ilnesauoit	-⌫---|-⌫|-⌫|-|-|-|-----|
q u elpartcil	-⌫-⌫-|---|--|
en estoitalés	-|-----|----|
dunecambreiloques dal es	|--|-----|------|---⌫-|
oiolu rirzz huis estr oit	-|---⌫--|-|---|----⌫--|
quequeilert	-----|-|--|
encel destroit	-|--|-------|
i ssiunedamoisele	-⌫--|--|--------|
so lem outau enan s etbele	--⌫-|-⌫--|--⌫----⌫|-|---|
etl uisapre s l uireferma	-||--|----⌫|-⌫-|------|
qan tmonsig noryuaintroua	---⌫|--|---⌫--|----|----|
silesmaiamout ap ri miers	-||-----|---||-⌫--⌫----|
certesf aitele cheualiers	-----|-⌫--|--|---------|
i ocroiqu e malsoiésuenus	-⌫|---|--⌫|--|-----|----|
seuouses tes caian s	-|---|--⌫--|-----⌫|
uous ise roi s	---||--⌫---⌫|
tousde peciés	---|--⌫------|
carmes sireest a mort	--|--|---|--||---|
etbien sa i que uous	-|---|--⌫|--|---|
madameenfai t zzdo lsi fort	-|---|-|---⌫|-|--⌫|-|---|
et sa gent enuiron li	-|-|---|------|-|
quap oidedolnes	-||-⌫-|-|--|-||
siuous seuentil biencaians	-|---|-----|-|---|-----|
maisentraxest	---|---|-|--|
lidols si gr ans	-|---|-|--⌫--|
que ilnipo ee ntorent endre	--|-|||--⌫--⌫-|-|---⌫----|
s iluousuoel ent ocir e upen dre	|-|---|----⌫--|----⌫||---⌫--|
acenepoeent il failli r	|-|-|-----|-|------⌫|
qan tiluousua ldront	---⌫|-|---|--⌫-----|
assai ll ir	-----⌫--⌫-|
et messire yuainslirespont	-|--|---|-----|-|------|
iase deup laistnemocirront	-|-|--|-⌫----|-||-------|
neiapar auspris n ise ra i	-|-|--|--|---|||--⌫--⌫|
ele que ien ferai	--|--||-|----|
auolcuousmapuissance	----|---|-|--------|
nestmieprodomquitrop	|--|--|-----|--|---|
pou rcequitque	---⌫|-|---|--|
prodom soie ́s	-----|----⌫-|
qu enestes	--⌫||----|
pa s tropesmoié s	--⌫|---|-------⌫|
