Icicumencelicompuz	--|------|-|-----|
Lungs granzpar	----|----|--|
pleizf u rmez	----|-⌫-⌫---|
Sig nefien titant	---⌫------⌫|----|
Quë areree	---|----||
Sir eesgard a t	---⌫|------⌫-⌫|
Ai nz quelemund	--⌫-|--|-|---|
furma tEarereeau ant	-----⌫||----||--⌫--|
C u mli co rnuuntt ort antE en l esgardem ent	-⌫-⌫|-|--⌫-|---|-⌫---⌫--||-||--------⌫--|
S e nzn ulredutement	-⌫-⌫-|-⌫-|---------|
Tut ui t quancqueilfreit E	--|--⌫|----|--|-|----||
en auendr eit	-|------⌫--|
M acrobe dit	-⌫-----|--|
Paru eir en	--|-⌫--|-|
su nescritEsi lipos at	--⌫|-----||-|-|---⌫-|
Mundumarchetip umElesfurme sque	-----|--------⌫-||--|-----⌫|--|
cuntr e di t	-----⌫-⌫--⌫|
Ideesapelat	----|-----|
lurenposatE çoqueli mult uns	--|------||--|--|-|----⌫--|
Enicele ssaisuns	-|-----⌫|------|
Se gi stenuer itét	-|--⌫-|-|---⌫----|
Surledestrecoste ́t	--|-|-----|-----⌫-|
Signifie itant	-------|----|
Seiét ientend ant	-----||------⌫--|
Deusfudmo rz uin ten	---|--|--⌫-|---⌫|-|
P urno zanmescunquerre	-⌫-|--⌫|----|--------|
humanitét	---------|
Ne ntsuluncd e ï té t	--⌫-|-----|-⌫-⌫--⌫---⌫|
Eço estle achaisun	|--|--|-|-------|
P urq ueicest si gn eadnum	-⌫-|-⌫--|---|--⌫--⌫|-|--|
Parueiresenzdutance	--|---||---|------|
Aiezen remem brance	---|-|-----⌫-----|
Tauro al legor iceE litors	----|--⌫-----⌫--||-|---|
Ences temorteluie	-|---⌫-|-----|--|
F or em entlabu rereit	-⌫--⌫--⌫--|----⌫-----|
Apr of ço q ueilfaiseit	---⌫-|--|-⌫-|-|------|
a nmescunquer r e	-⌫---|-------⌫-⌫|
Cu mlib oe s faitenterre E saceizq ue	--⌫|-|-⌫--⌫|---|-|----||-----|-⌫-|
Quiendou sestfurchez	--|-|---⌫|--|------|
Dou spoplessigne fie	---⌫|-----|-----⌫--|
N e larraineluusdie	-⌫|-----|--|--|--|
Paiensiudeue gent	-----|-----|---|
Dumprendreituen gement	--|--------|---⌫-----|
Charenleunepartie	---|-|-|--|-----|
Del pédquequefolsd i e	--|---|--|--|---|-⌫-⌫|
U nygri ue nten dum	-⌫||---⌫|-⌫----⌫--|
grant raisun	----|-----|
En lealtrë uno	-|-|-----|-||
A semblezyeo	-⌫------||||
Si en auereizunÿo	-|-|------|-|--|
Ce estinter iec tïo	-|--|-----⌫---⌫---|
uict oriesignef ie	----⌫---|------⌫-|
Deusli filz	---|-|---|
Outdeiudeuegent Ede paiene gentE pur	--|-|-----|---||-|-----|---||--|
cestachaisun	---|-------|
Issice stsigne adnum	---|--⌫-|----|-|--|
Aie z en remembr anceÇoestsignefiance	---⌫|-|-------⌫---|--|--|----------|
Geminis al legoric e t ertioEli	------|--⌫-------⌫|-⌫----||-|
frere e nuertét	----|-⌫|------|
Dum ieu usai	--|-|-⌫-|-|
Sulunc lentendement	-----||----------|
Delap aien egent	-|-|-⌫----⌫|---|
Gem ino snumum	---⌫---⌫|----|
En latinera isun	-|-----|--⌫---|
Ceoes t a llegor ie	--|--⌫|-⌫------⌫-|
Delfilzsain te	--|---|----⌫-|
Quenostrefr ere e steit Emurirnep oait	--|-----|--⌫--|-⌫----||----|-|-⌫---|
En s asimple nature	-|-⌫|-----|-----|
P r i sthumaene figureEuoltpurnus murir	-⌫-⌫-⌫-|------|-----||---|--|--|----|
Purno z a nemes guarir	--|--⌫|-⌫----|-----|
Depainesenfernals	-|-----|--------|
Desenemis mortalsEparsade i ̈téd	--|-----|------||--|-|--⌫-⌫----|
N us a d enlumin ét	-⌫-|-⌫|-------⌫--|
Issifaiterement	--------------|
solails uu e nt	-----|-⌫--⌫-⌫-|
En lalunelüur	-|-|---|----|
Dun e t er esplendu r E ce o que uusuëez	---⌫-⌫||-⌫--------⌫||--⌫|--|--|----|
lu neesguardez	--⌫-|--------|
Quë enli nat	---|-|-||-|
Nenuleresple ndur	-|---|------⌫---|
Ne ma isquë en	-|--⌫-|---|-|
Uns ulpetitét	-|-⌫-|-------|
Sacezceo signe fie	----|--|-----⌫--|
Icestemorteluie	-----|-----|--|
gentuuntpechantE de	---|---|------||-|
De u esluignan t	--⌫|---------⌫|
M aisquant il serepente ntEu ers	-⌫--|----|-|-|-------⌫-||-⌫--|
Deused ementent	--|-|-⌫-------|
Deceo que ilnuntlu mere	-|--|--|-||--|--⌫---|
lampesplen ere	-----|----⌫--|
Deuresprentsichascune	--|-------|-|-------|
solail zlaluneE par cesteraisun	------⌫|-|---||--|----|-----|
Issi c estsingne a dnu n	---|-⌫--|-----|-⌫|--⌫|
Cancroalle g orice	-----|----⌫-⌫----|
C ancer signe fie	-⌫----|-----⌫--|
Nelerai nel	-|----|--|
Quene pot drei taler	--|-|--|----⌫|---|
Parterre n eparmerEquan t	--|----|-⌫|--|--||----⌫|
D eusuiinten t e rre	-⌫--|----|-|-⌫-⌫--|
Pur nozanemes cun q uere	--|--|-----|---⌫-⌫---|
Mult së alatmuzant	---|--|---|-----|
Neos outuenir auant	-|--⌫--|----|----|
Sicreme i t	-|-----⌫-⌫|
Paen seiudeue	----⌫||-----|
Quildeuaient occireEf airele martire E ceo	-|-|-------|-----||-⌫---|-|------||--|
lisanttrouum	-----|-----|
C re ̈ aturs	-⌫--⌫-⌫----|
Outmult granz	--|---|----|
Sulumlehumanitéd	----|-|---------|
Nent sulumdeïté d	---|----|-------⌫|
Epurcestach aisun	|--|---|---⌫----|
Issice st signea dnun	---|--⌫-|----|-⌫|--|
Le oneEuë ez	--⌫--||---⌫-|
del leü n	--|----⌫|
Significatïun	-------------|
pizde uant	--|--⌫---|
Ardizecumbatant	----||--------|
letraitderer eCüe degrant mane re	-|----|-----⌫|---|-|----|----⌫-|
ditparfig ure	--|--|---⌫--|
Deusestfortparnature	---|--|---|--|-----|
Febleen humani téd	----|-|------⌫---|
Lacüesignef ie	-|---|------⌫-|
adde grantbaillie	-|-|----|------|
Deus p ren d rat iustise	---|-⌫---⌫-⌫--|------|
Deic éski funtseruiseAdi ̈a ble	-|--⌫--|-|---|------||--⌫--⌫--|
Sulum men te ndementEceste ntencï un	----||--⌫--⌫------||---|-⌫-------⌫-|
Auumn usdel leu ̈n	---|-⌫-|--|---⌫-|
De sacü e enuertéd	-|-|---⌫|-|------|
espru ue ́d	-----⌫--⌫-|
Faitu n cernepar t ere	---|-⌫|----|--|-⌫--|
Qu ant uoltpra i ec onquere	--⌫--|---|---⌫-⌫|-⌫------|
Silaiss et labaee	-|-----⌫-|-|---|
Queceosei tla entree	--|--|---⌫|-|-----|
qu e ildesire	--⌫|-|-----|
f a ire sa	-⌫-⌫--|-|
priseEte lests an atur e	----||--⌫|--|-⌫|-⌫----⌫|
Que ia n iertbest enule	--|-||---|----⌫|---|
Quipuissettrespas ser	--|------|-------⌫--|
Sunmercnë u ltrea l er	--|---|--|-⌫---|-⌫-⌫-|
Par lecernentend um	--|-|---|------⌫-|
P araïsparra is un	-⌫-----|--|--⌫--⌫-|
brech eest	-----⌫|--|
estap reste e	--|--⌫-----⌫|
Sinusle benfa isumEl e mal guerpissum	-|--|-|--|--⌫---||-⌫|--|---------|
cüe estiustise	---|--|------|
Que d esur nus	--|-⌫---|--|
ceoquelileüns	--|--|-|-----|
Tremblet quantleueüns	-------|----|-|-----|
Sign ifi editant	----⌫---⌫-|----|
Saiezhientendant	----|-|--------|
Deu spurnustremblat	---⌫|--|--|-------|
Formentse humilï at	------|-|-------⌫-|
Quant od sa deïtéd	----|-|-|-------|
uoltpren dre	---|----⌫--|
humani té d	------⌫---⌫|
Quarecatulil eo ni s sunt tribus diebus	----|-----|-⌫--⌫--⌫|---|-----|-----|
ettribusno c t ibusquasimortu i	-|-----|--⌫-⌫-⌫---|----|-----⌫|
Or f ait lum	-|-⌫--||-|
Des caëls alleün	--|-----|-|----|
Que ̈iceosignefie	---⌫|---|-------|
Qu e.iii.iurzs untsenz uie	--⌫|----|---|-⌫--|---|--|
Enzelcummencement	--|-|-----------|
D elurfoüne mentE	-⌫|--|------⌫---||
puisuenen tauie	---|-----⌫||--|
P arleleünkicr ie E	-⌫-|-|----|-|--⌫-||
ceoestgrant	--|--|----|
si gne fiance	--⌫---⌫-----|
Aiezenre me mbran c e	---|-|--⌫--⌫-----⌫-⌫|
Deusfudmortenterre .	---|--|---|-|----||
Iii.iurz p urnus conquere	---|---|-⌫-|--|-------|
Sulun csahumanitéd	-----⌫|-|---------|
Nen t s ulum	---⌫|-⌫---|
P arlec ri del leün	-⌫-|-|-⌫-|--|----|
Lau ertu d	-|-⌫----⌫|
Deuper nun	--|---⌫--|
P arquaire suscitadEenfern despuill ad	-⌫-|---|--⌫-------||-----|--------⌫-|
Aie zenremembrance	---⌫|-|----------|
Ceste st s ignifianc e	---|-⌫-|-⌫---------⌫|
uirgin eallegorice	------⌫|---------|
uirgo signefie	----|-------|
L e filzsainte	-⌫|---|-----|
multforment	---|------|
Ceotrouumuer iement	--|-----|---⌫-----|
Nemaisdes e ruir	-|---|-|-⌫-⌫---|
Li braen uertéd	--⌫--|-|------|
Bensigne fie dDé	--|-----⌫---⌫|--|
Que nus peise apelum	--|--|----|-----|
Enfra nc eiserai sun	-|---⌫--⌫---|---⌫--|
unestrum en t	-|------⌫--⌫|
Kipartmultüelmen tE	-|---|---|-------⌫||
Deuskie st uassa ls	---|-|-⌫-|-----⌫-|
Partirat bonse ma ls	-------|---||--⌫-|
Si dreiturelement	-|-------------|
Cum fa itcelestrument Eceoque	--|--⌫-|--|--------||--|--|
e nsa seisun	-⌫|-|-----|
Es t equinoctïu n Eceo	--⌫|-----------⌫||--|
est qu enuiteiur	--|--⌫|---||--|
Suntde üelelungur	---|-|----|-----|
Signe fied ita nt	-----⌫---|---⌫-|
Saiezientendant	----||--------|
Queaprés l e iugeme nt	--|-----|-⌫|------⌫-|
Senzn ulredutemen t	---|-⌫-|---------⌫|
Para ïs ertsenzf in E	----⌫--|--|---|-⌫-||
en fer nhüelin	--⌫---⌫|------|
Scorpioneallegoric eoc to E	--------|---------⌫|--⌫-||
uëez parraisun	----|--|-----|
De us e stesco rpïun	--⌫-|-⌫-|----⌫-----|
Ceoes t beste puig nan te	--|--⌫|----|----⌫---⌫-|
Hardiecombatante	----||---------|
Escorpï unsest e it	--------⌫--|---⌫-⌫-|
Iud e usrepernait	---⌫-⌫-|--------|
Sulun clen tendeme nt	-----⌫||--⌫-------⌫-|
Decelefol egent	-|---|---⌫|---|
Sa gitt ariononoE	--⌫----⌫---|---||
ceoditn ostre arm aries	--|--|-⌫----|---⌫----|
S agitaries	-⌫--------|
Kar humai ne figure	--|-----⌫-|-----|
Adtresquea la ceintur e	-|------||-|-------⌫|
Ch eualestde de rere	--⌫---|--|-|--⌫---|
tent are re	---|---⌫-|
O rue ̈ez parmai sterie	-⌫|--⌫--|--|---⌫-----|
Quë ic eo sign efie	---|--⌫-|----⌫---|
Deusouthu mai n carpen t	---|--|--⌫---⌫|------⌫|
Ent rei udeueg ent	---⌫-|-⌫----|-⌫--|
Cheualsi gnefiad	-----|--⌫------|
Qua ntilde ous	---⌫-|-|-|--|
F erit les asp rement	-⌫---|--|---⌫-----|
Carparlefundement	--|--|-|--------|
Lurfaitlesanci ssirE c eo faitleferir	--|---|-|---|-⌫---||-⌫-|---|-|----|
Pur ceoquëi l traïr entEforment	--|--|---|-⌫|------⌫--||------|
le forfirentEpurceo	-|--------||--|--|
Que il traïre ntlur	--|-|-------⌫-|--|
Kilesaueit furmét	-|--|----|------|
S ulunchumanit étLarcquilten tensa	-⌫----|-------⌫--||--|-|-|---⌫|-|-|
Il signefietant	-|-------|---|
ent endant	---⌫-----|
Quantfud encroizpendud	----|--|-|----|-----|
Parmilecorsferud	--|-|-|---|----|
Esp irizs enalad	---⌫---||-|---|
Puri celsquilamad	--|-⌫---|-|-|---|
K ienenfern	-⌫|-|-----|
Suns ucurs	--|-⌫----|
atend aient	-----⌫----|
Cume l arc get ant	---||--|---⌫--|
Met lasëeteauant Ecesteentencï un	--|-|-----|----||----|--------⌫-|
N usfai t larcpar	-⌫-|---⌫||--|--|
Kar lasë eteuait	--|-|---⌫--|---|
Parmiqu e lacruiz fai t	--|-|--⌫|-|----|---⌫|
Capricorn odecimoEde	---------⌫|-----||-|
C apricor num uëezore p ar ra isun	-⌫-------⌫--|----|--|-⌫-|--⌫---|
Deu sgranz chosesse ign ent	---⌫|----|-----|--⌫---⌫--|
Cil quicestsigne pei gnent	--|--|---|----|---⌫----|
Chefdecheuer edeuantCü edeserpentgrantEen	---|-|------⌫|-----|---⌫|-|------|----||-|
miunn ud p einent	-|-|-⌫-|-⌫-----|
Purquei deuiseseignent	--|---|-----|-------|
O ruëezparmaistri e	-⌫|----|--|-------⌫|
Que ̈ iceo s ignefie	---⌫|---|-⌫------|
Cheuere estunitelbeste	------|--|-|---|----|
Quimuntedal tpurpest re	--|-----|--⌫|--|----⌫-|
Aiez en re membrance	---|-|--⌫--------|
Ce oes tgrandsignifïance	--⌫|--⌫|----|-----------|
De us fu dm orten terre	--⌫-|--⌫|-⌫--|-|----|
Sun seignealadrequere	--|-----|---|------|
Duntilanceis tur nat	---|-|-----|---⌫--|
Quantpur nus seencarnad	----|--|--|-|-------|
Si cumlis olails fait	-|--|-|-⌫-----|---|
Quantilsun	----|-|--|
cursadfait	---|-|---|
delserpent	--|------|
Sign efïeturment	----⌫----|------|
Que no stre	--|--⌫---|
C rëa t u rs	-⌫----⌫-⌫-⌫-|
Metratsurpec h eu ̈rsEl i	-----|--|---⌫-⌫--⌫--||-⌫|
nuzest pechiez	--|--|------|
Dun tilsuntenla cez	---⌫|-|---|----⌫--|
Queia partnenauerunt	--|-|---|--|------|
Deune seserrunt E p urcestac hai sun	--|-|-|------||-⌫-|---|--⌫---⌫--|
Issices tsign eadnun	---|---⌫|----⌫|-|--|
AquarioEpuisqui luii nt	------||---|-|-⌫|---⌫-|
Aq uariüs	--⌫------|
Equenusappellum	---|--|-------|
En france ise r aisun	-|------⌫--|-⌫----|
E stallegorie	-⌫-|--------|
Car l eeuesig ne fie	--|-⌫|--|---⌫--⌫--|
Espiritc e o uusdit	------|-⌫-⌫|--|--|
Dunt se ssainzrëempli tEicil suntewus	---|--⌫|----|--------⌫||---|---|---|
Ben le diasplusurs	--|-|-|-|------|
Qued em einentlauie	--|-⌫--⌫-----|-|--|
Mar i eEuëezdelpeissun	---⌫-⌫||----|--|------|
S ignificatï un	-⌫-----------⌫-|
Sicum leue	-|--||--|
Enpurceoleuoil	----|--|-|---|
uoltqu etut	---|--⌫|--|
pe cheü r	--⌫-----⌫|
De lur fa i zserep ente n t E	-|--|--⌫-⌫|-|---⌫----⌫-⌫||
uersluisedem entent Eilles	---|--|-|---⌫-----||-|--|
Tan ttos tcu mceo	---⌫|---⌫|--⌫|--|
oratE ceotru uumescrit	---||--|---⌫--|-----|
Esliueresquel umlit Epurc estachaisun	-|------|--||-|--||--|-⌫--|-------|
Fur entt roue ́d linunEdecelescuntrees	---⌫--|-⌫----⌫-|-|--||-|----|-------|
Sunti ssi appellees	---|-⌫--|--------|
A iezenremembrance	-⌫--|-|----------|
Ceo estsignifiance	--|--|----------|
N ulshom ne	-⌫--|--|-|
semerueilt	-|-------|
ceoneseesu eilt	--|-|-|---⌫---|
Iesusign efie	---|----⌫---|
En cestemort el	-|----|----⌫-|
Itantescrëatures	------|---------|
De diue rsesmesures	-|----⌫---|------|
Ase z plussig n efie	---⌫|---|---⌫-⌫---|
Quëhom nesetcu nter	---|--|-|--|--⌫---|
Nedirenepenser	-|---|-|-----|
Nepa rsescre ̈atures	-|--⌫|--|---⌫------|
Ne diuersesfig ure s	-|-------|---⌫---⌫|
Ma isquida lquantdir runt	--⌫-|---|-⌫-----|---⌫---|
Kipoi ntne	-|---⌫-|-|
meentenderun t	-|----------⌫|
Queen uain metrauaillai	--|-|---|-|---------|
Q uantd es	-⌫---|-⌫-|
signest raitai	-----|-⌫-----|
Mais t el me potb l asmer	---|-⌫-|-|--|-⌫-⌫----|
Ne ls auerait amend erEquidquetello rad	--⌫|-⌫------|-----⌫-||---|--|--||-⌫--|
Quepu rfol letendra t	--|--⌫|--|-|------⌫|
O renai assezditE	-⌫|-|-|----|--||
munta lentde scrit	--|--⌫---|--⌫----|
Quidquee nai bi en	---|--|-⌫|-|--⌫-|
Od leaïedeDé	-|-|---|-|--|
Neuoilore plus	-|---|--|---|
Altreuoi lcumen cer	----|---⌫|-----⌫--|
kiltr u ua t	--|--⌫-⌫--⌫|
lecummenç at	-|--------⌫-|
Ansestrem oueme nt	--|--|---⌫-----⌫-|
Suluncalquantegent	-----|-------|---|
D ileuus enuerte ́d	-⌫|-|--|-|-----⌫-|
Sicumiel ai truuéd	-|--|-||-|------|
Karch ascun an	--|--⌫----|-|
buriu nent	-----⌫---|
Arb res elurfruit	---⌫--||--|----|
dun entEal tr es crë a tures	---⌫--||--⌫--⌫-|----⌫-⌫----|
T utsul um	-⌫-|---⌫-|
lurnatures	--|------|
Maissulunaltregent	---|----|----|---|
E stdittu taltrement	-⌫-|--|--⌫|--------|
ilad alees	-|-|----|
Trest uteslescu ntrees	-----⌫---|--|--⌫-----|
Q uantdes signestrait a i	-⌫---|--|-----|-----⌫-⌫|
cursalé dE tut auirun e ́d	---|----⌫||--|------⌫-⌫-|
cumlanels E cumelescerce lsE	--||----||---|--|-----⌫-||
pur ce ste raisun	--|--⌫--|-----|
Quëiluait enuirun	---|-|---|------|
C es tnunliemposer entEann umle	-⌫--⌫|--|-|-------⌫--||---⌫-|-|
appellerentE sacezuncoreplus	----------||----|-----|---|
Queliber s	--|-|---⌫|
Primesle con truuadEcest	-----|-|---⌫-----||---|
nunli dunad	--|-|----|
Quan til outla	----⌫|-|--|-|
R omani eE ach ai suniad	-⌫-----⌫||---⌫--⌫--||-|
Pu rq uei ill etruuad	--⌫|-⌫--|-|-⌫|-----|
Iceofudpursarent e	---|--|--|-|----⌫|
N entpuraltrëe ntente	-⌫--|--|-----|-⌫-----|
aueiruolait	----|-----|
queilmain teneit	--|-|----⌫-----|
Ater mëeaure	|---⌫--|||--|
Esenztut e demureE o reu ëe z	|---|---⌫|-----||-⌫-|-⌫---⌫|
Cum ceofudecum ent	--|--|--||---⌫--|
Il con truuad la n	-|---⌫-----||-⌫|
Parchascunedespri m es	--|-------|--|---⌫-⌫-|
Que ile n la l uneuit	--|-|-⌫|-|-⌫--|--|
Bedele dit	---|-|--|
Pa r ueirensun e scrit	--⌫|---|-|--|-⌫----|
Cumcrei ̈st edesfitE purles obscurtez	--|----⌫--||-----||--|--|--------|
Duntlicelsfud troblez	---|-|---|--|------|
U ncplu sne la	-⌫-|---⌫|-|-|
Nuuelen ecuntadEtanziurzi	-----|-⌫|-----||---|---||
ma is fu rma dE cumfaitereme nt	--⌫-|--⌫---⌫||------------⌫-|
Ceouëezorbreuement	--|----|-|--------|
Mar zout.xxx.eun iurEaueril en sun	---⌫|--|----||-|--||-----|-|--|
en maiueire mentE	-|--|-----⌫---||
sept embre ensement	----⌫----|-------|
Asaltresq uil	-|-----|-⌫|-|
e nposa dE	-⌫-----⌫||
.ccc. .i iii.iurs	----|--⌫---|---|
Itantad enlurcurs	----|-|-|--|---|
Mais poiiurz	---|--|---|
iaueit A lan qu	|----|||-|-|
estredeue rait	----|----⌫---|
Ka renzel tensdestéd	--⌫|--|-|---||-----|
Aueientt empestédEenueru eirement	------|-⌫--------||-|--|-⌫-------|
Senznulre dutem ent	---|--|--⌫-----⌫--|
Ensement enyuer n	-------|-|----⌫|
Au ereint tensde u er	--⌫-----|---|-|-⌫-|
E cestordeinem ent	|---|--------⌫--|
Menerent lungement	-------|--------|
D esquelaquëunsdux	-⌫----|-|---|--|--|
Purlemo rt	--|-|--⌫-|
Rumëenbaillie Etute	----|-|------||---|
Q ueh omdit	-⌫-|-⌫-|--|
Pompil ïus	------⌫---|
Suuent sepurpensad	-----|-|--------|
Dela ncum ilalat	-||-⌫|--|-|---|
Cinquanteiurz i mist	--------|---||---|
Desapa rt e	-|-|--⌫-||
lun fugeneuerEli	|-|-|------||-|
altresfeuerier E ourenten lur curs	-----|-------||-----|-|--|---|
Chascun.x x..uiii.iu rs	------|--⌫-|-----|--⌫-|
iurs ia uei t	---||-⌫---⌫|
AhoiterlesdeueitEp urceopristli	------|--|-----||-⌫-|--|----|-|
i urzdes.ui.mais	-⌫--|--|---|---|
Ass onsles ai ustadAchascuntr ai s dunad	-|-⌫--|--|--⌫----||------|--⌫--⌫|----|
Puisc eouniur truuad	---|-⌫-|-|--|-----|
geneuerposa d	------|----⌫|
Qu io reu o lt esgua rder	--⌫|-⌫-|-⌫-⌫-|-----⌫---|
Q ua ntiurz l o mpottr uuer	-⌫--⌫-|---||-⌫|--|--⌫---|
Des.x. mais	--|--|---|
Treiscenzcin qua n teiursE	----|---|---⌫---⌫-⌫-|---||
.u.en lurcurs	--|-|--|---|
Itant i truu era d	----||----⌫---⌫|
K ib en lescunterat	-⌫|-⌫-|--|-------|
Aprofcésou tla terre	----|---|--⌫|-|----|
Uns reis q uifuddeguereCäïus	--|---|-⌫-|--|-|----|------|
Cesar quien	----|--|-|
fud dux E tint	--|--||---|
Rumedesurtuz	---|----|--|
Humefudde gra nt	---|--|-|---⌫-|
parageE demu l tgr antu asalage	-----||-|--⌫-⌫|--⌫--|-⌫------|
adesmessure	|---------|
Enbarnageou t sa cure	-|------|--⌫|-|---|
Su ue nts e pur pensa d	--⌫--⌫-|-⌫|---⌫-----⌫|
Cumentlians alat	-----|-|--|---|
Bien uit ensun	---|--|-|--|
C u m h omquiestait sage	-⌫-⌫|-⌫-|--|-----|---|
Qu e li soleilsentant	--⌫|-|------|-|---|
Detens nadtantnequant	-|---||-|---|-|----|
f uda cuntraire	-⌫-||--------|
en lanposad	-||-|----|
Romu l us truuad	----⌫-⌫-|-----|
Deces iurs.ui.	-|--|---|---|
As sismais	-|--|---|
Quë au e it descreüz	---|--⌫-⌫-|--------|
Libons rais	-|---|---|
Des a ltresdeusdunatA	--|-⌫----|---|----||
g e nu erenposat	-⌫-⌫--⌫-|------|
Enaüs tunsuliu r	-|----⌫|-|--|--⌫|
Endecem b re alt reiur	-|-----⌫-⌫-|---⌫-|--|
Eissilesordinerent	----|--|---------|
Lir ei k i le struuerent	-|-⌫-|-⌫|--⌫|--------|
Oruëezparbre zmoz	-|----|--|---⌫|--|
Quant iurzoutentret uz	----|---|--|----|-⌫-|
Treis.c. .lx.	----|--|---|
iursE.u.ad enlurcurs	---||--|-|-|--|---|
Sishure s plus	--|----⌫|---|
Li r ei skilan par fis t	-|-⌫--⌫|-||-|---⌫---⌫|
Cesa r qui ertraisedux	----⌫|--|--|---||--|
Dunt nus dirum	---|--|----|
bre u ement	---⌫-⌫----|
Ra i lenus c onsen t	--⌫|-|--|-⌫-----⌫|
Aprofcesteraisun	----|----|-----|
Pur quainus l ég ardum	--|---|--|-⌫-|-⌫----|
Mai so r emuster umbrefment	---⌫|-⌫-⌫|------⌫-|-------|
Icile d rait cumm encemen t	--|-|-⌫---|----⌫-------⌫|
nusten umUgarderlede uum	--|---⌫-||-----|-|--⌫--|
Sulumla ueritéd	----|-|-------|
iolaitruu e ́d	-||-|----⌫-⌫-|
E nunliuere	-⌫|-|-----|
Cirecunted	-|-------|
Deus f istpurhume	---|-⌫--|--|---|
Celeterrecri ad	--||----|---⌫-|
Reiskinusfur mad	---|-|--|---⌫--|
Te rree rt idunquesueine	--⌫--|-⌫-|-------|----|
Detut entut	-|--|-|--|
Reiscumandat	---|-------|
Quet errefruitdunatE mist dedenz humursEen	--|-⌫---|----|----||---|-----|-----||-|
traistherbes	-----|-----|
e flursEaltre scrëatures	|----||-----⌫|---------|
Q uilfist desaltr es f igures	-⌫|-|---|--|----⌫-|-⌫-----|
Enceltensseamureren t	-|--|---|-|--------⌫|
As male ss eai usterent	-|----⌫|-⌫|--⌫-------|
Sacez ceoestlasume	----|--|--|-|---|
chascunhume	------|---|
Enm arzd eitcumencerLant uttense	-|-⌫--|-⌫--|-------||-|-⌫-|---||
Suluncceleraisun	-----|---|-----|
Q uëelli uretruuum	-⌫--|-|--⌫--|-----|
Karas duzzek alendes	--|-|----|-⌫------|
Deauerilbenl entend es	-|-----|--||------⌫-|
Furmadlespr im ers iursUlisolail	-----|--|--⌫--⌫--|---||-|-----|
Cumenceratsuncurs	---------|--|---|
Maistuttensengeneuer	---|--|---|-|------|
Femeslancumencer	----||-|-------|
Purceo que li	--|--|--|-|
Le fir ent	-|---⌫--|
Neuolum pas d esfa ire	-|----|--|-⌫----⌫--|
Ceoquefirentli maire	--|--|-----|-|----|
Maisdecesterais u n	---|-|----|----⌫-⌫|
Neferaiplusser mun	-|----|---|---⌫--|
Karor e uoilcumencer	--|--⌫|---|-------|
Altr e duntuoil trai ter	----⌫|---|---|----⌫--|
Lebisexte estfurméd	-|------|--|------|
De l andunta iparlédEs acez	-||-|---|-⌫|------||-⌫---|
Enlanaditantiurs	-||-|-|----|---|
Treis.c..lx.iurs	----|--|---|---|
Sishurese .u.iursE	--|----||--|---||
uëez parraisun	----|--|-----|
Cu m nuslesitruuum	--⌫|--|--||-----|
Sacezqueli solails	----|--|-|------|
I tantad c hascunmais	-⌫---|-|-⌫-----|---|
Di shures.x xx.iurs	--⌫|----|--⌫--|---|
Demi hureen	---|---|-|
Sisu olezassembler Epur duzze cunter	--|-⌫---|--------||--|----|-----|
queentre s unt	--|-----⌫-⌫--|
Par que i li anestunt	--|---⌫|-|-|-----|
Treis .c.i truu e re z	----|--||----⌫-⌫--⌫|
Seis sante demaneisE qu icu nteleshures	----⌫----|-------||--⌫|--⌫--|--|----|
Quëapelumdemures	---|-----|------|
.C. enit ruueratE.xx.quis	--|-||-⌫------||---|---|
cunt eratEquienuo ldratiursfaireEe nsemb lë	----⌫---||--|-|--⌫----|---|----||-⌫-----⌫--|
Bensacezen uerté	--|----|-|-----|
est espruué.	--|-------||
X x.e.iii i.h u ressunt	-⌫-||----⌫-|-⌫-⌫--|---|
Parquei li iurestuntE	--|---|-|--|-----||
quitant i me tr at	--|---||--⌫--⌫-|
.u.iurzitruue rat	--|---||-----⌫--|
Seuoleze ns ement	-|----|-⌫--⌫----|
Fairele a ssemble ment	----|-|-⌫-------⌫---|
Desmieshurades	--|---|------|
Quisuntpetizades.	--|---|----|---||
ui. e nitruuere z	--|-⌫||-------⌫|
Ia plusneni uerez.	-|---||-||----||
Xii.de m ies hures	---|--⌫-⌫--|----|
Ceo ne suntq ue .ui.	--|-|---|-⌫-|---|
Ei ssifaiterem en t	--⌫-----------⌫--⌫|
Par ce stassemblement	--|--⌫-|-----------|
Seratlianzfiniz Ede tut aëmp liz	----|-|--|----||-|--|-----⌫--|
Gerlan d E	------⌫||
Turkille uaillantE	-----|-|-------||
oreuëezreisun	--|----|-----|
Parquelentenci ̈un	--|---|-------⌫--|
Les. ui. huresi	--|-⌫--|----||
suntEqu ë	---||--⌫-|
Par. i iii.feiees	--|-⌫-⌫---|-----|
.u i .h ures	--⌫-⌫|-⌫---|
Ceo su nt .xx.e	--|--⌫-|---||
.iii i.hures	----⌫-|----|
Duntnus faim esuniur	---|--|----⌫-|-|--|
P a rueir e senz poür	-⌫-⌫|---||---|----|
Alquartanpar raisun	-|----|-|--|-----|
Qu enu s bis exteapelumE purqueialquart	--⌫|--⌫|---⌫---|-----||--|---|-|----|
Ceodirumparraisun	--|----|--|-----|
Sulum menten cïu n	----||-----⌫----⌫|
Quel ore ssunt alees	--|-⌫---⌫|---|----|
