#META#TextURILancI	-----|------|----|
#ME TA#DEAF	---⌫--|---|
#META #FEW	-----⌫|--|
#META# ARLIMAhttps//www.arlima.n et/ad/chretien_de_troyes.ht m l#cha	-----|-----|-------------------⌫---------------------------⌫-⌫----|
#META# Au thor Ch rétien deTroyes	-----|--⌫---|--⌫------|-|-----|
# M ETA#AuthorBorn1130	-⌫-⌫---|---------|---|
#MET A# Au thorBo rnAmbc	----⌫-|--⌫------⌫----||
#META#Auth orDie d1180	-----|----⌫-----⌫|---|
#META#Autho rDiedAmba	-----|-----⌫-------||
#M ET A#A uthorFl1	--⌫--⌫-|-⌫-------|
#META#AuthorFl2	-----|--------|
#META#TextTitleLan celot	-----|--------|---⌫----|
#META#TextSub ti tle LeCheualier	-----|-------⌫--⌫--|-|--------|
li ple st quelemeuoie	-|---⌫-|-|--|-|---|
Nequele ma parole	-|-|--|-|-----|
Il m anenu ie etpoise	-||-|---⌫-|-|----|
e le atort	-⌫-||---|
Queuosuosestes	--|--|--|----|
iusquamort	----||---|
auantu remis.	------⌫-|---|
Oranuen ez biaxdolz	-|-|---⌫-|---|---|
Siroizau seneschal	|----|-|--------|
-Lauoeliemo ltfet	|-|---|-|--⌫-|--|
Ause neschalanuontandui.	-|--⌫------|-|---|-----|
QuantLancelozui ntdeuantlui	----|-------|--⌫-|-----|--|
Seli distaupremerainm ot	-|-|---|-|--------|-⌫-|
Liseneschax a Lancelot	-|--------||-------|
ashoni-E t	-|---||-⌫|
F etLan celoz dites	-⌫-|---⌫----|----|
Qu e lhonteuo saige doncfeite	--⌫-⌫|----|--⌫|-|-|---|----|
- Moltgrantquetuasachief	|---|----|--|-|-||----|
Lachosequegeni poitreire	-|----|--|-|||--|-----|
S as f etce que genepoi feire.	|-|-⌫-|-|--|-|-|--|-----|
rois les les seandeus	---|--|---⌫-|-----|
Del a chambre sani s tt ozseu s	-|-⌫|------||-|-⌫-⌫|-⌫-|---⌫|
EtLa ncelozau seneschal	-|--⌫-----|-|--------|
Anqui erts s il aeü g ran t	-----⌫---||-||--|-⌫---⌫|
Oïlfetiletai encore	---|--|-|-|-|-----|
On ques noi	--⌫---||-|
plusmalque i aior	---|--|--||-|-|
Et ie fussemorzgra nt	-|-|----|---|---⌫-|
Ne fust lirois q uideciua	-|---|-|---|-⌫-|-|-|-|
Quim amostréparsapitié	--|||------|--|-|-----|
Tantdedo lçor et d amistié	---|-|--⌫----|-||-------|
C on quesla ouil	|--⌫---|-|-|-|
Riens nu lequi mestierm	----|--⌫-|--|------||
fai llin ulefoiee	---⌫--|-⌫--|----|
Qui ne mef u stapar eilliee	--|-|-|-⌫-⌫-|----⌫------|
Mainte nantqueill esauo it.	------⌫---|--|-|-⌫|----⌫--|
Ancon treunb ien quil	-----⌫--|-|-⌫--|-|-|
me feisoit	-|------|
E t M eliaganz	-⌫|-⌫-------|
dautr epart	|----⌫|---|
Sesfilzquiplainsestdemal art	--|---|--|-----|--|-|--|--|
Par traïsona l uimando it	--|-------||-⌫-|-----⌫-|
Les miressilor comandoit	--|----|-|--|--------|
Qu eso r mesplaies memeï ssent	--⌫|--⌫|--|-----|-|----⌫----|
Texoignema nzqui	--|-------⌫-|--|
moc e i ̈ssent.	|--⌫-⌫-⌫------|
Ensipereauoieet	---|---|----|-|
par ras tre	---⌫---⌫--|
Que quant li	--|----|-|
roisunboen	---|-|---|
M efe soitsor mesplai es metre	-⌫|--⌫---|--|--|----⌫-|----|
seuolsistan tremetre	-|------|--⌫-------|
Queieüsse tost garison	--||-----|---|------|
E tsesfil zpar	-⌫|--|---⌫|--|
sat raïson	-|-⌫------|
Porcequilmeuoloittüer	--|-|-|-|-|-----|----|
Lemanfeisoittostremüer	-||-|------|---|------|
malués oignemant	------|--------|
Mes ie saibien certainement	--|-|--|---|-----------|
Que liroisnelesauoit	--|-|---|-|-|-----|
Telmurtrenetelf elenie	--|-----|-|--|-⌫-----|
Nesofristilannuleguise.	-|------|-|-|---|-----|
Mesnes auezpaslafranchise	--|-|-⌫---|--|-|--------|
madamefaite	-|---|----|
f upa rnulegaite	-⌫|--⌫|---|----|
Si bieng ardeetorzanmarche	-|---|-⌫----|---|-|-----|
D e s letans	-⌫-⌫|-|---|
queN öexfistlarche	--|-⌫---|---||----|
Qu e ilm ialzg ardee nel ait	--⌫|-|-⌫---|-⌫----|-||--|
ue oirnela lait	--⌫--|-|-|---|
Sonfil qui mo lt	--|--|--|--⌫-|
anestdolan z	-|--|-----⌫|
Forsdeuantle comundesgen z	---|-----|-|----|--|---⌫|
O udeuant le suencor s demainne .	-⌫|-----|-|---|---⌫|--------⌫|
Asig rant enor la de mainne	|-|-⌫---|---|-|--⌫-----|
Et ad em enéiusqu eci	-||-⌫--⌫---|-----⌫|-|
Lif rans rois	-|-⌫---|---|
l aso eme rci	-⌫|--⌫|--⌫--|
Co m ele deui serle	--⌫|--|----⌫--|-|
On quesdeui seo r	--⌫---|----⌫---⌫|
Forsli qu ains i	---|-|-|----⌫|
le de uisa	-|--⌫---|
E tliroismolt plusl	-⌫|-|---|---|---||
Porlalëautéquanliui t.	--|-|-------|-|-|-|--⌫-|
Mesestceuoirs quel an	--|--|-|----|--||-|
Queleauers uossigrantcorr oz	-|--||---|--|-|----|----⌫-|
Que lesaparoleoiant toz	-|-⌫-|-|-----|----|--|
uo s aueh ee	--⌫||---⌫-|
etescondite	-|--------|
-uéritéuosenal an	|-------|--|-|||-|
Fet Lanceloz	--|-------|
MesporDeus au rï ez me uos	--|--|--|-⌫--⌫---⌫-|-|--|
Dire p or coielemehet	---|-⌫-|--|--|-|--|
Cil respont queil neleset	--|------|--|-|-|-|--|
Einzs an meruoi lleest range mant.	---||-|------⌫--|---⌫-----⌫----|
sonc omandemant	--|-⌫---------|
FetLance loz quimialznepuet	--|-----⌫--|--|----|-|---|
Et ditCong ié prandre	-|--|----⌫--|------|
Siraim onseignorGau u ainquerre	|---|-⌫--------|---⌫-⌫--|-----|
Quies tantrezan cesteterre	--|--⌫|-----|-|----|----|
Etcouantmot queiluan dr oi t	-|-----||-|--|-|---⌫--⌫--⌫|
AuPon tDesoz E u etotdroi t .	-|---⌫|----|-⌫-⌫|--|----⌫-⌫|
delacham br ei ssuz	-|-|----⌫--⌫|-⌫---|
Deuantl eroianestue n uz	-----|-⌫|--|-|--|--⌫-⌫-|
E tprantco ngi é de	-⌫|----|--⌫---⌫-|-|
Lirois uolantiersli	-|---|---------|-|
Mescil quilauo i tdeliu rez	--|--|-|-|---⌫-⌫|-----⌫--|
Etde pr isondesprisonez	-|-|--⌫---|----------|
Lidemandentque	-|--------|--|
i lferon t.	-⌫|-----⌫-|
Etil d i t Auoec	-|-|-⌫-⌫|----|
moiuandront	--|-------|
Tu itc ilquiiuo ldro nt ueni r	--⌫-|-⌫-|--||--⌫----⌫-|----⌫|
Etcilqu ise uo ldront	-|--|--⌫|-|--⌫-----|
Lezlareïnesisi	--|-|-----|-|||
Nestpasdroizquea uoecmoiuaingnent.	|--|--|----|--|-⌫---|--|---------|
Auo eclui uon ttuitcilquiuoelent	---⌫-|--|---⌫|---|--|--|------|
Lie ́et ioiant plusqu ilne suelent.	---⌫|-|-----|---|-|-|-|-------|
Au oe clareïne remain nent	--⌫--⌫|-|-----|------⌫---|
Pucelesquii oiedemainnent	------|--|-⌫--|---------|
Et dames etcheual iermai n t	-|----|-|------⌫--|---⌫-⌫|
Mesunstozseusn	--|--|--|---||
eni remaint	-||------|
Quim ialzn	--|-⌫---||
Anson païsqueseiorner.	-|--|----|--|--------|
Meslareïnelesre tient	--|-|-----|--|--⌫----|
Pormonseigno rGau uainqui uien t	--|---------⌫|---⌫---|--|----⌫|
Et ditqu elen ese	-|--|-|--|-⌫|-|
Tantq ue noueles an saura.	---|-⌫-|------|-|-----|
Par totestlanoue le	--|--|--|-|----⌫-|
Que toteestlareïnequite	--|---|--|-|-----|----|
E tdeliurétuitliprison	-⌫|-------|---|-|-----|
ironts a nz	----|-⌫-⌫-|
m esp ris on	-⌫---⌫---⌫-|
boen loriert.	---|--|----|
Li un sla utrele uoir an	-|--⌫||-⌫---|-|---|-|
Onq uesparole autre	---⌫--|-----|----|
netindrent	-|-------|
L esgenzquant tuitansan bleuindrent.	-⌫-|---|----|---|-----⌫--|--------|
E tdece sontmolt	-⌫|-|-|---|---|
c orrecié	-⌫-------|
Que limal passontdepecié	--|-|--|--|---|-------|
S iuaet uientq ui o nquesuialt	-⌫|-|-|----|-⌫-|-⌫----|----|
pasensicomestres ia lt	--|---|--|----|-⌫--⌫-|
genzdel païsle	---|--|----|-|
l a bat ailleesté norent	-⌫|---⌫----|----||----|
ComantLancelozlauoit f et	-----|-------||----|-⌫-|
Sisesonttuitcelep arttret	-|-|---|---|---|-⌫--|---|
sorent que il	-----|--|-|
Carilcuident qu aur oi	--|-|------|-|-|-⌫-|
Se pris et mené liauoient	-|---|-|----|-|------|
Lancelot.Etli suene stoi ent	--------|-|-|---|-⌫----⌫--|
Tuitd e lorarmesdesgarni	---|-⌫|--|----|-------|
furent escherni	-----|-------|
Que cildelpaïsarmé	--|--|--|----|----|
uin drent.	---⌫-----|
Nefupa smeruoi l l es	-|-|--⌫|------⌫-⌫-⌫||
ilprindren t	-|--------⌫|
Lancelo tqui	-------⌫|--|
desarmeziere.	-------|----|
Tot pr isler e ma innentarriere	--|--⌫-|-|-⌫-⌫--⌫-----|------|
L es pi e z lïezs oz	-⌫-|--⌫-⌫|----|-⌫-|
so ncheu al.	--⌫|----⌫--|
Etcil dï entuo sfeites	-|--|---⌫--|--⌫|-----|
Seignor carli roisn osconduit .	------|--|-|---|-⌫-|-------⌫|
Noss omesansagardetui t.	--|-⌫---|-|-|----|---⌫-|
Etcildïent Nos n elsauons	-|--|-----|--|-⌫-|-----|
Mes ensi conp ri s uos auons	--|---|--|-⌫--⌫|--|----|
uosco uandrauenir	--|--⌫-----|----|
Nouelequitostuoleetcort	-----|--|---|---|-|---|
uientauroiqu esesgenz ontpris	----|-|--|--⌫|--|---|--|---|
Lancelotetsilont oci s.	-------|-|-||--|---⌫-|
Qu antli ro islot molt	--⌫--|-|--⌫-||-|---|
lanestgrief	|-|--|----|
Etiureassez plus quesonchie f	-|---|----|---|--|--|----⌫|
Quecil quilontmort	--|--|--||--|---|
an m or ront	-|-⌫--⌫---|
Iadesfandrenes anporro nt	-|--------|-||-|-----⌫-|
lespue tt e nir ouprandr e	--|---⌫|-⌫-⌫--|-|------⌫|
Ianiauram e s	-|||---|-⌫-⌫|
quedel pandre	--|--|-----|
Oude l ardoiroudel	-|-||-----|-|--|
E tse illeuoel entnoier	-⌫|-|-|-|----⌫--|----|
Ianesancresraa nulfuer	-|--|-|-----||--|---|
liont misan	-|--|--|-|
Grantduel etsi	----|---|-|-|
granthontefaite	----|----|----|
Queli deuroite stre	--|-|------|-⌫---|
S ilnanest oi tpriseua n gence	|-||-|---⌫--⌫|----|--⌫-⌫----|
l a n pan ra s anz	|-⌫|---⌫-|-⌫--|
Ceste nouelepartot	----|-----|--|--|
Tantquelareïne	---|--|-|-----|
Qu iaumangier	--⌫|-|------|
est oit assise.	---⌫--|------|
neses t ocise	-||--⌫|----|
Maintena ntquedeLancelot	--------⌫-|--|-|-------|
Lama nç ongeetla nou ele o t	-|--⌫---⌫---|-|-|---⌫--|-⌫|
Mes elel acuideuer ai e	--|--|-⌫|----|---⌫--⌫|
Quapo lapa rol en	-||-|-|--⌫---⌫||
Mes porles genzditen apert	--|--|--|---|--|-|----|
Moltm epoiseuoir	---|-⌫|----|---|
a npoisen ai	-⌫|----||-|
cestpaïspor	---|----|--|
Porcepe sance	--|-|--⌫----|
auoirandoi.	----|-|---|
Puisditalimeïsme anbas	---|--||-|------|-|--|
Porcequelen	--|-|--||-|
ne loi ̈s t pas	-||--⌫--⌫|--|
Quede boiure	--|-|-----|
ne demangier	-|-|------|
Nelacou ient iame sp r oier	-|-|---⌫---|-|--⌫|-⌫-⌫---|
Sece estuoirsquecil	-|-|--|----|--|--|
Po rlac u i uieeleuiuoit.	--⌫|-|-⌫-⌫|--|--|------|
Tan tostse	---⌫---|-|
lieuemo ltdolante	----|--⌫-|------|
De latable sisede mante	-|-|----|-|-|--⌫----|
Si quenusnel	-|--|--|-||
ocirreestsiestout e	-----|--|-|------⌫|
Que souantse pra nta	--|-----|-|---⌫-||
Mesainz seconfesse	--|---|-|-------|
Siserepante tbat sa	-|-|-----|-⌫|--|-|
Etmol t seblasmeetmoltsa ncolpe	-|---⌫|-|-----|-|---||-⌫-----|
Del pechiéquelef etauoit	--|------|-|--|-⌫-|----|
uerscelui donelesauoit	---|----|--|--|-----|
Quilsuensau oites t éto zdis	-|-|----|--⌫--|--⌫-⌫-|--⌫|--|
Et fustanc orse il	-|---|---⌫-|-|-|
Telduelade sa	--|---||-|-|
cr u alte ́	--⌫-⌫----⌫|
Quemol tan pertdesab i auté.	--|---⌫|-|---|-|-|-⌫-⌫-----|
Sacrualtésafelenie	-|-------|-|------|
Lont fet molttain tee t moltne rcie	|--|--|---|----⌫-|-⌫|---|--⌫---|
Et ce qu ele	-|-|-|--|
uoilleetgeü ne	-----|-|----⌫-|
Tozsesmesfez	--|--|-----|
a n sanbleaüne	-⌫-⌫-----|----|
Et tuitlireuiennen t	-|---|-|---------⌫|
Toz lesrecordeetdi t soua nt	--|--|------|-|--⌫|----⌫-|
Halasse Decoi mesouint	-|----|-|--|-|-----|
Q u antmesamis deuan t	-⌫-⌫--|--|---|-----⌫|
Queieneldeignaiconioïr	--|-|--|------|-------|
N eneleuos	-⌫|-|-|--|
o nquesoïr	-⌫----|---|
Qua n t monesgartet mapar o le	---⌫-⌫|--|-----|-|-|---⌫-⌫-|
Liueai nefis i equ efo le	-|---|-|--|-⌫|--⌫|--⌫-|
QuefoleAinz	--|---|---|
fis s im aïstDex	--|-⌫||----|--|
Que felenes see tquecru ̈ex	--|-------⌫-|-⌫|--|---⌫--|
Etselcuidaigefeir ea	-|--|-----|-|----⌫||
Mesensi nelcu i dailpas	--|---|--|--⌫-⌫-|-|--|
Sine lm amiepardoné.	-|--⌫|||--|--------|
Nusforsmoineli adoné	--|---|--|-|-||----|
Le m o rte lcopmien e s c iant.	-|-⌫-⌫---⌫|--|---|-⌫-⌫-⌫----|
Quantilui n tde uantmoiriant	----|-|--⌫-⌫|--⌫---|--|----|
Etcuidaque i eli	-|----|--|-⌫|-|
G rantioieet	-⌫---|---|-|
queiele ueïsse	--|-|-|------|
Et onques ueoi r neleu os	-|-----|----⌫|-|-|-⌫-|
Nelifucedoncmo rtex cos	-|-|-|-|---|--⌫---|--|
Q uantmap aroleliueai	-⌫---|-|-⌫----|-|---|
Ta ntostcecuit lede sseu rai	--⌫----|-|---|-|--⌫----⌫--|
Del cueretde	--|---|-|-|
ansan ble.	-----⌫---|
Cil duico p l ont	--|--|--⌫||--|
mortceme sanble	---|-|-|-----|
Nelo ntmort aut re Breiba nçon.	-||-⌫-|---|---⌫-|------⌫-----|
EtDex Aurai gereançon	-|--|----|-|-------|
murtred e ce st pe chié	-----|-⌫|--⌫-|--⌫----|
Neniluoirainz seront s ec hi é	----|---|---|-----|-⌫--⌫--⌫-|
Tuit li flueue etlamerstar ie	---|-|-----|-|-|---|---⌫-|
HalasseConfus se	-|----|--|---⌫-|
Etcommefustgranz reconforz	-|--|-|---|----|--------|
Se une foiz ainzqui l fust	-|--|---|---|-|-⌫|---|
L eüsse antremes braz t en u.	|-----|----|--|---|-⌫--⌫-|
Coman tC erte stotn u anu	-----⌫|-⌫----⌫|--|-⌫||-|
Porceq ueplusanfusseaeise.	--|-|-⌫-|---|-|----||----|
Quantilest morzm oltsuimalueise	----|-|--|---|-⌫--|--|-------|
Que ienefaztantqueiemu ire.	--|-|-|--|---|--|-|--⌫---|
Doitdonmon ami	---|--|--|--|
Seie suiuiuea préssa	-|-|--|---|-⌫----|-|
Quantiearie n nemedeport	----|-||---⌫|-|-|-----|
tra ipo rlui	---⌫|--⌫|--|
Quanta pr e ́s samortm i	----|-⌫--⌫-⌫-|-|---|||
Certesmolt f ustdo lzasauie	-----|---|-⌫--|--⌫-||-|--|
Lim ax doniai or	-|-⌫-|--||-|-|
grant anuie.	----|-----|
Malueise estquimialz uia l tmorir	-------|--|--|----|---⌫-⌫|----|
Quemalpor sonamiso frir.	--|--|--|--|--|--⌫----|
Mes ce r tesi l mestmol tpl eisant	--|--⌫-⌫--|-⌫||--|---⌫|--⌫-----|
Queienaillelonc duel fei sant.	--||-|----|---|---|---⌫----|
Mial zuoe luiureetsofrirlesc os	----⌫|---⌫|----|-|-----|--|-⌫-|
Quemoriretestr ea nrepos .	--|----|-|----⌫|-⌫|-----⌫|
Lareïne ant elduel estu t	-|-----|-|-⌫-|---|----⌫|
Deusiorz que ne man iane	---|---|--|-|---⌫-|-|
Ta nt quancuida	--⌫-|-|-|----|
q ue lefus tmort e.	-⌫|-⌫-|---⌫|----⌫-|
A sseze stquinouelesport e	-⌫---|-⌫-|--|------|----⌫|
Einçoisla leidequela	-------|-|----|--|-|
ALan celotuientlanouele	|---⌫----|----|-|-----|
Quemorteest	--|----|--|
s ada mee tsamie.	-⌫|--⌫-|-⌫||----|
Molt lenpesanen	---||-|---||-|
Bien pueent sa uoi r tote sgenz	---|-----|--⌫---⌫|----⌫|---|
Qu il fumolt	-|-|-|---|
iriezet dolanz.	----|-|------|
Po ruoiril fu	--⌫|---|-|-|
Soi ̈retsauoirle	|--⌫-|-|-----|-|
Ques aui eenot andespit	--|-⌫|--⌫|-|-|-|-----|
Oci rreseuol tsanzre spit	---⌫--|-|---⌫|---|--⌫---|
Mesainçoisfistunecomplainte	--|-------|---|--|---------|
Duneceintu requ ilot ceinte	|--|------⌫-|-|-|-|-----|
Noeundesch iésaulazcorrant	--|-|--|--⌫---|-|--|------|
Etdital uiseulanplorant	-|--||-⌫-|---|-|------|
HaM orz Commas oragueitié	-|-⌫--|--||-|-|--------|
Quetotsainmefez	--|--|---|-|--|
desheiti é	--------⌫-|
Desheit iez sui nemalne sant	-------⌫--|--|-|--|-|---|
For s d elduelquaucue rmedes cent.	---⌫|-⌫-|---|-|-|---⌫|-|---⌫----|
Cist diaxestmaxuoiremortex.	---|---|--|--|----|------|
Ce uoel ie bie n queilsoitt e x	-|---|-|---⌫|--|-|---|-⌫-⌫|
EtseDe uplest ieanmorr a i.	-|-|--⌫|----|-|-|----⌫-⌫-|
Comant N autremantneporrai	-----||--------|-|-----|
M or irseDam edeunep l est	-⌫--⌫-|-|---⌫---|-|-⌫-⌫--|
Siferai me sq ue	-|----|--⌫|-⌫-|
Cest laz antormagole estraind re	---|--|----|-|---|--------⌫-|
Ensi cuitbien la Mort destra indre	---|---|---|-|---|------⌫----|
Tantquemalg ré	---|--|--|-⌫--|
suen mocirra.	---||------|
M orzqu ionquesnedesirra	-⌫--|--⌫|-----|-|------|
quide lin ontc ure	--|-|-||--|-⌫--|
Ne uialt uenir mesma centure	-|----|----|--|-|------|
La m amanratrestote prise	-||-----|-------|----|
Etd esqueleier tanm a i ustise	-|-⌫-|-|--|---⌫|-|-⌫|-⌫-----|
Do n cfera ele mon	--⌫-⌫|---|--|--|
uoir em estropuanraa lant	----⌫|-⌫-|---|----||---|
Tantsuidesirran s queielaie	---|--|--------⌫|--|-||--|
Lor sn e dem orenedelaie	---⌫|-⌫|---⌫--|-|-----|
Einzmet le lazantorsat este	---|--|-|--|----|-|-⌫---|
Tantquantorlecol li ares te	---|-|----|-|--|-|----⌫-|
ce que ilmal se	-|--|-|--|-|
Lechiefdelaceinturelace	-|----|-|-|-------|---|
Alarçondesa sele	||-----|-|-|---|
Ensi que nus	---|--|--|
aperç o it	------⌫-⌫-|
Pu iss elet	--⌫-|-⌫|--|
uersterre cline r	---|----|-----⌫|
Si seuos tfeiretraïner	-|-|---⌫|----|-------|
A soncheualtantqu	|--|-----|---|-|
i l estaigne	-⌫|-------|
Uneoreplusuiu re nedaigne .	--|--|---|---⌫-|-|------⌫|
te rrecheu ̈l euoient	--⌫--|----⌫|-⌫|-----|
Cil qui auo ec	--|--|---⌫-|
luicheualchoient	--|------------|
S icuidentquepasmezse soit	-⌫|------|--|-----|-|---|
Quenus dellazne sap arçoit	--|--|--|--|-||--⌫------|
Qu antor son	-|----|--|
co l auoitlacié.	--⌫|----|------|
To tmain te nantl ontanbracié	--⌫|----⌫--⌫---||--|--------|
Se lrelieuentantr elor	--⌫|--------|----⌫|--|
E tsiontlors troué lelaz	-⌫|-|--|---|-----|-|--|
Dontil estoitses	---|-|-----|--|
Qua nuiron son	-|-⌫-----|--|
cola uoitm is	--|-⌫---|-⌫-|
S eltran chentmoltisnelemant	-⌫-|----⌫----|---|---------|
Mes lagorge	--|-|----|
siduremant	-|-------|
Li laziustis ie eliot	-|--|------⌫--⌫|-|-|
Q u e depiecepa rlerne pot	-⌫-⌫|-|----|--⌫---|-|--|
Quapone sont lesu oinnesrotes	-||-|-|---|--|-⌫-----|----|
Delcoletdelag orgetotes	--|--|-|-|-|-⌫---|----|
ille u olsist bie n	-|-|-⌫-----|---⌫|
Nesepotmal	-|-|--|--|
feireder ie n.	----|-|-⌫--⌫-|
Cepesoitluiquan le	-|-----|--|-|-|-|
Qu e molt u olantiers soceïst	--⌫|---|-⌫--------||------|
S e n us garde ne	-⌫|-⌫-|----|-|
sanpr eïst.	|-|--⌫-----|
Etquantilmalnese	-|----|-|--|-|-|
pue t faire	---⌫|----|
Sid itHauix	-|-⌫-|-|--|
Morzde putaire	---|--⌫------|
Morz porDeu donnauoiestu	---|--|--|--||-----|-|
Tantde pooir etde	---|-|----|-|-|
Quain z quemada memoceïsses	-|---⌫|--|-|--⌫-||--------|
Espoirpo rce	-----|--⌫|-|
que bienfeïsses	--|---|-------|
Neuolsisfeirene	-|-----|----|-|
Par feleniemesp argna s	--|------||---⌫-----⌫|
Queia netiert ael conté.	--|-|-||---||-|------|
seru ise et	----⌫--|-|
quelbonté	---|-----|
Conlasora nb oen	--||-|-|-⌫|-⌫--|
Dahe zaitquidecest	----⌫|--|--|-|---|
Te mer cien e grétanset.	-|---⌫--|-⌫|---||-|---|
Ie ne sai liquexplusmehet	-|-|--|-|---|---|-|--|
Oulauiequi	-|-|--|--|
Ou Morzqui	-|---|--|
ne meui altocirr e.	-|-|--⌫--|-----⌫-|
Ensi lune etlautrem ocit	---||--|-||----||---|
esta droits e D ex	--||----|-⌫|-⌫-|
Q uemaleoitgr é miensu iuis	-⌫-|------|--⌫-|---|--⌫|--|
Q ue iemedeüsse est re	-⌫-|-|-|------|---⌫-|
Desquemada melarei ̈ne	--|--|-|--⌫-|-|---⌫--|
Memostras anblantdehaïne.	-|-----|-⌫------|-|------|
Nene lefistp a s	-|-|-|---|-⌫-⌫|
sanzr eison	---|-⌫----|
otmoltboene acheiso n	-|---|----|-------⌫|
Mesienesa iquexele fu.	--|-|-|--⌫|---|--|--|
Me ssege leüsse seü	--⌫|-|-||-----|---|
Einzques amealastdeuant	---|--||--|----|-----|
Ie leli eü sseaman d é	-|-|-|---⌫--|----⌫-⌫-|
Siric hema nt con	-|---⌫----⌫-|--|
lipleüs t	-|------⌫|
moimercieüst.	--|----|-----|
DexCist forfezquexestr e	--|---|-----|---|----⌫|
Bien cuitqu e	---|---|--⌫|
esp oirel esot	---⌫--|--⌫|--|
Queiemontai sorlach arrete.	--|-|-----|--|-|--⌫------|
Nes aique l blasmee lememet e	-|-⌫-|---⌫|-----|-⌫-|-|---⌫|
Secest uinon .Cistmatraï .	-|----⌫-|---⌫|---|||-----⌫|
cestuimahaï	-----|||---|
DexC istfo rfez por coimenut	--|-⌫--|--⌫---|--|--|-|--|
Onques Amor s bienneconut	-----|----⌫|---|-|----|
Qui cemetornaareproche	--|-|-|----||-------|
neporroitdire deboche	-|------|---|-|----|
Rien quideparAm orsuenist	---|--|-|--|--⌫--|-----|
Quea repr oche apartenist	--||----⌫---|---------|
amorsetcorteis ie	----|-|-------⌫-|
Quanq u an puet feireporsamie.	-----⌫|-|---|----|--||----|
Po r m amie ne l fi siepas.	--⌫||---|--⌫|--⌫|-|---|
Nes aicomant	-|-⌫-|-----|
Nesais edie amieouno n	-|--|-⌫|--|---|-|--⌫|
Neli osmet rece stsornon .	-|-|-|---⌫-|--⌫-|------⌫|
Mes tantcui t ieda mor sauo ir	--|---|---⌫|-||-⌫--|----⌫-|
Quen eme deüstmie auoir	--|-⌫|-|-----|--|----|
Porceplus uils ele	--|-|---|--||--|
Mesam iuerai meclamast	--|--⌫|----|-|------|
Quantporlim e	----|--|-|-⌫|
sanbloitenors	-------|----|
A f eirequanque	|-⌫---|------|
uialtAmors	----|----|
Ne ïssorcharretemonter.	--⌫--|--|-------|------|
Ce deüst eleamor conter	-|-----|--|---|-----|
la p rou anceueraie	-|-⌫---⌫---|-----|
Amorsensi l essuensessaie	----|---|-⌫-|----|-----|
En s icono isteleles	--⌫-⌫|----⌫--|--|--|
fupas buens	-|--|----|
Cistseruis e sbienleprouai	---|------⌫-⌫|---|-|-----|
Au sanblantqu ean litrou a i.	-|-------|--⌫|-|-|----⌫-⌫-|
Ettote uoie	-|---|---|
Fi stcedo nm aintlion tamis	--⌫-|-|--⌫|-⌫---|-|--⌫|---|
Porlihonteetreproc heetblasme	--|-|----|-|------⌫-|-|-----|
Sai fet cegeu	|-|--|-|--|
donanmeblasme	--|-|-|-----|
Et de madolç or mamertume	-|-|-|-----⌫-||-------|
cartexestlacost ume	--|--|--|-|----⌫--|
quid a morrien neseuen t	--||-⌫--|---|-|-----⌫|
E tq uienoranhonte leuent	-⌫|-⌫-|---|-|----|-----|
Mesqui enor	--|--|---|
anhontemoille	-|----|-----|
Ne laleue paseinzlasoille.	-|-|---|--|---|-|------|
dAmor s no n	|----⌫|--⌫|
Quiensiles uon tdespisant	--|---|--|---⌫|--------|
Etmoltans usdAmorssebote nt	-|---|-|-⌫-||----|-|----⌫-|
Q uis on comandeman tnedotent.	-⌫-|-⌫-|----------⌫|-|------|
C arsanz faillemoltenam ande	-⌫-|---|-----|---|-|--⌫---|
quA morsl icomande	-|-⌫---|-⌫|------|
Etto t es tpardonablechose	-|--⌫|--⌫|---------|----|
Sest fai l lizquifeire	|--|---⌫-⌫--|--|----|
EnsiLancelozsedemante	---|-------|-|------|
E ts a genzest	-⌫|-⌫|---|--|
lezluidolante	--|--|------|
Quile g ardentet qui	--|-|-⌫-----|-|--|
letiennent.	-|--------|
Etan treta ntnouelesuienent	-|--⌫-----⌫-|------|------|
Qu el areïnenestpas mor te.	--⌫|-⌫|-----||--|--|---⌫--|
TantostLance loz seconforte	------|-----⌫--|-|-------|
Etsilauoitfet	-||-|----|--|
Deuantgrantduel et fier	-----|----|---|-|---|
Encorfubie n.c.m.tanz	----|-|---⌫-----|---|
Laioiede sa uiegranz.	-|---|-|-|--|-----|
Etquant i l uindrentdelr ecet	-|----|-⌫|-------|--|-⌫---|
P r es asisli uesoua set	-⌫-⌫-||--|--⌫--|-||--|
Oulirois Bademaguziere	-|-|---|--------|---|
Nouelequ eilotmo lt chiere	-----|--⌫|-|-|--⌫-|-----|
Li fudeLa ncel otcontee	-|-|-|--⌫----⌫-|-----|
S ilauolant iers esc o tee	-⌫|||------⌫---|---⌫-⌫--|
Q uiluitetuient s ain s ethei tiez.	-⌫|-|--|-|----|-⌫---⌫|-|---⌫----|
Moltanf ist quebien afeit iez	---|-|-⌫--|--|---|-----⌫--|
Quelareïne	--|-|-----|
Et eleli resp ontBiax sire	-|--|-|----⌫--|---|---|
Qua ntuosleditesbie n le c roi	---⌫-|--|-|----|---⌫|-|-⌫--|
ilfustmo rzb ien uosotroi	-|---|--⌫-|-⌫--|--|----|
Qu eie nefus se	--⌫|-|-|---⌫-|
i amesliee.	-⌫|--|----|
