asonbonseigneurlooysfilzduroy	|--|--|-------|----|---|-|--|
legouuernement de sat erre fut ele q ue	-|-----------|-|-|-⌫---|-|-⌫--|-⌫-|
touz lesiou r silooit	---|--|---⌫-⌫|-|---|
anot es esheuresetunemes se de	|---⌫|-⌫-|-----|-|--|---⌫-|-|
sanz not e etpuislamessed uiourou du	---|---⌫|-|---|-|----|-⌫|---|-|-|
yc heoitanote.	|-⌫----||---||
ioursils ere posoit	----|-|-⌫|--⌫-----|
apres mangerens o n lit.	----|-----|-|-⌫-⌫|--||
etquantilau oitdormiet reposésidisoit	-|----|-|--⌫--|----|-|------|-|-----|
ensa chambrepr emierementdes morsentre li	-|-|------|--⌫---------|--|---|----|-|
etun des es chapelainsauantquil oit	-|-|-|-⌫-|---------|------|-|--|
s esuespre s.	-⌫-|------⌫||
ooitsescom p lies.	---|--|---⌫-⌫---||
uncordelieruin t a l iauchas t elde	-|--------|---⌫||-⌫|-|----⌫-⌫-|-|
yeres laounous descendimesdemer.	----|-|-|---|----------|-|--||
e t pour enseign er le roydi en so nsermonque	-⌫|---|-------⌫-|-|--|-|-|--⌫|-----|--|
il auoitleulabible	-|----|--|-|----|
et l esliuresqui	-|-⌫-|-----|--|
parlentdesprinc esme screans .	------|--|-----⌫-|--⌫------||
etdisoitqueilne trouuoitne escreans	-|-----|--|-|-|-------|-|-|-----|
nees mescreansque onquesreau me	-|-|--------|--|-----|----⌫-|
s eperdis tne cha niastdeseigneurie aautremezque pa r	-⌫|------⌫|-|---⌫----|-|---------||----|-----|--⌫|
prei ngne gardefist	----⌫---|----|---|
-il le roy qui s	|-|-|--|--||
france queilfassebon droi tet	-----|--|-|----|--|----⌫|-|
hasti fa son peuple parquoy nostresireli	-----⌫||--|-----|--|---|-----|---|-|
seuffr esonroyaume	------⌫|--|------|
a teniren paix	|----|-|---|
tout le coursdesau ie.	---|-|----|-|-|-⌫-||
ceenseignoitlero yg ista	-|---------|-|--⌫|-⌫--||
marseill e la ou nostreseig neurfaitpo ur	--------⌫|-|-|-----|----⌫---|---|--⌫-|
limai n tbel	-|---⌫-⌫|--|
mira cle .	----⌫--||
et neuo ultonques	-|-|--⌫--|-----|
demou rerauecle	-----⌫--|---|-|
royp o urpriereque il	--|-⌫-⌫-|-----|--|-|
sceutfaireque	----|----|--|
u ne seuleiournee .	-⌫-|----|------||
noub liapa s cest enseignement aincois gouu er na	|---⌫--|--⌫|---|-----------|------|----⌫--⌫-|
sa terrebienetloialmentets eloncdieu s i	-|----|---|-|--------|-|-⌫----|---|-⌫|
orrezci apres .	----|-|----||
i l auoit s a	-⌫|----|-⌫|
beso igneattiree	----⌫---|------|
ent ele maniere que mon sei gneurde	-|-⌫--|------|--|--|---⌫----|-|
neell ee t lebon c onte desois sons	-----⌫|-⌫|-|--|-⌫---|-|----⌫---|
etnousaut res quiestion sentour	-|---|---⌫--|--|------⌫|-----|
liqui auions	-|--|-----|
oiesn os messe salions oi r	---|-⌫-|-----⌫|-----|--⌫|
lesplezdelaportequeenappellemainte n ant	--|---|-|-|----|--|-|------|------⌫-⌫--|
lesrequ estes .	--|----⌫----||
etquant i lr euenoi tdu	-|----|-⌫|-⌫------⌫|-|
mous tier i l nous	----⌫---|-⌫|---|
enuoioitquerree ts asseo itaupiedeson lit	-------|-----|-⌫||-----⌫-|-|--|-|--|--|
etnousfesoittouz asseoir	-|---|-----|---|------|
entou r lietnousd ema ndoitse ily auoitnulz	-----⌫|-|-|---|-⌫---⌫----|-|-||----|---|
ad eliurerq uee n n epeustdeliurer	|-⌫------|-⌫-|-⌫|-⌫|----|-------|
sanz l i .	---|-⌫||
etnouslinomm iens etil les	-|---|-|----⌫---|-|-|--|
faisoit enuo ierquerre et i lleurdemandoitpour	------|----⌫--|-----|-|-⌫|---|--------|---|
qu o y neprenezuousceque nos	--⌫-⌫|-|-----|---|-|--|--|
gensuousoffrent	---|---|------|
etildisoient sirequeilnousoffrent	-|-|-------|---|--|-|---|------|
et il leur disoitentelmaniere uousdeuriezbien	-|-|---|-----|-|--|------|---|------|---|
ceprenrequiluousuou droientfai re	-|-----|-|-|---|---⌫------|---⌫-|
et setr aueilloitainsile	-|-|--⌫--------|----|-|
s ai nthome	-⌫--⌫-|---|
p ooir comm entilles mettr oitendroi t euo ieeten	-⌫---|----⌫--|-|--|-----⌫--|-|----⌫-⌫|--⌫-|-|-|
resonna ble.	-------⌫--||
ma intesfoizau i ntqueeneste	--⌫----|---|--⌫-⌫-|--|-|---|
il aloitseoirauboisdeui nciennesapress a	-|----|----|-|---|-|--⌫-------|----|-⌫|
me ss e etse acosto ioita	--⌫--⌫|-|-|------⌫---||
un ches ne	-|----⌫-|
etnousfesoitse oirentourli.	-|---|-----|--⌫--|-----|-||
ettouzceulx quiauoient afaire uen oie nt par lera	-|---|----|--|------||----|---⌫---⌫-|---⌫--||
li sanzdestou r bierde h uissierned au tre	-|---|------⌫-⌫---|-|-⌫------|-||--⌫--|
et lo rsil leurdemandoit	-|--⌫-|-|---|--------|
desaboucheayl ci n ulluiq ui	-|-|-----||-|-|-⌫----|-⌫-|
ai tpartie	--⌫|-----|
etcilse leuoientqui partieauoient etlors	-|--|-|-------|--|-----|------|-|---|
il disoi t taisiez -uoustouzet	-|-----⌫|------||---|---|-|
e nuous de l iuerral	-⌫|---|--⌫-⌫-----||
unapresla u tr e.	-|----||-⌫-⌫--⌫||
etlo rsilappeloit	-|--⌫-|-|-------|
m on seigneur pierre de fonteinne s etmon	-⌫-|-------|-----|-|---------⌫|-|--|
seigneurgeffroy	-------|------|
deuillett e	-|-------⌫|
e ulx deliur ezmoy	-⌫--|------⌫-|--|
ceste pa rtie .	----|--⌫---||
etquantilue oita u cune chose aamend er en	-|----|-|--⌫--|-⌫-⌫---|----||-----⌫-|-|
laparol e deceulx	-|-----⌫|-|----|
quipar loientpourautrui ilmeismes lamend oit de	--|---⌫-----|---|-----|-|------||-----⌫--|-|
le uiaucune f oizen es tequ e	-|-|-----|-⌫--|-|--⌫-|--⌫|
pou r deliurersagent il	---⌫|-------|-|---|-|
iardin deparis une cotede chamelotuestueunseur cot	-----|-|----|--|---|-|-------|-----|-|----⌫--|
dety reteinnesanz	-|--⌫-------|---|
ma nchesun manteldecendal noir ent oursoncol	--⌫----|-|-----|-|-----|---|---⌫--|--|--|
moul t bienpignéetsanz	----⌫|---|-----|-|---|
coi fe etunchapel	---⌫-|-|-|-----|
depaonblancsus sateste	-|---|----|--|-|----|
e tfeso it estendre	-⌫|----⌫-|-------|
tapispourno usseoirentourli.	----|---|--⌫-|----|-----|-||
ettoutlepeupleq uiauoitafaire	-|---|-|-----|-⌫-|----||----|
pard eua nt	--|-⌫---⌫-|
liestoit en tourlien estant.	-|-----|--⌫---|-|-|-----||
etl orsillesfesoitd eliurer	-|-⌫--|-|--|-----|-⌫------|
enla manier equeieuous a i ditdeuant du	-|-|------⌫|--|-|---|-⌫|--|-----|-|
uinci ennes.	-----⌫----||
ie lereuiautref oiz a parisla	-|-|---|----|-⌫--||----|-|
outou zlesprela z defranceli	-|---⌫|--|-----⌫|-|-----|-|
manderentqueil uouloient parlera	--------|--|-|--------|-----||
ala oupa laizpoureulzoir	--|-|--⌫---|---|---|--|
e tlaestoitleuesquegu idausserrequi	-⌫|-|-----||------|--⌫||-------|--|
fu fuizmonseigneu r guillaume	-|---|--|-------⌫|--------|
demello etditauroypour	-|----|-|--|-|--|---|
to u z les prelaz	--⌫-⌫|--|-----|
en tel man iere sirecesseigneurs quici	-|--|---⌫---|---|--|--------|--|-|
sont arceuesques eu esquesmont ditque ie	---|----------|--⌫-----||--|--|--|-|
uousdeis se quelacrestientesep ert	---|----⌫-|--|-|---------|-|-⌫--|
entreuosm ain s.	----|--|-⌫---⌫||
le royssesei gna etdist ormeditescomment	-|---|-|---⌫--|-|---|-|-|----|------|
fis t - il cestpour	---⌫||-||--|---|
ce q ue en prise	-|-⌫-|-|----|
les excommeniemenshu ietleiour quea uant	--|-------------|--⌫|-|-|---|--|-⌫---|
selessen tlesgens m ourirexcommeni és	-|------⌫|--|---|-⌫----|---------⌫--|
f acentabsodre etneueulent fa iresatisfaccionalesglise	-⌫----|------|-|-|------|--⌫--|-----------|||------|
siuousrequierentsirepourdieuet	-|---|---------|---|---|---|-|
pour ceque	---|-|--|
faireledeuez	----|-|----|
queuouscomm andezauospreuos eta	--|---|----⌫----||--|-----|-||
uosbaillifzquetouzc eulzquisouf ferr ontesc om m eniezanet	--|-------|--|---|-⌫---|--|----⌫----⌫--|---⌫--⌫-⌫----|-|-|
iourqueenlescontreingn e par	---|--|-|--|----------⌫|--|
laprisedeleu rbiensacequeil se	-|----|-|---⌫|----||-|--|-|-|
fac ent absoudre.	---⌫--|-------||
respondileroys qu eille urcomman dero it	-------|-|---|--⌫|-|--⌫-|------⌫----⌫-|
uolentiersdetouz	---------|-|---|
ceulzdo nte nle	----|--⌫-|-⌫|-|
feroitcertein quei le us senttort	-----|------|--|-⌫|-⌫--⌫---|---|
e tleuesquedit que	-⌫||------|--|--|
ilne le f eroientanul feur	-|-|-|-⌫------||--|---|
queil l i d euei ssient lacourtdeleur cau s e	--|-|-⌫|-⌫----⌫-----|-|----|-|---|---⌫-⌫|
roylidist queil	--|-|---|--|-|
n e le feroitautr ement.	-⌫|-|-----|----⌫----||
car ce seroi tcontred ieuetcontre	--|-|-----⌫|-----|-⌫--|-|-----|
raisonseil con treignoitlagentaeulzabs ou d re	-----|-|-|---⌫--------|-|---||---|---⌫--⌫-⌫-|
qu antl escler sleu rferoie nt tort .	--⌫--|-⌫-|----⌫|---⌫|------⌫-|---||
etde ce fistler oyuouse n doins	-|-|-|---|-|-⌫-|---|-⌫|----|
ieunexemp leduconte	-|-|-----⌫-|-|----|
deb retaignequi	-|-⌫-------|--|
aplaidéseptansauspr elas	|------|---|--|--|--⌫---|
debretai gne toutexcommenie ́.	-|------⌫--|---|----------⌫||
a esploitiéquel a postoleles aco nd empnez	|---------|--||-⌫------|--||--⌫--⌫-----|
dontseie e usse	---|-|-|-⌫---|
cont raint le	----⌫----|-|
contedebretaingne lapr e mierea nn eede l ifai re	----|-|---------|-|--⌫-⌫----|-⌫--⌫-|-|-⌫|---⌫-|
abso ud reie mef euss emeffait enuers d ieuetuer s li	----⌫--⌫-|-|-|-⌫----⌫|------|-----|-⌫--|-|---⌫|-|
etlorsse soufrirentlesprelaz.	-|---|-|---------|--|-----||
neonquespu isn enoyparl er que d emandefeust	-|-----|--⌫-||-|-|----⌫-|--|-⌫-----|----|
faitedeschosesde sus	----|--|-----|--⌫--|
lapaix qu ilfist a uroy d angleterre	-|---|-|-|---|-⌫|--||---------|
fist-il co ntrelauolen tedesonconsei l	---||-|--⌫---|-|-----⌫-|-|--|------⌫|
lequelli disoi t sire ilnou s	-|---|-|-----⌫|---|-|---⌫|
semblequeuous perdéslaterre queuou sdo nnezau	-----|--|---|------|-|----|--|---⌫|--⌫---|-|
roy dangleterre pour	--||---------|---|
cequeil ny adroit	-|--|-||||----|
p erela perdipar	-⌫--|-|----|--|
iugeme nt.	------⌫-||
etac er espondi leroy que ilsauoitbi en	-||-⌫|-⌫------|-|--|--|-|-----|--⌫-|
quele royd an gleterr e n i	--|-|--||--⌫-------⌫|||
auoitdroit.	----|----||
auoitresonparq uoy	----|----|--|-⌫--|
il lideuoit	-|-|-----|
bi en donner .	--⌫-|-----||
car nou sauond eux seursaf emmese ts ont	--|---⌫|---|-⌫--|----||-⌫----|-⌫|-⌫--|
nosenfantsco usinsgerm ains	--|------|--⌫----|----⌫---|
pa rquo y ilaff i e rtb ienquepaizy	--⌫|---⌫|-|---⌫-⌫-⌫-|-⌫--|--|---||
ilmestmoultgra nthonneurenla	-||--|----|---⌫-|------|-|-|
paixque ie foizau r o yd	---|--|-|---|-|-⌫-⌫||
anglete rrepourceque ilest mon hom e	-------⌫--|---|-|--|-|--|--|---⌫|
ce queilnestoit pasdeuant	-|--|-||-----|--|-----|
l ale aulte du	-⌫|--⌫----|-|
roypeut lenueoirouf ait de monseigneur	--|---|--|----|-|-⌫--|-|--|-------|
det riequi ausain t u nes l ettres	-|-⌫--|--|-|----⌫|-⌫--|-⌫-----|
les quiexdisoientqueleroy auo i tdonn é aus hoirs	--|----|-------|--|-|--|---⌫-⌫|----⌫-|--|----|
lacontesce debouloingne quimorte	-|-------|-|---------|--|----|
es t oitnoue llement	--⌫-⌫--|----⌫------|
lade danm artinen	-|-|----⌫----|-|
le seau delalettre estoit	-|---|-|-|-----|-----|
b risiés i queiln iauoit der eme nant	-⌫-----|-⌫|--|-|||----|-|-⌫---⌫---|
fors quelamoitiedes	----⌫--|-|-----|--|
i ambesde lymagedus eellero yetl	-⌫----|-||----|-|-⌫--|-|--⌫|-||
es cham e lsurquoy lir o ystenoit	--⌫----⌫-⌫|--|---|-|-⌫-⌫-|-----|
ses pie z.	--|---⌫||
etil lenousmoustra a tou z quiesti onsde	-|-|-|---|------||---⌫|--|----⌫--|-|
son cons eiletque nousliaidissonsaconseiller	--|----⌫--|-|--|---|-|--------||---------|
nousdeismes trestuitsanz	---|------|-------|---|
nul d esc ortqu e	--|-⌫---⌫--|--⌫|
il n estoitderiens tenu a	-||-----|-|----|---||
la lettremettr ea exe cution.	-|-----|-----⌫||---⌫-----||
et lors il	-|---|-|
dita iehansa rrazinsonchamberlain que	--||----|--⌫-----|--|----------|--|
illi b ail las tlalett re queil	-|-|-⌫---⌫---⌫|-|----⌫-|--|-|
com man dee et	---⌫---⌫--|-|
si fist -i l.	-|---||-⌫||
qua ntiltintlalettreilnous	---⌫-|-|---|-|-----|-|---|
ditseigneursueezci	--|--------|---|-|
quoyie aua ntqueiealasse outrem er	---|-|---⌫----|-|-----|------⌫-|
et uoi tonclerparc e seel	-|---⌫|-|---|--|-⌫|---|
quel em pr ein te duseel	--||--⌫--⌫---⌫-|-|---|
briséestsemb lable ausee lentier parquoy	-----|--|----⌫----|-|---⌫|-----|--|---|
ien oseroieenbonn econscience	-||------|-|----⌫|---------|
conteeret enir .	-----|---⌫---||
et alorsil	-|----|-|
appelamonseigneurrenaut det rie et	-----|--|-------|-----|-|-⌫--|-|
li distie uous	-|---|-|---|
rentlacontee .	---|-|-----||
d ieule tout puissant auons	-⌫--|-|----⌫-------|----|
c iarier eescriptespartiedebones	-⌫|-----⌫|--------|-----|-|----|
p arol ese t	-⌫----⌫-|-⌫|
de bonsenseig ne mensno stresaintroyloo yspource qu e	-|---|------⌫--⌫---|--⌫---|----|--|---⌫-|---|-|--⌫|
cilq uil esorr ontle struissentles une s	--|-⌫-|-⌫-|---⌫--|--⌫|--------|--|---⌫|
apreslesautresparquoyil	----|--|-----|--|---|-|
en puissent miexfaireleu r	-|-------|---|----|---⌫|
profizquecequeellesfeussentes cr ipte sen tresesfaiz	-----|--|-|--|----|-------|--⌫--⌫----⌫|--⌫--|--|---|
et siapre sc ommenceronsde ses faizen nom	-|-|----⌫|-⌫----------|-|--|---|-|--|
dedieue ten	-|---|-⌫|-|
aussicommeieli	----|----|-|-|
oy dire il fut néleio ursaint	-|---|-|--|--|-|--⌫-|----|
marc euua ngelisteapresp asques.	---|----⌫-------|----|-⌫-----||
celiiourporte	---|---|----|
l encroixpro cessionsen moultde lie x et	-⌫-|----|---⌫-------|-|----|-|---⌫|-|
en fran celes a ppelelen les croiznoire s	-|----⌫-|--|-⌫----|--|--|----|-----⌫|
dontcefu aussicom meu neprophec ie	---|-|-|----|---⌫-|-⌫-|-------⌫-|
dela gr antfoisonde gens qui m o u rurent	-|-|--⌫--|-----|-|---|--|-⌫-⌫-⌫-----|
encesde uxcr oisemens cest a	-|--|--⌫-|--⌫-------||--||
sa uoir en celideegypte ete n	--⌫---|-|---|-|-----|-|-⌫|
l autre laouilmourut	|----|-|-|-|-----|
encar thage.	-|---⌫----||
quemaintgran tdeul	--|----|----⌫|---|
en furentencest mondeet	-|-----|-|---|----|-|
maintes gransi oi es	------|----|-⌫--⌫-|
enp aradisde	-|-⌫-----|-|
ce ulzquiencesd eu xpeleri nages	--⌫--|--|-|--|-⌫--⌫|------⌫----|
mourur enturaiscr oisiez .	------⌫--|----|--⌫-----||
i lf utcoro nne ́le	-⌫|-⌫-|----⌫---⌫|-|
premierd ymanchedesaduens .	------|-⌫------|--|-----||
lecommencemen t	-|-----------⌫|
decelidimanc hedela	-|---|------⌫-|-|-|
cequisen suitapresetains ib iaus sired iex	-|--||--⌫---|----|-|----⌫|-⌫---|---|-⌫--|
ie le ueraim	-|--⌫----||
toyiemefieen toy	--|-|-|--|-|--|
en dieu otmoult	-|---|-|----|
grantfia nc eiusques alamort car	----|---⌫--⌫|------||-|---|--|
mour oi tensesdarreni eres pa ro les reclamoit il dieu e tses	----⌫--⌫|-|--|-------⌫---|--⌫--⌫--|--------|-|---|-⌫|--|
sainset es pecialme ntmon se igneur saint iaq ue	----|-|--⌫--------⌫-|--|--⌫-----|----|---⌫-|
et mada mesainte geneuieue .	-|-|--⌫-|-----|--------||
dieuen qu iilmists a fia nce	---|-|--⌫|-|---|-⌫|---⌫--|
legardoittouz	-|------|---|
i oursdess enfance iusquesala fin	-⌫---|--||------|------||-|--|
etespecialment	-|-----------|
ensenfanc e legarda- illa	-||------⌫|-|----||-|-|
ou ilfubien mestier sicommeuo usorre z	-|-|-|---|------|-|----|--⌫-|----⌫|
co mm ealame de lil ega rdad ie upar	--⌫--⌫|||--|-|-|-⌫|--⌫--|-⌫--⌫|--|
lesbo nsensei gnemens desamereq uilenseign a	--|--⌫-|-----⌫------|-|-|---|-⌫-||-------⌫|
croir eetaamer et li attrai t	-----⌫|-||---|-|-|------⌫|
ento urlit outes gens	----⌫-|-|-⌫----|---|
de religion .	-|-------||
et lifaiso itsi e nfant commeilesto it	-|-|-----⌫-|-|-⌫----|----|-|----⌫-|
toutes sesheu resetle sserm ons	-----|--|---⌫--|-|--⌫|----⌫--|
faireetoir	----|-|--|
ausfestes .	--|-----||
il recordoitquesa	-|--------|--|-|
mereliauoit	---|-|----|
faitauc u ne foizaentend re	---|---⌫-⌫-|---||------⌫-|
q u ee lleameroit mie x	-⌫-⌫|-⌫--|------|---⌫|
qu eilf eust	--⌫|-|-⌫---|
mortque ce que	---|--|-|--|
il fei stunpechiemortel	-|---⌫-|-|-----|-----|
bienlifumestierqueil eusten	---|-|-|------|--|-|---|-|
saio enescelai dededi eu.	-|--⌫-----||--⌫-|-|--⌫-||
carsamere qui estoit ue nue deespaigne	--|-|---|--|-----|--⌫--|-|-------|
nauoitneparen s neamis	|----|-|-----⌫|-|---|
royaume defrance .	------|-|-----||
etp our cequelesbarons de fra nceuire nt	-|-⌫--|-|--|--|-----|-|---⌫--|----⌫-|
enfa n tetlaroyne samerefemme estrange firent	----⌫-⌫|-|-|----|-|---|----|-------|-----|
-i ld uconte	|-⌫|-⌫|----|
deb ouloingnequi estoit	-|-⌫--------|--|-----|
o nclel e ro yleurch ieuetai net leteno ient aussicomme	-⌫---|-⌫|--⌫|---|--⌫-------⌫|-|-|----⌫---|----|----|
po ur s eigneur .	--⌫-|-⌫------||
apres ce q uele roy	----|-|-⌫-|-|--|
f utco uronné	-⌫-|--⌫------|
otdesba rons	-|--|--⌫---|
q u irequi strentalaroyn egr anz	-⌫-⌫|-----⌫-----||-|----⌫|--⌫--|
te rres que	--⌫---|--|
eleleurdonast.	--|---|-----||
etpourceque e llen enuoultrie nsfaire	-|---|-|--|-⌫--||-|----|---⌫-|----|
si s assemblerenttouzlesbar on s a	-||-----------|---|--|---⌫--⌫||
co rbeil .	--⌫----||
conta le saint royqueilnes a	----|-|----|--|--|-|-|-⌫|
merequiestoie nt a mo ntleheri ne oserentreuenira paris	---|--|------⌫-||--⌫-------|-|------|------||----|
iusq u e s atantque ceulx	----⌫-⌫-⌫|-------|----|
d e p aris les uindre nt	-⌫|-⌫---|--|------⌫-|
q uerr e aarmes.	-⌫----⌫||----||
etmec o ntaquedesmontl eher iestoitlecheminplein	-|-|-⌫-⌫--|--|--|-----⌫----⌫|-----|-|-----|----|
aa rm esetsanz armesius qu esapariset	|-⌫--⌫-|-|---|----|---⌫--⌫-||----|-|
quetouzc rioienta	--|---|-⌫------||
nostrese igneurqueil	-----|--⌫-----|--|-|
lidonn ast boneuieet longueet le	-|----⌫--|---|--|-|-----|-|-|
d effenditetgardastd eses enne m is.	-⌫-------|-|------|-⌫|--|----⌫-⌫-||
etdieusi fistsicom me uous orrez ciapres	-|---|-|---|-|---⌫-|---|----|-|----|
a ceparlementquelesbarons	|-|--------|--|--|-----|
firentacorbeilsi comme len dit establirentlesbaro ns	-----||------|-|----|--|--|----------|--|----⌫-|
qulafurent	-|-|-----|
queleboncheual ierlecontedebretaigne sereuelero it	--|-|--|------⌫--|-|----|-|--------|-|--------⌫-|
contr ele roy .	-----⌫|-|--||
e tacorderentencorequeleur cors	-⌫|---------|-----|--|---|---|
iroi entaumandementque leroyf eroit	----⌫--|-|--------|--|-|--|-⌫----|
contreleconteetchascunn auroita uec	-----|-|----|-|------||-----|-⌫--|
liquedeu xche ualiers	-|--|---⌫|---⌫------|
etcefirent -ilpourue oir sele	-|-|-----||-|---|--⌫--|-|-|
bretaignepourroitfoulerla royn equies t r angefemme e st oit	--------|-------|-----|-|----⌫|--|--⌫-⌫-⌫---|----|-⌫--⌫--|
si comme uous au ezoy.	-|----|---|--⌫-|-||
et moult degent di entque	-|----|-|---|--⌫--|--|
leconte eust foule ́la royne et	-|----|---|-----⌫|-|----|-|
leroy sedieu	-|--|-|---|
neustaidiéauroya celbesoi ngqui	|---|-----|-|--||--|-----⌫-|--|
laidequ edi eulifistfu	|---|--⌫|--⌫-|-|---|-|
telequelecon te tybautde champa igne	---|--|-|---⌫-|-----|-|------⌫---|
quipuis furoy	--|---|-|--|
de na ua rreuint seruirleroy atoutt roisce ns	-|--⌫--⌫--|---|-----|-|--|----|-⌫---|--⌫-|
cheua liers.	-----⌫----||
etparlaide qu e le	-|--||---|--⌫|-|
co ntefistauroycouuin t uenir le c onte	--⌫--|---|-|--|------⌫|----|-|-⌫---|
debretaigneala mercil e roy	-|--------||-|----|-⌫|--|
dont illessaauroypa r	---|-|----|-|--|--⌫|
paixfaisant lacont eede	---|------|-|----⌫-|-|
ang osi commelendit et la conteeduperche	---⌫|-|----|--|--|-|-|-----|-|-----|
pourceque il affiertarament euoi raucuneschoses que	---|-|--|-|------||------⌫----⌫|------|-----|--|
uo usorrez ci apresm e couuientlaissie r unpoud e	--⌫-|----|-|----|-⌫|-------|-------⌫|-|--|-⌫|
mamatiere .	-|------||
ainsique lebonconte	----|--|-|--|----|
henridelargeotdelacontescemariequifu	----|-|----|-|-|-|-------|----|--|-|
seura u royd efranc ee tseur auroy	---|-⌫|--|-⌫|-----⌫|-⌫|---|-|--|
rich art d angeleterre deux	----⌫--||----------|---|
f ilzdont l	-⌫--|---||
a insneo t n on	-⌫----|-⌫|-⌫-|
henr ietlautrethybaut.	----⌫|-||----|------||
cehenr ilainsne enalacro isiéenlasain te	-|----⌫||-----|-|--|---⌫----|-|-|----⌫-|
terr e en pe ler ina gequant lero yphelippeet leroy	----⌫|-|--⌫---⌫---⌫-|----|-|--⌫|-------|-|-|--|
richa rtassiege rentac reet	-----⌫-|-------⌫---|--⌫-|-|
lapristrent.	-|--------||
sitostcomme	-|---|----|
priselero y phelippesen reuint	----|-|--⌫|-------||-|-----|
enfrancedont ilenfumoultblas mé.	-|-----|---|-|-|-|----|----⌫--||
etler o yrichartd emour ae nlasainte terr e	-|-|-⌫-⌫|------|-⌫-----⌫|-⌫|-|-----|----⌫|
et fisttant	-|---|---|
d e granzfaiz quelessarrazins ledoutoi enttrop	-⌫|----|---|--|--|--------|-|------⌫--|---|
s i commeil	-⌫|----|-|
este scri ptouliuredela terresa in teque	--|-⌫----⌫-|-|----|-|-|----|--⌫--⌫-|--|
quantlesenfanssarrazins braioie n tlesfemmesles	----|--|-----|--------|-------⌫-⌫|--|-----|--|
escrio ient etleurdisoi enttaisi ezuousuezc i le	------⌫---|-|---|-----⌫--|-----⌫-|---|--|-⌫|-|
roy richa rt	--|-----⌫-|
et p ou re ulxfaireta ire.	-|-⌫--⌫|-⌫--|----|--⌫--||
etquan tl escheuausaussarazins	-|----⌫|-⌫-|------|--|-------|
etaus bedu ins	-|--|----⌫--|
auoient poo urd	------|---⌫-||
unbysson ild isoienta l eurcheuau s	-|-----|-|-⌫------||-⌫--|------⌫|
cuides-tuquecesoit	-----||-|--|-|---|
lero yricha rt	-|--⌫|-----⌫-|
ceroyrichartpourc hassat antqu e	-|--|------|-----⌫----|-⌫--|--⌫|
ildonnaaucon tehenri	-|----|-|---⌫-|----|
de champaingne qui	-|----------|--|
estoitdemouréaueclilaroynedei erusalem qui	-----|-------|---|-|-|----|-|-⌫-------|--|
estoitdroither du royaume.	-----|----|--|-|------||
del adite royne ot le	-|-⌫|---|----|-|-|
c ontehenri	-⌫---|----|
deuxfilles dontl apr emierefu troyne de	---|-----|---|-⌫|--⌫-----|--⌫|----|-|
cyp re etlautre	---⌫-|-||----|
herart de b rienne dont grant	-----|-|-⌫-----|---|----|
lignage est issu	------|--|---|
sicomeila ppertenfrance etencha mp a i ngne	-|---|-|-⌫----|-|-----|-|-|---⌫--⌫-⌫-⌫---|
de lafemmemonsei gneurerart debriennen e	-|-|----|--|---⌫----|----|-|------|-⌫|
uousdirai -ieoreriensaincoisuousparlerai	---|----||-|--|----|------|---|-------|
d eroynedecyp r equiaffiertmaintenan tama	-⌫|----|-|---⌫-⌫|--|------|---------⌫||-|
matiere et dirons ainsi apres ceque le	------|-|-----|----|----|-|--|-|
r oy eust fouléleconteperron	-⌫-|---|-----|-|----|-----|
de b retaingnetuitliba rondefrance	-|-⌫--------|---|-|--⌫--|-|-----|
furents i troublez enu ers leconte	-----|-⌫|-------|---⌫--|-|----|
tyba utde champaingneque il	----⌫-|-|----------|--|-|
o rentconse il deen uoierquer relaroynedecyp req ui	-⌫---|-----⌫-|-|--⌫----|----⌫-|-|----|-|---⌫-|-⌫-|
e stoitf ille	-⌫----|-⌫---|
delain s n efi lz de champain gnep o ur desheriter	-||---⌫-⌫-⌫|--⌫-|-|--------⌫--|-⌫-⌫-|---------|
le conte tybautqu iestoit	-|----|-----|--⌫|-----|
filzdu secontf il	---|-|-----|-⌫-|
dech ampaingne.	-|--⌫--------||
aucund eu lzse ntremistr entdap aisierl e	----||--⌫-||-⌫---------⌫--||--⌫-----|-⌫|
conteperronaud itcontetybaut	----|-----|-|-⌫-|----|-----|
la chosepourparlee	-|----|---------|
detelm aniere que	-|--|-⌫-----|--|
le contetyba ut promist queilprenroitafe m mela	-|----|----⌫-|------|--|-|-------||--⌫-⌫-|-|
fill ele conte	----⌫|-|----|
perr on debretaingn e	----⌫-|-|---------⌫|
prisequ elecont e de	----|--⌫|-|----⌫|-|
champaingn edutla damoiselle espous e r et li dutamener	----------⌫|--|-|---------|------⌫-⌫|-|-|--|-----|
pou respouse ra unea bb aie	---⌫|-------⌫||--|-⌫--⌫--|
depre m oustrequiestd elezchastel-thierriqueen	-|---⌫-⌫-----|--|--|-⌫---|------||------|--|-|
appelle ual	------|--|
secresicomme i	----|-|----||
quiesto ientauq ues touzpare nsle conteperronsepenerent	--|----⌫---|---⌫--|---|----⌫-|-|----|-----|-|-------|
defaireamene r l ad emoisell eaualsec repourespouse r	-|----|-----⌫|-⌫|-⌫--------⌫||--|---⌫-|---|-------⌫|
etm anderent leconte	-|-⌫-------|-|----|
de champaingnequi estoitachastel	-|----------|--|-----||------|
et endementieresq ue le contedechampaingneuenoit pour	-|--------------⌫-|-|----|-|----------|-----|---|
es pouser.	--⌫-----||
monse igneur	--|--⌫-----|
geffroy de la chapelle uint a	------|-|-|-------|---||
