enlenorn ostresegnior	-||---|-⌫----|------|
uenuzissicum tu limandaso b sol ame ntquaranteche u al iers	----|---|--|-|-|-----|-⌫|---⌫---⌫-|-------|---⌫-⌫--⌫---|
e parol es ob l uitot	|-----⌫-|-|-⌫-|--|
l orzs armaaigu o lanze si	-⌫--||---|----⌫-⌫---||-|
distausmess agiersalez uose nesidite s	---|--|----⌫-----|---|--|-⌫||-|----⌫|
auostre roi	|-----|--|
quilmatende	-|-||-----|
aiguol anzne cuidot mieque cofustkarlesqui ot	------⌫--|-|-----|--|--|-|---|-----|--|-|
luip arlot	--|-⌫----|
e tot issi connutkarlesa i g uolant es i esgardakarles	|--|---|-----|-----|-⌫-⌫-⌫-----||-⌫|------|-----|
quieupa rt ele esteit	----|--⌫-|--|-----|
plus legierea prendre euit toz	---|------||------||--|--|
l esroisquiauoe caiguol a nte sto ient .	-⌫-|---|--|----⌫|------⌫-⌫-|-⌫---⌫---||
epu is s isen	|--⌫-|-⌫||-|
re to rnaases quarante	--⌫--⌫--||--|-------|
cheualiersquilau oita mont laissez	---------|-|-|--⌫--|-⌫---|------|
a latan tquilu incausdeusmirecheualiers	-⌫-|---⌫|-|-|-⌫--|--|---|---|---------|
ai guola nzsialamolt tostapresobset	--⌫-----⌫-|-|--|---|---|----|-|--|
mir esarraz insarmez per cocar i l	---⌫|------⌫--|----|--|-|--|-⌫|
lesuoloientocir ree	--|-------|----⌫-||
karles et ozlesoutres	-----||-⌫-|--|-----|
mes karle ssa percutmoltbien.	--|-----⌫||-⌫-----|---|---||
ediloe c simanda	||----⌫|-|----|
a aiguolantquil	|--------|-|-|
li rendi stlacitee aiguolanzne	-|-----⌫-|-|---||--------|-|
rendremes i len	-----|--|-⌫|-|
prist oblui b atall iep e rtel couenanceque lac itez	----|-|--|-⌫-----⌫-|-⌫-⌫|--|--------|--|-|-⌫---|
fusta celui quiuentroitsonconpagni on.	---||----|--|-------|--|--------⌫-||
l eio rn auant de labatallie sifurentn os tre	-⌫|--⌫-|----|-|-|-------|-|-----|-⌫--⌫--|
crestientuit armée lendemain	-------|---|----|||-------|
sifurentde ui seeslesb atallieseusprez	-|-----|--⌫--⌫---|--|-⌫-------|--|---|
qui su n t entrelacit ee	--|--⌫-⌫|----|-|---⌫||
t allieborcquiesteitmolt bonsc hasteau ssor e	-⌫--------|--|-----|---|---|-⌫-------⌫|---⌫|
as s isqu ianom charante.	--⌫-⌫-|--⌫||--|-------||
teusi otde nozcr estianzqui ato rnaren tlor z	---||-|-|--|--⌫------|--|---⌫------⌫|---⌫|
l ancese aprestar entsi	-⌫----||--------⌫--|-|
les ficha rent totes dr oitesdeu an t lorz a rberg i es.	--|-----⌫---|----|--⌫----|---⌫--⌫|---|-⌫-----⌫-⌫-||
a len demai n	||--⌫-----⌫|
qu a nt ilsel euarentsilestrou arent totesuerscuuertes	--⌫-⌫-|-|-|-⌫------|-|--|----⌫----|----|---|-------|
descorce seder ampzed e	|-------⌫||-|-⌫---||-⌫|
f ollies totes	-⌫-----|----|
leslances ac eausqu ienla	--|-----||-⌫---|--⌫|-|-|
batalliedeuoientmori rere ceuremartyre	-------|-------|----⌫||--⌫----|------|
perihes ucrist.	--|----⌫|----||
cil ogren t	--|-----⌫|
molt grant	---|----|
ioiedecelmiracl esit rencharent lor la ncesres	---|-|--|------⌫|-|-⌫---------|--|--⌫---|--|
es ase mblaren teferirentp rem ierenlaba talliee	||---⌫-------⌫||-------|-⌫---⌫--|-|-|--⌫-----||
molthiocisdrent daussarrazin s .	---|-|--------|---|--------⌫||
mestotesuo iesreceur e ntmartyrecarfurent	--|----|--⌫--|------⌫-⌫-|------|--|-----|
li numbres deausquifurento c is	-|------||---|--|-----|-⌫-⌫-|
si fudequatr emire	-|-|-|-----⌫|---|
elicheuauskarlequil	|-|------|----|-|-|
seo it sifuocis desoz	---⌫-|-|-|---|----|
karl esfumoltgr euezper l afor cedes	----⌫-|-|---|--⌫---|--|-⌫|---⌫-|--|
cheuaus aus sarrazins	------|--|--------|
si fu api e si	-|-||--⌫|-|
pristc uereretrei ntse sgenz elesfi ttoz	----|-⌫--||------⌫-|--⌫|---||--|--⌫|--|
siocistmoltdaussarrazins eli	-|----|---|---|--------||-|
outres arrazinnepogrentpl us	----|-⌫------|-|------|--⌫-|
labatal l ie sosfri rcar ilestoientmoltla s	-|-----⌫-⌫-|------⌫|--|-|-------|---|--⌫|
deceau squ ilauoientocis.	-|----⌫|-|-|------|---||
sis e n entrar ent	-||-⌫|------⌫--|
enla cite.	-|-|---||
ekarlesala apre sesiles assiste	|-----|--|----⌫||-|--|-----||
acein ttotlemurala	-----⌫|--|-|--||-|
reondeforsquant c e luideuers leue .	-----|---|----|-⌫-⌫--|-----||--||
lanuitapr esaiguola nzsenessidelacite	-|---|---⌫-|-------⌫-||-|---|-|-|---|
permileueekarlemainesentr aa pre se n	----||--||----------|----⌫|-⌫---⌫|-⌫|
eo ci sttoz ce aus quineuog rentestre	|-⌫--⌫-|--|--⌫--|--|-|---⌫---|----|
cres tien .	----⌫---||
BIBI.hunau tfitbaptizere	-|--|-----⌫|--|-------||
tozsesconpa gnions e furentbapti zéenl ig lise	--|--|-----⌫-----||-----|-----⌫--|-||--⌫---|
saint bebien.	----|-----||
eturpins sicerc hia totesles ygl ises	|------|-|----⌫--|----|--|---⌫---|
uilecofu lapremierequ	---|-|-|-|-------|-|
ilt rouaquelasaintbebien	-|-⌫---|--|-|----|-----|
apressitroua	----|-|----|
i celesa i ntle o faireapresicele sainttroian ou	-⌫---|--⌫-⌫-|--⌫-⌫----|----|----|----|-----|-|
licorsdelui gisoit .	-|---|-|--|-----||
molt fi t deusdem iraclesper	---|--⌫|---|-|-⌫------|--|
carqu ant li roisde	--|--⌫--|-|---|-|
t oloset en eitlacitedelleposelle siauoit	-⌫----|-⌫--⌫--|-|---||----------|-|----|
un son preosten lauilequ iun bon	-|--|-----|-|-|---|--⌫|-|--|
h omequesainz troianzau oitba pti zédeses	-⌫--|--|----|------|--⌫--|--⌫---⌫--|-|--|
efitlorendre	|--|-|-----|
cent solseiqu eauscen ts olstramist au	---|---||---⌫---|---⌫|-⌫--|------|-|
roidetolose .	--|-|-----||
equantillestramist laisid euin d rentcharbon .	|----|-|--|------|--|-|-⌫----⌫-⌫---|------||
e quan t lirois	|----⌫|-|---|
le suit si distqueoucun damagie	--⌫|--|-|---|--|----|------|
auoitlom feitaubonhome	----|--|---|-|--|---|
etramis t les	|------⌫|--|
liroi s arr eireaubonhome	-|---⌫|---⌫---|-|--|---|
equantlibonshom lestin t	|----|-|---|--|--|---⌫|
sifurentdenierbon .	-|-----|-----|--||
apres co turpinsuincaumostier saint soloine etroua	----|-|------|---|-|------|----|------||----|
iloecla uiede l ui .	----|-|--|-|-⌫-||
e guodomiressi auoi tfeit ociresa intsymon pres	|---------|-|----⌫|---|----|--⌫--|----|---|
delac itedorliens .	-|-|-⌫--||------||
coque pesaasaintsoloine	-|--|---||----|------|
silo f it ocire e	-|-|-⌫-|----||
si liauoitas sezser ui	-|-|----|--⌫--|---⌫-|
eiteumeriteen	|---|-----|-|
ot guo domiresque cinca nz enesta	-|---⌫------|--|---|-⌫-|-|---|
mainz miracle s fitdeus persaint	----|-------⌫|--|---|--|----|
soloinea sa morte asa uie.	------||-|---|||-|--||
eapre strouaturpins	|----⌫|----|------|
liglisesaint ma cou qui	|-----|----|--⌫--|--|
fuunsd aussetsainz debret agnieacuili	-|--|-⌫--|--|----|-|----⌫----||--|-|
losse ruid esabuscheporter	--|--⌫--|-⌫|-|-----|-----|
perc oquil	--|-⌫|-|-|
li auoitmangi és onane .	-|----|-----⌫-|-⌫-|--||
BI.apres trou atu rpins	--|----|----⌫|--⌫----|
l iglisedaugloriosmartyrsa inteytro pe.	|-----|--|------|-----|--⌫--|-----⌫-||
iquistsai nzeytropessifu fil z	-----|---⌫-|-------|-|-|---⌫|
al amirautdebabilo ine	||------|-|------⌫--|
iquistboneurezsai nz	-----|-------|---⌫-|
eytr opes quan toiparlerde	----⌫---|----⌫|-|-----|-|
n ost re s egnior	-⌫---⌫-|-⌫-----|
silalaquerreefuau	-||--|-----||-|-|
miracledauspe isson s	------|---|--⌫-----⌫|
edaucincp ainseicof u	|--|---|-⌫---||--|-⌫|
epuistornasen dequi	|---|----||-||---|
e ala enb abiloinea son	|--|-|-⌫-------||--|
pere e a s a	---|||-⌫|
mereedi s tles noue les denos tre	---||--⌫-⌫|--|----⌫--|-|---⌫--|
segnior el esmirac le sq uilfazoiteconuer t it molt	------||-⌫-|-----⌫--⌫|-⌫|-|-----||------⌫-⌫-|---|
grantgent a laloi nost resegnior .	----|---||-|--|----⌫-|------||
equa ntsainzeytropes fu to rnez	|---⌫-|----|-------|-|--⌫---|
en saterreliiue ogrentmis	-|-|----|-|--|-----|--|
nostreseg ni orencroiz	-----|---⌫--⌫-|-|----|
eiltorn aenie rusalem	|-|----⌫|-|--⌫------|
arreireefu molt	------||-|---|
pas sion nostr esegnio redequi sen	---⌫---|-----⌫|------⌫|||---||-|
tornaen laterre son	----|-|-|----|--|
pere edonottrente iues	---||----|-----|---|
perundenieref i t lestozdeserit e r	--|-|-----||-⌫-⌫|--|--|-------⌫-⌫|
econue rtitsai ntypol i te e saint trillo	|-----⌫---|---⌫-|----⌫-⌫-||----|-----|
esaintfremie moltgran t	|----|----||---|----⌫|
po blealalo iihesucr ist .	--⌫--||-|--⌫|----|--⌫--||
epuissenala sainze ytropesa usapost reso b	|---||-|--|----|-⌫------|-⌫-|-----⌫--|-⌫|
ses trois conpagnions.	--|----|----------||
ala enant ioche obeus eobmon segnior	--|-|---⌫----|-|--||-|--|------|
sa int deni s.	--⌫--|----⌫||
e missi re	|--|--⌫-|
sainz p ierescomanda	----|-⌫----|------|
alastpreech ier	----|------⌫--|
a elleposelle lono m	|----------|-|--⌫|
nostresegni or emenas tobse isestroisco npag n ions	-----|-----⌫-||-----⌫|-|--⌫|--|----|--⌫----⌫-⌫---|
eamonsegniorsaintdeniscomandaquil	||--|------|----|----|------|-|-|
alastapa ris.	----||--⌫--||
e part irentseilidui	|----⌫----|--|-|--|
conpagniona a ucoi r e .	---------||-⌫----⌫-⌫||
equan tsainzeytropesuincaellep oselle si pr edica	|----⌫|----|-------|---||-----⌫-----|-|--⌫----|
lo nomnostresegnior eoncn ipoec	-|--|-----|------||--|||---|
co nuertir fors quan t e utellela filleau	--⌫------|---|----⌫|-⌫-----|-|----|-|
roi hunaut.	--|-----||
sainz esperizs efumisenceste dame s iama	----|------|-⌫|-|--|-|----|---|-⌫|--|
moltsa inzeytropeslo nomnostre	---|--⌫--|-------|-|--|-----|
e quant sa inz eytropesparlo tdenostre	|----|--⌫--|-------|-----⌫|-|-----|
segn ioril esteitbatuz	----⌫--|-|-----|----|
me sicestedames ancte	--⌫|-----|---|-⌫----|
eutellel engarisseit.	------||-|--------||
eenapres colimanda	|-|----|-|-|----|
sainzmarcausquil	----|------|-|-|
alast parlera luiabordeu	----|-----||--||-----|
eilh i ala	|-|-⌫|--|
sa inzeytrope squesainzpie resesainz	--⌫--|-------⌫|--|----|---⌫--||----|
esteines e stoientmorteque	-------|-⌫------|---||--|
deusfazoitmol t	---|-----|---⌫|
granzm iraclespe reaus .	----|-⌫------|--⌫|---||
dequi ala s ain z eytropesa	|---|--|-⌫---⌫|-------||
romee trouahi	---||----|-|
saintclimenzeuitle sm iracles quedeusfazoi tper	----|------||--|--⌫|-⌫------|--|---|-----⌫|--|
monsegniorsaint piere eparl aotmo n	--|------|----|----||----⌫|-|--⌫|
seg nior sa int	---⌫---|--⌫--|
emissiresainzc l imenz li	|--|---|----|-⌫-⌫----|-|
demandaquilau eit feit a	------|-|-|--⌫--|---||
ellepos elle.	-------⌫---||
lid istquerienzn	-|-⌫--|--|----||
i auoitfeitfors e utellelafillieau roihun aut	|----|---|---|-⌫-----|-|-----|-|--|---⌫--|
car lesgenzde	--|--|---|-|
lauileestoien t	-|---|-------⌫|
mo l tmales	--⌫-⌫|----|
de man d ali missiresa inz climenz	--⌫---⌫-⌫|-|--|---|--⌫--|------|
queus u ileco	----|-⌫--|-|
ei lli dist	|-⌫|-|---|
que molt estei tbe leeriche	--|---|-----⌫|--⌫-||----|
euee deriueire	--||-|------|
edefores .	|-|----||
adoncli com andasa inz climen zqu	----|-|---⌫---|--⌫--|------⌫|-|
ilsenretornastarreire e predicas tlo	-||-|--------|------||--------⌫|-|
nom nostr esegni ora utamentelesmira cle squilauoit	--|-----⌫|-----⌫-|-⌫------||--|----⌫---⌫|-|-|----|
ueuquedeu sf a zoitper mon segniorsaint piere.	--|--|---⌫|-⌫-⌫---|--|--|------|----|----||
eilsif it.	|-|-|-⌫-||
soreunpoi z u ne	---|-|---⌫|-⌫-|
croized equipredi chotaut ement lopoble .	----|||---|-----⌫---|---⌫----|-|----||
e a ces teuenueco nuertit mol t daupoble.	||---⌫-|----|--⌫------|---⌫|--|----||
emolt louolo ient oir eescoter.	|---|-|----⌫---|--||------||
lesmere trizdelauilesalerentclamer	--|----⌫---|-|-|---||------|-----|
hunautedistrent liqu etotesagen t auoitperd ue	-----||-------|-|--⌫|---|-|---⌫|----|----⌫-|
cartuitest oienteneyt rope.	--|---|---⌫----|-|---⌫---||
e e quimoimesihitramisth unauzuint deses	|-⌫--|----|-|-|------|-⌫----|---|-|--|
foresti ers desamai sonelor distquil	-------⌫--|-|-|---⌫--||--|---|-|-|
equantsai nzeytropes lesui tuenir	|----|---⌫-|-------|--|--⌫|----|
se gniaetuitcreurenten de ueil les ba ptiza	--⌫---||---|-------|-|--⌫||-|--|--⌫----|
e hunauzlo rfita toztre nchi er	|-----|--⌫|--||--|---⌫----⌫-|
le s testese	--⌫|-----||
a pres h i trami stoutresuinte ilf itou tretel.	-⌫---|-⌫|-----⌫-|-----|---||-|-⌫-|--⌫-----||
ehu nauzlesfit ocire ense ment.	|--⌫---|--|--|----|----⌫---||
apres hitramis t	----|-|------⌫|
sonfil eses	--|--||--|
uaslezdesa	-----|-|-|
chan bre .	----⌫--||
esanzeyt ropes les conuertitenseme ntcome lespremiers	|---|---⌫----|--|--------|------⌫-|---|--|-------|
hunau z futmoltirezedol anz d eson	-----⌫|--|---|---||---⌫--|-⌫|--|
filedesagentquil auoitfeitocire	--||-|-|---|-|-|----|---|----|
ealas enclamer ausbrust iers	|--||-|-----|--|-----⌫---|
e lordistquil	|--|---|-|-|
le litues so nt.	-|-|----⌫--⌫-||
eilsifi rent.	|-|-|--⌫---||
qua ntsainzetyropes	---⌫-|----|-------|
l esuit u enirancoisq uilm or i stsif u	-⌫-|--|-⌫---|-------⌫|-|-⌫--⌫-⌫-|-|-⌫|
molt dolanzdeceausqui mort estoient egité	---|-----|-|----|--|---|-------||----|
leuasachierecontre locel	---|-|-----|-----|-|--|
e lesoi lz e les ma i nz e fit	|--|--⌫-||--|--⌫-⌫-||--|
iceuproieireanostre segniorsirebea us	---|-------||-----|------|---|---⌫-|
deusihesu cri saié sdeceausmerciquipertoi	---|----|---⌫|----⌫|-|----|----|--|--|--|
s untmart i riz équ il ne s oient condamp n é	-⌫--|----⌫-⌫---⌫-|-|-|-|-⌫----|-------⌫-⌫-|
ancois soiententonr eg ne etuitcil	-----|-----|-|--|-⌫--⌫-||---|--|
qu iq uer re meu endronte perton nom	--⌫|-⌫---⌫-|-|-⌫------||--|--|--|
meproier o nt ob teisoientenregi on	-|------⌫-⌫-|-|--|-----|-|----⌫-|
eequi moimequesainz eytropesfumorz li angre	|---|----|--|----|-------|-|---|-|----|
pridrentlocors de luies il oseuelirent a	-------|-|---|-|--||-⌫|-⌫|---------||
quil a uoit f eite	-|-|-⌫---|-⌫---|
enleno rsai n tsauueor.	-||---⌫|---⌫-⌫|------||
esainzfremi z mori en i cel	|----|-----⌫|---|-|-⌫--|
moime ior.	----|--||
el endemain les gen z delaterr equine	||-------|--|---⌫|-|-|----⌫|--|-|
uoiantprenoientl esance ytrope	-----|--------|-⌫|---|-⌫-----|
e tochoien ta	|--------⌫||
e moimes hunauz etuit li son	|-----|-----||---|-|--|
senco nuertirent ano st res egnior.	|-|--⌫---------||--⌫--⌫-|-⌫-----||
eli prison	|-|-----|
qu e hunauzauo it	--⌫|-----|---⌫-|
ensaprisone n	-|-|-----|-⌫|
icelemoimeq uesainz eytrop e sfu	----|----|-⌫-|----|------⌫-⌫|-|
martirizezs	---------||
eschaparenteen	----------||-|
po rtare ntlesf ers eles fuslai o u	--⌫-----⌫-|--|-⌫--||--|--|--|-⌫|
sainz eytropes gi soit .	----|-------|--⌫---||
adonc meru elliatozlimondesdausfers	----|----⌫----|--|-|-----|---|---|
e dausfuscumil	|---|--|--|-|
hiauoien testéporté.	-|------⌫|----|-----||
eadonc senconuertit	|----||-|--------|
totzlipob les qui	---|-|---⌫--|--|
ael l eposelle apartenoit.	|--⌫-⌫-------|---------||
co mandaliempere ires que lom fis t	--⌫----|-|------⌫---|--|--|---⌫|
de soreu ne	--⌫---|-⌫-|
abeiedetrentecheno inesenlenorsaint	----|-|-----|-----⌫---|-||---|----|
udusoirequifu euesquese	-------|--|-|-------||
confessors.	---------||
ea ncoisquecist mi racle fusso nt	|-⌫-------|---|--⌫----|-----⌫-|
sou morisainzypolitesen	--|---|----|-------|-|
u nloe c q uia	-⌫|---⌫|-⌫-||
nom presde	--|---|-|
la ch a rantee	-|--⌫-⌫----||
nostresiresfitmainz miraclesperlui.	-----|----|--|----|-------|--|--||
bonsro isquantoi	---|--⌫-|----|-|
lesmi raclesque deus fazoit	--|--⌫-----|--|---|-----|
per icezglorios martyrsordena euesqu een	--|---|------|------|-----|------⌫|-|
lauile e comanda ahun au t qued	-|---||------||---⌫--⌫|--||
oreena uan t	--|-|-⌫---⌫|
fustl eiauscrest ianze	---|-⌫----|-----⌫---||
que garda stlauilee de leh oree n a ua nt	--|-----⌫-|-|---||-|-|-⌫--|-⌫|-⌫--⌫-|
fusta peleela citez xaincte s	---|-⌫----|-|----|-------⌫|
li bonsroi slai	-|---|---⌫|--|
oulesastes	-|--|----|
dauslancesausbaronsflorirent eliangr e	---|-----|--|-----|--------||-|----⌫|
lesorentse ueli	--|----|--⌫---|
equifita doncune chapeledesaint	---|--|-⌫---|--|------|-|----|
ethi mistliemper eir eschenoinesedona yymir e	-|-|---|-|-----⌫---⌫-|--------||---|-|---⌫|
eoutretantdargent	|--------||-----|
saint eytropeperamor deus	----|------|--|---|---|
bar ons quiequig isoie nt .	---⌫--|--|---|-⌫-----⌫-||
BI.aprestotcosiuincaiguolanz	--|----|--|-|-|---|--------|
obgrantna uiepercharente	-|----|--⌫--|--|-------|
eam enamoltgrantgentearibaaupo rtde	|--⌫--|---|----|---||----|-|--⌫-|-|
equi se conbatikarles o blu ieocistli	---|-|------|-----|-⌫|--⌫||----|-|
dozemiresa rraz ins	---|---|--⌫----⌫--|
li franceis quimoriren tenicelebatallie	-|-------|--|-------⌫|-|----|-------|
duimire e nfurent por t éliun a sa i nt	--|---|-⌫|-----|---⌫-⌫-|-|-||--⌫-⌫-|
eytropeaurelianderome furentseuelia une y glise	------|-------|-|---|-----|-----||--|-⌫----|
de saint sisttres	-|----|---|---|
liglise sai nteytrope	|-----|---⌫-|------|
eaurelianzfuseuelizenliglise saint	|--------|-|------|-||-----|----|
eytropeetuitl i	------||---|-⌫|
o u tre furent	-⌫-⌫--|-----|
s euelie au	-⌫----||-|
o hamain tes u e rtuz .	|-|----⌫--|-⌫-⌫---||
BI.e ices te batallie feite sen passa	--||----⌫-|-------|----||-|----|
ka rlesamontro mpniesor l a fo ntaineougist sancte	--⌫---||------⌫----|--|-⌫|--⌫-----|-|---|-----|
e equit roualibonsr oislessarrazinsesi	|---|-⌫---|-|---|-⌫--|--|--------||-|
lesenchaucaiusquaun pas eequi troua	--|-------|----||-|--||---|----|
uniaiant qu iauoitnom guo liasesis	-|-----|--⌫|----|--|---⌫---||--|
chiuau sbaucans	------⌫|------|
etc elui pasgardot ob uintmire	-|-⌫---|--|-----|-|---|---|
cres tiensarrazins que aiguol anz liauoitliure ́	----⌫---|--------|--|------⌫--|-|----|-----⌫|
k arlescomandaaocgierlo	-⌫----|------||-----|-|
daneis qui l entras tpre miersou	-----|-|-⌫|------⌫|---⌫----|-|
pasob uin tmirec re stienseguoliasferi	--|-|---⌫|---|-⌫--⌫-----||------|---|
premiers ocgier slod aneise	-------|------⌫|-|-⌫----||
l abati de s on	|----|-|-⌫-|
apreslui si	----|--|-|
uincli duxnaimes	---|-|--|-----|
si ferilesarra z i nde son gl aiuesiquemort	-|---|-|-----⌫-⌫-⌫|-|--|--⌫---|-|--|---|
apresfitmont ero cgie r lodaneis.	----|--|----⌫-|-⌫----⌫|-|-----||
ocgiers si ferilofila lamir autde perse	------|-|---|-|--|||----⌫--|-|----|
esil ocist	|-||----|
adon csi tornarentenfuielisar raz in totd roit	----⌫|-|--------|-|---|-|---⌫---⌫-|--|-⌫---|
alanauie afo rra seli	|-|----||--⌫---⌫||-|
outrea chast elallion	----||-----⌫-------|
en fuiantsenentra	-|-----||-|----|
ob eaussicumdeuplotsespeeensa	-|---|-|--|--|---||----|-|-|
maint reitee ocistto z lessarrazin sde	---|-⌫----||----|--⌫|--|--------⌫|-|
lauilequi ne croi antn ostre seg nior	-|---|--|-|----⌫--|-⌫----|---⌫---|
sicomandala uile a	-|------|-|---||
talliafer de leonqui com ps	--------|-|---|--|---⌫-|
estei t de qu	-----⌫|||-|
illa ga rdastetotela	-|-|--⌫----||---|-|
terreiu squa sanctemar ie	----|--⌫--||-----|---⌫-|
delaporte deu qui	-|-|----|--|--|
estsobrese ur e.	--|----|--⌫--⌫||
apressen t orna	----||-|-⌫---|
roislai o ula batallieauoit estéeequi	---|--|-⌫|-|-------|----|----||---|
fituneyglisedesaintgirmainq uapelet	--|--|-----|-|----|------|-⌫|-----|
lom a sain tgirma indel	--||----⌫|-----⌫-|-||
eschalier p erune es c haili e desarra zinsqui	--------|-⌫-|--|--⌫-⌫-----⌫|-|-----⌫---|--|
furent morteequif it seuelirtozsescre s tiens	-----|---||---|-⌫-|------|--|--|---⌫-⌫----|
apr esenfit	---⌫-|-|--|
une ou t re	--|--⌫-⌫-|
yg lisedesaint lorenzoufuseueliz	--⌫---|-|----|-----|-|-|------|
li cuens de girone.	-|----|-|-----||
BI. apres ocgi ersl idan eis	--|----|----⌫--|-⌫|---⌫--|
passa la c hara n te ob sesa l emanz	----|-|-⌫----⌫-⌫-|-|--|-⌫-⌫----|
apres senala fontain ede.	----||-|--|-------⌫|-||
eaiguolansquant hosotsi	|--------|----|-|--|-|
semistapres obd eus cenz mire	-|---|----|-|-⌫--|---|---|
sarrazins .	--------||
e conbatiseiobocgiereferi	|------|--|-|-----||---|
gauti erdalemagniedes e spee perle	-----⌫-||--------|-||-⌫---|--|-|
chiep s ique mort l o g ita.	----|-⌫|--|---|-⌫|-⌫--||
quant aiguolanz	----|--------|
sotqueueneitsis e nfoi a mon trompni e.	--|--|-----|-||-⌫|--||---⌫-------⌫||
karles quant uinc en labat allie	-----|----|---|-|-|---⌫----|
e uitse sbarons morzsi ot	|--|--⌫|-----|---|-|-|
m olt gra nt doel	-⌫--|---⌫-|---|
sif it troischapelesou les	-|-⌫-|----|-------|-|--|
seu e litlaprem ei re	---⌫-⌫--|-|----⌫--⌫-|
fudesaint piere e quif umi s e	-|-|----|----|-⌫--|-⌫|--⌫-⌫|
late stea l arc euesqu earueen unboi al	-|--⌫--|||---⌫------⌫|---|-|-|---⌫-|
queocgiers	--|------|
loutreyg lise sifudesain t saor ninougist	|----|--⌫---|-|-|-|----⌫|----⌫--|-|---|
gautiersdalemagniees oiconpag nion.	-------||--------||-⌫-|------⌫---||
asa nc te m arie	|--⌫--⌫-|-⌫---|
dauportgisen tli o u tre conpagnion enzen l ig l is e	--|---|-----⌫|-|-⌫-⌫--|---------|--|-||--⌫-⌫--⌫|
BI.aprescoseg uikarlesaiguolantenmarem pnie	--|----|-|---⌫-|-----|--------|-|-----⌫---|
e quantil fu lai sifum oltnuiz.	|----|-|-|--|-|-|-⌫--|---||
equifitkarlesoreison	---|--|-----|------|
anostre segni orlialong ialei orep l us	|-----|-----⌫-|-|-----⌫-|-|-⌫-||-⌫-⌫-|
fuaaque troi	-|-|--|---|
eq uifer i karlesperaiguolan t	--⌫-|---⌫|-----|--|--------⌫|
ep er sagen te situa	|-⌫-|-|---⌫||-|--|
des a razinsdiz mire.	-|-⌫-⌫-----|--|---||
eaiguolanzsen foien oleironob	|--------||-|--|-|------|-|
la batal lie fu apelet lomaluzac .	-|-----⌫--|-|-----|--||----||
en f ualeeka rles s egui apres.	-|-⌫|---|--⌫---|-⌫---|----||
equantaigulanz ho	|----|-------|-|
sot elisonsi semistrent enlor	--||-|--|-|-|-------|-|--|
na ui eealerent s e n	--⌫--⌫||------||-⌫|
BI.karle scerchia	--|-----⌫|------|
totoleironeturpin s	--|------||------⌫|
troua une c ha pele enoleiron si n otmolt	----|--|-⌫--⌫---|-|------|-||-|---|
grant ioiep er coquelees teitde n ostredame	----|---|-⌫-|-|-|--|--⌫---|-|-⌫----|---|
ougistl a rce uesqu esdantio chetreslouter	-|---||-⌫---⌫-----⌫-||-----⌫--|---||----|
e quifur entfil li es dauroi	|--|---⌫--|---⌫--⌫-|--|--|
eicest e anti ocheperitcumfitsodomee guomorre.	|-----⌫|----⌫---|----|--|--|-----||-------||
eniceste c hapeleha mo ltgrantsanctuaire	-|-----|-⌫-----|-|--⌫-|----|---------|
la fairekarlesp er lamone sta ment	-|----|-----|-⌫-||-----⌫---⌫---|
apresfitf eire ka rl esoutreyglise	----|--|-⌫---|--⌫--⌫-|----|-----|
desaintdenis.	-|----|----||
apresquant senessi	----|----||-|---|
karle sdole ironsifit fei reli g lises ain tpiere	-----⌫||---⌫---|-|--|---⌫-||-⌫-⌫---|-⌫---⌫|----|
e mis t higuilliaume lo ro sseau pe r	|---⌫|-|---------|-|--⌫----|--⌫|
BI.eapressis enu incasaugion	--||----|-||-|-⌫--||------|
prissi lodonaatalliafer d el eon	---|-|-|---||--------|-⌫|-⌫--|
au com pte d.	-|---⌫--|||
uinc ka rle saanseune e	---|--⌫---⌫||------||
si ladonaagu arine	-|-|---||--⌫---||
tote later red	---|-|---⌫-||
guar ins li	----⌫--|-|
cuens fi tlabeied e e turpins	----|--⌫||----|-⌫||------|
sacralouterdeuerslacloitre	----||----|-----|-|------|
ouilmistmol trichesa nctua i re.	-|-|---|---⌫|----|--⌫-----⌫-⌫-||
apresn os ena la mes al i gli ses aint	----|-⌫-|-|-⌫--⌫--|||-⌫---⌫-|-⌫---|
saorninoutrouameslocors	------|-|-------|-|---|
saint ualentin.	----|-------||
apre snos enala mes a didonee	----⌫|--|-|---⌫--||-----||
a s u sac epresimestote	|-⌫-⌫--||-------|---|
la te rre .	-|--⌫--||
eauc hiep desusacfit karlesun e	|-|-⌫---|-|----|--|-----|--⌫|
cha pelede	---⌫---|-|
saint roman	----|----|
BI.a prescoliuindrent noeles	--|-⌫---|-|-|-------|-----|
ak ar leque li	|-⌫--⌫-|--|-|
sarra zindaus auoient co rre u	-----⌫--|---|------|--⌫---⌫|
ax ainteseauoientl imol tmor tdesa	|-⌫-----||------|-⌫|---⌫|---⌫|-|-|
genttrentemiree nhie sto i ent.	---|-----|---|-⌫|-|-⌫---⌫-⌫--||
lib onsr o isquant h o	-|-⌫--|-⌫-⌫-|----|-⌫|
sotsi uincap re s	--|-|---|--⌫--⌫|
e aiguo la nz esteita	|-----⌫--⌫-|-----||
mau retagnieob deuscenz	---⌫-------|-|---|---|
mi resarrazins	--⌫-|--------|
e mi sseiau deua ntkarles amontbasiron	|--⌫|--|-|----⌫-|-----||---|------|
