L AFI LLE	--⌫|--⌫--|
de l ce ler.—Sire faitTiebaus fdont	--⌫|--⌫---||---|---|-------⌫|---|
ledirai i ou pui s keienenp uis	-|----|-⌫-|---⌫|-|-||-|-⌫--|
estredép or té smais uol ont iers	----|----⌫--⌫---⌫|---|---⌫---⌫---|
mendeport aisse sll	|-|------⌫----||-|
uousplaisoit	---|-------|
g ca r e l conterne	|--⌫|-⌫|-----|-|
gistmiegr anspreu s ne ( fol.717d)	---|--|--⌫--|----⌫|-|-⌫---|--|-|
g rans hou-neurs. — Tiebautfait li	-⌫---|---------||------|---|-|
q ue nspu isl iel a paroleest	-⌫--⌫-|--⌫-|-⌫-|-⌫|-----|--|
si auantmenee sach ie ́ skeio uh uo el	-|----|----|----⌫--⌫-⌫|-|--⌫||--⌫-|
sa u oir entresa itk ilicheualiersfu a	--⌫-⌫--|-------⌫-|-⌫|-|---------|-||
cuicesteauentureauintetuousconiur par	--|----|-------|----|-|---|-----|--|
laif oi ke uousdeue ́s aDiu e t a	-||-⌫-|-|---|----⌫-||--|-⌫||
moiaprie ́s	--|-----⌫-|
kkeuousmedit e s ki l icheu aliersfupuis	|-|---|-|---⌫-⌫|-|-⌫|----⌫-----|-|---|
lesaués.—Sirefaitm es i r e	-|------||---|---|-⌫--⌫-⌫-⌫|
Tiebaus iel uou s	------|--|---⌫|
d iraisourç ouque uousmaue ́sconiurét	-⌫-------|--⌫-|--|---||---⌫-|--------|
etbienuo el keuo us 1 sa chi ésdemuoir	-|---|--⌫-|-|--⌫-||--⌫---⌫--|--|---|
suilicheualier sacuicesteauentureauinte tke	--|-|---------⌫||--|----|-------|----|-⌫|-|
uersionXIIIp017	--------------|
qens .Sirefait ilce	----⌫|---|---|-|-|
fuii o.—Do ntfucemafille	--|-⌫-||--⌫-|-|-|-|----|
cuien siauint—Sire faitil uoire.—	--|--⌫-|----||---|---|-|-----||
T.fait il*bien en	-|---|-||---|-|
es tesue ngiésqu iramenee le ma ués.	--⌫--|--⌫-----|--⌫|------|-||-⌫----|
irequilauoi tila pielal adameet	--|-|-|----⌫|-|-⌫----|-⌫|---|-|
l idem andas e uoirsestoi tquemesireT.	-⌫|---⌫---|-⌫|----|-----⌫|--|-----|-|
auoitdite t elledemandaCoi	----|--|-⌫|---|------|--|
— Qensile uausisteso cire.—S ire fait elle	||---|-|--------|-⌫----||-⌫--|---|---|
oïl.—Pourqueleua usistes uousf aire— Sire	----||---|--|-|--⌫------|---|-⌫---||---|
faitellepo urçou	---|---|--⌫-|---|
qen coremepoiseke ione le fis .	|--⌫---|-|----|-|-|-|-|---⌫|
Li qens lai s a ceeste ret la	-|---|---⌫-⌫|-|----⌫|-|-|
cort départir mais	---|--------|---|
---------------- ----------- ----	----------------⌫-----------⌫---|
uersionXIII(2)p01 7	----------|--|---⌫|
d olanset abosmé sensenmoncueret bi ens ac iés	-⌫----|-|-------⌫|--|-|--|---|-|--⌫-|-⌫--⌫---|
certaineme ntke a onques maisn enparlai	----------⌫-|-||-----|---||-|-----|
anule amebu iuante t	|---|--||-⌫----|-⌫|
e nc fui sseiou	-⌫-|---⌫--|--|
u olentie rsatargiésd	-⌫-------⌫-|--------||
doucon terseiluo us	--|---⌫--|-|-|--⌫-|
pleüs t.Liequensqua nt il otoïe cest e	------⌫-|--|----|---⌫-|-|-|---|----⌫|
auenture sifudolans et abaubise t	-------|-|-|-----|-|------|-⌫|
s e teutgran tpiecheet	-⌫|---|----⌫|-----|-|
nedist mot.	-|---|---|
Etena priésfquantilparlasi distT iebautdont	-|-|-⌫------|----|-|----|-|---|-⌫-----|---|
fuçoumaf ille acuiceste	-|---|-|-⌫---||--|----|
auentureauint— Sir efait	-------|----||---⌫|---|
iluoi re.—Tiebautfait liquensb iene nestes	-|---⌫--||------|---|-|----|-⌫--|-⌫|----|
guengiés pui ske	|-------|---⌫|-|
ram eneelem	---⌫---|-||
aués. A la g rantire	-----||-|-⌫---|--|
k eli q uensa uoithsi api elasafilleet li	-⌫|-|-⌫---|-⌫----|-|---⌫--|-|----|-|-|
demanda seçou estoituo irs k e mesir e	------|-|---|-----|--⌫--|-⌫|-----⌫|
Tiebaus auoit dit e t eledemandaChoi—	------|----|--|-⌫|--|------|---||
Q ueien s i leu ausistes ocirecom	-⌫-||--⌫-⌫|-|-⌫-------|----|--|
macontét .— Sirefait ele	||-------⌫||---|---|--|
oïl.—Pour1coileua usistesuousf aire—	----||----|--|-|--⌫------|---|-⌫---||
S irefaiteiepor	-⌫--|---|--|--|
çou(f ol. 317e)ke	---|--⌫--||-|-|-|
enc ore mepoisem keiou ne	---⌫--|-|----||-|--|-|
lenfisetke iou	-||--|-|-|--|
9. —Li q uens	-||-|-⌫---|
laissaçou0e ster	-----|----|-⌫---|
s ouffri ke lacoursfust d e ́parti emaisp	-⌫-----|-|-|----|---|-⌫-⌫------⌫|---||
deden sletierçiour aprie ́suintli	-----⌫|-|-----|---|-----⌫-|---|-|
u ers ionXIIIp018	-⌫---⌫----------|
dedenslesecontioru int liq ensa Ru e 1	-----|-|-----|--|-⌫--|-|-⌫--||--⌫||
surle mer e t mesireT. et	--|-|--|-⌫|-----|-|-|
ses fixetfist ledamea mener.Li qens	--|--|-|---|-|---|-⌫-----|-|---|
fist. i.bate laparellie r fort	---|-⌫-|----⌫|---------⌫|---|
e t bienportantsefist	-⌫|---|------|-|---|
led ame métré ens etsi (fol.208b)	-|-⌫--|------|--|-|-|----|--|-|
fistmetere. i. tone let fue tpoi	---|-----|-⌫-|----⌫|-|-|-⌫|--|
et ilen trèrentto ut.lii.	-|-|--⌫-------|--⌫-|----|
auoecs anscompagniedautre	----|-⌫--|--------||----|
gentfo rsdesmaronniersquil e s	---|--⌫-|--|---------|--|-⌫-⌫|
me nèrent.Etfistli	--⌫-------|-|---|-|
q e nsnagierbienli i. liues e nmer etqua nt il	-⌫-⌫-|-----|---|--⌫-|----|-⌫|--|-|---⌫-|-|
uinrentlai l	------|-|-⌫|
fistduntonellun desfions ferir hors	---||-|----||-|--|----|----|---|
lad ame ki m olt	-|-⌫--|-|-⌫--|
ertbe lee t	--|--⌫-|-⌫|
bienacesmee si le fi st	---|------|-|-|--⌫-|
mét r éoutoneletfi stle fons ref erir apre ̀s	----⌫-⌫-|-|----|-|--⌫-|-|---|---⌫---|----⌫-|
bien repoieretlebonde nel	---|------|-|-|-----⌫--|
siratirerkia ue nipeüst	-|------||--⌫-|||-----|
entreretfistletonelme ́ trésu r	-----|-|---|-|----|--⌫-⌫---|--⌫|
l e bortde lenef	-⌫|---|-|-|--|
silebouta de	-|-|----|-|
---- ------ ---------------------	----⌫------⌫--------------------|
uersionXIII(2) p0 18	----------|--|--⌫-|
Rueso rl a	--|--⌫|-⌫|
meretm esireTieba us	--|-|-⌫----|-----⌫-|
etli fiu s leconte.Li	-|-|---⌫|-|-----|-|
quensfista mene rle	----|---|-⌫----⌫|-|
dame auoe ci aus.Li quensf ist apareilli er	---|----⌫|-⌫---|-|----|-⌫--|---------⌫-|
.i.for tbateletbienpo rtantsi fis ta dame	--|---⌫|----|-|---|--⌫----|-|---⌫||---|
entrer ense tsi i fistmétr é	-----|--|-⌫|-||---|-----⌫-|
.i.tou nieltout	--|---⌫---|---|
nuef fort et grant	---|---|-|----|
e tafuprés.Il	-⌫-|-|-----|-|
ent rèren t e n sbtout troisans plusde compaig nied	---⌫------⌫|-⌫-⌫-|---|---|---|---|-|-------⌫--||
autre gent f ors kedes	----|---|-⌫--|-|--|
marounier skil esmenèrent et	---------⌫|-|-⌫-|--------|-|
sefist li q uensnagierbien.ii.liuesenmer	-|---|-|-⌫---|-----|---|---|----|-|--|
et moutsesmi erue illoit ca scunsq ueilpen soitm ais	-|---||----⌫----⌫-----|--⌫----|-⌫-|-|---⌫---|-⌫--|
n usneliosso it dem ander.Etqua ntilf urentsi	-⌫-|-|-|----⌫-|---⌫-----|-|---⌫-|-|-⌫----|-|
aua nt enmer	---⌫-|-|--|
comme uousaués oïli	----|---|----|--|-|
quen s fis tdeitounel	----⌫|---⌫|--|-----|
lundesfon sfer irhors e tp rist	|-|--|---⌫|---⌫-|---|-⌫|-⌫---|
la dame kiestoitsafille et ki	-|---|-|-----|-|----|-|-|
mou t estoitbiele etbienacesmeed	---⌫|-----|----|-|---|-------|
si lefiste ntrereltonelu eleuausistu	-|-|---|-⌫----|-|----||--|------||
nonetf is teferirlefo ns	--|-|-⌫--⌫-|----|-|--⌫-|
après lit anto stetbienapare illieret lepontenailfi st	-----|-|-⌫----⌫-|-|---|-----⌫-----|-|-|--------|--⌫-|
tantostrestou-perf etra ioindreke eue nipeüstentrer	------|----------|-|--⌫------|-|--|||-----|-----|
gen nulemaniéré.Li que nsf istmétré letouniei	|-|---|---------|-|---⌫-|-⌫--|------|-|------|
sorlebor tdela	--|-|---⌫|-|-|
nef.Ilmei ̈ smes se scors	---|-|---⌫-⌫---|--⌫|---|
em p ainstle	--⌫-⌫----|-|
tounie let	------⌫|-|
b outae nlam eret	-⌫---|-⌫|-|-⌫-|-|
uersionXIIIp019	--------------|
senpie ́en lemer puisle	--|---⌫|-|-|--|---|-|
commanda au uent et	-------|-|---|-|
asond es.Moltenfumesire T.	-|---⌫--|---|-|-|-----|-|
dolansetsesfre reil	-----|-|--|---⌫-|-|
likeïr e ntaspiés et liprièrent	-|-----⌫-⌫-|-|----|-|-|--------|
pourDi uqued e cetorme ntl epeüs entoster. Il	---|--⌫|--|-⌫|-|-----⌫-|-⌫|-----⌫--|-----|-|
ne leuruaut	-|---|---|
io. —Ma isançoi skeli qens	--||--⌫-|------⌫|-|-|---|
terere p ai rie ́s uint.i.	---|--⌫-⌫--⌫---⌫-|---|--|
né s marcea n de deuersFlandresqui	---⌫|------⌫-⌫-|-----|-------|--|
s en alo iten	|-|---⌫-|-|
Sarra s ins pourgaangnieretui rent1le	-----⌫-⌫--|---|--------|-|--⌫----|-|
tonelfloteret distli uns u és	----|-----|-|---|-|--|-⌫--|
la.i.t o neluuitsenous	-|--|-⌫-⌫--|---|-|---|
------------------------------ -	------------------------------⌫|
uersionXIII (2)p0 19	----------|--|--⌫-|
distIoutecommans(fo l. 317 f)as	---|--|-|------|---⌫-|--|-|-|
uens etason de sîMout en	---|-|-|--⌫--⌫|-|---|-|
fil me sireTiebaiisdolans e tli f rerès aladame	--|--⌫---|-------|-----|-⌫|-|-⌫-----||-|---|
ausiettoutc ilkiçou uirent e ta cai ̈re nt	---|-|---|-⌫-|-|---|-----|-⌫-|---⌫---⌫-|
toutas piés	---|-|----|
leconteetliproie ren tpourDiu bmierc hike c	-|----|-|-|-----⌫---⌫|---|--||-----⌫-|--⌫|
d eltormentlepe üscentoster	-⌫-|------|-|--⌫------|----|
etdéliurer.Liquens ki moute stoi tcourouchiés e t p lains	-|---------|-|----|-|---|-⌫----⌫|-----------|-⌫|-⌫----|
d d egrantirenelor	|-⌫|----|--|-|--|
u autotroii er pour	-⌫--|------⌫-|---|
uau-sissentefairene direne proiier. Atant leiaissier entester	-----------|----|-|---|-|-------|----|-|--------⌫--|----|
etpr oiere ntaIh esu	-|--⌫-----⌫-||--⌫--|
Crist le souurainpe re keil par s atrèsgra nt	----|-|-------|--⌫-|-|-|--|-⌫|----|---⌫-|
debonairetéeüst mi erchif	-----------|----|--⌫-----|
de lameetfes istK p ar dondeses	-||--|-|---⌫---|-⌫--⌫--|-|--|
mesfai sh .Ensi‘	------⌫|-⌫|---||
ont l aissié iadameagrant	--|-⌫------|-|---||----|
mesciiief etiengrantpéril si com	--------|-||-|----|-----|-|--|
uous auésoï	---|----|--|
deuantelcontee ts en retournè r ent.	-----|-|----|-⌫||-|---------⌫-⌫---|
No s treksire s Ilie suCriskie stsouu ra ins	--⌫-⌫---|----⌫|----⌫-|---|-|-⌫-|----⌫--⌫--|
peresdetous e tkineuêtitmiele	----|-|---|-⌫|-|-|-----|--|-|
mor tdespeceorsnedespeclieressesmaiskilse	---⌫|--|------|-|--|-----------|---||-|-|
conuertissentetuiuent	------------|-|-----|
netement etcascun ior le	-------|-|-----|--|-|
nou smonstrem aperte mentparoueuresparexampleset	---⌫|------||------⌫---|--|------|--|-------|-|
parm iraclesenuoiaa ia da mes eco urss i	--|-⌫------|-----||-|--⌫-|-⌫---⌫--|-⌫|
commeu ous porés o ïrçaauantc ar l i estoiresnous	----|-⌫--|-----|-⌫--|--|----|-⌫-|-⌫|-------|---|
ti esmoignee t	--⌫-------|-⌫|
c ontepor \roir keune	-⌫---|--|----|-|--|
ne ́s marciieandekiuenoi tdeuiersFkndresan sçois	--⌫-|----------|-|-----⌫|------|------|--⌫-----|
keliquensne si compa i gnon	-|-|----|-|-|-----⌫-⌫---|
fuissent u e nuatiereetniii ren t e tounielflo tant	-------|-⌫-⌫-||----|--|---⌫---⌫||------|---⌫---|
sicom meli	-|---⌫-|-|
ue nset les on-	--⌫-|-|--|--|
uers i onXIII p0 20	----⌫-⌫------⌫--⌫-|
l a uien sçaiensaidier	|-⌫----⌫|------|-----|
nosporoit il.Lenuoie rent	--|-----|--||------⌫---|
p ou-rouecetmisfu	-⌫-------|-|--|-|
enl e nef.Il leresg a rderentet	-|-⌫|---|-|-|----⌫-⌫------|-|
uir ent1lef o n sno uel	---⌫---|-|-⌫-⌫-⌫|--⌫--|
repoiét.Il	--------|-|
lesfonceren tettrou erentl ad ame	|----------⌫|-|----⌫----|-⌫|-⌫--|
tel ecornesor l	---⌫|----|--||
es taindrecar airs li	--⌫------|--|---|-|
estoitfal iscolgros etua ireenfléet	-----|---⌫----|---|-|--⌫--|-----|-|
lesiexlais.Etquantelle	--|--|----|-|----|---|
reutl airsirespira e t sospira .L i	---||--|-|------|-⌫|-------⌫|-⌫|
marc eantfurent	----⌫---|-----|
ento rli etl	----⌫|-|-||
apele rentmais	-----⌫---|---|
ellen eutpooir2 de parler. Li airslireuint	---||--|-----|-|------|-|---|-|-----|
eteutpooirdeparleretparlaa	-|--|----|-|-----|-|----||
------- -------- ----------- -----	-------⌫--------⌫-----------⌫----|
uers ionXII I (2 ) p020	----⌫------⌫|--⌫|---|
des( fol.318a)le deme noient etdistli	--|-⌫---|----|-|----⌫-----|-|---|-|
unsde sm archeansases compaigno nsSeig noru eés	--|--⌫|-⌫-------||--|---------⌫-|----⌫--|-⌫---|
la untounieleti l	-|-|------|-|-⌫|
no us ce mesamble et	--⌫-|-|-|-----|-|
senousle tra ion scha iensbiennous	-|---|-|---⌫---⌫|---⌫---|---|---|
por aau oir mesti cren	---⌫|--⌫--|-----⌫-|-|
aucun tans.	----|----|
Etsachie ́s kecele	-|------⌫-|-|---|
nésaloite ntiere de	---|----|-⌫|----|-|
S ar ra zinspour	-⌫--⌫--⌫---|---|
gaaignie r.Etl imarouniertraise ntce lepartulitou niaus	--------⌫-|-|-⌫|--------|------⌫-|--⌫-|---||-|---⌫----|
estoite tsifisenttant	-----|-⌫|-|-----|---|
engienkeparforcekecele t ouniel misentded ens	-----|-|--|----|-|---|-⌫-----|-----|---⌫--|
l ornés.Quantlitouniausfumis	-⌫-|----|----|-|-------|-|--|
en lorne fil leregardèrent	-|--|--⌫|-|-|-----------|
moutetmouts esmierueilli e rentkecepoo itest re et	---|-|---||------------⌫-⌫---|-|-|---⌫-|---⌫-|-|
tant kil sapierchurentke	---||-||-----------|-|
des f onsde tounielesto it denou-uiel	--|-⌫--|-|------|----⌫-|-|-------|
rapa reilliés 8. Il l effondreren tet	----⌫--------|-|-||-----------⌫|-|
trouuè rent ladamee nsgissantt ele	-------⌫---|-|---|-⌫-|------|-⌫--|
comm e sourleu rdestaindre carairs	----⌫|---||--⌫||--------|--|---|
lie stoitfaillisle cors otgro setle	-|-⌫----|------|-|---|-----⌫|-|-|
uiaireenfléetlesiexla is	-----|-----|-|--|--|--⌫-|
ettor-blés.Et qu antel e uitl airesenti	-|---------|-|--⌫--|--⌫|--||--||----|
leuent sisospira .i.pet it .Lik march eant	-|---|-|------|--|---⌫--⌫|--|-----⌫---|
furententourlisilap ielerent	-----|-----|-|-||--⌫-------|
maiselen auoitpooirde	---|--||----|----|-|
t antque1laparo lelireuin t et	-⌫--|--||-|----⌫-|-|-----⌫|-|
parlaas m arouniersetasautresgenskeentour li	----|-|-⌫--------|-|-|-----|---|-|-----|-|
ueoit etmout s esmi eruei llaqua nteleset rouua en	----|-|---||----⌫-----⌫--|---⌫-|--|-|-⌫----|-|
telma niér éent recesmarcheans.EtquanteleapierchiutP	--|--⌫-----⌫-|---⌫-|--|---------|-|------------------|
queil<iestoientmarc hean tretcrestiiens en	--|-|-|-------|----⌫----⌫-|-|--------||-|
fuplusaa i see t moutenl oa	-|---||-⌫-⌫-|-⌫|---|-|-⌫-|
uersionXIIIp0 21	-------------⌫-|
aus etil lidemandèr ent ki elleestoi t ete le	--|-|-|-|---------⌫--|-|---|-----⌫|-|-⌫-|
leu rcelau érité	---⌫|---|-⌫------|
queparcruel auenture estoit la ue n ue	--|--|----|-------|-----|-|--⌫-⌫-|
et par grantforfait.Elemanga et	-|--|----|-------|--|----|-|
(fol.202) but e t dese nflaet d euint mo lt	----|---|--|-⌫|----⌫---|-|-⌫----|--⌫-|
bele.S els	----||--|
e usttantioiecomme e leauoit	-⌫--|---|---|----|-⌫-|----|
il. —Tantcorut1lanef ke ele uint	--||---|-----|-|--|-|--|---|
d euantAu marieet	-⌫----|--⌫----|-|
quantil eurenthauene pris	----|-|-----|-----|---|
galiesuin rentenc o ntreaus q ui le urd emandèrent	-----|---⌫---|---⌫-⌫---|--|-⌫-|--⌫-|-⌫----------|
qués2genser e ntetdise nt Marcean ts ome s.Ilauoie nt	----||---|--⌫-⌫-|-|----⌫-|-------⌫|-⌫---⌫-|-|-----⌫-|
leurconduis	---|------|
deshaushomesqu	--|---|----|-|
il pooien talerento tespar ti essau uement.Il	-|------⌫|---|-|--⌫--|---⌫--⌫-|---⌫------|-|
----------------- --------------	-----------------⌫-------------|
uersionX III (2)p 021	--------⌫--|--|-⌫--|
Ih esuCris t	--⌫--|----⌫|
cu ereta mer ciadel a grantb	--⌫-|--|---⌫--|-|-⌫|-----|
debonaireték	-----------||
llli auoitfait(I ol. 318	-|-|----|---|--⌫--|--|
b)de couke	-|-|--|-|
encoreesp assedeuiecar el e auoitmout	-----|---⌫---|-|--|--|--⌫|----|---|
grantdéuotionensoncueretc	----|--------|-|--|---|--|
grantuol enté d	----|---⌫----||
amende renuiers Diue te nui ers autrui	------⌫|------|--|-⌫|-⌫---⌫--|-----|
desmesfa iske e l eau oitfaisd ont ele	--|-----⌫-|-|-⌫-⌫|--⌫--|---|-⌫--|--|
sedoutoitforment.Limarc hea nt lidemandèrent d on te l ee stoit	-|------|-------|-|----⌫---⌫-|-|-----------|-⌫--⌫|-⌫-⌫|-⌫----|
etd e leleur ce l auéri téetdi st ke une	--|-⌫-|---|--⌫-⌫|-----⌫--|-|--⌫-|-|--|
lass ecos e estoiteteunepourep echeresse sicom il	----⌫|---⌫|-----|--|--|----|-⌫--------|-|--|-|
lefpooient	-||------|
ue oiret ke	--⌫--|-|-|
parmout cru el a ue ntur e estoitlauenu eset que pour	--|---|---⌫-|-⌫--⌫----⌫|-----|-|----⌫-|-|--|---|
Diueüssenth m ie r-chi	--|--------|-⌫--⌫----|
de li *.E lem aniaet	-|-|-|-⌫-|-⌫---|-|
but e tdeuintmout	--|-⌫|-----|---|
il.—Ta nti couru	--||--⌫-||----|
k lanésa s marceans queel euint1	|-|---|-⌫|-------|--|--⌫|----|
enterred e Sarraz in s etpri sentportpar deuant Aum arie.	-|----|-⌫|------⌫--⌫|-|---⌫---|---|--|-----|---⌫----|
Sarrazins uinrent enc on tr eia ussim	--------|------|---⌫--⌫--⌫|--⌫-|-||
lo rdemandèrentq uele ge n tilestoient	--⌫|-----------|-⌫---|--⌫-⌫|-|-------|
etn i llor	--|-⌫|--|
respondirent ke°marcheant estoientk im eno ie ntmarcheand ises diuersespar	-----------|--|--------|-------|-⌫|-⌫---⌫--⌫-|---------⌫---|-------|--|
plui sours tieres.Il	----⌫----|------|-|
pauoientl econ duit desprinces	|------|-⌫|---⌫---|--|------|
etdes haus	-|--|---|
baron skil q pooientaier en	-----⌫||-||------|---|-|
toutestiere ssauu eme ntlor	-----|-----⌫|----⌫---⌫-|--|
mar c hean-	---⌫-⌫----|
uersio nXIIIp022	------⌫--------|
mi se ntladameso rterreetf u rent	--⌫--⌫-|-|---|--⌫|----|-|-⌫-⌫---|
au oeclietdeman dali .i. a	--⌫--|-|-|-----⌫-|-|--||
lau tre quil	|--⌫--|-|-|
enferoien tetliu nsdistqu	-|-------⌫|-|-|-⌫-|---|-|
ile uen-deroient	|-|-----------|
etliautresdist Seienf uise creu ̈s	-|-|-----|---|-||-|-⌫---|----⌫-|
nosenferons p résentau	--|-|-----|-⌫------|-|
so udantdAumaries ename ndera nos	--⌫----||------||-|---⌫----|--|
a fai res.Il	-⌫---⌫---|-|
siasent irent t out etprisentladame etlenmeneren t	-|-----⌫----|-⌫--|-|------|-|---|-||---------⌫|
ausou d antkiioueneshom estoit	-|---⌫-⌫--|-|------|--|-----|
et lenlisent	-||-|-----|
prése n te til ler eç ut	------⌫-⌫|-⌫|-|-|-⌫---⌫-|
moltuolentie rsq	---|--------⌫-||
el eertmolt beledame.Lisoudansdemandaquiele	--⌫|--|---|---|------|------|------|--|--|
ild isentSirenosnesauonsmaispar	-|-⌫----|---|--|-|-----|---|--|
teleau ent u re fu	---|--⌫---⌫-⌫-|-|
trouee.Moltl eurfist debien etlada me	------|---|-⌫--|---|-|---|-|-|--⌫-|
cuellienmoltgrantam our.	-----|-|---|----|--⌫---|
E lefusu r	-⌫-|-|--⌫|
ferm eterr ese lir eu i nt	----⌫|----⌫|-|-|-⌫--⌫-⌫-|
c ouloursetlecommençaa couuoitier	-⌫------|-|-|--------||---------|
eta ame retli	-||---⌫|-|-|
f i streqer e parlatiniersqel e	-⌫-⌫-|-----⌫|--|--------||--⌫|
lidesistdequellinage ele	-|-----|-|---|-----|--|
---------- ---------------------	----------⌫--------------------|
u er sionXI II(2) p022	-⌫--⌫------⌫-|--|---|
disequerreetmener .	---|-----|-|-----⌫|
Ilmis entla d amesort erreet	-|---⌫--|-|-⌫--|--|-⌫---|-|
furen ta uoecl i etad emand aliuns	-----⌫|-⌫---|-⌫|--|-⌫-----⌫|-|--|
a lautre k	||----||
llen feroientetliun s	-|-|-------|-|-|--⌫|
dist c onle uen dist	---||-|-|---⌫---|
etli autresdist S eiou ensuicreüs	-|-|-----|---|-⌫|--|-|--|-----|
nous enferonsprésent	---|-|-----|-------|
auri ceSoudan dAuma r iesienamendera	-|--⌫-|-----||----⌫-⌫-|-|-|-------|
durmantnostreafaire.	------|-----|------|
Ils i assentirenttout.Il	-|||----------|----|-|
b pri sentladame	|---⌫---|-|---|
enmenerent auSoud ankiiou eneshome stoi t	---------|-|----⌫-|-|---⌫---|--|-⌫----⌫|
mais (fol. 318c)ilfissen t	---|----|--|-|-|------⌫|
la dameansçois mout rice ment atorneret apareilli e r.	-|---|-------|---|----⌫---|------|-|---------⌫-⌫-|
Ilcleprésentèrentau Souda n etd	-||-|-------------|-|-----⌫|--|
ilr echiutla damemout liem ent	-|-⌫-----|-|---|---|----⌫--|
etmoutuol entier sca releestoitmoutbiel e. Lis oudans	-|---|---⌫------⌫|--⌫|--|-----|---|----⌫-|-|-⌫-----|
lo r dem an daki	--⌫|---⌫--⌫-|-|
eleest oitet illi	--|---⌫--|-|-|-|
dise ntSire nousnesauons	----⌫-|---|---|-|-----|
ma isparmierueilleuseauenturele tr ouuâmes. Mout	--⌫-|--|------------|-------|-|--⌫--------|---|
lor en eso tlisoudansbon gre ́	--|-||--⌫|-|------|--|---⌫|
d ecestprésent et	-⌫|---|-------|-|
enfistde bien s.Moutamaladame	-|---|-|----⌫-|---|--|-|---|
f ist s e rui r moutfhou-nourab le ment. Ele	-⌫--|-⌫-⌫---⌫|----|----------⌫--⌫----|--|
fu bien gardeese lireuint coulourset	-|---|-----|-|-|-----|-------|-|
a ggrantmeru e ille deuintbele. Li	||----|----⌫-⌫---|-----|----|-|
soudansco mmenchaa	------|--⌫------||
couuoitier ladamee taamer e t lifist	---------|-|---|-⌫||---|-⌫|-|---|
requerrehpar latinierskeleli	--------|--|--------||--|-|
des istde quelge nteleestoit.	---⌫--|-|---|--⌫-|--|------|
E leimileue ́rit é	-⌫-||---|--⌫----⌫-|
uersionXIIIp023	--------------|
e sto it.Elenu leuériténenua utdire.Il pensa	-⌫---⌫--|--|--⌫-|-------||-|--⌫-|----|-|----|
bienaço u qu e il	---||---⌫|--⌫|-|
qeeleestoi tha utef em eetlef is treqere se	-|--|-----⌫|--⌫--|-⌫--⌫--|-|-⌫--⌫|-----|-|
eleestoitcre stienneetke	--|-----|---⌫------|-|-|
seele u oloit	-|--|-⌫----|
salo ilaisierk ll le prenderoit.Ele uit	-|--⌫|------||-|-|----------|--|--|
bienque mixliualoitfaireparamou rsqu e par	---|--|--|-|-----|----|--|----⌫-|--⌫|--|
forcese limandaqueleleferoit.	----|-|-|----|-|--|-|------|
Il lespousa q uan t	-||------|-⌫---⌫|
renoïee tcr iut	------|-⌫|--⌫--|
enmolt grantamour	-|---|----|----|
e nuersl iet petitfu	-⌫----|-⌫|-|----|-|
a uec luiquantelle con ç u tet eut	-⌫--|--|----|---|---⌫--⌫-⌫|-|--|
Ellefudele1(fol.	---|-|-|-||----|
202b )conpengniealagent	--|-⌫|---------||-|---|
e t parla eten te ndisar rasinois.	-⌫|----|-|--⌫--⌫--|---⌫--------|
Etpetitdemouraaprès qeeleeut	-|----|------|-----|-|--|--|
une fille. Ens i	--|-----|---⌫|
f ubien.ii.	-⌫|---|---|
a nset demiauoec lesoudant	-⌫-|-|---|----|-|------|
ete ntendisarrasinoisetpa rl amolt bien.	-|-⌫-----|----------|-|--⌫--⌫|---|----|
- ----------- -------------------	-⌫-----------⌫------------------|
uersi on XIII(2)p02 3	-----⌫--⌫---|--|---⌫|
nelen ualtadi renecounoistr e.I lbpe nsamout	-||-|----|--⌫-|-|---------⌫-|-⌫-|--⌫--|---|
açou k il ue oitenlik e	|---||-|--⌫--|-|-|-⌫|
e leest o ithau tefemmeet	-⌫-|---⌫-⌫-|---⌫-|----|-|
degentil lignage.Il lifi streq u erre cseele	-|-----|-------|-|-|--⌫-|---⌫-⌫----⌫|-|--|
e stoit crestiene ets eeleuoloitsaloi	-⌫----|--------|-|-⌫|--|-----|-|--|
laissie rdet illep renderoit	-------⌫-|-|-|-|-⌫--------|
carencoren en	--|-----||-|
a uoitilpoint.Eleu itbien kemieus	-⌫---|-|-----|--|-⌫-|---|-|----|
faire eparamours ke par	----||--|-----|-|--|
forceseli manda	----|-|-|----|
lefer oit f.	-|---⌫---⌫-|
Quant elefurenoïeget eleot rele nqu ie	----|--|-|------||-|--|-|----⌫---⌫-|
lisoudansleprist afemeha	-|------|-|----||----||
eta l emaniéréde	-||-⌫|--------|-|
latierede Sarrazins.Illetinte n grantdhierté	-|----|-|---------|-|-|---|-⌫|----|-------|
etmoutloune raetc rut	-|---||----⌫-|-|-⌫--|
amorenu iers	---|---⌫---|
li.Petitfu auoe cIeSoudan	--|----|-|----⌫|-|-----|
quantdefuen-d iainte (f o l.318d) d	----|-|-|----⌫-----|--⌫-⌫-|--|-||
unfll.Li soud an s enfumout	-|--||-|----⌫--⌫|-|-|---|
liéset enfistmout g rantioie.Eeifu	----|-|-|---|---|-⌫---|----|--|-|
demoutbo necom pai gnie alagen t	-|---|--⌫-|---⌫---⌫---||-|---⌫|
etmout courtoise etm out entendanse ta prist tant ke	-|---|--------|-|-⌫--|--------|-⌫|-⌫----|---|-|
