Cycom me nc e	-|---⌫--⌫--⌫|
duroyetluy	-|--|-|--|
direntqu ilzi roient	-----|-|--|-⌫-----|
q uerir les fo urriers pour	-⌫----|--|--⌫------|---|
faire leslogis bien matin	----|--|----|---|----|
Ora llezseurem ent ditleroycari ln	-|-⌫---|------⌫--|--|-|--|--|-⌫||
yaurapointde fau lteetmerecommandeza	|---|----|-|---⌫--|-|-|----------||
uost re maistr e	----⌫-|------⌫|
Grantpa r lementfutten ucellenuytd e	----|--⌫-⌫-----|--|---⌫|----|---|-⌫|
P arissileurtardoitle lendemainmatinpour leueoir	-⌫---|-|---|------|-|--------|----|---|-|----|
S ilai sserons deulx	-⌫|---⌫------||---|
aparl eret dirons	|----⌫-|-|-----|
desher aulxqui sortiren t delacité	--|---⌫---|--|--------⌫|-|-|----|
et uindrent	-|-------|
uer sleursc inq c ens hommes a cheual qu	---⌫|----|-⌫--|-⌫--|-----||-----|-|
ilz auoi entlaissezlesque lzne cesse ren ttoutenuytdeeulx	--|----⌫--|------|------⌫-|-|-----⌫---⌫|----|---|-|---|
aco ustrerpourlendem a in	---⌫-----|---||-----⌫-⌫-|
Commentlesh eraul xuind rent deuers	------|--|-⌫-----⌫|----⌫---|-----|
Parisluydirela responceque leroyd	----|--|---|-|-------|--|-|--||
Espaignele urauoit faicte	-------|--⌫-|----|-----|
Leshe raulxcheuaucherenttou tenuytpouraller	--|--⌫----|------------|---⌫-|---|---|----|
faireleur respon cea	----|---|------⌫-||
Parisd ece	----|-⌫|-|
qui lzau oientfa itetbesongnéauec q	-|-⌫-|--⌫----|--⌫-|-|--------|----⌫|
Sifirenttantquilzarriuerentdeuers	-|-----|---|-|--|---------|-----|
Pari set luycompterent a ul ong cequilz	----⌫|-|--|---------|-⌫|-⌫--|-|-|--|
auoientfaitet	------|---|-|
grantbeaulte ́delapu celle que mou ltagrea	----|-------⌫|-|-|--⌫----|--|---⌫-|----|
Silesenfit retournerpourall ercond u yrelespremiers	-|--|-|--|--------|---|---⌫-|----⌫-⌫--|--|-------|
cinqcenspou r faire	---|---|---⌫|----|
l e s logis	-⌫-⌫|----|
Puisappella to us c esprinceset barons	---|------|--⌫-|-⌫-|------|-|-----|
etleurpriaquebien	-|---|---|--|---|
gardassent ses comma n demenssel o n laforme	---------|--|-----⌫-⌫-----|---⌫-⌫|-|----|
et ma niere quilz	-|--⌫----|-|--|
auoien tdesliberé t enir	------⌫|---------|-⌫---|
f au lt pasdemandersi chasc un	-⌫--⌫-|--|-------|-|-----⌫-|
auoitg rant des irdelebien serui r et honnor ercar	----|-⌫---|---⌫-|-|-|---|-----⌫|-|------⌫-|--|
a aultrechosenetaschoien t	|-----|----|-|---------⌫|
qu ea fai rech ose que	--⌫||---⌫-|--⌫--|--|
luy fut a greable	--|--|-⌫------|
Quantuint lelendema inau	----|---|-|-------⌫-|-|
matinles se igne urset dame s	----|--|--⌫----⌫--|-|----⌫|
qui au xnopcesestoient uenuse tmesmem entla fille d	--|--⌫|-----|-------|----|-⌫|------⌫--|-|----||
Espaignesis e leuerent moultgrantmatin	-------|-|-⌫|-------|----|----|----|
dela grant	-|-|----|
peurquilza u oientquepoin tneu ei ssen t a rriuer	---|-|--|-⌫-⌫----|--|----⌫|-|-⌫--⌫----⌫|-⌫-----|
Sifire ntcl o rr e tous les sentierset	-|----⌫-|--⌫-⌫--⌫|---|--|-------|-|
rues del a	---|-|-⌫|
uilleaffin que	----|----|--|
Paris nepeustp asserparaultrelieuquepar	----|-|----|-⌫----|--|-----|---|--|--|
de uantlepalais	--⌫---|-|-----|
Etcepe ndant quilz enparloientuecyarr iuer	-|-|--⌫----|-|--|-|--------|---|---⌫---|
lesdeuxher aulxauecqlesdeu xpage saup oint	--|---|---⌫---|----|--|---⌫|----⌫|-|-⌫---|
quedeu ant	--|---⌫--|
auezouyp uis ue no ientl escinq	---|--|-⌫--|--⌫--⌫---|-⌫-|---|
censfourriersap r èsbie nenpoint	---|--------|--⌫-⌫--|---⌫|-|----|
Sico ururentlesn ouuellesa u palaisquecestoit	-|--⌫------|--|-⌫-------|-⌫|-----|--||-----|
I eh a n de	-⌫--⌫-⌫|-|
Pa risqui uenoi t	--⌫--|--|-----⌫|
Incon tine n tquilz ou yrent lesnouuelles u ouseuss ezueu uenir	-----⌫----⌫-⌫|-|--|--⌫----|--|--------|-⌫--|----⌫-|--|----|
grans flot te s que	----|----⌫--⌫|--|
c es toitu nemerueilleusechosecarle	|--⌫---|-⌫-|-----------|----|--|-|
m aistrenattendoit	-⌫-----||--------|
pasleuarletn e le uarletle maistrequi	--|-|-----|-⌫|-|-----|-|------|--|
p ouuo itmieulxaller	-⌫----⌫-|-----|----|
Etquant l es	-|----|-⌫-|
François comm ançerent aapprouc her le	--------|----⌫--------||-------⌫--|-|
q uilzp a ssoient le roysauansa pou rparler	-⌫|--|-⌫-⌫------|-|--||-----|---⌫|-----|
aeulx com meuo z orrez	|---|---⌫-|--⌫|----|
C ommentles	-⌫-----|--|
François passeren tdeu antlepal aix d u	--------|--------⌫|---⌫--|-|---⌫--|-⌫|
Espaigne l equel	-------|-⌫----|
leur ditque	---|--|--|
i lzfussentles biensuenu z	-⌫-|------|--|----|----⌫|
E spaigne leurd i t	-⌫------|---|-⌫-⌫|
Messeign eursu ous soyezlest re sbien uenuz	--------⌫---|-⌫--|----|--|-⌫--⌫----|----|
Dictes noussil uouspl aist lequelest	-----|---||-|---|--⌫---|-----|--|
Par is afindele	---⌫-|---|-|-|
congnoi stre	-------⌫---|
Sir e d itl ung	---⌫|-⌫-||--|
nestpasenceste compaignie	|--|--|-|----|---------|
Etquiestesuousdoncditle	-|--|----|---|---|--|-|
Noussommesd iren tilzsesfourrie rsque	---|-----|-⌫----⌫|--|--|-------⌫-|--|
luyueno nsfaire sonlog i s	--|----⌫-|----|--|---⌫-⌫|
Quantles princesqui	----|--|------|--|
laestoient	-|-------|
et l es damesqu icelleres p on ceouyrentetueoient te ll e	-|-⌫-|----|--⌫|----|---⌫-⌫--⌫-|------|-|------|--⌫--⌫|
as sembleede f ourrier silz	--⌫------|-|-⌫-------⌫|--|
enfu renttous es bays	-|--⌫---|---|--⌫---|
Esp aigne au roy d	---⌫----|-|--||
Angleterre	---------|
Comment beau filzuousdisiez que	------|---|---|---|-----|--|
auo itento u tque e nuirontr oiscens	---⌫-|-|--⌫-⌫|--|-⌫-----|--⌫--|---|
ch euaulxetilz sontiapassezpl usdecinq	--⌫-----|-|--|---|-|-----|--⌫-|-|---|
cens etsineui e ndra	---|-|-|-|--⌫-⌫---|
pa s sansbellecompaignie	--⌫|---|----|---------|
Parmonsermentditlafi lleuela	--|--|------|--|-|--⌫--|---|
debellesge ns etbie nenpoint	-|-----|--⌫-|-|---⌫|-|----|
C ertesbie ndebuezf estier	-⌫----|---⌫|-----|-⌫-----|
leur se igneur	---|--⌫-----|
quinousuient	--|---|----|
fair esi granthonn eurde	----⌫|-|----|----⌫--|-|
ue n iraux	--⌫-⌫-|--|
nopces cartoute la festeenserahonno ree	-----|--|----|-|----|-|---|-----⌫--|
urayementm af i l led it	--------|-⌫|-⌫-⌫-⌫-|-⌫-|
leroyuo us	-|--|--⌫-|
dic tesuray	---⌫--|---|
Sienu o yray deuerssesgensqui sont uenus	-|---⌫-⌫---|-----|--|---|--|---|----|
f aire forn ir de	-⌫---|----⌫-|-|
l ingeuaixelle et t a p isserieet	-⌫---|-------|-|-⌫-⌫-⌫------|-|
det outc equ eleur seranecessaire	-|-⌫--|-⌫|--⌫|---|---|---------|
Siapp ela sonmaistred	-|---⌫--|--|------||
ostel etluyd it	----|-|--|-⌫-|
Allez auquartierquaue zde sliuré	----|-|-------|-|---⌫|--⌫------|
ase sge n s	|--⌫|--⌫-⌫|
etleur fai ctesbaillerto u t ceq ue leur	-|---|---⌫---|------|--⌫-⌫|-|-⌫-|---|
d ostelsiy	|----|-||
al laetle str o uuatousenbesongnez	--⌫-|-|--⌫|--⌫-⌫--|---|----------|
Lesungsfaisoientbarrieresles aultresrompoientmai so n s	--|---|--------|--------|--|------|--------|---⌫--⌫-⌫|
pourp asse r	---|-⌫----⌫|
de lun eenl aultreles aultres tendoient	-||--⌫|-||-----|--|------|--------|
tappisseries quils e mb loi t quece	-----------|-|-|-⌫-⌫--⌫---⌫|--|-|
f ut u ne foire	-⌫-|-⌫-|----|
Quantlemais tre	----|-|----⌫--|
dost eluitcecy ilen	|---⌫-|--|---|-|-|
futto utesbay	--|--⌫-|----|
Tout esfo izfit sonmes sageetleurdit	----⌫----⌫-|--|--|---⌫---|-|---|--|
Mes s eigne ursl eroy m	---⌫-⌫-----⌫--|-⌫|--||
aicyenuoyé d euersuouspouruous	|--|------|-⌫----|---|---|---|
dire quece quiluousfauldra soit	---|--|-|-|-|---|------|---|
li ngeuaixelletapisserieetaultres ch os es queie leuous	--⌫--|-------|---------|-|------|--⌫--⌫-|--|-|-|---|
facedeliure r	---|-------⌫|
Sire respon ditlung	---|------⌫--||--|
desheraulxgrantz merci z auroyeta	--|------|-----|-----⌫|-|--|-||
C ertes ilne nousfaultriens carleschariotz	-⌫----|-|-|---|----|----|--|--|-------|
arriueronttantostqu iapportent l esutenxil les	---------|------|--⌫|--------|-⌫-|-------⌫--|
Etdictes au royque	-|-----|-|--|--|
sil estoiten se rréd etapi sse rieuaixell ed	|-|-----|--⌫--⌫---|-⌫|----⌫---⌫--|-------⌫||
ar ge nt n ou s	--⌫--⌫-|-⌫--⌫|
en auo ns a sse zpournouse tpou r	-|---⌫-|-⌫---⌫|---|---|-⌫|---⌫|
lu yetsiluyenfaultpour	--⌫|-|-|--|-|----|---|
ce qu ila grantseigneuriee strangecom mel	-|-|-||----|---------|-⌫------|---⌫-||
end it uene zle n ous	-|-⌫-|----⌫|-|-⌫--|
tantost di reet	------|--⌫-|-|
nousf eronsarresterdeuan tson palaixdix	---|-⌫----|-------|-----⌫|--|-----|--|
oud ou z e c hariot zchargezquebien	-|-⌫--⌫-⌫|-⌫------⌫|------|--|---|
leforniro nt	-|-------⌫-|
Gra ntm erc y	---⌫-|-⌫---⌫|
ditle maistred	--|-|------||
Etata ntsenpartt outesmerueille ́et	-|---⌫-||-|---|-⌫--|-----------⌫|-|
s en uient	|-|----|
aupa laix ouilfit	-|--⌫---|-|-|--|
s onrapportau roy	-⌫-|------|-|--|
deuanttoute labaro nnieetles	-----|----|-|----⌫---|-|--|
damesqui bien les couterent	----|--|---||--⌫--------|
M oultsesmerueilloientlesbaronsetles dame sd u	-⌫---||--------------|--|-----|-|--|----⌫|-⌫|
raport quefa i t auoitle	-----|--|--⌫-⌫|----|-|
m aistredostel	-⌫-----||----|
Si neparloientparle	-|-|--------|--|-|
palaisquede	-----|--|-|
Pari sduquel lauenuele urtardoit	----⌫|-----|-|----|--⌫-|------|
Leroyfit chant er la messe	-|--|--|-----⌫-|-|----|
l esprinces barons seigneur setdamesl al erent ouyr	-⌫-|------|-----|--------⌫|-|----||--⌫----|---|
Etq uantuintuer slafin	-|-⌫---|---|---⌫|-|--|
delamesseuecy uenirungescuierco urant quiuint	-|-|----|---|----|--|------|--⌫----|--|---|
uen ezueo ir	---⌫-|---⌫-|
ar riuercelu y	--⌫----|----⌫|
Parishast ez uoustantost	----|----⌫-|---|------|
Les roysprin dr entl es damescha scun	--|---|----⌫--⌫--|-⌫-|----|---⌫---|
e nsonen droitets en uindrent aux	-⌫|--|--⌫----|-||-|-------|--|
fenestres du palaix les au ltres sortoienth ors enla	--------|-|-----|--|--⌫----|--------|-⌫--|-|-|
ruepourlemieulx u eo ir	--|---|-|-----|-⌫--⌫-|
Comm ent les	----⌫--|--|
con du cte ur s des chariotzde	---⌫--⌫---⌫--⌫|--|-------|-|
Par is u indrenten b elleordonnan ce	---⌫-|-⌫------|-|-⌫---|--------⌫-|
aprèsleschariotzdela t api sserie	-----|--|-------|-|-|-⌫---⌫-----|
Alors arriuere nt deu xcensho mmes d armes bien	----|--------⌫-|---⌫|---|--⌫---||----|---|
en pointa rme zetbar dez	-|----|-⌫---⌫|-|---⌫--|
co m me telcaslerequiert etaloit deuxtrompetesdeuant	--⌫-⌫-|--|--|-|-------|-|----|---|--------|-----|
et de uxtabourin s de	-|--⌫-|--------⌫|-|
Souysse et ungphiphre	------|-|--|------|
ete s toi ent m onte z cesgens susbons coursiers	-|-⌫-⌫---⌫--|-⌫----⌫|--|---|--|---|--------|
qu ilzuousfaiso ient saulter et fairegambades	-|--|---|-----⌫---|------|-|----|-------|
quecest oitun g triumphe a lesr egarder	--||---⌫--|--⌫|-------||--|-⌫------|
etuenoien tdeux a d eux en moult belle or donnance	-|-------⌫|---||-⌫--|-|----|----|--⌫-------|
Espaign e demandaauroy	-------⌫|------|-|--|
Anglete rr eq uees toientcesgens	-------⌫--⌫|-⌫-|--⌫-----|--|---|
Sire respondit ilie nens çay ri ens	---|--------|-|-||-|-⌫---|--⌫--|
carpoi nt neles	--|---⌫-|-|--|
Et lorsl e royde	-|---|-⌫|--|-|
Nauarrequitenoit l apucelleparlamain	------|--|-----|-⌫|------|--|-|---|
lafenestre	-|-------|
Qui estesuous	--|----|---|
mess eigneurs	----⌫-------|
Noussomm esdirenti lzlesconducteurs des chariotz de	---|----⌫-|-----|-⌫-|--|----------|--|-------|-|
Par isqu iicy uiennentapr ès n ou s	---⌫-|--⌫|--|-------|---⌫--|-⌫--⌫|
Marieditla pucelle queuecybel estatp our ung	----|--|-|------|--|---|--|----|-⌫--|--|
P ensezbell e s eurditlero y	-⌫----|----⌫|-⌫--|--|-|--⌫|
Nauarre qu ei ensuistout	------|--⌫||-|---|---|
effray é cesemblemieulx	------⌫-|-|-----|-----|
son ge q ueaultrecho se	---⌫-|-⌫-|-----|---⌫-|
Ainsicomme ilzparloientuec yapparroistre	----|----|--|--------|---⌫|-----------|
leschariotzdelat apisserie atout	--|-------|-|-|-⌫--------||---|
grozcoursiersete nchascunchariotauoit	---|--------|-|-⌫|------|------|----|
h uit gr oz cours iers mou lt	-⌫--|--⌫-|-----⌫---|---⌫-|
richementharnechezety	--------|--------|-||
auoituingtcinq	----|----|---|
ch ariotztous couuersd euelourssuruelour s uertmoultriche	--⌫-----|---|------|-⌫|------|--|------⌫|---|----|----|
Quantles damesuire ntcesbeauxchariotzellesfurent	----|--|----|----⌫-|--|----|-------|----|-----|
toutesrauiese tless eign eurs	-----|-----|-⌫|--|-⌫----⌫---|
Helasdit lapucelle nousne leuerronspoint	----|--|-|------|---|-|-|------|----|
carildoit estrede da ns cesbeaux c hariotz	--|-|---|----|--⌫--⌫-|--|----|-⌫------|
E tl ors ler oy de	-⌫|-⌫--|-|-⌫-|-|
Naua rr ecriaa	----⌫--⌫|---||
ceulx quelescheuaulx	----|--|--|-------|
desdictsch ari otzcon duisoien tcarachascun	-------|--⌫---⌫--|---⌫--------⌫|--||------|
ch eualauo itdeuxho mmesapié	--⌫---|---⌫-|---|--⌫---||---|
pou rmieul xgouuernerlesdictscheuau lxque moultfiers	---⌫|-----⌫|--------|-------|------⌫-|--|----|----|
etpuissans	-|-------|
Dict esmesamys questc ededan scesbeauxchariotz	----⌫-|--|---|-|--|-⌫|-----⌫|--|----|-------|
lata p isseri e	-|--⌫-⌫------⌫|
i lenfutp asséuing to uuingtdeux	-⌫|-|--|-⌫----|----⌫|-⌫|----|---|
il dita ung	-|--||--|
Dic tesmon amyqu est	---⌫--|--|--|-|--|
cede dan scesbeauxc hariotz	-|--⌫---⌫|--|----|-⌫------|
Mons e igneurre sponditceluytousles c o uuersd euert	----⌫-⌫-----|--⌫------|----|---|--|-⌫-⌫----|-⌫|---|
sontle s chariotz dela	---|--⌫|-------|-|-|
tapisse rieetling e	-------⌫--|-|----⌫|
Moul tfurentesmerueilleztousquantilzo uyrent	----⌫|-----|-----------|---|----|--|-⌫-----|
ce lle responce	--⌫--|-------|
Haamonamy dit la	--|--|--|--|-|
puce lleauroy d	----⌫--|-|--||
Angleterreuous nenous auez	---------|---|-|---|---|
pastoutdit ceq uesçauiez de	--|---|--|-|-⌫-|-------|-|
I eh a nde	-⌫--⌫-⌫|-|
D ie umam yerespondit leroy	-⌫--⌫|-|-⌫-|--------|-|--|
An gleterre ie	--⌫-------|-|
n en auoyeueu	|-|----|--|
sino n ce quei	-|--⌫|-|--||
enauo ye dit	-|---⌫-|--|
moultes bayquece	----|--⌫--|--|-|
peultestre	----|----|
En tantcomme	-|---|----|
ilzparlo ien tlesdicts chariotz acheuerent de	--|-----⌫---⌫|-------|-------|---------|-|
Commentaultres ui ngtcinq c hariotzentrerent que	------|------|--⌫--|---|-⌫------|--------|--|
p ortoientlesuten xilles delacuysi n e	-⌫-------|--|----⌫-----|-|-|-----⌫-⌫|
Incontin ent a pr ès lespre m ier s	--------⌫--|-⌫--⌫--|--|---⌫-⌫---⌫|
chariotzenapparur ent	-------|-|-------⌫--|
aultres uingt cinqc har i otza grozcoursiersco mm ele s	------|----|---|-⌫---⌫-⌫--||---|--------|--⌫--⌫|--⌫|
ault resmaislesch ar iotz nesto ientcouuersque	----⌫--|---|--|--⌫--⌫---||----⌫---|------|--|
de grans pansd ecuyrrogeettantost	-|----|---|-⌫|---|---|-|------|
Portugaldeman da	-------|-----⌫-|
Di cte smesseigneursque lz chariotzsontcelaeta quisont	--⌫---⌫|-----------|---⌫-|-------|---|---|-||--|---|
Ilzsont firent ilz	--|---|-----|--|
leschariotzdelacuysinede	--|-------|-|-|------|-|
Dieu dit leroyde	---|--|-|--|-|
Portu galie	-----⌫--|-|
me ti end roye bienhonnore ́den auoirdemye	-|--⌫---⌫---|---|-------⌫||-|----|----|
douzay nede	------⌫-|-|
telz et si en feroisbien	---|-|-|-|-----|---|
mesgra nshonneurs	--|---⌫-|-------|
Pareil lement direnttouslesau ltres	------⌫-----|-----|---|--|--⌫----|
Heedou lce	--|---⌫--|
Marie di t	----|--⌫|
Arragonquiest	------|--|--|
c el uyqui peultmene ret	-⌫--⌫-|--|----|----⌫|-|
ent retenirunetell etriumphe	---⌫------|--|----⌫|-------|
etne leuerron snouspas	-|-|-|------⌫|---|--|
Eta i n si	-|-⌫-⌫-⌫-|
co mmeilz deuisoientl onleuruint direquel e	--⌫--|--|---------||-|---|---|---|--|-⌫|
disnerest oitprest	-----|---⌫--|----|
Hel as pour	---⌫-|---|
Dieudir entlesdamesneparlez	---|---⌫--|--|----|-|-----|
plusde celacarilnes t	---|-|---|--|-||--⌫|
plaisirquedeueoircesinnumerablesrichesses	------|--|-|----|--|-----------|--------|
Quant les dictschariotz fur entpassezenarr i ua aultr es	----|---⌫----|-------|---⌫--|-----|-|---⌫-⌫-|-----⌫-|
u ingt c inqco uuers de	-⌫---|-⌫--|--⌫----|-|
damasbl eu etl es coursiers	----|--⌫-|-|-⌫-|--------|
harnechez dem esmes	--------|-|-⌫----|
commeu ousor rez	----|-⌫--|--⌫--|
Commei l entra en la uille ault resuingtcinqch ariotz	----|-⌫|----|-|-|----|----⌫--|----|---|--⌫-----|
couue r sde damas	-----⌫-⌫|-|----|
bleuquiportoientles robbe s e thabill emensde	---|--|--------|--|-----⌫|-⌫|------⌫----|-|
Orregardez ditla pucelle	-|-------|--|-|------|
ue cyuenirault reschariotz en core plusrichesqueles	--⌫-|----|----⌫--|-------|--⌫---|---|-----|--|--|
Et quant ilz furentprèson	-|----|--|-----|----|-|
demandaa ce ul x queles menoientaqui	------||--⌫--⌫|--|--|-------||--|
est oient lesdictschar iotz	---⌫----|-------|----⌫---|
quilzmenoient	-|--|-------|
Alorsres pondir enten disa nt	----|---⌫------⌫--|-|----⌫-|
Cesont lesc ha riot zdela garderobede	-|---|--|-⌫--⌫----⌫|-|-|----|---|-|
Parisnostr e maistreOr oynedescieulx quel zhab illem ens	----|-----⌫|------||-⌫---|--|-----|----⌫|---⌫-----⌫--|
pe ultilauo irleans	--⌫--|-|---⌫-|----|
cepourroit	-|-------|
ennuyer de regardercecy	------|-|-------|---|
Puiscryael lem e s mesalafenestre	---|---|--⌫-|-⌫-⌫-⌫--||-|-------|
Dict esm onamycombienen y a	----⌫-|-⌫-|--|------|-|||
ildelaga rde	-|-|-|--⌫--|
Si l uyrespondirentq u euing t	-|-⌫-|-----------|-⌫-⌫|----⌫|
Portugaluela assezderichesse pourac heptertousnoz ro ya ulmes	-------|---|----|-|-------|---|--⌫-----|---|--|--⌫--⌫----|
Ilmesemble qu eieso nge qua nt ie	-|-|-----|--⌫|-|--⌫--|---⌫-|-|
Grant bru it	----|---⌫-|
enestoitpartoutelacité et enespecial	-|-----|--|----|-|----|-|-|-------|
a u palaisdelauenue decest	-⌫|-----|-|-|----|-|---|
h om mecar les	-⌫--⌫-|--|--|
cheuaulxh annisso ie ntet m enoient tel	-------|-⌫-------⌫--⌫-|-|-⌫------|--|
bruitquec estoit mer ueil les	----|--||-----|---⌫----⌫--|
Angleterreestoittou te stonnédeueoir cequilueoit	---------|-----|---⌫|-⌫------|-|----|-|-|-|----|
etou yoittouslesrapp ors	-|--⌫---|---|--|----⌫--|
o nfaisoitparla	-⌫|------|--|-|
citédecest hommecardeluy	----|-|---|----|--|-|--|
Mesmement quepise stoit il nauoi t	--------|--|--|-⌫----|-||----⌫|
l oi si rny espa ssede parlernyde soyiouer	-⌫--⌫--⌫|-|----⌫--|-|-----|-|-|--|----|
au ecqsa fianc eecommeildesiroitdontil e stoit	--⌫--|-|-----⌫-|----|-|-------|---|-|-⌫----|
for tma rry	---⌫|--⌫--|
Toutesfoispourabregerla matiereces	---------|---|------|-|------|--|
u ingtcin q chariotz furentp assez	-⌫---|---⌫|-------|-----|-⌫----|
Tantostuindrentlesaul tresuingt cinq touscou u ers	------|-------|--|---⌫---|----|---|---|---⌫-⌫--|
d unguelour s suruelourscramoisibrochédor	|--|------⌫|--|------|-------|------||-|
moultric heato ut franges dorde	----|---⌫-||--⌫-|------||-|-|
Sire lu isoient	-|--⌫--⌫------|
contrelesoleilamer u eille s	-----|-|-----||---⌫-⌫-----⌫|
Quantl o n	----||-⌫|
les uitapparoistrechas cun s	--|--|----------|----⌫--||
auanc ̧apourregarder	-----⌫-|---|-------|
Commeles char iotzde lauaixellede	----|--|----⌫---|-|-|-------|-|
Pa risen treren t	--⌫--|--⌫------⌫|
C ertesd itlap ucelle iecroyq ue	-⌫----|-⌫-|-|-⌫-----|-|---|-⌫-|
Die uetparadisdoi t arri ue racesteheur e	---⌫|-|------|---⌫|----⌫--⌫||----|----⌫|
Etque peult estrec e	-|--|----|----|-⌫|
Estil hommemortel q uipuissetellenobles se	--|-|----|-----|-⌫-|-----|----|------⌫-|
as sembler	--⌫------|
Dieuresponditl e	---|--------|-⌫|
Nau arresilon	---⌫---|-||-|
meustditqu e	|---|--|--⌫|
ceusteste ́le royd e	|---|----⌫|-|--|-⌫|
Franceien emenfuss ep as	-----|-|-⌫||-|----⌫|-⌫-|
fortes merueillécarc est ungtriumphantr oya ulmemais	---|--⌫---------|--||--|--|---------|-⌫---⌫---|---|
decestuybourgeois ienesça yque	-|-----|--------|-|-|----⌫|--|
Sisuis si fortestonn éque iene	-|---|-|---|------⌫-|--|-|-|
C o mment ditla	-⌫-⌫----|--|-|
pucelle uous	------|---|
semb le ilbi enqueungroyde	----⌫-|-|--⌫-|--|--|--|-|
Franc epourroit biena utantfairecomme ces t uy	-----⌫|-------|---|-⌫----|----|----|---⌫-⌫-|
doulceseurie cr oy qu e	-----|---|-|--⌫-|--⌫|
ouyquantilauroitbi en entrepri ns	--|----|-|-----|--⌫-|--------⌫-|
Sur ma foyd itellecestunemeru eilleu sebesongne	--|-|--|-⌫-|---||--|--|----⌫------⌫-|-------|
tardefor t q ueieleuo yesc ̧auoir m onsic	----|---⌫|-⌫-|-|-|--⌫-|--⌫-----|-⌫-|-||
e stunghomme commelesaultres	-⌫-|--|----|----|--|------|
Tantparleren tquele sui ngtcinq	---|--------⌫|--|--⌫|--⌫--|---|
chariotzfu rentp assezforsqueaungdes condu ct eurs	-------|--⌫---|-⌫----|---|--||--|--|-----⌫--⌫---|
auq u elle roydemanda	-|-⌫-⌫-|-|--|------|
Dicte smonamyqui ail en ces	-----⌫|--|--|-|||-|-|--|
chariotzcouuersdecram oisi	-------|------|-|----⌫---|
Siredit ilc estla uaixell e et baguesde	---|--|-||--|-|-------⌫|-|-----|-|
Etinc ontinantaprès	-|---⌫-------|-----|
uaarriuerdeuxcen sho mmes d armest ous em	-|------|---|---⌫|--⌫---||----|-⌫--|-|
pointcomm e pourcomb at re et	----|----⌫|---|----⌫--⌫-|-|
uenoie nt quatre aqu atree n	------⌫-|-----||--⌫---|-⌫|
moult b e lleordonnance	----|-⌫-⌫--|---------|
etsansbruyt	-|---|----|
Espaignea ppella lepr emierq uipo rtoitungp enomensa	-------|-⌫-----|-|--⌫----|-⌫-|--⌫----|--|-⌫---|-|-|
Mes seig n eurs	---⌫----⌫-⌫---|
Pa r is estil ences tecompaigni e	--⌫-⌫-|--|-|-|---⌫-|---------⌫|
Siredit cel uy nenny	---|--|---⌫-|----|
Ilneuiend raencoresdedeux	-|-|-----⌫-|------|-|---|
heu res car	---⌫--|--|
ses gensdisnentauxchamps	--|---|------|--|-----|
mai s noussommes commis pour lagarde	---⌫|---|-----|-----|---|-|----|
deces uingt cinqchariot zquepa ssentcy	-|--|----|---|-------⌫|--|--⌫----|-|
Quant lesc hariotz et	----|--|-⌫------|-|
lesd eux cens hommes dar meseurent	--|-⌫--|---|-----||--⌫--|-----|
passé leroy ua d ire	-----|-|--|-|-⌫--|
que l on allas tdisner cependant	--||-|-----⌫|-----|-|------|
dame sluyfirentrequesteque pour	----⌫|--|-----|-------|--|---|
Die u il laissastbonnesgard esala	---⌫|-|-------|-----|----⌫-||-|
por tequilzu inssentdire	---⌫-|-|--|-⌫------|---|
de bon neheurelesnouuellesquantiluiendroit	-|---⌫-|----|--|--------|----|-|--------|
ca r comme ell es disoienttous ces	--⌫|----|---⌫-|-------|---|--|
nam enerapasgrant	|--⌫----|--|----|
mondeauecqluyetp oi nt	----|----|--|-|-⌫--⌫-|
uerro nsarriuer	-----⌫-|------|
Neuo usen so uciezditl eroycari	-|--⌫-|-|--⌫----|--|-⌫|--|--||
enser oyepl us doulantque u ous	-|---⌫--|--⌫-|------|--|-⌫--|
siymectraysi	-||------|-|
bonnega rdequebienensçauro ns l e snouuelles	----|--⌫--|--|---|-|-------⌫-|-⌫-⌫|--------|
Il zsenallerent	--⌫||-|-------|
disner m aisonc q ues nefut	-----|-⌫--|---⌫-⌫--|-|--|
par léento u te	---⌫--|-|--⌫-⌫-|
latableq ue des	-|----|-⌫-|--|
grandesmerueille squ ilz auoient ue uezdont leroy	------|---------⌫|-|--|------|--⌫--|---|-|--|
Anglet erre es toitt outestonn ési	------⌫---|--⌫---|-⌫--|------⌫-|-|
nepouuoitf airebonnechier emaislaroyned	-|------|-⌫---|----|-----⌫|---|-|----||
Esp aignequemoult s a ge damees toi t lentr etenoit au mieulx	---⌫----|--|----|-⌫-⌫-|---|--⌫---⌫||----⌫------|-|-----|
quellepouuoit	-|---|------|
Q uan til zeur ent disnéet	-⌫---⌫|--⌫|---⌫--|-----|-|
gracesdicte ssico mmance rent adeuiserd es	-----|-----⌫|-|--⌫------⌫---||------|-⌫-|
nopces mai sueez cy u eni r deuxescuyers q ue d irent	-----|---⌫|---|-|-⌫---⌫|---|-------|-⌫-|-⌫----|
uenezu eoirla	----|-⌫---|-|
plusb ell e compai gnie	---|-⌫---⌫|------⌫---|
que oncquesfutueuesusterre	--|------|--|---|--|----|
Lorssaillir e nt	---|-------⌫-⌫-|
lesroysaue cqlesda mesbarons	--|---|---⌫-|--|--⌫--|-----|
etche ualierstena nt chas cununedamois ellep arla	-|---⌫------|----⌫-|----⌫--|--|------⌫---|-⌫-|-|
