SainzTiebauzfu	Sainz Tiebauz fu
deiveniroeulaisai;quarillofelmesclenabvin,nostraesenior	dei venir o eu laisai ; quar il lo fel mesclen ab vin , nostrae senior
lotenden	lo tenden
il.Cuml	il . Cum l 
anlevadsusenlacruz,dosasoslazpendenlasruns:entrecelsdospendentJesum.Ilperescarno	an levad sus en la cruz , dos a sos laz penden lasruns : entre cels dos pendent Jesum . Il per escarn o
fantrestot.Cumillanmessusenlacruz,granfanescarn	fan trestot . Cum il l  an mes sus en la cruz , gran fan escarn
,grancridaizun;ensobretozunsdelsladruns	, gran cridaizun ; ensobre toz uns dels ladruns
,elescarniereiJesum.Respondetlaltre:"Malidiz	, el escarnie rei Jesum . Respondet l  altre :" Mal i diz
.Elmoratort	. El mor a tort
,rennonforsfist;maisnosadreitpercolpasgranzesmesoidiencestahanz."	, ren non forsfist ; mais nos a dreit per colpas granz esmes oidi en cest ahanz ."
EnversJesumsosolztorned,sipiamentluiappelled:"Demetmembrespertamercet,cutu	Envers Jesum sos olz torned , si piament lui appelled :" De met membres per ta mercet , cu tu
vendras,Crist,entonren."	vendras , Crist , en ton ren ."
Responli	Respon li
bonsquinonmentid,chienepsamortsemperfupius:"	bons qui non mentid , chi en epsa mort semper fu pius :"
Eutopromet,oiencestdi	Eu t  o promet , oi en cest di
abmevenrasinparadis."ODeus,versrex,JesuCrist,cital	ab me venras in paradis ." O Deus , vers rex , Jesu Crist , ci tal
donfaispertamercit,chiperhunaconfessionvideperdonesalladrun,nostelaudametnoitedi	don fais per ta mercit , chi per huna confession vide perdones al ladrun , nos te laudam et noit e di
,denosaies	, de nos aies
veramercit	vera mercit
;tunosperdone	; tu nos perdone
celzpecazquenosvetdesttuapietad.Jusquenonadeslomeiditrestotcestmundgranznoizcubrid;fui	celz pecaz qu  e nos vetdest tua pietad . Jusque nona des lo meidi trestot cest mund granz noiz cubrid ; fui
losolelzetfuilaluna,postqueDeuffilzsuspensusfure.Adepsanonacumperving,	lo solelz et fui la luna , post que Deuffilz suspensus fure . Ad epsa nona cum perving ,
duncescridedJesusgranz	dunc escrided Jesus granz
criz.Hebraicefortment	criz . Hebraice fortment
lodis:"Heli,Heli,perquemgulpist?"Unsdelsfellunschistaiki,	lo dis :" Heli , Heli , per quem gulpist ?" Uns dels felluns chi  sta iki ,
susenlacruzlitenlazit.Jesusfortmenduncrecridet	sus en la cruz li ten l  azit . Jesus fortmen dunc recridet
;lespiritusde	; le spiritus de
luianet.Cumde	lui anet . Cum de
Jesulanmananet,tanduramentterracrollet,rochesfendient	Jesu l  anma  n anet , tan durament terra crollet , roches fendient
,chedentmunt,sepulcrasanzobrirentmult.Et	, chedent munt , sepulcra sanz obrirent mult . Et
multcorpssanzensunexutetinteromnessuntvedud;quiintemplumDeicortinepend,juschelaterrapermei	mult corps sanz en sun exut et inter omnes sunt vedud ; qui in templum Dei cortine pend , jusche la terra per mei
fend.Delazlacrozestet	fend . De laz la croz estet
MariaedecuiJesus	Mariae de cui Jesus
veracarnprisdret;cumcelacarnvidramurir,qualagredol,nol	vera carn prisdret ; cum cela carn vidra murir , qual agre dol , nol
sabomvius.Elamoltbensabremembrardesoacarn	sab om vius . Ela molt ben sab remembrar de soa carn
cumDeusfunaz.Jalvedeselasimorir,elresurdra,chosabperver.Maisnemperro	cum Deus fu naz . Jal vedes ela si morir , el resurdra , cho sab per ver . Mais nemperro
granzfulidols,chitraversetperlosoncor;nulzom	granz fu li dols , chi traverset per lo son cor ; nulz om
mortalznolpodpenser,sanzSymeonzloipercogded.JosepsPilatmultapreiatlocorpsJesuquellidones;a	mortalz nol pod penser , sanz Symeonz loi percogded . Joseps Pilat mult a preiat lo corps Jesu qu  el li dones ; a
grandhonorellenportet,ensoschamsilslenvolopet.Nicodemusdellaltrapartmultunguement	grand honor el l  en portet , en sos chamsils l  envolopet . Nicodemus dell  altra part mult unguement
hiaportat;entermirraetaloenquasicentliurasadoned.Agrandhonordecespimenclaromatizencuschement	hi aportat ; enter mirra et aloen quasi cent liuras a doned . A grand honor de ces pimenc l  aromatizen cuschement
.Dunclopausenelmonumentocorpsnonjagancaceltemps.Lasoamadrevirgofuetsen	. Dunc lo pausen el monument o corps non jag anc a cel temps . La soa madre virgo fu et sen
pechedsiportetlui.Sosmunumentfuretoznous,anzluinoijagunquenulzom.	peched si portet lui . Sos munument fure toz nous , anz lui noi jag unque nulz om .
Nonfudassazancalsfelluns;davantPilattrestuitenvont:"Nostepraeiam,pertamercetgardesimet,non	Non fud assaz anc als felluns ; davant Pilat trestuit en vont :" Nos te praeiam , per ta mercet gardes i met , non
siaemblez.Quarelzodisqueresurdraetalterzdiviuspareistra;emblarlauran	sia emblez . Quar el zo dis que resurdra et al terz di vius pareistra ; emblar l  auran
lisoifidel	li soi fidel
,atozdiranquerevisquet.Granzenavemaguderrors,orenaurempecemaiors."Armazvassalzdunc	, a toz diran que revisquet . Granz en avem agud errors , or en aurem pece maiors ." Armaz vassalz dunc
lorliuret,lomonumentlorcomandet.ChristusJesus,quiDeusesversquisemperfuetsemperer,	lor liuret , lo monument lor comandet . Christus Jesus , qui Deus es vers qui semper fu et semper er ,
jafoslacharnsdeluiaucise,regnetperocumanzsefisdret.	ja fos la charns de lui aucise , regnet pero cum anz se fisdret .
Quaelenfernduncasalit,fortSatananalovenquit;persoamortsilavencut	Qua el  enfern dunc asalit , fort Satanan alo venquit ; per soa mort si l  a vencut
quecontraomnenonavertud.Etquieraliomprimerselsoienffantpersonpechet;eli	que contra omne non a vertud . Etqui era li om primers el soi enffant per son pechet ; e li
petiteteligranetquiesteventpermulzanz	petitet e li gran etqui estevent per mulz anz
.Quarancnonfonulomcarnals,encelenfernnonfosanaz,usquevenguesqui,senspechet,pertozsolses	. Quar anc non fo nulom carnals , en cel enfern non fos anaz , usque vengues qui , sens pechet , per toz solses
comunalei.Argentneaurnonidonatmasquesonsang	comuna lei . Argent ne aur non i donat mas que son sang
etsoacarn;degcelenferntozlosliuret,enparadislosarberget.Etalterzdilomattinclar	et soa carn ; d  eg cel enfern toz los liuret , en paradis los arberget . Et al terz di lo mattin clar
,cumlisoleilzfoesclairaz,tresfemnesvanalmonument;moltcarsportaventunguemenz.Langeles	, cum li soleilz fo esclairaz , tres femnes van al monument ; molt cars portavent unguemenz . L  angeles
Deudeceldessendsisaproismetalmonument;tal	Deu de cel dessend si s  aproismet al monument ; tal
aregardcumfocsardenzetcumlaneusblancvestimenz.Enpasquelvidrenli	a regard cum focs ardenz et cum la neus blanc vestimenz . En pas quel vidren li
custod,sisespaurirendepavor,quequaissesmorzaterravengrendegranpavorquesoblelz	custod , si s  espauriren de pavor , que quaisses morz a terra vengren de gran pavor que sobl  elz
vengre.Sus	vengre . Sus
enlapeddrelangelsist	en la peddre l  angel sist
,siparletalasfemnes,dis:"Nossneient	, si parlet a las femnes , dis :" Nos  s neient
ciperquecrement,queJesumCristbenrequeret.Anazenesetnonesci,totacomplit	ci per que crement , que Jesum Crist ben requeret . Anaz en es et non es ci , tot a complit
quunquevosdis.Venezvederlolocvoiantolisoscorpsjacdesabanz.	quun que vos dis . Venez veder lo loc voiant o li sos corps jac desabanz .
Asosfidelstotannuncaz,	A sos fidels tot annuncaz ,
masvosPetdrunnoioblidez:en	mas vos Petdrun noi oblidez : en
Galileaavantenvai,allolvetran	Galilea avant en vai , allol vetran
oditlorad."Ellesdequicumsunttornades,Jesuslasasenprencontradas;duncreconnossentlosenior	o dit lor ad ." Elles d  equi cum sunt tornades , Jesus las a senpr  encontradas ; dunc reconnossent lo senior
,siladorentcumredemptor.Lonostraeseindraeeneps	, si l  adorent cum redemptor . Lo nostrae seindrae en eps
celdiveduzfuraeveiadescinc.PrimeralvitsanctaMariae,decuisepdiables	cel di veduz furae veiades cinc . Primeral vit sancta Mariae , de cui sepdiables
forsmisdret.Empreslovidrencellesduaes	forsmisdret . Empres lo vidren celles duaes
delmunument,cumseretornent	del munument , cum se retornent
.Petdreslovitenepscel	. Petdres lo vit en eps cel
di,abluiparletsilconjaudit.Enverslovespraeenversloserdunclorevidrendoifidel;castelEmausabelzentret	di , ab lui parlet sil conjaudit . Envers lo vesprae envers lo ser dunc lo revidren doi fidel ; castel Emaus ab elz entret
,abelzensemblesisopet.	, ab elz ensemble si sopet .
Jasadunentlisoifidel,jadicentuitqueviuseret;cumilmenaventalraizon,	Ja s  adunent li soi fidel , ja dicen tuit que vius eret ; cum il menaven tal raizon ,
Jesusestetenmettrestoz."Paxvobissit	Jesus estet en mettrestoz ." Pax vobis sit
-disatrestoz-eusoiJesusquipassussoi;vedezmasmans,vedez	- dis a trestoz - eu soi Jesus qui passus soi ; vedez mas mans , vedez
mospeds,vedezmolaz,quifuiplages."Fortmentsunilespaventat,illinoncredentqueaiacarn	mos peds , vedez mo laz , qu  i fui plages ." Fortment sun il espaventat , il li non credent que aia carn
;zopensentil,queenterelzlespiritusaparegues.Melepeisonequimanget,enveritad	; zo pensent il , que enter elz le spiritus aparegues . Mel e peison equi manget , en veritad
losconfirmet;sapassionpeisonstostazelomelssignadeitat	los confirmet ; sa passion peisons tostaz e lo mels signa deitat
.Alquesvos	. Alques vos
aideitderaizonqueJesusfezpospassion;tot	ai deit de raizon que Jesus fez pos passion ; tot
nolvosposceubencomptar,nolpodnulomdemadrenaz.Asosfidelsquarantadispermulzsemblanzsemonstretviu	nol vos posc eu ben comptar , nol pod nulom de madre naz . A sos fidels quaranta dis per mulz semblanz se monstret viu
;emsemblabelz	; emsembl  ab elz
becemanjed,deregnumDeusemper	bec e manjed , de regnum Deu semper
parlet.Eperesmundroalsallartozbabtizarintrinitad;quiluicredran,cilerentsalv;quinol	parlet . E per es mund roals allar toz babtizar in trinitad ; qui lui credran , cil erent salv ; qui nol
cretran,	cretran ,
serandamnat.Signesfaranlisoifidelqualselabanzfairesoleit.Linguesnoves	seran damnat . Signes faran li soi fidel quals el abanz faire soleit . Lingues noves
ilparlaranetdiablesencalceran.Sialcunsdelsbevenveren,nonauramal,zosabperver	il parlaran et diables encalceran . Si alcuns d  els beven veren , non aura mal , zo sab per ver
;sobraemalabdesmansmetranetsanitadatoz	; sobrae malabdes mans metran et sanitad a toz
rendran.SusenumontdonchesmontatqueHolivet	rendran . Sus en u mont donches montat que Holivet
numnatvosai.Levetsaman,silsbenedis;vengrelanuvols,silcollit.Elorvedent	numnat vos ai . Levet sa man , sils benedis ; vengre la nuvols , sil collit . E lor vedent
montetencel,addextrisDeuJesusesset;etquivenratozjudicar,atozrendra	montet en cel , addextris Deu Jesusesset ; etqui venra toz judicar , a toz rendra
ebenemal	e ben e mal
.Lisoifidelensontornet;aldezenjornjacumperveng,SpiritusSanctussobrelzched,	. Li soi fidel en son tornet ; al dezen jorn ja cum perveng , Spiritus Sanctus sobr  elz ched ,
silsenflametcumfugsardenz.Ildesabanzsuntaserad,deCrist	sils enflamet cum fugs ardenz . Il desabanz sunt aserad , de Crist
nonsabentmotparlar;enpaschevengvertuzdecel,ilnondobtennegunJudeu.Pertoz	non sabent mot parlar ; en pas che veng vertuz de cel , il non dobten negun Judeu . Per toz
lengatgesvanparlan,lasvirtuzCrist	lengatges van parlan , las virtuz Crist
vanannuncian;no	van annuncian ; no
lorpodomvius	lor pod om vius
contrastar,signesfazenperpodestad.Espandutsunt	contrastar , signes fazen per podestad . Espandut sunt
pertotcesmund,regnumDeinuncentpertot;pertot	per tot ces mund , regnum Dei nuncent per tot ; per tot
convertentpopletgent,ChristusJesuspertotabelz.LoSatanasdol	convertent popl  et gent , Christus Jesus per tot ab elz . Lo Satanas dol
enagrand,alsDeufidelsfaidursafanz.Alcanzencruz	en a grand , als Deu fidels fai durs afanz . Alcanz en cruz
failoslevar	fai los levar
,alquanzdespadesdegollar;ellos	, alquanz d  espades degollar ; ellos
alquanzfaiescorcer,alquanzenfogviustrebucher,etengradilielsfaitoster,alquanz	alquanz fai escorcer , alquanz en fog vius trebucher , et en gradiliels fai toster , alquanz
appetdreslapider.	appetdres lapider .
Luiqueaiude?Nulsvencera;cumpeislorfai	Lui que aiude ? Nuls vencera ; cum peis lor fai
,ilcreisentmais.LocapaCristesvegurad,pertotesmundesadhoraz.Noscestespugnesnonavem	, il creisent mais . Lo cap a Crist esvegurad , per tot es mund es adhoraz . Nos cestes pugnes non avem
,contranosepspugnardevem;fraindredevemnozvoluntez,	, contra nos eps pugnar devem ; fraindre devem noz voluntez ,
quepartaiamabDeufidels.Quarfinimunznonesmultlon,etregnumDeufortmentesprob;dontrenoslezfacam	que part aiam ab Deu fidels . Quar finimunz non es mult lon , et regnum Deu fortment es prob ; dontre nos lez facam
loben,gurpissem	lo ben , gurpissem
mundetsompechet.ChristusJesus,	mund et som pechet . Christus Jesus ,
quimansensus,mercetaiasdepechedors;en	qui mans ensus , mercet aias de pechedors ; en
talsraizonssiammespraes,pertapitadlomperdones.Teposcheretdraegraciaedavant	tals raizons si ammespraes , per ta pitad lom perdones . Te posche retdrae graciae davant
topairegloriae|SanzSpiritumposchelaudaretnuncpertotin	to paire gloriae | Sanz Spiritum posche laudar et nunc per tot in
secula.AMEN	secula . AMEN
DomineDeudevemps	Domine Deu devemps
lauder,Etasossanczhonorporter.Insuamorcantompsdelssanz,Quaeporluiaugrentgranzaanz;	lauder , Et a sos sancz honor porter . In su  amor cantomps dels sanz , Quae por lui augrent granz aanz ;
EtorestempsetsiestbiensQuaenoscantumpsdesantLethgier.	Et or es temps et si est biens Quae nos cantumps de sant Lethgier .
PrimesdidraivosdelshonorsQuaeilawretabduosseniors;ApresditraivosdelsaanzQue	Primes didrai vos dels honors Quae il awret ab duos seniors ; Apres ditrai vos dels aanz Que
lisuoscorpssustingsigranz,EtEwruins,cilDeumentiz,Que	li suos corps susting si granz , Et Ewruins , cil Deu mentiz , Que
luiagrandtormentoccist.Quantinfansfud,doncacielstemps,Alrei	lui a grand torment occist . Quant infans fud , donc a ciels temps , Al rei
loduistrentsoiparentQuidonc	lo duistrent soi parent Qui donc
regnevetacieldi:CiofudLothiers,filsBaldequi	regnevet a ciel di : Cio fud Lothiers , fils Baldequi
.Illenamat,Deulocovit,Rovatqueletresapresist.Didun,lebisquedePeitieus	. Il l  enamat , Deu lo covit , Rovat que letres apresist . Didun , l  ebisque de Peitieus
,LuilcomandatcielreisLothiers	, Luil comandat ciel reis Lothiers
.Illoreciut,tam	. Il lo reciut , tam
benenfist,Abumagistresemprelmist,QuilodoistbiendecielsavierDonDeuservirporbonafied	ben en fist , Ab u magistre semprel mist , Qui lo doist bien de ciel savier Don Deu servir por bona fied
.Etcumillautdoitdelcielart,Rendelquiluilocomandat.Illoreciu	. Et cum il l  aut doit del ciel  art , Rendel qui lui lo comandat . Il lo reciu
,bienlonodrit;Ciofudlonxtiempsobselosting.Deuslexaltatcuiel	, bien lo nodrit ; Cio fud lonx tiemps ob se los ting . Deus l  exaltat cui el
servid,De	servid , De
sanctMAXENZabbasdivint.NefudnulsomdelsonjuventQuimieldrefustdoncacielstiemps;Perfectusfudincaritet	sanct MAXENZ abbas divint . Ne fud nuls om del son juvent Qui mieldre fust donc a ciels tiemps ; Perfectus fud in caritet
,Fidautilgrandet	, Fid aut il grand et
veritiet,Etinraizonsbelsothsermons;Humilitietothpertrestoz.Ciosemprefudetjasier	veritiet , Et in raizons bels oth sermons ; Humilitiet oth per trestoz . Cio sempre fud et ja si er
:Quifailobien,laudazener;EtsanzLetgierssemprefudbons	: Qui fai lo bien , laudaz en er ; Et sanz Letgiers sempre fud bons
,Semprefistbienoqueelpod.	, Sempre fist bien o que el pod .
Davantloreienfudlaudiez;Cumillaudit,fulinamet.A	Davant lo rei en fud laudiez ; Cum il l  audit , fu lin amet . A
selmandatetciolidist:Acurtfust,sempreluiservist.Illexaltatelonorat,Sa	sel mandat et cio li dist : A curt fust , sempre lui servist . Il l  exaltat e l  onorat , Sa
gratialiperdonat,EthunctambienqueilenfistDeHostedunevesqueenfist.	gratia li perdonat , Et hunc tam bien que il en fist De Hostedun evesque en fist .
Quandiusvisquetciel	Quandius visquet ciel
reisLothiers,BienhonorezfudsanczLethgiers.Ilsefudmorz,damzifudgranz.Ciocontroverent	reis Lothiers , Bien honorez fud sancz Lethgiers . Il se fud morz , damz i fud granz . Cio controverent
baronfranc,Por	baron franc , Por
cioquefuddebonafiet,DeChielperigfesissentrei.Uncompteioth,pres	cio que fud de bona fiet , De Chielperig fesissent rei . Un compte i oth , pres
enlestrit;CielepsnumauretEvrui.NevolreciwreChielperin,MaisloseufredreTheoiri.	en l  estrit ; Ciel eps num auret Evrui . Ne vol reciwre Chielperin , Mais lo seu fredre Theoiri .
Nelcondignetnulsdesospiers,Reivoluntfairestresogred.Illopresdrenttuitaconseil	Nel condignet nuls de sos piers , Rei volunt fair  estre so gred . Il lo presdrent tuit a conseil
,Estresogretenfisdrenrei	, Estre so gret en fisdren rei
;EtEwruinsotengrandol,Porroqueventrenolsenpoth.Por	; Et Ewruins ot en gran dol , Porro que ventre nols en poth . Por
cieltielduolrovasclergier,Sisenintrat	ciel tiel duol rovas clergier , Si s  en intrat
inunmonstier.ReisChielpericstambienenfist,DesanctLethgierconsilierfist.Quandiusalsuo	in un monstier . Reis Chielperics tam bien en fist , De sanct Lethgier consilier fist . Quandius al suo
consieledrat,IncontraDeubensigarda,Leiconsentitetobservat,Etsonregnetbendominat.Ja	consiel edrat , Incontra Deu ben si garda , Lei consentit et observat , Et son regnet ben dominat . Ja
fudtelsom,Deuinimix,QuilencusatabChielpering.L	fud tels om , Deu inimix , Qui l  encusat ab Chielpering . L 
irafudgranzcumdesenior,Etsancz	ira fud granz cum de senior , Et sancz
Lethgiersocsentpavor;Jalosotbien,illocelat	Lethgiers oc s  ent pavor ; Ja lo sot bien , il lo celat
,Anuilomnenoldemonstrat.Quantcieliraetelsesdevent,Paschasfurentin	, A nuil omne nol demonstrat . Quant ciel  irae tels esdevent , Paschas furent in
epsceldi;	eps cel di ;
EtsanczLethgiers	Et sancz Lethgiers
fistsonmistier	fist son mistier
,Missaecantat,fistlo	, Missae cantat , fist lo
mulben.Pobletloreicommuniet,Etsenscumgietsi	mul ben . Pobl  et lo rei communiet , Et sens cumgiet si
senralet.ReisChielperics,cumillaudit,Presdrasosmeis,aluistramist;	s  en ralet . Reis Chielperics , cum il l  audit , Presdra sos meis , a luis tramist ;
Ciolimandatquerevenist,Sagratiaportotouist.EtsanczLethgiersnes	Cio li mandat que revenist , Sa gratia por tot ouist . Et sancz Lethgiers nes
sothmesfait;Cumvitles	soth mesfait ; Cum vit les
meis,aluiralat.Ilciolidistetadunat:"Tosconsiliersjanonestrai.Meuevesquet	meis , a lui ralat . Il cio li dist et adunat :" Tos consiliers ja non estrai . Meu  evesquet
nemleztenerPortequisempremvolsaver	nem lez tener Por te qui semprem vols aver
.Enumonstiermelaisseintrer.Posci	. En u monstier me laisse intrer . Pos ci
nonposc,laivolester."Envizlofist,nonvoluntiers,Laissel	non posc , lai vol ester ." Enviz lo fist , non voluntiers , Laisse l
intrarinumonstier.CiofudLusosutilintrat;ClerjEwruiillotrovat.CilEwruinsmoltli	 intrar in u monstier . Cio fud Lusos ut il intrat ; Clerj  Ewrui illo trovat . Cil Ewruins molt li
volmiel,	vol miel ,
Tothperenveia,nonperel.EtsanczLethgiersfistsomistier,Ewruipristacastier:	Toth per enveia , non per el . Et sancz Lethgiers fist so mistier , Ewrui prist a castier :
Cieliragrandetcielcorropt,Ciolipreia,laissaslototh.FusliporDeu,	Ciel  ira grand et ciel corropt , Cio li preia , laissas lo toth . Fus li por Deu ,
nelfusporlui.Ciolipreia,paiassablui.EtEwruins	nel fus por lui . Cio li preia , paias s  ab lui . Et Ewruins
fistfinctapais;Cioldemonstrat	fist fincta pais ; Ciol demonstrat
,quesipaias.Quandiusincielmonstier	, que si paias . Quandius in ciel monstier
instud,Cioldemonstrat,amixlifust.Maisenavantvoscioaurez,Cumilledratpormalafid.	instud , Ciol demonstrat , amix li fust . Mais en avant vos cio aurez , Cum ill edrat por mala fid .
RexChielperingsilsefudmorz;Porloregnetlosowrenttost.Vindrentparenteloramic,	Rex Chielperings il se fud morz ; Por lo regnet lo sowrent tost . Vindrent parent e lor amic ,
LisanctLethgier	Li sanct Lethgier
,liEwrui.Cioconfortentadambesduos,Quesentralgentinlorhonors.EtsanczLethgiersdenfistdra	, li Ewrui . Cio confortent ad ambes duos , Que s  ent ralgent in lor honors . Et sancz Lethgiers den fistdra
bien,Quaesenralaten	bien , Quae s  en ralat en
sevesquet.EtEwruinsdenfisdramiel,Quaedoncdevenganatemaz.Sonquevqueilacoronat,Tothlo	s  evesquet . Et Ewruins den fisdra miel , Quae donc deveng anatemaz . Son quev que il a coronat , Toth lo
laiserarecimer.DomineDeuillolaissat,Et	laisera recimer . Domine Deu il lo laissat , Et
adiables	a diables
comandat.Quidoncfudmielsetaluivint,Ilvoluntierssemperreciut	comandat . Qui donc fud miels et a lui vint , Il voluntiers semper reciut
.Cumfulcenautgrandadunat,Loregneprest	. Cum fulc en aut grand adunat , Lo regne prest
adevastar.Afoc,aflammavaiardant,Etagladiespercutan.Porquantilpot,tan	a devastar . A foc , a flamma vai ardant , Et a gladies percutan . Por quant il pot , tan
faidemiel;PorDeunelvoltilobserver.Cielne	fai de miel ; Por Deu nel volt il observer . Ciel ne
fudnezdemedreviusQuitalexercitevidist.AdOstedun,acilla	fud nez de medre vius Qui tal exercite vidist . Ad Ostedun , a cilla
ciu,DomsanctLethgiervaiasalir.	ciu , Dom sanct Lethgier vai asalir .
Nepotintrerenlaciutat	Ne pot intrer en la ciutat
;Deforslasist,fistigranmiel.	; Defors l  asist , fist i gran miel .
EtsanczLethgiersmulenfud	Et sancz Lethgiers mul en fud
trists,Por	trists , Por
cieltielmielquaedeforsvid.Sosclerjespresilrevestiz,Etobsescroixforssenexit	ciel tiel miel quae defors vid . Sos clerjes pres il revestiz , Et ob ses croix fors s  en exit
.Porronexit,vollipreierQuaetotcielmiellaissesporDeu.CielEwruins	. Porron exit , vol li preier Quae tot ciel miel laisses por Deu . Ciel Ewruins
,qualhoralvid,Penrelrovat,lierlofist.HORENAUREZLASPOENASgranz,Quae	, qual horal vid , Penrel rovat , lier lo fist . HOR EN AUREZ LAS POENAS granz , Quae
ilenfisdra,litiranz.Liperfidestamfudcruels,Lisolsdelcaplifaicrever.Cumsi	il en fisdra , li tiranz . Li perfides tam fud cruels , Lis ols del cap li fai crever . Cum si
lautfait,mislenreclus;Ne	l  aut fait , mis l  en reclus ; Ne
sothnulsom	soth nuls om
quesdevenguz.AmlaslawraslifaitalierHanclalinguaquaeautinquev.	qu  es devenguz . Am las lawras li fai talier Hanc la lingua quae aut in quev .
Cumsilauttothvituperet,DistEwruins,quitanfudmiels:"Horaperduddondeuparlier;Ja	Cum si l  aut toth vituperet , Dist Ewruins , qui tan fud miels :" Hor a perdud don deu parlier ; Ja
nonpodramaisDeulaudier."Aterrajoth,multfoafflicz;	non podra mais Deu laudier ." A terra joth , mult fo afflicz ;
Nonoctobsecuiencalsist.Superlispieznepodester,Quetozlosatilcondemnets.	Non oct ob se cui en calsist . Super lis piez ne pod ester , Que toz los at il condemnets .
Oraperduddondeuparlier;Janonpodra	Or a perdud don deu parlier ; Ja non podra
maisDeulaudier.Sedilnon	mais Deu laudier . Sed il non
adlinguaparlier,Deusexaudislissospensaez;Etsiel	ad lingu  a parlier , Deus exaudis lis sos pensaez ; Et si el
nonadolscarnels,En	non ad ols carnels , En
corlosadespiritiels;Etsiencorpsagrandtorment,Lanimanawraconsolament.Guenesothnumcuil	cor los ad espiritiels ; Et si en corps a grand torment , L  animan awra consolament . Guenes oth num cuil
comandat;Lajus	comandat ; La jus
encartreslenmenat;EtenFescant,in	en cartres l  en menat ; Et en Fescant , in
cielmonstier,IlloreclusdrentsanctLethgier.DomineDeus	ciel monstier , Illo reclusdrent sanct Lethgier . Domine Deus
incielflaielIvisitetLethgier	in ciel flaiel I visitet Lethgier
sonserw.Lalabialiadrestaurat,SicumdesanzDeupreslaudier;Ethancenautmercisigrand	son serw . La labia li ad restaurat , Si cum desanz Deu pres laudier ; Et hanc en aut merci si grand
,Parlierlofistsicumdesanz.DoncpresLethgiersapreier,	, Parlier lo fist si cum desanz . Donc pres Lethgiers a preier ,
PoblebenfistcredreinDeu.Et	Poble ben fist credre in Deu . Et
Ewruis,cumillaudit,Credrenelpotantroquelvid.Cumillovid,fudcorroptios;	Ewruis , cum il l  audit , Credre nel pot antro quel vid . Cum il lo vid , fud corroptios ;
Doncoctablui	Donc oct ab lui
duresraizons.Elcorsexastraaltirant,Peislipromestadenavant.Agrandfuror,agranflaiel,	dures raizons . El cors exastra al tirant , Peis li promest ad en avant . A grand furor , a gran flaiel ,
SilrecomandaLaudebert	Sil recomanda Laudebert
.Ciolirova,etnoitetdiMiellifesistdontrequelviu	. Cio li rova , et noit et di Miel li fesist dontre qu  el viu
.CielLaudeberzfurabuonsom,EtsanctLethgierduisasondom.Illivolfairemultamet;Bewre	. Ciel Laudeberz fura buons om , Et sanct Lethgier duis a son dom . Il li vol faire mult amet ; Bewre
lirovaaporter.Garda,sividgrandclaritet;Decelvindre,fud	li rova aporter . Garda , si vid grand claritet ; De cel vindre , fud
deparDeu.Sicumroors	de par Deu . Si cum roors
incelesgranz,Etsicumflammesclarardanz.CilLaudeberz,qualhoralvid	in cel es granz , Et si cum flammes clar ardanz . Cil Laudeberz , qual horal vid
,Tornes	, Torne s 
alsaltres,silordist:"CiestomnetielmultaimaDeus	als altres , si lor dist :" Ciest omne tiel mult aima Deus
,Porcuitelscausavindeciel."Porciels	, Por cui tels causa vin de ciel ." Por ciels
signesquevidrenttels,Deupresdrentmultaconlauder.Tuitliomnedecielpais	signes que vidrent tels , Deu presdrent mult a conlauder . Tuit li omne de ciel pais
,Trestuitapresdrentavenir;EtsanczLethgierslisprediat	, Trestuit apresdrent a venir ; Et sancz Lethgiers lis prediat
,DomineDeuilleslucrat.RendetcielfruitespiritielQuaeDeusliauretperdonat.	, Domine Deu il les lucrat . Rendet ciel fruit espiritiel Quae Deus li auret perdonat .
EtEwruins,cumillaudit,Credrenelpotantroquelvid.Cilbiensquelfist,	Et Ewruins , cum il l  audit , Credre nel pot antro quel vid . Cil biens qu  el fist ,
cillipesat	cil li pesat
;Occiderelocommandat.QuatromnesitramistarmezQueluialessuntdecoller.	; Occidere lo commandat . Quatr  omnes i tramist armez Que lui alessunt decoller .
LitresvindrentasanctLethgier,Jussegiterentasospez.Delor	Li tres vindrent a sanct Lethgier , Jus se giterent a sos pez . De lor
pechietzqueaurentfaizIllosabsolsetperdonet.Lo	pechietz que aurent faiz Il los absols et perdonet . Lo
quarz,unsfel,nomaVadart,Abuninspiethlodecollat.Etcumill	quarz , uns fel , nom a Vadart , Ab un inspieth lo decollat . Et cum il l 
audtollutloquev,Locorpsesterasobrelspiez.	aud tollut lo quev , Lo corps estera sobrels piez .
Ciofudlonxdisquenoncadit;Laisaprosmatqueluifirid.Entrol	Cio fud lonx dis que non cadit ; Lai s  aprosmat que lui firid . Entrol
talialospezdejus,Locorpsesterasempre	talia los pez dejus , Lo corps estera sempre
sus.Delcorpsasazl	sus . Del corps asaz l 
avezaudit,Etdelsflaielsquegranzsustint.LanimareciutDomineDeus;	avez audit , Et dels flaiels que granz sustint . L  anima reciut Domine Deus ;
Alsaltres	Als altres
sanzenvaiencel.IlnosaiudobcielSenior	sanz en vai en cel . Il nos aiud ob ciel Senior
Porcuisustinctelspassions	Por cui sustinc tels passions
