domineexaudiorationemmeam	domine exaudi orationem meam
ei᷒quiauenittempus.	ei᷒ quia uenit tempus .
Qm̃placueruntseruistuuis	Qm̃ placuerunt seruis tuuis
lapides	  lapides
eiusterreei᷒miserebuntur.Et	eius terre ei᷒ miserebuntur . Et
timebuntgentesnomentuũdomine	timebunt gentes nomen tuũ domine  
omnesregesterregl̃amtuam	omnes reges terre gl̃am tuam
.Quiaedificauitdominussyon	. Quia edificauit dominus syon 
etuidebituringl̃asua	et uidebitur in gl̃a sua
.Respexitinorationemhumilium	. Respexit in orationem humilium 
nonspreuitprecemeorum.Scribanturhecin	 non spreuit precem eorum . Scribantur hec in
generationealteraetppl̃ousquicreabiturlaudabit	generatione altera  et ppl̃ous qui creabitur laudabit
dñm.Quiaꝓspexitdeexcelsosc̃osuodominus	dñm . Quia ꝓspexit de excelso sc̃o suo  dominus
decelointerrãaspexit.Utaudiretgemituscompeditorum	de celo in terrã aspexit . Ut audiret gemitus compeditorum
utsolueretfilioᷤ	 ut solueret filioᷤ
interemptorum.Utannuntientinsyonnom̃domini	interemptorum . Ut annuntient in syon nom̃ domini 
etlaudemeiusinierl̃m.	et laudem eius in ierl̃m .
Inconueniendopopulosinunumetregesutseruiant	In conueniendo populos in unum  et reges ut seruiant
domino.Responditeiin	domino . Respondit ei in
uiauirtutissuepaucitatemdierũ	uia uirtutis sue  paucitatem dierũ
meorumnuntiamͥ.Nereuocesmeindimidiodierum	meorum nuntia mͥ . Ne reuoces me in dimidio dierum
meoꝝin	meoꝝ  in
generationegeneratõem	generatione  generatõem
annitui.Initiotudomineterramfundasti	anni tui . Initio tu domine terram fundasti 
oꝑamanuũ	 oꝑa manuũ
tuaꝝsuntceli	tuaꝝ sunt celi
.Ipsiꝑibunttuautemꝑmanesetom̃ssicut	. Ipsi ꝑibunt tu autem ꝑmanes  et om̃s sicut
uestimentumuet̃ascent.Etsicutoꝑtoriummutabiseos	uestimentum uet̃ascent . Et sicut oꝑtorium mutabis eos
mutabunturtuautẽidemipseest	 mutabuntur  tu autẽ idem ipse est 
annitui	anni tui
nondeficient.Filiiseruoꝝ	non deficient . Filii seruoꝝ
tuorumhabitabuntetsemeneoꝝinscl̃m	tuorum habitabunt  et semen eoꝝ in scl̃m
dirigetur.Dñeexaudior̃onẽ	dirigetur . Dñe exaudi or̃onẽ
meã⁊clamor	meã  ⁊ clamor
m̃usadteueniat.Nõaũtasfaciẽtuãa	m̃us ad te ueniat . Nõ aũtas faciẽ tuã a
meinqͣc̃qdietribulorinclinaadme	me  in qͣc̃q die tribulor inclina ad me
aurẽtua.̃Inqͣc̃q	aurẽ tua . ̃ In qͣc̃q
dieinuocaũoteuelocit̃exaudime	die inuocaũo te  uelocit̃ exaudi me
.Quiadefecer̃tsic̃	. Quia defecer̃t sic̃
fum᷒dies	fum᷒ dies
m̃i⁊ossam̃asic̃	m̃i  ⁊ ossa m̃a sic̃
cremiũaruer̃t	cremiũ aruer̃t
.Percussussũutfenu.̃⁊	. Percussus sũ ut fenu . ̃ ⁊
aruitcormeũoblit᷒sũcomed̃epanẽ	aruit cor meũ   oblit᷒ sũ comed̃e panẽ
meũ.Auocegemit᷒m̃iadhesitosmeũ	meũ . A uoce gemit᷒ m̃i  adhesit os meũ
carnimee	carni mee
.Simil̃factussũpellicanosolitudinisfact᷒sumsic̃	. Simil̃ factus sũ pellicano solitudinis  fact᷒ sum sic̃
niticoraxindomicilio.Vigilaui⁊fact᷒sũsic̃	niticorax in domicilio . Vigilaui  ⁊ fact᷒ sũ sic̃
passersolitari᷒intecto.Tota	passer solitari᷒ in tecto . Tota
dieexꝓbrabãtmͥinimici	die exꝓbrabãt mͥ inimici
m̃i⁊quilaudabãtmeaduersũmeiurabãt.	m̃i  ⁊ qui laudabãt me aduersũ me iurabãt .
Quiacinerẽtãꝙͣpanẽ	Quia cinerẽ tãꝙͣ panẽ
manducabã⁊pocl̃m	manducabã  ⁊ pocl̃m
meũcũfletumiscebã.A	meũ cũ fletu miscebã . A
facieireindignatõistueeleuãsallisistime	facie ire indignatõis tue   eleuãs allisisti me
.Diesm̃isic̃umbradeclinauer̃t⁊egosic̃	. Dies m̃i sic̃ umbra declinauer̃t  ⁊ ego sic̃
fenũarui.	fenũ arui .
Tuãdñein	Tu ã dñe in
et̃nũꝑmanes⁊memorialetuũingñatõnẽ	et̃nũ ꝑmanes ⁊ memoriale tuũ in gñatõnẽ
⁊gñatõnẽ.	⁊ gñatõnẽ .
Tuexurgensdñe	Tu exurgens dñe
misereb̃issyontẽp᷒miserendieius	misereb̃is syon   tẽp᷒ miserendi eius
.uenit	.  uenit
tẽp᷒.Qm̃placuer̃tseruistuis	tẽp᷒ . Qm̃ placuer̃t seruis tuis
lapidesei᷒	lapides ei᷒
⁊t̃reei᷒	 ⁊ t̃re ei᷒
miserebũt᷑.Ettimebũtgt̃snom̃tuũdñe	miserebũt᷑ . Et timebũt gt̃s nom̃ tuũ dñe 
⁊om̃sregest̃regl̃iãtuam.Quiaedificabitdñs	⁊ om̃s reges t̃re gl̃iã tuam . Quia edificabit dñs
syõ⁊uidebiturĩgl̃asua.Respex̃in	syõ  ⁊ uidebitur ĩ gl̃a sua . Respex̃ in
or̃onẽhumiliũ⁊	or̃onẽ humiliũ  ⁊
nõsuitcẽeoꝝ.	nõ suit cẽ eoꝝ .
Scribant᷑h̃	Scribant᷑ h̃
ingñatõealt̃a⁊ppl̃s	in gñatõe alt̃a ⁊ ppl̃s
qͥcreabiturlaudabitdñm	qͥ creabitur laudabit dñm
.Quiaꝓspexitdeexcelsosc̃osuodñs	. Quia ꝓspexit de excelso sc̃o suo  dñs
deceloint̃ramaspexit.Utaudiretgemitũꝯpeditoꝝ	de celo in t̃ram aspexit . Ut audiret gemitũ ꝯpeditoꝝ
utsolũetfiliosint̃emtoꝝ.	 ut solũet filios int̃emtoꝝ .
Utannũciẽtinsiõnom̃	Ut annũciẽt in siõ nom̃
dñi⁊laudemei᷒	dñi  ⁊ laudem ei᷒
inihrl̃m.Incõueniendoppl̃osĩunũ⁊reges	in ihrl̃m . In cõueniendo ppl̃os ĩ unũ ⁊ reges
utseruiãtdño.Respõdit	 ut seruiãt dño . Respõdit
eiĩuia	ei ĩ uia
uͥtutissuepaucitatẽdier̃m̃oꝝnunciamͥ	uͥtutis sue  paucitatẽ dier̃ m̃oꝝ nuncia mͥ
.Nereuocesmeĩdimidiodier̃m̃oꝝ	. Ne reuoces me ĩ dimidio dier̃ m̃oꝝ
ingñatõe⁊gñatõemãnitui.Iniciotu	 in gñatõe ⁊ gñatõem ãni tui . Inicio tu
dñet̃rãfũdasti⁊oꝑamanuũ	dñe t̃rã fũdasti  ⁊ oꝑa manuũ
tuar̃s̃celi.	tuar̃ s̃ celi .
Ipsiꝑib̃ttu	Ipsi ꝑib̃t tu
ãꝑmanes⁊õssic̃	ã ꝑmanes  ⁊ õs sic̃
uestim̃tũuet̃ascẽt.Etsic̃oꝑtoriũmutab̃	uestim̃tũ uet̃ascẽt . Et sic̃ oꝑtoriũ mutab̃
eos⁊mutabũt᷑tuã	eos ⁊ mutabũt᷑  tu ã
idẽip̃ees.	idẽ ip̃e es .
⁊annituinõdeficiẽt.Filiiseruoꝝtuoꝝ	⁊ anni tui nõ deficiẽt . Filii seruoꝝ tuoꝝ
habitab̃t⁊sem̃eoꝝĩscl̃mdiriget᷑	habitab̃t  ⁊ sem̃ eoꝝ ĩ scl̃m diriget᷑
.Dñeexaudi	. Dñe exaudi
or̃onemmeam	or̃onem meam 
clamorm̃sad	 clamor m̃s ad
teueniat.Nõaũtasfaciemtuã	te ueniat . Nõ aũtas faciem tuã
ameĩquacũqdietͥbulorinclinaadmeaurem	a me ĩ quacũq die tͥbulor inclina ad me aurem
tuam.Inquacũq	tuam . In quacũq
dieĩuocaueroteuelocit̃exaudime.Quia	die ĩuocauero te uelocit̃ exaudi me . Quia
defecer̃tsicutfum᷒diesmei.ossameasic̃	defecer̃t sicut fum᷒ dies mei .  ossa mea sic̃
cremiumaruer̃t.Percussussũutfenũ.aruit	cremium aruer̃t . Percussus sũ ut fenũ .  aruit
cormeũ.oblitussũcomed̃epanemmeu	cor meũ .  oblitus sũ comed̃e panem meu
.̃Auocegemitusmeiadhesitosmeũ	. ̃ A uoce gemitus mei adhesit os meũ
carnimeeSimilisfc̃ssũ	carni mee Similis fc̃s sũ
pellicanosolitudinis.fc̃ssũsic̃niticoraxindomicilio.	pellicano solitudinis . fc̃s sũ sic̃ niticorax in domicilio .
Vigilauifc̃s	Vigilaui  fc̃s
sumsicut	sum sicut
passersolitariusĩtecto.Toradieexꝓbrabant	passer solitarius ĩ tecto . Tora die exꝓbrabant
mͥinimici	mͥ inimici
meiqͥ	mei   qͥ
laudabantmeadũsũmeiurabãt	laudabant me adũsũ me iurabãt
Quiacinerẽtãꝙͣpanẽmanducabãpotũmeũ	Quia cinerẽ tãꝙͣ panẽ manducabã   potũ meũ
cũfletumiscebam.Afacieireindignationistue	cũ fletu miscebam . A facie ire indignationis tue
eleuansallisistime.Diesmeisicutũbradeclinauer̃t	 eleuans allisisti me . Dies mei sicut ũbra declinauer̃t
egosic̃	  ego sic̃
fenũarui.Tuaũ	fenũ arui . Tu aũ
dñeĩet̃nũ	dñe ĩ et̃nũ
ꝑmanes.memorialetuũĩgñationegñationem	ꝑmanes .  memoriale tuũ ĩ gñatione  gñationem
.Tuexurgensdñemisereberis	. Tu exurgens dñe misereberis
syontẽpusmiserendieiusuenittemp᷒.	syon  tẽpus miserendi eius  uenit temp᷒ .
Qm̃placuer̃tseruistuis	Qm̃ placuer̃t seruis tuis
lapideseius	lapides eius
t̃reei᷒miserebũtur.Ettimebũtgentes	t̃re  ei᷒ miserebũtur . Et timebũt gentes
nom̃tuũdñe.om̃sregest̃re	nom̃ tuũ dñe .  om̃s reges t̃re
gl̃amtuã.Quiaedificauit	gl̃am tuã . Quia edificauit
dñssyõ.uidebr̃ingl̃asua.	dñs syõ .  uidebr̃ in gl̃a sua .
Respexitĩor̃oemhumiliũñ	Respexit ĩ or̃oem humiliũ  ñ
spreuitprecemeoꝝ.Scribanturhec	spreuit precem eoꝝ . Scribantur hec
ingñationealt̃a.ppl̃s	in gñatione alt̃a .  ppl̃s
quicreabr̃	qui creabr̃
laudabitdñm.	laudabit dñm .
Quiaꝓspexitde	Quia ꝓspexit de
excelsosc̃osuodñsdeceloint̃ramaspex̃	excelso sc̃o suo  dñs de celo in t̃ram aspex̃
.Utaudiretgemitusꝯpeditoꝝ	. Ut audiret gemitus ꝯpeditoꝝ 
solueretfiliosĩt̃emptoꝝ.Utannũcientĩsyonnom̃dñi	solueret filios ĩt̃emptoꝝ . Ut annũcient ĩ syon nom̃ dñi
laudemei᷒	  laudem ei᷒
inierl̃m.Inꝯueniendoppl̃osĩunũ	in ierl̃m . In ꝯueniendo ppl̃os ĩ unũ
regesutseruiantdño.	  reges ut seruiant dño .
Responditeiinuiauirtutissuepaucitatẽdieꝝmeoꝝ	Respondit ei in uia uirtutis sue paucitatẽ dieꝝ meoꝝ
ñtiamͥ.Nereuoces	ñtia mͥ . Ne reuoces
meĩdimidiodieꝝ	me ĩ dimidio dieꝝ
meoꝝĩgñationegñationẽ	meoꝝ ĩ gñatione  gñationẽ
annitui.Initiotudñet̃ram	anni tui . Initio tu dñe t̃ram
fundastit̃rã.oꝑamanuumtuaꝝsuntceli.	fundasti t̃rã .  oꝑa manuum tuaꝝ sunt celi .
Ip̃iꝑibunttuaũꝑmanes.	Ip̃i ꝑibunt tu aũ ꝑmanes . 
om̃ssic̃uestim̃tumueterascent.Et	om̃s sic̃ uestim̃tum ueterascent . Et
sicutoꝑtoriummutabiseosmutabunturtu	sicut oꝑtorium mutabis eos  mutabuntur tu
aũdiemip̃eesannituiñ	aũ diem ip̃e es  anni tui ñ
deficient.Filiiseruoꝝtuoꝝh̃itabuntsem̃eoꝝĩ	deficient . Filii seruoꝝ tuoꝝ h̃itabunt  sem̃ eoꝝ ĩ
scl̃mdirigetur.Dñeexaudi	scl̃m dirigetur . Dñe exaudi
or̃onẽmeã.⁊clamorm̃sadte	or̃onẽ meã . ⁊ clamor m̃s ad te
uẽiat.Nonaũtas	uẽiat . Non aũtas
faciẽtuamame	faciẽ tuam a me
ĩquac̃qdietribulorĩclinaadmeaurẽ	ĩ quac̃q die tribulor ĩclina ad me aurẽ
tuã.IN	tuã . IN
qͣc̃qdieĩuocau͛oteuelocit̃exaudime.	qͣc̃q die ĩuocau͛o te  uelocit̃ exaudi me .
Quiadefec͛untsic̃fum᷒dies	Quia defec͛unt sic̃ fum᷒ dies
m̃i⁊ossa	m̃i ⁊ ossa
nmeasic̃	n mea sic̃
cremiũaruer̃tPercussussũutfenum⁊aruitcormeũ	cremiũ aruer̃t Percussus sũ ut fenum ⁊ aruit cor meũ
oblit᷒sũꝯed̃epanẽmeũ.Auocegemit᷒	 oblit᷒ sũ ꝯed̃e panẽ meũ . A uoce gemit᷒
m̃iadhesitosmeũcarni	m̃i adhesit os meũ carni
mee.Simil̃fc̃s	mee . Simil̃ fc̃s
sumpellicano	sum pellicano
solitudinisfc̃ssumsic̃niticorax	solitudinis fc̃s sum sic̃ niticorax
ĩdomicilio.Vigilaui⁊fc̃s	ĩ domicilio . Vigilaui ⁊ fc̃s
sumsic̃passersolitariusĩtecto.	sum sic̃ passer solitarius ĩ tecto .
Totadieexꝓbrabantmͥinimici	Tota die exꝓbrabant mͥ inimici
m̃i⁊qui	m̃i ⁊ qui
laudabãtmeadũsũmeiurabant.Quiaciñemtanqͣmpanẽ	laudabãt me adũsũ me iurabant . Quia ciñem tanqͣm panẽ
manducabã⁊potũmeumcũfletumiscebam.	manducabã ⁊ potũ meum cũ fletu miscebam .
Afatieireĩdignationistue.	A fatie ire ĩdignationis tue .
eleuansallisistimeDiesm̃isic̃umbradeclinau͛unt⁊	 eleuans allisisti me Dies m̃i sic̃ umbra declinau͛unt ⁊
egosic̃fenũarui.Tu	ego sic̃ fenũ arui . Tu
aũdñeinet͛nũꝑmanes.	aũ dñe in et͛nũ ꝑmanes .
⁊memoriale	⁊ memoriale
tuũĩgñatione⁊gñationẽ	tuũ ĩ gñatione ⁊ gñationẽ
.Tuexurgensdñemiserebis	. Tu exurgens dñe miserebis
syontp̃smiserendiei᷒uẽittp̃sQ̃mplacuerũt	syon  tp̃s miserendi ei᷒  uẽit tp̃s Q̃m placuerũt
s̃uistuis	s̃uis tuis
lapideseius.⁊terreeiusmiserebunt᷑Ettimeb̃tg̃s	lapides eius . ⁊ terre eius miserebunt᷑ Et timeb̃t g̃s
nom̃tuũdñe	nom̃ tuũ dñe
.⁊õsreges	. ⁊ õs reges
t͛regl̃iamtuã.Quiaedifficauitdomin᷒	t͛re gl̃iam tuã . Quia edifficauit domin᷒
syon⁊uidebr̃ingl̃ia	syon ⁊ uidebr̃ in gl̃ia
sua.Respexitĩor̃onemhumiliũ⁊ñ	sua . Respexit ĩ or̃onem humiliũ ⁊ ñ
suitcem	suit cem
eoꝝ.Scribant᷑hecingñationealt̃a	eoꝝ . Scribant᷑ hec in gñatione alt̃a
⁊ppl̃squic̃abr̃lauidabitdñm	⁊ ppl̃s qui c̃abr̃ lauidabit dñm
.Quiaꝓspexitdeexcelsoi	. Quia ꝓspexit de excelso i
sc̃osuodñsdecelointerrãaspexitUt	sc̃o suo dñs de celo in terrã aspexit Ut
audiretgemitusꝯpeditoꝝ⁊solu͛tfiliosint͛emptoꝝ.Vtãnũtiẽt	audiret gemitus ꝯpeditoꝝ ⁊ solu͛t filios int͛emptoꝝ . Vt ãnũtiẽt
ĩsyonnomen	ĩ syon nomen
dñi⁊laudẽ	dñi ⁊ laudẽ
ei᷒inierl̃m.	ei᷒ in ierl̃m .
INꝯueniendoppl̃osĩunũ.⁊reges	IN ꝯueniendo ppl̃os ĩ unũ . ⁊ reges
ũs͛uiantdño.Responditeiĩuiau͛tutissue	ũ s͛uiant dño . Respondit ei ĩ uia u͛tutis sue
ipaucitatẽdieꝝmeoꝝnũciamich̃.Ne	i paucitatẽ dieꝝ meoꝝ nũcia mich̃ . Ne
reuocesmeindimidiodieꝝm̃orũingñatione	reuoces me in dimidio dieꝝ m̃orũ in gñatione
⁊gñationẽannitui.INitiotudominet͛ramfũdasti	⁊ gñationẽ anni tui . INitio tu domine t͛ram fũdasti
⁊oꝑamanuũtuaꝝs̃tceli.ip̃iꝑib̃ttu	⁊ oꝑa manuũ tuaꝝ s̃t celi . ip̃i ꝑib̃t tu
aut̃ꝑmanes⁊õs	aut̃ ꝑmanes ⁊ õs
sic̃uestim̃tũuet͛escẽtEtsic̃oꝑtorũmutab̃eos	sic̃ uestim̃tũ uet͛escẽt Et sic̃ oꝑtorũ mutab̃ eos
.⁊mutabũt᷑tu	. ⁊ mutabũt᷑ tu
aũidẽip̃ees⁊ãnituiñdeficiẽt	aũ idẽ ip̃e es ⁊ ãni tui ñ deficiẽt
.Filiis̃uoꝝ	. Filii s̃uoꝝ
tuoꝝh̃itabunt.⁊sem̃	tuoꝝ h̃itabunt . ⁊ sem̃
eoꝝĩscl̃mdiriget᷑Dñeexaudior̃onẽmeãclamor	eoꝝ ĩ scl̃m diriget᷑ Dñe exaudi or̃onẽ meã  clamor
m̃sadte	m̃s ad te
uẽiat.Nonaũtasfaciẽ	uẽiat . Non aũtas faciẽ
tuamameĩqͣcũdie	tuam a me ĩ qͣcũ die
tribl̃orĩclinaadmeaurẽtuam.Inqͣcũ	tribl̃or ĩclina ad me aurẽ tuam . In qͣcũ
dieĩuocaũoteuelocit̃exaudime.qͥadefecer̃t	die ĩuocaũo te uelocit̃ exaudi me . qͥa defecer̃t
sicutfumusdies	sicut fumus dies
meiossameasicutcremiũaruer̃t.	mei  ossa mea sicut cremiũ aruer̃t .
ꝑcussussũutfenũ	ꝑcussus sũ ut fenũ
aruitcormeũoblitussũꝯmed̃epanẽmeũ	 aruit cor meũ  oblitus sũ ꝯmed̃e panẽ meũ
.Auocegemit᷒	. A uoce gemit᷒
m̃iadhesitos	m̃i adhesit os
meũcarnimee.Silĩsfc̃s	meũ carni mee . Silĩs fc̃s
sũpellicano	sũ pellicano
solitud̃isfc̃ssũsic̃nicticorax	solitud̃is fc̃s sũ sic̃ nicticorax
ĩdomicilio.Vigilauifc̃s	ĩ domicilio . Vigilaui  fc̃s
sũsic̃passersolitariusĩ	sũ sic̃ passer solitarius ĩ
tecto.Totadieexꝓbrau͛nt	tecto . Tota die exꝓbrau͛nt
ĩimicimeiquilaudabãtme	ĩimici mei  qui laudabãt me
adũsũmeiurabant.qͥaciñem	adũsũ me iurabant . qͥa ciñem
tanꝙͣpanẽmanducabampotũmeũc̃fletu	tanꝙͣ panẽ manducabam  potũ meũ c̃ fletu
miscebam.	miscebam .
Afacieire	A facie ire
ĩdignationistueeleuansallisistime.Dies	ĩdignationis tue  eleuans allisisti me . Dies
meisic̃	mei sic̃
umbradeclinaũuntegosicutfenũarui	umbra declinaũunt  ego sicut fenũ arui
.Tuaũdñeĩet̃nũꝑmanes	. Tu aũ dñe ĩ et̃nũ ꝑmanes 
memorialetuũĩgenerõnegenerõnem	memoriale tuũ ĩ generõne  generõnem
.Tuexurgẽs	. Tu exurgẽs
dñemisereberissyontp̃s	dñe misereberis syon  tp̃s
miserẽdieiusuenittp̃s.q̃mplacuer̃t	miserẽdi eius  uenit tp̃s . q̃m placuer̃t
seruistuislapideseiust̃reeiusmiserebũturEt	seruis tuis lapides eius  t̃re eius miserebũtur Et
timebũtgñsnom̃tuũ	timebũt gñs nom̃ tuũ
dñeõsreges	dñe  õs reges
t̃regl̃iamtuam.	t̃re gl̃iam tuam .
qͥaedificauitdñssyon	qͥa edificauit dñs syon 
uidebr̃ĩgl̃iasua.	uidebr̃ ĩ gl̃ia sua .
Respexitĩor̃onemhũiliũ	Respexit ĩ or̃onem hũiliũ
ñsuit	 ñ suit
cẽeoꝝ	cẽ eoꝝ
.Scribanturh̃ĩgenerõnealt̃appl̃squi	. Scribantur h̃ ĩ generõne alt̃a  ppl̃s qui
creabr̃laudabitdñm.	creabr̃ laudabit dñm .
qͥaꝓspex̃	qͥa ꝓspex̃
deexcelso	de excelso
sc̃osuo	sc̃o suo
do᷒decelo	do᷒ de celo
ĩterramaspex̃.Vtaudiretgemitusꝯpeditoꝝsolũet	ĩ terram aspex̃ . Vt audiret gemitus ꝯpeditoꝝ  solũet
filiosĩt̃emptoꝝ.Vtanñtient	filios ĩt̃emptoꝝ . Vt anñtient
ĩsyonnom̃dñilaudẽeiusĩ	ĩ syon nom̃ dñi  laudẽ eius ĩ
ierl̃m.Inꝯueniẽdoppl̃os	ierl̃m . In ꝯueniẽdo ppl̃os
ĩunũregesutseruiantdño.℞nditei	ĩ unũ  reges ut seruiant dño . ℞ndit ei
ĩuiauirtutissue	ĩ uia uirtutis sue
paucitatẽdieꝝmeoꝝnũtiamͥ.Nereuocesme	paucitatẽ dieꝝ meoꝝ nũtia mͥ . Ne reuoces me
ĩdimidiodieꝝmeoꝝĩgenerõne	ĩ dimidio dieꝝ meoꝝ ĩ generõne 
generõnẽannitui.Initiotu	generõnẽ anni tui . Initio tu
dñet̃ramfũdastioꝑamanuũtuaꝝs̃tceli	dñe t̃ram fũdasti  oꝑa manuũ tuaꝝ s̃t celi
.Ip̃iꝑibũt	. Ip̃i ꝑibũt
tuaũꝑmanes	tu aũ ꝑmanes
õssicut	 õs sicut
uestim̃t̃uet̃ascent.Etsic̃oꝑtoriũmutab̃eos	uestim̃t̃ uet̃ascent . Et sic̃ oꝑtoriũ mutab̃ eos 
mutabũturtuaũidemip̃ees	mutabũtur tu aũ idem ip̃e es 
annituiñdeficiẽt.Filii	anni tui ñ deficiẽt . Filii
seruoꝝtuoꝝhĩtabũtsem̃eoꝝĩscl̃mdirigetur	seruoꝝ tuoꝝ hĩtabũt  sem̃ eoꝝ ĩ scl̃m dirigetur
.Domineexaudior̃onẽm̃ãclamor	. Domine exaudi or̃onẽ m̃ã  clamor
m̃sadteueniat	m̃s ad te ueniat
.ñaũtasfaciẽtuãa	. ñ aũtas faciẽ tuã a
meĩqͣcũdietribulorĩclinaad	me ĩ qͣcũ die tribulor ĩclina ad
meaurẽtuã.Inqͣcũ	me aurẽ tuã . In qͣcũ
dieĩuocaũoteuelocit̃exaudime.Quiadeffec̃ũt	die ĩuocaũo te uelocit̃ exaudi me . Quia deffec̃ũt
sic̃fum᷒	sic̃ fum᷒
diesm̃i	dies m̃i
ossam̃asic̃	 ossa m̃a sic̃
cremiũaruer̃t.Ꝑcuss᷒sũutfenũ	cremiũ aruer̃t . Ꝑcuss᷒ sũ ut fenũ 
aruitcormeũoblit᷒sũcomed̃e	aruit cor meũ  oblit᷒ sũ comed̃e
panẽmeũ.Auocegemit᷒	panẽ meũ . A uoce gemit᷒
m̃iadhesitosmeũcarni	m̃i adhesit os meũ carni
m̃e.Simil̃fc̃ssũpellicanosolitud̃is	m̃e . Simil̃ fc̃s sũ pellicano solitud̃is
fc̃ssũ	fc̃s sũ
sic̃niticoraxindomicilio.Vigilaui	sic̃ niticorax in domicilio . Vigilaui
fc̃ssũsic̃passersolitari᷒	 fc̃s sũ sic̃ passer solitari᷒
ĩtecto.	ĩ tecto .
Totadieexꝓbabãtmͥĩimici	Tota die exꝓbabãt mͥ ĩimici
m̃iqͥlaudabãtmeadũsũ	m̃i  qͥ laudabãt me adũsũ
meiurabant.Quia	me iurabant . Quia
ciñemtãꝙͣ	ciñem tãꝙͣ
panẽmãducaui	panẽ mãducaui 
pocl̃ummeũ	pocl̃um meũ
cũfletumiscebam.Afacieire	cũ fletu miscebam . A facie ire
indignatõistueeleuansallisistime	indignatõis tue  eleuans allisisti me
.Diesm̃isic̃umbradeclinauer̃	. Dies m̃i sic̃ umbra declinauer̃ 
egosic̃fenũarui	ego sic̃ fenũ arui
.Tuãtdñeĩ	. Tu ãt dñe ĩ
et̃nũꝑmanesmemorialetuũĩgñatõe	et̃nũ ꝑmanes  memoriale tuũ ĩ gñatõe
gñatõem.Tuexurgensmiser̃eb̃is	 gñatõem . Tu exurgens miser̃eb̃is
syontẽp᷒	syon  tẽp᷒
miserẽdieius	miserẽdi eius
uenittẽp᷒.	 uenit tẽp᷒ .
qm̃placuer̃ẜuistuis	qm̃ placuer̃ ẜuis tuis
lapideseiust̃re	lapides eius  t̃re
eiusmiserebũt᷑	eius miserebũt᷑
.Ettimebũtgẽtesñntuũdñeõs	. Et timebũt gẽtes ñn tuũ dñe  õs
regest̃regl̃amtuã	reges t̃re gl̃am tuã
.Quiaedificauit	. Quia edificauit
dñssyonuidebit᷑ĩgl̃amsuã.	dñs syon  uidebit᷑ ĩ gl̃am suã .
Respexitĩ	Respexit ĩ
or̃onẽhumiliũ	or̃onẽ humiliũ
nõsuitceseoꝝ.	  nõ suit ces eoꝝ .
Scribant᷑h̃ĩgñatõealt̃appl̃s	Scribant᷑ h̃ ĩ gñatõe alt̃a  ppl̃s
quicreabit᷑laudabitdñm.Quiaꝓspex̃	qui creabit᷑ laudabit dñm . Quia ꝓspex̃
deexcelsosc̃osuodo᷒decelo	de excelso sc̃o suo do᷒ de celo
ĩt̃rãaspexit.Vtaudiretgemit᷒cõpeditorũut	ĩ t̃rã aspexit . Vt audiret gemit᷒ cõpeditorũ ut
solũetfilios	solũet filios
int̃emptoꝝ.Vtãnũcient	int̃emptoꝝ . Vt ãnũcient
ĩsyonñndñilaudẽ	ĩ syon ñn dñi  laudẽ
ei᷒ĩihrl̃m.In	ei᷒ ĩ ihrl̃m . In
cõuẽiendopposĩ	cõuẽiendo ppos ĩ
unũregesutseruiantdño.Respõditei	unũ  reges ut seruiant dño . Respõdit ei
ĩuia͛tutissue	ĩ uia ͛tutis sue
paucitatẽdieꝝm̃oꝝnũciamͥ.Nereuoces	paucitatẽ dieꝝ m̃oꝝ nũcia mͥ . Ne reuoces
meĩdimidiodieꝝmeoꝝ	me ĩ dimidio dieꝝ meoꝝ
ĩgñatõegñõeãnitui.	ĩ gñatõe  gñõe ãni tui .
Initõtudñet̃rãfũdastioꝑamanuũ	Initõ tu dñe t̃rã fũdasti  oꝑa manuũ
tuaꝝsũtceli.	tuaꝝ sũt celi .
Ip̃iꝑibũttuãt	Ip̃i ꝑibũt tu ãt
ꝑmanesom̃s	ꝑmanes  om̃s
sic̃uestim̃tũuet̃ascent.Etsic̃oꝑtoriũmutabiseos	sic̃ uestim̃tũ uet̃ascent . Et sic̃ oꝑtoriũ mutabis eos
mutabũt᷑	 mutabũt᷑
tuãtid̃	 tu ãt id̃
ip̃eesãni	ip̃e es  ãni
tuinõdefficient.Filiiẜuoꝝtuoꝝh̃itabũt	tui nõ defficient . Filii ẜuoꝝ tuoꝝ h̃itabũt
.sem̃eoꝝĩscl̃mdirige᷑Dñe	.  sem̃ eoꝝ ĩ scl̃m dirige᷑ Dñe
exaudior̃onẽ	exaudi or̃onẽ
meamclamorm̃s	meam   clamor m̃s
adteueniat.	ad te ueniat .
Nonaũtasfaciẽtuam	Non aũtas faciẽ tuam
ame:inquac̃qdie	a me : in quac̃q die
tribulorinclinaadmeauremtuam.Inquac̃q	tribulor inclina ad me aurem tuam . In quac̃q
dieinuocaũote.uelocit̃exaudimeQuiadefe.	die inuocaũo te . uelocit̃ exaudi me Quia defe.
sic̃fum᷒	sic̃ fum᷒
diesmei.ossameasic̃	dies mei .  ossa mea sic̃
cre.arũunt.Percussussumutfeñ	cre. arũunt . Percussus sum ut feñ 
aruitcormeum	aruit cor meum
.oblit᷒sumcomed̃epanẽmeũ	.  oblit᷒ sum comed̃e panẽ meũ
Auocegemitus	A uoce gemitus
meiadhesitos	mei adhesit os
meumcarnimee	meum  carni mee
