Stephanus,δ̄i	Stephanus , δ̄i
inquacumquedie	in quacumque die
invocaverotevelociterexaudime	invocavero te velociter exaudi me
etossameasicutcremiumaruerunt	et ossa mea sicut cremium aruerunt
percussussumutfenumetaruitcor	percussus sum ut fenum et aruit cor
meumquiaoblitussumcomederepanemmeum.	meum quia oblitus sum comedere panem meum .
avocegemitusmeiadhesitosmeum	a voce gemitus mei adhesit os meum
carnimei.similisfactussumpellicanosolitudinisfactus	carni mei . similis factus sum pellicano solitudinis factus
intecto.	in tecto .
adversũmejurabant.quiacynerem	adversũ me jurabant . quia cynerem
elevansallisistime.diesmeisicutumbradeclinaverũt	elevans allisisti me . dies mei sicut umbra declinaverũt
etegosicutfenum	et ego sicut fenum
arui.tu	arui . tu
autemdomineineternumpermanes	autem domine in eternum permanes
generationem.tuexurgensdominemisereberissyonquia	generationem . tu exurgens domine misereberis syon quia
venittempus.quoniamplacuerunt	venit tempus . quoniam placuerunt
servistuislapidesejus⁊	servis tuis lapides ejus ⁊
terreejusmiserebuntur.ettimebuntgentes	terre ejus miserebuntur . et timebunt gentes
nomentuumdomine⁊omnesregesterre	nomen tuum domine ⁊ omnes reges terre
gloriamtuamquia	gloriam tuam quia
edificavitdominussyon	edificavit dominus syon
etvidebiturin	et videbitur in
gloriasua	gloria sua
nonsprevitprecemeorum.scribantur	non sprevit precem eorum . scribantur
hecingenerationealtera	hec in generatione altera
⁊populusquicreabiturlaudabitdñm.	⁊ populus qui creabitur laudabit dñm .
quiaprospexit	quia prospexit
deexcelsosanctosuodominusde	de excelso sancto suo dominus de
celointerram	celo in terram
aspexitutaudiretgemituscompeditorumutsolveretfilios	aspexit ut audiret gemitus compeditorum ut solveret filios
interremptorum.ut	interremptorum . ut
annuntientinsyonnomen	annuntient in syon nomen
dominietlaudemejusiniherusalem.	domini et laudem ejus in iherusalem .
inconveniendopopulosinunumet	in conveniendo populos in unum et
regesutserviantdomino.responditeiin	reges ut serviant domino . respondit ei in
viavirtutis	via virtutis
suepaucitatemdierummeorumnuntiamͥ.	sue paucitatem dierum meorum nuntia mͥ .
nerevocesmeindimidiodierummeorumingenerationemet	ne revoces me in dimidio dierum meorum in generationem et
generationemannitui.initiotudomineterram	generationem anni tui . initio tu domine terram
fundastietoperamanuumtuarumsunt	fundasti et opera manuum tuarum sunt
celi.ipsiperibunttuautempermanesetomnessicut	celi . ipsi peribunt tu autem permanes et omnes sicut
vestimentumveterascent	vestimentum veterascent
autemidemipseesetannitui	autem idem ipse es et anni tui
.filiiservorumtuorumhabitabũtetsemen	. filii servorum tuorum habitabũt et semen
eorumin	eorum in
seculumdirigetur.ps̃domineexaudior̃onemmeam.	seculum dirigetur . ps̃ domine exaudi or̃onem meam .
etclamormeusadteveniat	et clamor meus ad te veniat
nonavertasfaciemtuãamein	non avertas faciem tuã a me in
quacũqdietribulorinclinaadme	quacũq  die tribulor inclina ad me
aurẽtuaminquacumqdieinvocavero	aurẽ tuam in quacumq  die invocavero
tevelociterexaudime.quiadefeceruntsicutfumusdies	te velociter exaudi me . quia defecerunt sicut fumus dies
meietossa	mei et ossa
measicutcremiumaruerũtpercussussumutfenumet	mea sicut cremium aruerũt percussus sum ut fenum et
etaruitcor	et aruit cor
meumquiaoblitussumcomederepanẽ	meum quia oblitus sum comedere panẽ
meumavocegemitusmeiadhesitosmeumcarnimee	meum a voce gemitus mei adhesit os meum carni mee
similisfactussumpellicano	similis factus sum pellicano
sumsicutpassersolitariusintectototadieexprobrabantmi	sum sicut passer solitarius in tecto tota die exprobrabant mi
michiinimicimeietquilaudabant	michi inimici mei et qui laudabant
etpotummeũcumfletu	et potum meũ cum fletu
miscebamafacieireetindignationistue	miscebam a facie ire et indignationis tue
quiaelevansallixistimediesmei	quia elevans allixisti me dies mei
sicutumbradeclinaveruntetegosicutfenumarui	sicut umbra declinaverunt et ego sicut fenum arui
domineineternumpermaneset	domine in eternum permanes et
memorialetuumin	memoriale tuum in
generationemetgenerationemtu	generationem et generationem tu
exurgensdominemisereberission	exurgens domine mi sereberis sion
quiatempusmiserendiejusquiavenittempusquoniam	quia tempus miserendi ejus quia venit tempus quoniam
placueruntservistuislapidesejus	placuerunt servis tuis lapides ejus
etterre	et terre
ejusmiserebunturettimebuntgentesnomentuumdomineetomnes	ejus miserebuntur et timebunt gentes nomen tuum domine et omnes
regesterregloriamtuamquiaedificavit	reges terre gloriam tuam quia edificavit
domin᷒syonetvidebituringloriasuarespexitinorationem	domin᷒ syon et videbitur in gloria sua respexit in orationem
humiliumetnonsprevitsprevitprecemeorum	humilium et non sprevit sprevit precem eorum
scribanturhecingenerationealteraetpopulus	scribantur hec in generatione altera et populus
quicreabiturlaudabitdominumquiaprospexit	qui creabitur laudabit dominum quia prospexit
deexcelsosancto	de excelso sancto
suodominusde	suo dominus de
celointerramaspexitut	celo in terram aspexit ut
audiretgemituscõpeditorumutsolveretfiliosinteremptorumut	audiret gemitus cõpeditorum ut solveret filios interemptorum ut
dominietlaudemejusinjerusalem	domini et laudem ejus in jerusalem
inconveniendopopulosinunumetregesutserviant	in conveniendo popu los in unum et reges ut serviant
dominoresponditeiinviavirtutissuepaucitatem	domino respondit ei in via virtutis sue paucitatem
dierummeorumnuntiamichinerevocesmein	dierum meorum nuntia michi ne revoces me in
dimidiodierummeorumingenerationem⁊generationemãnituiinitio	dimidio dierum meorum in generationem ⁊ generationem ãni tui initio
tudomineterramfundastietoperamanuumtuarumsunt	tu domine terram fundasti et opera manuum tuarum sunt
celiipsiperibunttuautempermaneset	celi ipsi peribunt tu autem permanes et
etmutabunturtuautemidemipseestet	et mutabuntur tu autem idem ipse est et
annituinondeficientfilii	anni tui non deficient filii
servorumtuorum	servorum tuorum
habitabuntetsemeneoꝝinseculumdirigeturpsalm᷒domineexaudi	habitabunt et semen eoꝝ in seculum dirigetur psalm᷒ domine exaudi
or̃onemmeã⁊clamormeusadteveniatnonavertas	or̃onem meã ⁊ clamor meus ad te veniat non avertas
faciemtuama	faciem tuam a
meinquacumqdietribulorinclina	me in quacumq  die tribulor inclina
velociterexaudimequia	velociter exaudi me quia
defeceruntsicutfumusdiesmei⁊	defecerunt sicut fumus dies mei ⁊
ossameasicutcremiumarueruntpercussussum	ossa mea sicut cremium aruerunt percussus sum
utfenum⁊aruitcormeũquiaoblitussumcomedere	ut fenum ⁊ aruit cor meũ quia oblitus sum comedere
panemmeũavocegemit᷒	panem meũ a voce gemit᷒
meiadhesitosmeumcarnimeesimilis	mei adhesit os meum carni mee similis
factussumpellicanosolitudinisfactussumsicutnocticorax	factus sum pellicano solitudinis factus sum sicut nocticorax
indomiciliovigilavi⁊factussum	in domicilio vigilavi ⁊ factus sum
mejurabant.quiacinerẽ	me jurabant . quia cinerẽ
tanqͣmpanẽmanducabam⁊potũmeũcum	tanqͣm panẽ manducabam ⁊ potũ meũ cum
fletumiscebamafacieireetindignationistue	fletu miscebam a facie ire et indignationis tue
.quiaelevansallisistimedies	. quia elevans allisisti me dies
meisicutumbradeclinaver̃t	mei sicut umbra declinaver̃t
etegosicutfenumaruituautẽdomine	et ego sicut fenum arui tu autẽ domine
ineternumpermanes⁊memorialetuumingenerationem⁊generationem	in eternum permanes ⁊ memoriale tuum in generationem ⁊ generationem
.tuexsurgens	. tu exsurgens
miserendiejusquiavenittempus.quoniãplacueruntservis	miserendi ejus quia venit tempus . quoniã placuerunt servis
tuislapidesejus⁊terreejusmiserebuntur	tuis lapides ejus ⁊ terre ejus miserebuntur
ettimebuntgentesnomentuumdomine	et timebunt gentes nomen tuum domine
etõesregesterregloriamtuã.	et ões reges terre gloriam tuã .
quiaedificavitdñssyon.⁊videbituringl̃asua	quia edificavit dñs syon .⁊ videbitur in gl̃a sua
respexitinor̃onem	respexit in or̃onem
humilium⁊nonsprevit	humilium ⁊ non sprevit 
cemeorum.	cem eorum .
scribanturhecingenerationealtera⁊populusqui	scribantur hec in generatione altera ⁊ populus qui
dñmquiaprospexitdeexcelsosc̃osuodominus	dñm quia prospexit de excelso sc̃o suo dominus
decelointerrãaspexitut	de celo in terrã aspexit ut
audiretgemitus	audiret gemitus
cõpeditorum⁊solveretfiliosinteremptorum	cõpeditorum ⁊ solveret filios interemptorum
utannuntientinsyonnomendomini	ut annuntient in syon nomen domini
⁊laudem	⁊ laudem
⁊regesutserviantdño	⁊ reges ut serviant dño
responditeiinviavirtutissuepaucitatem	respondit ei in via virtutis sue paucitatem
dierummeorũnuntia	dierum meorũ nuntia
michi.nerevocesmein	michi . ne revoces me in
tuiinitiotu	tui initio tu
domineterrãfundasti.etoꝑamanuũtuarumsuntceli	domine terrã fundasti . et oꝑa manuũ tuarum sunt celi
ipsiꝑibunttuautempermanes.⁊õessicutvestimẽtum	ipsi ꝑibunt tu autem permanes .⁊ ões sicut vestimẽtum
veterascent.etsicutopertoriũmutabiseos	veterascent . et sicut opertoriũ mutabis eos
⁊mutabunturtuautẽidemipse	⁊ mutabuntur tu autẽ idem ipse
es.etannituinon	es . et anni tui non
deficientfilii	deficient filii
habitab̃tet	habitab̃t et
semeneoruminseculum	semen eorum in seculum
dirigetur.psalmus.d̃d	dirigetur . psalmus . d̃d
.domineexaudior̃onemmeametclamormeus	. domine exaudi or̃onem meam et clamor meus
adteveniatnonavertasfaciem	ad te veniat non avertas faciem
tuamame	tuam a me
inquacumqdietribulorinclinaadmeauremtuam	in quacumq  die tribulor inclina ad me aurem tuam
.inquacumqdieĩvocavero	. in quacumq  die ĩvocavero
tevelociterexaudime.quiadefeceruntsicutfumusdies	te velociter exaudi me . quia defecerunt sicut fumus dies
meietossameasicut	mei et ossa mea sicut
cremiũaruer̃t.percussussumutfenũ	cremiũ aruer̃t . percussus sum ut fenũ
etaruitcormeũquiaoblitus	et aruit cor meũ quia oblitus
sũcomederepanẽmeũ.avocegemitusmei	sũ comedere panẽ meũ . a voce gemitus mei
adhesitosmeumcarnimee	ad hesit os meum carni mee
similisfactussũpellicanosolitudinisfc̃s	similis factus sũ pellicano solitudinis fc̃s
sumsicutnicticorax	sum sicut nicticorax
passersolitariusĩtectototadie	passer solitarius ĩ tecto tota die
exprobrabantmichiinimicimeietqui	exprobrabant michi inimici mei et qui
laudabantmeadversũmejurabant.quiacineremtanqͣm	laudabant me adversũ me jurabant . quia cinerem tanqͣm
panemmanducabam	panem manducabam
etpotummeumcumfletumiscebam.a	et potum meum cum fletu miscebam . a
facieireetindignatiõistuequiaelevansallisisti	facie ire et indignatiõis tue quia elevans allisisti
me.diesmeisicutumbradeclinaveruntetego	me . dies mei sicut umbra declinaverunt et ego
sicutfenumarui	sicut fenum arui
.tuautemdomĩeineternumpermaneset	. tu autem domĩe in eternum permanes et
memorialetuumingenerationem	me moriale tuum in generationem
etgenerationem.tu	et generationem . tu
exurgensdomĩemisereberissyonquiatemp᷒miserendiejus	exurgens domĩe misereberis syon quia temp᷒ miserendi ejus
quiavenittempus.qm̃placueruntservistuislapides	quia venit tempus . qm̃ placuerunt servis tuis lapides
ejusmiserebuntur.ettimebunt	ejus miserebuntur . et timebunt
gentesnomentuũdomineetõsregesterregloriam	gentes nomen tuũ domine et õs reges terre gloriam
tuamquia	tuam quia
edificavitdomin᷒syonetvidebituringloria	edificavit domin᷒ syon et videbitur in gloria
sua.respexit	sua . respexit
inorationemhumilium	in orationem humilium
etnonsvitprecemeorum.scribantur	et non s  vit precem eorum . scribantur
hecingenerationealteraetpopulusquicreabiturlaudabitdominum	hec in generatione altera et populus qui creabitur laudabit dominum
.quiaprospexit	. quia prospexit
deexcelsosc̃osuo	de excelso sc̃o suo
dominusdeceloĩterramaspexit.ut	dominus de celo ĩ terram aspexit . ut
audiretgemituscõpeditorumutsolveretfilios	audiret gemitus cõpeditorum ut solveret filios
interemptorum.utannuntient	interemptorum . ut annuntient
insyonnomendñietlaudemei᷒	in syon nomen dñi et laudem ei᷒
iniherusalem	in iherusalem
utserviantdomino.responditeiinvia	ut servi ant domino . respondit ei in via
virtutissue	virtutis sue
paucitatemdierum	paucitatem dierum
meoꝝnuntiamͥ.	meoꝝ nuntia mͥ .
nerevocesmeĩdimidio	ne revoces me ĩ dimidio
dierummeoꝝingñatõeetgenerationẽannitui	dierum meoꝝ in gñatõe et generationẽ anni tui
etoperamanuumtuarumsuntceli.ipsiperibunt	et opera manuum tuarum sunt celi . ipsi peribunt
tuautem	tu autem
permanesetomnessicutvestimentumveterassẽt.etsicut	permanes et omnes sicut vestimentum veterassẽt . et sicut
oportoriũmutabiseosetmutabunt᷑tu	oportoriũ mutabis eos et mutabunt᷑ tu
autemidemip̃eesetãnitui	autem idem ip̃e es et ãni tui
servorumtuoꝝhabitabuntetsemeneoꝝinscl̃m	servorum tuoꝝ habitabunt et semen eoꝝ in scl̃m
dirigetur.	dirigetur .
domineexaudiorationem	domine exaudi oratio nem
meametclamormeusadteveniat.nonavertas	meam et clamor meus ad te veniat . non avertas
faciemtuamameinquacũq	faciem tuam a me in quacũq
tevelociterexaudime.quiadefecerũt	te velociter exaudi me . quia defecerũt
sicutfumusdiesmeietossameasicutcremiũ	sicut fumus dies mei et ossa mea sicut cremiũ
sumcomederepanemmeũ.a	sum comedere panem meũ . a
vocegemitusmeiadhesitosmeũcarnimee.	voce gemitus mei adhesit os meũ carni mee .
similisfactussumpellicano	similis factus sum pellicano
solitudinisfactussum	solitudinis factus sum
sicutnicticoraxindomicilio.vigilavietfactus	sicut nicticorax in domicilio . vigilavi et factus
tecto.totadieexprobrabantmihiinimici	tecto . tota die exprobrabant mihi inimici
meietquilaudabantmeadversummejurabant.	mei et qui laudabant me adversum me jurabant .
fletumiscebã.afacieireetindignationis	fletu miscebã . a facie ire et indignationis
tuequiaelevansallisistimedies	tue quia elevans allisisti me dies
meisicutumbradeclinaveruntetegosicutfenumarui	mei sicut umbra declinaverunt et ego sicut fenum arui
.tuautemdñeineternumꝑmanes	. tu autem dñe in eternum ꝑmanes
ejusquiavenit	ejus quia venit
tempus.qm̃placuerũtservistuislapidesejuset	tempus . qm̃ placuerũt servis tuis lapides ejus et
terreejusmiserebũtur.ettimebũt	terre ejus miserebũtur . et timebũt
gentesnomentuumdñeetomnesregesterregl̃am	gentes nomen tuum dñe et omnes reges terre gl̃am
etvidebituringloriasua	et videbitur in gloria sua
.respexitinorationemhumiliũ	. respexit in orationem humiliũ
alteraetpopulusqui	altera et populus qui
suodñsde	suo dñs de
celointerrã	celo in terrã
aspexitutaudiretgemituscompeditoꝝutsolveretfilios	aspexit ut audiret gemitus compeditoꝝ ut solveret filios
interemptoꝝ.utannũtientinsyonnomendñiet	interemptoꝝ . ut annũtient in syon nomen dñi et
iherusalem.inconveniendopopulosinunũ	iherusalem . in conveniendo populos in unũ
etregesutserviantdño.	et reges ut serviant dño .
responditeiinviavirtutissuepaucitatemdierũmeorũ	respondit ei in via virtutis sue paucitatem dierũ meorũ
nuntiamichi.nerevocesmein	nuntia michi . ne revoces me in
initiotudñeterrãfundastietoperamanuũtuarumsunt	initio tu dñe terrã fundasti et opera manuũ tuarum sunt
celi.ipsiperibũttuautemꝑmanesetomnessicut	celi . ipsi peribũt tu autem ꝑmanes et omnes sicut
vestimentũveterascent.etsicutopertoriũmutabiseosetmutabũtur	vestimentũ veterascent . et sicut opertoriũ mutabis eos et mutabũtur
tuautemidem	tu autem idem
ipseesetannituinondeficient	ipse es et anni tui non deficient
.filiiservoꝝtuoꝝhabitabũt	. filii servoꝝ tuoꝝ habitabũt
etsemen	et semen
eorũinseculumdirigetur.gl̃apatri.	eorũ in seculum dirigetur . gl̃a patri .
ps̃.domineexaudiorationemmeam	ps̃ . domine exaudi orationem meam
etclamormeusadteveniat	et clamor meus ad te veniat
nonavertasfaciemtuama	non avertas faciem tuam a
tuaminquacũq	tuam in quacũq
dieinvocaverotevelociterexaudimequiadefeceruntsicut	 die invocavero te velociter exaudi me quia defecerunt sicut
fumusdiesmeietossa	fumus dies mei et ossa
measicutcremiumarueruntpercussussumutfenũ	mea sicut cremium aruerunt percussus sum ut fenũ
etaruitcormeumquiaoblitussumcomedere	et aruit cor meum quia oblitus sum comedere
panemmeãavocegemitusmeiadhesit	panem meã a voce gemitus mei adhesit
osmeumcarnimeesimilis	os meum carni mee similis
factussumpellicanosolitudinisfactussũsicutnicticoraxindomicilio	factus sum pellicano solitudinis factus sũ sicut nicticorax in domicilio
vigilaviet	vigilavi et
sicutpassersolitariiusintectototadieexprobrabantmichiĩimici	sicut passer solitariius in tecto tota die exprobrabant michi ĩimici
elevansallisistimediesmei	elevans allisisti me dies mei
sicutumbra	sicut umbra
declinaveruntetegosicutfenumaruituau	declinaverunt et ego sicut fenum arui tu au
temdomine	tem domine
tuũingenerationem	tuũ in generationem
etgenerationem	et generationem
quiatempusmiserendiejus	quia tempus miserendi ejus
quiavenittempusqm̃placuer̃tservis	quia venit tempus qm̃ placuer̃t servis
tuislapides	tuis lapides
gentesnomentuumdñeetom̃sregesterregloriamtuam	gentes nomen tuum dñe et om̃s reges terre gloriam tuam
qͥaedificavitdñssyonet	qͥa edificavit dñs syon et
nonsprevit	non sprevit
cemeorumscribanturhecingenerationealtera	 cem eorum scribantur hec in generatione altera
etpopulusquicreabiturlaudabitdñmquiaprospexitdeexcelso	et populus qui creabitur laudabit dñm quia prospexit de excelso
sãctosuodñsdecelointerramaspexit	sãcto suo dñs de celo in terram aspexit
laudemejusĩiherusalemincõveniẽdo	laudem ejus ĩ iherusalem in cõveniẽdo
populosinunũetregesutserviantdñoresponditeiin	populos in unũ et reges ut serviantdño respondit ei in
viavirtutissuepaucitatẽ	via virtutis sue paucitatẽ
dierũmeoꝝnũtia	dierũ meoꝝ nũtia
michinerevocesmeindimidio	michi ne revoces me in dimidio
tuiinitiotudñe	tui initio tu dñe
terramfundastiet	terram fundasti et
operamanuũ	opera manuũ
celiipsiperibũttuautem	celi ipsi peribũt tu autem
permanesetomnessicutvestimẽtumveterascentetsicutopertoriũ	permanes et omnes sicut vestimẽtumveterascent et sicut opertoriũ
mutabiseosetmutabũturtuautemidemipsees	mutabis eos et mutabũtur tu autem idem ipse es
seculũdirigetur.ps̃d̃d.domineexaudior̃onemmeam	seculũ dirigetur . ps̃d̃d . domine exaudi or̃onem meam
etclamormeusadteveniatnonavertasfaciemtuam	et clamor meus ad te veniat non avertas faciem tuam
quiadefeceruntsicutfumusdies	quia defecerunt sicut fumus dies
meietossameasicutcremiumaruerũt	mei et ossa mea sicut cremium aruerũt
percussussum	percussus sum
utfenumetaruitcor	ut fenum et aruit cor
meiadhesitosmeumcarnimeesimilisfactussumpellicano	mei adhesit os meum carni mee similis factus sum pellicano
solitudinisfactussumsicutnicticoraxin	solitudinis factus sum sicut nicticorax in
fc̃tssumsicutpassersolitariusintectototadie	fc̃ts sum sicut passer solitarius in tecto tota die
exprobrabantmichiinimicimeietquilaudabantmeadversum	exprobrabant michi inimici mei et qui laudabant me adversum
manducabamet	manducabam et
potummeumcumfletumissebamafacieireet	potum meum cum fletu missebam a facie ire et
indignationistuequia	indignationis tue quia
declinaveruntetegosicutfenumaruitu	declinaverunt et ego sicut fenum arui tu
ineternumpermanesetmemorialetuum	in eternum permanes et memoriale tuum
ingenerationemetgenerationemtuexurgensdominemisereberissyon	in generationem et generationem tu exurgens domine misereberis syon
quiatempusmiserendiejusquia	quia tempus miserendi ejus quia
venittempusquoniam	venit tempus quoniam
placueruntservistuislapidesejusetterreejus	placuerunt servis tuis lapides ejus et terre ejus
miserebunturettimebuntgẽtesnomentuumdomineetom̃sreges	miserebuntur et timebunt gẽtes nomen tuum domine et om̃s reges
terregloriamtuamquia	terre gloriam tuam quia
edificavitdominussyonetvidebituringloriasuarespexitin	edificavit dominus syon et videbitur in gloria sua respexit in
orationemhumiliumetvitprecemeorum	orationem humilium et vit precem eorum
scribanturhecingeneratione	scribantur hec in generatione
alteraetpopulusquicreabiturlaudabitdominumquiaprospexit	altera et populus qui creabitur laudabit dominum quia prospexit
deexcelso	de excelso
aspexitutaudiretgemituscompeditorum	aspexit ut audiret gemitus compeditorum
utsolveretfiliosinterẽptorum	ut solveret filios interẽptorum
utannuntientin	ut annuntient in
ĩihrl̃minconveniendopopulosinunum	ĩ ihrl̃m in conveniendo populos in unum
etregesutserviantdñoresponditeiin	et reges ut serviant dño respondit ei in
viavirtutissuepaucitatemdierummeorumnũtiamichine	via virtutis sue paucitatem dierum meorum nũtia michi ne
revocesmeindimidio	revoces me in dimidio
dierummeorumingenerationemetgenerationemannituiinitio	dierum meorum in generationem et generationem anni tui initio
tudomineterramfundastietoperamanuumtuarumsunt	tu domine terram fundasti et opera manuum tuarum sunt
celiipsiperibunttuautempermanesetomnessicutvestimentũ	celi ipsi peribunt tu autem permanes et omnes sicut vestimentũ
veterascentetsicutoꝑtoriummutabiseosetmutabuntur	veterascent et sicut oꝑtorium mutabis eos et mutabuntur
tuautemidemipseesetannitui	tu autem idem ipse es et anni tui
nondeficientfilii	non deficient filii
servorumtuorumh̃itabuntetsemeneoruminscl̃mdirigeturGloria	servorum tuorum h̃itabunt et semen eorum in scl̃m dirigetur Gloria
patripsalmus	patri psalmus
clamormeusadteveniat	clamor meus ad te veniat
.nonavertasfaciemtuamameinquacumq	. non avertas faciem tuam a me in quacumq
inquacumqdieinvocaverotevelociterexaudi	in quacumq  die invocavero te velociter exaudi
me.quia	me . quia
defeceruntsicutfumusdiesmeiet	defecerunt sicut fumus dies mei et
ossamea	ossa mea
sicutcremiumaruerunt.percussussumutfenum	sicut cremium aruerunt . percussus sum ut fenum
panemmeum	panem meum
.avocegemitusmeiadhesitosmeumcarnimee	. a voce gemitus mei adhesit os meum carni mee
.similisfactus	. similis factus
sumpellicanosolitudinis	sum pellicano solitudinis
factussumsicutnicticoraxindomicilio.	factus sumsicut nicticorax in domicilio .
vigilavietfactussumsic̃passersolitariusintecto.	vigilavi et factus sum sic̃ passer solitarius in tecto .
totadieexprobrabantmichiinimicimeiet	tota die exprobrabant michi inimici mei et
quilaudabant	qui laudabant
meadversummejurabant.quiacynerem	me adversum me jurabant . quia cynerem
tanꝙͣpanẽmanducabametpotum	tanꝙͣ panẽ manducabam et potum
meũcumfletumiscebam.afacie	meũ cum fletu miscebam . a facie
ireetindignationis	ire et indignationis
tuequiaelevansallisistime.diesmeisicutumbra	tue quia elevans allisisti me . dies mei sicut umbra
declinaveruntetego	declina verunt et ego
sicutfenumarui	sicut fenum arui
tuautemdomineinet͛numꝑmanes	tu autem domine in et͛num ꝑmanes
etmemorialetuum	et memoriale tuum
dominemisereberissyonquiatempusmiserẽdiejusquia	domine misereberis syon quia tempus miserẽdi ejus quia
venittempus.	venit tempus .
quoniamplacueruntservistuis	quoniam placuerunt servis tuis
lapidesejusetterreejusmiserebuntur.et	lapides ejus et terre ejus miserebuntur . et
regesterregloriamtuam.quiaedificavitdominussyon	reges terre gloriam tuam . quia edificavit dominus syon
etvidebituringloriasua.respexitinorationem	et videbitur in gloria sua . respexit in orationem
generationealteraetpopulusqui	generatione altera et populus qui
sc̃osuo	sc̃o suo
dominusdecelointerramaspexit.ut	dominus de celo in terram aspexit . ut
audiretgemituscompeditoꝝutsolveretfiliosinteremptorũ	audiret gemitus compeditoꝝ ut solveret filios interemptorũ
.utannuntient	. ut annuntient
insyonnom̃domini:	in syon nom̃ domini :
etlaudemejus	et laudem ejus
inihrl̃min	in ihrl̃m in
regesutserviant	reges ut serviant
dño.responditei	dño . respondit ei
inviavirtutissuepaucitatemdierum	in via virtutis sue paucitatem dierum
meoꝝnuntia	meoꝝ nuntia
michi.nerevocesmeindimidiodierummeorũin	michi . ne revoces me in dimidio dierum meorũ in
etoperamanuum	et opera manuum
tuaꝝsuntceli.	tuaꝝ sunt celi .
autemꝑmanes	autem ꝑmanes
etomnessicutvestimentũveterascent.etsicutopertorium	et omnes sicut vestimentũ veterascent . et sicut opertorium
mutabiseos	mutabis eos
etmutabuntur	et mutabuntur
tuautemidem	tu autem idem
ipseesetannitui	ipse es et anni tui
nondeficient.filiiservorumtuoꝝhabitabunt	non deficient . filii servorum tuoꝝ habitabunt
etsemeneorum	et semen eorum
inseculũdirigetur.psalmusdomineexaudior̃onem	in seculũ dirigetur . psalmus domine exaudi or̃onem
meametclamormeusadteveniat.non	meam et clamor meus ad te veniat . non
avertasfaciemtuam	avertas faciem tuam
ameinquacumq	a me in quacumq 
dietribulor	die tribulor
inclinaadmeauremtuam.inquacumqdie	inclina ad me aurem tuam . in quacumq  die
invocav͛otevelociter	invocav͛o te velociter
exaudimequiadefeceruntsicutfumusdiesmeietossa	exaudi me quia defecerunt sicut fumus dies mei et ossa
oblitussumcomederepanem	oblitus sum comedere panem
meum.avocegemitusmeiadhesitos	meum . a voce gemitus mei adhesit os
meumcarnimee.similisfactussumpellicanosolitudinisfactus	meum carni mee . similis factus sum pellicano solitudinis factus
sumsic̃	sum sic̃
niticoraxin	niticorax in
domicilio.vigilavi	domicilio . vigilavi
etfactussumsicutpasser	et factus sum sicut passer
solitariusintecto.totadie	solitarius in tecto . tota die
exprobrabantmichiinimici	exprobrabant michi inimici
meietqui	mei et qui
laudabantmeadv͛summejurabãt	laudabant me adv͛sum me jurabãt
.quiacineremtamꝙͣpanemmanducabametpotum	. quia cinerem tamꝙͣ panem manducabam et potum
meũcumfletumiscebam.afacie	meũ cum fletu miscebam . a facie
arui.tuautemdomine	arui . tu autem domine
ineternũpermanesetmemorialetuum	in eternũ permanes et memoriale tuum
ingñationeetgñationem.	in gñatione et gñationem .
tuexurgensdomine	tu exurgens domine
tempus.quoniamplacuerunt	tempus . quoniam placuerunt
timebuntgentesnomentuumdomine	timebunt gentes nomen tuum domine
etomnes	et omnes
regesterregloriamtuam.	reges terre gloriam tuam .
quiacineremtamꝙͣpanemmanducabamet	quia cinerem tamꝙͣ panem manducabam et
potumcumfletumiscebam	potum cum fletu miscebam
.respexitinor̃onemhumiliumetnonsprevitprecem	. respexit in or̃onem humilium et non sprevit precem
etpopulusquicreabiturlaudabitdominum.quiaprospexitde	et populus qui creabitur laudabit dominum . quia prospexit de
excelsosanctosuodominusdecelointerramaspexit	excelso sancto suo dominus de celo in terram aspexit
interemptorum.utannuntientinsyonnomẽ	interemptorum . ut annuntient in syon nomẽ
dominietlaudemejusinihrl̃m.in	domini et laudem ejus in ihrl̃m . in
conveniendoppl̃osinunũet	conveniendo ppl̃os in unũ et
regesutserviantdomino.respondit	reges ut serviant domino . respondit
eiinvia	ei in via
virtutistue	virtutis tue
paucitatemdierummeorumnũtiamichi.nerevoces	paucitatem dierum meorum nũtia michi . ne revoces
meindimidiodieꝝmeorumingñationeet	me in dimidio dieꝝ meorum in gñatione et
gñationemannitui.initio	gñationem anni tui . initio
tudomine	tu domine
terramfundastietoperamanuumtuarumsunt	terram fundasti et opera manuum tuarum sunt
peribunttuautẽpermanesetomnes	peribunt tu autẽ perma nes et omnes
sicutvestimentumveterascent	sicut vestimentum veterascent
esetanni	es et anni
tuinondeficientfiliiservorumtuorum	tui non deficient filii servorum tuorum
inseculũdirigetur.domine	in seculũ dirigetur . domine
exaudiorationemmeam⁊clamormeusadteveniat	exaudi orationem meam ⁊ clamor meus ad te veniat
.nonavertasfaciemtuãa	. non avertas faciem tuã a
meinquacumq	me in quacumq 
dietribulorinclinaadmeaurẽtuamin	die tribulor inclina ad me aurẽ tuam in
quacumqdieinvocaverotevelociterexaudime.	quacumq  die invocavero te velociter exaudi me .
quiadefeceruntsicutfumus	quia defecerunt sicut fumus
diesmeietossa	dies mei et ossa
etaruitcormeũquiaoblitussũcomederepanemmeum	et aruit cor meũ quia oblitus sũ comedere panem meum
avocegemitusmeiadhesitosmeumcarnimee.	a voce gemitus mei adhesit os meum carni mee .
sicutniticoraxindomiciliovigilavietfactussũsicut	sicut niticorax in domicilio vigilavi et factus sũ sicut
