tandus.si	tandus . si
sedquidestdñeih̃u.quodturbarisin	sed quid est dñe ih̃u . quod turbaris in
temetip̃oqͥutscͥptumẽ.	temet ip̃o qͥ ut scͥptum ẽ .
omniacũtranquillitateiudicas.qͥespax	omnia cũ tranquillitate iudicas . qͥ es pax
uera.q̃omnẽsensũexuꝑat.qui	uera . q̃ omnẽ sensũ exuꝑat . qui
semperidemip̃ees.stabilisq;manẽs.	semper idem ip̃e es . stabilis q; manẽs .
dascuncta	das cuncta
moũi.uñtibilacͥme.quepenitentiest̃̄	moũi . uñ tibi lacͥme . que penitentie st̃̄
indicia.qͥpecc̃mñfecisti.necestĩuentus	indicia . qͥ pecc̃m ñ fecisti . nec est ĩuentus
dolusinoretuo.quipat̃nepietatishabundantia	dolus in ore tuo . qui pat̃ne pietatis habundantia
:ꝓĩimicismortem	: ꝓ ĩimicis mortem
subireñdubitasti.quiprocrucifixorib;cuisutñ	subire ñ dubitasti . qui pro crucifixorib; cuis ut ñ
ꝑirentorasti.	ꝑirent orasti .
quideniq;ꝓcõciliandistibi	qui deniq; ꝓ cõciliandis tibi
peccatorib;tantasustinuisti:s;attendite	peccatorib; tanta sustinuisti : s; attendite
fr̃s.qꝛñsolum	fr̃s . qꝛ ñ solum
q̃cumq;scͥpta.	q̃cumq; scͥpta .
sed⁊q̃cumq;fc̃asunt.adnr̃am	sed ⁊ q̃cumq; fc̃a sunt . ad nr̃am
doctͥnamscͥpta⁊fc̃asunt	doctͥnam scͥpta ⁊ fc̃a sunt
.utquiꝑadoptionisgr̃ammembraxp̃isumus.	. ut qui ꝑ adoptionis gr̃am membra xp̃i sumus .
totastudeamusimitarideuotione.quodꝓsalute	tota studeamus imitari deuotione . quod ꝓ salute
nr̃agestumeẽꝮstatĩcapite.Quod	nr̃a gestum eẽ Ꝯstat ĩ capite . Quod
enĩxp̃cnasci.cͥcũcidi.	enĩ xp̃c nasci . cͥcũcidi .
crucifigi.moriuoluit:nich̃hoꝝp̃pse.	crucifigi . mori uoluit : nich̃ hoꝝ p̃p se .
s;om̃ia	s; om̃ia
p̃pelectossustinuit.	p̃p electos sustinuit .
neq;enĩ.ĩpecc̃o	neq; enĩ . ĩ pecc̃o
natus.necapecc̃ocͥcũcisus.nͨ	natus . nec a pecc̃o cͥcũcisus . nͨ
ꝓpecc̃osuo.s;p̃pdelictanr̃amortuus	ꝓ pecc̃o suo . s; p̃p delicta nr̃a mortuus
est.pauloapl̃oattestantequiait.xp̃cmortuus	est . paulo apl̃o attestante qui ait . xp̃c mortuus
ẽp̃pdelicta	ẽ p̃p delicta
nr̃a⁊resurrexitꝓpt̃iusticationẽnr̃am.sic	nr̃a ⁊ resurrexit ꝓpt̃ iusticationẽ nr̃am . sic
⁊propt̃nos.ñaũp̃p	⁊ propt̃ nos . ñ aũ p̃p
se.fremuitsp̃u	se . fremuit sp̃u
.turbauitseip̃m.lacͥmatus	. turbauit se ip̃m . lacͥmatus
est.⁊clamauit.fremuitinqͣmsp̃u	est . ⁊ clamauit . fremuit inqͣm sp̃u
.utsalutarẽ	. ut salutarẽ
Ꝯtrauitiafremitumĩ	Ꝯtra uitia fremitum ĩ
cordib;nr̃issuscitaret	cordib; nr̃is suscitaret
.turbauitsemetip̃m:utqͣntum	. turbauit semet ip̃m : ut qͣntum
deꝑpetratismalisturbari.⁊doleredebeamus:	deꝑpetratis malis turbari . ⁊ dolere debeamus :
innotesc̃et.lacͥmatusest.utnosꝓuocaretad	innotesc̃et . lacͥmatus est . ut nos ꝓuocaret ad
lacͥmasdeuoteꝮpunctionis.	lacͥmas deuote Ꝯpunctionis .
clamauitaũ:uͭcordeꝮtritosinuitaret	clamauit aũ : uͭ corde Ꝯtritos inuitaret
adremediũ	ad remediũ
salutifereꝮfessionis.tuncenĩxp̃cĩnobis	salutifere Ꝯfessionis . tunc enĩ xp̃c ĩ nobis
clamoreñincongrue	clamore ñ incongrue
dr̃.cumnosutinꝮfessione	dr̃ . cum nos ut in Ꝯfessione
pecc̃oꝝclamem᷒.salubrit̃exhortat᷑.Ille	pecc̃oꝝ clamem᷒ . salubrit̃ exhortat᷑ . Ille
igiturutil̃r	igitur util̃r
clamatqͥruptopudoris⁊	clamat qͥ rupto pudoris ⁊
ũecũdiesilentio:pecc̃oꝝsuoꝝuulña	ũecũdie silentio : pecc̃oꝝ suoꝝ uulña
.ĩꝮfessionedetegit	. ĩ Ꝯfessione detegit
⁊manifestat.Ethoc	⁊ manifestat . Et hoc
estꝙaitdominus.lazare	est ꝙ ait dominus . lazare
ueniforas.perlazarumqui	ueni foras . per lazarum qui
fetens⁊qͣtriduanusinsepulcrolatuit	fetens ⁊ qͣ triduanus in sepulcro latuit
.pecc̃oremquẽlibetñĩmeritoaccipim᷒.	. pecc̃orem quẽlibet ñ ĩ merito accipim᷒ .
quip̃ssusmole	qui p̃ssus mole
praueꝮsuetudinis.sublatebͥstenebroseꝮscientieseabscondit	praue Ꝯsuetudinis . sub latebͥs tenebrose Ꝯscientie se abscondit
.Quidum	. Qui dum
scelerũsuoꝝĩmanitatet̃ritus	scelerũ suoꝝ ĩ manitate t̃ritus
.ꝮscientiefeditateꝮfusus.ne	. Ꝯscientie feditate Ꝯfusus . ne
uiassuas	uias suas
dominomanifestet.noxiopudore	domino manifestet . noxio pudore
uincit᷑:uelut	uincit᷑ : uelut
ĩcarcereligatus⁊inclusus.ne	ĩ carcere ligatus ⁊ inclusus . ne
forasprodireualeatꝓhibet᷑	foras prodire ualeat ꝓhibet᷑
.Dequoin	. De quo in
libroiob.bñscͥptumest.si	libro iob . bñ scͥptum est . si
incluseritdshoĩem	incluserit ds hoĩem
:nullusestquiaꝑiat.certe	: nullus est qui aꝑiat . certe
pecc̃orquilibetĩeoꝙmaleoꝑat᷑.	pecc̃or quilibet ĩ eo ꝙ male oꝑat᷑ .
Ꝯscientiesuecarceremsibifacit.	Ꝯscientie sue carcerem sibi facit .
neeuadendilocũĩueniat.qͤm	ne euadendi locũ ĩueniat . qͤm
pecc̃isexigentib;	pecc̃is exigentib;
optiñeñmeret᷑.Includitaũdeushominẽ	optiñe ñ meret᷑ . Includit aũ deus hominẽ
.dũĩclusononaꝑit.ꝑ	. dũ ĩcluso non aꝑit . ꝑ
gr̃espũalisifusionẽ.utigitursicinclususliberexire	gr̃e spũalis ifusionẽ . ut igitur sic inclusus liber exire
ualeat.uteducaturuinctusde	ualeat . ut educatur uinctus de
domocarceris.sedensintenebris.	domo carceris . sedens in tenebris .
⁊umbramortis:necesse	⁊ umbra mortis : necesse
ẽutelauisdauidxp̃cscilicet.qui	ẽ ut elauis dauid xp̃c scilicet . qui
claudit⁊nemoaꝑit.	claudit ⁊ nemo aꝑit .
aꝑit⁊nemoclaudit.solutispecc̃oꝝuinculis.	aꝑit ⁊ nemo claudit . solutis pecc̃oꝝ uinculis .
fractisuitioꝝseris	fractis uitioꝝ seris
:liberauoceclamet⁊dicat	: libera uoce clamet ⁊ dicat
.lazareueniforas.porta	. lazare ueni foras . porta
aũꝑqͣm	aũ ꝑ qͣm
reoadituseuadendiconceditur	reo aditus euadendi conceditur
.Ꝯfessiopecc̃oꝝest.q̃diu	. Ꝯfessio pecc̃oꝝ est . q̃ diu
habitantib;ĩregioneumbremortis.	habitantib; ĩ regione umbre mortis .
demũlucemgr̃esp̃ualisinfundit.⁊ereptosa	demũ lucem gr̃e sp̃ualis infundit . ⁊ ereptos a
uetustaseruitutepecc̃i:inlib̃tatemsp̃s.	uetusta seruitute pecc̃i : in lib̃tatem sp̃s .
⁊uitenouitatemrestituit.porta	⁊ uite nouitatem restituit . porta
h̃fratres.portasalutis	h̃ fratres . porta salutis
est⁊iusticie.	est ⁊ iusticie .
adeoutquilibetdenaufragiomundihui᷒euaderecupiens.	adeo ut quilibet de naufragio mundi hui᷒ euadere cupiens .
necessehabeattransireꝑeam.utcumpsalmistapossit	necesse habeat transire ꝑ eam . ut cum psalmista possit
dic̃e.aꝑite	dic̃e . aꝑite
mͥportãiusticie.	mͥ portã iusticie .
⁊ĩgressusĩeam.confitebordño.	⁊ ĩgressus ĩ eam . confitebor dño .
h̃portadñi.i᷒tiĩtrabuntmeam.necesseẽ	h̃ porta dñi . i᷒ti ĩtrabunt meam . necesse ẽ
inqͣmutꝑportamsalutisaddeumredeat.qui	inqͣm ut ꝑ portam salutis ad deum redeat . qui
ꝑportasmortisegressus:inregione	ꝑ portas mortis egressus : in regione
dissmilitudinis.abeolongiusaberraũat.	dissmilitudinis . ab eo longius ab erraũat .
st̃autẽtresportemortis.ꝑ	st̃ autẽ tres porte mortis . ꝑ
quasfiliihui᷒scl̃iadamorẽ	quas filii hui᷒ scl̃i ad amorẽ
mundihui᷒ingrediunt᷑.qͣsstudiisom̃ib;declinaresatagunt	mundi hui᷒ ingrediunt᷑ . qͣs studiis om̃ib; declinare satagunt
qͥdeducti	qͥ deducti
ꝑportasiusticie:	ꝑ portas iusticie :
adpatͥam	ad patͥam
claritatiseterne:celestisgr̃emuñeꝑducunt᷑.	claritatis eterne : celestis gr̃e muñe ꝑducunt᷑ .
Etestpͥmaportamortis:carnalisꝮcuꝑiscentiemom̃tanea	Et est pͥma porta mortis : carnalis Ꝯcuꝑiscentie mom̃tanea
uoluptas.scd̃a	uoluptas . scd̃a
:rerumtranseuntiũĩ	: rerum transeuntiũ ĩ
mod̃atacupiditas.tercia:gl̃e	mod̃ata cupiditas . tercia : gl̃e
scl̃arisuana	scl̃aris uana
sublimitas.hasportas	sublimitas . has portas
mortisinepistolasuabeatusioh̃eseuident̃expͥmit.	mortis in epistola sua beatus ioh̃es euident̃ expͥmit .
uͥait.Om̃eqd̃ẽinmundoautest	uͥ ait . Om̃e qd̃ ẽ in mundo aut est
Ꝯcupiscẽtiacarnis.autꝮcupiscentiaoculoꝝ.ul̃suꝑbiauite	Ꝯcupiscẽtia carnis . aut Ꝯcupiscentia oculoꝝ . ul̃ suꝑbia uite
.concupiscentiaenĩcarnis	. concupiscentia enĩ carnis
.refert᷑aduoluptatẽ.concupiscentiaocl̃oꝝ	. refert᷑ ad uoluptatẽ . concupiscentia ocl̃oꝝ
:admundanãcupiditatem.suꝑbiauite:adgl̃e	: ad mundanã cupiditatem . suꝑbia uite : ad gl̃e
secularis.sublimitatẽ.	secularis . sublimitatẽ .
Etqͥdemꝑportamcarnalis	Et qͥdem ꝑ portam carnalis
Ꝯcupiscentieqd̃sinegrauimeroredicendũñest	Ꝯcupiscentie qd̃ sine graui merore dicendũ ñ est
.ingrediunt᷑in	. ingrediunt᷑ in
numeri.eoqd̃	numeri . eo qd̃
patensintroitus.	patens introitus .
⁊spatiosa	⁊ spatiosa
uiasitq̃	uia sit q̃
ducitadeam.qd̃nimiꝝcertissimeꝓbanthii.	ducit ad eam . qd̃ nimiꝝ certissime ꝓbant hii .
quitimoredeipostposito	qui timore dei post posito
.cubilib;uacant⁊ĩpudicitiis.⁊carnissue	. cubilib; uacant ⁊ ĩ pudicitiis . ⁊ carnis sue
desideriasequentesul̃utium̃tacõputruer̃tĩstercorib;	desideria sequentes ul̃ ut ium̃ta cõputruer̃t ĩ stercorib;
suis.quiĩcarneseminant.	suis . qui ĩ carne seminant .
⁊decarne	⁊ de carne
metũtcorruptionẽ.	metũt corruptionẽ .
iocisdelectãtur⁊nisib;.	iocis delectãtur ⁊ nisib; .
⁊ext̃iorinitorecorporis	⁊ ext̃iori nitore corporis
:int̃iorishominisdeformantpulcritudinem.certeqͣmdetestabilissit	: int̃ioris hominis deformant pulcritudinem . certe qͣm detestabilis sit
carnalisconcupiscentieuoluptas.ex	carnalis concupiscentie uoluptas . ex
eonimirũcolligitur.ꝙ	eo nimirũ colligitur . ꝙ
appetitusei᷒:anxietatis⁊uecordie	appetitus ei᷒ : anxietatis ⁊ uecordie
.actus:Ꝯfusioniᷤ⁊ignominie.exitus:	. actus : Ꝯfusioniᷤ ⁊ ignominie . exitus :
penitudinis⁊	penitudinis ⁊
uerecundieplenuseẽdinoscit᷑.undescl̃arisilleferturdixisse	uerecundie plenus eẽ dinoscit᷑ . unde scl̃aris ille fertur dixisse
philosoph᷒uilisresluxuriadeuiliũmembroꝝdescendẽsoꝑatione	philosoph᷒ uilis res luxuria de uiliũ membroꝝ descendẽs oꝑatione
.cuiusnecesseẽutinfinepeniteas.	. cuius necesse ẽ ut in fine peniteas .
porroꝑportammundanecupiditatisingrediunt᷑	porro ꝑ portam mundane cupiditatis ingrediunt᷑
.hiiqui	. hii qui
lucrisinhiantes	lucris in hiantes
illicitis.q̃stumpietatẽexistimant.inquib;amor	illi citis . q̃stum pietatẽ existimant . inquib; amor
diuitiarũinsaciabilis.aĩam	diuitiarũ insaciabilis . aĩam
miseramdesid̃iocruciat.s;usunequaqͣm	miseram desid̃io cruciat . s; usu nequaqͣm
refrig̃at.ꝙenimcũlaboreadquiritur.	refrig̃at . ꝙ enim cũ labore adquiritur .
cumtimorepossidet᷑.⁊ꝙhiislongeinfelicius:	cum timore possidet᷑ . ⁊ ꝙ hiis longe infelicius :
tandẽcumdolore	tandẽ cum dolore
miserabilit̃᷑amittit᷑.uñqͥdamspũ	miserabilit̃᷑ amittit᷑ . uñ qͥdam spũ
d̃iplenus	d̃i plenus
.deamatorib;h᷒mundi.satiselegant̃ait	. de amatorib; h᷒ mundi . satis elegant̃ ait
.Querũtutadqͥrant	. Querũt ut adqͥrant
.adqͥrunt.utꝑdant.ꝑdũtutdoleant	. adqͥrunt . ut ꝑdant . ꝑdũt ut doleant
.Etpaulusapl̃s	. Et paulus apl̃s
.Quiuolũtĩquit	. Qui uolũt ĩquit
diuitesfieri.	diuites fieri .
incidũtĩtẽptationes.	incidũt ĩ tẽptationes .
⁊inlaq̃umdiaboli.⁊indessd̃ia	⁊ in laq̃um diaboli . ⁊ in dessd̃ia
ml̃tainutilia	ml̃ta inutilia
⁊nociua	⁊ nociua
.q̃mergũthoĩem	. q̃ mergũt hoĩem
ĩint̃itum⁊ꝑditionẽ.suꝑquẽlocumsic	ĩ int̃itum ⁊ ꝑditionẽ . suꝑ quẽ locum sic
aitexpositor.nichiltamasꝑũ.nich̃tamꝑnitiosũ	ait expositor . nichil tam asꝑũ . nich̃ tam ꝑnitiosũ
.quamsiuireccl̃iasticus.	. quam si uir eccl̃iasticus .
maximesublimẽ	maxime sublimẽ
tenenslocũ.diuitiishui᷒seculi	tenens locũ . diuitiis hui᷒ seculi
studeat.tal̃	studeat . tal̃
enĩñsolũ	enĩ ñ solũ
se.s;⁊cet̃os	se . s; ⁊ cet̃os
:ꝑformãꝮtͣriamꝑicl̃osubicit.	: ꝑ formã Ꝯtͣriam ꝑicl̃o subicit .
⁊ĩruinamp̃cipitat.terciaportamortis.	⁊ ĩ ruinam p̃cipitat . tercia porta mortis .
ẽsublimitas	ẽ sublimitas
gl̃escl̃aris.quereuera	gl̃e scl̃aris . que reuera
Ꝯiunctaẽporte.qͣmdescͥpsim᷒noĩemũdanecupiditatis	Ꝯiuncta ẽ porte . qͣm descͥpsim᷒ noĩe mũdane cupiditatis
.fitenĩplerũq;.utꝑhabundantiãdiuitiarũ.	. fit enĩ plerũq; . ut ꝑhabundantiã diuitiarũ .
pateatascensusad	pateat ascensus ad
culmenscl̃ariumdignitatũ.	culmen scl̃arium dignitatũ .
uñpaulus	uñ paulus
ĩpotentib;h᷒mundimorbumdiuitiarũ.i.suꝑbiãuolens	ĩ potentib; h᷒ mundi morbum diuitiarũ . i. suꝑbiã uolens
repͥmere:thimotheoscͥbensait.p̃cipediuitib;	repͥmere : thimotheo scͥbens ait . p̃cipe diuitib;
h᷒scl̃i.ñ	h᷒ scl̃i . ñ
sublimesaꝑe.neq;sperareĩ	sublime saꝑe . neq; sperare ĩ
incertodiuitiarũ.	incerto diuitiarũ .
s;indeouiuo.	s; in deo uiuo .
qͥdat.nob̃habundant̃om̃ia	qͥ dat . nob̃ habundant̃ om̃ia
adfruendũ.	ad fruendũ .
Inhacporta	In hac porta
sedemsibistatuer̃t	sedem sibi statuer̃t
.quidignitateseccl̃iasticaslicet	. qui dignitates eccl̃iasticas licet
indignicecanimisambitione.ĩpudent̃usurpãt⁊rapiũt.	indigni cecanimis ambitione . ĩpudent̃ usurpãt ⁊ rapiũt .
deqͥb;dñs	de qͥb; dñs
ꝑysaiam	ꝑ ysaiam
ꝓph̃amꝮq̃riturdicens.Ip̃iregnauert̃	ꝓph̃am Ꝯq̃ritur dicens . Ip̃i regnauert̃
.⁊ñexme.	. ⁊ ñ ex me .
pͥncipesexcitert̃.⁊ñcognoui.talesenimpre	pͥncipes excitert̃ . ⁊ ñ cognoui . tales enim pre
eẽnesciunt.subeẽnonsustinẽt.	eẽ nesciunt . sub eẽ non sustinẽt .
⁊ꝓdesseñsatagunt.elongariꝓrsusadoctͥnasaluatoris	⁊ ꝓdesse ñ satagunt . elongari ꝓrsus a doctͥna saluatoris
.quadic̃.Quimaiorẽur̃m.erit	. qua dic̃ . Qui maior ẽ ur̃m . erit
minist̃uest̃	minist̃ uest̃
.ubiplaneminist̃iũsubiectionisdominusĩdicit.	. ubi plane minist̃iũ subiectionis dominus ĩdicit .
s;ambitionẽdñationispenitusint̃dicit.⁊qd̃ũbop̃cipit	s; ambitionẽ dñationis penitus int̃dicit . ⁊ qd̃ ũbo p̃cipit
:exemploroborat.	: exemplo roborat .
Egoinqͥt	Ego inqͥt
ĩmediour̃m	ĩ medio ur̃m
sum.tãqͣmqͥministrat.Quiautemmundi	sum . tãqͣm qͥ ministrat . Qui autem mundi
hui᷒uenant᷑gl̃am.ĩfauorispopl̃arisaura	hui᷒ uenant᷑ gl̃am . ĩ fauoris popl̃aris aura
sectandadelectantur	sectanda delectantur
.insplendoreuestiũ.ĩciboꝝgl̃ant᷑	. in splendore uestiũ . ĩ ciboꝝ gl̃ant᷑
uoluptate.amantpͥmosrecubitusincenis	uoluptate . amant pͥmos recubitus in cenis
.⁊pͥmascathedrasĩsynagogis.salutationesĩ	. ⁊ pͥmas cathedras ĩ synagogis . salutationes ĩ
foro.⁊uocariabhoĩb;rabicũtam̃	foro . ⁊ uocari ab hoĩb; rabi cũ tam̃
dñsĩeuangl̃iodicat.neuoceminimagistͥ	dñs ĩ euangl̃io dicat . neuocemini magistͥ
.qꝛmagist̃uesterunusẽxp̃c.heest̃	. qꝛ magist̃ uester unus ẽ xp̃c . hee st̃
portemortisquasenum̃auim᷒.porteinferi.ꝑ	porte mortis quas enum̃auim᷒ . porte inferi . ꝑ
quasfiliihus᷒seculigradientes.ruuntinp̃cipiciũ	quas filii hus᷒ seculi gradientes . ruunt in p̃cipiciũ
.quib;portesalutisopponũt᷑.ꝑquasnecesseest	. quib; porte salutis opponũt᷑ . ꝑ quas necesse est
utintroeat.quiĩoffensopedetend̃e	ut introeat . qui ĩ offenso pede tend̃e
Ꝯtenditaddm̃	Ꝯtendit ad dm̃
.Etestpͥma	. Et est pͥma
portasalutis.deuotacordiscompũctio	porta salutis . deuota cordis compũctio
.scd̃a:uera⁊humilisoris	. scd̃a : uera ⁊ humilis oris
confessio.tercia:Ꝯdignaoꝑissatisfactio.De	confessio . tercia : Ꝯdigna oꝑis satisfactio . De
hiisportispsalmista	hiis portis psalmista
ait.Introiteportasei᷒	ait . Introite portas ei᷒
ĩconfessione.	ĩ confessione .
atͥaei᷒inhymnisꝮfiteminiilli.hee	atͥa ei᷒ in hymnis Ꝯfitemini illi . hee
st̃porteparadisi.	st̃ porte paradisi .
dequib;hiisdieb;canim᷒.paradisiportasaꝑuit	de quib; hiis dieb; canim᷒ . paradisi portas aꝑuit
nob̃ieiuniitemp᷒.	nob̃ ieiunii temp᷒ .
hasportaspetrusĩtroierat.dũpostĩmanitatẽculpe	has portas petrus ĩtroierat . dũ post ĩmanitatẽ culpe
.misericordit̃respectusẽadño.⁊egressus	. misericordit̃ respectus ẽ a dño . ⁊ egressus
foras.fleuit	foras . fleuit
amare.Inegressuenĩ	amare . In egressu enĩ
notaturconfessio.ĩfletuamaro:cordiscõpunctio.	notatur confessio . ĩ fletu amaro : cordis cõpunctio .
qd̃aũĩeosecutasitꝮdigna	qd̃ aũ ĩ eo secuta sit Ꝯdigna
satisfactiooꝑis:exeonimirũ	satisfactio oꝑis : ex eo nimirũ
colligitur.quodposttamgrauis	colligitur . quod post tam grauis
lapsusp̃cipiciũ:adtanterediiteminentiamsc̃itatis	lapsus p̃cipiciũ : ad tante rediit eminentiam sc̃itatis
.pulsemusdilectissimifr̃esadportasistas.	. pulsemus dilectissimi fr̃es ad portas istas .
⁊aꝑient᷑nob̃.aꝑtaestnob̃siuolumusuia	⁊ aꝑient᷑ nob̃ . aꝑta est nob̃ si uolumus uia
penitentie.qꝛ	penitentie . qꝛ
sicutaitbeatusbeatus	sicut ait beatus beatus
ioh̃esapl̃s.siꝮfiteam᷑	ioh̃es apl̃s . si Ꝯfiteam᷑
pecc̃anr̃a.	pecc̃a nr̃a .
fidelis⁊iustusẽdominus.ut	fidelis ⁊ iustus ẽ dominus . ut
remittatnob̃pecc̃anr̃a.	remittat nob̃ pecc̃a nr̃a .
⁊emundetnos	⁊ emundet nos
abom̃iĩiquitate.Itaq;fratres	ab om̃i ĩiquitate . Itaq; fratres
dirigam᷒oꝑanr̃aadexemplar.ꝙnob̃ĩ	dirigam᷒ oꝑa nr̃a ad exemplar . ꝙ nob̃ ĩ
montemonstratũẽ	monte monstratũ ẽ
.uͭuidl̃cunusqͥsq;	. uͭ uidl̃c unusqͥsq;
nr̃mfrematspũ.turbetseipsum	nr̃m fremat spũ . turbet se ipsum
.lacrimet᷑.⁊	. lacrimet᷑ . ⁊
clamet.fremat	clamet . fremat
ĩꝗͣinse	ĩ ꝗͣ in se
fremat⁊Ꝯtrase.Insequidẽ	fremat ⁊ Ꝯtra se . In se quidẽ
:perint̃ioremcordis	: per int̃iorem cordis
amaritudinẽ.Ꝯtra	amaritudinẽ . Ꝯtra
se.ꝑext̃ioremcorꝑisaffuctionẽ.	se . ꝑ ext̃iorem corꝑis affuctionẽ .
utdicerepossitcũpsalmista.	ut dicere possit cũ psalmista .
afflictussum&humiliatussũnimis	afflictus sum & humiliatus sũ nimis
.rugiebãagemitu	. rugiebã a gemitu
cordismei.	cordis mei .
turbetetiam	turbet etiam
seipsumꝑdolorẽ.	se ipsum ꝑ dolorẽ .
lacͥmeturꝑpietatẽ.clametꝑor̃onem.Exaudisti	lacͥmetur ꝑ pietatẽ . clamet ꝑ or̃onem . Exaudisti
inquituocedep̃cationismee.dũ	inquit uoce dep̃cationis mee . dũ
clamarẽadte.clamet.aũ.⁊dicat	clamarẽ ad te . clamet . aũ . ⁊ dicat
animesue.lazareueniforas.lazarusint̃pretat᷑	anime sue . lazare ueni foras . lazarus int̃pretat᷑
adiutus.ꝑlazarumgͥ	adiutus . ꝑ lazarum gͥ
quelibetfidelisanimaꝮuenient̃accipit᷑.	quelibet fidelis anima Ꝯuenient̃ accipit᷑ .
q̃potissimũilliusindigetadiutorio:quidese	q̃ potissimũ illius indiget adiutorio : qui de se
ip̃odic̃sine	ip̃o dic̃ sine
menich̃potestisfac̃e.Et	me nich̃ potestis fac̃e . Et
dequopsalmistaait	de quo psalmista ait
.adiutorĩ	. adiutor ĩ
oportimitatib;intribulatione	oportimitatib; in tribulatione
.sperentinteqͥ	. sperent in te qͥ
noueruntte.Quamfidelisqͣmnecessari᷒sitadiutoriste	nouerunt te . Quam fidelis qͣm necessari᷒ sit adiutor iste
.manifestedeclarateccl̃ia	. manifeste declarat eccl̃ia
.q̃ꝑsingulashorasdeuotisip̃mp̃cib;	. q̃ ꝑ singulas horas deuotis ip̃m p̃cib;
ĩuocans.	ĩuocans .
d̃sinqͥtĩadiutoriũmeũĩtende.	d̃s inqͥt ĩ adiutoriũ meũ ĩtende .
dñeadadiuuand̃mefestina.hecigit᷑fidelis	dñe ad adiuuand̃ me festina . hec igit᷑ fidelis
aĩa.qͥꝑlatarũsignificataest	aĩa . qͥ ꝑ latarũ significata est
.uocantedño.forasuenit	. uocante dño . foras uenit
.duma.mortepecc̃iresuscitata.inluce	. dum a . morte pecc̃i resuscitata . in luce
bonoꝝoꝑmambulat.⁊cooꝑantegr̃adeuirtute	bonoꝝ oꝑm ambulat . ⁊ cooꝑante gr̃a de uirtute
ĩuirtutẽꝓficit.Que	ĩ uirtutẽ ꝓficit . Que
etiãadtantamregiset̃nifamiliriatẽdignanter	etiã ad tantam regis et̃ni familiriatẽ dignanter
admitit᷑.ut	admitit᷑ . ut
ĩꝮuiuioei᷒plenodeliciis	ĩ Ꝯuiuio ei᷒ pleno deliciis
om̃ib;.recumberedignareꝑiat᷑	om̃ib; . recumbere digna reꝑiat᷑
.sicenimscͥptumestĩioh̃iseuangl̃io	. sic enim scͥptum est ĩ ioh̃is euangl̃io
.anteqͥnq;	. ante qͥnq;
diespasche.	dies pasche .
uenitih̃cbethaniã.	uenit ih̃c bethaniã .
ubilazarusfũatmortuus.feceruntaũei	ubi lazarus fũat mortuus . fecerunt aũ ei
cenamibi.	cenam ibi .
lazarusuͦunuseratexdiscumbentib;c̃eo.hanc	lazarus uͦ unus erat ex discumbentib; c̃ eo . hanc
cenãfr̃eset̃nam	cenã fr̃es et̃nam
sacietatediuine	sacietate diuine
uisionisaccipimus	uisionis accipimus
.dequacena	. de qua cena
ĩapocalipsiscͥptũẽ.	ĩ apocalipsi scͥptũ ẽ .
Beatiquiadcenam	Beati qui ad cenam
nuptiaꝝagniuocatist̃.sponsus	nuptiaꝝ agni uocati st̃ . sponsus
etiamĩcanticis:	etiam ĩ canticis :
hui᷒ceneconuiuasalloquẽs:	hui᷒ cene conuiuas alloquẽs :
⁊adepulandũgratulant̃inuitans	⁊ ad epulandũ gratulant̃ inuitans
:aitcomediteamici.⁊bibite.⁊ĩebͥamini	: ait comedite amici . ⁊ bibite . ⁊ ĩebͥamini
km̃i.Inquib;ũbisnotand̃	km̃i . In quib; ũbis notand̃
est.qꝛquicomedunt	est . qꝛ qui comedunt
amici.quiuͦbibunt⁊	amici . qui uͦ bibunt ⁊
inebriabunt᷑:	inebriabunt᷑ :
ꝑhibent᷑eẽkm̃i.sc̃ienĩinp̃sentiuitacomedunt	ꝑhibent᷑ eẽ km̃i . sc̃i enĩ in p̃senti uita comedunt
.dumsuperneꝮtemplationisdulcedinẽ	. dum superne Ꝯtemplationis dulcedinẽ
pregustantes:suaui	pregustantes : suaui
uirtutũdelectationesereficiunt	uirtutũ delectatione se reficiunt
.Inet̃naaũ	. In et̃na aũ
beatitudinebibt̃⁊ĩebͥant᷑.	beatitudine bibt̃ ⁊ ĩebͥant᷑ .
dumtranslatiingl̃am:perfecta	dum translati in gl̃am : perfecta
diuinecognitionisplenitudine.⁊int̃niamoris	diuine cognitionis plenitudine . ⁊ int̃ni amoris
iocunditateꝑfruunt᷑.Dehiis	iocunditate ꝑfruunt᷑ . De hiis
inpsalmoscͥptumest	in psalmo scͥptum est
.Inebͥabũt᷑abubertatedomustue.⁊torrente	. Inebͥabũt᷑ abubertate domus tue . ⁊ torrente
uoluptatistue	uoluptatis tue
potabiseos.hui᷒torrentiᷤuoluptate.nos	potabis eos . hui᷒ torrentiᷤ uoluptate . nos
inet̃noꝮuiuio.non	in et̃no Ꝯuiuio . non
solumpotare.s;⁊ĩebriaredignetursponsus	solum potare . s; ⁊ ĩebriare dignetur sponsus
eccl̃iedñsnr̃ih̃cxp̃c	eccl̃ie dñs nr̃ ih̃c xp̃c
.utabfortamorteĩuictoriam	. ut abforta morte ĩ uictoriam
.ineoqui	. in eo qui
uitanr̃aest.sinefinefeliciteruiũemeream᷑	uita nr̃a est . sine fine feliciter uiũe meream᷑
.prestante	. prestante
eodemdñonr̃oih̃u	eodem dño nr̃o ih̃u
