P A TROLOGIAETOMUSuIII .	-⌫-⌫--------|----|----⌫|
DEPETITION IBU S.	-|--------⌫---⌫-|
ConstantinusA .	-----------|-⌫|
[e1Kb]adPopulum.	-|---|-|-------|
Comprimaturunum [f1Kb]maximumh umaneuitemal um, del a to rume xs ecranda [g1Kb]pernicies, etin ter primos con a tusinipsisfaucibu s st rangul etur, e tamp utatarad i citus inuidi elingua ue llatur [h1 K b], it auti udicesn eccalumniamnec u ocem[i1Kb]pro rsusdeferentisadmitt ant.	----------|---|-|---|------|-⌫----|---|---⌫--|---⌫-⌫--⌫--|-⌫--⌫------|-|---|---------|-|--⌫--|-----|---⌫-⌫--|-|----|-------⌫|--⌫------⌫----|-⌫|---⌫----|---⌫-⌫----|------⌫|-----|--⌫-----|-|-⌫-⌫-||--⌫|-|-⌫-----|-⌫-|--------|--|-⌫---|-|---|---⌫---|---------|------⌫---|
sedsiq ui [i 1Kb]d elatorexs titerit,cap it ali sentent ie[k1Kb]s ubiug etur.	--|-|-⌫-|-|---|-⌫-----|---⌫-------|---⌫--⌫--|-------⌫-|-|---|-⌫-----⌫----|
INTERPRETATIO .	-------------⌫|
Delatores dicuntur,quiaut facu ltatesprodiderintalien as, autcaputimpe tierint[n1Kb]alienum.	--------|--------|--|--|----⌫-----|----------|-----⌫--|--|----|----⌫------|-|---|-------|
DEBONISD E CUR IONUM [c1Kb].	-|----|-⌫-⌫---⌫----|-|---||
Consta ntinu sA.	------⌫-----⌫|-|
Rufin oPf;	-----⌫|--|
[d1Kb]Si de curio sinel i berisintestatusdiemuites oluerit, cui nequeuoluntas[ e1Kb]postremalegibusfulta[ f 1Kb],nequeali o [g 1Kb ]iuregraduproximo h eresexstiterit, bonaeius cu ries uecommodiscedant,id estordinisutili tati pr o fic ian t, cuiuscorporifata li n ecess itate e xemptusest,nulli[h1Kb]prebendalicen tia post ulan d ihec bonaut[i1Kb] uacantiadenost raclementia,etiamsireuer aettestamentumet s uc ce ssor dees selegitimus a pp robetur.	-|---|-|--⌫----|---|-⌫-⌫----|---------|---|---|-⌫-------|--|----|-------|-⌫|---|-------|------|----|-⌫|---||----|---⌫|-|---⌫|---|----|------|-⌫---|----------|---|---|--⌫--|-⌫-|-------|------|-|--|------|-----⌫---|--⌫-⌫---⌫---⌫-|----|------|----⌫-|-⌫-----⌫----|-⌫------|---|----|-|---|-------|-----⌫--|----⌫----⌫-⌫|--|---|-|-|---|-------|-|----⌫-|---------|------|-----⌫|-|----------|-|-⌫--⌫--⌫---|----⌫-|--------|-⌫--⌫-------|
omni e tiambeneficio [i1Kb ],siq u od [k 1 Kb]fue ritimpetratu m[l1K b], p rotinu sinfir mando.	---|-⌫---|--------|-|---⌫||-|-⌫-⌫-|-|-⌫--|---⌫--|---------⌫|-|--⌫-||-⌫------⌫|-----⌫-----|
INTER PRETATIO .	-----⌫--------⌫|
DEOF FICIOPROCO N SU LIS ETLEGAT I.	-|--⌫----|-----⌫-⌫--⌫--|-|-----⌫-|
Constanti nus A.	---------⌫--|-|
adProculum Proconsulem Africe[e 1Kb] .	-|-------|----------|-----|-|---||
E t public e disciplin e intere s t,etproco nsu l ariconuenitdignitati , utp ublicarum exa ctionumcet erarumquerer umcuramet no tit iamadtuam redigaspotestatem, itautnono fficialium instructione et uoce fraudulentac onte ntus sis, sed ipsorumiudicum cur amr esponsion emq u e condiscas prefecti annone[f1Kb]etrationalium,sifidel isest eainstr uc tio[g1Kb]:itae n i mprou inc iali buscontrainiquasexactiones p oterit subu eniri.	-⌫|------⌫|---------⌫|------⌫-⌫-|-|-----⌫---⌫-⌫--|-------|---------⌫|-|-⌫--------|---⌫------|---⌫--------|---⌫-|----|-|--⌫---⌫--|-|---|------|----------|--|-|--|-⌫---------|-----------|-|---|----------|-⌫----⌫---|---|--|------|------|---⌫-|-⌫---------⌫---⌫-⌫|--------|-------|-----|-|---|-|-----------|-|-----⌫-|--|-|-----⌫--⌫--|-|---||--|-⌫-⌫-⌫|----⌫---⌫----⌫--|-----|------|---------|-⌫-----|----⌫-----|
DE RE IU DICATA.	-|-|--⌫------|
ConstantinusA.	-----------|-|
adProculum[h1K b] .	-|-------|-|--⌫-||
Impetrata[i1Kb]rescr ipta nonpl acet admit ti,si decises eme lcaussefuerintiudiciali[i 1Kb] sententi a, quamp rouocationu llas usp endit.	--------|-|---|-----⌫---|--|--⌫---|-----⌫--|-|-----|-⌫---⌫|-----|------|--------|-|---|--------⌫-|---|-⌫--------|--⌫--|-⌫---⌫-----|
sedeos [k1Kb] ,quitalere scriptummeruerint,eti am lim ine [l1K b] ind iciorum expe lli.	--|--|-|---||--|---|--⌫-------|---------|---⌫-|---⌫--|-|--⌫-|---⌫------|----⌫---|
DE PR OCURATORIBUS.	-|--⌫------------|
C onstantinusA.	-⌫----------|-|
adBassumP.	-|-----|-|
P rocuratori businsti tutis ,et p ostcontestatamlit emdominiseffectis,hi,qui ma nda ueran t, nonhabeantfacultat emne gotiapersequend i,nis icapit ale sini micit ie,uel morb us,uelalianecessariacausa i n te rcesserit:tu nc en imetiaminuitishis,transferrilispo tes t.	-⌫----------⌫--|-----⌫-----⌫|-|-⌫--|----------|---⌫-|------|--------|--|--|--⌫---⌫-----⌫-|--|------|--------⌫-|--⌫----|----------⌫-|---⌫|-----⌫---⌫|---⌫-----⌫--|--|----⌫--|--|---|---------|----|-⌫-⌫--⌫---------|--⌫-|--⌫-|----|------|---|---------|--|--⌫---⌫-|
SIEXPLURIBUSTUTORIBUSuELCURA TORIBUSOMNESu ELUNU SA GE REPROMINOREuELCO NuENIR IPOSSI NT.	-|-|-------|--------|--|----⌫------|----|-⌫-|---⌫|-⌫--⌫-|--|-----|--|--⌫------⌫|-----⌫--|
Constant in u s A.	--------⌫--⌫-⌫|-|
etLicini usC.	-|------⌫-|-|
adSymma chum.	-|-----⌫----|
Sidiuisumadministr ationis periculumpe rprouinci assit:his tantumom nibusinsinuari conuenit, et ab ipsisinferrilit em,quiin eaprouincia tut ele,uelcureoffi ci u msustinen t, n ede alii s prouinciis defe nsoresminorum a d i u diciaper ducan tur.	-|------|---------⌫------|--------|--⌫|--------⌫-|---|--|-----|--⌫----|--------|--------|-|-|----|------|---⌫--|--|-|-|--------|---⌫---|--|---|----⌫--⌫-⌫|--------⌫-|-⌫|-|----⌫|---------|----⌫-----|------|-⌫|-⌫-⌫----|---⌫-----⌫---|
DE LIBERT ISETEORUMLIBERIS.	-|------⌫-|-|----|-------|
ConstantinusA.	-----------|-|
adMaximumprefectumUrbi.	-|------|--------|----|
Simanumi ss usingratuscirc a patronumsuum e xstiterit, etquadamiactantia,uelcontumacia ceru icemaduersuseum erexer it,autleu iso ffe ns econtra xer it culpam: apatronorursussubimperiumditionemqu e mittatur,siiniudicio, u e lapudpedaneosi ud icespatr oni querel a extortain grat ume umo stenda t:fi li isetia m,quip osteanati fu erint ,seruituris:quoniamillis d elictapar e ntumnonnoc ent,q u o st unc esse ortosco nstit e rit,dumlibertateillipoti rentu r .	-|------⌫--⌫-|-------|----⌫|-------|---|-⌫---------|-|-----|---------|--|---------|----⌫---|-------|--|------⌫--|--|---⌫-|-⌫---⌫--⌫|------⌫---⌫-|------||------|-----|--|-------|----------⌫|--------|-|-|-------|-⌫-⌫|---|-------|-⌫--⌫---|----⌫--|------⌫|------|--⌫----⌫-|-⌫-|-⌫------⌫-|--⌫--⌫-|----⌫-|--|-⌫----|---|--⌫-----⌫|----------|------|----|-⌫-----|---⌫-⌫---|--|---⌫---|-⌫-⌫-⌫|-⌫--|---|----|--⌫-----⌫-⌫---|--|--------|---|----⌫-----⌫-⌫|
+San esiisquiinnostroconciliou in dictaliberatus est,post cercitionem[ex] p enitentiadig n um seprest ite rit,ut eic iuitasRom ana redda tur:nonp ri usf rueturben ef ic io li bertatis,qua m sihocpatronus eiusoblati sprecibus i mpetrauerit.	|---⌫|-|-|--|-|-----|-------|-⌫--⌫----|--------|---|---|----------|---|-⌫--------|---⌫-⌫-|-|-----⌫---⌫---|-|-|-⌫-----|---⌫--|-----⌫---|--|-⌫--⌫-|-⌫-----|---⌫--⌫--⌫-|--⌫--------|---⌫|-|--|-------|---|------⌫|-------|-⌫-----------|
DEMANCIP IISETCOLO NISPATRIMONIALUM,SALTUEN SIUMET EMP HYTEUTICORUMFUNDORUM.	-|------⌫--|-|----⌫--|-------------|-------⌫---|-|---⌫-----------|--------|
Constan tin usA.	-------⌫---⌫-|-|
E m phyteutic ariosgrauantcolo ni,agrospreter consuetudinem usurpantes,quosnull iscultu ris erudierunt: cum so lem nitasid eosattrectareperm ittat ,quodeor um laboreuelo l iu etis es tinsit u m,ueluin e tis.	-⌫-⌫---------⌫----|------|----⌫--|----|-----|------------|----------|---|----⌫-|-----⌫--|----------|--|--⌫---⌫----|-|--|---------|----⌫-----⌫|---|---⌫-|-----|--|-⌫-⌫--⌫---|--⌫|-----⌫-⌫-|--|---⌫-⌫---|
Sed e t irr i guas fontiuma qu a sus ur pare c onantur,quarumfruc t u ssolisemphyteutica riis debentur.	--|-⌫|---⌫-⌫---|------|-⌫--⌫-⌫|--⌫--⌫---|-⌫-------|-----|----⌫-⌫-⌫|----|------------⌫---|--------|
Ideoqueplacuit ,utdein cepsa quarumiura pot estatesquepe ne s emphy teutic ar iospermaneant:ta n tumque ex[eis] co lonisimpertiat ur, quantumcultu ris e o rumagrorum suffic eremanifestumest, qu osipsicolunt:promodoa ut emsuperflueirrig ati oni s,quamultra culturas suasus ur pa rint , emphyt eut ic a riispo ss es soribuspensionesacces sionesqueprebeant.	------|-------⌫|-|----⌫---|-⌫-----|---|---⌫---------|--⌫--⌫|-----⌫------⌫--⌫--|----------|--⌫-⌫-----|-|----|--⌫----|---------⌫--|------|-----⌫--|-⌫-⌫--|------|------⌫--|---------|---|--⌫-|---|------|--|---|-⌫--⌫-|--------|-----⌫---⌫---⌫-|---|----|-------|---|--⌫--⌫--⌫----⌫|------⌫---⌫--⌫-⌫---|--⌫--⌫--⌫------|--------|-----⌫--------|--------|
AnnoDom ini 320.	---|---⌫--|---|
C o nstant inoA.	-⌫-⌫------⌫--|-|
DECOM MISSORIA RESCINDENDA[a1Kb].	-|---⌫-------|----------|-|---||
Constanti nus A.	---------⌫--|-|
ad Populu m.	-|------⌫-|
Quoniam i nte r aliascaptio nes p recipuecommissorie [b1Kb]legiscrescitas perita s,placetinf irmarieam ,etinpos te rum omni umeius mem oriamabol er i[c1Kb] .	------|-⌫---⌫|----|------⌫--|-⌫------|----------|-|---|----|------|--⌫------⌫-|-----|---⌫-----|---⌫|-|-|---⌫--⌫--|----⌫-|---|---⌫----|----⌫--⌫|-|---||
Siquis i giturtal ic ontractu laborat,hacsa nctione r es piret[d1Kb] ,que cum[e1Kb] p reteritispres entia [f1K b]quoquedepellit [ g 1Kb]e tfuturaprohibet.	-|---|-⌫----|---⌫|-⌫-------|-------|--|--⌫------|-⌫--⌫----|-|---||--|--|-|---|-⌫--------|----⌫----|-|--⌫-|-----|-------|-⌫|---|-⌫|-----|--------|
Credit oresenim,re amis sa [h1Kb],i ubemus recipere[i1Kb] ,quod deder unt .	------⌫---|----|-|----⌫-|-|---||-⌫-----|-------|-|---||---|-----⌫---⌫|
INTE RPRETATIO.	----⌫---------|
DEI NFIRMAND ISPe NISCAE LIBATUSETORBITATIS[g1Kb].	-|-⌫--------⌫-|--⌫--|---⌫------|-|--------|-|---||
Const an tinus[h1Kb]A.	-----⌫--⌫----|-|---|-|
ad P opulu m.	-|-⌫-----⌫-|
Quiiureuetericelibes habebantur, im minentibuslegumterro ri buslibe rentur,a t queitauiuant,acsi numeromaritorum ma tri moniif ederef ulcirentur,sitqueomnibusequaconditiocapess endi,quod[ i 1Kb] qui squemere atur.	--|---|-----|------|----------|--⌫---------|----|-----⌫--⌫--|----⌫------|-⌫-⌫--|--|------|-|-|-----|--------|--⌫---⌫----|-⌫----|-⌫----------|-----|------|---|-------|------⌫----|---|-⌫|---|---⌫---|----⌫----|
Necuero quisquamorbushab eatur :pr oposit a[i 1K b]hui cnomi n idamnanonnoceant .	--|---|-------|----|---⌫-----⌫|--⌫------⌫|-|--⌫-|---⌫|----⌫-⌫|----|--|-------⌫|
Quam remetcircafeminasestimamus [k1Kb ] ,ear umque cer uicibus imposita[l 1Kb ]iuris imperia ,uelutq uedamiugasoluim usprom iscueom ni bus.	---|--|-|----|------|--------|-|---⌫||---⌫----|---⌫------|-------|-|---⌫|----|-------⌫|----|-⌫----|---|------⌫-|----⌫----|--⌫--⌫---|
[m1Kb] uerumhuiusbeneficii mari tis e tuxoribusinte rseus urpatio non patebit,quorumf allace splerumqu ebl anditieuix e tiamoppositoiuris rigore[ n1Kb] cohibentur, s e dmaneat inter istaspersonaslegumpriscaauc toritas.	-|---|----|----|--------|----⌫--|-⌫|-------|----⌫|-|--⌫------|--|-------|-----|-⌫------⌫|--------⌫|--⌫------|--|-⌫---|-------|----|-----|-⌫|---|----------|-⌫-⌫|-----|----|----|-------|----|-----|---⌫-------|
DEEX AC TI ON IBUS.	-|--⌫--⌫--⌫--⌫----|
Co nstantinus A.	--⌫---------|-|
a d Populum.	-⌫|-------|
Nemo carceremplumbat arumq ueue rb era autpond eraa liaqueabinsolentiaiudicumrepe rtasuppli ciain debit orumsolutionibus uel aperuer sis ue la biratisiudicibusexpauescat.	---|-------|-------⌫-----⌫-|--⌫--⌫--|--|----⌫--|-⌫-----|-|---------|------|----⌫--|------⌫--|-|-----⌫---|-----------|--||------⌫--|--⌫|-⌫|-----|--------|----------|
Carce rpe nalium,carcer hominumnox iorumes t,o f ficialium et,cu m denotatione,eorumiudicum q uor umdeofficiocerciti citatioresess e debebunt[q 3Kb], quicontrahanc l ege m admi serint.	-----⌫|--⌫------|-----|------|---⌫----|--⌫-|-⌫-⌫--------|--|--⌫|-----------|----|------|-⌫---⌫-|-|------|------|---------|---⌫|-------|-|---||--|-----|---|-⌫---⌫|----⌫------|
Securii uxtaeam a 1Kb] transeants olut ores: uel certe, si quistamalienus abhumanosensue st, u thacindulgenti a adcont umaciamab utatur,contineatura pertaetlibera etinusu shominumconstituta[b1Kb]custo diamilit ari [c1 Kb] .	-----|-⌫---|--||---|--------|-⌫----⌫----|--|-----|-|---|--|------|-|-----|----|-⌫--|-⌫|--|----------⌫|-|----⌫------|--⌫------|----------|-⌫----|-|-----|-|-|---⌫|------|---------|-|---|-----⌫--|-----⌫--|-|-⌫--||
Siinobdur ataneq u it iapermaneb it, adreseiusomnemquesubstantiam ciue seius [d 1Kb] accedant, solutionisobsequio c umsubs tantiepropri etatesuscepto [e1Kb ].	-|-|-----⌫--|---⌫-⌫--⌫-|--------⌫--|-|--|---|-------|----------|----⌫|---|-|---|--------|---------|-------|-⌫-|----⌫-----|------⌫----|-------|-|---⌫||
Quafacultateprebita [f1 Kb], omnesforecre di musproniores adsoluenda ea,que[ g 1Kb]adnos triusus[h1Kb ]exe rci tus pro c ommun isalute po scuntur.	--|--------|------|-|-⌫--||----|---|---⌫--⌫--|--------|-|-------|--|--|-⌫|---|-|---⌫--|---|-|---⌫|---⌫---⌫--|--|-⌫-----⌫|-----|--⌫-------|
DEOP ERIBUSPUBL IC IS.	-|--⌫-----|----⌫--⌫--|
Co ns ta ntinus[i1K b]A.	--⌫--⌫--⌫-----|-|--⌫-|-|
ad Flauianum [ k1Kb] proco n sulemAfr ice.	-|--------|-⌫|---|-----⌫-⌫----|---⌫---|
Nemo pr op riis orna mentis ess epriua ndas exist i metc iuitates, fassiquidemnonest,acceptumaueterib us decusp er der eciui tatem,uelu ti adu rbis alte riusmeni atransf e rendu m .	---|--⌫--⌫---|----⌫-----|---⌫|-----⌫---|-----⌫-⌫--|-⌫--------|--|-|-----|--|---|-------||-------⌫-|----|-⌫--⌫---⌫|----⌫-----|----⌫-|-|-⌫---|----⌫---|----⌫|------⌫-⌫-----⌫-⌫|
DEDECURIONIBUS.	-|------------|
C onsta ntinusA.	-⌫-----⌫-----|-|
ad Edic tum.	-|----⌫---|
Fili osdecurionum, quidecem eto ctoannorumet ateuegetantur,perp rouinciamCarth aginem mun eribusciuicisaggre gariprecipimus .	----⌫-|----------|--|----|-|-⌫--|------|--⌫--|----------|--|-⌫--------|-----⌫-----|---⌫-----|------|-----⌫---|----------⌫|
Nequeenim[b1Kb]operiendumest,utsoluanturfamilia, etsa cri s explicent u r[c 1Kb] , c umuoluntate spatr umpreiudic arenon debea ntutilitatibus ci uitatum .	----|---|-|---|---------|---|-|--------|-------|-|--⌫---⌫|---------⌫-⌫|-|---||-⌫-|---------⌫|----⌫-|--------⌫--|--|-----⌫-|-----------|--⌫-------⌫|
DEFAMOSISLIBELLIS.	-|------|--------|
Constantinus.	------------|
adAe lianum[f 1Kb]Pro c onsulemAfrice.	-|--⌫-----|-|---|---⌫-⌫------|------|
Licetserue nturino fficiotuoetuicarii[g1 Kb]exempl arialibellor um, qu iin Afri caoblatisunt, tameneos,quoru m nomin a continen t, metu absolutossecuritate perfruisina s,solu mquemoneas,ut a b omni nonso lumcrimi ne,sed e tiamsuspicion e u erisim ilialieniesse festinent.	----|-----⌫---|-|-⌫-----|--|-|------|-|-⌫--|------⌫---|--------⌫--|--⌫|-|----⌫-|-----|----|----|---|-----⌫|-----⌫|--------⌫-|---|--------|---------|------|----⌫-|----⌫---|------|-|-⌫|---|--|--⌫--|-----⌫--|--|-⌫---|---------⌫|-⌫------⌫--|-----|---|---------|
Namqui[h2Kb]accu sandifi duci am geri t,oportetcomp robare,necoccu ltare, qu e scier i t, q uoniam predi cabili s eritaddicationempublic a m [i1Kb] meri to peruentu rus.	--|--|-|---|----⌫----|--⌫----⌫-|----⌫-|------|----⌫------|--|----⌫-----|--⌫|-----⌫-⌫-|-⌫-----|-----⌫------⌫|---|-|---------|------⌫-⌫|-|---|----⌫-|--------⌫---|
DE uETERAN IS.	-|-------⌫--|
Constan ti nus.	-------⌫--⌫---|
[a 1Kb ]Cum in troisset[b1K b] principia, et sal utatus esset,aprefe ctisettribunisetuiriseminentissimisacclamatume st [c1Kb] ,Auguste Constantine,Di iteno b isse ruent[d1Kb ] ,uestr asalus nostrasalus.	-|---⌫|--|--⌫-------|-|--⌫-|---------|-|---⌫-----|-----||-----⌫---|-|-------|-|----|-------------|---------|-⌫-|-|---||------|-----------|--⌫|-|--⌫-⌫-|--⌫----|-|---⌫||-----⌫|----|-----|-----|
uered icimus,iuratidicim us;	---|-⌫------|-----|-----⌫--|
Adunatiueterani excl amauerunt:ConstantineAuguste, q uo nosueter ano s factos,sinullamindulgentiamh a bemus.	------|-------|----⌫---------|----------|-------|-⌫-|--|-----⌫---⌫|------|-|-----|-----------|-⌫-⌫-----|
Constantinus A.	-----------|-|
dixit:Magismagisquec onuete rani s meisbeat itudinem augeredebeoquam minuere;	-----|----|-------|-⌫------⌫----⌫|---|----⌫-------|-----|----|---|-------|
uict orinusuetera nus di xit:Muneribus e t oneribusuni uersis loc i sco nue nirinonsinamur .	----⌫-----|------⌫--|--⌫---|--------|-⌫|-------|---⌫-----|---⌫-⌫|--⌫---⌫---|--|-------⌫|
ConstantinusA.	-----------|-|
dixit: Ap ertiusindica.	-----|--⌫-----|------|
quesunt maxime[e1Kb] muner a, queuos contumacit ergraua nt .	--|---|-----|-|---|-----⌫-|--|--|----------⌫-|-----⌫--⌫|
U niuersiueterani dixerunt: Ipseperspic issci licet[f1Kb] .	-⌫------|-------|--------|---|-------⌫-|---⌫----|-|---||
Consta ntinusA.	------⌫-----|-|
dixit: Iam nuncm unificentia[g1Kb]meaomnibu suet eranis id es seconcessum perspicuumsitne quis eorumullo [h1Kb] munerec iuili, neque in operibu spublicisconu e niatur,n equeinulla [i1Kb]collatione,neq ueamagistratibus,neque u ectigalibus [i 1Kb].	-----|--|---|-⌫----------|-|---|--|------⌫|---⌫-----|-|--⌫-|--------|---------|--|-|---|----|---|-|---|-----|-⌫-----|----|-|-------⌫|-------|----⌫-⌫------|-⌫---|-|---|-|---|----------|---⌫-||-------------|----|-⌫----------|-|---||
DEPRAETORIBUS[b 1Kb]ET QUAESTORIB US.	-|----------|-|---|-|----------⌫--|
Consta nti nus A.	------⌫---⌫--|-|
Aeli an o Pf.	----⌫--⌫|--|
[c 1Kb ]Religiosis uocibussenatusamplissimip ersuasidecernimus[d1Kb], ut quest or eseaprero ga tiuaut ant ur,qua c onsules etpretores,itaut, si quis intraann umsextum decimum nominatu sfueritabs ens,cumeditiomu neri scelebr atur,con demnationis frume ntar ienexibusmin im eteneatur,quoniam memorate etatiplacet h oc p riuilegiumsuffra gari.	-|---⌫|---------|------|------|---------|-⌫------|---------|-|---||-|-----⌫--⌫-|-|-----⌫--⌫---|--⌫---⌫--|--|-⌫------|-|--------|--|--|-|---|----|---⌫-|-----|------|--------⌫|-----|---⌫---|--|-----|--⌫----⌫|------⌫----|---⌫----------|-----⌫----⌫-|------|---⌫--⌫|--------|------|-------|----|-----|-⌫-|-⌫---------|------⌫----|
DE[g1 Kb ]R A PTU[h1Kb] uIRGINUMuELu ID UARUM.	-|-|-⌫--⌫|-⌫-⌫--|-|---|-------|--|-⌫--⌫-----|
ConstantinusA.	-----------|-|
a dPopulum.	-⌫|-------|
Si quisnich i lc u m parentibus[ i 1K b] puelleantede pectus [i1Kb]inu itameam rapuerit,ueluo lentem [k1 Kb]abdu xerit[l1Kb],patrocin iumexeius responsione sperans,qua mpropt er uitiu mleuitatisetsexus[m 1Kb] mobili tatem atque consili iap ost ulationibus[ n1Kb]ettesti moniis[o 1Kb]omnibu squ e[p 1Kb]rebusiudiciariisan tiquipen itusarcuerunt [a 1Kb],ni chilei[b 1Kb]s ecundum iusuetusprosit pue llerespons io,se di psapuella[c1Kb]potiu ssocietatecr imi nisoblige tu r[ d1Kb].	-|---|----⌫-⌫|-⌫-⌫|---------|-⌫|--⌫-|-----|---|--⌫-----|-|---|---⌫---|--|--------|--|--⌫-----|-|-⌫--|----⌫----|-|---||--------⌫--|-|---|----------|-------|---⌫|-----⌫-|-----⌫|--------|-|----|-|---|------⌫----|----|-------⌫||-⌫---⌫----------|-⌫|---|-|-----⌫-----|-|---|------⌫---⌫|-|---|----|----------|--⌫----|---⌫---|--------|-|---||--⌫---|-|-|---|-⌫------|--|----|-----|---⌫--|-------⌫--|--⌫|-⌫--|-----|-|---|-----⌫|--------|--⌫---⌫--|------⌫--⌫|-⌫|---||
Etquoniam parentum s epecustodie[e1K b] nutricumfabuli s et praui s suasionibusdel udun tur[f1 Kb], hisprimu m,q uarumdete stabile[g1Kb]mi nisteriumfu issearguitu r [h1Kb]redemptionedi sc ursus, pena immineat,uteismeatusor is e tfaucium,qui nefaria [i1Kb]hortamentaprotulerit[i1Kb], liquentis plumbiin gestioneclaudat ur[k1Kb] .	-|------|-------|-⌫--|-------|-|--⌫-|-------|------⌫|-|-----⌫|----------|---⌫----⌫--|-|-⌫--||--|-----⌫-|-⌫----|----⌫------|-|---|--⌫--------|--⌫---|-------⌫|-|---|----------|--⌫--⌫-----|---|--------|-|--|-----|--⌫-|-⌫|-------|--|------|-|---|---------|---------|-|---||--------|-----|--⌫-------|-------⌫-|-|---||
Et siuoluntatis[l1Kb]as sensiod eteg iturinuirgin e,eadem,qu a raptor,seueritate ple ctatur [m1Kb]c umnequehisimpunitasn1Kb ]prestandasit, q uerapiunturinuit e,cumetdomiseusqu ea d c on iu nctionisdiem[o1K b]seruar epo tuerintet,sifores[p1Kb] raptoris fra ngerenturaudacia, uicinorum opemclamoribusque rere, seque om nibu s tuericonatib us[q1Kb] .	-|-|---------|-|---|--⌫-----|-⌫----⌫---|-|------⌫-|-----|--⌫|------|---------|---⌫-----|-|---|-⌫-|----|--|--------||---⌫|--------|---|-⌫-|--------|-----⌫-|--|-|---|-|----⌫|-⌫|-⌫--⌫--⌫-------|---|-|--⌫-|------⌫|--⌫------|--|-|----|-|---|-------|---⌫--------|-------|--------|---|---------|---⌫----|----|--⌫----⌫|----|-------⌫-|-|---||
S edhispenam leuiorem imponimu s,sol amqueeisparentumne g ari[r 1Kb]successionemprecipimus,§3.	-⌫-|--|----|-------|--------⌫-|---⌫----|--|-------|--⌫-⌫--|-|---|-----------|----------||-|
Raptor autem indu bi tate[s1Kb] conuictus siappellare uolue rit, mi nime audiatur.	-----|----|----⌫--⌫---|-|---|--------|-|--------|-----⌫---|--⌫---|--------|
INTER PRETATIO.	-----⌫--------|
Si c um paren tibus puellenichil quisqu amante [m 1Kb]defi niat , uteamsuodebeatc oniugio[n1Kb]sociare,et eam uel[o1Kb] inuitamrapueri t,ueluolentem [p1Kb],sirap tori puel laco nsentiat,pariterpu niantur.	-|-⌫-|-----⌫----|-----|-----|------⌫-|---|-|---|----⌫----⌫|-|--|--|-----|-⌫------|-|---|-------|-|--|--|-|---|------|-------⌫-|--|-------|-|---||-|---⌫---|----⌫-|--⌫--------|------|--⌫-------|
Siquisueroe x amicis[q1Kb] aut familiaautfortassenu trices pu ell econsiliumraptusdederint, auto ppo rtunitatem prebuerintra piendi,[r1Kb]lique factumplumbumi noreetinfaucibu s[s1K b]suscipiant, utmeri to il la par sco rpo ris conclu da tur, dequahort amentascelerism inistrata[ t 1Kb] noscuntur.	-|---|---|-⌫|-----|-|---|--|------|--|-------|--⌫-----|--⌫---⌫|--------|-----|--------|--|-⌫---⌫---------|---------|--⌫------|-|---|-----⌫-----|------|-⌫|--|-|-|-------⌫|-|--⌫-|----------|-|----⌫-|--⌫-|---⌫|--⌫---⌫--|------⌫--⌫---|-|--|----⌫-----|-------|-⌫--------|-⌫|---|---------|
Illeuero ,querapiuntur i nuite, quenon uocibus suis d eraptoreclamauerint,utui cinorum u elparentumso latioadiutel iberar i pos sent,pa rentum suorumeissuc cessio denegetur.	---|----⌫|--|--------|-⌫-----|--|--|------|---|-⌫|------|-----------|-|--⌫------|-⌫-|-------|--⌫----|-----|-⌫------⌫|---⌫----|--⌫-----|-----|--|---⌫-----|---------|
SIQUISE AMCUIUSTUT ORFUER IT[h1 Kb]CORRUPERIT.	-|---|-⌫-|----|---⌫-|----⌫-|-|-⌫--|----------|
Consta ntinus A.	------⌫-----|-|
ad Bassum.	-|------|
[i 1Kb] uicariumIta lie;	-|---|-------|---⌫---|
Postalia: [i1K b]Ubipu ellaadannosadulteetat is acce sserit, et [ k1Kb]adspirareadnuptias ceperit[l 1K b],tut or esnecesse h ab eantco mproba re, quodpuellesit intemer atauirgi nitas, cuiuscuniunctio p o stulatur.	---|----|-|--⌫-|--|--⌫---|-|----|-----|----⌫-|----⌫------|-|-⌫|---|--------|-|------|------|-|--⌫-||---⌫--⌫-|------|-⌫--⌫---|--⌫------⌫--|---|-----|--|-------⌫--|-----⌫-----|----|---------|-⌫-⌫--------|
Qu odn e [m1Kb]l atius po rrigatur,h icsolusdebettutorem[n1Kb] nexusa dstringere, utse[o1Kb] i ps umprobetabiniuri alesipudorisimmunem.	--⌫-|-⌫|-|---|-⌫----|--⌫--------|-⌫-|----|----|------|-|---|----|-⌫----------|-|-|-|---|-⌫--⌫-|-----|-|------⌫|---|------|-------|
Quodubic ons ti ter it,omni metuli ber [ p1Kb]optata coniunctione fruidebebit.	---|--|-⌫---⌫--⌫---⌫--|---|---|--⌫--|-⌫|---|-----|-----------|---|-------|
