PATROLOGIAE TO MUSCXXuIII.	----------|--⌫--|-------|
Huiustemporibusinuen ti sunt [c1Kb]Manicheii nurbeRoma,quosexsilio deporta ri p re cepit.	----|---------|-----⌫-|---|-|---|-------|-⌫|---|----|---|------|-------⌫-|-⌫--⌫-----|
Quorumcodices ante for e s basilice sancte M ar ie incendioconc remauit.	-----|------|---|---⌫-⌫|-------|-----|-⌫--⌫-|-------|----⌫-------|
[d1Kb] Hicsub gestam sy nodicamre uocauit Mese nu mepiscopumad communionem,etre stituit eumEcclesie suesubs at isfacti one libelli,etpu rgat usestr eceptus.	-|---|--|--|-----|--⌫------|--⌫------|----⌫--⌫|--------|-|-----------|-|--⌫------|--|-------|--|--|-⌫--⌫-------⌫--|-------|-|--⌫----⌫-|--|-⌫-------|
H ic fuitamator cleri, e t pauperum ,etc lerumampl iauit.	-⌫-|---|-----|-----|-⌫|--------⌫|-|-⌫----|----⌫-----|
Hicliberauit ape riculoet fameciui tatemRomanam;	--|--------||--⌫-----|-|---|----⌫----|-------|
Hi cfeci tconstitutumdeomniEcclesia.	--⌫|----⌫|----------|-|---|--------|
[ a 1Kb]Huius temporibusiterumuenitrelatiodeGr ecia ,eoquodmultama la et homi cidiaf ie rentaP etro e tAca cio .	-⌫|---|----|---------|-----|----|------|-|--⌫----⌫|-|---|----|--⌫-|-|----⌫----|-⌫--⌫---||-⌫---|-⌫|---⌫---⌫|
ANASTASIUS.	----------|
[1Kb][Bencinus:13Kb ][B in ius,Seuerinus;	----|---------|----⌫|--⌫--⌫---|---------|
Anast asius,natione Romanus,expatrePe tr o,dereg ioneQuintaTaumacaputTauri,sedit annumunum,mensesun de cim,di es uigintiq uatuor [a 1 Kb].	-----⌫-----|------|-------|-|----|--⌫--⌫-|-|---⌫---|-----|----|----|-----|----|----|----|-----|--⌫--⌫---|--⌫-|------|-⌫-----|-|-⌫--||
Hic f uit tem poribus Theodori ciregis.	--|-⌫--|---⌫------|--------⌫-|-----|
Hicfecit confessionembeatiLaurenti imar tyr i sexargento, quepensabatl ibrascentu m [b1K b] .	--|----|-----------|----|--------⌫|---⌫---⌫-⌫|-|-------|--|-------|-⌫----|-----⌫|-|--⌫-||
SANCT USSYMMACHUS.	-----⌫-|---------|
ANNOCHRISTI49 8,ANAST ASIII M P.	---|------|--⌫-|-----⌫---|-⌫-⌫-|
[9Kb][ 3Kb] [Binius,Seuerinus;	----|-⌫---|-------|---------|
76Sy mmachus,nationeRo manus[a1Kb]expa tre Fortu nato, sedit annos15, [ b1K b]me nseso cto, die s26.	-|--⌫-------|------|--⌫----|-|---|-|--⌫--|-----⌫----|----|----|--|-⌫|--⌫-|--⌫---|-⌫---|---⌫|--|
Hic fuit temporibus The odoriciregis.	--|---|---------|---⌫------|-----|
etAnastasiiAugustiad ieX kalendar um D ecembriarumusqu e ind iemXIukalendarumAug ust arum.	-|--------|------||-⌫-||--------⌫-|-⌫----------|----⌫|-|-⌫--|--|---------|---⌫---⌫----|
Hicsubc on tentioneordinat usestunodiecumL aurentio:Symm ac hu sin basilicaCo nstantiniana,Laurentiusue ro in b asilicabeateMa rie.	--|--|-⌫--⌫-------|-------⌫-|--|--|--|--|-⌫--------|----⌫--⌫--⌫|-|-------|--⌫------------|---------|--⌫-|-|-⌫------|----|--⌫---|
Ex quacausa separatusestclerus[c1Kb],et diuisusest sena tus.	-|--|----|--------|--|-----|-|---||-|------|--|----⌫---|
77EodemtemporepapaSymmachus[g1Kb]congreg auit s ynodum,et constituit Lau rentium in[h1Kb]Nuceriamciui tate m episcopum,intuitu miserico rdie.	-|----|------|---|--------|-|---|-------⌫---|-⌫------|-|---------|---⌫------|-|-|---|-------|----⌫----⌫|---------|------|--------⌫----|
Post annosue ro 4zeloduc ti al i qui ex clero, etaliiexs e natu, maximeFestuset Probinus ,incriminarunt Symmachum,et subornaueru nt t e stesfalsos, quosmiseruntRauennamadr egemTheodoricum,accusantesbeatum Sy mma chum,etoccultereuocaue runtLaurentium,post libe l lumRomefactu m, e tfecer u ntschisma,etd iuisusest it erum cler us.	---|----|--⌫-||---|---⌫-|--⌫-⌫--|-|-----|-|---|-|-⌫-⌫----|-----|-----|-|--------⌫|------------|---------|-|-----------⌫-|-⌫-⌫---|------|---|-------|-------|-|-⌫---|-----------|---------|-----|--⌫---⌫----|-|------|--------⌫---|----------|---|----⌫-⌫--|---|-----⌫-|-⌫|-----⌫-⌫-|-------|-|-⌫-----|--|--⌫---|----⌫--|
E taliicommunicabantS ymmacho , aliiLa urenti o.	-⌫|---|------------|-⌫-------⌫|---|--⌫------⌫-|
Tun c Festus etProbinusse n atore smiseruntrelatione mregi, etceper untagere, utuisitatoremdaretrexsedisapostoli ce.	---⌫|-----|-|-------|--⌫-⌫-----⌫|-------|---------⌫|----|-|-----⌫--|-----|-|----------|----|--|----|--------⌫--|
78Eodemtempore Festuscaputse natu sexconsul, et Probinusexconsul,ceperuntintraurb emRom ampugnarecumaliis senatoribus,etmaxim ecum Fa ustoexconsule ,etcedes ,ethomicidiain cler oexinuidia fiebant.	-|----|------|-----|----|--⌫----⌫|--------|-|-------|--------|-------|----|---⌫-|---⌫-|------|--|----|-----------|-|-----⌫|--|--⌫---|---------⌫|-|-----⌫|-|--------|-|----⌫|-|------|-------|
Qui uerocommunicabant beatoSymmacho i uste,pu blicequiinuentifuissentintraUrbem g ladio oc cidebantur.	--|---|------------|----|-------|-⌫----|--⌫----|--|------|-------|----|----|-⌫----|--⌫----------|
Etiamet sanctimonialesmu lieres, et uirgines deponentes de monasteriis ,uelde habitacu lissuis, d enudan tes sexum femineu m c e dibusplagarumafflict asuulnerabant, et omnidiepugnascontraEcclesiaminmediociuitatis gerebant.	----|-|-------------|--⌫------|-|-------|---------|-|-----------⌫|--|-|--------⌫--|----|-⌫------⌫--|----|-------⌫|-⌫-⌫----|-------|-------⌫-|-----------|-|---|--|-----|-----|--------|-|----|--------|--------|
Etiam multossacerdotes occider unt,inter quosDigni ss imumetGo rdianumpresbyte rosaduinc ula[n1Kb ]s an ctiPet ri a postoli,et adsanctos Ioannem et Pau lum,quo sfustibus,e tgladio interf ec eru nt [o1Kb] , et multosal iosC hr istianos,itautnulliessetsecuritas,die uelnocte,dec leroinciu ita te ambulare.	----|-----|---------|-------⌫---|----|---|-----⌫--⌫---|-|--⌫------|--------⌫--|-|----⌫--|-|---⌫|-⌫--⌫--|---⌫-|-⌫-------|-|-|------|------|-|---⌫---|---⌫|--------|-⌫|-----|------⌫--⌫---⌫-|-|---||-|-----|--⌫--|-⌫--⌫--------|--|-|----|----|---------|--|--|-----|-|-⌫---|-|---⌫---⌫-|--------|
79 Hicfe citb asi licamsanctiAndree apostol iapud beatumPet r umapo s tolum,ubifecit tig uriu m [q1Kb]ex arge nto etco nfess ionem,pensan.	-|--|--⌫--|-⌫---⌫----|-----|-----|-------⌫|---|-----|---⌫-⌫-|---⌫-⌫-----|--|----|---⌫----⌫|-|---|-|----⌫--|-|--⌫-----⌫-----|------|
lib ras centumetuigenti.	---⌫--|-----|-|-------|
arcus argenteost res,pensan.	----|--------|-⌫---|------|
sexaginta;	---------|
oratoriumsanctiThomeapostoliexar g ento,pens.	--------|-----|----|-------|-|--⌫-⌫----|----|
incon fessio n e[a1Kb]libr;	-|---⌫-----|-⌫|-|---|----|
arcumargente um,pen sán.	----|-------⌫--|---⌫---|
p en sanlibr.	-⌫--⌫--|----|
confe ssionem sanctiCassiani, etsanctorumProthi, et Hy acinthiex argento,pensa n.	-----⌫------|-----|--------|-|--------|------|-|--⌫------|-|-------|-----⌫-|
libr a suiginti.	----⌫-⌫|-------|
ar cumar g enteu m,pens.	--⌫--|--⌫-⌫-----⌫-|----|
orator iums anctiApollinaris exargento,etconfessionem cuma rcuexargen to,pens.	------⌫--|-⌫----|----------|-|-------|-|-----------|--|-⌫--|-|-----⌫--|----|
Oratoriumsanc ti [ b1Kb]Sosiiexargentoinconfessione, pens;	--------|----⌫-|-⌫|---|----|-|------|-|-----------|----|
8 0I ntra ciuitatem RomanambasilicamsanctorumSiluest rietMartiniafund amentoconstrux itiuxta Ther masTraianas, ubie tsuperalta r e[f1 Kb] tiguriumarg e nteum fecit,pen san.	-⌫|-⌫---|--------|------|--------|--------|-------⌫-|-|------||----⌫-----|--------⌫-|----|----⌫--|--------|--|-⌫|----|----⌫-⌫|-|-⌫--|-------|---⌫-⌫----|-----|---⌫---|
120, arcusar g ent os12quipensabant singul il ibr.	---|----|--⌫-⌫---⌫-|-|--|--------|------⌫|-⌫---|
confessionemargenteam, quepensan;	-----------|---------|--|------|
Ad beatumIoannem et Pau l umfecitgra duspost absida m.	-|-----|------|-|---⌫-⌫-|----|---⌫--|---|------⌫-|
itemad archan gelumMich elemba s ili ca ma mpli a uit,etgradusfeci t ,etin tr oduxitaquam.	---|-|------⌫----|----⌫---|--⌫-⌫---⌫--⌫|-⌫----⌫-⌫---|-|-----|----⌫-⌫|-|--⌫--⌫-----|-----|
item adsanctamMariam;	---|-|------|------|
81Hicconstituitut omn idie D omini co,uelnatal itiismartyrumhymnusdicereturangel icus,id estGlo ria in excelsis Deo.	-|--|---------|-|---⌫|--|-⌫-----⌫--|--|-----⌫----|-------|-----|--------|-----⌫----|-|--|---⌫--|-|-------|---|
Hicfecitcemeterium Iordanor uminmelius propter co rpussanctiAlexan dri;	--|----|---------|--------⌫-|-|-----|------|--⌫---|-----|------⌫---|
hicomnianno perAfricam, uel Sa rdiniam ade pis copos, quiinexsilioerantretrusi,pec uniametuestesministra bat.	--|---|---|--|-------|--|--⌫------|-|-⌫---⌫-----|--|-|------|----|-------|---⌫----|-|-----|--------⌫---|
SAN CTUSHORMISDA.	---⌫---|--------|
[8 Kb ] [Bencinu s:79Kb][Binius ,Seue rinus;	--⌫--⌫|--------⌫-|----|-------⌫|----⌫-----|
82Hormi sd a,nationeCampanus ,expatreIusto deci uitateFrisilone [ a1K b],seditannos8,dies17 [b 1Kb] .	-|-----⌫--⌫-|------|--------⌫|-|----|----|-|--⌫-----|--------|-⌫|--⌫-||----|----|-|---|-|-|---||
Fuit autemtemporibu sregisTheodori c ietAnastasii Augusti, ac onsulatu Se natoris usque a dconsulat umSym machi e tBetii ;	---|----|---------⌫|----|--------⌫-⌫|-|--------|-------||-⌫-------|--⌫------|----|-⌫|--------⌫-|---⌫----|-⌫|-----⌫|
Hicc ompo su it cler um, etps almos [c 1K b]erudi uit.	--|-⌫----⌫--⌫-|----⌫--|-|--⌫----|-|--⌫-|-----⌫---|
hic fecitbasil ica m int erritorioAlbanensein p osse ss ionemFontis [d1Kb ].	--|----|-----⌫---⌫|-|-⌫--------|--------|-|-⌫----⌫--⌫----|-----|-|---⌫||
83 uoluititaquee osdemleg atos perr emun er ati onem cor rump ere.	-|-----|-----|-⌫----|---⌫---|--|-⌫----⌫--⌫---⌫---|---⌫----⌫---|
[i1Kb] Legatiuerosedisa pos tolice,contempt o AnastasioAugust o,nullate nu sconsenser untacciperepecunias,nisi satisfaction em sedi sapostoliceoperaretur .	-|---|-----|---|----|-⌫---⌫------|--------⌫|--------|------⌫-|-------⌫--⌫|---------⌫--|-------|--------|---|------------⌫-|----⌫|---------|----------⌫|
Tunci mperator repletusfuriaeieciteosper posterulam [i 1Kb ], etim posui t eosin nauim peri culosam[k1Kb ]cummilitibus, etmagistriani s,etprefectianis[l1K b],n omine [m1Kb ]Hel iodorumet Demetri um.	---|-⌫-------|-------|----|-----|--|--|---------|-|---⌫||-|--⌫-----⌫|--|-|----|----⌫------|-|---⌫|--|---------|-|-----------⌫-|-|-----------|-|--⌫-||-⌫----|-|---⌫|---⌫------|-|-------⌫--|
Qui[n1Kb]hocde diteisinmand atisimpe rat orAna stasius, utn ullamciuitatem ingr ederent ur.	--|-|---|--|--⌫--|--|-|----⌫---|----⌫---⌫-|---⌫-------|-|-⌫----|--------|----⌫-------⌫--|
84Tun c Ho r misdaepiscopus c umconsiliore gisTheodorici[r1Kb]d ir exita sed eapost olicaGerm anumCapuanum episcopum, etIoanne m, et Bl and umpresby teros , etF elicem,etDio scor u m diaconossedis apostolice,et PetrumNotarium.	-|---⌫|--⌫-⌫----|--------|-⌫-|-------|--⌫--|---------|-|---|-⌫--⌫---||---⌫|-----⌫----|----⌫---|-------|---------|-|------⌫-|-|--⌫---⌫-|------⌫-----⌫|-|-⌫------|-|---⌫----⌫-⌫|-------|----|----------|-|-----|--------|
Quosm onitosexom n iparte fide i,ettext umlibellipenitentie[ s1Kb],qui uenientes[ t1Kb] iuxtaConstant in opo lim,t antagratiafidei refulsit[u1Kb] utmultitudo mo nachorumorthodo xorum, etillust ri um ui rorummaxi mamultitudoocc urreret.	---|-⌫-----|-|--⌫-⌫|----|----⌫-|-|----⌫-|------|---------|-⌫|---||--|--------|-⌫|---|----|--------⌫--⌫---⌫---|-⌫---|-----|----|-------|-|---|-|--------|--⌫-------|-------⌫-----|-|------⌫--⌫-|--⌫----|----⌫-|--------|---⌫-------|
InquibusetIustinus imperator,e tui talianusconsul simuloccur reru ntaCastelloRo tundo [u1Kb],quidicitur [x1Kb]usqueinciuit atemConsantin opoli m, cumglor iaetlau dibus .	-|-----|-|-------|---------|-⌫|--⌫-------|-----|----|-----⌫----⌫-||-------|--⌫----|-|---||--|------|-|---|----|-|-----⌫---|---|-----⌫-----⌫-|--|----⌫-|-|---⌫-----⌫|
Qui ingressiunacu mGrato illustri,suscept i suntaIust inoAugustoorthod oxocumgloria.	--|-------|--|--⌫|----|--------|-------⌫|---||----⌫--|------|------⌫--|--|------|
Omni s ita queclerus unacumep iscopoIo anneConsta ntin opolitano, gauisus est,s entientes eoquodg rat anter[a 1Kb ]suscepti su nt:e tiams e ntientesetiiquieran tcomplice s A cacii,in cluseruntseinEcclesiamaiori,que u ocaturSanctaSophia.	----⌫|---⌫--|-----|--|--|--⌫-----|--⌫---|------⌫----⌫---------|------|---|-⌫--------|-|---|-⌫---⌫----|-|---⌫|-------|--⌫--|-⌫---|-⌫-⌫-------|-|-|--|----⌫|--------⌫|-⌫-----|--⌫--------|-|-|-------|------|--|-⌫-----|-----|------|
85Eodemt empor euenitregnum cum[c1Kb] gemmisp retiosisar eg eFrancorumClodoueoChr istianodonumbeat o Pe troapostolo:sub huiuse p iscopatu m ultauasaaurea,u el argenteaueneruntdeGrecia,etEu angeliacum Tab ulis aureis,cumgem mispretiosis,quepens an.	-|----|-⌫-----⌫|----|-----|--|-|---|-----|-⌫-------||-⌫--⌫|--------|-------|---⌫------|----|----⌫|--⌫--|--------|--|----|-⌫-⌫-------|-⌫---|---|-----|-⌫-|-------|-------|-|------|-|--⌫------|--|---⌫---|------|--|---⌫--|---------|--|----⌫--|
p atenamauream c umhiacynthis,quepensan.	-⌫-----|-----|-⌫-|----------|--|------|
scyphumaureum cum g em m is ,pensan.	------|-----|--|-⌫--⌫-⌫--⌫|------|
s cyphuma ureumcircumdatumreg no[d1Kb]pensan .	-⌫-----|-⌫----|----------|---⌫-|-|---|------⌫|
oct o ,scyphosargenteostresde auratos, pe nsan.	---⌫-⌫|------|--------|---|--⌫-------|--⌫----|
86 Eodemt emporeTheodoricusrexob tu lit b eatoPetroapostolocerostata[g 1Kb]argenteaduo,p en san.	-|----|-⌫-----|----------|--|--⌫--⌫--|-⌫---|----|-------|--------|-|---|-------|---|-⌫--⌫---|
librasseptuaginta.	-----|-----------|
E od em temporefuit[h1K b] papaHormisd aapudbeatum Petrumapostolumt rabem , quamex argentoco operu it, q uepensan.	-⌫--⌫-|------|---|-|--⌫-|---|-------⌫|---|-----|-----|--------|-⌫-----⌫|---|-|------|--⌫-----⌫--|-⌫-|------|
libras mill e, e tqua dragint a;	-----|----⌫-|-⌫|---⌫-------⌫-|
Hi cfecit inbasilic aConst anti n ianaarcumargen teumantealtare, quipensa ba t.	--⌫|----|-|-------⌫|-----⌫----⌫-⌫---|----|-----⌫---|---|------|--|-----⌫--⌫-|
cant haraar gentease xdecim,p ensan.	----⌫---|--⌫-----|--⌫------|-⌫-----|
libras quindecim .	-----|---------⌫|
Itemadbe atu mPaulumfecit arcu sargenteosduos,pens an.	---|-|--⌫---⌫|-----|----|----⌫|--------|----|----⌫--|
singulilibr as uigi nti.	------|----⌫-|----⌫---|
canth araarg en tea15,pen san.	-----⌫--|---⌫--⌫--|--|---⌫---|
SANCTUSIOANNES.	------|-------|
[8Kb][Sche l s tratius, E mmanuel:1Kb][Bencinus:12K b] [Binius, Seuerinus;	----|-----⌫-⌫-⌫-------|-⌫-------|---|---------|---⌫-|-------|---------|
87Ioannes,natione Tu scus,expatre Constantio ,se d itannosduos, mens e socto,dies22[a1Kb], aconsulatu Maximiusqu e adcon sulatumOlybrii,tempori busTheodoric iregisetIu stiniAugu stiChristiani.	-|-------|------|--⌫----|-|----|----------⌫|--⌫-⌫-|----|----|----⌫-⌫|----|---|-|-|---|||--------|-----|----⌫|-|---⌫------|-------|-------⌫--|---------⌫|----|-|--⌫----|----⌫--|----------|
Hicuocatu sestaregeTheodoricoRauenn am.	--|------⌫|--||---|---------|------⌫--|
[b1Kb]Que m ipserexrogansmisit in legationem Constan tinop olimad Iustinumimp eratoremorthodoxum, qui aeo dem temporeIust inusim p eratoruir religiosussummoa rdorisamorerel igioni sChristianeuoluit h ereticosextrica re.	-|---|---⌫|---|--|-----|----|-|---------|-------⌫-----⌫---|-|-------|---⌫-------|----------|---⌫|--⌫--|------|----⌫---|--⌫-⌫-----|--|---------|----|-⌫-----|----|---⌫------⌫|---------|-----|-⌫-------|-------⌫--|
Namsum moferuo reChristianitatis hocconsilioususest, utEcclesi asArianorumcatholicasconsecr aret.	--|---⌫-|-----⌫-|--------------|--|-------|---|---|-|-------⌫-|--------|---------|-------⌫----|
88Tunc Iustinus Augustusdans honorem D eohumiliauitsepronus[a1Kb], etadorau itbeatissimum papamIoan ne m.	-|---|-------|-------|---|------|-⌫-|---------|-|-----|-|---||-|------⌫-|----------|----|----⌫--⌫-|
Eodem temporebeatusIoannes papacumsenato ribussuprascriptiscumgrandifletu rogauer untI ustin u m Aug ustum, ut legatioacceptab ili s e sset inco nspect ueiu s.	----|------|-----|------|---|--|------⌫----|------------|--|-----|----|-------⌫--|-⌫-----⌫-⌫|---⌫-----|-|------|--------⌫---⌫|-⌫---|-|--⌫------⌫|---⌫-|
89Eodem tempore reuertensIoannesuenerabilis p apa,etsenatorescu mgloria,d um omniaob tinuisse nta IustinoAugusto,rex Theodoricushereticus cumg ra ndi doloetodiosuscepiteosdem,pa pamIoann emetsenatores,qu os etiamgladiouoluitinterficere,sed metu e batindigna tione m Ius tin iA ugusti:quostamenin cust odiamomnes af flict os cr uc i auit [c 1Kb], itaut beatissim usIoannesepisc opusprimesedis papain custodia affl ictus deficiensmor eretur.	-|----|------|--------|------|----------|-⌫---|-|--------|--⌫|------|-⌫-|----|--⌫--------⌫-||------|-------|--|----------|--------|--|-⌫--⌫--|---|-|---|-------|------|--⌫--|-----⌫-|-|---------|--⌫-|----|-----|-----|-----------|--|----⌫-⌫--|-------⌫-----⌫|---⌫---⌫|-⌫------|---|----|-|----⌫----|----|--⌫-----⌫-|--⌫--⌫-⌫---|-|---||--|-|---------⌫-|------|-----⌫---|----|----|---|-|-------|----⌫----|--------|---⌫------|
Quidefunctus estR au enne incus to dia Xu[ d1Kb]Kal endasIunia smartyr.	--|--------|--|-⌫--⌫---|-|---⌫--⌫--|-|-⌫|---|---⌫----|-----⌫|------|
Post hocfactumnutuDei omnipoten tis nonagesimo octauodie,postq ua mdefunctusestbeati ssim us Ioannes in custodia, T he odor i cus rexheretic ussubitointeriit,etmo rtuuses t;	---|--|-----|---|--|---------⌫--|---------|-----|---|-----⌫--⌫|--------|--|-----⌫----⌫-|------|-|--------|-⌫--⌫----⌫-⌫--|--|-------⌫-|-----|--------|-|--⌫----|--⌫-|
HicpapaIoannes fecitcemeter ium b ea torummar ty rumNerei, etArchileiui aArdeatina.	--|---|------|----|-------⌫--|-⌫--⌫----|---⌫--⌫--|-----|-|-------|--⌫|---------|
Itemrenouauit cemeteriumFelici setAdaucti.	---|--------|---------|------⌫|-|-------|
itemrenouauitcem ete ri umP riscilleu ia Salaria.	---|--------|---⌫---⌫--⌫-|-⌫-------|-⌫-|-------|
E ode m t emporepositum est ornamentum super confessionem beatiPauli apostolidegemmisprasini sethiacynthin is ;	-⌫---⌫|-⌫-----|------|--|---------|----|-----------|----|----|-------|-|-----|-------⌫|-|----------⌫--⌫|
Itemhuius tempo ri b us Iustinusimperatorobtulit pate namaureamcumgemmis , pens .	---|----|-----⌫--⌫-⌫-|-------|--------|------|----⌫--|-----|--|------⌫|----⌫|
SANCTUSFELIXI u.	------|----|-⌫-|
[3Kb][Biniu s, Se uerinus;	----|------⌫-|--⌫-------|
90Fe lix n ationeSamnius,expatre Castorio, sedit ann osqua tuor, mensesduos,dies14[a 1 K b].	-|--⌫--|-⌫-----|-------|-|----|--------|----|---⌫-|---⌫----|-----|----|---|-|-|-⌫-⌫-||
Fuit aute m temporibus [b 1 K b] Theodoricir e gis,etI ustini[c1Kb]Augusti, a Cons u latuMamortini[d 1Kb]u squead con sulatum Lampa dii,etOrestisadie 4IdusIuliarum usq ueinquarto IdusOctobris.	---|----⌫|---------|-|-⌫-⌫-|---------|-⌫-⌫---|-|-⌫-----|-|---|-------||----⌫-⌫---|--------|-|---|-⌫---|-|---⌫------|-----⌫---|-|------||--||---|-------|---⌫-|-|-----|---|--------|
Hic f e citbasilicamsanct orum Cosme etDamia ni inurbeRoma, in loco qui apel l aturuia Sacra, iuxtatemp lumu rbisRome.	--|-⌫-⌫--|--------|-----⌫---|----|-|-----⌫-|-|---|----|-|---|--|----⌫-⌫---|--|-----|----|----⌫--|-⌫---|----|
Huius te m poribusconsumptaesti n cendiobasilicasanctimartyrisSaturnini,uiaSalaria, quam asolo refecit;	----|--⌫-⌫------|--------|--|-⌫-⌫-----|-------|-----|-------|---------|--|-------|---||---|-------|
Qui etiam ordinatusestc umquie te,etuixitus queadtemporaAthalariciregis .	--|----|--------|--|-⌫-|----⌫--|-|----|--⌫--|-|------|---------|-----⌫|
BONIFA CIUSII.	------⌫---|--|
[3Kb][Bencinu s: 7Kb] [Bini us,Se uerinus;	----|--------⌫-|---|-----⌫--|--⌫-------|
9 1Bonifacius,nationeRomanus ,expatr e Sigilbul do [a1Kb],seditannosduos, uigint is ex[b1Kb] .	-⌫|----------|------|-------⌫|-|----⌫|--------⌫-|-|---||----|----|----|------⌫|-⌫-|-|---||
Fuit autem t emp oribusAthalariciregisheretici,etIustinianiAug usti.	---|----|-⌫---⌫-----|---------|----|--------|-|---------|---⌫----|
Hiccum Dioscoroordinatursubcontentione.	--|--|-------|--------|--|-----------|
Qui Dioscorusordi n aturinba silicaConstantiniana, Bonifacius ueroinbasilicaIulii.	--|--------|----⌫-⌫---|-|--⌫-----|--------------|---------|---|-|-------|-----|
E t fuitd issensio incl e r o,ets enatu dies 2 8[c 1Kb].	-⌫|---|-⌫-------|-|--⌫-⌫-⌫-|-|-⌫----|---|-⌫|-|---||
92H icpresbyte ris,et d iacon i bus,et subdia conibus , atqueno tariis scute llam[g 1Kb] d e adeptishe r editati buso btulit,et alimoniismultis in periculofa misclerosubuenit.	-|-⌫-|--------⌫---|-|-⌫-----⌫-⌫---|-|------⌫-------⌫|----|--⌫-----|-----⌫---|-|---|-⌫|------|--⌫-⌫-------⌫--|-⌫------|-|--------|-----|-|-------|--⌫--|----|--------|
Hiccongr egauit synoduminb as ilicab ea ti P etriap ostoli, etfecitconstit utum,utsibisuccessorem or dinarent[h1Kb].	--|-----⌫-----|------|-|-⌫--⌫----|-⌫--⌫-|-⌫---|--⌫------|-|----|-------⌫----|-|---|----------|--⌫-------|-|---||
Quo c ons titutocum chirogr aphi ssa cerdotum, et i usiurando ant econfes sione mb eat i apostoliPetriindia conumuigiliumcons tituit [ i1Kb].	--|-⌫---⌫-----|--|-------⌫----⌫|--⌫--------|-|-⌫--------|---⌫|------⌫-----⌫|-⌫---⌫|-------|----|-|---⌫----|-------|----⌫-----|-⌫|---||
Eodem temp orefacta iteru msynodo , hocce ns uerunt[i1Kb] sacer dotes om nes propter reuere ntiam sedissancte.	----|----⌫--|----|-----⌫|------⌫|--|--⌫--⌫-----|-|---|-----⌫----|--⌫--|------|------⌫----|----|------|
Etq uiacontracanones fuera thocfactum ,etquiac ulpaeum res pi c ieba t,utsucc essoremsibiconsti tueret, ipseBonifacius pa pareumseco nfessusestmaiestatis,quodd i aconumuigi liums uisubsc riptio nech irograph i,etante confessionem beatiapostoli Pet ri successoremc on stituisset,acipsu mc onstitutum inpresentiaomniumsa c er dotum,etc leri,et senatus,incendio consumpsit.	-|-⌫--|-----|------|-----⌫|--|------⌫|-|---|-⌫---|--|---⌫--⌫-⌫----⌫-|-|----⌫------|---|------⌫------|---|---------|--⌫-|---|-|--⌫------|--|----------|---|-⌫-⌫-----|----⌫---|-⌫-|-----⌫------⌫-|--⌫--------⌫-|-|---|-----------|----|-------|---⌫-|----------|-⌫--⌫----------|-|----⌫|-⌫---------|-|--------|-----|--⌫-⌫--⌫-----|-|-⌫----|-|-------|-------|----------|
IO ANNESII.	--⌫----|--|
[2Kb][Alta serr a,Antonius:1Kb][ Bencinus:7Kb][Bi nius, Seuerinus;	----|-----⌫----⌫-|--------|---|-⌫--------|---|---⌫----|---------|
93 Ioannes,quietM ercurius, natione Romanus,ex patr eProiecto,deCeliomonte , seditannosd uos [a1Kb] ,menses quatuor, d ies sex.	-|-------|--|-|-⌫--------|------|-------|-|----⌫|--------|-|----|-----⌫|----|----|-⌫--|-|---||-----|-------|-⌫--|---|
Fu itautem temporibusAthal a rici reg is,etIustiniani Augusti[b1Kb ].	--⌫-|----|---------|-----⌫-⌫---|---⌫--|-|---------|------|-|---⌫||
E odem t e mpore u ir r eligiosusAugustus,sum moamoreC hristiane religionismisitfidemsuamchirographoscriptoproprioad sedem apostolicampe r epis co posEpaziu m [c 1Kb], etDemetrium.	-⌫---|-⌫-⌫----|-⌫-|-⌫--------|--------|---⌫-|----|-⌫--------|---------|----|----|---|----------|------|------|-|----|----------|--⌫|----⌫--⌫--|------⌫|-|---||-|---------|
Ipsis di ebus obtu litC h ristia nissimusim peratorIustinianusAugus tus beato Petroapostolo scyphumaureumcircum datum degemmisp rasini s,etalbis ,etalioscalicesargenteos 2;	----|--⌫---|----⌫--|-⌫-⌫------⌫-------|--⌫------|----------|-----⌫--|----|----|-------|------|-----|------⌫----|-|-----|-⌫------⌫-|-|-----⌫|-|----|------|--------|-|
s cyphump ens.	-⌫-----|-⌫---|
cal ices argenteos, p ens.	---⌫---|---------|-⌫---|
SANC TUSAGAPETUS .	----⌫--|--------⌫|
[4Kb][ Bencin us: 13Kb][ Bi n ius,S eueri n us;	----|-⌫------⌫--|----|-⌫--⌫-⌫---|-⌫-----⌫-⌫--|
94Agapitus,nationeRomanus,expat reGordianopre sbytero,cl ericusadS.	-|--------|------|-------|-|---⌫-|-------|---⌫-------|--⌫-----|-|-|
Io annemetPau lum ,se ditm enses11, dies 18.	--⌫----|-|---⌫---⌫|--⌫--|-⌫----|--|---|--|
95Qui ueroAga p itusambul auitCo nstantinopolimXKal e nd.	-|--|---|---⌫-⌫---|-----⌫---|--⌫-------------||---⌫-⌫--|
Maii,i ngre ssus Constantinopolim, et sus ceptusestAgapitusepiscopus cum gl oria.	----|-⌫----⌫---|----------------|-|---⌫-----|--|-------|--------|--|--⌫----|
Etprimumcepithaberealte rcati o nem cumpiissimoprincipe I usti nianoAugustodereligione.	-|-----|----|-----|----⌫-----⌫-⌫--|--|-------|-------|-⌫----⌫----|------|-|---------|
