Etuocetube	Et uoce tube
oꝑib᷒manuũtuaꝝexultaboQuãmagnificatasũt	oꝑib᷒ manuũ tuaꝝ exultabo Quã magnificata sũt
oꝑatuadñenimis	oꝑa tua dñe nimis
ꝓfũdefc̃e	ꝓfũde fc̃e
sũtcogitatõestueVirinsipiens	sũt cogitatões tue Vir insipiens
nõcognoscetstult᷒nõintelliget	nõ cognoscet  stult᷒ nõ intelliget
h̃Cumexortifuerĩtpcc̃oressicutfenũapparuerĩt	h̃ Cum exorti fuerĩt pcc̃ores sicut fenũ  apparuerĩt
om̃squioꝑant᷑iniqͥtatẽVtint̃eantĩ	om̃s qui oꝑant᷑ iniqͥtatẽ Vt int̃eant ĩ
scl̃mscl̃i	scl̃m scl̃i
tuãtaltissim᷒ĩet̃nũdñeQm̃ecce	tu ãt altissim᷒ ĩ et̃nũ dñe Qm̃ ecce
inimicituidñeqͫecce	inimici tui dñe qͫ ecce
inimicituiꝑibũtdisꝑgẽt᷑om̃squioꝑant᷑	inimici tui ꝑibũt  disꝑgẽt᷑ om̃s qui oꝑant᷑
iniqͥtatẽEtexaltabit᷑sic̃unicorniscornu	iniqͥtatẽ Et exaltabit᷑ sic̃ unicornis cornu
meũsenectam̃aĩ	meũ  senecta m̃a ĩ
mĩaub̃iEtdespicietoculosm̃sinimicosm̃os	mĩa ub̃i Et despiciet oculos m̃s inimicos m̃os
insurgẽtib᷒inme	 insurgẽtib᷒ in me
malignãtib᷒audietaurism̃aIust᷒utpalmaflorebit	malignãtib᷒ audiet auris m̃a Iust᷒ ut palma florebit
sic̃cedruslibanimultiplicabit᷑Plãtat᷒ĩdomodñiĩatriis	sic̃ cedrus libani multiplicabit᷑ Plãtat᷒ ĩ domo dñi ĩ atriis
dom᷒dei	dom᷒ dei
nr̃iflorebũtAdhucmultiplicabũt᷑insenectaub̃i	nr̃i florebũt Adhuc multiplicabũt᷑ in senecta ub̃i
bñpaciẽteserũt	 bñ paciẽtes erũt
utãnũcientQ̃mrect᷒do᷒de᷒	ut ãnũcient Q̃m rect᷒ do᷒ de᷒
nr̃nõ÷iniqͥtas	nr̃  nõ ÷ iniqͥtas
ĩeo102Dñsregnauit	ĩ eo 102 Dñs regnauit
decorẽĩdut᷒estĩdut᷒estdo᷒fortitudinẽ	decorẽ ĩdut᷒ est ĩdut᷒ est do᷒ fortitudinẽ 
cĩcxitseEteĩfirmauitorbẽt̃requinõcõmouebr̃	cĩcxit se Et eĩ firmauit orbẽ t̃re qui nõ cõmouebr̃
Paratasedestuaextũc	Parata sedes tua ex tũc
ascl̃otuesEleuauer̃flumĩadñeeleuauer̃flumĩa	a scl̃o tu es Eleuauer̃ flumĩa dñe eleuauer̃ flumĩa
uocẽsuãEleuauer̃flumĩafluctussuosa	uocẽ suã Eleuauer̃ flumĩa fluctus suos a
uocib᷒aqͣꝝmultaꝝMirabileselatõesmarismirabil̃ĩ	uocib᷒ aqͣꝝ multaꝝ Mirabiles elatões maris mirabil̃ ĩ
altisdo᷒Testimoniatua	altis do᷒ Testimonia tua
credibiliafc̃asũtnimisdom̃tuãdecet	credibilia fc̃a sũt nimis dom̃ tuã decet
sc̃itudodñeĩlõgitudinẽ	sc̃itudo dñe ĩ lõgitudinẽ
dieꝝ103Deusultͥonũdo᷒de᷒ultͥonũlibereegitExaltare	dieꝝ 103 Deus ultͥonũ do᷒ de᷒ ultͥonũ libere egit Exaltare
quiiudicast̃rã	qui iudicas t̃rã
redderetͥbutõemsuꝑbisVsqqͦ	redde retͥbutõem suꝑbis Vsqqͦ
pcc̃oresdñeusqqͦpcc̃oresgl̃abũt᷑Effabũt᷑	pcc̃ores dñe usqqͦ pcc̃ores gl̃abũt᷑ Effabũt᷑
loq̃nt᷑iniqͥtatẽloq̃̃t᷑om̃s	 loq̃nt᷑ iniqͥtatẽ loq̃̃t᷑ om̃s
quioꝑant᷑ini᷒ticiãPopl̃mtuũdñehũiliauer̃h̃editatẽ	qui oꝑant᷑ ini᷒ticiã Popl̃m tuũ dñe hũiliauer̃  h̃editatẽ
tuãuexauer̃Viduãaduenã	tuã uexauer̃ Viduã  aduenã
int̃fec͛ũtpupillosoccider̃Etdix͛ũtnõuidebit	int̃fec͛ũt  pupillos occider̃ Et dix͛ũt nõ uidebit
do᷒necintellegetde᷒	do᷒ nec intelleget de᷒
iacobIntelligiteinsipiẽtesĩ	iacob Intelligite insipiẽtes ĩ
ppͦstultialiqñ	ppͦ  stulti aliqñ
sapiteQͥplantauitaurẽnõaudietautqui	sapite Qͥ plantauit aurẽ nõ audiet aut qui
finxitocl̃mnõcõsideratQͥcorripitgt̃snõarguet	finxit ocl̃m nõ cõsiderat Qͥ corripit gt̃s nõ arguet
autquidocethõemscĩamDñsscitcogitatões	aut qui docet hõem scĩam Dñs scit cogitatões
hõĩũqm̃	hõĩũ qm̃
uanesũtBeat᷒homoquẽtuerudierisdñe	uane sũt Beat᷒ homo quẽ tu erudieris dñe 
delegetuadocũiseumVtmitigeseiadieb᷒	de lege tua docũis eum Vt mitiges ei a dieb᷒
malisdonec	malis donec
fodiat᷑pcc̃orifoueaQuianõ	fodiat᷑ pcc̃ori fouea Quia nõ
repelletdo᷒plebẽsuãh̃editatẽsuamnõd̃elinquetQͦadusq	repellet do᷒ plebẽ suã  h̃editatẽ suam nõ d̃elinquet Qͦadusq
ĩiusticiãꝯũtat᷑	ĩ iusticiã ꝯũtat᷑
ĩiudiciũquiiuxtaillãom̃squirectosũt	ĩ iudiciũ  qui iuxta illã om̃s qui recto sũt
cordeQuiscõsurgetmͥadũsmalignãtesautqͥsstabitmecũ	corde Quis cõsurget mͥ adũs malignãtes aut qͥs stabit mecũ
adũsoꝑãtesiniqͥtatẽNisido᷒	adũs oꝑãtes iniqͥtatẽ Nisi  do᷒
adiuuitme	adiuuit me
paulomin᷒h̃itassetĩinf̃noaĩam̃aSi	paulo min᷒ h̃itasset ĩ inf̃no aĩa m̃a Si
dicebãmot᷒estpes	dicebã mot᷒ est pes
m̃smĩatua	m̃s mĩa tua
dñeadiuuabatmeSecũd̃ml̃titudinẽdoloꝝm̃oꝝ	dñe adiuuabat me Secũd̃ ml̃titudinẽ doloꝝ m̃oꝝ
ĩcorde	ĩ corde
m̃ocõsolatõestueletificauer̃aĩãm̃ãNũqͥdadherettͥsedes	m̃o cõsolatões tue letificauer̃ aĩã m̃ã Nũqͥd adheret tͥ sedes
iniqͥtatisqͥfingitlaborẽ	iniqͥtatis qͥ fingit laborẽ
ĩceptoCaptabũtĩ	ĩ cepto Captabũt ĩ
aĩãiusti	aĩã iusti
sangͥnẽĩnocẽtẽ	 sangͥnẽ ĩnocẽtẽ
cõdẽpnabũtEtfc̃s÷mͥdo᷒refugiũ	cõdẽpnabũt Et fc̃s ÷ mͥ do᷒ refugiũ 
de᷒m̃sĩadiutoriũspeimeeEtreddetill̃iniqͥtatẽ	de᷒ m̃s ĩ adiutoriũ spei mee Et reddet ill̃ iniqͥtatẽ
ip̃oꝝĩmaliciaeoꝝdisꝑdet	ip̃oꝝ  ĩ malicia eoꝝ disꝑdet
eosdisꝑdet	eos disꝑdet
illosdo᷒de᷒nr̃104UEniteexultem᷒dominoiubilem᷒	illos do᷒ de᷒ nr̃ 104 UEnite exultem᷒ domino iubilem᷒
d̃osalutarinr̃oocupem᷒faciẽei᷒ĩcõfessiõe	d̃o salutari nr̃o ocupem᷒ faciẽ ei᷒ ĩ cõfessiõe
ĩpsalmisiubilem᷒eiQͫdeus	 ĩ psalmis iubilem᷒ ei Qͫ deus
magn᷒do᷒rexmagn᷒sr̃om̃sdeosQ̃m	magn᷒ do᷒  rex magn᷒ sr̃ om̃s deos Q̃m
nõrepelletdo᷒plebẽsuãĩmanu	nõ repellet do᷒ plebẽ suã  ĩ manu
ei᷒sũtõsfines	ei᷒ sũt õs fines
t̃realtitudinesmõtiũip̃i᷒sũtQ̃m	t̃re  altitudines mõtiũ ip̃i᷒ sũt Q̃m
ip̃i᷒÷mare	ip̃i᷒ ÷ mare
ip̃efecitiͩsiccã	 ip̃e fecit iͩ  siccã
man᷒ei᷒formauer̃Veniteadorem᷒ꝓcidam᷒ante	man᷒ ei᷒ formauer̃ Venite adorem᷒  ꝓcidam᷒ ante
d̃mplorem᷒corã	d̃m plorem᷒ corã
dñoquifecitnosip̃edñs	dño qui fecit nos  ip̃e dñs
de᷒nost̃Etnosppl̃seius	de᷒ nost̃ Et nos ppl̃s eius 
ouespascueeiushodiesiuocẽeiusaudieritisnolite	oues pascue eius hodie si uocẽ eius audieritis nolite
obdurarecordaur̃aSicutĩirritatõescd̃diẽtẽptatõis	obdurare corda ur̃a Sicut ĩ irritatõe scd̃ diẽ tẽptatõis
ĩdeẜtoubitẽptauerũt	ĩ deẜto ubi tẽptauerũt
mepatresur̃i	me patres ur̃i
ꝓbauer̃	ꝓbauer̃ 
uider̃oꝑam̃aQͣdragĩtaannisꝓxim᷒fuigñatõi	uider̃ oꝑa m̃a Qͣdragĩta annis ꝓxim᷒ fui gñatõi
huicdixi	huic  dixi
semꝑhiierrãtcordeEtistinõ	semꝑ hii errãt corde Et isti nõ
cognouerũtuias	cognouerũt uias
m̃asquib᷒iurauiĩiram̃asiintrabũtin	m̃as quib᷒ iuraui ĩ ira m̃a si intrabũt in
reqͥemmeã105Cantatedñocãticũnouũcãtate	reqͥem meã 105 Cantate dño cãticũ nouũ cãtate
dominoõist̃radño	domino õis t̃ra dño
bñdicite	 bñdicite
nõiei᷒ãnũciate	nõi ei᷒ ãnũciate
dedieĩdiẽsalutare	de die ĩ diẽ salutare
eiusAnnũciateint̃gt̃sgl̃amei᷒	eius Annũciate int̃ gt̃s gl̃am ei᷒
ĩõib᷒ppl̃ismirabiliaei᷒Q̃mmagn᷒	ĩ õib᷒ ppl̃is mirabilia ei᷒ Q̃m magn᷒
do᷒laudabil̃nimist̃ribilisestsr̃	do᷒  laudabil̃ nimis t̃ribilis est sr̃
om̃sdeosQ̃mom̃sdiigẽtiũdemõiũ	om̃s deos Q̃m om̃s dii gẽtiũ demõiũ
do᷒ãtcelosfecitCõfessiopulcritudoĩcõspectu	do᷒ ãt celos fecit Cõfessio  pulcritudo ĩ cõspectu
ei᷒sc̃imonia	ei᷒ sc̃imonia 
magnificẽtiaĩsc̃ificatõeei᷒Affertedño	magnificẽtia ĩ sc̃ificatõe ei᷒ Afferte dño
patͥegẽtiũaffertedñogl̃amhonorẽ	patͥe gẽtiũ afferte dño gl̃am  honorẽ
affertedñogl̃amnõiei᷒Tollite	afferte dño gl̃am nõi ei᷒ Tollite
hostiasintroiteĩatriaei᷒	hostias  introite ĩ atria ei᷒
adoratedñmĩatriosc̃oei᷒	adorate dñm ĩ atrio sc̃o ei᷒
Cõmoueat᷑afacieei᷒uniũsat̃radiciteĩgẽtibus	Cõmoueat᷑ a facie ei᷒ uniũsa t̃ra dicite ĩ gẽtibus 
do᷒regnauitEteĩcorrexit	do᷒ regnauit Eteĩ correxit
orbẽt̃reqͥnõ	orbẽ t̃re qͥ nõ
cõmouebit᷑iudicabitppl̃osĩeqͥtate	cõmouebit᷑ iudicabit ppl̃os ĩ eqͥtate
Letẽt᷑celiexultett̃racõmoueat᷑mareplenitudoei᷒	Letẽt᷑ celi  exultet t̃ra cõmoueat᷑ mare  plenitudo ei᷒
gaudebũtcãpiõia	gaudebũt cãpi  õia
queĩeissũtTũcexultabũtõialignasiluaꝝ	que ĩ eis sũt Tũc exultabũt õia ligna siluaꝝ
afacieqm̃uẽituẽitiudicare	a facie qm̃ uẽit  uẽit iudicare
t̃rãIudicabitorbẽ	t̃rã Iudicabit orbẽ
t̃raꝝĩeqͥtatepposĩũitatesua	t̃raꝝ ĩ eqͥtate  ppos ĩ ũitate sua
106Dñsregnauitexultett̃raletẽt᷑ĩsulemulte	106 Dñs regnauit exultet t̃ra letẽt᷑ ĩsule multe
Nubescaligoĩc͛cuitu	Nubes  caligo ĩ c͛cuitu
ei᷒iusticiaiudiciũcorrectiosediseiusIgnisañ	ei᷒ iusticia  iudiciũ correctio sedis eius Ignis añ
ip̃mcedetĩflãmabitĩc͛cuituinimicos	ip̃m cedet  ĩflãmabit ĩ c͛cuitu inimicos
ei᷒Alluxer̃fulg̃aei᷒orbẽ	ei᷒ Alluxer̃ fulg̃a ei᷒ orbẽ
t̃reuiditcõmotaest	t̃re uidit  cõmota est
t̃raMontessicutceraflux̃ũta	t̃ra Montes sicut cera flux̃ũt a
faciedñiafaciedñiõist̃raAnnũciauer̃celiiusticiã	facie dñi a facie dñi õis t̃ra Annũciauer̃ celi iusticiã
ei᷒uider̃om̃s	ei᷒  uider̃ om̃s
ppl̃igl̃amei᷒Cõfũdant᷑om̃squiadorant	ppl̃i gl̃am ei᷒ Cõfũdant᷑ om̃s qui adorant
sculptiliaquigl̃ant᷑insimulacͥs	sculptilia  qui gl̃ant᷑ in simulacͥs
suisAdorateeũom̃sangl̃ieiusaudiuitletata÷	suis Adorate eũ om̃s angl̃i eius audiuit  letata ÷
syonEtexultauer̃	syon Et exultauer̃
filieiudeꝑꝑ	filie iude ꝑꝑ
iudiciatuadñeQ̃mtudo᷒altissim᷒	iudicia tua dñe Q̃m tu do᷒ altissim᷒
sr̃õẽt̃rãnimisexaltat᷒essr̃	sr̃ õẽ t̃rã nimis exaltat᷒ es sr̃
om̃sdeosqͥdiligitisdñmoditemalũ	om̃s deos qͥ diligitis dñm odite malũ
custoditdo᷒aĩassc̃oꝝsuoꝝdemanupcc̃orisliberaũ	custodit do᷒ aĩas sc̃oꝝ suoꝝ de manu pcc̃oris liberaũ
eosLuxorta	eos Lux orta
÷iustorectiscordeleticiaLetaminiiustiĩdño	÷ iusto  rectis corde leticia Letamini iusti ĩ dño
cõfitem̃i	 cõfitem̃i
memoriesc̃ificatõisei᷒107CAntatedñocãticũnouũ	memorie sc̃ificatõis ei᷒ 107 CAntate dño cãticũ nouũ
mirabiliafecitSaluauitsibidext̃aei᷒brachiũ	 mirabilia fecit Saluauit sibi dext̃a ei᷒  brachiũ
sc̃meiusNotũfecitdo᷒	sc̃m eius Notũ fecit do᷒
salutaresuũĩcõspectugẽtiũreuelauit	salutare suũ ĩ cõspectu gẽtiũ reuelauit
iusticiamsuamRecordat᷒estmĩesueũitatisue	iusticiam suam Recordat᷒ est mĩe sue  ũitati sue
domuiisr̃lVider̃	domui isr̃l Vider̃
om̃st͛m̃it̃resalutaredeinr̃iiubilatedeoõist̃ra	om̃s t͛m̃i t̃re salutare dei nr̃i iubilate deo õis t̃ra
cãtateexultatepsallitePsallitedñoĩ	cãtate  exultate  psallite Psallite dño ĩ
citharaĩcyth̃a	cithara ĩ cyth̃a 
uocepsalmiĩtubisductilib᷒	uoce psalmi ĩ tubis ductilib᷒
uocetubecorneeIubilate	 uoce tube cornee Iubilate
ĩcõspecturegisdñimoueat᷑mareplenitudoei᷒	ĩ cõspectu regis dñi moueat᷑ mare  plenitudo ei᷒
orbist̃raꝝ	orbis t̃raꝝ 
uniũsiqͥh̃itantĩeoFlumĩaplaudent	uniũsi qͥ h̃itant ĩ eo Flumĩa plaudent
manusiml̃mõtesexultabuntacõspectudñiqm̃	manu siml̃ mõtes exultabunt a cõspectu dñi qm̃
uẽitiudicaret̃rãIudicabitorbẽt̃raꝝĩiusticiapopulos	uẽit iudicare t̃rã Iudicabit orbẽ t̃raꝝ ĩ iusticia  populos
ĩeqͥtate108	ĩ eqͥtate 108
Domin᷒regnauitirascant᷑ppl̃iquisedessr̃cherubinmoueat᷑	Domin᷒ regnauit irascant᷑ ppl̃i qui sedes sr̃ cherubin moueat᷑
t̃radñsinsyon	t̃ra dñs in syon
magn᷒excels᷒sr̃om̃sppl̃osCõfiteant᷑	magn᷒  excels᷒ sr̃ om̃s ppl̃os Cõfiteant᷑
nõituo	nõi tuo
magnoqm̃t̃ribile	magno qm̃ t̃ribile 
sc̃mesthonorregisiudiciũdiligitTuꝑasti	sc̃m est  honor regis iudiciũ diligit Tu ꝑasti
directõesiudiciũiusticiãiniacobtufecistiExaltate	directões iudiciũ  iusticiã in iacob tu fecisti Exaltate
dñmd̃mnr̃m	dñm d̃m nr̃m 
adoratescabellũ	adorate scabellũ
pedũei᷒qm̃sc̃m	pedũ ei᷒ qm̃ sc̃m
÷Moyseaarõ	÷ Moyse  aarõ
ĩsac̃dotib᷒eiussamuelint̃eosquiĩuocãtñn	ĩ sac̃dotib᷒ eius  samuel int̃ eos qui ĩuocãt ñn
eiusInuocabãtdñm	eius Inuocabãt dñm
ip̃eexaudiebat	 ip̃e exaudiebat
eosĩcolũpnanubisloq̃bat᷑adeosCustodiebãttestimoniaeius	eos ĩ colũpna nubis loq̃bat᷑ ad eos Custodiebãt testimonia eius
ceptũꝙdeditillis	 ceptũ ꝙ dedit illis
dñede᷒nr̃	dñe de᷒ nr̃
tuexaudiebaseosdeustuꝓpici᷒fuisti	tu exaudiebas eos deus tu ꝓpici᷒ fuisti
eisulciscens	eis  ulciscens
ĩomnesadĩuẽtõeseoꝝExaltate	ĩ omnes adĩuẽtões eoꝝ Exaltate
dñmd̃mnr̃m	dñm d̃m nr̃m 
adorateĩmõtesc̃oei᷒qm̃sc̃sdñsde᷒nr̃	adorate ĩ mõte sc̃o ei᷒ qm̃ sc̃s dñs de᷒ nr̃
109IVbilated̃oõist̃raẜuitedñoĩleticiaIntroite	109 IVbilate d̃o õis t̃ra ẜuite dño ĩ leticia Introite
ĩconspectuei᷒ĩexultatõeScitoteqm̃	ĩ conspectu ei᷒ ĩ exultatõe Scitote qm̃
dñsip̃eẽde᷒ip̃efecitnosnõ	dñs ip̃e ẽ de᷒ ip̃e fecit nos  nõ
ip̃inos	ip̃i nos
Popl̃seius	Popl̃s eius
ouespascueeie᷒introiteportas	 oues pascue eie᷒ introite portas
eiusĩcõfessioneatͥaeie᷒ĩhymniscõfitem̃iilli	eius ĩ cõfessione atͥa eie᷒ ĩ hymnis cõfitem̃i illi
Laudateñneiusqm̃suauisẽ	Laudate ñn eius qm̃ suauis ẽ
do᷒ĩet̃nũ	do᷒ ĩ et̃nũ
mĩaei᷒usq	mĩa ei᷒  usq
ingñatõẽ	in gñatõẽ
ũitaseius110Miẜicordiãiudiciũ	ũitas eius 110 Miẜicordiã  iudiciũ
cãtabotͥdñe	cãtabo tͥ dñe
Psallãĩtellegãĩ	Psallã  ĩtellegã ĩ
uiaĩmaculataqñuẽiesadmeꝑambulabãĩ	uia ĩmaculata qñ uẽies ad me ꝑambulabã ĩ
innocẽtiacordism̃iĩmedio	innocẽtia cordis m̃i ĩ medio
dom᷒meeNõꝓponebamañoculosm̃osrẽ	dom᷒ mee Nõ ꝓponebam añ oculos m̃os rẽ
ĩiustãfaciẽtesuaricatõesodiuiNon	ĩiustã faciẽtes uaricatões odiui Non
adhesitmͥcorpͣuũdeclinãtẽamemalignũnõ	adhesit mͥ cor pͣuũ declinãtẽ a me malignũ nõ
cognoscebamDetͣhentẽsecretoꝓxĩo	cognoscebam Detͣhentẽ secreto ꝓxĩo
suohuncꝑseq̃barSuꝑbooculo	suo hunc ꝑseq̃bar Suꝑbo oculo 
ĩsaciabilicordecũh̃	ĩsaciabili corde cũ h̃
nõedebãOculim̃iadfidelest̃reutsedeantmecũ	nõ edebã Oculi m̃i ad fideles t̃re ut sedeant mecũ
ambulansĩuiaĩmaculata	ambulans ĩ uia ĩmaculata
hicmͥm̃istrabatInh̃itaboĩ	hic mͥ m̃istrabat In h̃itabo ĩ
mediodom᷒	medio dom᷒
meequifacit	mee qui facit
sr̃biãqui	sr̃biã qui
loq᷑iniqͣ	loq᷑ iniqͣ
nõdirexitĩcõspectu	nõ direxit ĩ cõspectu
oculoꝝm̃oꝝ	oculoꝝ m̃oꝝ
Inmatutino	In matutino
int̃ficiebamom̃spcc̃ores	int̃ficiebam om̃s pcc̃ores
t̃reutdisꝑd̃emdeciuitatedñiõsoꝑãtesiniqͥtatem111	t̃re ut disꝑd̃em de ciuitate dñi õs oꝑãtes iniqͥtatem 111
Domineexaudior̃onẽm̃ã	Domine exaudi or̃onẽ m̃ã
clamor	 clamor
m̃sadteueniatñaũtasfaciẽtuãa	m̃s ad te ueniat ñ aũtas faciẽ tuã a
meĩqͣcũdietribulorĩclinaadmeaurẽtuã	me ĩ qͣcũ die tribulor ĩclina ad me aurẽ tuã
Inqͣcũdieĩuocaũoteuelocit̃exaudimeQuia	In qͣcũ die ĩuocaũo te uelocit̃ exaudi me Quia
deffec̃ũtsic̃	deffec̃ũt sic̃
fum᷒diesm̃i	fum᷒ dies m̃i
ossam̃asic̃	 ossa m̃a sic̃
cremiũaruer̃tꝐcuss᷒sũutfenũ	cremiũ aruer̃t Ꝑcuss᷒ sũ ut fenũ 
aruitcormeũoblit᷒sũcomed̃epanẽmeũA	aruit cor meũ  oblit᷒ sũ comed̃e panẽ meũ A
uocegemit᷒m̃iadhesitosmeũ	uoce gemit᷒ m̃i adhesit os meũ
carnim̃eSimil̃fc̃ssũ	carni m̃e Simil̃ fc̃s sũ
pellicanosolitud̃is	pellicano solitud̃is
fc̃ssũsic̃niticorax	fc̃s sũ sic̃ niticorax
indomicilioVigilaui	in domicilio Vigilaui
fc̃ssũsic̃passersolitari᷒	 fc̃s sũ sic̃ passer solitari᷒
ĩtectoTotadieexꝓbabãtmͥĩimicim̃i	ĩ tecto Tota die exꝓbabãt mͥ ĩimici m̃i 
qͥlaudabãtmeadũsũme	qͥ laudabãt me adũsũ me
iurabantQuiaciñemtãꝙͣpanẽmãducaui	iurabant Quia ciñem tãꝙͣ panẽ mãducaui
pocl̃ummeũcũfletumiscebamA	 pocl̃um meũ cũ fletu miscebam A
facieireetindignatõistueeleuansallisistimeDies	facie ire et indignatõis tue  eleuans allisisti me Dies
m̃isic̃umbradeclinauer̃	m̃i sic̃ umbra declinauer̃ 
egosic̃fenũarui	ego sic̃ fenũ arui
Tuãtdñeĩet̃nũ	Tu ãt dñe ĩ et̃nũ
ꝑmanesmemorialetuũĩgñatõegñatõẽ	ꝑmanes  memoriale tuũ ĩ gñatõe  gñatõẽ
Tuexurgensmiser̃eb̃issyontẽp᷒miserẽdieius	Tu exurgens miser̃eb̃is syon  tẽp᷒ miserẽdi eius 
uenittẽp᷒qͫ	uenit tẽp᷒ qͫ
placuer̃ẜuistuislapides	placuer̃ ẜuis tuis lapides
eiust̃re	eius  t̃re
eiusmiserebũt᷑Ettimebũtgẽtes	eius miserebũt᷑ Et timebũt gẽtes
ñntuũ	ñn tuũ
dñeõs	dñe  õs
regest̃regl̃am	reges t̃re gl̃am
tuãQuiaedificauitdñssyonuidebit᷑ĩ	tuã Quia edificauit dñs syon  uidebit᷑ ĩ
gl̃amsuã	gl̃am suã
Respexitĩor̃onẽhumiliũnõsuitces	Respexit ĩ or̃onẽ humiliũ  nõ suit ces
eoꝝScribant᷑h̃ĩgñatõealt̃a	eoꝝ Scribant᷑ h̃ ĩ gñatõe alt̃a
ppl̃squi	 ppl̃s qui
creabit᷑laudabitdñm	creabit᷑ laudabit dñm
Quiaꝓspex̃deexcelso	Quia ꝓspex̃ de excelso
sc̃osuodo᷒	sc̃o suo do᷒
deceloĩ	de celo ĩ
t̃rãaspexitVtaudiret	t̃rã aspexit Vt audiret
gemit᷒cõpeditorũutsolũet	gemit᷒ cõpeditorũ ut solũet
filiosint̃emptoꝝVt	filios int̃emptoꝝ Vt
ãnũcientĩsyonñndñilaudẽei᷒ĩ	ãnũcient ĩ syon ñn dñi  laudẽ ei᷒ ĩ
ihrl̃mIncõuẽiendoppos	ihrl̃m In cõuẽiendo ppos
ĩunũ	ĩ unũ 
regesutseruiant	reges ut seruiant
dñoRespõditei	dño Respõdit ei
ĩuia͛tutissuepaucitatẽdieꝝm̃oꝝnũciamͥNe	ĩ uia ͛tutis sue paucitatẽ dieꝝ m̃oꝝ nũcia mͥ Ne
reuocesme	reuoces me
ĩdimidiodieꝝmeoꝝĩgñatõe	ĩ dimidio dieꝝ meoꝝ ĩ gñatõe
gñõe	 gñõe
ãnituiInitõtudñet̃rãfũdastioꝑa	ãni tui Initõ tu dñe t̃rã fũdasti  oꝑa
manuũtuaꝝsũtceli	manuũ tuaꝝ sũt celi
Ip̃iꝑibũttuãtꝑmanesom̃ssic̃uestim̃tũuet̃escent	Ip̃i ꝑibũt tu ãt ꝑmanes  om̃s sic̃ uestim̃tũ uet̃escent
Etsic̃oꝑtoriũ	Et sic̃ oꝑtoriũ
mutabiseosmutabũt᷑	mutabis eos  mutabũt᷑
tuãtid̃ip̃eesãnituinõdefficient	tu ãt id̃ ip̃e es  ãni tui nõ defficient
Filiiẜuoꝝtuoꝝhĩtabũt	Filii ẜuoꝝ tuoꝝ hĩtabũt 
sem̃eoꝝĩscl̃mdiriget᷑	sem̃ eoꝝ ĩ scl̃m diriget᷑
112BEnedicaĩam̃adñeõiaq̃intͣme	112 BEnedic aĩa m̃a dñe  õia q̃ intͣ me
sũtnõi	sũt nõi
sc̃oe᷒Benedicaĩam̃adñonoli	sc̃o e᷒ Benedic aĩa m̃a dño  noli
obliuisciom̃sretributões	obliuisci om̃s retributões
eiusqͥꝓpiciat᷑	eius qͥ ꝓpiciat᷑
õib᷒iniqͥtatib᷒tuisquisanatõsĩfirmitatestuasQuiredimit	õib᷒ iniqͥtatib᷒ tuis qui sanat õs ĩfirmitates tuas Qui redimit
deint̃ituuitãtuãqͥcoronͣtteĩmĩa	de int̃itu uitã tuã qͥ coronͣt te ĩ mĩa 
miẜatõib᷒qͥrepletĩbonisdesid̃iũtuũ	miẜatõib᷒ qͥ replet ĩ bonis desid̃iũ tuũ
renouabit᷑utaqͥlaiuuẽt᷒tuaFaciensmĩas	renouabit᷑ ut aqͥla iuuẽt᷒ tua Faciens mĩas
do᷒iudiciũõib᷒iniuriã	do᷒  iudiciũ õib᷒ iniuriã
pacientib᷒Notasfecituiassuasmoysi	pacientib᷒ Notas fecit uias suas moysi
filiisisr̃luolũtatessuasMiserator	filiis isr̃l uolũtates suas Miserator
miẜicorsdo᷒lõganimis	 miẜicors do᷒ lõganimis 
multũmiẜicors	multũ miẜicors
Nõĩꝑpetuũirascet᷑	Nõ ĩ ꝑpetuũ irascet᷑
nĩet̃nũꝯminabit᷑Nõscd̃m	n ĩ et̃nũ ꝯminabit᷑ Nõ scd̃m
pcc̃anr̃afecitnb̃n	pcc̃a nr̃a fecit nb̃ n
scd̃miniqͥtatesnr̃asretribuetnb̃	scd̃m iniqͥtates nr̃as retribuet nb̃
Q̃mscd̃altitudinẽcelia	Q̃m scd̃ altitudinẽ celi a
terracorroborauitmĩãsuãsr̃tim̃tesseq̃m	terra corroborauit mĩã suã sr̃ tim̃tes se q̃m
Dñsregnauitdecorem	Dñs regnauit decorem
indut᷒ẽindutusẽd᷒	indut᷒ ẽ indutus ẽ d᷒
fortitudinemcinxitseEt·H·firmauit	fortitudinem  cinxit se Et·H· firmauit
orbemt̃requiñ	orbem t̃re qui ñ
ꝯmouebit᷑Paratasedistua	ꝯmouebit᷑ Parata sedis tua
d̃sextc̃ascl̃otuesEleuaũuntflũia	d̃s ex tc̃ a scl̃o tu es Eleuaũunt flũia
dñeeleuaũuntflũiauocemsuamEleuaũunt	dñe eleuaũunt flũia uocem suam Eleuaũunt
flũiafluctussuosauocibaquar̃	flũia fluctus suos a uocib aquar̃
multar̃Mirabileselationesmaris	multar̃ Mirabiles elationes maris
mirabilisin	mirabilis in
altisd᷒Testimoniatuac̃dibiliafc̃as̃tnimis	altis d᷒ Testimonia tua c̃dibilia fc̃a s̃t nimis
dom̃tuamdecetsc̃itudodñe	dom̃ tuam decet sc̃itudo dñe
inlongitudinẽdierumps̃	in longitudinẽ dierum ps̃
d̃dqͣrtasabb̃i	d̃d qͣrta sabb̃i
