fecitconstantin᷒	fecit constantin᷒
multamiracl̃aoꝑariꝓlog᷒CVmuetustatisincõmodonouercante	multa miracl̃a oꝑari ꝓlog᷒ CVm uetustatis in cõmodo nouercante
resferesingulasobsolericõtingatcumnouemleꝓsos	res fere singulas obsoleri cõtingat cum nouem leꝓsos
curationepotitosnõparumreosintellexerimus	curatione potitos nõ parum reos intellexerimus
quiad̃igloriam	quia d̃i gloriam
tacueruntcumdecimoreuertentedñmglorificantes	tacuerunt cum decimo reuertente dñm glorificantes
suꝑhisqueaudiuim᷒⁊uidim᷒queadñofacta	suꝑ his que audiuim᷒ ⁊ uidim᷒ que a dño facta
mirabiliafueruntinoccl̃isur̃isposteDcomitenr̃o	mirabilia fuerunt in occl̃is ur̃is poste D comite nr̃o
Richregeanglieuirouidelninenobilitatis	Rich rege anglie uiro uidel nine nobilitatis
noticuiinegregiaferitatesibicontemporaneũiconparandũ	noti cui in egregia feritate sibi contemporaneũ i conparandũ
ortasunmata⁊infames	orta sun mata ⁊ infames
continterhomineshuiusHacde	cont inter homines huius Hac de
causaquiadercessione⁊assignationeuersasꝑgerent	causa quia de r cessione ⁊ assignatione uersas ꝑgerent
conseꝑsonasQuidãenĩ	conse ꝑsonas Quidã enĩ
abanturioh̃emiamdtiregisfratremregem	a bantur ioh̃em iam d ti regis fratrem regem
siuid̃isnudũoꝑieũ⁊	si uid̃is nudũ oꝑi eũ ⁊
pauꝑẽ⁊absqtectoinducintab̃naculũ	pauꝑẽ ⁊ absq tecto induc in tab̃naculũ
tuumTuncerũpettemporanealuxtua⁊sanitates	tuum Tunc erũpet temporanea lux tua ⁊ sanitates
tuecitoorient᷑Hocqͦqq̃dscͥptumẽinLxx	tue cito orient᷑ Hoc qͦq q̃d scͥptum ẽ in Lxx
misitdebethel	misit de bethel
sarasar⁊ebeserrexnullusnr̃oꝝpotuitexponere	sarasar ⁊ ebeser rex nullus nr̃oꝝ potuit exponere
Neq.enĩq̃dmaleuersũẽexebreo	Neq. enĩ q̃d male uersũ ẽ ex ebreo
ullarationeexplanaripot̃Quisẽ	ulla ratione explanari pot̃ Quis ẽ
enĩistesarasar⁊ebeserrexautcui᷒ꝓuincie	enĩ iste sarasar ⁊ ebeser rex aut cui᷒ ꝓuincie
autinqua	aut in qua
ul̃dequamisitbethelautcui᷒bethel	ul̃ de qua misit bethel aut cui᷒ bethel
rexeẽpoteratebeserqueolim	rex eẽ poterat ebeser que olim
cũiudeafueratdestituta⁊	cũ iudea fuerat destituta ⁊
eotpr̃nequaquãuocabat᷑bethelid	eo tpr̃ nequaquã uocabat᷑ bethel id
ẽdom᷒dñisbetauen.i.dom᷒ydoliHoc	ẽ dom᷒ dñi s betauen .i. dom᷒ ydoli Hoc
qͦqq̃dseqͥringressaẽinm̃seqͥntosc̃ificatio	qͦq q̃d seqͥr ingressa ẽ in m̃se qͥnto sc̃ificatio
sic̃fecerantiamꝑmultosannos	sic̃ fecerant iam ꝑ multos annos
sicconant᷑exponeresc̃ificationẽingressã	sic conant᷑ exponere sc̃ificationẽ ingressã
uasatẽpliq̃anabucodonosorfuerantsublatainillo	uasa tẽpli q̃ a nabucodonosor fuerant sublata in illo
tpr̃restituta	tpr̃ restituta
Dequintiaut̃⁊septimi	De quinti aut̃ ⁊ septimi
ieiuniotemptauer̃referread	ieiunio temptauer̃ referre ad
diesebdomadisSseqͥrdecimiieiuniumcõpulsi	dies ebdomadis S  seqͥr decimi ieiunium cõpulsi
s̃tadm̃sesreferre⁊q̃dsitipsequinti⁊	s̃t ad m̃ses referre ⁊ q̃d sit ipse quinti ⁊
septimidecimũq	septimi decimũq
m̃sisieiuniũ	m̃sis ieiuniũ
omninosiluer̃utdeprioresim᷒explanationeꝯtenti	omnino siluer̃ ut de priore sim᷒ explanatione ꝯtenti
⁊ñindignem᷑adfalsoscommentantiũconatusqͥdeint̃pretationis	⁊ ñ indignem᷑ ad falsos commentantiũ conatus qͥ de int̃pretationis
erroreuener̃Etfactũ	errore uener̃ Et factũ
ẽu͛bumdñi	ẽ u͛bum dñi
adzachariãdicens	ad zachariã dicens
Hecdic̃	Hec dic̃
dñsexercituũdicensIudiciũiustũiudicate	dñs exercituũ dicens Iudiciũ iustũ iudicate
⁊miscdĩam&Sr̃cartã	⁊ miscdĩam & Sr̃ cartã
caritatiᷤAntequã	caritatiᷤ Antequã
abbatiecist̃cien.florereinciperent	abbatie cist̃cien. florere inciperent
domnusstephanusabbasetfr̃ssuiordinaueruntut	domnus stephanus abbas et fr̃s sui ordinauerunt ut
nullomͦabbatie	nullo mͦ abbatie
inalicui᷒antistitisdiocesifundarent᷑anteꝙͣ	in alicui᷒ antistitis diocesi fundarent᷑anteꝙͣ
ip̃edecretumintercisterciensecenobiũ⁊ceteraexeo	ip̃e decretum inter cisterciense cenobiũ ⁊ cetera ex eo
nataexaratũ	nata exaratũ
⁊confirmatũratumhabet	⁊ confirmatũ ratum habet
ꝓpterscandalũinterpontficẽ⁊monachosdeuitandũInhocgͦ	ꝓpter scandalũ inter pontficẽ ⁊ monachos deuitandũ In hoc gͦ
dec͛todictifr̃smutuepacisfutuꝝcauentesnaufragiũelucidaueruntet	dec͛to dicti fr̃s mutue pacis futuꝝ cauentes naufragiũ elucidauerunt et
statuer̃suisqposteris	statuer̃ suisq posteris
reliquer̃quopactoquouemͦimmoquacaritatemonachieoꝝ	reliquer̃ quo pacto quoue mͦ immo qua caritate monachi eoꝝ
ꝑabbatias	ꝑ abbatias
indiu͛sismundipartibcorporibdiuihomiñsubregularidisciplina	in diu͛sis mundi partib corporib diui homiñ sub regulari disciplina
ordinaueritnullãterrenecõmoditatisseureꝝtẽporaliũexactionẽimponimus	ordinauerit nullã terrene cõmoditatis seu reꝝ tẽporaliũ exactionẽ imponimus
Prodesseenĩill̃õibqsc̃eeccl̃iefiliiscupientesnil	Prodesse enĩ ill̃ õibq sc̃e eccl̃ie filiis cupientes nil
quodeosgrauetnilq̃deorũ	quod eos grauet nil q̃d eorũ
substantiãminuatergaeosag̃edisponim᷒nedũnoshabundãtes	substantiã minuat erga eos ag̃e disponim᷒ ne dũ nos habundãtes
deeoꝝpauꝑtateeẽcupim᷒auaricie	de eoꝝ pauꝑtate eẽ cupim᷒ auaricie
malũq̃d	malũ q̃d
scd̃mapl̃mydoloꝝseruituscomꝓbatureuitarenonpossim᷒Curã	scd̃m apl̃m ydoloꝝ seruitus comꝓbatur euitare non possim᷒ Curã
tñaĩaꝝilloꝝgr̃acaritatis	tñ aĩaꝝ illoꝝ gr̃a caritatis
retinereuolumus	retinere uolumus
utsiqnͦasc̃oꝓpositoet	ut si qnͦ a sc̃o ꝓposito et
obseruantiasc̃eregl̃edeclinareq̃dabsittẽptau͛ĩtꝑ	obseruantia sc̃e regl̃e declinare q̃d absit tẽptau͛ĩt ꝑ
nr̃amsollicitudinẽadrecINdominoconfidoquomodo	nr̃am sollicitudinẽ ad rec IN domino confido quomodo
animemeetransmigrainmosicutpasserQuoniam	anime mee transmigra in mo sicut passer Quoniam
eccepeccatoresintenarcumparaueruntsagittas	ecce peccatores inten arcum parauerunt sagittas
suretrautsagittentinobscuroreQuoniamqueꝑfecisti	su retra ut sagittent in obscuro re Quoniam que ꝑfecisti
destruxerustus	destruxeru stus
autemquidfecitDominus	autem quid fecit Dominus
intemplosanctosuo	in templo sancto suo
incelosedeseiusOculieiusinpauꝑemrespiciuntbre	in celo sedes eius Oculi eius in pauꝑem respiciunt bre
eiusinterrogãtfilioshomiDominusinterrogatiustum	eius interrogãt filios homi Dominus interrogat iustum
etquiautem	et qui autem
diligitiniquitateanimamsuamPluetsuꝑpeccatoreslaqueos	diligit iniquitate animam suam Pluet suꝑ peccatores laqueos
ierisdabotͥlicdimidiũregnimeiQͤ	i eris dabo tͥ lic dimidiũ regni mei Qͤ
c̃exissdix̃matͥsueQͥdpetãetilladix̃	c̃ exiss dix̃ matͥ sue Qͥd petã et illa dix̃
cap̃ioh̃isbabtiste	cap̃ ioh̃is babtiste
Cũqĩtͦiss	Cũq ĩtͦiss
statĩc̃festinatiõeaRegẽpetiũdicẽs	statĩ c̃ festinatiõe a Regẽ petiũ dicẽs
Uoloutꝓtin᷒desmͥ	Uolo ut ꝓtin᷒ des mͥ
ĩdiscocaputiohannisbabtisteEt	ĩ disco caput iohannis babtiste Et
ꝯtͥstatu᷒÷Rexꝓpt̃	ꝯtͥstatu᷒ ÷ Rex ꝓpt̃
i᷒iurãdũ⁊ꝓpt̃simulrecũbẽtesnoluiteãꝯtͥstareSmisso	i᷒iurãdũ ⁊ ꝓpt̃ simul recũbẽtes noluit eã ꝯtͥstare S misso
spiculatorecep̃	spiculatore cep̃
afferricap̃ei᷒ĩdiscoEtdecollaũeũĩcarc̃e	afferri cap̃ ei᷒ ĩ disco Et decollaũ eũ ĩ carc̃e
⁊adtulitcap̃ei᷒	⁊ adtulit cap̃ ei᷒
ĩdisco⁊	ĩ disco ⁊
deditillud	dedit illud
puelle⁊puelladeditMatͥsue	puelle ⁊ puella dedit Matͥ sue
Qͦauditodiᷤscipl̃iei᷒uener̃⁊tul̃ũtcorp᷒	Qͦ audito diᷤscipl̃i ei᷒ uener̃ ⁊ tul̃ũt corp᷒
ei᷒⁊posuer̃	ei᷒ ⁊ posuer̃
illd̃ĩ	illd̃ ĩ
monum̃toEtegͤss᷒÷ih̃s	monum̃to Et egͤss᷒ ÷ ih̃s
⁊discipl̃iei᷒ĩcastella	⁊ discipl̃i ei᷒ ĩ castella
cesareephilippi&ĩuiaĩt̃rogabatdiscipl̃oᷤsuoᷤdicẽseis	cesaree philippi & ĩ uia ĩt̃rogabat discipl̃oᷤ suoᷤ dicẽs eis
Qͤmmedicũthoĩneseẽ	Qͤm me dicũt hoĩnes eẽ
Qͥrespõd̃ũtillidicẽtes	Qͥ respõd̃ũt illi dicẽtes
ioh̃mbabtistãAliiheliã	ioh̃m babtistã Alii heliã
Aliiuͦqͣsiunũdeꝓph̃is	Alii uͦ qͣsi unũ de ꝓph̃is
Tc̃dic̃ill̃Vosuͦ	Tc̃ dic̃ ill̃ Vos uͦ
qͤmmedicitiᷤ	qͤm me dicitiᷤ
eẽRespõdẽsPetr᷒	eẽ Respõdẽs Petr᷒
aiteiTuesxp̃sEtꝯminat᷒÷eis	ait ei Tu es xp̃s Et ꝯminat᷒ ÷ eis
necͥdic̃ẽtd̃illo&ĩt̃rogabãt	ne cͥ dic̃ẽt d̃ illo & ĩt̃rogabãt
eũdicẽtesQͥd	eũ dicẽtes Qͥd
gͦdicũtpharisei⁊scͥbe	gͦ dicũt pharisei ⁊ scͥbe
qͥaheliãoꝑtpͥmũvenireQͥRespõdẽsaitill̃Helias	qͥa heliã oꝑt pͥmũ venire Qͥ Respõdẽs ait ill̃ Helias
c̃ueñitpͥmorestituetõia&qͦmͦ	c̃ ueñit pͥmo restituet õia & qͦmͦ
scͥptũ÷ĩfiliũhõiᷤũml̃tapaciat᷑	scͥptũ ÷ ĩ filiũ hõiᷤ ũ ml̃ta paciat᷑
⁊ꝯtẽpnat᷑Sdico	⁊ ꝯtẽpnat᷑ S dico
uob̃qͥa⁊helias	uob̃ qͥa ⁊ helias
veñ⁊fec̃ũtilli	veñ ⁊ fec̃ũt illi
q̃c̃quoluer̃sic̃scͥptũ÷deeo	q̃c̃q uoluer̃ sic̃ scͥptũ ÷ de eo
Explicith̃scͥpsitBarmari᷒	Explicit h̃ scͥpsit B armari᷒
ãnoMͦCCͦXIIIͦint̃dũ⁊	ãno MͦCCͦXIIIͦ int̃dũ ⁊
forteꝗasanitasul̃infirmitas	forte ꝗa sanitas ul̃ infirmitas
cõporisconsistitinquattuor⁊aĩeintͥb	cõporis consistit in quattuor ⁊ aĩe in tͥb
utpredixim᷒Iñẽquodstola	ut predixim᷒ Iñ ẽ quod stola
corpõisdr̃dfut᷑ainquattuorꝓpͥetatibcorpõis	corpõis dr̃d fut᷑a in quattuor ꝓpͥetatib corpõis
gl̃ificati⁊stolaaĩepͥncipalit̃intͥbErũtenĩquattuor	gl̃ificati ⁊ stola aĩe pͥncipalit̃ in tͥb Erũt enĩ quattuor
principalesdotescorpõisgl̃ificatis.subtilitas	principales dotes corpõis gl̃ificati s. subtilitas
⁊agilitas	⁊ agilitas
splendor⁊impassibilitasiux̃illd̃ĩlibro	splendor ⁊ impassibilitas iux̃ illd̃ ĩ libro
sap̃iefulgebũtiusti	sap̃ie fulgebũt iusti
sic̃sol	sic̃ sol
ĩregͦpa.m̃i⁊tãꝙͣscin.	ĩ regͦ pa. m̃i ⁊ tãꝙͣ scin.
ĩa.di.fulgeb̃tꝑsplẽdorẽsic̃solꝑĩmu	ĩ a. di. fulgeb̃t ꝑ splẽdorẽ sic̃ sol ꝑ ĩmu
tabilitatemadueritatẽsiueĩpassibilitatẽ	tabilitatem ad ueritatẽ siue ĩpassibilitatẽ 
solĩsuanat᷑aẽĩmutabilis⁊	sol ĩ sua nat᷑a ẽ ĩmutabilis ⁊
ĩpassibil̃taꝙͣscĩtilleꝑsubtilitatẽ	ĩpassibil̃ taꝙͣ scĩtille ꝑ subtilitatẽ
discũrẽtꝑagilitatẽHasqͣttuoͬꝓͥetatesgl̃ificaticoͬꝑisĩ	discũrẽt ꝑ agilitatẽ Has qͣttuoͬ ꝓͥetates gl̃ificati coͬꝑis ĩ
argum̃tatiõefut᷑egl̃ificatiõis⁊̃ĩcaͬnemoͬtalixᷤost̃ndit	argum̃tatiõe fut᷑e gl̃ificatiõis ⁊̃ ĩ caͬne moͬtali xᷤ ost̃ndit
claritatẽqñsetͣnsfiguraũĩmõte	claritatẽ qñ se tͣnsfiguraũ ĩ mõte
⁊resplẽuntfaciesei᷒	⁊ resplẽunt facies ei᷒
sic̃solSubtilitatẽqñclausosigͣcl̃ouirginalitãꝙͣ	sic̃ sol Subtilitatẽ qñ clauso sigͣcl̃o uirginali tãꝙͣ
spõsusꝓcessitdetha.suoAgilitatẽsiue	spõsus ꝓcessit de tha. suo Agilitatẽ siue
leuitatẽqñaliãlitt̃amubinoshabem᷒quismundũ	leuitatẽ qñ aliã litt̃am ubi nos habem᷒ quis mundũ
deinmundoconceptũinfans	de inmundo conceptũ infans
uniusdieiẽsinepecc̃o⁊pm᷒naturafilii	unius diei ẽ sine pecc̃o ⁊ p m᷒ natura filii
ireabhac	ire ab hac
tñquipͥuilegiati	tñ qui pͥuilegiati
fuer̃mũdatiañnatinut̃is	fuer̃ mũdati añ nat in ut̃is
matrũutIer	matrũ ut Ier
emias⁊Ioannesquiexut̃o	emias ⁊ Io annes qui ex ut̃o
matrisQuoꝝ	matris Quoꝝ
utͥocPͥusquãteformarẽ	utͥ oc Pͥus quã te formarẽ
inut̃onouexires	in ut̃o nou exires
d̃ũntresc̃ificauitequod⁊̃tendũtdeiacob⁊	d̃ ũntre sc̃ificaui te quod ⁊̃ tendũt de iacob ⁊
b̃atauͥgineqhabeat᷑exssumVenialepecca	b̃ata uͥgine q habeat᷑ exssum Veniale pecca
adillicitacitraconsensũratõiseẽnõpossumusꝗa	ad illicita citra consensũ ratõis eẽ nõ possumus ꝗa
semꝑIebuseint̃ranr̃aquenob̃spinas	semꝑ Iebuse in t̃ra nr̃a que nob̃ spinas
⁊tͥbunitg͛minared̃hocaitb̃atusioannes	⁊ tͥbu nit g͛minare d̃ hoc ait b̃atus io annes
Sidix̃imusquodpeccatũñh̃emseducim᷒⁊	Si dix̃imus quod peccatũ ñ h̃em se ducim᷒ ⁊
ũitasinnob̃ñẽ	ũitas in nob̃ ñ ẽ
MorInepistolis	Mor In epistolis
beatipauliapostoliPRIMUMQUERITURquareposteugl̃iaque	beati pauli apostoli PRIMUM QUERITUR quare post eugl̃ia que
supplementũlegissunt⁊inquib᷒nobisexempla⁊cepta	supplementũ legis sunt ⁊ in quib᷒ nobis exempla ⁊ cepta
uiuendiplenissime	uiuendi plenissime
digestasuntuolueritapl̃s	digesta sunt uoluerit apl̃s
hasepl̃asadsingulasęccl̃asdestinareHacaut̃	has epl̃as ad singulas ęccl̃as destinare Hac aut̃
causauidet᷑factũScilicetutinicio	causa uidet᷑ factũ Scilicet ut inicio
nascentisęccl̃ęnouiscausisexistentib	nascentis ęccl̃ę nouis causis existentib
&sentia⁊mienciaresequaretuicia⁊utpost	& sentia ⁊ miencia resequaret uicia ⁊ ut post
futurasexcluder&questionesexemploꝓphetarũ	futuras excluder& questiones exemplo ꝓphetarũ
qͥposteditã	qͥ post editã
legẽmoysiinquaõiadeimandatalegebant᷑nichilomin᷒	legẽ moysi in qua õia dei mandata legebant᷑ nichilomin᷒
dedoctrinasuarediuiuasemꝑppl̃iconpresserepeccata	de doctrina sua rediuiua semꝑ ppl̃i conpressere peccata
tͣnsmigrationẽierl̃minmenseqͥntor̃Istisuntdiesquos	tͣnsmigrationẽ ierl̃m in mense qͥnto r̃ Isti sunt dies quos
obseruaredebetistemꝑibussuisqͣrtadecimadieaduesꝑmpascha	obseruare debetis temꝑibus suis qͣrtadecima die ad uesꝑm pascha
dñiẽ̃ĩqͥntadecima	dñi ẽ ̃ ĩ qͥntadecima
sollempnitatẽcelebrabitisaltissimo	sollempnitatẽ celebrabitis altissimo
dñoũLoquutusẽdñsadmoysendicensloquere	dño ũ Loquutus ẽ dñs ad moysen dicens loquere
filiisisr̃ldicesadeosQͣrtal̃scd̃a	filiis isr̃l  dices ad eos Qͣrta l̃ scd̃a
Etfc̃mẽũbumdominiadmedicensPriusꝙͣ	Et fc̃m ẽ ũbum domini ad me dicens Priusꝙͣ
teformareminuteronouite	te formarem in utero noui te 
anteꝙͣexiresdeuuluasanctificaui	anteꝙͣ exires de uulua sanctificaui
teꝓph̃am	te  ꝓph̃am
ingentibdediteEtdixi	in gentib dedi te Et dixi
a.a.a.dñe	a. a. a. dñe
deusEccenescio	deus Ecce nescio
loquipueregosumr̃Multiplicatisuntqui	loqui  puer ego sum r̃ Multiplicati sunt qui
tͥbulantmedicuntñ	tͥbulant me  dicunt ñ
ẽsalusip̃iindeoer̃	ẽ salus ip̃i in deo er̃
Exurgedñesaluuᷤ	Exurge dñe saluuᷤ
mefacdeusm̃uᷤQuitͥbulant	me fac deus m̃uᷤ Qui tͥbulant
meexultabunt	me exultabunt
simot᷒fueroegoaut̃ĩmĩatuasꝑaui	si mot᷒ fuero ego aut̃ ĩ mĩa tua sꝑaui
Etdix̃dominusadmeNoli	Et dix̃ dominus ad me Noli
dic̃epuersũl̃	dic̃e  puer sũ l̃
IIIͣExurge	IIIͣ Exurge
qm̃adõia	qm̃ ad õia
quemittamteibisuniũsaq̃cumqmandauero	que mittam te ibis  uniũsa q̃cumq mandauero
tͥloquerisNe	tͥ loqueris Ne
timeasafacieeoꝝtecum	timeas a facie eoꝝ  tecum
egosumut	ego sum ut
eruamte	eruam te
dicitdic̃	dicit dic̃
dominusEtmisitdominusmanũ	dominus Et misit dominus manũ
suamtetigit	suam  tetigit
osmeumr̃Quicustodiebantaĩammeamꝯsiliũfecer̃t	os meum r̃ Qui custodiebant aĩam meam ꝯsiliũ fecer̃t
ĩunumdicentes	ĩ unum dicentes
D̃sdereliqͥteum	D̃s dereliqͥt eum
ꝑseqͥminiꝯhenditeeum	ꝑseqͥmini  ꝯhendite eum 
ñẽqͥliberet	ñ ẽ qͥ liberet
eumdeusm̃sneelongesa	eum deus m̃s ne elonges a
medeusm̃sĩadiutoriũmeumĩtendeũ	me deus m̃s ĩ adiutoriũ meum ĩtende ũ
Omnesinimicimei	Omnes inimici mei
adũsumme	adũsum me
dicentesD̃sl̃iiiiͣEt	dicentes D̃s l̃ iiiiͣ Et
dix̃dominusadmeEccedediũba	dix̃ dominus ad me Ecce dedi ũba
meainore	mea in ore
tuoecceconstituitehodiesuꝑgentes	tuo ecce constitui te hodie suꝑ gentes
egyptumetestoibiusqdũdicamtͥ	egyptum et esto ibi usq dũ dicam tͥ
Futurumẽenimut	Futurum ẽ enim ut
herodesqueratpuerũadꝑdendũeumQuiconsurgensaccepit	herodes querat puerũ ad ꝑdendũ eum Qui consurgens accepit
puerũ⁊matremei᷒nocteetsecessit	puerũ ⁊ matrem ei᷒ nocte et secessit
inegiptũEt	in egiptũ Et
eratibiusqadobitum	erat ibi usq ad obitum
herodisutadimpleret᷑q̃ddictũẽadñoꝑꝓph̃am	herodis ut adimpleret᷑ q̃d dictũ ẽ a dño ꝑ ꝓph̃am
dicentẽExegiptouocaui	dicentẽ Ex egipto uocaui
filiũmeumTuncherodesuidensqm̃illususeẽt	filiũ meum Tunc herodes uidens qm̃ illusus eẽt
amagisiratusestualdeEtmittensocciditom̃spueros	a magis iratus est ualde Et mittens occidit om̃s pueros
qͥerantinbethleem⁊inom̃ibfinib	qͥ erant in bethleem ⁊ in om̃ib finib
ei᷒abimatu⁊infrascd̃m	ei᷒ ab imatu ⁊ infra scd̃m
tempusq̃dexquisieratamagisTuncadimpletum	tempus q̃d exquisierat a magis Tunc adimpletum
ẽquoddictumẽ	ẽ quod dictum ẽ
ꝑieremiamꝓph̃amdicentemVox	ꝑ ieremiam ꝓph̃am dicentem Vox
inramaauditaẽploratus⁊ululatusmultusrachel	in rama audita ẽ ploratus ⁊ ululatus multus rachel
ploransfiliossuosEt	plorans filios suos Et
noluitconsolariquianonsunt.coll̃	noluit consolari quia non sunt . coll̃
DeuscuiushodiernaIn	Deus cuius hodierna In
l̃aHerodesiratusocciditmultos	l̃ a Herodes iratus occidit multos
puerosinbethleem	pueros in bethleem
iudeciuitatedauidcap̃Uidisupͣmontẽ	iude ciuitate dauid cap̃ Uidi supͣ montẽ
syonagnumstantẽ	syon agnum stantẽ
etcũeocentumquadragintaqͣtuormiliahabentes	et cũ eo centum quadraginta qͣtuor milia habentes
nomeneius	nomen eius
etnom̃patͥseius	et nom̃ patͥs eius
scriptũinfrontib	scriptũ in frontib
suisr̃ExultentiustiũIustiinꝑpetuumAdbñ	suis r̃ Exultent iusti ũ Iusti in ꝑpetuum Ad bñ
aHisunt	a Hi sunt
quicũmulieribñsuntcoinquinati	qui cũ mulierib ñ sunt coinquinati
uͥginesenĩs̃t⁊secunt᷑agnũ	uͥgines enĩ s̃t ⁊ secunt᷑ agnũ
qͦcũqieritcoll̃utsupͣAd	qͦcũq ierit coll̃ ut supͣ Ad
iͣaAngl̃ieorũsemꝑuidentfaciempatris	iͣ a Angl̃i eorũ semꝑ uident faciem patris
AdiiiͣaVoxinramaauditaẽplorat᷒⁊	Ad iiiͣ a Vox in rama audita ẽ plorat᷒ ⁊
ululat᷒rachelplorans	ululat᷒ rachel plorans
filiossuoscap	filios suos cap
*⁊coll*	* ⁊ coll *
sicutinl	sicut in l
*AdviͣaSubth	* Ad viͣ a Sub t h
ronod̃isc̃iclamabantuindicasanguinẽ	rono d̃i sc̃i clamabant uindica sanguinẽ
nr̃md̃snr̃	nr̃m d̃s nr̃
capitulumHii	capitulum Hii
suntquicũmulieribñ	sunt qui cũ mulierib ñ
suntcoinquinatiuirginesenĩsunthi	sunt coinquinati uirgines enĩ sunt hi
secunt᷑agnũqͦcũq	secunt᷑ agnũ qͦcũq
ierituoĩfeudumñsuccedatnisipriusddomino	ierit uo ĩ feudum ñ succedat nisi prius d domino
sat̃fec̃itp̃rimodoꝓõib.idomesticis	sat̃fec̃it p̃ri modo ꝓ õib. i domesticis
suishocfaciatIlludquocipimusut	suis hoc faciat Illud quo cipimus ut
siuassallus	si uassallus
defeudosuoaliumuassallũh̃ũitetuassalusuassalli	de feudo suo alium uassallũ h̃ũit et uassalus uassalli
dñmdñi	dñm dñi
suioffẽd̃itnisiꝓ	sui offẽd̃it nisi ꝓ
ẜuitõalt̃iusdominisuih̃fec̃itq̃msñ	ẜuitõ alt̃ius domini sui h̃ fec̃it q̃m sñ
fraudeañah̃ũitfeudosuoppriuetur	fraude aña h̃ũit feudo suo p priuetur
⁊addñm	⁊ ad dñm
suũaquoip̃etenebat	suũ a quo ip̃e tenebat
reũtaturnisirequisitusabeopactus	reũtatur nisi requisitus ab eo pactus
fũitsat̃fac̃e	fũit sat̃fac̃e
maioridñoꝙ̃offendit	maiori dño ꝙ̃ offendit
⁊nisiuassallusid̃asuo	⁊ nisi uassallus id̃ a suo
dominorequisituseũqui	domino requisitus eũ qui
maiorẽdominũ	maiorẽ dominũ
offenditrequisierit	offendit requisierit
utsatisfaciatsuumfeudũamittatt̃ea	ut satis faciat suum feudũ amittat t̃ea
sidefeudoint̃	si de feudo int̃
duosuassallossitꝯtroũsia	duos uassallos sit ꝯtroũsia
dominisitꝯgnitõ⁊pereum	domini sit ꝯgnitõ ⁊ per eum
ꝯtroũsiat̃mineturSiuõĩt̃dñmetuassallũlis	ꝯtroũsia t̃minetur Si uõ ĩt̃ dñm et uassallũ lis
oriat᷑ꝑpares	oriat᷑ ꝑ pares
curieaddomĩos̃o	curie a d domĩo s̃o
debitofidelitatisꝯiuraitos	debito fidelitatis ꝯiuraitos
t̃mineturIlludquos̃cimuᷤutin	t̃minetur Illud quo s̃cimuᷤ ut in
omnisac̃m̃to	omni sac̃m̃to
fidelitatisnominatiminmperatorexcipiaturExplicitliber	fidelitatis nominatim inmperator excipiatur Explicit liber
autenticorumExplicit	autenticorum Explicit
lib̃autenticorumvidebr̃siñfastidio	lib̃ autenticorum videbr̃ siñ fastidio
amabr̃siñ	amabr̃ siñ
fatigatõelaudabr̃hocmun᷒ceterumquifuturisuntꝓ	fatigatõe laudabr̃ hoc mun᷒ ceterum qui futuri sunt ꝓ
m̃itismiorum⁊grado	m̃itis miorum ⁊ grado
bonorũatqgl̃iarumquisest	bonorũ atq gl̃iarum quis est
ydo᷒cogitareqͣntomag̃	ydo᷒ cogitare qͣnto mag̃
dic̃etm̃	dic̃e  tm̃
fut᷑umsint	fut᷑um sint
ñẽãbigend̃atqita⁊̃bt̃a	ñ ẽ ãbigend̃ atq ita ⁊̃ bt̃a
illaciuitasmagnuminsedonumuidebit	illa ciuitas magnum in se donum uidebit
q̃dnullisuperiorinullusinf̃iorinuidebitsic̃ñĩuidẽt	q̃d nulli superiori nullus inf̃ior inuidebit sic̃ ñ ĩuidẽt
archãgl̃isãgl̃icet̃iTamnolleteẽun᷒ꝗsqq̃dñaccepit	archãgl̃is ãgl̃i cet̃i Tam nollet eẽ un᷒ꝗsq q̃d ñ accepit
qͣmuissitpacatissimo	qͣmuis sit pacatissimo
uinculocõcordieeiquiaccep̃obstrictusqͣmnecĩcorꝑe	uinculo cõcordie ei qui accep̃ obstrictus qͣm nec ĩ corꝑe
uultoculius	uult ocul i u s
eẽquiẽdigitus	eẽ qui ẽ digitus
cummebrumutr̃qcontineattocipartispaccatacompagosicitaq	cum mebrum utr̃q contineat toci partispaccata compago sic itaq
habebitdonũalialiominuthocqͦdonũ	habebit donũ ali alio min ut hoc qͦ donũ
h̃atneul̃it	h̃at ne ul̃it
ampliusviciapersapientiedoctͥnaalit̃ꝑinsipiẽtispessimamuitã	amplius vicia per sapientie doctͥna alit̃ ꝑ insipiẽtis pessimam uitã
ita⁊obliuiones	ita ⁊ obliuiones
maloꝝdue	maloꝝ due
s̃tAlr̃eanamqobliuiscitureruditus⁊doctusAlit̃expert	s̃t Alr̃ ea namq obliuiscitur eruditus ⁊ doctus Alit̃ expert
⁊passIllesi	⁊ pass Ille si
periciamnegligatistesimiseriacareat.Scd̃mhãc	periciam negligat iste si miseria careat . Scd̃m hãc
obliuiõequãpost̃iorelocoposuinõeruntmemoressc̃i	obliuiõe quã post̃iore loco posui nõ erunt memores sc̃i
preteritorummaloꝝCarebũt	preteritorum maloꝝ Carebũt
eĩom̃ib.itautpenitdeleatureorumsensibusEt	eĩ om̃ib. ita ut penit deleatur eorum sensibus Et
tm̃potẽtiascĩe	tm̃ potẽtia scĩe
